chrom	start	end	any_strs
1	16368225	16638153	True
1	25403708	25991838	True
1	26633044	27529784	True
1	27543610	27821330	False
1	54341870	54591870	False
1	54623004	54873004	False
1	54948105	57013558	True
1	62775811	63483816	True
1	93043369	93293369	True
1	108626731	108876731	False
1	108948058	110491044	True
1	181994332	182296957	True
1	220845028	221170347	True
1	230153291	230451412	True
1	234600135	235136530	True
2	20300545	22162414	True
2	26890610	28657309	True
2	43735037	45168345	True
2	62732411	63492328	True
2	64762288	65113266	True
2	108895264	109443148	True
2	117988025	118238025	True
2	118243673	119017812	True
2	121179367	121466281	True
2	165376849	165764847	True
2	169697711	170086200	True
2	202903129	204477252	True
2	234380915	234794886	True
3	12114931	12452431	True
3	12495885	12821433	True
3	32382630	32729427	True
3	58101615	58588689	True
3	122013244	122410218	True
3	131992785	132529890	True
3	142480556	142785706	True
4	3309885	3607296	True
4	40303010	40553010	False
4	57829901	58080089	True
4	69176542	69616456	True
4	81032703	81316520	True
4	87711652	87964023	True
4	100114319	100733799	True
4	155364608	155614608	False
5	51937147	52254007	True
5	55731375	55993097	True
5	71723320	72284179	True
5	74117002	75349867	True
5	122525224	123247923	True
5	131513817	131935619	True
5	155941474	156672031	True
6	15980773	16323988	True
6	34421560	35511872	True
6	39105571	39386934	True
6	42773960	43080749	True
6	43632082	43889551	False
6	52323347	52579902	True
6	100475097	100754078	True
6	116137472	116546127	True
6	126534043	127657807	True
6	130186831	130530020	True
6	160123806	161568939	True
7	21343640	21830320	True
7	25866826	26254947	True
7	44444399	44856577	True
7	72707340	73248473	True
7	75489777	76027030	True
7	97721435	98159668	True
7	100089015	100657540	True
7	130297934	130591854	True
8	9045716	9595506	True
8	18147881	18397881	True
8	19511940	20066078	True
8	21784453	22069508	True
8	55282285	55587324	True
8	59131985	59692885	True
8	116506278	116882188	True
8	126303616	126758531	True
8	144879944	145207187	True
9	15180378	15430378	True
9	21940002	22250503	True
9	78057739	78339025	True
9	78604176	78855766	True
9	131340481	131591489	True
9	135917324	136488124	True
9	139180007	139456221	True
10	52205418	52741492	True
10	70968392	71219504	True
10	71634943	71884943	False
10	94405832	95193338	True
10	115661233	115923268	False
10	124527698	124837961	True
11	5541641	5826883	True
11	18364360	18789241	True
11	61197832	62018539	True
11	66071265	66464683	True
11	103736867	103996039	True
11	113492237	113803423	True
11	116391302	117314691	True
11	125934212	126389155	True
12	493790	748468	True
12	8926837	9204512	True
12	50484823	51422465	True
12	53650742	54010858	True
12	57520789	57973639	True
12	111235049	113343868	True
12	115092835	115342835	True
12	121255544	121711215	True
12	124142638	124705119	True
12	125178254	125441743	True
13	32740559	33130519	True
13	110900118	111168100	True
13	114391947	114690889	True
14	24746290	25028614	True
14	70531838	71221344	True
14	74109294	74375126	True
14	94518207	94972262	False
15	49649963	50129083	True
15	57115500	57704746	True
15	58546721	58867418	True
15	63653410	63920628	True
15	74906521	75470078	True
16	11581100	11831100	True
16	56526160	57151936	True
16	70722360	73037880	True
16	83854317	84115466	True
17	6830298	7704801	True
17	26447852	28009779	True
17	28458498	28708498	True
17	28723185	28973185	False
17	29264026	29854250	True
17	40269960	40574618	True
17	45225047	45987496	True
17	46203667	46882575	True
17	63814900	64503442	False
17	66786135	67983387	True
17	76257791	76507791	True
19	10294611	11879814	True
19	18165415	18463709	True
19	18938559	19980549	True
19	20088781	20564917	False
19	41212923	41478107	True
19	42287606	42759116	False
19	43499243	43764578	False
19	43818634	47002001	True
19	47227522	47477522	False
19	48945964	49459991	False
19	58489546	58806861	True
20	5372227	5718850	True
20	17474730	17975778	True
20	25053119	25841363	True
20	33906310	34746429	True
20	38860760	39436250	True
20	39488707	40392858	True
20	42917364	43167364	False
20	44226554	44825166	True
20	62771665	63025520	True
21	40391308	40913587	True
22	50712224	50998761	True
