chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_8302002_8625790	8500792	8500806	8500790	STR_4426	1	A	14.0,15.0,16.0,17.0	15.0	"{""14.0"": 0.0, ""15.0"": 644640.44, ""16.0"": 325350.08, ""17.0"": 4827.62}"	"{""15.0"": 646008, ""16.0"": 324814, ""17.0"": 3996}"	"{""[15.0, 15.0]"": 214567, ""[15.0, 16.0]"": 214273, ""[15.0, 17.0]"": 2601, ""[16.0, 16.0]"": 54580, ""[16.0, 17.0]"": 1381, ""[17.0, 17.0]"": 7}"	"{""14.0"": 0.0, ""15.0"": 431221.65, ""16.0"": 225592.77, ""17.0"": 3387.58}"	"{""15.0"": 432096, ""16.0"": 225274, ""17.0"": 2832}"	"{""[15.0, 15.0]"": 141258, ""[15.0, 16.0]"": 147748, ""[15.0, 17.0]"": 1832, ""[16.0, 16.0]"": 38268, ""[16.0, 17.0]"": 990, ""[17.0, 17.0]"": 5}"	0.0051311265340002	0.4551927023236213	0.9633041134430746	0.2785973156382897	"{""14.0"": ""NaN"", ""15.0"": 0.99, ""16.0"": 0.99, ""17.0"": 0.87}"	2.2e-08	0.03641447877948966	0.02514170498451434	0.0939818	False	NA	NA	False	NA	none	0:inside:RERE:protein_coding	71048:downstream:SNORA77:snoRNA,71906:upstream:RP5-1115A15.2:processed_pseudogene,5719:downstream:RERE-AS1:lncRNA,0:inside:RERE:protein_coding,96565:downstream:SLC45A1:protein_coding	intron:RERE:protein_coding	transcribed;RERE-201:protein_coding:1,RERE-204:protein_coding:1,RERE-202:protein_coding:5,RERE-203:protein_coding:5,RERE-219:protein_coding:missing from gencode,RERE-207:protein_coding:5,RERE-220:protein_coding:missing from gencode
1	1_10371037_10645888	10496039	10496053	10496037	STR_6354	1	T	14.0,15.0,16.0,17.0	15.0	"{""14.0"": 461139.24, ""15.0"": 485070.73, ""16.0"": 28607.98, ""17.0"": 0.0}"	"{""14.0"": 460675, ""15.0"": 486394, ""16.0"": 27749}"	"{""[14.0, 14.0]"": 108758, ""[14.0, 15.0]"": 230049, ""[14.0, 16.0]"": 13110, ""[15.0, 15.0]"": 121264, ""[15.0, 16.0]"": 13817, ""[16.0, 16.0]"": 411}"	"{""14.0"": 311732.44, ""15.0"": 329233.09, ""16.0"": 19236.47, ""17.0"": 0.0}"	"{""14.0"": 311412, ""15.0"": 330039, ""16.0"": 18751}"	"{""[14.0, 14.0]"": 73218, ""[14.0, 15.0]"": 156113, ""[14.0, 16.0]"": 8863, ""[15.0, 15.0]"": 82273, ""[15.0, 16.0]"": 9380, ""[16.0, 16.0]"": 254}"	0.029137248902608597	0.526793892835437	1.157320106299799	0.10842410190966	"{""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.98, ""17.0"": ""NaN""}"	5.42e-09	0.029340287832778596	0.022916626921085478	0.603831	False	NA	NA	False	NA	none	0:inside:CENPS-CORT:protein_coding	48832:upstream:RP4-736L20.4:lncRNA,45686:downstream:RN7SL721P:misc_RNA,38550:downstream:RP4-736L20.5:lncRNA,5305:upstream:RP4-736L20.3:lncRNA,14035:upstream:CORT:protein_coding,22559:upstream:RP5-1113E3.3:lncRNA,15471:downstream:PGD:protein_coding,0:inside:CENPS-CORT:protein_coding,0:inside:CENPS:protein_coding,20526:downstream:DFFA:protein_coding,54378:downstream:KIF1B:protein_coding,36292:upstream:PEX14:protein_coding	multigene;intron:CENPS-CORT:protein_coding;intron:CENPS:protein_coding	transcribed;CENPS-CORT-201:protein_coding:2,CENPS-CORT-203:protein_coding:2,CENPS-201:protein_coding:1,CENPS-CORT-205:protein_coding:3,CENPS-204:nonsense_mediated_decay:2,CENPS-CORT-204:protein_coding:3,CENPS-202:protein_coding:3,CENPS-CORT-202:protein_coding:3
1	1_21661068_21959066	21822677	21822717	21822677	STR_13991	2	GT	19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5	20.5	"{""19.5"": 0.0, ""20.5"": 8878.24, ""21.5"": 139.23, ""22.5"": 471639.2, ""23.5"": 10354.69, ""24.5"": 1740.12, ""25.5"": 11141.11, ""26.5"": 172827.8, ""27.5"": 160152.56, ""28.5"": 53932.84, ""29.5"": 23224.2, ""30.5"": 21164.56, ""31.5"": 26007.81, ""32.5"": 13960.54}"	"{""20.5"": 4715, ""21.5"": 44, ""22.5"": 475492, ""23.5"": 5813, ""24.5"": 829, ""25.5"": 10360, ""26.5"": 171443, ""27.5"": 170385, ""28.5"": 50690, ""29.5"": 23103, ""30.5"": 18553, ""31.5"": 32505, ""32.5"": 10886}"	"{""[20.5, 20.5]"": 366, ""[20.5, 22.5]"": 895, ""[20.5, 23.5]"": 130, ""[20.5, 24.5]"": 1, ""[20.5, 25.5]"": 210, ""[20.5, 26.5]"": 343, ""[20.5, 27.5]"": 1184, ""[20.5, 28.5]"": 297, ""[20.5, 29.5]"": 259, ""[20.5, 30.5]"": 64, ""[20.5, 31.5]"": 437, ""[20.5, 32.5]"": 163, ""[21.5, 22.5]"": 17, ""[21.5, 26.5]"": 10, ""[21.5, 27.5]"": 7, ""[21.5, 28.5]"": 5, ""[21.5, 29.5]"": 2, ""[21.5, 30.5]"": 1, ""[21.5, 31.5]"": 2, ""[22.5, 22.5]"": 117206, ""[22.5, 23.5]"": 2671, ""[22.5, 24.5]"": 384, ""[22.5, 25.5]"": 4726, ""[22.5, 26.5]"": 84627, ""[22.5, 27.5]"": 82621, ""[22.5, 28.5]"": 24770, ""[22.5, 29.5]"": 10966, ""[22.5, 30.5]"": 9202, ""[22.5, 31.5]"": 15117, ""[22.5, 32.5]"": 5084, ""[23.5, 23.5]"": 25, ""[23.5, 24.5]"": 3, ""[23.5, 25.5]"": 97, ""[23.5, 26.5]"": 889, ""[23.5, 27.5]"": 1105, ""[23.5, 28.5]"": 293, ""[23.5, 29.5]"": 168, ""[23.5, 30.5]"": 99, ""[23.5, 31.5]"": 234, ""[23.5, 32.5]"": 74, ""[24.5, 24.5]"": 3, ""[24.5, 25.5]"": 10, ""[24.5, 26.5]"": 163, ""[24.5, 27.5]"": 132, ""[24.5, 28.5]"": 42, ""[24.5, 29.5]"": 33, ""[24.5, 30.5]"": 14, ""[24.5, 31.5]"": 36, ""[24.5, 32.5]"": 5, ""[25.5, 25.5]"": 76, ""[25.5, 26.5]"": 1642, ""[25.5, 27.5]"": 1905, ""[25.5, 28.5]"": 544, ""[25.5, 29.5]"": 301, ""[25.5, 30.5]"": 217, ""[25.5, 31.5]"": 408, ""[25.5, 32.5]"": 148, ""[26.5, 26.5]"": 15505, ""[26.5, 27.5]"": 29300, ""[26.5, 28.5]"": 8764, ""[26.5, 29.5]"": 4092, ""[26.5, 30.5]"": 3145, ""[26.5, 31.5]"": 5633, ""[26.5, 32.5]"": 1825, ""[27.5, 27.5]"": 15093, ""[27.5, 28.5]"": 8943, ""[27.5, 29.5]"": 3950, ""[27.5, 30.5]"": 3204, ""[27.5, 31.5]"": 5839, ""[27.5, 32.5]"": 2009, ""[28.5, 28.5]"": 1355, ""[28.5, 29.5]"": 1121, ""[28.5, 30.5]"": 996, ""[28.5, 31.5]"": 1655, ""[28.5, 32.5]"": 550, ""[29.5, 29.5]"": 357, ""[29.5, 30.5]"": 419, ""[29.5, 31.5]"": 826, ""[29.5, 32.5]"": 252, ""[30.5, 30.5]"": 186, ""[30.5, 31.5]"": 633, ""[30.5, 32.5]"": 187, ""[31.5, 31.5]"": 638, ""[31.5, 32.5]"": 409, ""[32.5, 32.5]"": 90}"	"{""19.5"": 0.0, ""20.5"": 3304.81, ""21.5"": 86.76, ""22.5"": 323760.31, ""23.5"": 6494.37, ""24.5"": 955.88, ""25.5"": 7086.08, ""26.5"": 116945.39, ""27.5"": 109857.23, ""28.5"": 37304.64, ""29.5"": 14030.21, ""30.5"": 14577.68, ""31.5"": 16671.98, ""32.5"": 9357.78}"	"{""20.5"": 524, ""21.5"": 31, ""22.5"": 326112, ""23.5"": 3509, ""24.5"": 399, ""25.5"": 6531, ""26.5"": 115748, ""27.5"": 117068, ""28.5"": 35277, ""29.5"": 13907, ""30.5"": 12813, ""31.5"": 21106, ""32.5"": 7177}"	"{""[20.5, 22.5]"": 256, ""[20.5, 23.5]"": 3, ""[20.5, 25.5]"": 6, ""[20.5, 26.5]"": 87, ""[20.5, 27.5]"": 98, ""[20.5, 28.5]"": 25, ""[20.5, 29.5]"": 14, ""[20.5, 30.5]"": 17, ""[20.5, 31.5]"": 16, ""[20.5, 32.5]"": 2, ""[21.5, 22.5]"": 9, ""[21.5, 26.5]"": 9, ""[21.5, 27.5]"": 6, ""[21.5, 28.5]"": 3, ""[21.5, 29.5]"": 1, ""[21.5, 30.5]"": 1, ""[21.5, 31.5]"": 2, ""[22.5, 22.5]"": 80352, ""[22.5, 23.5]"": 1754, ""[22.5, 24.5]"": 165, ""[22.5, 25.5]"": 3237, ""[22.5, 26.5]"": 57338, ""[22.5, 27.5]"": 58085, ""[22.5, 28.5]"": 17499, ""[22.5, 29.5]"": 6896, ""[22.5, 30.5]"": 6413, ""[22.5, 31.5]"": 10252, ""[22.5, 32.5]"": 3504, ""[23.5, 23.5]"": 4, ""[23.5, 24.5]"": 1, ""[23.5, 25.5]"": 37, ""[23.5, 26.5]"": 590, ""[23.5, 27.5]"": 657, ""[23.5, 28.5]"": 180, ""[23.5, 29.5]"": 72, ""[23.5, 30.5]"": 59, ""[23.5, 31.5]"": 111, ""[23.5, 32.5]"": 37, ""[24.5, 24.5]"": 1, ""[24.5, 25.5]"": 6, ""[24.5, 26.5]"": 74, ""[24.5, 27.5]"": 91, ""[24.5, 28.5]"": 22, ""[24.5, 29.5]"": 9, ""[24.5, 30.5]"": 5, ""[24.5, 31.5]"": 20, ""[24.5, 32.5]"": 4, ""[25.5, 25.5]"": 32, ""[25.5, 26.5]"": 1109, ""[25.5, 27.5]"": 1186, ""[25.5, 28.5]"": 337, ""[25.5, 29.5]"": 143, ""[25.5, 30.5]"": 131, ""[25.5, 31.5]"": 204, ""[25.5, 32.5]"": 71, ""[26.5, 26.5]"": 10076, ""[26.5, 27.5]"": 20415, ""[26.5, 28.5]"": 6272, ""[26.5, 29.5]"": 2449, ""[26.5, 30.5]"": 2187, ""[26.5, 31.5]"": 3794, ""[26.5, 32.5]"": 1272, ""[27.5, 27.5]"": 10303, ""[27.5, 28.5]"": 6165, ""[27.5, 29.5]"": 2458, ""[27.5, 30.5]"": 2252, ""[27.5, 31.5]"": 3757, ""[27.5, 32.5]"": 1292, ""[28.5, 28.5]"": 940, ""[28.5, 29.5]"": 723, ""[28.5, 30.5]"": 687, ""[28.5, 31.5]"": 1116, ""[28.5, 32.5]"": 368, ""[29.5, 29.5]"": 153, ""[29.5, 30.5]"": 261, ""[29.5, 31.5]"": 440, ""[29.5, 32.5]"": 135, ""[30.5, 30.5]"": 128, ""[30.5, 31.5]"": 410, ""[30.5, 32.5]"": 134, ""[31.5, 31.5]"": 366, ""[31.5, 32.5]"": 252, ""[32.5, 32.5]"": 53}"	0.3327020001661939	0.6888819968668832	2.190095727835242	0.272290577446421	"{""19.5"": ""NaN"", ""20.5"": 0.56, ""21.5"": 0.41, ""22.5"": 0.97, ""23.5"": 0.88, ""24.5"": 0.72, ""25.5"": 0.9, ""26.5"": 0.95, ""27.5"": 0.95, ""28.5"": 0.92, ""29.5"": 0.91, ""30.5"": 0.93, ""31.5"": 0.88, ""32.5"": 0.81}"	2.53e-13	-0.007475393692042618	-0.030405353005191836	0.950463	False	NA	NA	False	NA	none	11179:downstream:NBPF3:protein_coding	97822:downstream:PPP1R11P1:processed_pseudogene,82891:upstream:PDE4DIPP10:unprocessed_pseudogene,78692:downstream:RP11-293F5.1:lncRNA,68217:upstream:NBPF2P:unprocessed_pseudogene,66648:downstream:HS6ST1P1:processed_pseudogene,58626:downstream:CROCCP5:unprocessed_pseudogene,36102:upstream:PFN1P10:processed_pseudogene,90248:upstream:LINC02596:lncRNA,96187:downstream:AL359815.1:miRNA,11179:downstream:NBPF3:protein_coding,99991:downstream:RAP1GAP:protein_coding,13173:upstream:ALPL:protein_coding	intergenic	untranscribed
1	1_62838751_63174593	62963752	62963763	62963752	STR_42230	1	T	12.0,13.0	12.0	"{""12.0"": 406292.66, ""13.0"": 568525.31}"	"{""12.0"": 410100, ""13.0"": 564718}"	"{""[12.0, 12.0]"": 87046, ""[12.0, 13.0]"": 236008, ""[13.0, 13.0]"": 164355}"	"{""12.0"": 272372.82, ""13.0"": 387829.18}"	"{""12.0"": 275124, ""13.0"": 385078}"	"{""[12.0, 12.0]"": 57362, ""[12.0, 13.0]"": 160400, ""[13.0, 13.0]"": 112339}"	0.0	0.4861312155201918	0.979898034108642	0.8020229691168639	"{""12.0"": 0.99, ""13.0"": 0.99}"	2.84e-08	0.03368070006487134	0.023448841804393338	0.105476	False	NA	NA	False	NA	none	0:inside:DOCK7:protein_coding	99428:upstream:ANGPTL3:protein_coding,32544:upstream:RP11-293K19.1:processed_pseudogene,0:inside:DOCK7:protein_coding,46277:downstream:USP1:protein_coding	intron:DOCK7:protein_coding	transcribed;DOCK7-223:retained_intron:5,DOCK7-231:protein_coding:5,DOCK7-219:protein_coding:5,DOCK7-201:protein_coding:5,DOCK7-204:protein_coding:1,DOCK7-202:protein_coding:2,DOCK7-218:protein_coding:5,DOCK7-211:protein_coding:5,DOCK7-229:nonsense_mediated_decay:5
1	1_65028987_67268443	65402719	65402734	65402719	STR_43643	1	A	15.0,16.0,17.0	16.0	"{""15.0"": 183.08, ""16.0"": 831711.46, ""17.0"": 142923.48}"	"{""15.0"": 169, ""16.0"": 831671, ""17.0"": 142978}"	"{""[15.0, 16.0]"": 97, ""[15.0, 17.0]"": 72, ""[16.0, 16.0]"": 356013, ""[16.0, 17.0]"": 119548, ""[17.0, 17.0]"": 11679}"	"{""15.0"": 10.6, ""16.0"": 569111.17, ""17.0"": 91080.23}"	"{""15.0"": 2, ""16.0"": 569039, ""17.0"": 91161}"	"{""[15.0, 16.0]"": 1, ""[15.0, 17.0]"": 1, ""[16.0, 16.0]"": 245287, ""[16.0, 17.0]"": 78464, ""[17.0, 17.0]"": 6348}"	1.605569204576781e-05	0.2380337243641127	0.5792488226084419	0.6574590316614022	"{""15.0"": 0.68, ""16.0"": 1.0, ""17.0"": 1.0}"	8.37e-20	0.06612053542089869	0.03224976710051091	0.0526955	False	NA	NA	False	NA	none	0:inside:JAK1:protein_coding	18353:downstream:RP11-182I10.1:processed_pseudogene,4928:upstream:RP11-182I10.2:processed_pseudogene,47557:downstream:SLC2A3P2:processed_pseudogene,66419:downstream:RP4-535B20.4:lncRNA,85917:downstream:RNU6-1176P:snRNA,35174:downstream:LINC01359:lncRNA,0:inside:JAK1:protein_coding	intron:JAK1:protein_coding	transcribed;JAK1-201:protein_coding:5,JAK1-216:protein_coding:missing from gencode,JAK1-211:protein_coding:missing from gencode,JAK1-212:protein_coding:missing from gencode,JAK1-206:nonsense_mediated_decay:missing from gencode,JAK1-219:protein_coding:missing from gencode,JAK1-220:retained_intron:missing from gencode,JAK1-208:protein_coding:missing from gencode,JAK1-210:protein_coding:missing from gencode,JAK1-217:nonsense_mediated_decay:missing from gencode,JAK1-207:protein_coding:missing from gencode,JAK1-221:protein_coding:missing from gencode,JAK1-214:protein_coding:missing from gencode,JAK1-209:protein_coding:missing from gencode
1	1_65028987_67268443	65411415	65411425	65411415	STR_43648	1	T	11.0,12.0,13.0	11.0	"{""11.0"": 149195.74, ""12.0"": 825542.44, ""13.0"": 79.83}"	"{""11.0"": 148902, ""12.0"": 825902, ""13.0"": 14}"	"{""[11.0, 11.0]"": 13152, ""[11.0, 12.0]"": 122592, ""[11.0, 13.0]"": 6, ""[12.0, 12.0]"": 351651, ""[12.0, 13.0]"": 8}"	"{""11.0"": 94148.29, ""12.0"": 566013.73, ""13.0"": 39.98}"	"{""11.0"": 93993, ""12.0"": 566209}"	"{""[11.0, 11.0]"": 6741, ""[11.0, 12.0]"": 80511, ""[12.0, 12.0]"": 242849}"	6.055722339526387e-05	0.2442016556018043	0.5904122951631264	0.6868680670980531	"{""11.0"": 1.0, ""12.0"": 1.0, ""13.0"": ""NaN""}"	3.48e-19	-0.06589174152560966	-0.03259435256994429	0.0531994	False	NA	NA	False	NA	none	0:inside:JAK1:protein_coding	27049:downstream:RP11-182I10.1:processed_pseudogene,3367:downstream:RP11-182I10.2:processed_pseudogene,38866:downstream:SLC2A3P2:processed_pseudogene,57728:downstream:RP4-535B20.4:lncRNA,77226:downstream:RNU6-1176P:snRNA,26483:downstream:LINC01359:lncRNA,0:inside:JAK1:protein_coding	intron:JAK1:protein_coding	transcribed;JAK1-201:protein_coding:5,JAK1-216:protein_coding:missing from gencode,JAK1-211:protein_coding:missing from gencode,JAK1-212:protein_coding:missing from gencode,JAK1-206:nonsense_mediated_decay:missing from gencode,JAK1-219:protein_coding:missing from gencode,JAK1-220:retained_intron:missing from gencode,JAK1-208:protein_coding:missing from gencode,JAK1-210:protein_coding:missing from gencode,JAK1-217:nonsense_mediated_decay:missing from gencode,JAK1-207:protein_coding:missing from gencode,JAK1-221:protein_coding:missing from gencode,JAK1-214:protein_coding:missing from gencode,JAK1-209:protein_coding:missing from gencode
1	1_65028987_67268443	65413306	65413317	65413306	STR_43649	1	T	12.0,13.0,14.0	12.0	"{""12.0"": 151112.36, ""13.0"": 821935.56, ""14.0"": 1770.1}"	"{""12.0"": 150776, ""13.0"": 822363, ""14.0"": 1679}"	"{""[12.0, 12.0]"": 14425, ""[12.0, 13.0]"": 120972, ""[12.0, 14.0]"": 954, ""[13.0, 13.0]"": 350400, ""[13.0, 14.0]"": 591, ""[14.0, 14.0]"": 67}"	"{""12.0"": 93869.81, ""13.0"": 566145.51, ""14.0"": 186.68}"	"{""12.0"": 93657, ""13.0"": 566452, ""14.0"": 93}"	"{""[12.0, 12.0]"": 6693, ""[12.0, 13.0]"": 80261, ""[12.0, 14.0]"": 10, ""[13.0, 13.0]"": 243054, ""[13.0, 14.0]"": 83}"	0.00028276194255697493	0.2437148212523455	0.5910665320649169	0.697134114643762	"{""12.0"": 1.0, ""13.0"": 1.0, ""14.0"": 0.63}"	3.1e-19	-0.06467089666737262	-0.031988296518268795	0.0873226	False	NA	NA	False	NA	none	0:inside:JAK1:protein_coding	28940:downstream:RP11-182I10.1:processed_pseudogene,5258:downstream:RP11-182I10.2:processed_pseudogene,36974:downstream:SLC2A3P2:processed_pseudogene,55836:downstream:RP4-535B20.4:lncRNA,75334:downstream:RNU6-1176P:snRNA,24591:downstream:LINC01359:lncRNA,0:inside:JAK1:protein_coding	intron:JAK1:protein_coding	transcribed;JAK1-201:protein_coding:5,JAK1-216:protein_coding:missing from gencode,JAK1-211:protein_coding:missing from gencode,JAK1-212:protein_coding:missing from gencode,JAK1-206:nonsense_mediated_decay:missing from gencode,JAK1-219:protein_coding:missing from gencode,JAK1-220:retained_intron:missing from gencode,JAK1-208:protein_coding:missing from gencode,JAK1-210:protein_coding:missing from gencode,JAK1-217:nonsense_mediated_decay:missing from gencode,JAK1-207:protein_coding:missing from gencode,JAK1-221:protein_coding:missing from gencode,JAK1-214:protein_coding:missing from gencode,JAK1-209:protein_coding:missing from gencode
1	1_92573245_93019963	92894966	92894982	92894963	STR_57399	1	A	14.0,16.0,17.0,18.0	17.0	"{""14.0"": 162.29, ""16.0"": 198931.45, ""17.0"": 775487.38, ""18.0"": 237.24}"	"{""14.0"": 142, ""16.0"": 200748, ""17.0"": 773710, ""18.0"": 218}"	"{""[14.0, 16.0]"": 62, ""[14.0, 17.0]"": 79, ""[14.0, 18.0]"": 1, ""[16.0, 16.0]"": 21751, ""[16.0, 17.0]"": 157092, ""[16.0, 18.0]"": 92, ""[17.0, 17.0]"": 308211, ""[17.0, 18.0]"": 117, ""[18.0, 18.0]"": 4}"	"{""14.0"": 0.36, ""16.0"": 135524.28, ""17.0"": 524677.12, ""18.0"": 0.45}"	"{""16.0"": 136844, ""17.0"": 523358}"	"{""[16.0, 16.0]"": 14247, ""[16.0, 17.0]"": 108350, ""[17.0, 17.0]"": 207504}"	1.2268968321084537e-06	0.3286252668815732	0.7362434599017823	0.6326460161071372	"{""14.0"": ""NaN"", ""16.0"": 0.99, ""17.0"": 0.99, ""18.0"": ""NaN""}"	1.84e-08	-0.04518677688766681	-0.02581138206616227	0.180177	False	NA	NA	False	NA	none	26724:upstream:RN7SL824P:misc_RNA	26724:upstream:RN7SL824P:misc_RNA,43618:downstream:GFI1:protein_coding,27353:downstream:RPAP2:protein_coding,79271:downstream:EVI5:protein_coding	intergenic	untranscribed
1	1_93418483_94052107	93858126	93858136	93858126	STR_58152	1	A	10.0,11.0,12.0,13.0	11.0	"{""10.0"": 182713.42, ""11.0"": 184683.65, ""12.0"": 606816.41, ""13.0"": 604.48}"	"{""10.0"": 182718, ""11.0"": 184681, ""12.0"": 607179, ""13.0"": 240}"	"{""[10.0, 10.0]"": 17349, ""[10.0, 11.0]"": 34373, ""[10.0, 12.0]"": 113603, ""[10.0, 13.0]"": 44, ""[11.0, 11.0]"": 19533, ""[11.0, 12.0]"": 111188, ""[11.0, 13.0]"": 54, ""[12.0, 12.0]"": 191123, ""[12.0, 13.0]"": 142}"	"{""10.0"": 121466.19, ""11.0"": 121816.99, ""12.0"": 416502.19, ""13.0"": 416.63}"	"{""10.0"": 121509, ""11.0"": 121777, ""12.0"": 416744, ""13.0"": 172}"	"{""[10.0, 10.0]"": 11076, ""[10.0, 11.0]"": 22570, ""[10.0, 12.0]"": 76756, ""[10.0, 13.0]"": 31, ""[11.0, 11.0]"": 11420, ""[11.0, 12.0]"": 76324, ""[11.0, 13.0]"": 43, ""[12.0, 12.0]"": 131783, ""[12.0, 13.0]"": 98}"	0.18461443618771226	0.5336425680553314	1.321322185265946	0.2446034676866087	"{""10.0"": 1.0, ""11.0"": 1.0, ""12.0"": 1.0, ""13.0"": 0.87}"	1.67e-11	0.02560307103144921	0.028430718263150967	0.16318	False	NA	NA	False	NA	none	6752:downstream:Y_RNA:misc_RNA	7571:upstream:RP4-713B5.2:processed_pseudogene,6752:downstream:Y_RNA:misc_RNA,95754:downstream:RNA5SP53:rRNA_pseudogene,46544:upstream:CCDC18-AS1:lncRNA,23076:downstream:DR1:protein_coding,55539:upstream:FNBP1L:protein_coding	intergenic	untranscribed
1	1_153481066_154824197	154428683	154428698	154428683	STR_75921	1	T	15.0,16.0,17.0	16.0	"{""15.0"": 0.0, ""16.0"": 583911.41, ""17.0"": 390906.62}"	"{""16.0"": 583566, ""17.0"": 391252}"	"{""[16.0, 16.0]"": 175624, ""[16.0, 17.0]"": 232318, ""[17.0, 17.0]"": 79467}"	"{""15.0"": 0.0, ""16.0"": 389994.75, ""17.0"": 270207.25}"	"{""16.0"": 389728, ""17.0"": 270474}"	"{""[16.0, 16.0]"": 115130, ""[16.0, 17.0]"": 159468, ""[17.0, 17.0]"": 55503}"	0.0	0.4836859329442584	0.9763340856106696	0.4926337349332816	"{""15.0"": ""NaN"", ""16.0"": 1.0, ""17.0"": 1.0}"	6.18e-306	-0.22645040440872677	-0.15746685074652314	0.81848	False	NA	NA	False	NA	none	0:inside:IL6R:protein_coding	76934:upstream:RP11-350G8.4:unprocessed_pseudogene,77118:upstream:RPSAP17:processed_pseudogene,49643:upstream:IL6R-AS1:lncRNA,41070:upstream:PSMD8P1:processed_pseudogene,23790:upstream:RP11-350G8.9:lncRNA,92355:downstream:UBE2Q1:protein_coding,97387:upstream:UBE2Q1-AS1:lncRNA,13550:downstream:SHE:protein_coding,45997:upstream:TDRD10:protein_coding,0:inside:IL6R:protein_coding	intron:IL6R:protein_coding	transcribed;IL6R-205:processed_transcript:4,IL6R-204:retained_intron:2,IL6R-201:protein_coding:1,IL6R-202:protein_coding:1
