str-isoform	gene_name	sample_n	GT_n	p_values	slope	error	shuffled_p	shuffled_slope	shuffled_error	BF_p	FDR_p	rej	Tissue	Sample_tshld
chr22_41365378-ENST00000406644.7	TEF	435	12	0.5896051589834967	0.024644754452258763	0.04565236191773915	0.3314762015387658	-0.053786118958173416	0.055318302957395725	1.0	1.0	False	Adipose_Subcutaneous	200
chr20_19921845-ENST00000255006.10	RIN2	441	11	0.4940171422247672	0.0303198234400596	0.04429224677149155	0.4167727436660461	-0.041190930942479206	0.0506748638621697	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_55051418-ENST00000610356.4	RDH13	361	8	0.8687412317867932	0.00923621969650264	0.055846872828590514	0.5072149428627173	-0.037374542884487966	0.05629578667519217	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_55051418-ENST00000415061.7	RDH13	361	8	0.8831509364919978	0.00798501031731376	0.05428712650745241	0.9585564762862032	-0.002867809838920393	0.055145790208138964	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_55051418-ENST00000291892.10	RDH13	361	8	0.10282393385025276	-0.07903698787920574	0.04831709697928352	0.3186561622022521	0.05585387686768576	0.05592578770373086	0.9254154046522748	1.0	False	Adipose_Subcutaneous	200
chr19_55051418-ENST00000592423.1	RDH13	361	8	0.144823623158309	-0.06327600023086177	0.043295805938399184	0.39389238798032944	-0.04767975569956436	0.055851816342838326	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_55051418-ENST00000586331.1	RDH13	361	8	0.9432663853116156	-0.0033029018534807605	0.0463769413042724	0.3026916554681735	0.05629472059022568	0.054534781444558825	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_49525050-ENST00000597801.1	RCN3	441	3	0.7998134125438148	-0.01113330871536468	0.043874825902288944	0.8671752753444575	-0.009164375012480802	0.05476126875903753	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_49525050-ENST00000270645.7	RCN3	441	3	1.7807922654412181e-06	0.2369758523284508	0.048897228507374116	0.7920495436690145	-0.014501900799271685	0.05496882750661356	1.7807922654412186e-05	0.0012431263226240462	True	Adipose_Subcutaneous	200
chr19_49525050-ENST00000595881.1	FCGRT	441	3	0.06029271701071968	-0.07446914834069403	0.03953136326095096	0.18238486275251714	0.07285345112029418	0.05454373519558822	0.3014635850535984	1.0	False	Adipose_Subcutaneous	200
chr19_49525050-ENST00000426395.7	FCGRT	441	3	0.43851950059135547	-0.033280575390274555	0.04291803828787124	0.8514936971877877	0.01031630396662452	0.055070226509870916	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_49525050-ENST00000221466.9	FCGRT	441	3	0.8498738493707408	-0.008611311061353575	0.045466790061652405	0.0783549366093045	0.0959669500581404	0.05438208276000932	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_40795370-ENST00000599579.5	EGLN2	428	8	0.00981271601445868	-0.08592228569627065	0.033113747027181416	0.06702517648240952	0.1007605168891586	0.054865794407812384	0.01962543202891736	0.4940038366862461	False	Adipose_Subcutaneous	200
chr19_40795370-ENST00000594140.5	EGLN2	428	8	0.15453257328388867	-0.058794051078134464	0.04121864728695858	0.8168044998045303	0.012544479109905658	0.054115548707480435	0.3090651465677773	1.0	False	Adipose_Subcutaneous	200
chr19_40795370-ENST00000303961.8	EGLN2	428	8	0.1277622474084678	0.056438346299585	0.03698100280602841	0.051978313862199456	0.10604344532835384	0.05440588446941836	0.3832867422254034	1.0	False	Adipose_Subcutaneous	200
chr19_40795370-ENST00000597476.5	RAB4B	428	8	0.3689358655279069	0.03584690293768685	0.03985283554702434	0.5119787721391318	0.0350444616809842	0.05339337494788342	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_40795370-ENST00000357052.7	RAB4B	428	8	0.09438385454101644	-0.060596426439348136	0.03614066056809058	0.2148136273950796	-0.06656058881852132	0.05357403337418309	0.4719192727050822	1.0	False	Adipose_Subcutaneous	200
chr19_35046809-ENST00000596662.5	HPN	441	3	0.1636432064347738	-0.06914532176769939	0.04955232360637477	0.5018030388276971	0.033585842084267424	0.04996075289857939	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_35046809-ENST00000593305.1	HPN	441	3	0.09665791730145487	0.08112644882042694	0.04872292614119335	0.7881581007594672	-0.013370462673377872	0.04972701754687928	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_35046809-ENST00000541345.6	HPN	441	3	0.9175241994708434	-0.005173634112375938	0.04993080263933543	0.4531731598311926	-0.03696881419327022	0.04923635184790358	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_35046809-ENST00000600390.1	HPN	441	3	0.6013155466587974	-0.025950868092676854	0.04962764471214185	0.6994843306486986	-0.019413255894298674	0.05025635157107963	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_35046809-ENST00000599363.5	HPN	441	3	0.06803231079542739	0.09137722412083203	0.04994447124048186	0.5404386779478028	-0.030516260470987506	0.04980959314382479	0.8844200403405561	1.0	False	Adipose_Subcutaneous	200
chr19_35046809-ENST00000597419.1	HPN	441	3	0.3317545346635482	0.04767726544335893	0.04906454320705248	0.1892632950267631	-0.06486467849208198	0.04932959895261188	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_35046809-ENST00000392226.5	HPN	441	3	0.22693095978756045	-0.059197686784258526	0.04891966212867909	0.2572572086145229	-0.05597818418609608	0.04934337270274757	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_35046809-ENST00000262626.6	HPN	441	3	0.7589152785520937	0.014640602776618682	0.04767242666109655	0.008884820526506661	-0.12907925817471064	0.04909998732939081	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_15225582-ENST00000263377.6	BRD4	441	3	0.1685514643089921	0.04070542210704211	0.029511970141279337	0.7281016107420197	-0.01733302591759606	0.049823676699940096	0.8427573215449604	1.0	False	Adipose_Subcutaneous	200
chr19_15225582-ENST00000435261.5	EPHX3	441	3	0.6082445548069504	0.024680525069978664	0.04811281741530698	0.5145159488909417	0.032125917193201126	0.04924392475365147	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_15225582-ENST00000221730.7	EPHX3	441	3	0.44089498238444347	0.037667415413306864	0.04882834115203938	0.8957298229388135	0.0063595321109656475	0.04849495142536262	0.8817899647688869	1.0	False	Adipose_Subcutaneous	200
chr19_3466223-ENST00000591708.1	SMIM24	357	7	0.8523456301407109	0.010798220423216731	0.057970061412984976	0.4459080073017592	0.04346918111141672	0.05695880961209161	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_3466223-ENST00000587847.1	SMIM24	357	7	0.65785419470484	0.026169375954073648	0.059035863678923814	0.5349644646653369	0.03566696025464707	0.057425734493954474	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_3466223-ENST00000215531.5	SMIM24	357	7	0.8187418107605028	-0.012909983364223882	0.05629033751855717	0.8970506562675188	0.007438204652319364	0.05744333638411352	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_3466223-ENST00000589537.1	NFIC	357	7	0.36821322624734665	0.04400677683631757	0.04883886498542318	0.27724258230127746	0.06376859920372073	0.05859294400719101	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_3466223-ENST00000590282.5	NFIC	357	7	0.4949258902649624	0.028863333992572363	0.042243941418260295	0.5009863588310481	-0.03936132794093472	0.05842733793930568	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_3466223-ENST00000589123.5	NFIC	357	7	0.02012554702932031	-0.08050548457739057	0.03447298326911469	0.2329045142593085	-0.06877698743381314	0.05754895008030905	0.6037664108796094	1.0	False	Adipose_Subcutaneous	200
chr18_69868804-ENST00000579496.5	CD226	412	10	0.33993108074410183	0.06344033612970408	0.06639581958523474	0.2837298892618161	0.07206485416880555	0.06713223551990229	1.0	1.0	False	Adipose_Subcutaneous	200
chr18_69868804-ENST00000582621.5	CD226	412	10	0.11791961023386098	0.1038025230864896	0.06623983365533741	0.6025220566915199	0.034114731923211274	0.06545329332782591	1.0	1.0	False	Adipose_Subcutaneous	200
chr18_69868804-ENST00000581982.5	CD226	412	10	0.004749805586146315	-0.1860473849460124	0.06550804600149512	0.4541019888316732	-0.05039215483378647	0.06724753818437908	0.061747472619902086	1.0	False	Adipose_Subcutaneous	200
chr18_69868804-ENST00000577287.5	CD226	412	10	0.3250508570645194	0.06433794014034548	0.06529178228603623	0.6866424484844806	0.02682443295591869	0.066443088612194	1.0	1.0	False	Adipose_Subcutaneous	200
chr18_69868804-ENST00000280200.8	CD226	412	10	0.7316139734134355	-0.02188858810160749	0.06377265809113145	0.6779048155601509	0.028160242386864605	0.06775147713512736	1.0	1.0	False	Adipose_Subcutaneous	200
chr18_69868804-ENST00000578928.1	CD226	412	10	0.0023488988901130504	0.1996477377098337	0.06519028554212189	0.13096145124369224	-0.10155090893625483	0.06709469017712963	0.03758238224180882	0.7961707526526651	False	Adipose_Subcutaneous	200
