chrom	start	end	any_strs
1	2345671	2639575	True
1	8227656	9020448	True
1	9194241	9489634	True
1	9579925	9860989	True
1	9863922	10327103	True
1	10947117	11449920	True
1	11791233	12389355	True
1	16400333	16857219	True
1	23514009	24350540	True
1	24952698	25388997	True
1	26439230	26823938	True
1	26867928	27423564	True
1	28384106	28893259	True
1	31323931	31573931	True
1	33637240	34016149	True
1	36818916	37068916	True
1	42148653	42688537	True
1	42736031	43004854	True
1	65030172	65718524	True
1	65910390	66160390	True
1	79310392	79560392	True
1	87576975	87911672	True
1	91762372	92207250	True
1	92834018	93152223	True
1	93413949	94024133	True
1	101051496	101807573	True
1	106389392	106639392	False
1	111190241	111569378	True
1	117271935	117536383	True
1	120519173	120806731	False
1	150061091	151222499	True
1	154865297	155155557	True
1	160459997	160710002	True
1	167052784	167564010	True
1	169537742	169791987	True
1	172598700	173381550	True
1	180908697	181211122	True
1	197925328	199326296	True
1	200136488	200507214	True
1	204324952	204697050	True
1	206523995	206812263	True
1	206831116	207093955	True
1	220859364	221329513	True
1	221898848	222177686	True
1	226778535	227206192	True
1	229539544	229839045	True
1	234610943	234860943	True
1	235922711	236234101	True
1	241898898	242159263	True
2	7578442	7925816	True
2	8299053	8613143	True
2	27473097	28410426	True
2	28553806	28894435	True
2	38133827	38404170	True
2	43211763	43980150	True
2	56987778	57244703	False
2	71152382	71402430	True
2	74137160	74417747	True
2	89872657	90122657	False
2	91597039	92302251	False
2	95403035	98001494	True
2	98017634	98896593	True
2	99262161	99578547	True
2	101986785	103816006	True
2	106308909	106661134	True
2	111588221	112546566	True
2	136673979	137144290	True
2	145181155	145588310	True
2	148451732	149080901	True
2	158369100	158645905	True
2	162985536	163249051	False
2	173211624	173524343	True
2	196525310	197190889	True
2	198686961	198936961	True
2	204422862	204811217	True
2	211415507	211968193	True
2	213440989	214645087	True
2	230958171	231312167	True
2	233859303	234245525	True
2	241875648	243047458	True
3	2990478	3345634	True
3	10101982	10444168	True
3	11901479	12592044	True
3	16731568	17276126	True
3	18113783	18407574	False
3	18571196	18821218	True
3	25203838	25473620	True
3	27632018	27956978	True
3	32911218	33333705	True
3	42424257	43223795	True
3	45789585	46591548	True
3	46945973	47212269	True
3	48088498	53256948	True
3	71356127	71754320	True
3	71984832	72234832	True
3	98212517	98662835	True
3	100803788	101677553	True
3	111677516	112930149	True
3	121617739	122139682	True
3	127535198	129854201	True
3	150815090	151096787	True
3	169334316	169709786	True
3	187891822	188144535	True
3	188216266	188620948	True
3	194250000	194531505	True
3	196197843	196734984	True
4	2405928	2885030	True
4	38194841	39074614	True
4	74474710	75169689	True
4	83357991	83758059	True
4	102577364	103313709	True
4	103324131	103574131	True
4	122861417	123755024	True
4	138959657	139222917	True
4	153109366	153645863	True
5	1152577	1481684	True
5	10462234	10771205	True
5	14447453	14826003	True
5	35583492	36305011	True
5	76424688	76679807	False
5	98000372	98581202	True
5	100060332	100310332	False
5	108882557	109132557	True
5	109669387	110209154	True
5	110262125	110898696	True
5	129016901	132626274	True
5	133295798	133744966	True
5	135097840	135372527	True
5	141269714	141875152	True
5	142270016	142777057	True
5	148048133	148393910	True
5	150304563	150587638	True
5	156530015	156789205	True
5	159743958	160043335	True
5	169565854	169824056	False
5	173080225	173503180	True
5	176516668	176940880	True
6	52050	817132	True
6	16276874	16526874	False
6	18216971	18466971	True
6	33383446	34282149	True
6	34559384	36054821	True
6	41902938	42724806	True
6	45532456	45782456	True
6	87631580	88540589	True
6	90681990	91199426	True
6	106504690	106912169	True
6	107251799	107577080	True
6	109152738	109514508	True
6	116968340	117455177	True
6	130216903	130479973	False
6	134899727	135663639	True
6	138003493	138394013	True
6	143094367	143359506	True
6	144260777	144566671	True
7	2952497	3308657	True
