chrom	start	end	any_strs
1	8395487	9072587	True
1	10032110	10282110	True
1	22162667	22470647	True
1	23714611	23978017	True
1	26865107	27433783	True
1	31072799	31379273	True
1	35851187	36101187	True
1	36733145	37125885	True
1	39165234	39424423	True
1	41229681	41483771	True
1	43283279	43563399	True
1	45666154	45916154	True
1	45961329	46752546	True
1	56399552	57033494	True
1	65767679	66614304	True
1	79150902	79642965	True
1	92552146	93608017	True
1	108568592	108869934	True
1	111561497	111851213	True
1	114041561	114556513	True
1	117419331	117669331	True
1	150203910	150544310	True
1	155934392	156271640	True
1	158805388	159703637	True
1	160943836	161327605	True
1	161347158	161816748	True
1	166686970	167063555	True
1	167475842	167725842	True
1	200171339	200533182	True
1	204898764	205422880	True
1	207757401	208188505	True
1	220849545	221182662	True
1	224217513	224830709	True
1	227016955	227638311	True
1	234781812	235130509	True
1	235696850	236316275	True
1	243514859	243780452	True
1	247416796	247777621	True
1	247821864	248168792	True
2	5703964	5953964	True
2	12773460	13093707	True
2	23754268	24779451	True
2	26904134	28541884	True
2	31332154	31591322	True
2	43229280	44032630	True
2	54662592	54912592	True
2	61105647	61988619	True
2	65410731	65838903	True
2	66542182	66792182	True
2	70078244	70532205	True
2	85396523	85811826	True
2	97714642	97964642	False
2	101540829	101945197	True
2	102175940	102728925	True
2	111736838	112149305	True
2	112462286	113094330	True
2	113396592	114058247	True
2	136470281	136720281	True
2	143689626	144016450	True
2	153160725	153411122	True
2	160080145	161481132	True
2	162675372	163362390	True
2	169529055	169876556	True
2	182183352	182461884	True
2	192389856	192738899	True
2	211415507	211668055	True
2	217476586	217726586	False
2	217802837	218052837	False
2	218173228	218423228	False
2	218649636	220290527	True
2	237621337	237997160	True
3	42616852	43152039	True
3	46857737	47711055	True
3	48343798	48593798	True
3	49130076	50162203	True
3	57595901	58002304	True
3	98258562	98554219	True
3	107115299	107506651	True
3	119401349	119947183	True
3	128065092	128808636	True
3	132081399	132331399	True
3	140743715	141366370	True
3	150582915	150832915	True
3	151851553	152143102	True
3	161251883	161501883	False
3	183607310	183857310	True
3	186079424	186329424	True
3	196340673	196676638	True
4	575032	919639	True
4	2721799	3508674	True
4	6776716	7170070	True
4	36180937	36543414	True
4	39486106	39758290	True
4	55168294	55705596	True
4	57599652	58028948	True
4	72433519	72806824	True
4	73736272	75501672	True
4	83357991	83755209	True
4	105347395	106511760	True
4	144467286	145151126	True
4	151060119	151421384	True
4	151581926	152348904	True
5	975831	1460385	True
5	46106754	46488991	True
5	49295639	49545639	True
5	49684031	50002174	True
5	68303137	68984472	True
5	69132075	69728488	False
5	69950443	70790526	False
5	71378687	71897130	True
5	71929940	72292095	True
5	87395821	87892158	True
5	87904627	88303683	True
5	96094850	96492408	True
5	107435230	107685230	True
5	121891232	122514162	True
5	131342589	131995689	True
5	132301851	132569128	True
5	141291935	141718428	True
5	148073999	148341319	True
5	155945965	156242431	True
5	156264419	156606383	True
5	156819895	157069895	True
5	172947647	173510908	True
5	176419299	176949137	True
5	178863230	179495127	True
6	6950094	7391059	True
6	16585967	16883425	True
6	20485720	21054041	True
6	21247634	21516282	True
6	22218592	22484515	False
6	33409726	33659726	True
6	35004816	35506099	True
6	36513636	36773816	True
6	42341634	42796130	True
6	43679571	43929571	True
6	87631580	88541268	True
6	90805513	91110688	True
6	109378976	109983803	True
6	121661091	121940687	True
6	126534043	127205700	True
6	135011078	135978830	True
6	136029729	136279729	True
6	136957948	137207948	True
6	138064884	138367624	True
6	144286338	144566671	False
6	147554631	147838764	True
6	159149336	159655595	True
7	2632867	3026601	True
7	5804568	6190309	True
7	6211241	6910376	True
7	7879152	8245471	True
7	23354013	23638093	True
7	25719504	25969504	True
7	28114527	28455654	True
7	28589427	29016021	True
7	35949035	36210142	True
7	36609539	36880311	True
7	44652556	45282289	True
7	50132634	50542632	True
7	55908558	56197250	True
7	64548834	64817063	False
7	64853401	66579534	True
7	72686587	73183017	True
7	75369429	75620524	True
7	91942707	92771235	True
7	97808601	98142016	True
7	98885402	99465049	True
7	104579314	105013883	True
7	106181822	106501061	True
7	129116183	129453738	True
7	130604238	130891281	True
7	148631738	149104959	True
8	7963230	8512095	True
8	8512429	9319985	True
8	9794142	11585909	True
8	22802696	23126125	True
8	26110300	26426651	True
8	30146637	30526367	True
8	30631870	31107654	True
8	55282285	55596417	True
8	56518766	56924111	True
8	61173005	61934918	True
8	68650712	69033733	True
8	69517490	69767490	False
8	78751167	79271334	True
8	87015413	87366715	True
8	103691785	104058649	True
8	106387828	106718207	True
8	122862982	123112982	False
8	126151895	126632389	True
8	130361168	130821145	True
8	142075205	142550303	True
9	22425	482653	True
9	2497121	2747278	True
9	4519835	5113761	True
9	79179020	79451931	True
9	86243660	86819759	True
9	113759121	114081901	True
9	114528992	114785452	True
9	115793552	116210822	True
9	116799181	117052311	True
9	126395068	126806878	True
9	126848873	127316583	True
9	130634402	130884402	True
9	131340481	131593740	True
9	135739513	136464755	True
9	136754733	137048331	True
9	137713081	137998099	True
9	139124520	139514184	True
10	25053864	25351483	True
10	28638050	29118896	True
10	44747361	45010781	True
10	64265647	64515776	True
10	64636091	65548144	True
10	69418215	69777356	True
10	73394573	73662190	True
10	79786929	80068274	True
10	89493430	89901959	True
10	90877804	91139061	True
10	93485121	93774884	True
10	95946561	96507128	True
10	96886104	97150955	True
10	98817832	99485792	True
10	104368444	105088051	True
10	111813667	112068692	True
10	115594472	115844472	True
10	126139996	126662000	True
10	133611636	133903652	True
11	174617	460885	True
11	2200427	2450427	True
11	2879526	3134640	True
11	8703147	8953147	True
11	9592083	10025113	True
11	10105855	10491603	True
11	11689701	11986701	True
11	12734917	13010617	True
11	47173201	48234948	True
11	59701677	60146508	True
11	61417006	61782926	True
11	63922556	64239263	True
11	107862784	108492453	True
11	113825821	114136710	True
11	117722849	119200521	True
11	120088360	120461902	True
11	122371619	122651069	True
11	125884701	126338395	True
11	127927423	128474430	True
12	3213920	3512697	True
12	4205068	4459308	False
12	9272075	9522075	False
12	50250477	51680691	True
12	52169257	52486653	True
12	53382035	54194817	False
12	64838528	65107202	True
12	66202632	66514968	True
12	69493426	69919856	True
12	72054446	72304446	False
12	88300511	88550511	True
12	88556977	89140821	True
12	91751009	92001009	False
12	98608788	98992016	True
12	110206967	110456967	False
12	110933188	113290247	True
12	119984284	120271925	False
12	122084333	122393696	True
12	123671283	124020578	True
13	28388538	28974762	True
13	42579155	43050732	True
13	49984285	50266345	True
13	108868494	109118494	True
13	113981979	114427622	True
14	25303420	25707493	True
14	35256986	35730161	True
14	65395340	65647995	True
14	68953074	69439956	True
14	69685752	70114411	True
14	77718814	78246934	True
14	92885967	93256795	True
14	103882500	104143105	True
14	105133437	105402209	True
14	105484335	105885216	True
15	41376390	42411771	True
15	50591633	51641055	True
15	64221764	65222525	True
15	65570786	66206188	True
15	67709192	68142574	True
15	75099810	75505424	True
15	76352038	77441133	True
15	91287848	91564418	True
15	101575350	101875459	True
15	101942841	102193658	False
16	1215465	1501929	True
16	3433944	4084911	True
16	24724164	24974164	True
16	49758927	50010785	True
16	53672908	53954963	True
16	74471618	74726486	True
16	81432689	81741668	True
16	85565751	86141328	True
17	1185514	1498612	True
17	1876825	2422571	True
17	4614161	5527957	True
17	7101957	7365391	True
17	7528063	8005565	True
17	8014760	8342348	True
17	15678128	16444395	True
17	17524423	17789563	True
17	19679247	20066716	True
17	27520258	28663715	True
17	33668208	33946247	True
17	36468865	36782461	True
17	36936783	39043916	True
17	40388732	41802771	True
17	43335181	44990603	True
17	45891199	46444476	True
17	47065299	47315299	False
17	55338336	55591426	False
17	56143234	58201547	True
17	67013919	67303972	True
17	72548667	72899778	True
17	74351759	74602178	True
18	19568392	19862047	True
18	20949922	21284630	True
18	21467815	21982742	True
18	41691365	42414776	True
18	43587542	43981297	True
18	47954862	48287162	True
18	51479191	51903374	True
18	53085302	53523626	True
18	67386645	67669046	True
18	73946078	74201020	True
19	725733	1210966	True
19	2983323	3544965	True
19	4784629	5205200	True
19	7643952	7978716	True
19	10199236	11061814	True
19	14392736	14642736	True
19	18351711	18762194	True
19	19241632	19925289	True
19	33766013	34019043	True
19	39785517	40129284	True
19	42615612	42893291	True
19	43835114	44279452	True
19	45590853	45940824	True
19	47631290	47908482	True
19	48973356	49287501	False
19	51594476	52011922	True
20	1421742	1725925	True
20	8000283	8266925	True
20	38964475	39403391	True
20	42696839	43167364	True
20	47240805	47509301	False
20	62069713	62501939	True
21	18778756	19072037	True
21	38595971	39042687	True
21	39712386	40003982	True
21	40333508	40604387	True
22	17455117	17960278	True
22	17985584	18413362	True
22	24109664	24524364	True
22	31412342	32344628	True
22	39394050	39688208	True
