chrom	start	end
1	833248	1083248
1	1180929	1633823
1	1880740	2378864
1	6779565	7147885
1	7788029	8807318
1	9163512	9700712
1	10038666	10766803
1	10971422	11511625
1	13819236	14069236
1	16777661	17620311
1	19103615	19353615
1	19513090	20098920
1	20906983	21782162
1	22111816	22673819
1	23136834	23778041
1	25061151	25518004
1	25995070	27596887
1	31048948	31330796
1	31939903	33039257
1	33569714	34040751
1	36556373	36972766
1	37781803	38588504
1	40259042	40939528
1	41240202	42496414
1	43813801	44195691
1	45897442	46723273
1	47651938	48109438
1	50681455	52115581
1	52140969	53170848
1	53456972	53714801
1	53913536	54335899
1	54730551	55084294
1	55991232	56246180
1	56397571	56891830
1	62435229	62685229
1	65047350	65723245
1	67240034	67639591
1	71337320	71887203
1	77785075	79186593
1	85551959	86122286
1	86126836	87047161
1	88482307	88749841
1	88835005	89576864
1	92100773	94039322
1	96864155	97150910
1	102918882	103882081
1	109691863	109947166
1	112925985	113372563
1	118716141	119941255
1	120003778	120399455
1	144690659	145121854
1	146564932	147254581
1	148988215	149238215
1	149652383	151828257
1	154397394	154741450
1	154854973	155390446
1	155476849	155915992
1	155934392	156334026
1	170524277	171020370
1	171299830	173020439
1	173873915	174308758
1	175767612	177712709
1	180778384	181034061
1	182817202	183673643
1	183798643	184797098
1	199691032	200272649
1	203641395	203952266
1	205514611	205935947
1	211841168	212688919
1	214475783	214824159
1	217656558	218146662
1	218333058	219270424
1	219313022	220081597
1	221080860	221503399
1	223023387	223303026
1	224392064	224830709
1	225723979	226137577
1	227017699	228456783
1	230907459	231216252
1	234626563	234888265
1	235152746	235758224
1	243271079	244291235
2	0	430573
2	1504505	1879932
2	5705506	5959250
2	9422171	9823190
2	9964467	10531843
2	11242038	11610231
2	19371694	19788114
2	19917817	20742424
2	23744571	25736672
2	25776513	26288683
2	27255933	28752629
2	32600488	32974224
2	33042976	33973175
2	35454544	35704544
2	36488698	37016038
2	37792363	38434886
2	38833288	39083288
2	42246665	43068739
2	43321193	43975590
2	44189943	45217586
2	46512364	47408557
2	48405981	48655981
2	53981936	56516939
2	59990069	60380567
2	60579734	60859361
2	61357261	61611690
2	65622442	65910369
2	68229673	68625578
2	69173854	69527025
2	69568747	70683994
2	71210872	72502384
2	72962940	73212940
2	74587596	74837596
2	85612362	86015758
2	88654513	89283932
2	89375559	89684427
2	89713051	90574567
2	91555844	91853544
2	91935978	92430985
2	95204559	99306315
2	99904211	100154211
2	102970404	103302565
2	105002085	105276539
2	105359195	105632500
2	105744236	106144433
2	106562456	106956024
2	111746897	112071824
2	121450289	121773019
2	127888973	128265500
2	128716702	129187290
2	141413424	141710037
2	156464051	156753917
2	156928090	157334394
2	161038867	161328395
2	169494640	169876556
2	170465979	170720264
2	171618884	172752720
2	174598407	175012563
2	178197024	179118329
2	183566020	184047000
2	189786845	190036845
2	191444555	191968830
2	199051823	199375153
2	199562018	200612885
2	200846168	201096168
2	201636136	202504562
2	202801254	203572875
2	208604540	208881352
2	210939876	211190542
2	216078672	216553760
2	217474731	218741926
2	218816916	220381984
2	223792285	224088874
2	224736161	226068984
2	226568125	227611155
2	231005183	231275946
2	232074478	234019001
2	239106723	239762675
2	241541628	242746939
3	8421992	8678238
3	9850386	10467987
3	11500811	11807129
3	12377955	12863605
3	13411488	14611017
3	23000457	23349632
3	23837646	24533237
3	25258666	25536681
3	29927399	30206785
3	32972489	34029026
3	36842084	37394678
3	37761102	38178538
3	41032024	41541684
3	42918647	43317583
3	45485284	45763521
3	46467530	53604895
3	55283177	55655187
3	55891020	56920220
3	57308225	57823874
3	57843183	58276947
3	61374487	61790606
3	61847129	62163941
3	67214356	67551281
3	72255265	72653247
3	87180728	87474897
3	94089235	94339235
3	98247226	100049774
3	104192068	104442068
3	112699212	113130743
3	114074650	115339586
3	117391836	117800255
3	122770315	123256254
3	125046110	125380186
3	128171787	128440616
3	128664886	129948382
3	133654876	134483947
3	135359352	137241656
3	140900987	141529593
3	142090173	142808950
3	145611497	145996497
3	146848383	147417393
3	148589249	148839249
3	149376080	149641674
3	151783989	152108261
3	155755570	156005570
3	156104977	157218047
3	157465843	158410280
3	168967995	169457833
3	169576455	169956268
3	171646754	172421986
3	183412698	183663524
3	183819011	184145542
3	184718418	185952955
3	187230305	187677491
3	187897311	188452019
3	189682632	189932632
3	190504975	191047399
4	589889	2143162
4	2733005	3660914
4	4891883	5177136
4	6791263	7193987
4	7719754	8064008
4	8267724	8783448
4	9886321	10178431
4	12480017	13389141
4	13411617	13810775
4	17430649	18395350
4	18508519	18758519
4	25217606	25533838
4	38440100	38827996
4	38938614	40318538
4	42852551	43102551
4	44996873	45259713
4	48309922	49449633
4	52536630	53041480
4	54093086	54491971
4	56142473	56621785
4	56790061	57064713
4	57583306	58042126
4	73022931	73792593
4	81098858	82553605
4	83163175	83413175
4	86498513	86885684
4	86910344	88900243
4	97450988	97795151
4	100269210	100782673
4	102577364	103512161
4	104247565	104500394
4	104932621	106681654
4	109151830	109753380
4	114758122	115021904
4	120297407	120915884
4	122536021	122971028
4	122982088	123430496
4	123462690	124381835
4	129479804	129747147
4	139839055	140259722
4	144089991	146366836
4	146701444	146976785
4	149594444	149844444
4	151867734	152117734
4	152155333	152802527
4	157488630	157910885
4	175729023	175983682
4	181775205	182025205
4	183789380	184378083
4	186572494	186832604
4	187118741	187368741
4	189772714	190022714
5	55352	527231
5	6579551	6915691
5	29073368	29328583
5	31403627	31658952
5	31837029	32087029
5	32547263	33663165
5	36028781	36306627
5	36556820	37952759
5	39230591	39562622
5	39901293	40151293
5	41154237	43073276
5	44864263	45225129
5	50293865	50609720
5	52619900	52920785
5	54200369	55446822
5	55669632	56402372
5	58303705	58739985
5	64220499	65191507
5	66828795	67771642
5	71591874	72537461
5	77167802	77940123
5	78185191	78448656
5	78789226	79106550
5	88101422	89191542
5	90026589	90545644
5	95402057	95890413
5	98061545	98311545
5	101537386	102836524
5	107236376	107486376
5	107775840	108543336
5	111885749	112379377
5	114648970	115205488
5	115838239	116088239
5	121144498	121548121
5	122523571	123263998
5	123820171	124156873
5	126872060	127122060
5	127126031	128067076
5	128678099	132080528
5	133702615	134657562
5	137325345	137913495
5	138507030	139271652
5	139639132	140120786
5	140397425	141177870
5	142495153	142915752
5	143017403	143297805
5	149173808	149449376
5	156575715	156928499
5	158239449	158642246
5	158759119	159060685
5	166759368	167009368
5	168085330	168427616
5	170636753	171718902
5	172046137	172323639
5	172398457	173147921
5	175718884	175980431
5	176058066	177347617
5	178303830	178830430
5	179375722	179915552
5	180490933	180785259
6	1491265	2500830
6	3673956	3923956
6	6741385	7022489
6	7051468	8011905
6	15271935	15605698
6	18344619	18673766
6	19576645	20076328
6	21930469	22227423
6	33406802	36464143
6	36961284	37211284
6	39038201	39312886
6	39722279	39972279
6	41346389	42139304
6	42824125	43490360
6	44380379	45533316
6	45534895	45784895
6	47216463	47833334
6	56683717	57016979
6	71955144	72332115
6	75837953	76775319
6	80034439	83070613
6	83133886	84536252
6	85138811	85597129
6	87660581	87963783
6	89668894	90002116
6	99990002	100286940
6	104897235	105793762
6	108370950	109145634
6	109527236	110286104
6	116057024	117696934
6	117734112	118114912
6	125920148	127564893
6	129673859	129955341
6	129992284	130855087
6	130859766	131580383
6	132141315	132391315
6	132468091	132747337
6	133486571	133974789
6	136100316	136352558
6	139074890	139476193
6	139894188	140863349
6	141158638	143208978
6	148927679	149177679
6	151573596	152646013
6	155422800	155774655
6	156353608	156713256
6	158524121	159074664
6	160544718	161094738
6	163967291	164306368
6	165764031	166014031
6	166028804	166709842
6	168591944	169207400
6	169213054	169781531
7	461907	737635
7	1432646	1711239
7	2362344	3056827
7	5202814	5520553
7	7875712	8340543
7	12126560	12401045
7	12448119	12740992
7	15587852	15846178
7	17824807	18078829
7	18523426	19047292
7	19060177	20058974
7	20208435	20841209
7	22984316	24431888
7	25439584	26179105
7	27436844	28532150
7	28588577	29018108
7	32422070	33653762
7	34953980	35429164
7	37822103	38278444
7	42063538	42364557
7	45830029	46995634
7	50456972	51005630
7	55677063	56330592
7	64961756	66487857
7	72581794	73106883
7	73164579	73617035
7	77009132	77715681
7	84420533	84785086
7	86980176	87230176
7	91280630	92802588
7	93024068	93413572
7	93911656	94181044
7	96466668	96736052
7	98738749	100197772
7	100482587	101168928
7	101982635	102232635
7	120596025	121044495
7	121829709	122129779
7	122571041	122886872
7	129538496	129788496
7	130497564	130781186
7	134252266	134573000
7	134878130	135575898
7	137412526	137783446
7	139587418	140930883
7	143694400	143977421
7	148235753	149132953
7	150373508	151186376
8	4656874	4947246
8	8125204	9744909
8	10161615	10459617
8	11344077	11718222
8	12538064	12811438
8	12886273	13513640
8	19142830	19508467
8	21652476	21994727
8	22103970	22395290
8	22964742	24331426
8	25119270	25564538
8	26001461	26391834
8	27366654	27689846
8	30175915	30613688
8	41038687	41664868
8	48917139	49714245
8	54340508	54590508
8	56382512	56632512
8	56688099	57850182
8	60367909	61066645
8	67305804	67740881
8	68683454	68933454
8	70007848	70298749
8	75666023	76362126
8	77636919	79303234
8	92139383	92389383
8	116324100	116770056
8	117352450	117711720
8	119956031	121453547
8	123844205	124120237
8	124122681	124580548
8	126322168	126651063
8	127880150	128157672
8	128474672	128726016
8	128851251	129401706
8	130400397	131567851
8	134480583	134749572
8	134915999	135965571
8	141427183	141688510
8	142195537	142485257
8	143796083	144624812
8	144643317	145658974
9	4615251	4865251
9	13736802	14051247
9	14314816	14585182
9	16275150	17546060
9	18504283	18754283
9	18867772	19117772
9	22017756	22354733
9	33537083	33892480
9	34233694	34483694
9	35561564	36075625
9	78343808	78935344
9	83130161	83540167
9	84100652	84358764
9	84864093	85254970
9	86097717	86822799
9	88745898	89295857
9	89498396	90076180
9	90468953	91186756
9	94085046	94611321
9	94799384	95765171
9	96038260	99964037
9	99972508	100222508
9	100615124	100922597
9	101613188	101979310
9	103759375	104021668
9	108505267	110036084
9	112801808	113143755
9	113553305	114460873
9	116043755	116294303
9	116912915	117176847
9	117765567	119615572
9	123226121	124453533
9	125385785	126358079
9	128028244	128873566
9	129500226	130054844
9	133289686	133762470
9	135956319	136527345
9	136757821	137165503
9	138955679	139750380
10	4743303	5186978
10	7319842	7597693
10	11750086	12334752
10	12767927	13253647
10	17034192	17284192
10	18275311	18525311
10	22774041	23024041
10	23588792	23961719
10	24051183	24332357
10	25033161	25502328
10	27578725	28510930
10	28655293	29118896
10	29366325	29633589
10	30988978	31254883
10	31951799	32402479
10	34552759	34820333
10	43518466	43818727
10	50382975	50662013
10	52598732	52922543
10	53099483	53463334
10	54212611	54589011
10	61272399	61908595
10	61931744	62322950
10	63593479	63893959
10	64324879	64731237
10	64749754	65507316
10	69775776	70930261
10	71235697	71485697
10	79392758	80039330
10	80776780	81497231
10	87895583	88146537
10	89469580	89958475
10	92801315	93777429
10	94735602	95134325
10	97634583	98094369
10	98430220	98911219
10	99668012	100159296
10	101722715	102483045
10	102501510	102897283
10	103266386	103597102
10	104095301	105316397
10	105339082	105819301
10	114228465	114478465
10	115663495	115939806
10	119872476	120156952
10	120297177	120644944
10	120798781	121837667
10	123266674	123791098
10	123906254	124453533
10	124655005	124905005
10	124929048	125230668
10	126122226	126800932
10	127627706	127877706
10	131018149	131578891
10	133614005	133910336
11	72337	322337
11	1761676	2319175
11	2615934	2987244
11	8130408	8389525
11	9264875	9675673
11	9908265	10458849
11	11608393	12134140
11	12515248	13025347
11	13105507	13477405
11	13743018	15283596
11	16903390	17546886
11	17808321	18288571
11	18367758	18823811
11	20066600	20316600
11	26668052	27141447
11	30135674	30645163
11	45072060	45378866
11	45825428	50907333
11	50968950	51718954
11	54575697	56686996
11	57312551	57645849
