chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_43274167_43585154	43429968	43429988	43429968	STR_30387	1	T	18.0,19.0,20.0,21.0,22.0,23.0	21.0	"{""18.0"": 1596.57, ""19.0"": 204193.96, ""20.0"": 35128.09, ""21.0"": 638621.93, ""22.0"": 93941.87, ""23.0"": 1338.85}"	"{""18.0"": 1428, ""19.0"": 203568, ""20.0"": 32140, ""21.0"": 642156, ""22.0"": 94545, ""23.0"": 981}"	"{""[18.0, 18.0]"": 40, ""[18.0, 19.0]"": 328, ""[18.0, 20.0]"": 172, ""[18.0, 21.0]"": 734, ""[18.0, 22.0]"": 63, ""[18.0, 23.0]"": 51, ""[19.0, 19.0]"": 21221, ""[19.0, 20.0]"": 6801, ""[19.0, 21.0]"": 134010, ""[19.0, 22.0]"": 19770, ""[19.0, 23.0]"": 217, ""[20.0, 20.0]"": 618, ""[20.0, 21.0]"": 20858, ""[20.0, 22.0]"": 2948, ""[20.0, 23.0]"": 125, ""[21.0, 21.0]"": 211859, ""[21.0, 22.0]"": 62357, ""[21.0, 23.0]"": 479, ""[22.0, 22.0]"": 4678, ""[22.0, 23.0]"": 51, ""[23.0, 23.0]"": 29}"	"{""18.0"": 197.8, ""19.0"": 140926.31, ""20.0"": 23057.96, ""21.0"": 442445.28, ""22.0"": 64311.76, ""23.0"": 225.26}"	"{""18.0"": 113, ""19.0"": 140472, ""20.0"": 20981, ""21.0"": 444745, ""22.0"": 64844, ""23.0"": 7}"	"{""[18.0, 19.0]"": 26, ""[18.0, 20.0]"": 6, ""[18.0, 21.0]"": 67, ""[18.0, 22.0]"": 14, ""[19.0, 19.0]"": 14618, ""[19.0, 20.0]"": 4447, ""[19.0, 21.0]"": 93139, ""[19.0, 22.0]"": 13623, ""[19.0, 23.0]"": 1, ""[20.0, 20.0]"": 306, ""[20.0, 21.0]"": 13918, ""[20.0, 22.0]"": 1998, ""[21.0, 21.0]"": 147324, ""[21.0, 22.0]"": 42968, ""[21.0, 23.0]"": 5, ""[22.0, 22.0]"": 3120, ""[22.0, 23.0]"": 1}"	0.1308066755689072	0.5067792222166779	1.3499743827791946	0.6105510863335636	"{""18.0"": 0.68, ""19.0"": 1.0, ""20.0"": 0.95, ""21.0"": 0.99, ""22.0"": 0.99, ""23.0"": 0.32}"	5.13e-14	0.00809133389570671	0.010521237992676943	0.46283	False	NA	NA	False	NA	none	0:inside:SLC2A1-AS1:lncRNA	75530:upstream:RP11-342M1.7:processed_pseudogene,71867:upstream:MKRN8P:processed_pseudogene,60385:downstream:ATP6V1E1P1:processed_pseudogene,11656:upstream:ATP6V0CP4:processed_pseudogene,2433:upstream:RP5-848E13.4:lncRNA,27121:upstream:RNU6-880P:snRNA,59232:downstream:RNU6-870P:snRNA,5404:upstream:SLC2A1:protein_coding,0:inside:SLC2A1-AS1:lncRNA	intron:SLC2A1-AS1:lncRNA	transcribed;SLC2A1-AS1-202:lncRNA:2,SLC2A1-AS1-203:lncRNA:missing from gencode,SLC2A1-AS1-204:lncRNA:missing from gencode,SLC2A1-AS1-201:retained_intron:2
1	1_78399194_78832493	78526585	78526596	78526585	STR_50149	1	T	11.0,12.0,13.0	12.0	"{""11.0"": 138271.23, ""12.0"": 586559.88, ""13.0"": 249986.95}"	"{""11.0"": 137401, ""12.0"": 587283, ""13.0"": 250134}"	"{""[11.0, 11.0]"": 10277, ""[11.0, 12.0]"": 81307, ""[11.0, 13.0]"": 35540, ""[12.0, 12.0]"": 178203, ""[12.0, 13.0]"": 149570, ""[13.0, 13.0]"": 32512}"	"{""11.0"": 101230.05, ""12.0"": 395936.25, ""13.0"": 173995.7}"	"{""11.0"": 100726, ""12.0"": 396309, ""13.0"": 174127}"	"{""[11.0, 11.0]"": 7662, ""[11.0, 12.0]"": 59231, ""[11.0, 13.0]"": 26171, ""[12.0, 12.0]"": 117222, ""[12.0, 13.0]"": 102634, ""[13.0, 13.0]"": 22661}"	0.15082804151605722	0.5614983549558489	1.364439141546196	0.1726535447843403	"{""11.0"": 0.99, ""12.0"": 0.99, ""13.0"": 1.0}"	7.4e-11	0.009832348131347146	0.008775822798770792	0.0526704	False	NA	NA	False	NA	none	0:inside:GIPC2:protein_coding	56347:upstream:RP11-386I14.4:lncRNA,36040:upstream:RP11-386I14.5:lncRNA,16753:upstream:RP11-386I14.2:processed_pseudogene,28076:downstream:RNU6-1102P:snRNA,30587:upstream:RP11-386I14.3:processed_pseudogene,33895:downstream:RNA5SP22:rRNA_pseudogene,81791:upstream:FUBP1:protein_coding,42937:downstream:DNAJB4:protein_coding,0:inside:GIPC2:protein_coding	intron:GIPC2:protein_coding	transcribed;GIPC2-202:processed_transcript:3,GIPC2-201:protein_coding:1
1	1_204752670_205394501	204887713	204887731	204887713	STR_104118	1	T	18.0,19.0,20.0,21.0,22.0	19.0	"{""18.0"": 7291.33, ""19.0"": 456335.5, ""20.0"": 500179.33, ""21.0"": 9047.85, ""22.0"": 2029.72}"	"{""18.0"": 4532, ""19.0"": 459556, ""20.0"": 507501, ""21.0"": 1767, ""22.0"": 1462}"	"{""[18.0, 18.0]"": 9, ""[18.0, 19.0]"": 2078, ""[18.0, 20.0]"": 2417, ""[18.0, 21.0]"": 10, ""[18.0, 22.0]"": 9, ""[19.0, 19.0]"": 108886, ""[19.0, 20.0]"": 238235, ""[19.0, 21.0]"": 814, ""[19.0, 22.0]"": 657, ""[20.0, 20.0]"": 132594, ""[20.0, 21.0]"": 907, ""[20.0, 22.0]"": 754, ""[21.0, 21.0]"": 8, ""[21.0, 22.0]"": 20, ""[22.0, 22.0]"": 11}"	"{""18.0"": 5006.58, ""19.0"": 313567.44, ""20.0"": 346001.03, ""21.0"": 5758.98, ""22.0"": 873.24}"	"{""18.0"": 3076, ""19.0"": 316214, ""20.0"": 350610, ""21.0"": 743, ""22.0"": 519}"	"{""[18.0, 18.0]"": 5, ""[18.0, 19.0]"": 1398, ""[18.0, 20.0]"": 1664, ""[18.0, 21.0]"": 2, ""[18.0, 22.0]"": 2, ""[19.0, 19.0]"": 74819, ""[19.0, 20.0]"": 164615, ""[19.0, 21.0]"": 328, ""[19.0, 22.0]"": 235, ""[20.0, 20.0]"": 91819, ""[20.0, 21.0]"": 412, ""[20.0, 22.0]"": 281, ""[21.0, 22.0]"": 1}"	0.017340098238208892	0.5051065001464266	1.0553948955149464	0.0506768453589325	"{""18.0"": 0.84, ""19.0"": 0.98, ""20.0"": 0.98, ""21.0"": 0.49, ""22.0"": 0.78}"	1.67e-08	-0.012260969700408393	-0.009322170928468498	0.498875	False	NA	NA	False	NA	none	0:inside:NFASC:protein_coding	89311:upstream:RP11-80N9.1:lncRNA,13767:upstream:SNORD112:snoRNA,28005:upstream:RP11-494K3.2:processed_pseudogene,0:inside:NFASC:protein_coding	intron:NFASC:protein_coding	transcribed;NFASC-206:processed_transcript:1,NFASC-201:protein_coding:5,NFASC-204:protein_coding:2,NFASC-224:protein_coding:missing from gencode,NFASC-221:protein_coding:1,NFASC-209:protein_coding:5,NFASC-214:processed_transcript:2,NFASC-205:protein_coding:5,NFASC-222:retained_intron:1,NFASC-223:protein_coding:5
2	2_8615722_8889874	8749386	8749441	8749386	STR_707218	5	ACTCT	9.2,10.2,11.2	11.2	"{""9.2"": 861.96, ""10.2"": 374177.98, ""11.2"": 599778.06}"	"{""9.2"": 424, ""10.2"": 375571, ""11.2"": 598823}"	"{""[9.2, 9.2]"": 7, ""[9.2, 10.2]"": 198, ""[9.2, 11.2]"": 212, ""[10.2, 10.2]"": 72291, ""[10.2, 11.2]"": 230791, ""[11.2, 11.2]"": 183910}"	"{""9.2"": 320.17, ""10.2"": 256288.97, ""11.2"": 414552.86}"	"{""9.2"": 64, ""10.2"": 257211, ""11.2"": 413887}"	"{""[9.2, 10.2]"": 28, ""[9.2, 11.2]"": 36, ""[10.2, 10.2]"": 49180, ""[10.2, 11.2]"": 158823, ""[11.2, 11.2]"": 127514}"	0.0004770383305371878	0.4728482464910802	0.9616376797104964	0.4720321262018723	"{""9.2"": 0.61, ""10.2"": 1.0, ""11.2"": 1.0}"	5.74e-10	-0.012378469629631184	-0.008526262633591651	0.133889	False	NA	NA	False	NA	none	0:inside:AC011747.6:lncRNA	5897:downstream:SNRPEP5:processed_pseudogene,69534:upstream:ID2:protein_coding,0:inside:AC011747.6:lncRNA,57325:downstream:ID2-AS1:lncRNA,16353:upstream:LINC01814:lncRNA	intron:AC011747.6:lncRNA	transcribed;AC011747.6-001:lncRNA:4
2	2_27473097_27877871	27739881	27739898	27739877	STR_717904	1	T	16.0,17.0,18.0	18.0	"{""16.0"": 5978.58, ""17.0"": 522790.44, ""18.0"": 446049.15}"	"{""16.0"": 5715, ""17.0"": 523508, ""18.0"": 445595}"	"{""[16.0, 16.0]"": 235, ""[16.0, 17.0]"": 2941, ""[16.0, 18.0]"": 2304, ""[17.0, 17.0]"": 141055, ""[17.0, 18.0]"": 238457, ""[18.0, 18.0]"": 102417}"	"{""16.0"": 2026.62, ""17.0"": 360369.14, ""18.0"": 308766.24}"	"{""16.0"": 1839, ""17.0"": 360847, ""18.0"": 308476}"	"{""[16.0, 16.0]"": 4, ""[16.0, 17.0]"": 982, ""[16.0, 18.0]"": 849, ""[17.0, 17.0]"": 97059, ""[17.0, 18.0]"": 165747, ""[18.0, 18.0]"": 70940}"	0.0030195690459233386	0.4996843953305014	1.020120885443644	0.7131052448538482	"{""16.0"": 0.98, ""17.0"": 1.0, ""18.0"": 1.0}"	1.88e-08	0.011077990775591573	0.00789873201228115	0.0550929	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
2	2_27473097_27877871	27750811	27750825	27750811	STR_717917	1	T	14.0,15.0,16.0	15.0	"{""14.0"": 553513.59, ""15.0"": 420087.86, ""16.0"": 1216.48}"	"{""14.0"": 553483, ""15.0"": 420687, ""16.0"": 648}"	"{""[14.0, 14.0]"": 157701, ""[14.0, 15.0]"": 237717, ""[14.0, 16.0]"": 364, ""[15.0, 15.0]"": 91343, ""[15.0, 16.0]"": 284}"	"{""14.0"": 380252.54, ""15.0"": 290053.29, ""16.0"": 856.17}"	"{""14.0"": 380205, ""15.0"": 290508, ""16.0"": 449}"	"{""[14.0, 14.0]"": 107784, ""[14.0, 15.0]"": 164385, ""[14.0, 16.0]"": 252, ""[15.0, 15.0]"": 62963, ""[15.0, 16.0]"": 197}"	0.0012756532700003874	0.491737913383075	0.9944196303137526	0.5263310249212498	"{""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.76}"	1.8e-08	0.010383592514668685	0.007317146877131188	0.0591361	False	NA	NA	False	NA	none	4260:downstream:GCKR:protein_coding	81463:downstream:KRTCAP3:protein_coding,72082:downstream:AC074117.13:processed_pseudogene,52349:upstream:RNU6-986P:snRNA,32744:upstream:FNDC4:protein_coding,53931:downstream:AC074091.1:miRNA,97680:downstream:CCDC121:protein_coding,38139:upstream:IFT172:protein_coding,4260:downstream:GCKR:protein_coding,55011:upstream:ZNF512:protein_coding,55088:upstream:RP11-158I13.2:lncRNA,85685:downstream:NRBP1:protein_coding,9428:upstream:C2orf16:protein_coding	intergenic	untranscribed
3	3_132002836_132383236	132156895	132156912	132156892	STR_979870	1	A	16.0,17.0,18.0,19.0	18.0	"{""16.0"": 2428.81, ""17.0"": 399154.39, ""18.0"": 571233.7, ""19.0"": 2014.5}"	"{""16.0"": 1256, ""17.0"": 399779, ""18.0"": 572409, ""19.0"": 1374}"	"{""[16.0, 16.0]"": 20, ""[16.0, 17.0]"": 794, ""[16.0, 18.0]"": 422, ""[17.0, 17.0]"": 82582, ""[17.0, 18.0]"": 233252, ""[17.0, 19.0]"": 569, ""[18.0, 18.0]"": 168969, ""[18.0, 19.0]"": 797, ""[19.0, 19.0]"": 4}"	"{""16.0"": 810.69, ""17.0"": 267540.6, ""18.0"": 401301.39, ""19.0"": 1517.05}"	"{""16.0"": 136, ""17.0"": 267760, ""18.0"": 402219, ""19.0"": 1047}"	"{""[16.0, 17.0]"": 69, ""[16.0, 18.0]"": 67, ""[17.0, 17.0]"": 52800, ""[17.0, 18.0]"": 161653, ""[17.0, 19.0]"": 438, ""[18.0, 18.0]"": 119948, ""[18.0, 19.0]"": 603, ""[19.0, 19.0]"": 3}"	0.003468183822890821	0.4816910050067602	0.9886093840711658	4.336759130662429e-05	"{""16.0"": 0.38, ""17.0"": 1.0, ""18.0"": 1.0, ""19.0"": 0.8}"	2.14e-10	0.013047968049960446	0.009165018184731264	0.220326	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
3	3_132002836_132383236	132206404	132206423	132206399	STR_979902	1	T	20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,35.0,36.0,39.0,40.0	20.0	"{""20.0"": 505485.41, ""21.0"": 5829.44, ""22.0"": 68157.84, ""23.0"": 118210.56, ""24.0"": 31839.43, ""25.0"": 0.0, ""26.0"": 104004.32, ""27.0"": 188.48, ""28.0"": 20207.7, ""29.0"": 850.39, ""30.0"": 85525.54, ""31.0"": 22682.92, ""32.0"": 1242.04, ""35.0"": 116.73, ""36.0"": 1236.0, ""39.0"": 1645.87, ""40.0"": 7638.38}"	"{""20.0"": 507409, ""21.0"": 3364, ""22.0"": 67752, ""23.0"": 120099, ""24.0"": 31275, ""26.0"": 104041, ""27.0"": 167, ""28.0"": 20243, ""29.0"": 805, ""30.0"": 86285, ""31.0"": 22443, ""32.0"": 535, ""35.0"": 100, ""36.0"": 1006, ""39.0"": 1446, ""40.0"": 7848}"	"{""[20.0, 20.0]"": 134405, ""[20.0, 21.0]"": 1812, ""[20.0, 22.0]"": 34305, ""[20.0, 23.0]"": 62775, ""[20.0, 24.0]"": 16533, ""[20.0, 26.0]"": 54350, ""[20.0, 27.0]"": 17, ""[20.0, 28.0]"": 9564, ""[20.0, 29.0]"": 62, ""[20.0, 30.0]"": 45831, ""[20.0, 31.0]"": 11513, ""[20.0, 32.0]"": 239, ""[20.0, 35.0]"": 26, ""[20.0, 36.0]"": 114, ""[20.0, 39.0]"": 169, ""[20.0, 40.0]"": 1289, ""[21.0, 21.0]"": 6, ""[21.0, 22.0]"": 191, ""[21.0, 23.0]"": 411, ""[21.0, 24.0]"": 121, ""[21.0, 26.0]"": 366, ""[21.0, 28.0]"": 54, ""[21.0, 29.0]"": 2, ""[21.0, 30.0]"": 311, ""[21.0, 31.0]"": 65, ""[21.0, 32.0]"": 4, ""[21.0, 36.0]"": 2, ""[21.0, 39.0]"": 3, ""[21.0, 40.0]"": 10, ""[22.0, 22.0]"": 2477, ""[22.0, 23.0]"": 8166, ""[22.0, 24.0]"": 2150, ""[22.0, 26.0]"": 7039, ""[22.0, 27.0]"": 20, ""[22.0, 28.0]"": 1722, ""[22.0, 29.0]"": 134, ""[22.0, 30.0]"": 5971, ""[22.0, 31.0]"": 1462, ""[22.0, 32.0]"": 38, ""[22.0, 35.0]"": 17, ""[22.0, 36.0]"": 145, ""[22.0, 39.0]"": 202, ""[22.0, 40.0]"": 1236, ""[23.0, 23.0]"": 7730, ""[23.0, 24.0]"": 3946, ""[23.0, 26.0]"": 12996, ""[23.0, 27.0]"": 7, ""[23.0, 28.0]"": 2192, ""[23.0, 29.0]"": 41, ""[23.0, 30.0]"": 10528, ""[23.0, 31.0]"": 2945, ""[23.0, 32.0]"": 76, ""[23.0, 35.0]"": 4, ""[23.0, 36.0]"": 51, ""[23.0, 39.0]"": 70, ""[23.0, 40.0]"": 431, ""[24.0, 24.0]"": 464, ""[24.0, 26.0]"": 3276, ""[24.0, 27.0]"": 4, ""[24.0, 28.0]"": 572, ""[24.0, 29.0]"": 8, ""[24.0, 30.0]"": 2838, ""[24.0, 31.0]"": 743, ""[24.0, 32.0]"": 10, ""[24.0, 35.0]"": 2, ""[24.0, 36.0]"": 10, ""[24.0, 39.0]"": 15, ""[24.0, 40.0]"": 119, ""[26.0, 26.0]"": 5952, ""[26.0, 27.0]"": 13, ""[26.0, 28.0]"": 1862, ""[26.0, 29.0]"": 43, ""[26.0, 30.0]"": 8869, ""[26.0, 31.0]"": 2584, ""[26.0, 32.0]"": 68, ""[26.0, 35.0]"": 6, ""[26.0, 36.0]"": 55, ""[26.0, 39.0]"": 80, ""[26.0, 40.0]"": 530, ""[27.0, 27.0]"": 1, ""[27.0, 28.0]"": 21, ""[27.0, 29.0]"": 6, ""[27.0, 30.0]"": 5, ""[27.0, 31.0]"": 4, ""[27.0, 36.0]"": 8, ""[27.0, 39.0]"": 14, ""[27.0, 40.0]"": 46, ""[28.0, 28.0]"": 390, ""[28.0, 29.0]"": 103, ""[28.0, 30.0]"": 1701, ""[28.0, 31.0]"": 421, ""[28.0, 32.0]"": 8, ""[28.0, 35.0]"": 10, ""[28.0, 36.0]"": 154, ""[28.0, 39.0]"": 198, ""[28.0, 40.0]"": 881, ""[29.0, 29.0]"": 19, ""[29.0, 30.0]"": 26, ""[29.0, 31.0]"": 2, ""[29.0, 35.0]"": 3, ""[29.0, 36.0]"": 32, ""[29.0, 39.0]"": 55, ""[29.0, 40.0]"": 250, ""[30.0, 30.0]"": 3903, ""[30.0, 31.0]"": 1945, ""[30.0, 32.0]"": 56, ""[30.0, 35.0]"": 6, ""[30.0, 36.0]"": 36, ""[30.0, 39.0]"": 49, ""[30.0, 40.0]"": 307, ""[31.0, 31.0]"": 317, ""[31.0, 32.0]"": 22, ""[31.0, 35.0]"": 1, ""[31.0, 36.0]"": 10, ""[31.0, 39.0]"": 12, ""[31.0, 40.0]"": 80, ""[32.0, 32.0]"": 5, ""[32.0, 40.0]"": 4, ""[35.0, 36.0]"": 2, ""[35.0, 39.0]"": 4, ""[35.0, 40.0]"": 19, ""[36.0, 36.0]"": 17, ""[36.0, 39.0]"": 70, ""[36.0, 40.0]"": 283, ""[39.0, 39.0]"": 55, ""[39.0, 40.0]"": 395, ""[40.0, 40.0]"": 984}"	"{""20.0"": 359062.95, ""21.0"": 3915.44, ""22.0"": 45450.73, ""23.0"": 80592.8, ""24.0"": 22557.15, ""25.0"": 0.0, ""26.0"": 70538.06, ""27.0"": 2.7, ""28.0"": 12512.38, ""29.0"": 47.29, ""30.0"": 59528.98, ""31.0"": 15287.2, ""32.0"": 589.22, ""35.0"": 25.52, ""36.0"": 107.18, ""39.0"": 115.98, ""40.0"": 849.07}"	"{""20.0"": 360394, ""21.0"": 2236, ""22.0"": 45140, ""23.0"": 81794, ""24.0"": 22261, ""26.0"": 70609, ""27.0"": 1, ""28.0"": 12477, ""29.0"": 25, ""30.0"": 60125, ""31.0"": 15042, ""32.0"": 187, ""35.0"": 18, ""36.0"": 52, ""39.0"": 48, ""40.0"": 753}"	"{""[20.0, 20.0]"": 96384, ""[20.0, 21.0]"": 1209, ""[20.0, 22.0]"": 24149, ""[20.0, 23.0]"": 44084, ""[20.0, 24.0]"": 11925, ""[20.0, 26.0]"": 38437, ""[20.0, 27.0]"": 1, ""[20.0, 28.0]"": 6772, ""[20.0, 29.0]"": 10, ""[20.0, 30.0]"": 32445, ""[20.0, 31.0]"": 8035, ""[20.0, 32.0]"": 97, ""[20.0, 35.0]"": 11, ""[20.0, 36.0]"": 23, ""[20.0, 39.0]"": 25, ""[20.0, 40.0]"": 403, ""[21.0, 21.0]"": 2, ""[21.0, 22.0]"": 132, ""[21.0, 23.0]"": 271, ""[21.0, 24.0]"": 86, ""[21.0, 26.0]"": 232, ""[21.0, 28.0]"": 37, ""[21.0, 30.0]"": 218, ""[21.0, 31.0]"": 43, ""[21.0, 32.0]"": 1, ""[21.0, 36.0]"": 1, ""[21.0, 40.0]"": 2, ""[22.0, 22.0]"": 1541, ""[22.0, 23.0]"": 5448, ""[22.0, 24.0]"": 1527, ""[22.0, 26.0]"": 4825, ""[22.0, 28.0]"": 846, ""[22.0, 29.0]"": 3, ""[22.0, 30.0]"": 4084, ""[22.0, 31.0]"": 968, ""[22.0, 32.0]"": 17, ""[22.0, 35.0]"": 1, ""[22.0, 36.0]"": 4, ""[22.0, 39.0]"": 4, ""[22.0, 40.0]"": 50, ""[23.0, 23.0]"": 5001, ""[23.0, 24.0]"": 2769, ""[23.0, 26.0]"": 8488, ""[23.0, 28.0]"": 1480, ""[23.0, 29.0]"": 6, ""[23.0, 30.0]"": 7227, ""[23.0, 31.0]"": 1900, ""[23.0, 32.0]"": 18, ""[23.0, 35.0]"": 2, ""[23.0, 36.0]"": 7, ""[23.0, 39.0]"": 6, ""[23.0, 40.0]"": 86, ""[24.0, 24.0]"": 330, ""[24.0, 26.0]"": 2303, ""[24.0, 28.0]"": 410, ""[24.0, 30.0]"": 2050, ""[24.0, 31.0]"": 495, ""[24.0, 32.0]"": 4, ""[24.0, 35.0]"": 1, ""[24.0, 36.0]"": 2, ""[24.0, 39.0]"": 3, ""[24.0, 40.0]"": 26, ""[26.0, 26.0]"": 3629, ""[26.0, 28.0]"": 1259, ""[26.0, 29.0]"": 3, ""[26.0, 30.0]"": 6126, ""[26.0, 31.0]"": 1575, ""[26.0, 32.0]"": 20, ""[26.0, 35.0]"": 1, ""[26.0, 36.0]"": 5, ""[26.0, 39.0]"": 4, ""[26.0, 40.0]"": 73, ""[28.0, 28.0]"": 113, ""[28.0, 29.0]"": 1, ""[28.0, 30.0]"": 1136, ""[28.0, 31.0]"": 292, ""[28.0, 32.0]"": 5, ""[28.0, 36.0]"": 2, ""[28.0, 40.0]"": 11, ""[29.0, 30.0]"": 1, ""[29.0, 31.0]"": 1, ""[30.0, 30.0]"": 2696, ""[30.0, 31.0]"": 1325, ""[30.0, 32.0]"": 22, ""[30.0, 35.0]"": 2, ""[30.0, 36.0]"": 6, ""[30.0, 39.0]"": 4, ""[30.0, 40.0]"": 87, ""[31.0, 31.0]"": 193, ""[31.0, 32.0]"": 3, ""[31.0, 36.0]"": 2, ""[31.0, 39.0]"": 2, ""[31.0, 40.0]"": 15}"	0.3449536426485399	0.6712339099885841	2.2046788301200686	0.1071031084647025	"{""20.0"": 1.0, ""21.0"": 0.7, ""22.0"": 0.99, ""23.0"": 0.99, ""24.0"": 0.99, ""25.0"": ""NaN"", ""26.0"": 1.0, ""27.0"": 0.85, ""28.0"": 1.0, ""29.0"": 0.8, ""30.0"": 1.0, ""31.0"": 0.99, ""32.0"": 0.6, ""35.0"": 0.97, ""36.0"": 0.52, ""39.0"": 0.67, ""40.0"": 0.91}"	3.69e-10	-0.001784491807226376	-0.008925222357598997	0.122867	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
3	3_195500326_196050458	195768365	195768381	195768363	STR_1014259	1	T	16.0,17.0,18.0	17.0	"{""16.0"": 70323.5, ""17.0"": 666721.32, ""18.0"": 237773.16}"	"{""16.0"": 69803, ""17.0"": 669254, ""18.0"": 235761}"	"{""[16.0, 16.0]"": 3376, ""[16.0, 17.0]"": 46634, ""[16.0, 18.0]"": 16417, ""[17.0, 17.0]"": 230239, ""[17.0, 18.0]"": 162142, ""[18.0, 18.0]"": 28601}"	"{""16.0"": 45832.07, ""17.0"": 460771.44, ""18.0"": 164558.5}"	"{""16.0"": 45327, ""17.0"": 462604, ""18.0"": 163231}"	"{""[16.0, 16.0]"": 1544, ""[16.0, 17.0]"": 31041, ""[16.0, 18.0]"": 11198, ""[17.0, 17.0]"": 159445, ""[17.0, 18.0]"": 112673, ""[18.0, 18.0]"": 19680}"	0.06828764041635789	0.4612125319210124	1.128722142539557	0.6339668831577792	"{""16.0"": 0.97, ""17.0"": 0.98, ""18.0"": 0.99}"	5.65e-16	0.011887091038931707	0.008930040101501183	0.923802	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
7	7_5450520_5705566	5577932	5577948	5577926	STR_1299401	1	A	17.0,18.0,19.0	17.0	"{""17.0"": 732998.91, ""18.0"": 241523.37, ""19.0"": 295.73}"	"{""17.0"": 739674, ""18.0"": 235033, ""19.0"": 111}"	"{""[17.0, 17.0]"": 280821, ""[17.0, 18.0]"": 177955, ""[17.0, 19.0]"": 77, ""[18.0, 18.0]"": 28524, ""[18.0, 19.0]"": 30, ""[19.0, 19.0]"": 2}"	"{""17.0"": 502699.66, ""18.0"": 168353.35, ""19.0"": 108.99}"	"{""17.0"": 506672, ""18.0"": 164486, ""19.0"": 4}"	"{""[17.0, 17.0]"": 191230, ""[17.0, 18.0]"": 124209, ""[17.0, 19.0]"": 3, ""[18.0, 18.0]"": 20138, ""[18.0, 19.0]"": 1}"	0.00016239000420166814	0.3700369651372956	0.8034904288345283	0.8989992575783343	"{""17.0"": 0.96, ""18.0"": 0.96, ""19.0"": 0.25}"	1.49e-08	0.014391760490426491	0.008834363780958449	0.0665891	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
