chrom	start	end	any_strs
1	26808591	27493126	True
1	39426488	40213043	True
1	50703316	51657590	True
1	54714533	55015956	True
1	62708402	63804932	True
1	93427187	94016839	True
1	98173371	98687260	True
1	110371727	110629663	True
1	149604337	150120979	True
1	150608654	151071490	True
1	153891882	154389490	True
1	172226809	172572583	True
1	178377207	178653822	True
1	184547098	184797098	False
1	204930356	205180356	True
1	214022889	214288973	True
1	219191796	220148215	True
1	220722293	221395965	True
1	227931868	228213833	True
1	229858791	230561175	True
1	230698363	230948363	True
2	3514909	3767361	True
2	20231944	20518183	True
2	20753719	21671793	True
2	26799018	28787264	True
2	44022824	44349433	True
2	48837291	49121683	True
2	50565033	50884505	True
2	64777288	65113266	True
2	65119049	65512834	True
2	65514254	65838903	True
2	111746897	112060478	True
2	119621724	119893205	False
2	121181758	121472612	True
2	165215639	165953042	True
2	171445488	171786486	True
2	203199750	203572875	True
2	219146530	220035981	True
2	226688783	227501505	True
2	230003204	230254493	True
3	4628712	4898465	True
3	11902240	12850750	True
3	24395283	24645283	False
3	39063702	39313702	True
3	49710648	50019030	True
3	50302316	50552316	True
3	52088446	53299745	True
3	135495043	136802064	True
3	142523844	142795201	True
3	149941540	150247664	True
3	156669425	156938672	True
3	170447112	170884494	True
3	172112859	172419500	True
3	187503006	187753006	True
4	2763622	3661329	True
4	17660322	18174216	True
4	25881133	26253710	True
4	55362538	55660336	True
4	69206331	69724531	True
4	71769563	72019563	True
4	77242287	77542214	True
4	86806091	87056091	True
4	87091986	88591389	True
4	89579367	89867244	True
4	100320966	100785909	True
4	102801923	103512161	True
4	109970620	110763824	False
4	110798917	111250483	True
4	124644128	124894128	True
4	155364608	155614608	False
4	157488653	157871537	True
5	53146420	53469318	True
5	55643229	56316191	True
5	57402886	57898852	True
5	67589246	67839246	True
5	78291416	78754653	True
5	79521839	79771839	True
5	82685884	82940170	False
5	83219439	83469439	False
5	112355104	112606284	True
5	118551878	118915979	True
5	132224654	132570760	True
5	140647427	141142339	True
5	155434540	155691544	True
5	156024121	156672031	True
5	157851984	158155813	True
5	176625688	176875688	True
6	20515904	20765904	True
6	34040351	34479073	True
6	43624110	43954941	True
6	52478948	52863427	True
6	79333964	79583964	True
6	109044000	109396201	True
6	111723113	111973113	True
6	126534043	127657807	True
6	130186831	130547142	True
6	133663976	133974789	True
6	139681747	139987897	True
6	160123806	161438619	True
6	163978243	164259479	True
7	5447132	5700520	True
7	15758727	16120499	True
7	17156007	17584648	True
7	17686797	18066865	True
7	25785605	26571449	True
7	44057598	44392538	True
7	71131489	73990606	True
7	75490439	75740439	True
7	75788642	76038642	True
7	116221943	116696847	True
7	116851830	117169472	True
7	130297934	130593190	True
7	150083971	150667711	True
8	7940221	12418333	True
8	16131215	16421624	True
8	17662610	18009606	True
8	18069861	18416590	True
8	19290739	20735866	True
8	25339656	25589690	False
8	42304676	42624798	False
8	59139485	59692885	True
8	72261394	72656601	True
8	126287048	126806869	True
8	129412048	129724278	True
8	144161716	144431597	True
9	13433681	13687874	True
9	86099419	86819759	True
9	91952887	92353559	True
9	107528426	107797365	True
9	136007908	136280000	True
9	139220366	139470366	True
10	4993231	5483542	True
10	52013236	52843339	True
10	61272399	61594538	True
10	63532706	64110532	True
10	64636091	65525352	True
10	74075909	74325909	True
10	74332108	74836376	True
10	77086912	77338842	True
10	80972337	81222337	True
10	93333105	95482918	True
10	99569970	99923234	True
10	101787064	102049418	True
10	103513235	103763235	True
10	103803374	104071480	True
10	113776194	114331683	True
10	115656527	115939806	False
11	13142867	13495535	True
11	14039041	15245965	True
11	25944410	26194410	True
11	27521247	27873493	True
11	45750161	46000161	True
11	46070220	50896514	True
11	50995058	51704831	False
11	54669034	56015736	True
11	60830332	61080332	True
11	61280178	61984431	True
11	62065700	62543921	True
11	63718031	64443347	True
11	64667254	64973785	True
11	65240077	65687257	True
11	65689842	66307450	True
11	68437328	68745874	True
11	77843055	78396614	True
11	111289477	112114011	True
11	114788567	115038567	False
11	116011889	118013300	True
11	118069647	119204974	True
12	4191171	4526472	False
12	9047646	9312652	True
12	11647107	11916685	True
12	16618434	16868434	True
12	20267267	20599706	True
12	21198338	21572997	True
12	34151084	34401084	False
12	46090895	46340895	True
12	57518686	58324436	True
12	62713230	62967227	True
12	66202632	66501202	True
12	69601850	69917102	True
12	106832718	107594448	True
12	109248047	109498047	False
12	109536672	109786672	True
12	109798892	110048892	True
12	122823907	124756224	True
12	125178254	125441743	True
13	30878618	31142268	True
13	50000997	50847895	True
13	50922337	51172341	True
13	95097890	95383944	True
13	114352706	114972659	True
14	23569290	23865584	True
14	48894992	49144992	False
14	64107517	64364629	True
14	100451749	100701749	True
15	35796857	36068377	True
15	40275195	40526122	True
15	40912600	41182507	True
15	41675652	42278312	True
15	42313962	45201127	True
15	53356773	53606773	False
15	56917063	57692650	True
15	58446401	58868709	True
15	61822055	62085302	True
15	63204128	64571965	True
15	66571735	67009987	True
15	101940008	102195042	False
16	824766	1160548	True
16	2307791	2627641	True
16	4498750	4802190	True
16	11639329	11916057	True
16	14375407	15963940	True
16	29799422	30270785	True
16	30886183	31274142	True
16	56619231	57142319	True
16	69422741	70135458	True
16	70228479	70565559	True
16	70571926	70821926	True
16	71553240	72866267	True
16	81324060	81678070	True
16	85025163	85383436	True
17	1493262	1779048	True
17	4424802	4996572	True
17	6864296	7336783	True
17	7344981	7696080	True
17	17297608	18389449	True
17	40269960	41292240	True
17	41297469	42498124	True
17	42749450	43040984	True
17	43064049	43314049	True
17	45971913	46444476	True
17	47197264	47579515	True
17	48499523	48762385	True
17	57765931	58046221	True
17	64002377	64503442	True
17	65673954	66223154	True
17	68305993	68615134	True
17	74106281	74428832	True
17	76247398	76542991	True
18	19728455	20038064	True
18	20856099	21290409	True
18	55964858	56243358	False
18	57607418	58039679	True
19	4010702	4278659	True
19	4819555	5153094	True
19	7000518	7373798	True
19	7510351	7760359	False
19	7767931	8954627	True
19	9421905	9684338	False
19	9713421	9963421	False
19	10322071	10572071	True
19	10582460	11009515	False
19	11129911	11515107	True
19	11580825	12023129	False
19	18938559	20564917	True
19	33603001	34147842	True
19	35412706	35694379	True
19	44554257	45816112	True
19	48967627	49405512	False
19	49873849	50228252	True
19	55952317	56321226	True
20	31841698	32483788	True
20	38963753	39392671	True
20	39535687	40033689	True
20	43952129	44909622	True
20	45368482	45731853	True
20	51045575	51363428	True
20	55977218	56271503	True
20	62203375	62849698	True
22	35887029	36167986	True
22	38380347	39277412	True
22	46476416	46929154	True
