chrom	start	end
1	686871	936871
1	6239416	6489416
1	9974661	10754818
1	16915129	17165129
1	25011608	25270437
1	27296442	27936309
1	33777585	34027585
1	36476170	36726170
1	36967746	37217746
1	40812228	41348273
1	57959689	58209689
1	59366541	59616541
1	63351738	63977906
1	64453813	64703813
1	68798482	69265816
1	80493549	80743549
1	101033020	101283020
1	112308863	112596029
1	116175137	116441520
1	120115782	120527758
1	120549654	120799654
1	146466163	146716163
1	147125414	147470690
1	154270946	154553505
1	154670389	155146894
1	169502908	170774279
1	186839737	187089737
1	201505973	201756753
1	202896116	203174676
1	203965028	204226244
1	224094138	224344138
1	228169300	228573687
1	239921179	240171179
1	240712044	240962044
1	242130030	242472060
2	5620617	5870617
2	7194104	7444104
2	10954255	11204255
2	13164144	13431445
2	14476508	14747485
2	19284178	19534178
2	21847703	22177351
2	26823789	27164342
2	27587821	27837821
2	29793550	30093850
2	33979007	34229007
2	35124941	35629678
2	37438034	37688034
2	39636640	39932203
2	44525508	44937493
2	52468379	52718379
2	54548096	54798096
2	55186853	55436853
2	61068062	61961235
2	65151049	65510592
2	66756432	67006432
2	69870580	70476743
2	72189355	72441500
2	78652110	78902110
2	82047554	82503620
2	88420842	88670842
2	116956035	117368090
2	119868589	120118589
2	123385682	123635682
2	124156749	124406749
2	124972922	125297373
2	133707646	133957646
2	134527648	134811806
2	137329620	137579620
2	137774398	138024398
2	145256923	145506923
2	147598914	147848914
2	148946602	149196602
2	157158481	157485155
2	158423275	158758327
2	175089266	175683804
2	179183520	179817967
2	195692989	195955456
2	196909787	197159787
2	201035499	201325100
2	204452645	204862142
2	213495005	213745005
2	221876161	222126161
2	222668461	223136352
2	228917433	229255754
2	234905458	235155458
2	235581733	235831733
2	240961388	241212938
2	242183026	242559075
3	7885843	8135843
3	8353404	8603404
3	12692905	12984004
3	23296658	23546658
3	27103580	27920520
3	31686949	31936949
3	33256369	33521143
3	38200040	38450040
3	38463095	38923836
3	43316842	43566842
3	51059529	51309529
3	58573215	58823215
3	66200074	66577973
3	69267754	69542585
3	76987210	77239577
3	77783787	78033787
3	111397829	111832464
3	116837563	117087563
3	127340437	127590437
3	132564324	132814324
3	133145374	133395374
3	137839968	138089968
3	138714563	138964563
3	144049211	144523063
3	150892088	151170914
3	155726450	155976450
3	157311426	157565145
3	164189978	164439978
3	164862527	165112527
3	166262525	166512525
3	170311365	170561365
3	172085911	172335911
3	188107436	188357436
3	190101016	190351016
3	190528898	190778898
3	191641886	191891886
3	194748041	194998041
4	1592317	1842317
4	3621196	3871196
4	17369700	17619700
4	23203620	23453620
4	24234226	24614781
4	43338896	43588896
4	65440124	65690124
4	76478741	76728741
4	88306659	88556659
4	100563611	100813611
4	105120610	105370610
4	111170802	112627317
4	133459027	133837767
4	136971003	137221003
4	141100176	141350176
4	143170954	143612558
4	144890792	145140792
4	146046312	146296312
4	147244127	147494127
4	153238755	153488755
4	164061547	164311547
