chrom	start	end	any_strs
1	10671547	10924577	True
1	25404038	25991838	True
1	26808591	27493126	True
1	49083519	49333519	False
1	53998298	54248298	False
1	54341870	54591870	False
1	54623004	54873004	False
1	54948105	56998454	True
1	57265571	57515571	False
1	62708553	63483816	True
1	85727390	86073317	False
1	92817352	93387946	True
1	109290445	110425277	True
1	198865494	199137478	True
1	220842612	221170347	True
1	234600135	235237412	True
2	8170003	8420003	False
2	17336993	17586993	False
2	19845831	20095831	False
2	20225783	21819451	True
2	21990025	22456825	False
2	23416654	23666654	False
2	23728429	23978429	True
2	26804282	27057796	True
2	27291507	28569610	True
2	43735037	45146765	True
2	62714819	63706507	True
2	64762288	65054727	True
2	108941234	109191234	True
2	118243673	119024361	True
2	121179548	121447038	False
2	136675195	136947267	True
2	169696648	170072735	True
2	202943793	204477252	True
2	208616329	208866329	False
3	12048015	12823498	True
3	32382630	32728582	True
3	58084096	58588689	True
3	69677902	69963613	True
3	119401349	119943585	True
3	122013244	122410218	True
3	131985452	132529890	True
3	142480556	142789819	True
4	3317011	3607296	True
4	69176542	69713052	True
4	81032703	81327048	True
4	100114319	101203246	True
4	155364608	155614608	False
5	51937147	52250378	True
5	71807391	72140698	True
5	74117002	75365469	True
5	122525224	123242002	True
5	156154023	156669908	True
6	15980773	16323988	True
6	34191552	35511872	True
6	100475097	100754078	False
6	116080186	116546127	True
6	126748423	127830634	True
6	130186920	130514211	True
6	160058733	161568939	True
7	6295010	6614239	True
7	21343640	21834652	True
7	25865597	26117323	False
7	36044203	36313719	True
7	44257440	44856580	True
7	97790635	98158492	True
7	100089015	100672485	True
8	9043146	9503930	True
8	9517316	9767316	True
8	11536502	11793097	False
8	21803227	22059604	True
8	28899943	29149943	False
8	55282285	55601200	True
8	59072287	59692885	True
8	109902094	110152094	True
8	116508699	116887303	True
8	126303616	126758531	True
8	144905900	145175358	True
9	21878223	22250503	True
9	78605766	78855766	True
9	107461753	107800422	True
9	131340481	131795457	True
9	135917264	136507788	True
9	139187218	139445069	True
10	70968392	71232332	True
10	94536591	95018544	True
10	113776194	114075418	True
10	115661233	115923268	False
10	124406673	124837961	True
11	5548359	5826883	True
11	18507984	18789241	True
11	61412529	61841395	True
11	65280600	65530600	True
11	66071265	66464683	True
11	103736867	103996039	True
11	113531820	113794314	True
11	116394358	117216609	True
11	125946349	126389155	True
12	493790	748468	True
12	8926837	9280507	True
12	40408337	40658337	False
12	50381691	51422465	True
12	72054446	72304446	False
12	111234712	113360279	True
12	115092835	115342835	True
12	121231075	121614587	True
13	32802604	33112028	True
13	114391947	114690889	True
14	24746530	25008887	True
14	70632779	71001672	True
15	49873682	50127461	True
15	57387284	57692650	False
15	58546721	58867418	True
15	63664186	63920628	True
15	74906521	75488876	True
16	11581100	11831100	True
16	56848744	57142319	True
16	70831315	73037880	True
16	83853401	84115466	True
17	6830298	7365241	True
17	7438827	7688827	True
17	26486082	26843592	True
17	27302838	27836546	True
17	28723185	28973185	False
17	29272622	29854207	True
17	45207890	45925299	True
17	46385697	46912544	True
17	64070431	64486924	False
17	66786135	68086906	True
17	76232378	76534809	True
18	46420976	47318060	True
19	10294611	11879814	True
19	15666729	15953321	True
19	17317459	17584902	True
19	18157940	18465910	True
19	18938559	20564917	True
19	41216229	41478107	True
19	43499243	43749243	False
19	44043134	46780619	True
19	48971898	49459991	False
19	58489546	58852821	True
20	17643111	17975778	True
20	25081654	25727328	True
20	33906310	34682004	True
20	38768414	39436250	True
20	39489075	40390082	True
20	42917364	43167364	False
20	44409651	44678722	True
