phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	relation_to_gene	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
mean_corpuscular_haemoglobin	1	3086622	3086642	1_2862268_3223846	A	{20.0: 39.69%, 21.0: 54.37%, 24.0: 5.95%}	1.94e-12	+	intron:PRDM16:protein_coding	not	0.0945124094590563	0.232891										0.872, 0.869, 0.086, 0.374, 0.761	NA, NA, NA, NA, NA	{20.0: 72.80%, 21.0: 19.77%, 24.0: 7.42%}	{20.0: 58.30%, 21.0: 36.27%, 24.0: 5.43%}	{20.0: 65.84%, 21.0: 29.79%, 24.0: 4.37%}	{20.0: 37.70%, 21.0: 54.50%, 24.0: 7.81%}	{20.0: 43.23%, 21.0: 51.26%, 24.0: 5.51%}
mean_corpuscular_volume	1	3086622	3086642	1_2864543_3223846	A	{20.0: 39.65%, 21.0: 54.38%, 24.0: 5.96%}	1.19e-11	+	intron:PRDM16:protein_coding	not	0.277642509000866	0.750473										0.841, 0.55, 0.436, 0.409, 0.845	NA, NA, NA, NA, NA	{20.0: 72.89%, 21.0: 19.68%, 24.0: 7.43%}	{20.0: 58.26%, 21.0: 36.34%, 24.0: 5.40%}	{20.0: 65.91%, 21.0: 29.69%, 24.0: 4.40%}	{20.0: 37.80%, 21.0: 54.41%, 24.0: 7.79%}	{20.0: 43.23%, 21.0: 51.29%, 24.0: 5.49%}
mean_platelet_volume	1	3086622	3086642	1_2779056_3226277	A	{20.0: 39.67%, 21.0: 54.38%, 24.0: 5.95%}	3.78e-10	-	intron:PRDM16:protein_coding	singly	0.0	0.995037										0.182, 0.0286, 0.0442, 0.00334, 0.299	NA, -, -, -, NA	{20.0: 72.85%, 21.0: 19.65%, 24.0: 7.50%}	{20.0: 58.29%, 21.0: 36.33%, 24.0: 5.39%}	{20.0: 65.94%, 21.0: 29.66%, 24.0: 4.40%}	{20.0: 37.62%, 21.0: 54.63%, 24.0: 7.75%}	{20.0: 43.23%, 21.0: 51.27%, 24.0: 5.50%}
mean_sphered_cell_volume	1	3086622	3086642	1_2868740_3211622	A	{20.0: 39.67%, 21.0: 54.38%, 24.0: 5.95%}	2.58e-8	+	intron:PRDM16:protein_coding	not	0.0801496478751265	0.188919										0.185, 0.332, 0.691, 0.822, 0.417	NA, NA, NA, NA, NA	{20.0: 72.77%, 21.0: 19.79%, 24.0: 7.44%}	{20.0: 58.29%, 21.0: 36.26%, 24.0: 5.45%}	{20.0: 65.82%, 21.0: 29.79%, 24.0: 4.39%}	{20.0: 37.70%, 21.0: 54.44%, 24.0: 7.86%}	{20.0: 43.17%, 21.0: 51.32%, 24.0: 5.51%}
platelet_crit	1	3086622	3086642	1_2773960_3224194	A	{20.0: 39.67%, 21.0: 54.39%, 24.0: 5.93%}	4.24e-12	-	intron:PRDM16:protein_coding	confidently	0.993850332896292	1.0	0.993517322295385	1.0	1.0	1.0	1.0	1.0	0.973073296361602	1.0	1.0	0.315, 0.772, 0.239, 0.0854, 0.135	NA, NA, NA, NA, NA	{20.0: 72.79%, 21.0: 19.77%, 24.0: 7.44%}	{20.0: 58.31%, 21.0: 36.30%, 24.0: 5.39%}	{20.0: 66.13%, 21.0: 29.51%, 24.0: 4.37%}	{20.0: 37.72%, 21.0: 54.51%, 24.0: 7.76%}	{20.0: 43.19%, 21.0: 51.31%, 24.0: 5.50%}
red_blood_cell_distribution_width	1	11868271	11868327	1_11728206_12032603	AC	{18.5: 0.02%, 19.5: 0.24%, 20.5: 10.35%, 21.5: 0.24%, 23.5: 0.00%, 24.5: 0.16%, 25.5: 1.27%, 26.5: 49.78%, 27.5: 7.13%, 28.5: 18.99%, 29.5: 2.47%, 30.5: 5.15%, 31.5: 4.11%, 32.5: 0.09%}	3.2e-11	-	intron:CLCN6:protein_coding	singly	0.905823957322085	0.790864	0.944323459679941	0.827754	0.790902	0.83697	0.861214	0.790371	0.0	0.502908	0.986521	0.225, 0.695, 0.0385, 0.0134, 0.733	NA, NA, -, -, NA	{18.5: 0.00%, 19.5: 0.11%, 20.5: 8.82%, 21.5: 1.52%, 23.5: 1.00%, 24.5: 11.06%, 25.5: 5.36%, 26.5: 36.76%, 27.5: 5.81%, 28.5: 5.14%, 29.5: 17.65%, 30.5: 1.12%, 31.5: 5.57%, 32.5: 0.07%}	{18.5: 0.01%, 19.5: 0.08%, 20.5: 13.92%, 21.5: 0.25%, 23.5: 0.00%, 24.5: 0.08%, 25.5: 1.50%, 26.5: 42.45%, 27.5: 5.44%, 28.5: 21.73%, 29.5: 3.09%, 30.5: 7.19%, 31.5: 4.23%, 32.5: 0.02%}	{19.5: 0.37%, 20.5: 12.13%, 21.5: 0.03%, 24.5: 0.02%, 25.5: 3.26%, 26.5: 37.86%, 27.5: 7.28%, 28.5: 29.00%, 29.5: 9.75%, 30.5: 0.16%, 31.5: 0.13%}	{18.5: 0.03%, 19.5: 0.28%, 20.5: 10.59%, 21.5: 0.28%, 23.5: 0.00%, 24.5: 0.13%, 25.5: 1.27%, 26.5: 49.97%, 27.5: 6.57%, 28.5: 19.34%, 29.5: 2.50%, 30.5: 5.21%, 31.5: 3.77%, 32.5: 0.05%}	{18.5: 0.03%, 19.5: 0.15%, 20.5: 8.48%, 21.5: 0.19%, 23.5: 0.01%, 24.5: 0.28%, 25.5: 1.54%, 26.5: 52.42%, 27.5: 7.15%, 28.5: 17.81%, 29.5: 2.35%, 30.5: 5.43%, 31.5: 4.07%, 32.5: 0.08%}
c_reactive_protein	1	21822677	21822717	1_21661068_21959066	AC	{20.5: 0.50%, 21.5: 0.01%, 22.5: 49.02%, 23.5: 0.98%, 24.5: 0.14%, 25.5: 1.07%, 26.5: 17.71%, 27.5: 16.63%, 28.5: 5.65%, 29.5: 2.12%, 30.5: 2.21%, 31.5: 2.52%, 32.5: 1.42%}	2.53e-13	-	intergenic	doubly	0.904057697581329	0.950463	0.0	0.981272	0.95624	0.97058	0.985999	0.950463	0.0	0.733294	0.987186	0.74, 0.407, 0.251, 0.454, 0.242	NA, NA, NA, NA, NA	{20.5: 19.52%, 21.5: 0.01%, 22.5: 9.88%, 23.5: 3.94%, 24.5: 0.05%, 25.5: 5.49%, 26.5: 3.83%, 27.5: 27.80%, 28.5: 6.83%, 29.5: 7.31%, 30.5: 1.15%, 31.5: 9.74%, 32.5: 4.47%}	{20.5: 1.11%, 21.5: 0.01%, 22.5: 47.32%, 23.5: 1.00%, 24.5: 1.72%, 25.5: 0.64%, 26.5: 30.57%, 27.5: 7.15%, 28.5: 2.23%, 29.5: 5.46%, 30.5: 0.93%, 31.5: 1.64%, 32.5: 0.23%}	{20.5: 0.54%, 21.5: 0.14%, 22.5: 54.40%, 23.5: 1.43%, 24.5: 0.17%, 25.5: 0.08%, 26.5: 18.06%, 27.5: 2.52%, 28.5: 3.24%, 29.5: 9.86%, 30.5: 4.14%, 31.5: 5.38%, 32.5: 0.03%}	{20.5: 0.50%, 21.5: 0.01%, 22.5: 48.31%, 23.5: 1.08%, 24.5: 0.16%, 25.5: 1.20%, 26.5: 17.10%, 27.5: 16.56%, 28.5: 6.59%, 29.5: 2.96%, 30.5: 2.01%, 31.5: 1.73%, 32.5: 1.80%}	{20.5: 0.73%, 21.5: 0.02%, 22.5: 51.56%, 23.5: 1.05%, 24.5: 0.19%, 25.5: 0.91%, 26.5: 17.38%, 27.5: 15.19%, 28.5: 4.45%, 29.5: 2.17%, 30.5: 2.39%, 31.5: 2.82%, 32.5: 1.15%}
calcium	1	21822677	21822717	1_21501931_22034186	AC	{20.5: 0.50%, 21.5: 0.01%, 22.5: 49.02%, 23.5: 0.98%, 24.5: 0.15%, 25.5: 1.08%, 26.5: 17.73%, 27.5: 16.63%, 28.5: 5.65%, 29.5: 2.12%, 30.5: 2.20%, 31.5: 2.52%, 32.5: 1.42%}	9.66e-16	-	intergenic	not	0.0	0.0										0.635, 0.0401, 0.0982, 0.135, 0.0224	NA, -, NA, NA, -	{20.5: 19.44%, 21.5: 0.01%, 22.5: 9.84%, 23.5: 4.00%, 24.5: 0.05%, 25.5: 5.58%, 26.5: 3.79%, 27.5: 27.82%, 28.5: 6.85%, 29.5: 7.28%, 30.5: 1.15%, 31.5: 9.75%, 32.5: 4.43%}	{20.5: 1.11%, 21.5: 0.01%, 22.5: 47.65%, 23.5: 0.98%, 24.5: 1.71%, 25.5: 0.66%, 26.5: 30.29%, 27.5: 7.13%, 28.5: 2.22%, 29.5: 5.43%, 30.5: 0.94%, 31.5: 1.61%, 32.5: 0.25%}	{20.5: 0.52%, 21.5: 0.15%, 22.5: 54.48%, 23.5: 1.47%, 24.5: 0.16%, 25.5: 0.09%, 26.5: 18.04%, 27.5: 2.48%, 28.5: 3.19%, 29.5: 9.76%, 30.5: 4.23%, 31.5: 5.38%, 32.5: 0.03%}	{20.5: 0.49%, 21.5: 0.01%, 22.5: 48.17%, 23.5: 1.08%, 24.5: 0.16%, 25.5: 1.22%, 26.5: 17.04%, 27.5: 16.66%, 28.5: 6.66%, 29.5: 2.89%, 30.5: 2.02%, 31.5: 1.76%, 32.5: 1.84%}	{20.5: 0.73%, 21.5: 0.02%, 22.5: 51.37%, 23.5: 1.04%, 24.5: 0.18%, 25.5: 0.89%, 26.5: 17.54%, 27.5: 15.26%, 28.5: 4.41%, 29.5: 2.16%, 30.5: 2.37%, 31.5: 2.86%, 32.5: 1.17%}
creatinine	1	21822677	21822717	1_21697677_21947677	AC	{20.5: 0.50%, 21.5: 0.01%, 22.5: 49.02%, 23.5: 0.98%, 24.5: 0.15%, 25.5: 1.08%, 26.5: 17.72%, 27.5: 16.62%, 28.5: 5.65%, 29.5: 2.12%, 30.5: 2.21%, 31.5: 2.52%, 32.5: 1.41%}	2.32e-8	-	intergenic	not	0.0	0.685192										0.291, 0.38, 0.185, 0.112, 0.228	NA, NA, NA, NA, NA	{20.5: 19.60%, 21.5: 0.01%, 22.5: 9.91%, 23.5: 3.91%, 24.5: 0.05%, 25.5: 5.54%, 26.5: 3.84%, 27.5: 27.84%, 28.5: 6.83%, 29.5: 7.24%, 30.5: 1.13%, 31.5: 9.64%, 32.5: 4.46%}	{20.5: 1.11%, 21.5: 0.01%, 22.5: 47.29%, 23.5: 0.99%, 24.5: 1.73%, 25.5: 0.68%, 26.5: 30.55%, 27.5: 7.13%, 28.5: 2.23%, 29.5: 5.46%, 30.5: 0.93%, 31.5: 1.65%, 32.5: 0.24%}	{20.5: 0.54%, 21.5: 0.14%, 22.5: 54.38%, 23.5: 1.47%, 24.5: 0.17%, 25.5: 0.08%, 26.5: 18.08%, 27.5: 2.54%, 28.5: 3.22%, 29.5: 9.96%, 30.5: 4.07%, 31.5: 5.31%, 32.5: 0.03%}	{20.5: 0.50%, 21.5: 0.01%, 22.5: 48.37%, 23.5: 1.09%, 24.5: 0.16%, 25.5: 1.22%, 26.5: 17.09%, 27.5: 16.49%, 28.5: 6.61%, 29.5: 2.92%, 30.5: 2.00%, 31.5: 1.73%, 32.5: 1.81%}	{20.5: 0.73%, 21.5: 0.02%, 22.5: 51.60%, 23.5: 1.05%, 24.5: 0.19%, 25.5: 0.92%, 26.5: 17.34%, 27.5: 15.19%, 28.5: 4.43%, 29.5: 2.17%, 30.5: 2.39%, 31.5: 2.82%, 32.5: 1.14%}
phosphate	1	21822677	21822717	1_20466802_23180466	AC	{20.5: 0.50%, 21.5: 0.01%, 22.5: 49.04%, 23.5: 0.98%, 24.5: 0.14%, 25.5: 1.08%, 26.5: 17.70%, 27.5: 16.63%, 28.5: 5.64%, 29.5: 2.12%, 30.5: 2.20%, 31.5: 2.53%, 32.5: 1.42%}	0.0	-	intergenic	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.643, 4.09e-14, 0.00244, 1.13e-9, 1.03e-15	NA, -, -, -, -	{20.5: 19.58%, 21.5: 0.01%, 22.5: 9.87%, 23.5: 3.99%, 24.5: 0.05%, 25.5: 5.52%, 26.5: 3.82%, 27.5: 27.67%, 28.5: 6.85%, 29.5: 7.31%, 30.5: 1.15%, 31.5: 9.75%, 32.5: 4.43%}	{20.5: 1.11%, 21.5: 0.01%, 22.5: 47.63%, 23.5: 0.98%, 24.5: 1.69%, 25.5: 0.69%, 26.5: 30.33%, 27.5: 7.14%, 28.5: 2.22%, 29.5: 5.37%, 30.5: 0.93%, 31.5: 1.65%, 32.5: 0.25%}	{20.5: 0.52%, 21.5: 0.15%, 22.5: 54.38%, 23.5: 1.47%, 24.5: 0.17%, 25.5: 0.09%, 26.5: 18.16%, 27.5: 2.49%, 28.5: 3.19%, 29.5: 9.82%, 30.5: 4.16%, 31.5: 5.39%, 32.5: 0.03%}	{20.5: 0.50%, 21.5: 0.01%, 22.5: 48.24%, 23.5: 1.08%, 24.5: 0.17%, 25.5: 1.22%, 26.5: 17.02%, 27.5: 16.56%, 28.5: 6.68%, 29.5: 2.91%, 30.5: 2.02%, 31.5: 1.75%, 32.5: 1.84%}	{20.5: 0.73%, 21.5: 0.02%, 22.5: 51.31%, 23.5: 1.04%, 24.5: 0.18%, 25.5: 0.90%, 26.5: 17.54%, 27.5: 15.29%, 28.5: 4.42%, 29.5: 2.18%, 30.5: 2.37%, 31.5: 2.85%, 32.5: 1.17%}
