chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_10367672_10762709	10528186	10528198	10528186	STR_6403	1	T	11.0,12.0,13.0,14.0,15.0	13.0	"{""11.0"": 4645.7, ""12.0"": 671706.16, ""13.0"": 69778.84, ""14.0"": 228687.47, ""15.0"": 0.0}"	"{""11.0"": 4626, ""12.0"": 673756, ""13.0"": 69178, ""14.0"": 227258}"	"{""[11.0, 11.0]"": 12, ""[11.0, 12.0]"": 3179, ""[11.0, 13.0]"": 345, ""[11.0, 14.0]"": 1078, ""[12.0, 12.0]"": 233078, ""[12.0, 13.0]"": 47828, ""[12.0, 14.0]"": 156593, ""[13.0, 13.0]"": 2680, ""[13.0, 14.0]"": 15645, ""[14.0, 14.0]"": 26971}"	"{""11.0"": 3173.0, ""12.0"": 449343.42, ""13.0"": 46115.0, ""14.0"": 159760.71, ""15.0"": 0.0}"	"{""11.0"": 3276, ""12.0"": 450571, ""13.0"": 45735, ""14.0"": 158810}"	"{""[11.0, 11.0]"": 9, ""[11.0, 12.0]"": 2245, ""[11.0, 13.0]"": 251, ""[11.0, 14.0]"": 762, ""[12.0, 12.0]"": 154019, ""[12.0, 13.0]"": 31238, ""[12.0, 14.0]"": 109050, ""[13.0, 13.0]"": 1651, ""[13.0, 14.0]"": 10944, ""[14.0, 14.0]"": 19027}"	0.07486116214663743	0.4686323454254394	1.1746860444697245	0.4464158268953673	"{""11.0"": 0.8, ""12.0"": 0.99, ""13.0"": 0.99, ""14.0"": 0.99, ""15.0"": ""NaN""}"	4.34e-10	0.04095938420964629	0.04990968396706692	0.175562	False	NA	NA	False	NA	797:upstream:10527247:10527389:DFFA:protein_coding,797:upstream:10527247:10527389:DFFA:protein_coding,797:upstream:10527247:10527389:DFFA:protein_coding	0:inside:DFFA:protein_coding	80979:upstream:RP4-736L20.4:lncRNA,77833:downstream:RN7SL721P:misc_RNA,70697:downstream:RP4-736L20.5:lncRNA,37452:upstream:RP4-736L20.3:lncRNA,16131:downstream:CORT:protein_coding,8791:downstream:RP5-1113E3.3:lncRNA,47618:downstream:PGD:protein_coding,15976:downstream:CENPS-CORT:protein_coding,25321:downstream:CENPS:protein_coding,0:inside:DFFA:protein_coding,86525:downstream:KIF1B:protein_coding,4147:upstream:PEX14:protein_coding	intron:DFFA:protein_coding	transcribed;DFFA-203:nonsense_mediated_decay:3,DFFA-201:protein_coding:1,DFFA-202:protein_coding:1
1	1_20937001_21649014	21139892	21139915	21139887	STR_13403	1	A	22.0,23.0,24.0,25.0,26.0	24.0	"{""22.0"": 6450.14, ""23.0"": 497928.1, ""24.0"": 94024.47, ""25.0"": 365888.15, ""26.0"": 10643.59}"	"{""22.0"": 1717, ""23.0"": 503394, ""24.0"": 93303, ""25.0"": 371695, ""26.0"": 4709}"	"{""[22.0, 22.0]"": 5, ""[22.0, 23.0]"": 850, ""[22.0, 24.0]"": 267, ""[22.0, 25.0]"": 580, ""[22.0, 26.0]"": 10, ""[23.0, 23.0]"": 130776, ""[23.0, 24.0]"": 47658, ""[23.0, 25.0]"": 190950, ""[23.0, 26.0]"": 2384, ""[24.0, 24.0]"": 5093, ""[24.0, 25.0]"": 34609, ""[24.0, 26.0]"": 583, ""[25.0, 25.0]"": 71934, ""[25.0, 26.0]"": 1688, ""[26.0, 26.0]"": 22}"	"{""22.0"": 4160.24, ""23.0"": 335454.68, ""24.0"": 60054.53, ""25.0"": 251821.06, ""26.0"": 6981.27}"	"{""22.0"": 937, ""23.0"": 339276, ""24.0"": 59457, ""25.0"": 255834, ""26.0"": 2888}"	"{""[22.0, 23.0]"": 493, ""[22.0, 24.0]"": 75, ""[22.0, 25.0]"": 366, ""[22.0, 26.0]"": 3, ""[23.0, 23.0]"": 87718, ""[23.0, 24.0]"": 30492, ""[23.0, 25.0]"": 131381, ""[23.0, 26.0]"": 1474, ""[24.0, 24.0]"": 2606, ""[24.0, 25.0]"": 23419, ""[24.0, 26.0]"": 259, ""[25.0, 25.0]"": 49770, ""[25.0, 26.0]"": 1128, ""[26.0, 26.0]"": 12}"	0.10812314538369434	0.5752893277793087	1.38389262448462	0.3023736067285551	"{""22.0"": 0.51, ""23.0"": 0.98, ""24.0"": 0.98, ""25.0"": 0.97, ""26.0"": 0.55}"	1.76e-08	0.03624023188709077	0.04983602630191631	0.0580151	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
1	1_20937001_21649014	21218110	21218130	21218106	STR_13465	1	A	19.0,20.0,21.0,22.0,24.0	21.0	"{""19.0"": 1295.69, ""20.0"": 341086.27, ""21.0"": 605642.76, ""22.0"": 26730.44, ""24.0"": 66.4}"	"{""19.0"": 1191, ""20.0"": 344805, ""21.0"": 602102, ""22.0"": 26677, ""24.0"": 43}"	"{""[19.0, 19.0]"": 30, ""[19.0, 20.0]"": 245, ""[19.0, 21.0]"": 866, ""[19.0, 22.0]"": 19, ""[19.0, 24.0]"": 1, ""[20.0, 20.0]"": 61370, ""[20.0, 21.0]"": 212184, ""[20.0, 22.0]"": 9621, ""[20.0, 24.0]"": 15, ""[21.0, 21.0]"": 186398, ""[21.0, 22.0]"": 16230, ""[21.0, 24.0]"": 26, ""[22.0, 22.0]"": 403, ""[22.0, 24.0]"": 1}"	"{""19.0"": 71.07, ""20.0"": 233476.8, ""21.0"": 405926.66, ""22.0"": 18911.15, ""24.0"": 8.62}"	"{""19.0"": 34, ""20.0"": 235976, ""21.0"": 403453, ""22.0"": 18921, ""24.0"": 8}"	"{""[19.0, 20.0]"": 13, ""[19.0, 21.0]"": 21, ""[20.0, 20.0]"": 42256, ""[20.0, 21.0]"": 144603, ""[20.0, 22.0]"": 6844, ""[20.0, 24.0]"": 4, ""[21.0, 21.0]"": 123673, ""[21.0, 22.0]"": 11480, ""[21.0, 24.0]"": 3, ""[22.0, 22.0]"": 298, ""[22.0, 24.0]"": 1}"	0.028844174380002988	0.4952085718117726	1.1116206566484892	0.8575240052797355	"{""19.0"": 0.62, ""20.0"": 0.99, ""21.0"": 0.99, ""22.0"": 1.0, ""24.0"": 0.86}"	1.41e-09	-0.07701151002681028	-0.057379228381124234	0.0534583	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
1	1_25976658_27529784	27223019	27223041	27223017	STR_18361	1	A	22.0,23.0,24.0,25.0,26.0	23.0	"{""22.0"": 0.0, ""23.0"": 827152.58, ""24.0"": 415.73, ""25.0"": 146540.09, ""26.0"": 709.57}"	"{""23.0"": 827666, ""24.0"": 354, ""25.0"": 146125, ""26.0"": 673}"	"{""[23.0, 23.0]"": 351545, ""[23.0, 24.0]"": 284, ""[23.0, 25.0]"": 123768, ""[23.0, 26.0]"": 524, ""[24.0, 24.0]"": 4, ""[24.0, 25.0]"": 48, ""[24.0, 26.0]"": 14, ""[25.0, 25.0]"": 11101, ""[25.0, 26.0]"": 107, ""[26.0, 26.0]"": 14}"	"{""22.0"": 0.0, ""23.0"": 557743.04, ""24.0"": 37.77, ""25.0"": 100581.41, ""26.0"": 29.8}"	"{""23.0"": 557863, ""24.0"": 32, ""25.0"": 100478, ""26.0"": 19}"	"{""[23.0, 23.0]"": 236426, ""[23.0, 24.0]"": 25, ""[23.0, 25.0]"": 84972, ""[23.0, 26.0]"": 14, ""[24.0, 25.0]"": 7, ""[25.0, 25.0]"": 7747, ""[25.0, 26.0]"": 5}"	0.00010262882590830914	0.2587733283769523	0.6175613250127374	0.5152648632665632	"{""22.0"": ""NaN"", ""23.0"": 1.0, ""24.0"": 0.98, ""25.0"": 1.0, ""26.0"": 0.95}"	4.3500000000000003e-26	-0.09718884484741896	-0.09892918637964951	0.0711728	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
1	1_45613144_45915986	45749268	45749279	45749268	STR_32055	1	A	12.0,13.0	12.0	"{""12.0"": 863545.25, ""13.0"": 111272.72}"	"{""12.0"": 863648, ""13.0"": 111170}"	"{""[12.0, 12.0]"": 383331, ""[12.0, 13.0]"": 96986, ""[13.0, 13.0]"": 7092}"	"{""12.0"": 585626.98, ""13.0"": 72765.02}"	"{""12.0"": 585679, ""13.0"": 72713}"	"{""[12.0, 12.0]"": 260491, ""[12.0, 13.0]"": 64697, ""[13.0, 13.0]"": 4008}"	0.0	0.1964864566101587	0.5012425633847521	0.9492863318065732	"{""12.0"": 1.0, ""13.0"": 1.0}"	1.36e-09	-0.14884656165024346	-0.06599957278383708	0.0833571	False	NA	NA	False	NA	none	0:inside:ZSWIM5:protein_coding	51289:upstream:AL592294.1:miRNA,20303:upstream:LINC01144:lncRNA,45556:downstream:MUTYH:protein_coding,56445:upstream:TOE1:protein_coding,75045:downstream:snoU13:snoRNA,43288:upstream:HPDL:protein_coding,0:inside:ZSWIM5:protein_coding,45655:downstream:RP4-534D1.6:protein_coding,60276:downstream:TESK2:protein_coding	intron:ZSWIM5:protein_coding	transcribed;ZSWIM5-202:processed_transcript:3
1	1_50978350_51228350	51103354	51103391	51103350	STR_35095	2	GT	16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,30.0	19.0	"{""16.0"": 0.0, ""17.0"": 1303.17, ""18.0"": 7978.73, ""19.0"": 421128.9, ""20.0"": 116762.73, ""21.0"": 8894.11, ""22.0"": 58537.27, ""23.0"": 176792.85, ""24.0"": 81170.22, ""25.0"": 83431.97, ""26.0"": 12118.86, ""27.0"": 5061.15, ""28.0"": 1798.13, ""30.0"": 0.0}"	"{""17.0"": 1235, ""18.0"": 4231, ""19.0"": 427520, ""20.0"": 116379, ""21.0"": 6102, ""22.0"": 59487, ""23.0"": 174917, ""24.0"": 81194, ""25.0"": 89347, ""26.0"": 7668, ""27.0"": 5020, ""28.0"": 1718}"	"{""[17.0, 17.0]"": 2, ""[17.0, 18.0]"": 5, ""[17.0, 19.0]"": 544, ""[17.0, 20.0]"": 151, ""[17.0, 21.0]"": 6, ""[17.0, 22.0]"": 75, ""[17.0, 23.0]"": 220, ""[17.0, 24.0]"": 114, ""[17.0, 25.0]"": 100, ""[17.0, 26.0]"": 11, ""[17.0, 27.0]"": 5, ""[18.0, 18.0]"": 38, ""[18.0, 19.0]"": 2074, ""[18.0, 20.0]"": 401, ""[18.0, 21.0]"": 20, ""[18.0, 22.0]"": 261, ""[18.0, 23.0]"": 667, ""[18.0, 24.0]"": 320, ""[18.0, 25.0]"": 351, ""[18.0, 26.0]"": 29, ""[18.0, 27.0]"": 18, ""[18.0, 28.0]"": 9, ""[19.0, 19.0]"": 94380, ""[19.0, 20.0]"": 50902, ""[19.0, 21.0]"": 2517, ""[19.0, 22.0]"": 25939, ""[19.0, 23.0]"": 76218, ""[19.0, 24.0]"": 35382, ""[19.0, 25.0]"": 38971, ""[19.0, 26.0]"": 3264, ""[19.0, 27.0]"": 2192, ""[19.0, 28.0]"": 757, ""[20.0, 20.0]"": 7055, ""[20.0, 21.0]"": 631, ""[20.0, 22.0]"": 7161, ""[20.0, 23.0]"": 20675, ""[20.0, 24.0]"": 9850, ""[20.0, 25.0]"": 10807, ""[20.0, 26.0]"": 899, ""[20.0, 27.0]"": 580, ""[20.0, 28.0]"": 212, ""[21.0, 21.0]"": 100, ""[21.0, 22.0]"": 380, ""[21.0, 23.0]"": 1378, ""[21.0, 24.0]"": 424, ""[21.0, 25.0]"": 475, ""[21.0, 26.0]"": 44, ""[21.0, 27.0]"": 18, ""[21.0, 28.0]"": 9, ""[22.0, 22.0]"": 1846, ""[22.0, 23.0]"": 10627, ""[22.0, 24.0]"": 4915, ""[22.0, 25.0]"": 5535, ""[22.0, 26.0]"": 497, ""[22.0, 27.0]"": 293, ""[22.0, 28.0]"": 112, ""[23.0, 23.0]"": 16060, ""[23.0, 24.0]"": 14680, ""[23.0, 25.0]"": 15692, ""[23.0, 26.0]"": 1419, ""[23.0, 27.0]"": 919, ""[23.0, 28.0]"": 302, ""[24.0, 24.0]"": 3321, ""[24.0, 25.0]"": 7608, ""[24.0, 26.0]"": 641, ""[24.0, 27.0]"": 481, ""[24.0, 28.0]"": 137, ""[25.0, 25.0]"": 4220, ""[25.0, 26.0]"": 770, ""[25.0, 27.0]"": 431, ""[25.0, 28.0]"": 167, ""[26.0, 26.0]"": 24, ""[26.0, 27.0]"": 39, ""[26.0, 28.0]"": 7, ""[27.0, 27.0]"": 20, ""[27.0, 28.0]"": 4, ""[28.0, 28.0]"": 1}"	"{""16.0"": 0.0, ""17.0"": 863.81, ""18.0"": 4548.56, ""19.0"": 284476.02, ""20.0"": 81459.76, ""21.0"": 4036.71, ""22.0"": 39777.44, ""23.0"": 116372.26, ""24.0"": 55731.69, ""25.0"": 58065.14, ""26.0"": 8336.86, ""27.0"": 3460.38, ""28.0"": 1371.23, ""30.0"": 0.0}"	"{""17.0"": 830, ""18.0"": 2233, ""19.0"": 288142, ""20.0"": 81465, ""21.0"": 2338, ""22.0"": 40485, ""23.0"": 114899, ""24.0"": 55800, ""25.0"": 62286, ""26.0"": 5183, ""27.0"": 3414, ""28.0"": 1317}"	"{""[17.0, 17.0]"": 1, ""[17.0, 18.0]"": 3, ""[17.0, 19.0]"": 379, ""[17.0, 20.0]"": 98, ""[17.0, 21.0]"": 4, ""[17.0, 22.0]"": 50, ""[17.0, 23.0]"": 138, ""[17.0, 24.0]"": 75, ""[17.0, 25.0]"": 69, ""[17.0, 26.0]"": 9, ""[17.0, 27.0]"": 3, ""[18.0, 18.0]"": 4, ""[18.0, 19.0]"": 992, ""[18.0, 20.0]"": 254, ""[18.0, 21.0]"": 4, ""[18.0, 22.0]"": 139, ""[18.0, 23.0]"": 395, ""[18.0, 24.0]"": 193, ""[18.0, 25.0]"": 217, ""[18.0, 26.0]"": 13, ""[18.0, 27.0]"": 9, ""[18.0, 28.0]"": 6, ""[19.0, 19.0]"": 62983, ""[19.0, 20.0]"": 35720, ""[19.0, 21.0]"": 1016, ""[19.0, 22.0]"": 17657, ""[19.0, 23.0]"": 50535, ""[19.0, 24.0]"": 24428, ""[19.0, 25.0]"": 27175, ""[19.0, 26.0]"": 2216, ""[19.0, 27.0]"": 1484, ""[19.0, 28.0]"": 574, ""[20.0, 20.0]"": 5030, ""[20.0, 21.0]"": 278, ""[20.0, 22.0]"": 5042, ""[20.0, 23.0]"": 14055, ""[20.0, 24.0]"": 6944, ""[20.0, 25.0]"": 7788, ""[20.0, 26.0]"": 645, ""[20.0, 27.0]"": 413, ""[20.0, 28.0]"": 168, ""[21.0, 21.0]"": 1, ""[21.0, 22.0]"": 135, ""[21.0, 23.0]"": 403, ""[21.0, 24.0]"": 204, ""[21.0, 25.0]"": 256, ""[21.0, 26.0]"": 20, ""[21.0, 27.0]"": 11, ""[21.0, 28.0]"": 5, ""[22.0, 22.0]"": 1254, ""[22.0, 23.0]"": 7003, ""[22.0, 24.0]"": 3420, ""[22.0, 25.0]"": 3896, ""[22.0, 26.0]"": 334, ""[22.0, 27.0]"": 207, ""[22.0, 28.0]"": 94, ""[23.0, 23.0]"": 9986, ""[23.0, 24.0]"": 9830, ""[23.0, 25.0]"": 10778, ""[23.0, 26.0]"": 936, ""[23.0, 27.0]"": 627, ""[23.0, 28.0]"": 227, ""[24.0, 24.0]"": 2305, ""[24.0, 25.0]"": 5253, ""[24.0, 26.0]"": 418, ""[24.0, 27.0]"": 318, ""[24.0, 28.0]"": 107, ""[25.0, 25.0]"": 2953, ""[25.0, 26.0]"": 534, ""[25.0, 27.0]"": 287, ""[25.0, 28.0]"": 127, ""[26.0, 26.0]"": 14, ""[26.0, 27.0]"": 25, ""[26.0, 28.0]"": 5, ""[27.0, 27.0]"": 14, ""[27.0, 28.0]"": 2, ""[28.0, 28.0]"": 1}"	0.39127051598765716	0.7426692170022544	2.386485693457718	0.5080897608055193	"{""16.0"": ""NaN"", ""17.0"": 0.95, ""18.0"": 0.79, ""19.0"": 0.99, ""20.0"": 0.99, ""21.0"": 0.84, ""22.0"": 0.96, ""23.0"": 0.94, ""24.0"": 0.96, ""25.0"": 0.94, ""26.0"": 0.76, ""27.0"": 0.94, ""28.0"": 0.93, ""30.0"": ""NaN""}"	3.4e-08	-0.017098623885551997	-0.056549486527959464	0.230095	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
1	1_92273858_93591062	92826635	92826715	92826635	STR_57344	2	AC	38.5,39.5,40.5,42.0,47.0	40.5	"{""38.5"": 4165.07, ""39.5"": 769779.3, ""40.5"": 189789.32, ""42.0"": 0.0, ""47.0"": 11086.98}"	"{""38.5"": 3136, ""39.5"": 772624, ""40.5"": 189890, ""47.0"": 9168}"	"{""[38.5, 38.5]"": 9, ""[38.5, 39.5]"": 2466, ""[38.5, 40.5]"": 617, ""[38.5, 47.0]"": 35, ""[39.5, 39.5]"": 306696, ""[39.5, 40.5]"": 149518, ""[39.5, 47.0]"": 7248, ""[40.5, 40.5]"": 18985, ""[40.5, 47.0]"": 1785, ""[47.0, 47.0]"": 50}"	"{""38.5"": 2895.23, ""39.5"": 515280.24, ""40.5"": 132563.28, ""42.0"": 0.0, ""47.0"": 7655.11}"	"{""38.5"": 2157, ""39.5"": 517146, ""40.5"": 132764, ""47.0"": 6325}"	"{""[38.5, 38.5]"": 5, ""[38.5, 39.5]"": 1689, ""[38.5, 40.5]"": 439, ""[38.5, 47.0]"": 19, ""[39.5, 39.5]"": 203252, ""[39.5, 40.5]"": 103966, ""[39.5, 47.0]"": 4987, ""[40.5, 40.5]"": 13553, ""[40.5, 47.0]"": 1253, ""[47.0, 47.0]"": 33}"	0.01602435964393714	0.3422743692762541	0.8308857709182086	0.236880154820717	"{""38.5"": 0.89, ""39.5"": 0.99, ""40.5"": 0.99, ""42.0"": ""NaN"", ""47.0"": 0.86}"	8.36e-12	0.04656501664505967	0.05812300586805057	0.082335	False	NA	NA	False	NA	none	0:inside:RPAP2:protein_coding	41233:downstream:RN7SL824P:misc_RNA,62091:upstream:GLMN:protein_coding,0:inside:RPAP2:protein_coding	intron:RPAP2:protein_coding	transcribed;RPAP2-203:protein_coding:1,RPAP2-201:retained_intron:2
1	1_173455303_175126850	173801907	173801924	173801904	STR_86677	1	A	12.0,14.0,17.0,18.0,19.0	18.0	"{""12.0"": 1540.14, ""14.0"": 7112.84, ""17.0"": 368832.64, ""18.0"": 597318.54, ""19.0"": 17.61}"	"{""12.0"": 1543, ""14.0"": 6897, ""17.0"": 369414, ""18.0"": 596945, ""19.0"": 19}"	"{""[12.0, 12.0]"": 58, ""[12.0, 17.0]"": 1040, ""[12.0, 18.0]"": 387, ""[14.0, 14.0]"": 33, ""[14.0, 17.0]"": 2544, ""[14.0, 18.0]"": 4287, ""[17.0, 17.0]"": 71136, ""[17.0, 18.0]"": 223544, ""[17.0, 19.0]"": 14, ""[18.0, 18.0]"": 184361, ""[18.0, 19.0]"": 5}"	"{""12.0"": 28.47, ""14.0"": 5130.56, ""17.0"": 242224.14, ""18.0"": 411009.11, ""19.0"": 0.77}"	"{""12.0"": 17, ""14.0"": 4980, ""17.0"": 242541, ""18.0"": 410853, ""19.0"": 1}"	"{""[12.0, 17.0]"": 7, ""[12.0, 18.0]"": 10, ""[14.0, 14.0]"": 26, ""[14.0, 17.0]"": 1845, ""[14.0, 18.0]"": 3083, ""[17.0, 17.0]"": 44587, ""[17.0, 18.0]"": 151515, ""[18.0, 18.0]"": 128122, ""[18.0, 19.0]"": 1}"	0.007836960004362136	0.4748290313232161	1.0089997565962312	0.6030332362170296	"{""12.0"": 0.84, ""14.0"": 0.99, ""17.0"": 1.0, ""18.0"": 1.0, ""19.0"": 1.0}"	1.07e-10	-0.07834450061664633	-0.06409668767373411	0.11496	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
1	1_173455303_175126850	174893016	174893045	174893010	STR_87460	1	A	23.0,26.0,29.0,30.0,31.0	30.0	"{""23.0"": 0.0, ""26.0"": 2720.27, ""29.0"": 0.0, ""30.0"": 831944.11, ""31.0"": 140158.01}"	"{""26.0"": 2713, ""30.0"": 830762, ""31.0"": 141343}"	"{""[26.0, 26.0]"": 3, ""[26.0, 30.0]"": 2294, ""[26.0, 31.0]"": 413, ""[30.0, 30.0]"": 354172, ""[30.0, 31.0]"": 120124, ""[31.0, 31.0]"": 10403}"	"{""23.0"": 0.0, ""26.0"": 1879.68, ""29.0"": 0.0, ""30.0"": 564419.88, ""31.0"": 92093.43}"	"{""26.0"": 1894, ""30.0"": 563498, ""31.0"": 93000}"	"{""[26.0, 30.0]"": 1628, ""[26.0, 31.0]"": 266, ""[30.0, 30.0]"": 241213, ""[30.0, 31.0]"": 79444, ""[31.0, 31.0]"": 6645}"	0.0028549514173897873	0.2475256899314863	0.6153061134480183	0.5554479427671355	"{""23.0"": ""NaN"", ""26.0"": 0.94, ""29.0"": ""NaN"", ""30.0"": 0.99, ""31.0"": 0.99}"	5.59e-11	0.09837291810503324	0.0572010034168857	0.0512048	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
1	1_200057654_200396103	200266664	200266696	200266664	STR_100877	1	T	24.0,30.0,31.0,32.0,33.0,34.0	33.0	"{""24.0"": 326.19, ""30.0"": 14464.23, ""31.0"": 650075.64, ""32.0"": 147650.81, ""33.0"": 49798.19, ""34.0"": 112702.51}"	"{""24.0"": 197, ""30.0"": 12896, ""31.0"": 650725, ""32.0"": 148279, ""33.0"": 48992, ""34.0"": 113729}"	"{""[24.0, 30.0]"": 3, ""[24.0, 31.0]"": 126, ""[24.0, 32.0]"": 26, ""[24.0, 33.0]"": 12, ""[24.0, 34.0]"": 30, ""[30.0, 30.0]"": 1376, ""[30.0, 31.0]"": 6405, ""[30.0, 32.0]"": 1624, ""[30.0, 33.0]"": 734, ""[30.0, 34.0]"": 1378, ""[31.0, 31.0]"": 218208, ""[31.0, 32.0]"": 99394, ""[31.0, 33.0]"": 32566, ""[31.0, 34.0]"": 75818, ""[32.0, 32.0]"": 11267, ""[32.0, 33.0]"": 7340, ""[32.0, 34.0]"": 17361, ""[33.0, 33.0]"": 1366, ""[33.0, 34.0]"": 5608, ""[34.0, 34.0]"": 6767}"	"{""24.0"": 201.75, ""30.0"": 2207.36, ""31.0"": 446973.64, ""32.0"": 99891.32, ""33.0"": 33646.92, ""34.0"": 75604.18}"	"{""24.0"": 120, ""30.0"": 1204, ""31.0"": 447236, ""32.0"": 100421, ""33.0"": 33172, ""34.0"": 76239}"	"{""[24.0, 31.0]"": 81, ""[24.0, 32.0]"": 13, ""[24.0, 33.0]"": 7, ""[24.0, 34.0]"": 19, ""[30.0, 30.0]"": 1, ""[30.0, 31.0]"": 836, ""[30.0, 32.0]"": 182, ""[30.0, 33.0]"": 63, ""[30.0, 34.0]"": 121, ""[31.0, 31.0]"": 152063, ""[31.0, 32.0]"": 68161, ""[31.0, 33.0]"": 22485, ""[31.0, 34.0]"": 51547, ""[32.0, 32.0]"": 7613, ""[32.0, 33.0]"": 5009, ""[32.0, 34.0]"": 11830, ""[33.0, 33.0]"": 899, ""[33.0, 34.0]"": 3810, ""[34.0, 34.0]"": 4456}"	0.1695610359130236	0.4993572141517405	1.3890211607842882	0.4390203487364563	"{""24.0"": 0.47, ""30.0"": 0.9, ""31.0"": 0.99, ""32.0"": 0.98, ""33.0"": 0.99, ""34.0"": 0.99}"	6.79e-11	-0.038713054666775104	-0.05626822672677822	0.455975	False	NA	NA	False	NA	none	0:inside:LINC00862:lncRNA	83214:downstream:CCNQP1:processed_pseudogene,17867:downstream:RP11-532L16.3:lncRNA,31593:upstream:RP11-532L16.1:processed_pseudogene,35625:upstream:RP11-469A15.2:lncRNA,0:inside:LINC00862:lncRNA	intron:LINC00862:lncRNA	transcribed;LINC00862-203:lncRNA:5
