chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	direction_of_association	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	FINEMAP_pcausal	SuSiE_pcausal	SuSiE_CS_pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_965168_1215168	1090170	1090184	1090168	STR_397	1	A	13.0,14.0,15.0,16.0	15.0	"{""13.0"": 33925.08, ""14.0"": 268610.15, ""15.0"": 668939.1, ""16.0"": 3343.72}"	"{""13.0"": 33722, ""14.0"": 269624, ""15.0"": 669989, ""16.0"": 1483}"	"{""[13.0, 13.0]"": 1502, ""[13.0, 14.0]"": 8753, ""[13.0, 15.0]"": 21786, ""[13.0, 16.0]"": 179, ""[14.0, 14.0]"": 37426, ""[14.0, 15.0]"": 185689, ""[14.0, 16.0]"": 330, ""[15.0, 15.0]"": 230786, ""[15.0, 16.0]"": 942, ""[16.0, 16.0]"": 16}"	"{""13.0"": 18070.51, ""14.0"": 185264.91, ""15.0"": 455352.26, ""16.0"": 1974.32}"	"{""13.0"": 17850, ""14.0"": 185835, ""15.0"": 456248, ""16.0"": 729}"	"{""[13.0, 13.0]"": 243, ""[13.0, 14.0]"": 4942, ""[13.0, 15.0]"": 12404, ""[13.0, 16.0]"": 18, ""[14.0, 14.0]"": 26068, ""[14.0, 15.0]"": 128565, ""[14.0, 16.0]"": 192, ""[15.0, 15.0]"": 157383, ""[15.0, 16.0]"": 513, ""[16.0, 16.0]"": 3}"	0.03034052208239614	0.4432294162952989	1.0351670775159296	0.4378708225152362	"{""13.0"": 0.96, ""14.0"": 0.98, ""15.0"": 0.98, ""16.0"": 0.72}"	4.83e-08	-	-0.6907822227397844	-0.5192401183648481	0.187241	NA	NA	False	NA	NA	False	NA	none	10734:downstream:LINC01342:lncRNA	98674:downstream:RP11-54O7.14:lncRNA,91502:upstream:RP11-54O7.18:lncRNA,80484:upstream:RNF223:protein_coding,50192:downstream:RP11-465B22.9:lncRNA,10734:downstream:LINC01342:lncRNA,12300:upstream:MIR200B:miRNA,13059:upstream:MIR200A:miRNA,14201:upstream:MIR429:miRNA,14553:upstream:RP11-465B22.8:lncRNA,48704:downstream:TNFRSF18:protein_coding,77433:upstream:B3GALT6:protein_coding,94973:downstream:RP5-902P8.12:lncRNA,98672:downstream:AGRN:protein_coding,85435:downstream:RP11-465B22.3:transcribed_unprocessed_pseudogene,18252:downstream:TTLL10-AS1:lncRNA,19076:upstream:TTLL10:protein_coding,56536:downstream:TNFRSF4:protein_coding,62105:downstream:SDF4:protein_coding,99105:downstream:UBE2J2:protein_coding,87642:downstream:C1QTNF12:protein_coding,38429:upstream:C1orf159:protein_coding	intergenic	untranscribed
1	1_1950251_2320453	2195453	2195464	2195453	STR_1196	1	A	10.0,11.0,12.0,13.0	12.0	"{""10.0"": 145.91, ""11.0"": 491543.06, ""12.0"": 483033.36, ""13.0"": 95.64}"	"{""10.0"": 74, ""11.0"": 492356, ""12.0"": 482384, ""13.0"": 4}"	"{""[10.0, 11.0]"": 34, ""[10.0, 12.0]"": 40, ""[11.0, 11.0]"": 125053, ""[11.0, 12.0]"": 242213, ""[11.0, 13.0]"": 3, ""[12.0, 12.0]"": 120065, ""[12.0, 13.0]"": 1}"	"{""10.0"": 12.62, ""11.0"": 329860.19, ""12.0"": 330723.56, ""13.0"": 65.63}"	"{""11.0"": 330440, ""12.0"": 330219, ""13.0"": 3}"	"{""[11.0, 11.0]"": 82624, ""[11.0, 12.0]"": 165190, ""[11.0, 13.0]"": 2, ""[12.0, 12.0]"": 82514, ""[12.0, 13.0]"": 1}"	0.00011844180534070371	0.500004484919496	1.000082524072448	0.9279098649704056	"{""10.0"": ""NaN"", ""11.0"": 1.0, ""12.0"": 1.0, ""13.0"": 0.28}"	6.21e-09	-	-0.9923147510531347	-0.7020039982674775	0.108458	NA	NA	False	NA	NA	False	NA	none	0:inside:SKI:protein_coding	51015:upstream:RP11-181G12.8:lncRNA,62176:downstream:RP4-713A8.1:lncRNA,86389:downstream:RP4-740C4.5:transcribed_processed_pseudogene,99036:downstream:RP4-740C4.7:lncRNA,79625:upstream:PRKCZ-AS1:lncRNA,51294:upstream:FAAP20:protein_coding,43276:downstream:RP11-181G12.4:lncRNA,57228:downstream:MORN1:protein_coding,0:inside:SKI:protein_coding,78619:downstream:PRKCZ:protein_coding	intron:SKI:protein_coding	transcribed;SKI-201:protein_coding:1,SKI-204:processed_transcript:3,SKI-202:processed_transcript:3
1	1_15669586_16176260	15899753	15899763	15899753	STR_9662	1	A	11.0,12.0	11.0	"{""11.0"": 672158.94, ""12.0"": 302658.98}"	"{""11.0"": 673045, ""12.0"": 301773}"	"{""[11.0, 11.0]"": 233371, ""[11.0, 12.0]"": 206303, ""[12.0, 12.0]"": 47735}"	"{""11.0"": 451635.01, ""12.0"": 209026.99}"	"{""11.0"": 452104, ""12.0"": 208558}"	"{""[11.0, 11.0]"": 154787, ""[11.0, 12.0]"": 142530, ""[12.0, 12.0]"": 33014}"	0.0	0.4320525205349653	0.8996219747102856	0.5045459145000615	"{""11.0"": 0.99, ""12.0"": 0.99}"	5.29e-24	-	-1.8868469208951097	-1.2409872544150018	0.144678	0.0879	0.0782	False	NA	NA	False	NA	0:inside:15898194:15900219:AGMAT:protein_coding	0:inside:DNAJC16:protein_coding	30954:downstream:SCARNA21:snoRNA,7302:upstream:RP4-680D5.8:lncRNA,31329:upstream:CHCHD2P6:processed_pseudogene,34810:downstream:RNU7-179P:snRNA,41375:downstream:CD24P1:processed_pseudogene,86601:upstream:RSC1A1:protein_coding,81863:downstream:CELA2B:protein_coding,46724:upstream:CASP9:protein_coding,0:inside:AGMAT:protein_coding,12868:downstream:RP4-680D5.2:lncRNA,0:inside:DNAJC16:protein_coding,44190:upstream:DDI2:protein_coding	multigene;three_prime_UTR:AGMAT:protein_coding;intron:DNAJC16:protein_coding	transcribed;DNAJC16-207:processed_transcript:1,AGMAT-201:protein_coding:1,DNAJC16-203:protein_coding:1
1	1_26808591_27985948	27280446	27280462	27280443	STR_18420	1	A	16.0,17.0,18.0	17.0	"{""16.0"": 250076.4, ""17.0"": 722900.44, ""18.0"": 1841.21}"	"{""16.0"": 250716, ""17.0"": 722293, ""18.0"": 1809}"	"{""[16.0, 16.0]"": 32776, ""[16.0, 17.0]"": 184662, ""[16.0, 18.0]"": 502, ""[17.0, 17.0]"": 268165, ""[17.0, 18.0]"": 1301, ""[18.0, 18.0]"": 3}"	"{""16.0"": 172056.03, ""17.0"": 487344.32, ""18.0"": 1261.65}"	"{""16.0"": 172517, ""17.0"": 486898, ""18.0"": 1247}"	"{""[16.0, 16.0]"": 22380, ""[16.0, 17.0]"": 127412, ""[16.0, 18.0]"": 345, ""[17.0, 17.0]"": 179293, ""[17.0, 18.0]"": 900, ""[18.0, 18.0]"": 1}"	0.0019096754467488673	0.3886619532873515	0.847419079072104	0.3360692741169582	"{""16.0"": 1.0, ""17.0"": 1.0, ""18.0"": 0.99}"	4.23e-08	+	0.9906586463434326	0.6194695368265555	0.13337	NA	NA	False	NA	NA	False	NA	none	0:inside:KDF1:protein_coding	89499:downstream:SFN:protein_coding,75710:downstream:RP1-50O24.6:lncRNA,53488:upstream:GPATCH3:protein_coding,39980:upstream:NR0B2:protein_coding,26194:upstream:RPL12P13:unprocessed_pseudogene,29657:upstream:RPL32P6:processed_pseudogene,31926:downstream:OSTCP2:processed_pseudogene,39721:upstream:TRNP1:protein_coding,51049:downstream:TENT5B:protein_coding,96351:downstream:ZDHHC18:protein_coding,63672:upstream:GPN2:protein_coding,0:inside:KDF1:protein_coding,7084:downstream:NUDC:protein_coding	intron:KDF1:protein_coding	transcribed;KDF1-201:protein_coding:2,KDF1-202:protein_coding:2
1	1_48427261_49038931	48658977	48658996	48658975	STR_34039	1	A	15.0,16.0,17.0,18.0,19.0,20.0,21.0	20.0	"{""15.0"": 69.49, ""16.0"": 300518.03, ""17.0"": 301449.03, ""18.0"": 53367.58, ""19.0"": 2046.45, ""20.0"": 316686.25, ""21.0"": 726.21}"	"{""15.0"": 17, ""16.0"": 301187, ""17.0"": 301879, ""18.0"": 54252, ""19.0"": 508, ""20.0"": 316674, ""21.0"": 301}"	"{""[15.0, 16.0]"": 5, ""[15.0, 17.0]"": 7, ""[15.0, 18.0]"": 1, ""[15.0, 20.0]"": 4, ""[16.0, 16.0]"": 47307, ""[16.0, 17.0]"": 93067, ""[16.0, 18.0]"": 16876, ""[16.0, 19.0]"": 142, ""[16.0, 20.0]"": 96391, ""[16.0, 21.0]"": 92, ""[17.0, 17.0]"": 47291, ""[17.0, 18.0]"": 16494, ""[17.0, 19.0]"": 159, ""[17.0, 20.0]"": 97450, ""[17.0, 21.0]"": 120, ""[18.0, 18.0]"": 1586, ""[18.0, 19.0]"": 33, ""[18.0, 20.0]"": 17669, ""[18.0, 21.0]"": 7, ""[19.0, 19.0]"": 1, ""[19.0, 20.0]"": 172, ""[20.0, 20.0]"": 52456, ""[20.0, 21.0]"": 76, ""[21.0, 21.0]"": 3}"	"{""15.0"": 27.48, ""16.0"": 201341.63, ""17.0"": 200151.06, ""18.0"": 37260.3, ""19.0"": 1429.31, ""20.0"": 220237.87, ""21.0"": 241.34}"	"{""16.0"": 201699, ""17.0"": 200193, ""18.0"": 38228, ""19.0"": 337, ""20.0"": 220200, ""21.0"": 5}"	"{""[16.0, 16.0]"": 30768, ""[16.0, 17.0]"": 61345, ""[16.0, 18.0]"": 11633, ""[16.0, 19.0]"": 96, ""[16.0, 20.0]"": 67087, ""[16.0, 21.0]"": 2, ""[17.0, 17.0]"": 30332, ""[17.0, 18.0]"": 11564, ""[17.0, 19.0]"": 98, ""[17.0, 20.0]"": 66519, ""[17.0, 21.0]"": 3, ""[18.0, 18.0]"": 1144, ""[18.0, 19.0]"": 21, ""[18.0, 20.0]"": 12722, ""[19.0, 20.0]"": 122, ""[20.0, 20.0]"": 36875}"	0.3619093001686013	0.700533882652003	1.8164495976609027	0.4565449255508644	"{""15.0"": ""NaN"", ""16.0"": 1.0, ""17.0"": 0.98, ""18.0"": 0.95, ""19.0"": 0.45, ""20.0"": 1.0, ""21.0"": 0.07}"	4.81e-10	+	0.3023452520142893	0.7157697872825893	0.0922451	NA	NA	False	NA	NA	False	NA	none	0:inside:RP5-1024N4.2:lncRNA	88569:downstream:RP5-1024N4.6:TEC,89099:downstream:AL109659.1:protein_coding,34564:downstream:RP5-1024N4.4:lncRNA,68906:downstream:RP5-1024N4.5:TEC,0:inside:RP5-1024N4.2:lncRNA,29361:upstream:SLC5A9:protein_coding,10877:upstream:SKINT1L:transcribed_unprocessed_pseudogene	intron:RP5-1024N4.2:lncRNA	transcribed;RP5-1024N4.2-001:lncRNA:3
1	1_48427261_49038931	48879129	48879148	48879126	STR_34121	1	A	19.0,20.0,21.0,22.0	20.0	"{""19.0"": 29564.58, ""20.0"": 732456.34, ""21.0"": 188060.18, ""22.0"": 24737.06}"	"{""19.0"": 29869, ""20.0"": 731701, ""21.0"": 188638, ""22.0"": 24610}"	"{""[19.0, 19.0]"": 512, ""[19.0, 20.0]"": 22349, ""[19.0, 21.0]"": 5682, ""[19.0, 22.0]"": 814, ""[20.0, 20.0]"": 275011, ""[20.0, 21.0]"": 140995, ""[20.0, 22.0]"": 18335, ""[21.0, 21.0]"": 18627, ""[21.0, 22.0]"": 4707, ""[22.0, 22.0]"": 377}"	"{""19.0"": 17864.11, ""20.0"": 499204.13, ""21.0"": 127292.05, ""22.0"": 16301.78}"	"{""19.0"": 18201, ""20.0"": 498532, ""21.0"": 127689, ""22.0"": 16240}"	"{""[19.0, 19.0]"": 232, ""[19.0, 20.0]"": 13815, ""[19.0, 21.0]"": 3466, ""[19.0, 22.0]"": 456, ""[20.0, 20.0]"": 188213, ""[20.0, 21.0]"": 96077, ""[20.0, 22.0]"": 12214, ""[21.0, 21.0]"": 12501, ""[21.0, 22.0]"": 3144, ""[22.0, 22.0]"": 213}"	0.05171462318095543	0.3918687469651626	1.0390199603068973	0.3287782083560386	"{""19.0"": 0.94, ""20.0"": 0.98, ""21.0"": 0.99, ""22.0"": 1.0}"	1.6e-08	+	0.9702832619128401	0.7159019093772101	0.185581	NA	NA	False	NA	NA	False	NA	306:upstream:48878782:48878823:SPATA6:protein_coding,306:upstream:48878782:48878823:SPATA6:protein_coding,306:upstream:48878782:48878823:SPATA6:protein_coding,306:upstream:48878782:48878823:SPATA6:protein_coding,306:upstream:48878782:48878823:SPATA6:protein_coding	0:inside:SPATA6:protein_coding	69142:downstream:RNU6-723P:snRNA,22491:upstream:RP11-329A14.1:processed_pseudogene,34460:upstream:RNU4-61P:snRNA,83787:downstream:RP11-329A14.2:processed_pseudogene,87334:upstream:PPP1R8P1:processed_pseudogene,0:inside:SPATA6:protein_coding	intron:SPATA6:protein_coding	transcribed;SPATA6-203:protein_coding:1,SPATA6-204:protein_coding:2,SPATA6-202:protein_coding:1,SPATA6-205:processed_transcript:3,SPATA6-208:nonsense_mediated_decay:5,SPATA6-206:processed_transcript:3,SPATA6-207:processed_transcript:5
1	1_48427261_49038931	48913933	48913947	48913931	STR_34144	1	A	14.0,15.0,16.0,17.0	15.0	"{""14.0"": 122495.2, ""15.0"": 636730.51, ""16.0"": 212885.6, ""17.0"": 2707.75}"	"{""14.0"": 123475, ""15.0"": 635483, ""16.0"": 213243, ""17.0"": 2617}"	"{""[14.0, 14.0]"": 7922, ""[14.0, 15.0]"": 80237, ""[14.0, 16.0]"": 26831, ""[14.0, 17.0]"": 563, ""[15.0, 15.0]"": 207624, ""[15.0, 16.0]"": 138726, ""[15.0, 17.0]"": 1272, ""[16.0, 16.0]"": 23625, ""[16.0, 17.0]"": 436, ""[17.0, 17.0]"": 173}"	"{""14.0"": 80901.97, ""15.0"": 433687.9, ""16.0"": 145936.84, ""17.0"": 135.87}"	"{""14.0"": 81614, ""15.0"": 432814, ""16.0"": 146168, ""17.0"": 66}"	"{""[14.0, 14.0]"": 4948, ""[14.0, 15.0]"": 53818, ""[14.0, 16.0]"": 17891, ""[14.0, 17.0]"": 9, ""[15.0, 15.0]"": 141692, ""[15.0, 16.0]"": 95570, ""[15.0, 17.0]"": 42, ""[16.0, 16.0]"": 16346, ""[16.0, 17.0]"": 15}"	0.12266146510068726	0.506605766006647	1.2552556564498154	0.993058277725822	"{""14.0"": 0.99, ""15.0"": 0.99, ""16.0"": 0.99, ""17.0"": 0.86}"	5.31e-10	+	0.9321555418719143	0.7623205933340038	0.0824977	NA	NA	False	NA	NA	False	NA	219:downstream:48913608:48913714:RNU4-61P:snRNA	0:inside:SPATA6:protein_coding	11038:downstream:RP11-329A14.1:processed_pseudogene,219:downstream:RNU4-61P:snRNA,48988:downstream:RP11-329A14.2:processed_pseudogene,0:inside:SPATA6:protein_coding,84579:downstream:AGBL4:protein_coding	intron:SPATA6:protein_coding	transcribed;SPATA6-203:protein_coding:1,SPATA6-204:protein_coding:2,SPATA6-202:protein_coding:1,SPATA6-205:processed_transcript:3,SPATA6-208:nonsense_mediated_decay:5,SPATA6-206:processed_transcript:3,SPATA6-207:processed_transcript:5
1	1_82770370_83087840	82938092	82938118	82938092	STR_52283	2	AC	10.5,11.5,12.5,13.5,14.5,15.5	13.5	"{""10.5"": 1249.29, ""11.5"": 653149.25, ""12.5"": 2036.83, ""13.5"": 317814.53, ""14.5"": 78.87, ""15.5"": 498.21}"	"{""10.5"": 933, ""11.5"": 653033, ""12.5"": 1107, ""13.5"": 319253, ""14.5"": 36, ""15.5"": 456}"	"{""[10.5, 11.5]"": 621, ""[10.5, 12.5]"": 1, ""[10.5, 13.5]"": 311, ""[11.5, 11.5]"": 219250, ""[11.5, 12.5]"": 763, ""[11.5, 13.5]"": 212754, ""[11.5, 14.5]"": 26, ""[11.5, 15.5]"": 369, ""[12.5, 12.5]"": 2, ""[12.5, 13.5]"": 339, ""[13.5, 13.5]"": 52884, ""[13.5, 14.5]"": 8, ""[13.5, 15.5]"": 73, ""[14.5, 14.5]"": 1, ""[15.5, 15.5]"": 7}"	"{""10.5"": 875.6, ""11.5"": 442369.06, ""12.5"": 1379.57, ""13.5"": 215949.42, ""14.5"": 27.95, ""15.5"": 66.8}"	"{""10.5"": 657, ""11.5"": 442297, ""12.5"": 763, ""13.5"": 216913, ""14.5"": 1, ""15.5"": 31}"	"{""[10.5, 11.5]"": 431, ""[10.5, 13.5]"": 226, ""[11.5, 11.5]"": 148207, ""[11.5, 12.5]"": 536, ""[11.5, 13.5]"": 144889, ""[11.5, 15.5]"": 27, ""[12.5, 12.5]"": 2, ""[12.5, 13.5]"": 223, ""[13.5, 13.5]"": 35785, ""[13.5, 14.5]"": 1, ""[13.5, 15.5]"": 4}"	0.00355688269637234	0.4440018286201588	0.9370033702419958	0.2471266789554819	"{""10.5"": 0.92, ""11.5"": 0.99, ""12.5"": 0.78, ""13.5"": 1.0, ""14.5"": 0.69, ""15.5"": 0.85}"	1.75e-12	-	-0.5583781039639056	-0.742376402500741	0.0288288	0.0934	0.0308	False	NA	NA	False	NA	none	0:inside:RP11-147G16.1:lncRNA	0:inside:RP11-147G16.1:lncRNA	intron:RP11-147G16.1:lncRNA	transcribed;RP11-147G16.1-002:lncRNA:missing from gencode,RP11-147G16.1-005:lncRNA:missing from gencode
1	1_150351184_151127510	150604646	150604667	150604643	STR_72990	1	A	19.0,20.0,21.0,22.0,23.0,24.0	22.0	"{""19.0"": 8189.04, ""20.0"": 554243.37, ""21.0"": 66023.52, ""22.0"": 338837.34, ""23.0"": 6040.28, ""24.0"": 1510.28}"	"{""19.0"": 3651, ""20.0"": 560247, ""21.0"": 64742, ""22.0"": 340829, ""23.0"": 4380, ""24.0"": 969}"	"{""[19.0, 19.0]"": 35, ""[19.0, 20.0]"": 1916, ""[19.0, 21.0]"": 321, ""[19.0, 22.0]"": 1289, ""[19.0, 23.0]"": 16, ""[19.0, 24.0]"": 39, ""[20.0, 20.0]"": 161490, ""[20.0, 21.0]"": 37033, ""[20.0, 22.0]"": 195625, ""[20.0, 23.0]"": 2241, ""[20.0, 24.0]"": 452, ""[21.0, 21.0]"": 2199, ""[21.0, 22.0]"": 22649, ""[21.0, 23.0]"": 230, ""[21.0, 24.0]"": 111, ""[22.0, 22.0]"": 59627, ""[22.0, 23.0]"": 1675, ""[22.0, 24.0]"": 337, ""[23.0, 23.0]"": 107, ""[23.0, 24.0]"": 4, ""[24.0, 24.0]"": 13}"	"{""19.0"": 4971.8, ""20.0"": 379911.78, ""21.0"": 44652.37, ""22.0"": 227827.85, ""23.0"": 2768.65, ""24.0"": 546.79}"	"{""19.0"": 1739, ""20.0"": 384148, ""21.0"": 43811, ""22.0"": 229107, ""23.0"": 1697, ""24.0"": 160}"	"{""[19.0, 19.0]"": 2, ""[19.0, 20.0]"": 992, ""[19.0, 21.0]"": 104, ""[19.0, 22.0]"": 634, ""[19.0, 23.0]"": 4, ""[19.0, 24.0]"": 1, ""[20.0, 20.0]"": 111805, ""[20.0, 21.0]"": 25406, ""[20.0, 22.0]"": 133072, ""[20.0, 23.0]"": 972, ""[20.0, 24.0]"": 96, ""[21.0, 21.0]"": 1447, ""[21.0, 22.0]"": 15283, ""[21.0, 23.0]"": 116, ""[21.0, 24.0]"": 8, ""[22.0, 22.0]"": 39734, ""[22.0, 23.0]"": 596, ""[22.0, 24.0]"": 54, ""[23.0, 23.0]"": 4, ""[23.0, 24.0]"": 1}"	0.08012906535401354	0.5372349605190587	1.2918513410878714	0.6601713474116913	"{""19.0"": 0.62, ""20.0"": 0.99, ""21.0"": 0.99, ""22.0"": 1.0, ""23.0"": 0.75, ""24.0"": 0.66}"	2.25e-16	-	-0.6839498830981646	-0.9273761181679484	0.576226	0.1775	0.1739	False	NA	NA	False	NA	none	2558:upstream:ENSA:protein_coding	74446:upstream:ADAMTSL4-AS2:lncRNA,71233:downstream:ADAMTSL4:protein_coding,80279:downstream:AL356356.1:protein_coding,80156:downstream:MIR4257:miRNA,70055:upstream:ADAMTSL4-AS1:lncRNA,65310:upstream:RN7SL473P:misc_RNA,62901:upstream:RN7SL600P:misc_RNA,31511:upstream:SNORA40:snoRNA,69675:upstream:RNU6-1042P:snRNA,52432:upstream:MCL1:protein_coding,14039:downstream:GOLPH3L:protein_coding,65869:downstream:HORMAD1:protein_coding,2558:upstream:ENSA:protein_coding,97888:downstream:CTSS:protein_coding	intergenic	untranscribed
1	1_154788687_156248230	155241808	155241824	155241808	STR_76490	1	A	17.0,18.0,19.0,20.0	17.0	"{""17.0"": 523032.11, ""18.0"": 310127.54, ""19.0"": 141660.22, ""20.0"": 0.0}"	"{""17.0"": 522229, ""18.0"": 311299, ""19.0"": 141290}"	"{""[17.0, 17.0]"": 140772, ""[17.0, 18.0]"": 164898, ""[17.0, 19.0]"": 75787, ""[18.0, 18.0]"": 50913, ""[18.0, 19.0]"": 44575, ""[19.0, 19.0]"": 10464}"	"{""17.0"": 354938.65, ""18.0"": 204917.57, ""19.0"": 100806.8, ""20.0"": 0.0}"	"{""17.0"": 354175, ""18.0"": 205802, ""19.0"": 100685}"	"{""[17.0, 17.0]"": 95209, ""[17.0, 18.0]"": 109712, ""[17.0, 19.0]"": 54045, ""[18.0, 18.0]"": 32284, ""[18.0, 19.0]"": 31522, ""[19.0, 19.0]"": 7559}"	0.1525842932755643	0.5923428437298849	1.4199727411358865	0.167316031155542	"{""17.0"": 0.97, ""18.0"": 0.97, ""19.0"": 0.99, ""20.0"": ""NaN""}"	2.37e-08	+	0.6043661575858579	0.6291597968085857	0.0	0.9958	0.9958	False	NA	NA	False	NA	none	0:inside:CLK2:protein_coding	95857:upstream:KRTCAP2:protein_coding,79101:upstream:MUC1:protein_coding,76745:downstream:MIR92B:miRNA,58193:downstream:MTX1:protein_coding,58198:upstream:RP11-263K19.6:lncRNA,37692:downstream:MTX1P1:unprocessed_pseudogene,35180:upstream:AL713999.1:miRNA,9587:upstream:SCAMP3:protein_coding,48861:upstream:RUSC1:protein_coding,74317:downstream:MIR555:miRNA,86679:downstream:RNU6-106P:snRNA,82060:upstream:RP11-201K10.3:protein_coding,84361:downstream:TRIM46:protein_coding,66522:downstream:THBS3-AS1:lncRNA,62966:upstream:THBS3:protein_coding,27318:upstream:GBA:protein_coding,16534:upstream:FAM189B:protein_coding,0:inside:CLK2:protein_coding,5430:upstream:HCN3:protein_coding,17260:downstream:PKLR:protein_coding,36715:upstream:FDPS:protein_coding,44830:downstream:RUSC1-AS1:lncRNA,63235:downstream:ASH1L:protein_coding,44595:upstream:GBAP1:transcribed_unprocessed_pseudogene	intron:CLK2:protein_coding	transcribed;CLK2-202:protein_coding:1,CLK2-203:protein_coding:1,CLK2-201:protein_coding:5,CLK2-205:processed_transcript:1,CLK2-204:processed_transcript:3
