chrom	start	fraction_concordant_seq	fraction_concordant_len	fraction_concordant_len_sum	balanced_accuracy	len_sum_frequencies	len_sum_accuracies	mean_absolute_difference	r	dosage_r	numcalls	n_missing_only_vcf1	n_missing_only_vcf2	n_missing_both
1	3086622	0.9849453717461891	0.9849453717461891	0.9849453717461891	0.984947450704961	{40.0: 0.14948553678897303, 41.0: 0.41254125412541254, 42.0: 0.28829353523587653, 44.0: 0.05862939235099981, 45.0: 0.08522616967579111, 48.0: 0.005824111822947}	{40.0: 0.9782943131087661, 41.0: 0.9855252757352941, 42.0: 0.9872872606271043, 44.0: 0.9796980295749689, 45.0: 0.9891665378301181, 48.0: 0.9897132873535157}	0.021674274815225738	0.9891633276711999	0.9955671338770691	5151	23	0	0
1	11868271	0.6023120863964085	0.602395508751023	0.6119859629181981	0.443064284150729	{80.0: 0.0017801513128615932, 82.0: 0.014463729417000444, 84.0: 0.0004450378282153983, 90.0: 0.0011125945705384957, 92.0: 0.006008010680907877, 94.0: 0.10947930574098798, 96.0: 0.022251891410769914, 98.0: 0.04227859368046284, 100.0: 0.008233199821984869, 102.0: 0.014018691588785047, 104.0: 0.02158433466844682, 106.0: 0.2147307521139297, 108.0: 0.07454383622607921, 110.0: 0.20093457943925233, 112.0: 0.06497552291944815, 114.0: 0.10102358700489542, 116.0: 0.04472630173564753, 118.0: 0.03582554517133956, 120.0: 0.013573653760569649, 122.0: 0.0053404539385847796, 124.0: 0.0017801513128615932, 126.0: 0.0004450378282153983, 128.0: 0.00022251891410769915, 130.0: 0.00022251891410769915}	{80.0: 0.7595124840736389, 82.0: 0.9478292570610604, 84.0: 0.0, 90.0: 0.0012999999336898327, 92.0: 0.3269444328767282, 94.0: 0.8457875748797191, 96.0: 0.4301080045066192, 98.0: 0.7408158083663453, 100.0: 0.27252702996436806, 102.0: 0.6535619269568651, 104.0: 0.23690207627093054, 106.0: 0.7608927759018587, 108.0: 0.33157939548020376, 110.0: 0.6394889219215394, 112.0: 0.2740267141983679, 114.0: 0.5949828185127528, 116.0: 0.5078213967264755, 118.0: 0.49905156839338155, 120.0: 0.5184606470885214, 122.0: 0.31408750514189404, 124.0: 0.5242624878883362, 126.0: 0.44679999351501465, 128.0: 0.006599999964237213, 130.0: 0.00019999999494757503}	1.2285769005686267	0.9573516780970162	0.9718937675842038	4494	680	0	0
1	21822677	0.7051543047164515	0.7103503368157965	0.7137382179559075	0.4147513030948858	{86.0: 0.0007818608287724785, 88.0: 0.0013682564503518374, 90.0: 0.21540265832681782, 92.0: 0.014268960125097733, 94.0: 0.006450351837372948, 96.0: 0.01055512118842846, 98.0: 0.16751368256450352, 100.0: 0.17181391712275215, 102.0: 0.07212666145426114, 104.0: 0.03049257232212666, 106.0: 0.05942142298670837, 108.0: 0.08874120406567632, 110.0: 0.05551211884284597, 112.0: 0.03616106333072713, 114.0: 0.02071931196247068, 116.0: 0.017787333854573886, 118.0: 0.014464425332290852, 120.0: 0.009773260359655981, 122.0: 0.0021501172791243157, 124.0: 0.0005863956215793589, 126.0: 0.0005863956215793589, 128.0: 0.0021501172791243157, 130.0: 0.0007818608287724785, 132.0: 0.00019546520719311962, 138.0: 0.00019546520719311962}	{86.0: 0.25999999744817615, 88.0: 0.00045714242982545063, 90.0: 0.9158321761032908, 92.0: 0.2882685034359607, 94.0: 0.11463939684999674, 96.0: 0.536542595561278, 98.0: 0.7963570427865447, 100.0: 0.7635336956628925, 102.0: 0.6847769916859283, 104.0: 0.539578178106706, 106.0: 0.6598157960155684, 108.0: 0.6203125819239749, 110.0: 0.5585366209447464, 112.0: 0.5897021342540077, 114.0: 0.5632094418105449, 116.0: 0.4239219739178584, 118.0: 0.4361135211585025, 120.0: 0.20150599556043744, 122.0: 0.2643545545764606, 124.0: 0.8292666872342427, 126.0: 0.3218666408210992, 128.0: 0.00019090908410196957, 130.0: 0.0, 132.0: 0.0, 138.0: 0.0}	1.640121490932178	0.8690679487077373	0.9345017880198423	5116	58	0	0
1	21826946	0.9463663899799608	0.9463663899799608	0.9463873680501849	0.5780226848106236	{27.0: 0.0011643702697457792, 28.0: 0.7717834271298273, 29.0: 0.1789248981176014, 30.0: 0.04308169998059383, 31.0: 0.004657481078983117, 32.0: 0.00038812342324859306}	{27.0: 0.0, 28.0: 0.9824216294474479, 29.0: 0.8532562586852631, 30.0: 0.7496540653812993, 31.0: 0.6705541610717773, 32.0: 0.2122499942779541}	0.07088480489167424	0.8308467532931759	0.8977413739463982	5153	21	0	0
1	21935885	0.9614087919969312	0.9614087919969312	0.9614087919969312	0.5742721321062326	{25.0: 0.00038812342324859306, 26.0: 0.15699592470405588, 27.0: 0.46109062681932855, 28.0: 0.3811372016301184, 29.0: 0.00038812342324859306}	{25.0: 0.0, 26.0: 0.9357657414873687, 27.0: 0.9601861202355588, 28.0: 0.9754087988082357, 29.0: 0.0}	0.03897686715309649	0.959353539875745	0.9764337268025091	5153	21	0	0
1	22015711	0.9630464517257235	0.9630464517257235	0.9630600677534292	0.5584909090777048	{19.0: 0.00019451468585878233, 21.0: 0.00019451468585878233, 22.0: 0.6037735849056604, 23.0: 0.3481812876872204, 24.0: 0.047656098035401676}	{19.0: 0.0, 21.0: 0.0, 22.0: 0.9850257929299295, 23.0: 0.938997754571158, 24.0: 0.8684309978874362}	0.037851389973303326	0.9410874131902817	0.9631652562986368	5141	33	0	0
1	23747997	0.9974301299028022	0.9974301299028022	0.9974301299028022	0.7474389138174422	{21.0: 0.00038677238445175013, 22.0: 0.5043511893250822, 23.0: 0.42100174047573, 24.0: 0.07426029781473603}	{21.0: 0.0, 22.0: 0.9986853102233513, 23.0: 0.9975287069899805, 24.0: 0.9935416380564371}	0.0025701022221002777	0.9967384308311025	0.9983972950285496	5171	3	0	0
1	23817932	0.9732685729927905	0.9734778217896098	0.9734828437607103	0.7756103529313866	{27.0: 0.0012554927809165098, 28.0: 0.5404896421845574, 29.0: 0.2594685080560787, 30.0: 0.15526260724000837, 31.0: 0.032015065913371, 32.0: 0.010671688637790333, 33.0: 0.0008369951872776732}	{27.0: 0.5, 28.0: 0.9897855939905593, 29.0: 0.9831778485403067, 30.0: 0.9295322326914547, 31.0: 0.9043895013788653, 32.0: 0.8711372876600316, 33.0: 0.2512500062584877}	0.032964573666198614	0.9730335118016656	0.9843687143704093	4779	395	0	0
1	23818460	0.9365032809176356	0.9365521990166448	0.9365521990166448	0.6111501052691696	{53.0: 0.00020222446916076846, 55.0: 0.0034378159757330637, 56.0: 0.0010111223458038423, 58.0: 0.0020222446916076846, 60.0: 0.06370070778564206, 61.0: 0.011122345803842264, 62.0: 0.6790697674418604, 63.0: 0.22204246713852377, 64.0: 0.017391304347826087}	{53.0: 0.0, 55.0: 0.004117647037834532, 56.0: 0.0, 58.0: 1.0, 60.0: 0.987269799671476, 61.0: 0.9430909419601614, 62.0: 0.9711726621423469, 63.0: 0.84978122961218, 64.0: 0.7449186669985275}	0.11016565484671352	0.7133966844437833	0.8097576252899618	4945	229	0	0
1	26844613	0.9755773433376824	0.9755773433376824	0.975582230169048	0.6047806223984986	{37.0: 0.00051440329218107, 38.0: 0.000257201646090535, 46.0: 0.00102880658436214, 47.0: 0.07381687242798354, 48.0: 0.5468106995884774, 49.0: 0.3397633744855967, 50.0: 0.03729423868312757, 51.0: 0.00051440329218107}	{37.0: 0.0, 38.0: 0.0, 46.0: 0.9999999999999999, 47.0: 0.9808710398807966, 48.0: 0.9847298121519618, 49.0: 0.9715006650727944, 50.0: 0.9011434620824355, 51.0: 0.0}	0.037706994649500454	0.8610557544380378	0.8885927776090778	3888	1286	0	0
