phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
mean_corpuscular_haemoglobin	1	3086622	3086642	1_2862268_3223846	A	{20.0: 266363.13, 21.0: 364890.1, 24.0: 39910.77}	1.94e-12	+	not	0.0945124094590563	0.232891										0.872, 0.869, 0.086, 0.374, 0.761	NA, NA, NA, NA, NA	{20.0: 9882.17, 21.0: 2684.09, 24.0: 1007.74}	{20.0: 7914.89, 21.0: 4923.53, 24.0: 737.58}	{20.0: 1856.77, 21.0: 840.1, 24.0: 123.13}	{20.0: 8461.46, 21.0: 12232.51, 24.0: 1752.03}	{20.0: 12837.37, 21.0: 15221.88, 24.0: 1634.75}
mean_corpuscular_volume	1	3086622	3086642	1_2864543_3223846	A	{20.0: 266144.4, 21.0: 365015.04, 24.0: 40010.56}	1.19e-11	+	not	0.277642509000866	0.750473										0.841, 0.55, 0.436, 0.409, 0.845	NA, NA, NA, NA, NA	{20.0: 9893.63, 21.0: 2671.81, 24.0: 1008.56}	{20.0: 7909.93, 21.0: 4933.27, 24.0: 732.8}	{20.0: 1858.76, 21.0: 837.12, 24.0: 124.12}	{20.0: 8483.7, 21.0: 12213.87, 24.0: 1748.43}	{20.0: 12835.32, 21.0: 15229.08, 24.0: 1629.6}
mean_platelet_volume	1	3086622	3086642	1_2779056_3226277	A	{20.0: 266261.61, 21.0: 364995.1, 24.0: 39905.29}	3.78e-10	-	singly	0.0	0.995037										0.182, 0.0286, 0.0442, 0.00334, 0.299	NA, -, -, -, NA	{20.0: 9888.45, 21.0: 2667.85, 24.0: 1017.7}	{20.0: 7912.78, 21.0: 4931.52, 24.0: 731.7}	{20.0: 1859.57, 21.0: 836.31, 24.0: 124.12}	{20.0: 8444.7, 21.0: 12262.14, 24.0: 1739.16}	{20.0: 12837.73, 21.0: 15224.23, 24.0: 1632.04}
mean_sphered_cell_volume	1	3086622	3086642	1_2868740_3211622	A	{20.0: 262429.04, 21.0: 359777.68, 24.0: 39339.28}	2.58e-8	+	not	0.0801496478751265	0.188919										0.185, 0.332, 0.691, 0.822, 0.417	NA, NA, NA, NA, NA	{20.0: 9624.66, 21.0: 2617.67, 24.0: 983.67}	{20.0: 7729.94, 21.0: 4808.65, 24.0: 723.41}	{20.0: 1816.72, 21.0: 822.14, 24.0: 121.14}	{20.0: 8315.8, 21.0: 12009.89, 24.0: 1734.31}	{20.0: 12540.39, 21.0: 14910.63, 24.0: 1600.98}
platelet_crit	1	3086622	3086642	1_2773960_3224194	A	{20.0: 266165.43, 21.0: 364916.8, 24.0: 39799.77}	4.24e-12	-	confidently	0.993850332896292	1.0	0.993517322295385	1.0	1.0	1.0	1.0	1.0	0.973073296361602	1.0	1.0	0.315, 0.772, 0.239, 0.0854, 0.135	NA, NA, NA, NA, NA	{20.0: 9880.72, 21.0: 2683.56, 24.0: 1009.72}	{20.0: 7916.17, 21.0: 4928.71, 24.0: 731.12}	{20.0: 1864.74, 21.0: 832.1, 24.0: 123.16}	{20.0: 8467.51, 21.0: 12235.64, 24.0: 1742.85}	{20.0: 12823.92, 21.0: 15235.61, 24.0: 1634.47}
albumin	1	23817932	23817947	1_23595185_23949623	A	{11.0: 0.0, 13.0: 26342.47, 14.0: 434983.92, 15.0: 102179.03, 16.0: 49267.84, 17.0: 1560.7}	2.31e-10	-	not	0.0	0.218016										0.244, 0.119, 0.94, 0.202, 0.48	NA, NA, NA, NA, NA	{11.0: 0.0, 13.0: 927.25, 14.0: 1931.09, 15.0: 6703.92, 16.0: 2941.5, 17.0: 14.76}	{11.0: 0.0, 13.0: 309.73, 14.0: 6924.74, 15.0: 3750.2, 16.0: 1079.72, 17.0: 229.68}	{11.0: 0.0, 13.0: 1.05, 14.0: 1414.72, 15.0: 794.73, 16.0: 307.9, 17.0: 11.6}	{11.0: 0.0, 13.0: 746.87, 14.0: 14306.16, 15.0: 3458.71, 16.0: 1768.29, 17.0: 50.24}	{11.0: 0.0, 13.0: 1501.27, 14.0: 18716.14, 15.0: 4360.49, 16.0: 2103.4, 17.0: 100.97}
apolipoprotein_a	1	23817932	23817947	1_23566745_23949623	A	{11.0: 0.0, 13.0: 26267.95, 14.0: 432704.14, 15.0: 101501.86, 16.0: 49139.95, 17.0: 1552.08}	4.71e-13	-	not	0.0	0.405531										0.47, 0.0291, 0.72, 0.509, 0.43	NA, -, NA, NA, NA	{11.0: 0.0, 13.0: 928.22, 14.0: 1934.81, 15.0: 6655.63, 16.0: 2934.96, 17.0: 14.9}	{11.0: 0.0, 13.0: 309.79, 14.0: 6941.56, 15.0: 3723.02, 16.0: 1072.16, 17.0: 229.54}	{11.0: 0.0, 13.0: 1.05, 14.0: 1398.76, 15.0: 790.54, 16.0: 304.17, 17.0: 11.48}	{11.0: 0.0, 13.0: 742.25, 14.0: 14232.4, 15.0: 3419.13, 16.0: 1772.2, 17.0: 50.28}	{11.0: 0.0, 13.0: 1499.17, 14.0: 18561.08, 15.0: 4342.44, 16.0: 2088.33, 17.0: 101.24}
calcium	1	23817932	23817947	1_23477267_23953607	A	{11.0: 0.0, 13.0: 26459.2, 14.0: 434666.0, 15.0: 102152.41, 16.0: 49305.85, 17.0: 1558.5}	2.95e-16	-	singly	0.823888415926099	0.663219										0.963, 0.11, 0.494, 0.0636, 0.155	NA, NA, NA, NA, NA	{11.0: 0.0, 13.0: 929.56, 14.0: 1923.61, 15.0: 6704.04, 16.0: 2944.46, 17.0: 14.84}	{11.0: 0.0, 13.0: 311.72, 14.0: 6942.65, 15.0: 3746.68, 16.0: 1074.43, 17.0: 226.59}	{11.0: 0.0, 13.0: 1.05, 14.0: 1414.81, 15.0: 800.62, 16.0: 305.94, 17.0: 11.58}	{11.0: 0.0, 13.0: 751.65, 14.0: 14292.77, 15.0: 3446.31, 16.0: 1783.29, 17.0: 50.25}	{11.0: 0.0, 13.0: 1506.27, 14.0: 18693.17, 15.0: 4364.43, 16.0: 2104.81, 17.0: 101.59}
cholesterol	1	23817932	23817947	1_23622424_23949623	A	{11.0: 0.0, 13.0: 28459.45, 14.0: 468329.22, 15.0: 109821.19, 16.0: 53105.74, 17.0: 1680.69}	3.29e-12	-	not	0.0	0.186942										0.194, 0.227, 0.616, 0.0563, 0.0251	NA, NA, NA, NA, -	{11.0: 0.0, 13.0: 1004.85, 14.0: 2085.84, 15.0: 7173.99, 16.0: 3179.96, 17.0: 15.9}	{11.0: 0.0, 13.0: 333.13, 14.0: 7586.09, 15.0: 4069.32, 16.0: 1191.89, 17.0: 259.64}	{11.0: 0.0, 13.0: 1.05, 14.0: 1544.79, 15.0: 880.66, 16.0: 327.67, 17.0: 11.83}	{11.0: 0.0, 13.0: 823.69, 14.0: 15545.24, 15.0: 3745.85, 16.0: 1917.93, 17.0: 53.58}	{11.0: 0.0, 13.0: 1655.29, 14.0: 20399.73, 15.0: 4754.15, 16.0: 2274.47, 17.0: 108.66}
eosinophil_count	1	23817932	23817947	1_23488344_24331053	A	{11.0: 0.0, 13.0: 28884.67, 14.0: 474432.79, 15.0: 111263.42, 16.0: 53870.68, 17.0: 1714.72}	1.17e-8	+	not	0.0	0.0										0.0963, 0.793, 0.468, 0.138, 0.806	NA, NA, NA, NA, NA	{11.0: 0.0, 13.0: 1008.14, 14.0: 2083.85, 15.0: 7212.63, 16.0: 3215.51, 17.0: 16.37}	{11.0: 0.0, 13.0: 330.74, 14.0: 7675.81, 15.0: 4082.67, 16.0: 1189.22, 17.0: 263.62}	{11.0: 0.0, 13.0: 1.05, 14.0: 1576.04, 15.0: 890.33, 16.0: 340.22, 17.0: 12.36}	{11.0: 0.0, 13.0: 846.92, 14.0: 15771.76, 15.0: 3808.29, 16.0: 1915.41, 17.0: 53.9}	{11.0: 0.0, 13.0: 1672.47, 14.0: 20720.77, 15.0: 4812.45, 16.0: 2326.45, 17.0: 110.17}
gamma_glutamyltransferase	1	23817932	23817947	1_23158362_23956324	A	{11.0: 0.0, 13.0: 28370.96, 14.0: 468153.66, 15.0: 109753.08, 16.0: 53139.4, 17.0: 1695.13}	6.97e-22	-	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0389, 0.7, 0.5, 0.00327, 0.0584	-, NA, NA, -, NA	{11.0: 0.0, 13.0: 1006.41, 14.0: 2086.41, 15.0: 7173.59, 16.0: 3178.22, 17.0: 15.9}	{11.0: 0.0, 13.0: 333.95, 14.0: 7601.78, 15.0: 4055.45, 16.0: 1189.75, 17.0: 259.14}	{11.0: 0.0, 13.0: 1.05, 14.0: 1544.69, 15.0: 882.68, 16.0: 323.96, 17.0: 11.62}	{11.0: 0.0, 13.0: 821.57, 14.0: 15533.28, 15.0: 3745.15, 16.0: 1918.65, 17.0: 53.64}	{11.0: 0.0, 13.0: 1650.24, 14.0: 20376.85, 15.0: 4748.0, 16.0: 2270.33, 17.0: 108.88}
hdl_cholesterol	1	23817932	23817947	1_23556232_23942932	A	{11.0: 0.0, 13.0: 26372.82, 14.0: 434824.48, 15.0: 102095.28, 16.0: 49242.52, 17.0: 1564.84}	6.47e-10	-	not	0.0	0.0542673										0.806, 0.0363, 0.609, 0.773, 0.637	NA, -, NA, NA, NA	{11.0: 0.0, 13.0: 928.9, 14.0: 1936.39, 15.0: 6697.58, 16.0: 2938.85, 17.0: 14.79}	{11.0: 0.0, 13.0: 306.73, 14.0: 6951.55, 15.0: 3726.13, 16.0: 1082.67, 17.0: 226.99}	{11.0: 0.0, 13.0: 1.05, 14.0: 1412.79, 15.0: 797.6, 16.0: 308.92, 17.0: 11.64}	{11.0: 0.0, 13.0: 746.23, 14.0: 14295.64, 15.0: 3452.76, 16.0: 1771.09, 17.0: 50.53}	{11.0: 0.0, 13.0: 1504.27, 14.0: 18700.35, 15.0: 4363.1, 16.0: 2105.23, 17.0: 101.32}
