chrom	start	end
1	1465291	1724387
1	8356016	8863944
1	10665536	10924577
1	20763348	21042206
1	23166582	23986271
1	24050763	24380836
1	25112986	25387022
1	26592964	27025735
1	28080884	28368696
1	28509120	28759120
1	40211283	40566727
1	45690338	46044459
1	50990457	51240457
1	56773998	57143260
1	65224544	65641867
1	65929995	66340348
1	67236670	67725686
1	99832042	100082042
1	100181504	100431504
1	100792845	101042845
1	101074147	102299973
1	109957551	110256521
1	110345592	110621087
1	111208014	111458014
1	112143666	112394872
1	113710985	114600350
1	150153389	151463570
1	156833472	157083472
1	158269312	158826200
1	160573276	160982968
1	161369046	161830871
1	164433927	164683927
1	181996031	182296957
1	197521544	197771544
1	198373784	199150551
1	200749229	201150850
1	203524185	203822870
1	204137031	204446018
1	206544465	206823349
1	207920431	208170431
1	212238072	212513607
1	213809298	214078479
1	214218609	214535272
1	225739157	226087917
1	226875011	227200402
1	235728355	236234101
1	247594769	247847588
1	249066706	249250621
2	7464770	7789415
2	8438029	8886090
2	11193224	11628081
2	12751590	13110129
2	23744571	25897989
2	26081255	26353945
2	27291507	27904556
2	31695300	32618527
2	32711362	32973854
2	43307351	44162396
2	45451361	45701361
2	55172353	55450911
2	61097143	61405953
2	68435311	69020830
2	71400698	71803520
2	102632038	103307795
2	111418487	112524289
2	113827699	114133575
2	120371519	120812460
2	128905338	129208550
2	143505801	144710187
2	144771710	145021710
2	153122766	153523387
2	160772655	161509959
2	162951146	163451297
2	165376849	165653876
2	169563747	169840686
2	181139440	182914124
2	187696910	188546264
2	201539399	202504604
2	219574999	219984171
2	223748299	224130113
2	225715004	226106564
2	227124802	227469207
2	230492473	230975615
2	231133150	231651526
2	232448944	232842857
2	234019113	234599600
3	11917835	12598045
3	18565567	18950669
3	24087381	24377052
3	27632018	27960299
3	28090252	28734032
3	38744894	39461039
3	45246701	45516335
3	45779548	48824451
3	48928099	49178099
3	49498759	50514477
3	56724749	56990776
3	71185697	71816135
3	108357777	108607777
3	122769253	123253413
3	128078035	128343410
3	135668657	136877590
3	140942776	141463529
3	142758716	143008716
3	145799454	146115185
3	150821875	151257499
3	151893102	152202061
3	159505084	159790050
3	170700920	170950920
3	185671785	185921785
3	196275843	196677109
4	2960259	3358393
4	15226759	15520591
4	17676289	18177129
4	37848853	39084992
4	57599652	58019717
4	80429217	81109670
4	83346084	84125125
4	90091747	90350554
4	103266275	104087532
4	105894157	106604973
4	110699115	111073011
4	112899632	113330473
4	122899769	123893759
4	143191581	143451714
4	152820174	153130716
4	174312998	174562998
5	35363978	36144862
5	36226030	36476030
5	51947194	52258187
5	67175771	67654752
5	75567003	75865199
5	100033868	100283868
5	110441360	110691360
5	118502271	118865693
5	124205522	124549506
5	127129406	127731403
5	130245970	132121669
5	134476871	134898122
5	150339579	150671885
5	155603148	155993442
5	156333802	156583802
5	157756647	158569274
5	169295553	169556115
5	171874057	172145043
5	173076067	173367565
5	176411089	176874588
5	179048035	179298035
6	106878	558109
6	2779791	3029791
6	6776485	7313546
6	11863081	12214905
6	15187101	15447834
6	20089618	20339618
6	21684195	21934342
6	22143222	22485075
6	23431224	23710283
6	23987795	24257769
6	24346698	25123665
6	33383531	33906832
6	33947215	36201564
6	41644944	42177815
6	44630194	45482699
6	53000902	53346982
6	90683352	91165478
6	106407658	106723849
6	107295110	107571540
6	107901146	108276757
6	122584984	123046183
6	126535355	126962663
6	127293758	127564147
6	130196899	130585244
6	134771913	135615468
6	151773506	152037703
6	152818434	153186375
6	159231188	159600987
6	170458022	170711082
7	840643	1121381
7	2626688	3299182
7	5428996	5695100
7	6364996	6758571
7	13882302	14155119
7	22494910	22925397
7	23383740	23633740
7	27025602	27310723
7	28015381	28384233
7	35959529	36210142
7	37257465	37507465
7	39844232	40384032
7	44683223	45296708
7	50414036	50664036
7	55013388	55264068
7	55857894	56308318
7	73796065	74046065
7	74095751	74614486
7	74719193	74969193
7	76988701	77427396
7	98687374	99686243
7	99813483	100063483
7	100148085	100646878
7	115886875	116349835
7	126890083	127140083
7	129361187	129692864
7	130450791	130900266
7	134255776	134513544
7	138562274	138867585
7	150079614	150667711
8	10448698	10857082
8	21644432	21894432
8	22653646	22921180
8	25124814	25437574
8	39918071	40168071
8	41415622	41810166
8	59442885	59692885
8	61687553	61943964
8	68651714	68922804
8	72766748	73038114
8	78396272	79996510
8	100670282	100920282
8	100989581	101619618
8	102325899	102596269
8	106031492	106620118
8	128860757	129156617
8	130844228	131234372
8	131313659	131613343
8	142075205	142454460
9	3911719	4197325
9	21821891	22330243
9	33660245	34255435
9	35555337	35937623
9	38064444	38335478
9	82050531	82472818
9	86202243	86819759
9	91248903	91732378
9	95198147	95451068
9	95454850	95704850
9	99039516	99335584
9	112603014	112892845
9	123226121	124094834
9	127063228	127317907
9	136060324	136310324
9	136802088	137082440
9	139622809	140157197
10	5907661	6331221
10	7958024	8249215
10	14826705	15076705
10	25053864	25351483
10	26569901	26917144
10	44733868	45077832
10	50085633	50576667
10	52232891	52536577
10	63572616	63881199
10	64326233	65490736
10	70721441	71114901
10	72207726	72776994
10	72980097	73240258
10	73318036	73660661
10	76293360	76647602
10	80907532	81173611
10	95983697	96903570
10	97654282	98073329
10	101950479	102200479
10	103936218	104286475
10	105018711	105268711
10	115582321	116160317
10	120784441	121209115
10	126169395	126676228
11	94538	530197
11	35947404	36215287
11	44482332	44737714
11	46265680	50905592
11	50968950	51718456
11	54570707	56624597
11	60083463	60398642
11	60637850	60983273
11	63849995	64636966
11	70015048	70297039
11	73914147	74182355
11	100294500	100770962
