chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	direction_of_association	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	FINEMAP_pcausal	SuSiE_pcausal	SuSiE_CS_pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_2864543_3223846	3086622	3086642	3086622	STR_1470	1	A	20.0,21.0,24.0	21.0	"{""20.0"": 400534.45, ""21.0"": 516003.61, ""24.0"": 58279.85}"	"{""20.0"": 403196, ""21.0"": 513816, ""24.0"": 57806}"	"{""[20.0, 20.0]"": 84858, ""[20.0, 21.0]"": 209496, ""[20.0, 24.0]"": 23984, ""[21.0, 21.0]"": 136954, ""[21.0, 24.0]"": 30412, ""[24.0, 24.0]"": 1705}"	"{""20.0"": 266144.4, ""21.0"": 365015.04, ""24.0"": 40010.56}"	"{""20.0"": 267844, ""21.0"": 363560, ""24.0"": 39766}"	"{""[20.0, 20.0]"": 53322, ""[20.0, 21.0]"": 145322, ""[20.0, 24.0]"": 15878, ""[21.0, 21.0]"": 98335, ""[21.0, 24.0]"": 21568, ""[24.0, 24.0]"": 1160}"	0.059613153150468584	0.5438142477235361	1.2495519474694812	0.3458371774016132	"{""20.0"": 1.0, ""21.0"": 1.0, ""24.0"": 1.0}"	1.19e-11	+	0.04249338369008626	0.05655496512822051	0.750473	NA	NA	False	NA	NA	False	NA	none	0:inside:PRDM16:protein_coding	36349:upstream:RP1-163G9.2:lncRNA,35910:upstream:RP11-193J6.1:TEC,0:inside:PRDM16:protein_coding	intron:PRDM16:protein_coding	transcribed;PRDM16-210:retained_intron:2,PRDM16-206:protein_coding:5,PRDM16-203:protein_coding:1,PRDM16-201:protein_coding:1,PRDM16-208:protein_coding:5
1	1_3559954_3907115	3758649	3758668	3758649	STR_1690	1	A	14.0,20.0	20.0	"{""14.0"": 239211.39, ""20.0"": 735606.59}"	"{""14.0"": 239018, ""20.0"": 735800}"	"{""[14.0, 14.0]"": 29699, ""[14.0, 20.0]"": 179620, ""[20.0, 20.0]"": 278090}"	"{""14.0"": 168106.55, ""20.0"": 503063.45}"	"{""14.0"": 167979, ""20.0"": 503191}"	"{""[14.0, 14.0]"": 21007, ""[14.0, 20.0]"": 125965, ""[20.0, 20.0]"": 188613}"	0.0	0.3752777185413276	0.8117182457125415	0.9218991688995865	"{""14.0"": 1.0, ""20.0"": 1.0}"	1.64e-13	+	0.011761337226451118	0.0432408392666804	0.0288148	0.0604	0.0248	False	NA	NA	False	NA	916:upstream:3757646:3757733:CEP104:protein_coding	0:inside:CEP104:protein_coding	66103:downstream:SMIM1:protein_coding,58976:downstream:RN7SL574P:misc_RNA,56547:downstream:RP1-286D6.5:lncRNA,41960:upstream:AL691523.1:miRNA,47021:downstream:C1orf174:protein_coding,94712:upstream:TP73-AS1:transcribed_unitary_pseudogene,45587:upstream:LRRC47:protein_coding,0:inside:CEP104:protein_coding,58248:upstream:LINC01134:lncRNA,70440:downstream:CCDC27:protein_coding,15163:upstream:DFFB:protein_coding	intron:CEP104:protein_coding	transcribed;CEP104-222:nonsense_mediated_decay:missing from gencode,CEP104-211:protein_coding:missing from gencode,CEP104-221:protein_coding:missing from gencode,CEP104-213:retained_intron:missing from gencode,CEP104-202:protein_coding:5,CEP104-214:nonsense_mediated_decay:missing from gencode,CEP104-216:nonsense_mediated_decay:missing from gencode,CEP104-212:protein_coding:missing from gencode,CEP104-220:protein_coding:missing from gencode,CEP104-226:protein_coding:missing from gencode,CEP104-223:retained_intron:missing from gencode,CEP104-224:nonsense_mediated_decay:missing from gencode,CEP104-215:nonsense_mediated_decay:missing from gencode,CEP104-210:protein_coding:missing from gencode,CEP104-217:retained_intron:missing from gencode,CEP104-218:protein_coding:missing from gencode,CEP104-203:protein_coding:5,CEP104-206:protein_coding:5,CEP104-208:protein_coding:1,CEP104-219:retained_intron:missing from gencode
1	1_3559954_3907115	3766398	3766409	3766398	STR_1699	1	A	11.0,12.0,13.0,15.0	12.0	"{""11.0"": 2990.11, ""12.0"": 732541.72, ""13.0"": 238827.91, ""15.0"": 458.23}"	"{""11.0"": 2964, ""12.0"": 732406, ""13.0"": 238991, ""15.0"": 457}"	"{""[11.0, 11.0]"": 210, ""[11.0, 12.0]"": 1996, ""[11.0, 13.0]"": 484, ""[11.0, 15.0]"": 64, ""[12.0, 12.0]"": 275521, ""[12.0, 13.0]"": 179051, ""[12.0, 15.0]"": 317, ""[13.0, 13.0]"": 29696, ""[13.0, 15.0]"": 64, ""[15.0, 15.0]"": 6}"	"{""11.0"": 172.92, ""12.0"": 503368.74, ""13.0"": 167615.26, ""15.0"": 13.08}"	"{""11.0"": 148, ""12.0"": 503308, ""13.0"": 167701, ""15.0"": 13}"	"{""[11.0, 12.0]"": 103, ""[11.0, 13.0]"": 45, ""[12.0, 12.0]"": 188740, ""[12.0, 13.0]"": 125714, ""[12.0, 15.0]"": 11, ""[13.0, 13.0]"": 20970, ""[13.0, 15.0]"": 2}"	0.00027712800035758453	0.3752234120145131	0.8142902501072299	0.8753461970030427	"{""11.0"": 0.94, ""12.0"": 1.0, ""13.0"": 1.0, ""15.0"": 1.0}"	1.74e-13	-	-0.07079542805671163	-0.043399406972192016	0.0268431	0.0593	0.0237	False	NA	NA	False	NA	none	0:inside:CEP104:protein_coding	73852:downstream:SMIM1:protein_coding,66725:downstream:RN7SL574P:misc_RNA,64296:downstream:RP1-286D6.5:lncRNA,34219:upstream:AL691523.1:miRNA,39280:downstream:C1orf174:protein_coding,53336:upstream:LRRC47:protein_coding,0:inside:CEP104:protein_coding,50507:upstream:LINC01134:lncRNA,78189:downstream:CCDC27:protein_coding,7422:upstream:DFFB:protein_coding	intron:CEP104:protein_coding	transcribed;CEP104-222:nonsense_mediated_decay:missing from gencode,CEP104-211:protein_coding:missing from gencode,CEP104-221:protein_coding:missing from gencode,CEP104-213:retained_intron:missing from gencode,CEP104-202:protein_coding:5,CEP104-214:nonsense_mediated_decay:missing from gencode,CEP104-216:nonsense_mediated_decay:missing from gencode,CEP104-212:protein_coding:missing from gencode,CEP104-220:protein_coding:missing from gencode,CEP104-226:protein_coding:missing from gencode,CEP104-224:nonsense_mediated_decay:missing from gencode,CEP104-215:nonsense_mediated_decay:missing from gencode,CEP104-210:protein_coding:missing from gencode,CEP104-218:protein_coding:missing from gencode,CEP104-203:protein_coding:5,CEP104-206:protein_coding:5,CEP104-208:protein_coding:1,CEP104-219:retained_intron:missing from gencode,CEP104-201:protein_coding:1,CEP104-225:retained_intron:missing from gencode
1	1_20760618_21661911	21496684	21496710	21496684	STR_13701	4	AAAC	6.75,7.75,8.75	6.75	"{""6.75"": 71776.92, ""7.75"": 465737.17, ""8.75"": 437310.81}"	"{""6.75"": 71346, ""7.75"": 465846, ""8.75"": 437626}"	"{""[6.75, 6.75]"": 2175, ""[6.75, 7.75]"": 35423, ""[6.75, 8.75]"": 31573, ""[7.75, 7.75]"": 111112, ""[7.75, 8.75]"": 208199, ""[8.75, 8.75]"": 98927}"	"{""6.75"": 45895.92, ""7.75"": 318956.79, ""8.75"": 306321.82}"	"{""6.75"": 45670, ""7.75"": 318889, ""8.75"": 306611}"	"{""[6.75, 6.75]"": 789, ""[6.75, 7.75]"": 22817, ""[6.75, 8.75]"": 21275, ""[7.75, 7.75]"": 75299, ""[7.75, 8.75]"": 145474, ""[8.75, 8.75]"": 69931}"	0.0683814983265232	0.5609327736569099	1.2902821951265269	4.014645098831094e-06	"{""6.75"": 1.0, ""7.75"": 1.0, ""8.75"": 1.0}"	5.02e-11	+	0.054374293667649454	0.0470406715472285	0.599403	NA	NA	False	NA	NA	False	NA	470:upstream:21496157:21496214:EIF4G3:protein_coding	0:inside:EIF4G3:protein_coding	96438:upstream:RP11-487E1.2:processed_pseudogene,8110:downstream:HSPE1P27:processed_pseudogene,6349:downstream:AL031005.1:miRNA,6837:upstream:RP3-329E20.3:lncRNA,95865:upstream:RP3-329E20.2:lncRNA,0:inside:EIF4G3:protein_coding,47030:downstream:ECE1:protein_coding	intron:EIF4G3:protein_coding	transcribed;EIF4G3-204:protein_coding:5,EIF4G3-212:protein_coding:1,EIF4G3-205:protein_coding:1,EIF4G3-214:protein_coding:5,EIF4G3-202:protein_coding:1,EIF4G3-208:protein_coding:5,EIF4G3-206:protein_coding:5
1	1_23158187_24010498	23839611	23839628	23839611	STR_15450	1	A	17.0,18.0,19.0,20.0	18.0	"{""17.0"": 4225.51, ""18.0"": 436514.38, ""19.0"": 534078.16, ""20.0"": 0.0}"	"{""17.0"": 3731, ""18.0"": 437333, ""19.0"": 533754}"	"{""[17.0, 17.0]"": 9, ""[17.0, 18.0]"": 1697, ""[17.0, 19.0]"": 2016, ""[18.0, 18.0]"": 98689, ""[18.0, 19.0]"": 238258, ""[19.0, 19.0]"": 146740}"	"{""17.0"": 3002.08, ""18.0"": 299501.11, ""19.0"": 368666.81, ""20.0"": 0.0}"	"{""17.0"": 2690, ""18.0"": 300099, ""19.0"": 368381}"	"{""[17.0, 17.0]"": 7, ""[17.0, 18.0]"": 1203, ""[17.0, 19.0]"": 1473, ""[18.0, 18.0]"": 67233, ""[18.0, 19.0]"": 164430, ""[19.0, 19.0]"": 101239}"	0.004472905523190846	0.4988087473038157	1.0261683153150831	0.3225984016311304	"{""17.0"": 0.92, ""18.0"": 1.0, ""19.0"": 1.0, ""20.0"": ""NaN""}"	1.46e-34	-	-0.12361051594591288	-0.08861024993362829	0.603879	0.5141	0.5117	False	NA	NA	False	NA	none	0:inside:E2F2:protein_coding	36002:downstream:RP1-150O5.3:lncRNA,44789:downstream:ID3:protein_coding,28550:upstream:ASAP3:protein_coding,63298:downstream:RP1-150O5.4:lncRNA,68357:upstream:MDS2:lncRNA,88370:upstream:TCEA3:protein_coding,0:inside:E2F2:protein_coding	intron:E2F2:protein_coding	transcribed;E2F2-201:protein_coding:1
1	1_26223049_27701488	26748906	26748921	26748904	STR_17881	1	A	14.0,15.0,16.0,17.0,18.0	16.0	"{""14.0"": 10.81, ""15.0"": 1655.31, ""16.0"": 758738.65, ""17.0"": 213122.46, ""18.0"": 1291.32}"	"{""14.0"": 2, ""15.0"": 1161, ""16.0"": 758507, ""17.0"": 214637, ""18.0"": 511}"	"{""[14.0, 16.0]"": 1, ""[14.0, 17.0]"": 1, ""[15.0, 15.0]"": 28, ""[15.0, 16.0]"": 708, ""[15.0, 17.0]"": 384, ""[15.0, 18.0]"": 13, ""[16.0, 16.0]"": 296739, ""[16.0, 17.0]"": 163988, ""[16.0, 18.0]"": 332, ""[17.0, 17.0]"": 25055, ""[17.0, 18.0]"": 154, ""[18.0, 18.0]"": 6}"	"{""14.0"": 4.22, ""15.0"": 420.89, ""16.0"": 530109.54, ""17.0"": 140090.25, ""18.0"": 545.2}"	"{""15.0"": 105, ""16.0"": 530132, ""17.0"": 140823, ""18.0"": 110}"	"{""[15.0, 16.0]"": 91, ""[15.0, 17.0]"": 14, ""[16.0, 16.0]"": 209398, ""[16.0, 17.0]"": 111159, ""[16.0, 18.0]"": 86, ""[17.0, 17.0]"": 14813, ""[17.0, 18.0]"": 24}"	0.0014456990858204202	0.3320939619182004	0.7455250856454166	0.7932680574174164	"{""14.0"": ""NaN"", ""15.0"": 0.65, ""16.0"": 1.0, ""17.0"": 1.0, ""18.0"": 0.46}"	3.51e-22	+	0.10871657612366192	0.06313962046611327	0.110773	NA	NA	False	NA	NA	False	NA	none	0:inside:LIN28A:protein_coding	95382:downstream:RP11-569G9.7:processed_pseudogene,73696:upstream:RN7SL490P:misc_RNA,32223:downstream:RP3-476K8.4:processed_pseudogene,40326:downstream:DHDDS-AS1:lncRNA,50010:upstream:HMGN2:protein_coding,96924:downstream:DPPA2P2:processed_pseudogene,62335:upstream:CRYBG2:protein_coding,47893:upstream:ZNF683:protein_coding,9852:upstream:DHDDS:protein_coding,0:inside:LIN28A:protein_coding	intron:LIN28A:protein_coding	transcribed;LIN28A-201:protein_coding:1,LIN28A-202:protein_coding:1
1	1_44363466_44622249	44496839	44496875	44496839	STR_31035	2	AC	11.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5	18.5	"{""11.5"": 0.0, ""14.5"": 823.63, ""15.5"": 264116.83, ""16.5"": 9707.13, ""17.5"": 135761.29, ""18.5"": 351037.44, ""19.5"": 78126.76, ""20.5"": 109282.44, ""21.5"": 19966.48, ""22.5"": 1694.32, ""23.5"": 3376.56, ""24.5"": 991.49}"	"{""14.5"": 609, ""15.5"": 265967, ""16.5"": 3858, ""17.5"": 134413, ""18.5"": 365092, ""19.5"": 72593, ""20.5"": 109352, ""21.5"": 18103, ""22.5"": 999, ""23.5"": 3166, ""24.5"": 666}"	"{""[14.5, 14.5]"": 1, ""[14.5, 15.5]"": 185, ""[14.5, 16.5]"": 4, ""[14.5, 17.5]"": 85, ""[14.5, 18.5]"": 221, ""[14.5, 19.5]"": 40, ""[14.5, 20.5]"": 60, ""[14.5, 21.5]"": 7, ""[14.5, 23.5]"": 3, ""[14.5, 24.5]"": 2, ""[15.5, 15.5]"": 36816, ""[15.5, 16.5]"": 1068, ""[15.5, 17.5]"": 36408, ""[15.5, 18.5]"": 99940, ""[15.5, 19.5]"": 19756, ""[15.5, 20.5]"": 29208, ""[15.5, 21.5]"": 4532, ""[15.5, 22.5]"": 268, ""[15.5, 23.5]"": 889, ""[15.5, 24.5]"": 81, ""[16.5, 16.5]"": 9, ""[16.5, 17.5]"": 552, ""[16.5, 18.5]"": 1428, ""[16.5, 19.5]"": 287, ""[16.5, 20.5]"": 407, ""[16.5, 21.5]"": 70, ""[16.5, 22.5]"": 6, ""[16.5, 23.5]"": 18, ""[17.5, 17.5]"": 9840, ""[17.5, 18.5]"": 50026, ""[17.5, 19.5]"": 9849, ""[17.5, 20.5]"": 14894, ""[17.5, 21.5]"": 2334, ""[17.5, 22.5]"": 162, ""[17.5, 23.5]"": 395, ""[17.5, 24.5]"": 28, ""[18.5, 18.5]"": 69415, ""[18.5, 19.5]"": 26779, ""[18.5, 20.5]"": 39925, ""[18.5, 21.5]"": 6221, ""[18.5, 22.5]"": 328, ""[18.5, 23.5]"": 1237, ""[18.5, 24.5]"": 157, ""[19.5, 19.5]"": 2745, ""[19.5, 20.5]"": 8470, ""[19.5, 21.5]"": 1492, ""[19.5, 22.5]"": 102, ""[19.5, 23.5]"": 237, ""[19.5, 24.5]"": 91, ""[20.5, 20.5]"": 6565, ""[20.5, 21.5]"": 2610, ""[20.5, 22.5]"": 107, ""[20.5, 23.5]"": 329, ""[20.5, 24.5]"": 212, ""[21.5, 21.5]"": 341, ""[21.5, 22.5]"": 22, ""[21.5, 23.5]"": 54, ""[21.5, 24.5]"": 79, ""[22.5, 22.5]"": 1, ""[22.5, 23.5]"": 2, ""[23.5, 23.5]"": 1, ""[24.5, 24.5]"": 8}"	"{""11.5"": 0.0, ""14.5"": 564.63, ""15.5"": 186571.89, ""16.5"": 6761.7, ""17.5"": 91091.81, ""18.5"": 246292.29, ""19.5"": 52394.8, ""20.5"": 72482.84, ""21.5"": 11361.79, ""22.5"": 1101.5, ""23.5"": 2359.94, ""24.5"": 230.91}"	"{""14.5"": 437, ""15.5"": 187939, ""16.5"": 2760, ""17.5"": 89693, ""18.5"": 255872, ""19.5"": 48924, ""20.5"": 72461, ""21.5"": 10213, ""22.5"": 629, ""23.5"": 2206, ""24.5"": 36}"	"{""[14.5, 14.5]"": 1, ""[14.5, 15.5]"": 138, ""[14.5, 16.5]"": 4, ""[14.5, 17.5]"": 64, ""[14.5, 18.5]"": 154, ""[14.5, 19.5]"": 24, ""[14.5, 20.5]"": 43, ""[14.5, 21.5]"": 6, ""[14.5, 23.5]"": 2, ""[15.5, 15.5]"": 26414, ""[15.5, 16.5]"": 791, ""[15.5, 17.5]"": 25084, ""[15.5, 18.5]"": 71272, ""[15.5, 19.5]"": 13765, ""[15.5, 20.5]"": 20351, ""[15.5, 21.5]"": 2910, ""[15.5, 22.5]"": 175, ""[15.5, 23.5]"": 618, ""[15.5, 24.5]"": 7, ""[16.5, 16.5]"": 7, ""[16.5, 17.5]"": 375, ""[16.5, 18.5]"": 1003, ""[16.5, 19.5]"": 219, ""[16.5, 20.5]"": 299, ""[16.5, 21.5]"": 37, ""[16.5, 22.5]"": 4, ""[16.5, 23.5]"": 14, ""[17.5, 17.5]"": 6053, ""[17.5, 18.5]"": 34000, ""[17.5, 19.5]"": 6542, ""[17.5, 20.5]"": 9824, ""[17.5, 21.5]"": 1349, ""[17.5, 22.5]"": 88, ""[17.5, 23.5]"": 257, ""[17.5, 24.5]"": 4, ""[18.5, 18.5]"": 49208, ""[18.5, 19.5]"": 18621, ""[18.5, 20.5]"": 27422, ""[18.5, 21.5]"": 3871, ""[18.5, 22.5]"": 217, ""[18.5, 23.5]"": 881, ""[18.5, 24.5]"": 15, ""[19.5, 19.5]"": 1748, ""[19.5, 20.5]"": 5281, ""[19.5, 21.5]"": 737, ""[19.5, 22.5]"": 66, ""[19.5, 23.5]"": 169, ""[19.5, 24.5]"": 4, ""[20.5, 20.5]"": 3927, ""[20.5, 21.5]"": 1091, ""[20.5, 22.5]"": 65, ""[20.5, 23.5]"": 226, ""[20.5, 24.5]"": 5, ""[21.5, 21.5]"": 81, ""[21.5, 22.5]"": 13, ""[21.5, 23.5]"": 36, ""[21.5, 24.5]"": 1, ""[22.5, 23.5]"": 1, ""[23.5, 23.5]"": 1}"	0.35510267141289187	0.7411633869489441	2.2234230397930963	0.0227255549761611	"{""11.5"": ""NaN"", ""14.5"": 0.92, ""15.5"": 0.96, ""16.5"": 0.58, ""17.5"": 0.95, ""18.5"": 0.95, ""19.5"": 0.94, ""20.5"": 0.94, ""21.5"": 0.89, ""22.5"": 0.88, ""23.5"": 0.94, ""24.5"": 0.57}"	8.58e-11	+	0.017342656539999935	0.04313427981509494	0.783454	NA	NA	False	NA	NA	False	NA	610:downstream:44496109:44496229:RP5-1198O20.4:lncRNA,610:downstream:44496115:44496229:RP5-1198O20.4:lncRNA,699:downstream:44496116:44496140:RP5-1198O20.4:lncRNA,0:upstream:44496760:44496849:SLC6A9:protein_coding,103:downstream:44496978:44497058:SLC6A9:protein_coding,103:downstream:44496978:44497101:SLC6A9:protein_coding,103:downstream:44496978:44497032:SLC6A9:protein_coding,103:downstream:44496978:44497139:SLC6A9:protein_coding,103:downstream:44496978:44497134:SLC6A9:protein_coding,103:downstream:44496978:44497134:SLC6A9:protein_coding	0:inside:SLC6A9:protein_coding	84616:upstream:RP11-7O11.3:antisense,56346:upstream:RP11-7O11.8:lncRNA,57798:downstream:DPH2:protein_coding,52872:downstream:ATP6V0B:protein_coding,34639:downstream:CCDC24:protein_coding,56755:downstream:RP5-1198O20.5:processed_pseudogene,72103:downstream:KRT8P47:processed_pseudogene,85897:downstream:RN7SL479P:misc_RNA,90950:downstream:RP11-570P14.1:processed_pseudogene,93927:downstream:ARTN:protein_coding,39997:downstream:B4GALT2:protein_coding,0:inside:SLC6A9:protein_coding,87618:upstream:KLF17:protein_coding,63145:downstream:IPO13:protein_coding,0:inside:RP5-1198O20.4:lncRNA	multigene;intron,five_prime_UTR:SLC6A9:protein_coding;intron:RP5-1198O20.4:lncRNA	transcribed;SLC6A9-203:protein_coding:2,SLC6A9-205:protein_coding:5,SLC6A9-212:protein_coding:missing from gencode,SLC6A9-207:protein_coding:2,SLC6A9-209:processed_transcript:3,SLC6A9-208:retained_intron:3,SLC6A9-206:protein_coding:3,RP5-1198O20.4-025:lncRNA:missing from gencode,RP5-1198O20.4-013:lncRNA:3,RP5-1198O20.4-012:lncRNA:5
1	1_45903377_46723903	46256056	46256069	46256056	STR_32583	2	AT	7.0,8.0,9.0,10.0	7.0	"{""7.0"": 516674.93, ""8.0"": 364988.33, ""9.0"": 77466.47, ""10.0"": 15713.4}"	"{""7.0"": 516815, ""8.0"": 359747, ""9.0"": 84307, ""10.0"": 13949}"	"{""[7.0, 7.0]"": 137407, ""[7.0, 8.0]"": 190255, ""[7.0, 9.0]"": 44222, ""[7.0, 10.0]"": 7524, ""[8.0, 8.0]"": 66602, ""[8.0, 9.0]"": 31169, ""[8.0, 10.0]"": 5119, ""[9.0, 9.0]"": 3887, ""[9.0, 10.0]"": 1142, ""[10.0, 10.0]"": 82}"	"{""7.0"": 359128.76, ""8.0"": 248962.12, ""9.0"": 51899.82, ""10.0"": 11196.16}"	"{""7.0"": 359169, ""8.0"": 245254, ""9.0"": 56681, ""10.0"": 10066}"	"{""[7.0, 7.0]"": 96265, ""[7.0, 8.0]"": 130998, ""[7.0, 9.0]"": 30201, ""[7.0, 10.0]"": 5440, ""[8.0, 8.0]"": 44849, ""[8.0, 9.0]"": 20844, ""[8.0, 10.0]"": 3714, ""[9.0, 9.0]"": 2419, ""[9.0, 10.0]"": 798, ""[10.0, 10.0]"": 57}"	0.09400657813831456	0.5727433341021266	1.4054324434776175	0.4658038373388672	"{""7.0"": 1.0, ""8.0"": 0.98, ""9.0"": 0.93, ""10.0"": 0.92}"	4.18e-11	+	0.04696729871416494	0.04692119863870486	0.144019	NA	NA	False	NA	NA	False	NA	none	0:inside:MAST2:protein_coding	95948:downstream:TMEM69:protein_coding,93309:upstream:RP11-767N6.7:lncRNA,8427:downstream:RP11-630I5.1:processed_pseudogene,56597:downstream:TMA16P2:processed_pseudogene,39731:upstream:IPP:protein_coding,0:inside:MAST2:protein_coding	intron:MAST2:protein_coding	transcribed;MAST2-205:processed_transcript:3
1	1_63726551_64194495	64060632	64060656	64060629	STR_42950	1	A	24.0,25.0,26.0,28.0,29.0,30.0,31.0	25.0	"{""24.0"": 0.0, ""25.0"": 293451.54, ""26.0"": 1137.18, ""28.0"": 118.03, ""29.0"": 474202.82, ""30.0"": 199317.63, ""31.0"": 6659.09}"	"{""25.0"": 293722, ""26.0"": 632, ""28.0"": 13, ""29.0"": 475564, ""30.0"": 200778, ""31.0"": 4109}"	"{""[25.0, 25.0]"": 44696, ""[25.0, 26.0]"": 204, ""[25.0, 29.0]"": 142182, ""[25.0, 30.0]"": 60664, ""[25.0, 31.0]"": 1280, ""[26.0, 26.0]"": 1, ""[26.0, 29.0]"": 302, ""[26.0, 30.0]"": 122, ""[26.0, 31.0]"": 2, ""[28.0, 28.0]"": 1, ""[28.0, 29.0]"": 9, ""[28.0, 30.0]"": 2, ""[29.0, 29.0]"": 116762, ""[29.0, 30.0]"": 97550, ""[29.0, 31.0]"": 1997, ""[30.0, 30.0]"": 20817, ""[30.0, 31.0]"": 806, ""[31.0, 31.0]"": 12}"	"{""24.0"": 0.0, ""25.0"": 209473.81, ""26.0"": 848.46, ""28.0"": 44.04, ""29.0"": 317347.1, ""30.0"": 138654.01, ""31.0"": 4845.62}"	"{""25.0"": 209700, ""26.0"": 473, ""29.0"": 318306, ""30.0"": 139665, ""31.0"": 3026}"	"{""[25.0, 25.0]"": 32465, ""[25.0, 26.0]"": 150, ""[25.0, 29.0]"": 100017, ""[25.0, 30.0]"": 43651, ""[25.0, 31.0]"": 952, ""[26.0, 26.0]"": 1, ""[26.0, 29.0]"": 225, ""[26.0, 30.0]"": 94, ""[26.0, 31.0]"": 2, ""[29.0, 29.0]"": 75214, ""[29.0, 30.0]"": 66215, ""[29.0, 31.0]"": 1421, ""[30.0, 30.0]"": 14537, ""[30.0, 31.0]"": 631, ""[31.0, 31.0]"": 10}"	0.2151211633194731	0.6341403504518508	1.5485890716522293	0.0487110831026811	"{""24.0"": ""NaN"", ""25.0"": 1.0, ""26.0"": 0.82, ""28.0"": ""NaN"", ""29.0"": 1.0, ""30.0"": 0.99, ""31.0"": 0.8}"	3.55e-09	+	0.015048388746221114	0.04349418922018149	0.110871	0.0813	0.0182	False	NA	NA	False	NA	817:downstream:64059480:64059815:PGM1:protein_coding,817:downstream:64059743:64059815:PGM1:protein_coding	0:inside:PGM1:protein_coding	65063:upstream:RN7SL488P:misc_RNA,58191:upstream:RNU7-123P:snRNA,44325:downstream:DLEU2L:lncRNA,60758:upstream:RN7SL130P:misc_RNA,22268:downstream:EFCAB7:protein_coding,0:inside:PGM1:protein_coding,1240:upstream:ITGB3BP:protein_coding,86757:downstream:RP11-565D17.2:lncRNA	intron:PGM1:protein_coding	transcribed;PGM1-203:processed_transcript:5,PGM1-202:protein_coding:1,PGM1-206:protein_coding:missing from gencode,PGM1-205:protein_coding:2
1	1_114317339_114568899	114442339	114442364	114442339	STR_68651	1	A	26.0,27.0,28.0	26.0	"{""26.0"": 797331.16, ""27.0"": 177129.25, ""28.0"": 357.67}"	"{""26.0"": 797745, ""27.0"": 176912, ""28.0"": 161}"	"{""[26.0, 26.0]"": 326548, ""[26.0, 27.0]"": 144518, ""[26.0, 28.0]"": 131, ""[27.0, 27.0]"": 16185, ""[27.0, 28.0]"": 24, ""[28.0, 28.0]"": 3}"	"{""26.0"": 546490.31, ""27.0"": 124524.97, ""28.0"": 154.72}"	"{""26.0"": 546735, ""27.0"": 124425, ""28.0"": 10}"	"{""[26.0, 26.0]"": 222692, ""[26.0, 27.0]"": 101344, ""[26.0, 28.0]"": 7, ""[27.0, 27.0]"": 11539, ""[27.0, 28.0]"": 3}"	0.00023052281836196493	0.3020593579850654	0.6919732490379635	0.9640153507543844	"{""26.0"": 1.0, ""27.0"": 1.0, ""28.0"": 0.25}"	2.37e-08	+	0.07250434835138796	0.039957993249142294	0.196798	NA	NA	False	NA	NA	False	NA	916:upstream:114441340:114441423:AP4B1:protein_coding,916:upstream:114441340:114441423:AP4B1:protein_coding,916:upstream:114441340:114441423:AP4B1:protein_coding,954:upstream:114441340:114441385:AP4B1:protein_coding,916:upstream:114441340:114441423:AP4B1:protein_coding,365:upstream:114441750:114441974:AP4B1:protein_coding,130:upstream:114442494:114443859:AP4B1-AS1:lncRNA,162:downstream:114442526:114442867:AP4B1:protein_coding,162:downstream:114442526:114442630:AP4B1:protein_coding,162:downstream:114442526:114443022:AP4B1:protein_coding,162:downstream:114442526:114443022:AP4B1:protein_coding,162:downstream:114442526:114443022:AP4B1:protein_coding,162:downstream:114442526:114443022:AP4B1:protein_coding,200:downstream:114442564:114443022:AP4B1:protein_coding,246:downstream:114442610:114443022:AP4B1:protein_coding,320:downstream:114442684:114443022:AP4B1:protein_coding,489:downstream:114442853:114443022:AP4B1:protein_coding,528:downstream:114442892:114443022:AP4B1:protein_coding,589:downstream:114442953:114443022:AP4B1:protein_coding	0:inside:AP4B1-AS1:lncRNA	5471:upstream:DCLRE1B:protein_coding,24258:downstream:HIPK1-AS1:lncRNA,87241:upstream:RSBN1:protein_coding,29558:downstream:RP5-1073O3.2:lncRNA,27964:upstream:PTPN22:protein_coding,0:inside:AP4B1:protein_coding,29582:upstream:HIPK1:protein_coding,0:inside:AP4B1-AS1:lncRNA,12136:upstream:BCL2L15:protein_coding,79649:upstream:OLFML3:protein_coding	multigene;intron:AP4B1:protein_coding;intron:AP4B1-AS1:lncRNA	transcribed;AP4B1-204:protein_coding:1,AP4B1-201:protein_coding:1,AP4B1-203:protein_coding:2,AP4B1-210:processed_transcript:2,AP4B1-212:processed_transcript:5,AP4B1-207:processed_transcript:3,AP4B1-AS1-201:lncRNA:2
