chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	direction_of_association	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	FINEMAP_pcausal	SuSiE_pcausal	SuSiE_CS_pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_2773960_3224194	2960830	2960844	2960830	STR_1419	1	A	14.0,15.0,16.0	15.0	"{""14.0"": 173203.4, ""15.0"": 800329.38, ""16.0"": 1285.25}"	"{""14.0"": 175122, ""15.0"": 799649, ""16.0"": 47}"	"{""[14.0, 14.0]"": 15827, ""[14.0, 15.0]"": 143467, ""[14.0, 16.0]"": 1, ""[15.0, 15.0]"": 328068, ""[15.0, 16.0]"": 46}"	"{""14.0"": 122409.19, ""15.0"": 547712.82, ""16.0"": 759.99}"	"{""14.0"": 123762, ""15.0"": 547117, ""16.0"": 3}"	"{""[14.0, 14.0]"": 11275, ""[14.0, 15.0]"": 101212, ""[15.0, 15.0]"": 222951, ""[15.0, 16.0]"": 3}"	0.0011328221654478732	0.3008972045416337	0.6898573679577461	0.2892723846040554	"{""14.0"": 1.0, ""15.0"": 0.99, ""16.0"": 0.04}"	1.41e-17	-	-0.0011397231372926723	-0.0006257346451924776	0.072467	NA	NA	False	NA	NA	False	NA	none	15335:downstream:PRDM16-DT:lncRNA	21363:downstream:ACTRT2:protein_coding,88647:downstream:RP1-163G9.2:lncRNA,15335:downstream:PRDM16-DT:lncRNA,75558:upstream:RP5-907A6.1:lncRNA,24888:upstream:PRDM16:protein_coding	intergenic	untranscribed
1	1_2773960_3224194	3086622	3086642	3086622	STR_1470	1	A	20.0,21.0,24.0	21.0	"{""20.0"": 400534.45, ""21.0"": 516003.61, ""24.0"": 58279.85}"	"{""20.0"": 403196, ""21.0"": 513816, ""24.0"": 57806}"	"{""[20.0, 20.0]"": 84858, ""[20.0, 21.0]"": 209496, ""[20.0, 24.0]"": 23984, ""[21.0, 21.0]"": 136954, ""[21.0, 24.0]"": 30412, ""[24.0, 24.0]"": 1705}"	"{""20.0"": 266165.43, ""21.0"": 364916.8, ""24.0"": 39799.77}"	"{""20.0"": 267870, ""21.0"": 363462, ""24.0"": 39550}"	"{""[20.0, 20.0]"": 53398, ""[20.0, 21.0]"": 145319, ""[20.0, 24.0]"": 15755, ""[21.0, 21.0]"": 98352, ""[21.0, 24.0]"": 21439, ""[24.0, 24.0]"": 1178}"	0.0593245458962977	0.5435879138478441	1.2486966882364832	0.5533458906578055	"{""20.0"": 1.0, ""21.0"": 1.0, ""24.0"": 1.0}"	4.24e-12	-	-0.00039012876463777324	-0.00051838760767391	1.0	0.9942	0.9942	False	NA	NA	False	NA	none	0:inside:PRDM16:protein_coding	36349:upstream:RP1-163G9.2:lncRNA,35910:upstream:RP11-193J6.1:TEC,0:inside:PRDM16:protein_coding	intron:PRDM16:protein_coding	transcribed;PRDM16-210:retained_intron:2,PRDM16-206:protein_coding:5,PRDM16-203:protein_coding:1,PRDM16-201:protein_coding:1,PRDM16-208:protein_coding:5
1	1_19529666_20103895	19975842	19975868	19975842	STR_12601	3	AAT	8.0,9.0,10.0,11.0	9.0	"{""8.0"": 0.0, ""9.0"": 427203.95, ""10.0"": 541680.0, ""11.0"": 5933.99}"	"{""9.0"": 422110, ""10.0"": 548483, ""11.0"": 4225}"	"{""[9.0, 9.0]"": 91850, ""[9.0, 10.0]"": 236544, ""[9.0, 11.0]"": 1866, ""[10.0, 10.0]"": 154803, ""[10.0, 11.0]"": 2333, ""[11.0, 11.0]"": 13}"	"{""8.0"": 0.0, ""9.0"": 291570.37, ""10.0"": 375769.52, ""11.0"": 3542.11}"	"{""9.0"": 287887, ""10.0"": 380655, ""11.0"": 2340}"	"{""[9.0, 9.0]"": 61854, ""[9.0, 10.0]"": 163191, ""[9.0, 11.0]"": 988, ""[10.0, 10.0]"": 108058, ""[10.0, 11.0]"": 1348, ""[11.0, 11.0]"": 2}"	0.005279780945084233	0.4939093400206882	1.0161231103937998	0.6044453224801438	"{""8.0"": ""NaN"", ""9.0"": 0.98, ""10.0"": 0.97, ""11.0"": 0.89}"	5.93e-09	+	0.0007084395099292698	0.000506487178353934	0.209984	NA	NA	False	NA	NA	False	NA	none	0:inside:NBL1:protein_coding	40780:downstream:RP5-1056L3.3:processed_pseudogene,0:inside:NBL1:protein_coding,0:inside:MICOS10-NBL1:protein_coding,15500:upstream:HTR6:protein_coding,32865:downstream:TMCO4:protein_coding,19527:downstream:MICOS10:protein_coding,52516:upstream:RP5-1056L3.1:lncRNA	multigene;intron:NBL1:protein_coding;intron:MICOS10-NBL1:protein_coding	transcribed;NBL1-206:protein_coding:4,NBL1-211:protein_coding:1,NBL1-209:protein_coding:3,NBL1-204:protein_coding:3,NBL1-210:protein_coding:2,MICOS10-NBL1-202:nonsense_mediated_decay:5,MICOS10-NBL1-201:nonsense_mediated_decay:3,MICOS10-NBL1-203:nonsense_mediated_decay:2,NBL1-205:protein_coding:4,NBL1-201:protein_coding:2,NBL1-214:protein_coding:4,NBL1-208:protein_coding:4,NBL1-207:protein_coding:2,NBL1-213:protein_coding:2,NBL1-202:protein_coding:1,NBL1-212:protein_coding:1,NBL1-203:protein_coding:1
1	1_26461992_26773551	26634757	26634795	26634754	STR_17765	1	A	34.0,38.0,39.0,40.0,41.0,43.0,44.0,45.0,49.0	39.0	"{""34.0"": 0.0, ""38.0"": 1875.17, ""39.0"": 73810.16, ""40.0"": 168416.41, ""41.0"": 780.37, ""43.0"": 5804.27, ""44.0"": 721906.52, ""45.0"": 0.0, ""49.0"": 2365.13}"	"{""38.0"": 1836, ""39.0"": 72898, ""40.0"": 167200, ""41.0"": 4, ""43.0"": 3839, ""44.0"": 727308, ""49.0"": 1733}"	"{""[38.0, 38.0]"": 74, ""[38.0, 39.0]"": 244, ""[38.0, 40.0]"": 314, ""[38.0, 43.0]"": 7, ""[38.0, 44.0]"": 1122, ""[38.0, 49.0]"": 1, ""[39.0, 39.0]"": 4238, ""[39.0, 40.0]"": 11737, ""[39.0, 43.0]"": 298, ""[39.0, 44.0]"": 52027, ""[39.0, 49.0]"": 116, ""[40.0, 40.0]"": 14404, ""[40.0, 43.0]"": 646, ""[40.0, 44.0]"": 125440, ""[40.0, 49.0]"": 255, ""[41.0, 44.0]"": 4, ""[43.0, 43.0]"": 6, ""[43.0, 44.0]"": 2869, ""[43.0, 49.0]"": 7, ""[44.0, 44.0]"": 272246, ""[44.0, 49.0]"": 1354}"	"{""34.0"": 0.0, ""38.0"": 107.16, ""39.0"": 42949.29, ""40.0"": 117332.0, ""41.0"": 543.27, ""43.0"": 4068.35, ""44.0"": 504226.31, ""45.0"": 0.0, ""49.0"": 1753.11}"	"{""38.0"": 86, ""39.0"": 42247, ""40.0"": 116413, ""41.0"": 4, ""43.0"": 2628, ""44.0"": 508206, ""49.0"": 1298}"	"{""[38.0, 39.0]"": 2, ""[38.0, 40.0]"": 16, ""[38.0, 43.0]"": 1, ""[38.0, 44.0]"": 67, ""[39.0, 39.0]"": 1330, ""[39.0, 40.0]"": 7409, ""[39.0, 43.0]"": 169, ""[39.0, 44.0]"": 31926, ""[39.0, 49.0]"": 81, ""[40.0, 40.0]"": 10082, ""[40.0, 43.0]"": 440, ""[40.0, 44.0]"": 88198, ""[40.0, 49.0]"": 186, ""[41.0, 44.0]"": 4, ""[43.0, 43.0]"": 2, ""[43.0, 44.0]"": 2009, ""[43.0, 49.0]"": 5, ""[44.0, 44.0]"": 192488, ""[44.0, 49.0]"": 1026}"	0.07365527670599886	0.3920700391433375	1.0436815978802592	0.936576891922918	"{""34.0"": ""NaN"", ""38.0"": 0.97, ""39.0"": 1.0, ""40.0"": 1.0, ""41.0"": 0.05, ""43.0"": 0.91, ""44.0"": 0.99, ""45.0"": ""NaN"", ""49.0"": 0.88}"	1.99e-09	-	-0.00018810903442204215	-0.0004941558699533531	0.0913054	NA	NA	False	NA	NA	False	NA	none	0:inside:UBXN11:protein_coding	87790:upstream:RP11-231P20.6:unprocessed_pseudogene,44868:upstream:RP11-231P20.5:processed_pseudogene,9654:upstream:CD52:protein_coding,18384:upstream:RP11-569G9.7:processed_pseudogene,40161:downstream:RN7SL490P:misc_RNA,78426:downstream:ZPLD2P:transcribed_unprocessed_pseudogene,29458:downstream:CEP85:protein_coding,0:inside:UBXN11:protein_coding,13394:downstream:CRYBG2:protein_coding,53330:downstream:ZNF683:protein_coding,26744:downstream:SH3BGRL3:protein_coding	intron:UBXN11:protein_coding	transcribed;UBXN11-204:protein_coding:2,UBXN11-206:protein_coding:5
1	1_26808591_27493126	26993907	26993924	26993907	STR_18142	1	A	17.0,18.0,19.0,20.0	18.0	"{""17.0"": 4919.56, ""18.0"": 878364.37, ""19.0"": 91534.42, ""20.0"": 0.0}"	"{""17.0"": 4614, ""18.0"": 878501, ""19.0"": 91703}"	"{""[17.0, 17.0]"": 339, ""[17.0, 18.0]"": 3557, ""[17.0, 19.0]"": 379, ""[18.0, 18.0]"": 396142, ""[18.0, 19.0]"": 82660, ""[19.0, 19.0]"": 4332}"	"{""17.0"": 633.32, ""18.0"": 606361.25, ""19.0"": 63887.51, ""20.0"": 0.0}"	"{""17.0"": 386, ""18.0"": 606442, ""19.0"": 64054}"	"{""[17.0, 17.0]"": 2, ""[17.0, 18.0]"": 345, ""[17.0, 19.0]"": 37, ""[18.0, 18.0]"": 274031, ""[18.0, 19.0]"": 58035, ""[19.0, 19.0]"": 2991}"	0.0009440109057615611	0.1737629594722265	0.4614320431454737	0.5535930652788419	"{""17.0"": 0.89, ""18.0"": 0.98, ""19.0"": 0.98, ""20.0"": ""NaN""}"	7.29e-23	+	0.001859196176728143	0.0007767945411327473	0.475921	NA	NA	False	NA	NA	False	NA	none	19735:downstream:RP4-785J1.1:processed_pseudogene	73870:upstream:RN7SL679P:misc_RNA,73375:upstream:Y_RNA:misc_RNA,26802:upstream:RP11-492M19.3:processed_pseudogene,25027:upstream:snoU13:snoRNA,19735:downstream:RP4-785J1.1:processed_pseudogene,24699:downstream:RP5-968P14.2:lncRNA,96191:upstream:RN7SL501P:misc_RNA,25803:upstream:ARID1A:protein_coding,92386:downstream:RPS6KA1:protein_coding	intergenic	untranscribed
1	1_36596372_36907365	36782365	36782381	36782365	STR_25943	1	A	15.0,16.0,17.0	17.0	"{""15.0"": 107474.73, ""16.0"": 383468.91, ""17.0"": 483874.32}"	"{""15.0"": 107180, ""16.0"": 383489, ""17.0"": 484149}"	"{""[15.0, 15.0]"": 6112, ""[15.0, 16.0]"": 41998, ""[15.0, 17.0]"": 52958, ""[16.0, 16.0]"": 76013, ""[16.0, 17.0]"": 189465, ""[17.0, 17.0]"": 120863}"	"{""15.0"": 73990.54, ""16.0"": 262496.56, ""17.0"": 334394.9}"	"{""15.0"": 73803, ""16.0"": 262466, ""17.0"": 334613}"	"{""[15.0, 15.0]"": 4145, ""[15.0, 16.0]"": 28807, ""[15.0, 17.0]"": 36706, ""[16.0, 16.0]"": 51583, ""[16.0, 17.0]"": 130493, ""[17.0, 17.0]"": 83707}"	0.11028845609212945	0.586073490159982	1.3805374561955552	0.0396143329456981	"{""15.0"": 1.0, ""16.0"": 0.99, ""17.0"": 0.99}"	4.77e-09	-	-0.00046030627069368335	-0.0004405816336156903	0.138407	NA	NA	False	NA	NA	False	NA	none	0:inside:SH3D21:protein_coding	74608:upstream:UBE2V2P4:processed_pseudogene,5250:downstream:EVA1B:protein_coding,74458:downstream:LSM10:protein_coding,85941:downstream:RNU4-27P:snRNA,0:inside:SH3D21:protein_coding,12850:upstream:RP11-268J15.6:lncRNA,99047:downstream:OSCP1:protein_coding,22844:downstream:STK40:protein_coding,11407:downstream:THRAP3:protein_coding	intron:SH3D21:protein_coding	transcribed;SH3D21-202:protein_coding:5,SH3D21-206:protein_coding:2,SH3D21-204:nonsense_mediated_decay:2
1	1_41296733_41939308	41423951	41423963	41423951	STR_29287	1	A	12.0,13.0,14.0,15.0,16.0	13.0	"{""12.0"": 2145.56, ""13.0"": 770437.78, ""14.0"": 167690.01, ""15.0"": 31575.15, ""16.0"": 2974.86}"	"{""12.0"": 1785, ""13.0"": 768906, ""14.0"": 171164, ""15.0"": 31050, ""16.0"": 1913}"	"{""[12.0, 12.0]"": 2, ""[12.0, 13.0]"": 1406, ""[12.0, 14.0]"": 327, ""[12.0, 15.0]"": 43, ""[12.0, 16.0]"": 5, ""[13.0, 13.0]"": 303457, ""[13.0, 14.0]"": 134532, ""[13.0, 15.0]"": 24542, ""[13.0, 16.0]"": 1512, ""[14.0, 14.0]"": 15322, ""[14.0, 15.0]"": 5339, ""[14.0, 16.0]"": 322, ""[15.0, 15.0]"": 530, ""[15.0, 16.0]"": 66, ""[16.0, 16.0]"": 4}"	"{""12.0"": 1602.37, ""13.0"": 534206.9, ""14.0"": 112396.4, ""15.0"": 20744.68, ""16.0"": 1934.95}"	"{""12.0"": 1333, ""13.0"": 533175, ""14.0"": 114784, ""15.0"": 20261, ""16.0"": 1329}"	"{""[12.0, 12.0]"": 2, ""[12.0, 13.0]"": 1057, ""[12.0, 14.0]"": 235, ""[12.0, 15.0]"": 33, ""[12.0, 16.0]"": 4, ""[13.0, 13.0]"": 211801, ""[13.0, 14.0]"": 91306, ""[13.0, 15.0]"": 16175, ""[13.0, 16.0]"": 1035, ""[14.0, 14.0]"": 9790, ""[14.0, 15.0]"": 3424, ""[14.0, 16.0]"": 239, ""[15.0, 15.0]"": 292, ""[15.0, 16.0]"": 45, ""[16.0, 16.0]"": 3}"	0.03619396639037999	0.3381993434141671	0.8873285819500516	0.6961639057126868	"{""12.0"": 0.9, ""13.0"": 1.0, ""14.0"": 0.99, ""15.0"": 0.97, ""16.0"": 0.82}"	1.62e-12	+	0.0007272405640179163	0.0005284783393458098	0.707105	0.1286	0.1204	False	NA	NA	False	NA	none	12755:downstream:RP11-348A7.7:lncRNA	95916:upstream:CITED4:protein_coding,18516:upstream:RP11-348A7.1:unprocessed_pseudogene,12755:downstream:RP11-348A7.7:lncRNA,15764:upstream:UBE2V1P8:processed_pseudogene,81609:downstream:RP5-1066H13.4:lncRNA,21397:upstream:CTPS1:protein_coding,56299:upstream:SLFNL1-AS1:lncRNA,57306:downstream:SLFNL1:protein_coding,68909:downstream:SCMH1:protein_coding	intergenic	untranscribed
1	1_45266466_46761384	45804403	45804445	45804402	STR_32093	1	A	40.0,42.0,43.0,44.0,45.0	43.0	"{""40.0"": 1694.42, ""42.0"": 629033.14, ""43.0"": 96686.11, ""44.0"": 245634.6, ""45.0"": 1790.61}"	"{""40.0"": 1258, ""42.0"": 629265, ""43.0"": 96909, ""44.0"": 245714, ""45.0"": 1672}"	"{""[40.0, 40.0]"": 2, ""[40.0, 42.0]"": 823, ""[40.0, 43.0]"": 130, ""[40.0, 44.0]"": 298, ""[40.0, 45.0]"": 3, ""[42.0, 42.0]"": 203549, ""[42.0, 43.0]"": 61305, ""[42.0, 44.0]"": 158957, ""[42.0, 45.0]"": 1082, ""[43.0, 43.0]"": 5447, ""[43.0, 44.0]"": 24422, ""[43.0, 45.0]"": 158, ""[44.0, 44.0]"": 30808, ""[44.0, 45.0]"": 421, ""[45.0, 45.0]"": 4}"	"{""40.0"": 1232.49, ""42.0"": 435790.94, ""43.0"": 63136.17, ""44.0"": 169543.79, ""45.0"": 1189.56}"	"{""40.0"": 921, ""42.0"": 435985, ""43.0"": 63323, ""44.0"": 169522, ""45.0"": 1131}"	"{""[40.0, 40.0]"": 2, ""[40.0, 42.0]"": 607, ""[40.0, 43.0]"": 87, ""[40.0, 44.0]"": 222, ""[40.0, 45.0]"": 1, ""[42.0, 42.0]"": 141431, ""[42.0, 43.0]"": 41237, ""[42.0, 44.0]"": 110529, ""[42.0, 45.0]"": 750, ""[43.0, 43.0]"": 2954, ""[43.0, 44.0]"": 15995, ""[43.0, 45.0]"": 96, ""[44.0, 44.0]"": 21248, ""[44.0, 45.0]"": 280, ""[45.0, 45.0]"": 2}"	0.09771785498714809	0.5049074775113263	1.2555498208032303	0.1312676149984456	"{""40.0"": 0.81, ""42.0"": 1.0, ""43.0"": 1.0, ""44.0"": 1.0, ""45.0"": 0.98}"	3.99e-29	-	-0.00068596975112213	-0.0008495236078828236	0.198242	NA	NA	False	NA	NA	False	NA	75:upstream:45803858:45804328:MUTYH:protein_coding,75:upstream:45804179:45804328:MUTYH:protein_coding,75:upstream:45804179:45804328:MUTYH:protein_coding,889:downstream:45805334:45805638:MUTYH:protein_coding	0:inside:MUTYH:protein_coding	33112:downstream:LINC01144:lncRNA,0:inside:MUTYH:protein_coding,1279:upstream:TOE1:protein_coding,19879:downstream:snoU13:snoRNA,76247:upstream:PPIAP36:processed_pseudogene,10021:downstream:HPDL:protein_coding,32522:upstream:ZSWIM5:protein_coding,0:inside:RP4-534D1.6:protein_coding,5110:downstream:TESK2:protein_coding	multigene;intron:MUTYH:protein_coding;intron:RP4-534D1.6:protein_coding	transcribed;MUTYH-236:protein_coding:2,MUTYH-225:nonsense_mediated_decay:1,MUTYH-209:protein_coding:1,MUTYH-204:protein_coding:1,MUTYH-211:protein_coding:1,MUTYH-203:protein_coding:1,MUTYH-205:protein_coding:1,MUTYH-206:protein_coding:1,MUTYH-245:protein_coding:missing from gencode,MUTYH-201:protein_coding:1,MUTYH-202:protein_coding:1,MUTYH-220:nonsense_mediated_decay:1,MUTYH-231:protein_coding:5,MUTYH-237:protein_coding:5,MUTYH-241:nonsense_mediated_decay:missing from gencode,MUTYH-234:protein_coding:5,MUTYH-246:nonsense_mediated_decay:missing from gencode,MUTYH-243:nonsense_mediated_decay:missing from gencode,MUTYH-244:nonsense_mediated_decay:missing from gencode,MUTYH-207:protein_coding:3,MUTYH-218:nonsense_mediated_decay:3,MUTYH-212:nonsense_mediated_decay:5,MUTYH-208:protein_coding:5,MUTYH-210:nonsense_mediated_decay:5,MUTYH-217:nonsense_mediated_decay:5,MUTYH-233:nonsense_mediated_decay:5,MUTYH-223:retained_intron:3,MUTYH-232:retained_intron:5,MUTYH-240:processed_transcript:missing from gencode,MUTYH-228:retained_intron:5,MUTYH-224:retained_intron:2,MUTYH-230:retained_intron:3,MUTYH-221:retained_intron:2,MUTYH-213:retained_intron:3,MUTYH-219:retained_intron:3,MUTYH-227:protein_coding:5,MUTYH-239:retained_intron:3,RP4-534D1.6-001:nonsense_mediated_decay:missing from gencode
1	1_65522230_66340433	65654971	65654986	65654965	STR_43883	1	A	14.0,15.0,16.0,17.0,18.0	16.0	"{""14.0"": 0.0, ""15.0"": 584.71, ""16.0"": 717970.9, ""17.0"": 248977.37, ""18.0"": 7314.2}"	"{""15.0"": 512, ""16.0"": 717820, ""17.0"": 253048, ""18.0"": 3438}"	"{""[15.0, 15.0]"": 6, ""[15.0, 16.0]"": 261, ""[15.0, 17.0]"": 189, ""[15.0, 18.0]"": 50, ""[16.0, 16.0]"": 265183, ""[16.0, 17.0]"": 185185, ""[16.0, 18.0]"": 2008, ""[17.0, 17.0]"": 33252, ""[17.0, 18.0]"": 1170, ""[18.0, 18.0]"": 105}"	"{""14.0"": 0.0, ""15.0"": 86.18, ""16.0"": 497959.07, ""17.0"": 169220.81, ""18.0"": 3633.24}"	"{""15.0"": 32, ""16.0"": 497860, ""17.0"": 172086, ""18.0"": 904}"	"{""[15.0, 16.0]"": 27, ""[15.0, 17.0]"": 5, ""[16.0, 16.0]"": 184554, ""[16.0, 17.0]"": 128029, ""[16.0, 18.0]"": 696, ""[17.0, 17.0]"": 21923, ""[17.0, 18.0]"": 206, ""[18.0, 18.0]"": 1}"	0.005543931853856458	0.3834932665127158	0.8363776738473231	0.2506670201110087	"{""14.0"": ""NaN"", ""15.0"": 0.65, ""16.0"": 1.0, ""17.0"": 1.0, ""18.0"": 0.45}"	2.42e-08	+	0.0007463956490974637	0.00047779435293076396	0.0760356	NA	NA	False	NA	NA	False	NA	none	0:inside:AK4:protein_coding	96674:upstream:MRPS21P1:processed_pseudogene,34638:downstream:RPS29P7:processed_pseudogene,90153:downstream:RP5-1044H5.1:lncRNA,0:inside:AK4:protein_coding,58916:upstream:DNAJC6:protein_coding	intron:AK4:protein_coding	transcribed;AK4-207:protein_coding:1,AK4-206:processed_transcript:1,AK4-203:processed_transcript:2,AK4-208:protein_coding:1,AK4-202:protein_coding:1,AK4-201:protein_coding:1,AK4-204:processed_transcript:2,AK4-205:processed_transcript:3
1	1_89028855_89495336	89289692	89289708	89289687	STR_55338	1	A	15.0,16.0,17.0,18.0,19.0,20.0	17.0	"{""15.0"": 19749.5, ""16.0"": 15693.39, ""17.0"": 362118.3, ""18.0"": 5395.24, ""19.0"": 571831.65, ""20.0"": 160.7}"	"{""15.0"": 19782, ""16.0"": 14501, ""17.0"": 362901, ""18.0"": 4767, ""19.0"": 572824, ""20.0"": 43}"	"{""[15.0, 15.0]"": 436, ""[15.0, 16.0]"": 665, ""[15.0, 17.0]"": 6541, ""[15.0, 18.0]"": 88, ""[15.0, 19.0]"": 11616, ""[16.0, 16.0]"": 289, ""[16.0, 17.0]"": 4501, ""[16.0, 18.0]"": 58, ""[16.0, 19.0]"": 8697, ""[16.0, 20.0]"": 2, ""[17.0, 17.0]"": 68932, ""[17.0, 18.0]"": 1762, ""[17.0, 19.0]"": 212221, ""[17.0, 20.0]"": 12, ""[18.0, 18.0]"": 15, ""[18.0, 19.0]"": 2829, ""[19.0, 19.0]"": 168716, ""[19.0, 20.0]"": 29}"	"{""15.0"": 11357.98, ""16.0"": 8253.44, ""17.0"": 257839.37, ""18.0"": 3403.51, ""19.0"": 389990.65, ""20.0"": 121.94}"	"{""15.0"": 11355, ""16.0"": 7453, ""17.0"": 258366, ""18.0"": 3011, ""19.0"": 390666, ""20.0"": 31}"	"{""[15.0, 15.0]"": 100, ""[15.0, 16.0]"": 125, ""[15.0, 17.0]"": 4381, ""[15.0, 18.0]"": 51, ""[15.0, 19.0]"": 6598, ""[16.0, 16.0]"": 40, ""[16.0, 17.0]"": 2841, ""[16.0, 18.0]"": 17, ""[16.0, 19.0]"": 4390, ""[17.0, 17.0]"": 49916, ""[17.0, 18.0]"": 1176, ""[17.0, 19.0]"": 150129, ""[17.0, 20.0]"": 7, ""[18.0, 18.0]"": 7, ""[18.0, 19.0]"": 1753, ""[19.0, 19.0]"": 113886, ""[19.0, 20.0]"": 24}"	0.034482878879463046	0.5121641326045592	1.1918377637104285	0.2865918478262755	"{""15.0"": 1.0, ""16.0"": 0.96, ""17.0"": 1.0, ""18.0"": 0.94, ""19.0"": 1.0, ""20.0"": 0.45}"	1.25e-08	-	-0.0003224269760326165	-0.0004896070393652443	0.0623137	NA	NA	False	NA	NA	False	NA	285:upstream:89289993:89290069:PKN2:protein_coding,285:upstream:89289993:89290069:PKN2:protein_coding,321:upstream:89290029:89290069:PKN2:protein_coding	0:inside:PKN2:protein_coding	7124:downstream:RNU6-125P:snRNA,5077:upstream:ELOCP19:processed_pseudogene,99345:upstream:RP11-82K18.2:processed_pseudogene,28608:downstream:GTF2B:protein_coding,0:inside:PKN2:protein_coding	intron:PKN2:protein_coding	transcribed;PKN2-203:protein_coding:1,PKN2-202:protein_coding:1
