chrom	start	end
1	8781301	9042815
1	16389898	16857219
1	21003420	21649297
1	22162667	22470647
1	26862646	27475617
1	28344369	28758178
1	35589860	35839860
1	36733680	37125885
1	43283279	43563399
1	56760111	57077750
1	65766329	66466400
1	67237733	67827526
1	79150902	79592975
1	92641438	93050706
1	93104909	93552987
1	101087872	102071152
1	111419661	111862183
1	149873779	151463570
1	158313974	158756171
1	159005696	159661199
1	197470569	197879741
1	198494744	198744744
1	200231262	200481262
1	211568627	211918415
1	212232301	212532562
1	220845028	221306281
1	224419529	224818987
1	226785570	227639067
1	234820346	235130509
1	235962898	236249781
1	247476595	247738630
2	7464770	7789415
2	23786951	24753560
2	25057488	25718834
2	26895321	27878878
2	31338850	31589385
2	37241457	37695694
2	40517561	40840362
2	43188627	44167846
2	53739496	54420759
2	62429797	62679797
2	65397892	65824306
2	68460484	68768625
2	68837137	69112994
2	85418222	85698049
2	98266117	98516117
2	101571046	101920536
2	102636240	103218243
2	111462016	112368926
2	112529009	112948320
2	113527218	114045079
2	143620800	144710187
2	160231371	161481132
2	181702295	182546739
2	201998717	202329741
2	218649636	220175707
2	223834901	224107434
2	227143955	227469207
2	232147500	232416471
2	242196083	242447667
3	12099151	12592044
3	28147478	28698576
3	39171881	39432162
3	46279700	46529700
3	46617749	47705812
3	71185697	71754657
3	122927018	123253413
3	124310110	124560110
3	127601081	128815427
3	128821213	129071213
3	129073814	129570083
3	135677350	136076114
3	140743715	141275026
3	169351988	169674113
3	187277378	187585099
4	575032	870053
4	2926940	3189004
4	6790861	7068776
4	36187542	36437542
4	37851150	38941338
4	55218967	55699930
4	56168696	56418696
4	73764388	74407092
4	74468783	75342414
4	80495882	81094420
4	83415096	84123642
4	103266275	104063860
4	105804868	106604974
4	110709110	111048592
4	112813524	113330592
4	123453060	123806156
4	152842845	153218640
5	1152577	1422854
5	35674994	36144862
5	50722577	50972577
5	51948341	52205455
5	55683966	55933966
5	68303137	68872047
5	69950443	70200443
5	70267717	70573904
5	71378687	71891319
5	71976195	72445403
5	87131079	88331889
5	96092692	96498750
5	127225549	127649018
5	131193297	131446159
5	131640206	132126151
5	142511332	142913147
5	148073999	148341319
5	149216279	149585953
5	150316042	150566042
5	157756647	158156593
5	176408852	176985948
5	178821174	179202130
6	11963544	12308050
6	14586961	14859463
6	24642527	24976787
6	35591860	35841860
6	41615483	42164572
6	42341634	42799714
6	82273479	82589987
6	87631580	88562825
6	89675052	89925052
6	107928364	108246953
6	109380740	110221896
6	127315047	127579893
6	135359709	135662897
6	137834118	138131504
6	144161685	144710977
6	167247142	167666258
7	4637143	4910387
7	6252836	6676047
7	7879152	8245471
7	22587484	22860081
7	26570215	26820215
7	27025602	27321434
7	27938494	28455654
7	28589427	29016021
7	37257465	37507465
7	49716250	50656927
7	64470234	64720234
7	64853401	66554112
7	72721741	73183017
7	91963435	92769412
7	97720713	98162034
7	98771709	99859225
7	126822813	127140083
7	148631738	149040050
7	150079614	150662635
8	5416910	5679323
8	9046595	9365101
8	9750444	10131311
8	10392347	11148655
8	11168458	11523183
8	21642240	21892240
8	23256769	23515046
8	26118136	26368136
8	30146637	30476812
8	41415622	41810166
8	43139205	43914768
8	46810906	49385670
8	59315824	59565824
8	61219787	61939032
8	78560935	78875997
8	79053330	79857543
8	95692566	96114827
8	103274202	103536505
8	124917546	125167546
8	126349306	126716392
8	128872087	129134401
8	130404159	130821145
8	142203719	142464763
9	150763	435672
9	3966525	4224510
9	4521123	4994090
9	6088829	6344176
9	21824527	22313226
9	33877376	34313106
9	91248903	91732378
9	113733933	114169933
9	115840340	116090340
9	126860763	127127414
9	130401044	130661717
9	136066641	136336248
9	136751021	137099020
9	137717309	137996122
9	139092089	139512676
10	5918534	6303941
10	7977498	8236409
10	28655293	28946216
10	44764652	45014652
10	50178536	50428536
10	63575245	63878482
10	64761103	65517597
10	72207726	72534024
10	73383791	73633791
10	80907532	81192480
10	89506847	89756847
10	90880952	91133873
10	94377738	94665841
10	96666592	96916592
10	98825477	99412227
10	120896958	121174819
10	126187289	126691412
11	0	460885
11	10105855	10355855
11	42917631	43169654
11	43171946	43649609
11	59733036	60166296
11	61422068	61767763
11	76011983	76417573
11	113825821	114134982
11	118841521	119303640
11	122358315	122700256
11	125911852	126379266
11	128260169	128620106
12	592501	865009
12	6316623	6645137
12	8081167	8335697
12	9636184	10109303
12	10400878	10824128
12	12396151	12747025
12	12748748	13008507
12	21198338	21540496
12	31889612	32139612
12	48088720	48501530
12	53382035	54194817
12	66238070	66488070
12	69488927	69919086
12	111156636	113373767
12	121700187	122002183
12	123322928	124038433
13	28468101	28762838
13	40847794	41783744
13	42459596	43217039
13	74549755	74833696
13	114008961	114342470
13	114615054	115086388
14	23451861	23714349
14	25304598	25599449
14	35188819	35990306
14	64774516	65455224
14	69685752	70114411
14	75835750	76124065
14	103111308	103512732
14	103735099	103985100
15	41341087	41920900
15	42070650	42395397
15	65570431	66238563
15	69839858	70173157
15	74919238	75575557
15	85964554	86361101
15	90725373	91285200
15	101575350	101875459
16	3458173	3708173
16	15059067	15346225
16	23758180	24027342
16	30181569	31129169
16	50087589	50337589
16	56950180	57203216
16	74374046	74726486
16	81477212	81741668
16	85549466	86148060
16	88509287	88828061
16	88846683	89097852
17	1194765	1498518
17	2591283	3013572
17	6766823	7300844
17	15645008	16447423
17	16714901	16977187
17	17018931	17285679
17	19301536	19565538
17	28896580	29842863
17	36977201	38906965
17	40301299	40551299
17	40954374	41205195
17	41226104	41574391
17	42172453	42464303
17	43335181	44999453
17	56060153	57541562
17	66303751	66553751
17	72889022	73191982
17	74265961	74577010
17	80422848	81170652
18	19574122	19834981
18	41843564	42313509
18	60701343	61075714
18	73946078	74201020
19	878172	1318965
19	3054427	3360086
19	4784629	5207863
19	7290064	7610382
19	7647173	7963962
19	10111844	10844316
19	13775981	14278293
19	16250281	16940836
19	17989000	18251717
19	18351711	19023681
19	19241632	19926437
19	33604208	33878097
19	36780264	37030264
19	39792486	40129285
19	40801588	41091880
19	41176275	41431362
19	43894724	44431389
19	48970775	49304388
19	52007020	52269572
19	55623011	55873011
20	1793305	2070835
20	3617226	3909593
20	8478950	8734588
20	19941701	20205775
20	31071471	31479935
20	39014074	39291704
20	42684317	43167364
20	47118266	47619292
20	48934697	49184697
20	57240842	57998579
20	62069713	62504748
21	40333508	40593838
22	21741569	22124229
22	28251707	28648883
22	29764324	30724570
22	30740305	30990305
22	40298344	41039431
22	41287491	42663514
