chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	direction_of_association	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	FINEMAP_pcausal	SuSiE_pcausal	SuSiE_CS_pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_26808591_27493126	27245571	27245583	27245571	STR_18385	1	A	12.0,13.0,14.0,15.0	13.0	"{""12.0"": 75777.43, ""13.0"": 534548.22, ""14.0"": 358868.78, ""15.0"": 5623.61}"	"{""12.0"": 75825, ""13.0"": 534641, ""14.0"": 359449, ""15.0"": 4903}"	"{""[12.0, 12.0]"": 2960, ""[12.0, 13.0]"": 41354, ""[12.0, 14.0]"": 28175, ""[12.0, 15.0]"": 376, ""[13.0, 13.0]"": 148007, ""[13.0, 14.0]"": 194679, ""[13.0, 15.0]"": 2594, ""[14.0, 14.0]"": 67346, ""[14.0, 15.0]"": 1903, ""[15.0, 15.0]"": 15}"	"{""12.0"": 52859.31, ""13.0"": 352951.73, ""14.0"": 251014.27, ""15.0"": 4102.71}"	"{""12.0"": 52909, ""13.0"": 352754, ""14.0"": 251651, ""15.0"": 3614}"	"{""[12.0, 12.0]"": 2088, ""[12.0, 13.0]"": 28515, ""[12.0, 14.0]"": 19940, ""[12.0, 15.0]"": 278, ""[13.0, 13.0]"": 93834, ""[13.0, 14.0]"": 134626, ""[13.0, 15.0]"": 1945, ""[14.0, 14.0]"": 47856, ""[14.0, 15.0]"": 1373, ""[15.0, 15.0]"": 9}"	0.08618490709472418	0.5637253469187082	1.3465967334168345	0.175744005749945	"{""12.0"": 1.0, ""13.0"": 1.0, ""14.0"": 1.0, ""15.0"": 0.95}"	2.07e-14	-	-0.014014368094768026	-0.012331235610179701	0.191978	NA	NA	False	NA	NA	False	NA	none	0:inside:NUDC:protein_coding	54624:downstream:SFN:protein_coding,40835:downstream:RP1-50O24.6:lncRNA,18613:upstream:GPATCH3:protein_coding,5105:upstream:NR0B2:protein_coding,61073:upstream:RPL12P13:unprocessed_pseudogene,64536:upstream:RPL32P6:processed_pseudogene,66805:downstream:OSTCP2:processed_pseudogene,74600:upstream:TRNP1:protein_coding,85928:downstream:TENT5B:protein_coding,61476:downstream:ZDHHC18:protein_coding,28797:upstream:GPN2:protein_coding,30470:downstream:KDF1:protein_coding,0:inside:NUDC:protein_coding	intron:NUDC:protein_coding	transcribed;NUDC-202:protein_coding:5
1	1_50703316_51657590	50965036	50965055	50965036	STR_35009	1	A	19.0,20.0,21.0,22.0,23.0	20.0	"{""19.0"": 1377.57, ""20.0"": 796055.3, ""21.0"": 65688.85, ""22.0"": 111168.31, ""23.0"": 528.87}"	"{""19.0"": 519, ""20.0"": 800486, ""21.0"": 61947, ""22.0"": 111288, ""23.0"": 578}"	"{""[19.0, 20.0]"": 407, ""[19.0, 21.0]"": 43, ""[19.0, 22.0]"": 64, ""[19.0, 23.0]"": 5, ""[20.0, 20.0]"": 329034, ""[20.0, 21.0]"": 50506, ""[20.0, 22.0]"": 91168, ""[20.0, 23.0]"": 337, ""[21.0, 21.0]"": 2064, ""[21.0, 22.0]"": 7163, ""[21.0, 23.0]"": 107, ""[22.0, 22.0]"": 6392, ""[22.0, 23.0]"": 109, ""[23.0, 23.0]"": 10}"	"{""19.0"": 762.87, ""20.0"": 542147.72, ""21.0"": 42918.17, ""22.0"": 75095.13, ""23.0"": 4.16}"	"{""19.0"": 190, ""20.0"": 544877, ""21.0"": 40627, ""22.0"": 75234}"	"{""[19.0, 20.0]"": 156, ""[19.0, 21.0]"": 8, ""[19.0, 22.0]"": 26, ""[20.0, 20.0]"": 224533, ""[20.0, 21.0]"": 33664, ""[20.0, 22.0]"": 61991, ""[21.0, 21.0]"": 1191, ""[21.0, 22.0]"": 4573, ""[22.0, 22.0]"": 4322}"	0.06609675591768271	0.3036087283268357	0.8372488165462604	0.7449152028534807	"{""19.0"": 0.59, ""20.0"": 0.99, ""21.0"": 0.97, ""22.0"": 0.99, ""23.0"": ""NaN""}"	3.54e-11	-	-0.012124409142834136	-0.011320905710228398	0.76816	NA	NA	False	NA	NA	False	NA	375:downstream:50965430:50965529:Y_RNA:misc_RNA	0:inside:FAF1:protein_coding	99591:upstream:HMGB1P45:processed_pseudogene,93340:upstream:FCF1P6:processed_pseudogene,62058:upstream:RP5-850O15.4:lincRNA,28214:downstream:FAF1-AS1:lncRNA,375:downstream:Y_RNA:misc_RNA,83021:upstream:RNU6-1026P:snRNA,75921:upstream:DMRTA2:protein_coding,0:inside:FAF1:protein_coding	intron:FAF1:protein_coding	transcribed;FAF1-205:nonsense_mediated_decay:2,FAF1-202:protein_coding:1,FAF1-201:protein_coding:1
1	1_50703316_51657590	51260462	51260480	51260460	STR_35229	1	A	18.0,19.0,20.0,21.0	19.0	"{""18.0"": 4602.57, ""19.0"": 564027.89, ""20.0"": 299748.45, ""21.0"": 106467.38}"	"{""18.0"": 2776, ""19.0"": 564306, ""20.0"": 297895, ""21.0"": 109841}"	"{""[18.0, 18.0]"": 5, ""[18.0, 19.0]"": 1641, ""[18.0, 20.0]"": 804, ""[18.0, 21.0]"": 321, ""[19.0, 19.0]"": 164225, ""[19.0, 20.0]"": 171269, ""[19.0, 21.0]"": 62946, ""[20.0, 20.0]"": 45897, ""[20.0, 21.0]"": 34028, ""[21.0, 21.0]"": 6273}"	"{""18.0"": 3241.55, ""19.0"": 378928.21, ""20.0"": 205134.8, ""21.0"": 73642.13}"	"{""18.0"": 1971, ""19.0"": 378981, ""20.0"": 203783, ""21.0"": 76193}"	"{""[18.0, 18.0]"": 3, ""[18.0, 19.0]"": 1171, ""[18.0, 20.0]"": 573, ""[18.0, 21.0]"": 221, ""[19.0, 19.0]"": 108562, ""[19.0, 20.0]"": 117049, ""[19.0, 21.0]"": 43637, ""[20.0, 20.0]"": 31295, ""[20.0, 21.0]"": 23571, ""[21.0, 21.0]"": 4382}"	0.11632357217796188	0.5628386457961643	1.3677836300020711	0.4321325746527223	"{""18.0"": 0.78, ""19.0"": 0.97, ""20.0"": 0.97, ""21.0"": 0.94}"	9.93e-10	-	-0.01009739853963787	-0.009912398736613441	0.072874	NA	NA	False	NA	NA	False	NA	none	0:inside:FAF1:protein_coding	44437:downstream:RNU6-1253P:snRNA,13640:downstream:PHBP12:processed_pseudogene,51660:upstream:MRPS6P2:processed_pseudogene,0:inside:FAF1:protein_coding	intron:FAF1:protein_coding	transcribed;FAF1-202:protein_coding:1,FAF1-201:protein_coding:1,FAF1-204:processed_transcript:3
1	1_93427187_94016839	93818449	93818469	93818449	STR_58132	1	A	15.0,16.0,17.0,20.0,21.0,22.0,23.0	21.0	"{""15.0"": 14.98, ""16.0"": 580708.76, ""17.0"": 2863.15, ""20.0"": 6699.43, ""21.0"": 343351.73, ""22.0"": 36800.5, ""23.0"": 4384.21}"	"{""16.0"": 580863, ""17.0"": 2695, ""20.0"": 5604, ""21.0"": 346224, ""22.0"": 35065, ""23.0"": 4367}"	"{""[16.0, 16.0]"": 174713, ""[16.0, 17.0]"": 938, ""[16.0, 20.0]"": 3410, ""[16.0, 21.0]"": 205447, ""[16.0, 22.0]"": 20400, ""[16.0, 23.0]"": 1242, ""[17.0, 17.0]"": 100, ""[17.0, 20.0]"": 4, ""[17.0, 21.0]"": 965, ""[17.0, 22.0]"": 212, ""[17.0, 23.0]"": 376, ""[20.0, 20.0]"": 22, ""[20.0, 21.0]"": 1959, ""[20.0, 22.0]"": 181, ""[20.0, 23.0]"": 6, ""[21.0, 21.0]"": 61834, ""[21.0, 22.0]"": 12565, ""[21.0, 23.0]"": 1620, ""[22.0, 22.0]"": 659, ""[22.0, 23.0]"": 389, ""[23.0, 23.0]"": 367}"	"{""15.0"": 7.7, ""16.0"": 398156.83, ""17.0"": 423.51, ""20.0"": 4691.26, ""21.0"": 232748.47, ""22.0"": 24630.36, ""23.0"": 271.78}"	"{""16.0"": 398283, ""17.0"": 288, ""20.0"": 3924, ""21.0"": 234820, ""22.0"": 23371, ""23.0"": 242}"	"{""[16.0, 16.0]"": 120196, ""[16.0, 17.0]"": 167, ""[16.0, 20.0]"": 2419, ""[16.0, 21.0]"": 141073, ""[16.0, 22.0]"": 14076, ""[16.0, 23.0]"": 156, ""[17.0, 20.0]"": 2, ""[17.0, 21.0]"": 104, ""[17.0, 22.0]"": 15, ""[20.0, 20.0]"": 15, ""[20.0, 21.0]"": 1344, ""[20.0, 22.0]"": 126, ""[20.0, 23.0]"": 3, ""[21.0, 21.0]"": 41943, ""[21.0, 22.0]"": 8336, ""[21.0, 23.0]"": 77, ""[22.0, 22.0]"": 406, ""[22.0, 23.0]"": 6}"	0.04542782758916146	0.5093432827916115	1.1942065000241442	0.1482274154884753	"{""15.0"": ""NaN"", ""16.0"": 1.0, ""17.0"": 0.82, ""20.0"": 0.86, ""21.0"": 0.99, ""22.0"": 0.98, ""23.0"": 0.95}"	4.41e-11	-	-0.0026530699795174334	-0.009353316571794692	0.182492	NA	NA	False	NA	NA	False	NA	996:upstream:93819465:93819628:DR1:protein_coding,996:upstream:93819465:93819628:DR1:protein_coding	0:inside:DR1:protein_coding	73763:upstream:RP4-717I23.2:processed_pseudogene,31575:downstream:RP4-713B5.2:processed_pseudogene,32799:upstream:Y_RNA:misc_RNA,6867:upstream:CCDC18-AS1:lncRNA,0:inside:DR1:protein_coding,74162:downstream:CCDC18:protein_coding,95206:upstream:FNBP1L:protein_coding	intron:DR1:protein_coding	transcribed;DR1-202:protein_coding:1,DR1-201:protein_coding:2
1	1_149604337_150120979	149874511	149874525	149874508	STR_72467	1	A	14.0,15.0,16.0	15.0	"{""14.0"": 87779.32, ""15.0"": 881028.74, ""16.0"": 6009.91}"	"{""14.0"": 86487, ""15.0"": 887301, ""16.0"": 1030}"	"{""[14.0, 14.0]"": 4853, ""[14.0, 15.0]"": 76712, ""[14.0, 16.0]"": 69, ""[15.0, 15.0]"": 404821, ""[15.0, 16.0]"": 947, ""[16.0, 16.0]"": 7}"	"{""14.0"": 57525.96, ""15.0"": 599453.88, ""16.0"": 3948.16}"	"{""14.0"": 56450, ""15.0"": 603906, ""16.0"": 572}"	"{""[14.0, 14.0]"": 2505, ""[14.0, 15.0]"": 51396, ""[14.0, 16.0]"": 44, ""[15.0, 15.0]"": 275991, ""[15.0, 16.0]"": 528}"	0.0059736612762660984	0.1578121789530444	0.4309030682345115	0.3838545595595649	"{""14.0"": 0.99, ""15.0"": 0.98, ""16.0"": 0.19}"	1.74e-12	+	0.026804321860133054	0.011144950294951937	0.321717	NA	NA	False	NA	NA	False	NA	345:downstream:149874870:149876749:SV2A:protein_coding	345:downstream:SV2A:protein_coding	89263:upstream:H3C13:protein_coding,70402:upstream:RP11-196G18.23:antisense,63172:downstream:H4C14:protein_coding,61746:upstream:H3C14:protein_coding,60033:upstream:HIST2H2AA3:protein_coding,52007:upstream:H2BC20P:transcribed_unprocessed_pseudogene,51320:downstream:H2AC19:protein_coding,51320:downstream:HIST2H2AA4:protein_coding,48675:downstream:H3C15:protein_coding,16309:upstream:H2BC21:protein_coding,15550:downstream:H2AC20:protein_coding,14996:upstream:H2AC21:protein_coding,26018:downstream:MTMR11:protein_coding,90583:upstream:H2BC18:protein_coding,41735:upstream:H4C15:protein_coding,2160:downstream:BOLA1:protein_coding,345:downstream:SV2A:protein_coding,20684:downstream:SF3B4:protein_coding,56458:downstream:H2BC19P:transcribed_unprocessed_pseudogene,35180:downstream:OTUD7B:protein_coding	intergenic	untranscribed
1	1_150608654_151071490	150918478	150918513	150918478	STR_73321	5	AAAAC	3.2,5.2,6.2,7.2,8.2,9.2	7.2	"{""3.2"": 1430.15, ""5.2"": 0.0, ""6.2"": 618876.72, ""7.2"": 338419.71, ""8.2"": 16091.46, ""9.2"": 0.0}"	"{""3.2"": 373, ""6.2"": 620085, ""7.2"": 338864, ""8.2"": 15496}"	"{""[3.2, 6.2]"": 225, ""[3.2, 7.2]"": 140, ""[3.2, 8.2]"": 8, ""[6.2, 6.2]"": 197982, ""[6.2, 7.2]"": 214047, ""[6.2, 8.2]"": 9849, ""[7.2, 7.2]"": 59679, ""[7.2, 8.2]"": 5319, ""[8.2, 8.2]"": 160}"	"{""3.2"": 928.39, ""5.2"": 0.0, ""6.2"": 426563.28, ""7.2"": 222375.65, ""8.2"": 11060.68, ""9.2"": 0.0}"	"{""3.2"": 259, ""6.2"": 427296, ""7.2"": 222703, ""8.2"": 10670}"	"{""[3.2, 6.2]"": 160, ""[3.2, 7.2]"": 94, ""[3.2, 8.2]"": 5, ""[6.2, 6.2]"": 138155, ""[6.2, 7.2]"": 144022, ""[6.2, 8.2]"": 6804, ""[7.2, 7.2]"": 37477, ""[7.2, 8.2]"": 3633, ""[8.2, 8.2]"": 114}"	0.018139751985087632	0.4682264588288758	1.0361661539748452	0.962462962185218	"{""3.2"": 0.44, ""5.2"": ""NaN"", ""6.2"": 1.0, ""7.2"": 0.98, ""8.2"": 0.79, ""9.2"": ""NaN""}"	6.49e-09	+	0.011252826317953574	0.00845526966399767	0.08118	NA	NA	False	NA	NA	False	NA	892:downstream:150917394:150917586:SETDB1:protein_coding,894:downstream:150917394:150917584:SETDB1:protein_coding,894:downstream:150917394:150917584:SETDB1:protein_coding,682:downstream:150917394:150917796:SETDB1:protein_coding,894:downstream:150917394:150917584:SETDB1:protein_coding,894:downstream:150917394:150917584:SETDB1:protein_coding,849:upstream:150919362:150919488:SETDB1:protein_coding,849:upstream:150919362:150919488:SETDB1:protein_coding,849:upstream:150919362:150919488:SETDB1:protein_coding,849:upstream:150919362:150919488:SETDB1:protein_coding	0:inside:SETDB1:protein_coding	64319:upstream:RPS27AP6:processed_pseudogene,63467:upstream:Y_RNA:misc_RNA,41789:downstream:CYCSP51:processed_pseudogene,19208:upstream:RP11-316M1.12:lncRNA,76709:downstream:RNU6-884P:snRNA,69294:upstream:ARNT:protein_coding,0:inside:SETDB1:protein_coding,14546:downstream:CERS2:protein_coding,27086:upstream:RP11-316M1.3:lncRNA,36212:upstream:ANXA9:protein_coding,50049:downstream:MINDY1:protein_coding,90284:upstream:BNIPL:protein_coding,32710:downstream:CTXND2:protein_coding,62383:upstream:PRUNE1:protein_coding	intron:SETDB1:protein_coding	transcribed;SETDB1-201:protein_coding:1,SETDB1-217:protein_coding:1,SETDB1-205:protein_coding:1,SETDB1-208:processed_transcript:3,SETDB1-213:protein_coding:2
1	1_150608654_151071490	150920747	150920764	150920747	STR_73324	1	A	18.0,19.0,20.0,21.0	18.0	"{""18.0"": 613723.43, ""19.0"": 318796.72, ""20.0"": 29612.4, ""21.0"": 12691.51}"	"{""18.0"": 613831, ""19.0"": 312955, ""20.0"": 35429, ""21.0"": 12603}"	"{""[18.0, 18.0]"": 193553, ""[18.0, 19.0]"": 196270, ""[18.0, 20.0]"": 22476, ""[18.0, 21.0]"": 7979, ""[19.0, 19.0]"": 50791, ""[19.0, 20.0]"": 11117, ""[19.0, 21.0]"": 3986, ""[20.0, 20.0]"": 677, ""[20.0, 21.0]"": 482, ""[21.0, 21.0]"": 78}"	"{""18.0"": 419235.12, ""19.0"": 212150.47, ""20.0"": 20841.26, ""21.0"": 8705.54}"	"{""18.0"": 419274, ""19.0"": 207899, ""20.0"": 25109, ""21.0"": 8646}"	"{""[18.0, 18.0]"": 132963, ""[18.0, 19.0]"": 131825, ""[18.0, 20.0]"": 15998, ""[18.0, 21.0]"": 5525, ""[19.0, 19.0]"": 32799, ""[19.0, 20.0]"": 7805, ""[19.0, 21.0]"": 2671, ""[20.0, 20.0]"": 481, ""[20.0, 21.0]"": 344, ""[21.0, 21.0]"": 53}"	0.04470472388257443	0.4970125715589273	1.202490178457226	0.7901187896565145	"{""18.0"": 1.0, ""19.0"": 0.98, ""20.0"": 0.94, ""21.0"": 0.97}"	7.97e-09	+	0.009325331646633267	0.008196260652716295	0.0689978	NA	NA	False	NA	NA	False	NA	834:upstream:150921598:150921754:SETDB1:protein_coding,834:upstream:150921598:150921754:SETDB1:protein_coding,834:upstream:150921598:150921754:SETDB1:protein_coding,834:upstream:150921598:150921754:SETDB1:protein_coding	0:inside:SETDB1:protein_coding	66588:upstream:RPS27AP6:processed_pseudogene,65736:upstream:Y_RNA:misc_RNA,44058:downstream:CYCSP51:processed_pseudogene,16957:upstream:RP11-316M1.12:lncRNA,74458:downstream:RNU6-884P:snRNA,99463:upstream:C1orf56:protein_coding,71563:upstream:ARNT:protein_coding,0:inside:SETDB1:protein_coding,12295:downstream:CERS2:protein_coding,24835:upstream:RP11-316M1.3:lncRNA,33961:upstream:ANXA9:protein_coding,47798:downstream:MINDY1:protein_coding,88033:upstream:BNIPL:protein_coding,34979:downstream:CTXND2:protein_coding,60132:upstream:PRUNE1:protein_coding	intron:SETDB1:protein_coding	transcribed;SETDB1-201:protein_coding:1,SETDB1-217:protein_coding:1,SETDB1-205:protein_coding:1,SETDB1-208:processed_transcript:3,SETDB1-213:protein_coding:2
1	1_153891882_154389490	154253232	154253246	154253232	STR_75728	1	A	14.0,15.0,16.0	15.0	"{""14.0"": 291573.05, ""15.0"": 681400.0, ""16.0"": 1844.93}"	"{""14.0"": 291865, ""15.0"": 681389, ""16.0"": 1564}"	"{""[14.0, 14.0]"": 44255, ""[14.0, 15.0]"": 202788, ""[14.0, 16.0]"": 567, ""[15.0, 15.0]"": 238823, ""[15.0, 16.0]"": 955, ""[16.0, 16.0]"": 21}"	"{""14.0"": 197269.67, ""15.0"": 462901.16, ""16.0"": 757.17}"	"{""14.0"": 197454, ""15.0"": 462904, ""16.0"": 570}"	"{""[14.0, 14.0]"": 29452, ""[14.0, 15.0]"": 138372, ""[14.0, 16.0]"": 178, ""[15.0, 15.0]"": 162070, ""[15.0, 16.0]"": 392}"	0.0011456164665440108	0.4202070757961945	0.889341582668921	0.7820446941973038	"{""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.95}"	5.95e-13	+	0.017229966451335864	0.011198559783736996	0.27267	0.2525	0.2355	False	NA	NA	False	NA	none	4881:downstream:HAX1:protein_coding	87013:upstream:MIR190B:miRNA,26235:downstream:AL590431.1:miRNA,20894:downstream:SNORA58:snoRNA,4881:downstream:HAX1:protein_coding,7690:upstream:SNORD59:snoRNA,14733:upstream:RNU6-239P:snRNA,16880:upstream:RNU6-121P:snRNA,31692:upstream:RP11-137P24.5:unprocessed_pseudogene,40320:upstream:AQP10:protein_coding,57973:upstream:RNU7-57P:snRNA,96196:downstream:RP11-350G8.4:unprocessed_pseudogene,97437:downstream:RPSAP17:processed_pseudogene,74423:upstream:C1orf189:protein_coding,60119:upstream:C1orf43:protein_coding,9246:downstream:UBAP2L:protein_coding,44755:upstream:ATP8B2:protein_coding,86108:upstream:TPM3:protein_coding	intergenic	untranscribed
1	1_172226809_172572583	172445721	172445740	172445721	STR_86010	2	AC	10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0	10.0	"{""10.0"": 161182.7, ""11.0"": 1962.69, ""12.0"": 157884.05, ""13.0"": 107947.19, ""14.0"": 515947.82, ""15.0"": 29313.79, ""16.0"": 557.49, ""17.0"": 0.0, ""18.0"": 116.19}"	"{""10.0"": 161070, ""11.0"": 1877, ""12.0"": 156989, ""13.0"": 107617, ""14.0"": 520636, ""15.0"": 26167, ""16.0"": 431, ""18.0"": 31}"	"{""[10.0, 10.0]"": 13636, ""[10.0, 11.0]"": 201, ""[10.0, 12.0]"": 25507, ""[10.0, 13.0]"": 17737, ""[10.0, 14.0]"": 86034, ""[10.0, 15.0]"": 4274, ""[10.0, 16.0]"": 40, ""[10.0, 18.0]"": 5, ""[11.0, 11.0]"": 68, ""[11.0, 12.0]"": 681, ""[11.0, 13.0]"": 207, ""[11.0, 14.0]"": 441, ""[11.0, 15.0]"": 187, ""[11.0, 16.0]"": 24, ""[12.0, 12.0]"": 13245, ""[12.0, 13.0]"": 17236, ""[12.0, 14.0]"": 82396, ""[12.0, 15.0]"": 4529, ""[12.0, 16.0]"": 147, ""[12.0, 18.0]"": 3, ""[13.0, 13.0]"": 5922, ""[13.0, 14.0]"": 57559, ""[13.0, 15.0]"": 2972, ""[13.0, 16.0]"": 59, ""[13.0, 18.0]"": 3, ""[14.0, 14.0]"": 140363, ""[14.0, 15.0]"": 13348, ""[14.0, 16.0]"": 112, ""[14.0, 18.0]"": 20, ""[15.0, 15.0]"": 409, ""[15.0, 16.0]"": 39, ""[16.0, 16.0]"": 5}"	"{""10.0"": 113893.52, ""11.0"": 185.42, ""12.0"": 102545.85, ""13.0"": 72754.77, ""14.0"": 353107.25, ""15.0"": 18351.04, ""16.0"": 72.83, ""17.0"": 0.0, ""18.0"": 73.27}"	"{""10.0"": 113839, ""11.0"": 122, ""12.0"": 102037, ""13.0"": 72567, ""14.0"": 356025, ""15.0"": 16303, ""16.0"": 16, ""18.0"": 19}"	"{""[10.0, 10.0]"": 9813, ""[10.0, 11.0]"": 23, ""[10.0, 12.0]"": 17600, ""[10.0, 13.0]"": 12363, ""[10.0, 14.0]"": 61356, ""[10.0, 15.0]"": 2863, ""[10.0, 16.0]"": 3, ""[10.0, 18.0]"": 5, ""[11.0, 12.0]"": 27, ""[11.0, 13.0]"": 9, ""[11.0, 14.0]"": 59, ""[11.0, 15.0]"": 4, ""[12.0, 12.0]"": 7875, ""[12.0, 13.0]"": 11174, ""[12.0, 14.0]"": 54978, ""[12.0, 15.0]"": 2506, ""[12.0, 16.0]"": 2, ""[13.0, 13.0]"": 3970, ""[13.0, 14.0]"": 39229, ""[13.0, 15.0]"": 1849, ""[13.0, 16.0]"": 2, ""[13.0, 18.0]"": 1, ""[14.0, 14.0]"": 95830, ""[14.0, 15.0]"": 8721, ""[14.0, 16.0]"": 9, ""[14.0, 18.0]"": 13, ""[15.0, 15.0]"": 180}"	0.29347638471403126	0.6436647442403952	1.818741747698328	0.7506185043621687	"{""10.0"": 1.0, ""11.0"": 0.84, ""12.0"": 0.98, ""13.0"": 1.0, ""14.0"": 0.99, ""15.0"": 0.96, ""16.0"": 0.38, ""17.0"": ""NaN"", ""18.0"": 0.65}"	1.38e-09	-	-0.004596787297679786	-0.009964218901696914	0.4092	NA	NA	False	NA	NA	False	NA	none	7750:downstream:C1orf105:protein_coding	7750:downstream:C1orf105:protein_coding,55749:upstream:SUCO:protein_coding,32495:upstream:PIGC:protein_coding,58115:downstream:DNM3:protein_coding	intergenic	untranscribed
1	1_178377207_178653822	178502208	178502223	178502208	STR_89224	2	AT	7.0,8.0	8.0	"{""7.0"": 332063.91, ""8.0"": 642754.06}"	"{""7.0"": 332459, ""8.0"": 642359}"	"{""[7.0, 7.0]"": 56652, ""[7.0, 8.0]"": 219155, ""[8.0, 8.0]"": 211602}"	"{""7.0"": 225797.61, ""8.0"": 435130.39}"	"{""7.0"": 226065, ""8.0"": 434863}"	"{""[7.0, 7.0]"": 38650, ""[7.0, 8.0]"": 148765, ""[8.0, 8.0]"": 143049}"	0.0	0.4500984114379581	0.926759174882547	0.934512136022474	"{""7.0"": 1.0, ""8.0"": 1.0}"	3.95e-08	+	0.011802756530627567	0.007916143780858477	0.0293258	0.0756	0.0288	False	NA	NA	False	NA	2:downstream:178502092:178502206:TEX35:protein_coding,637:upstream:178502860:178503020:TEX35:protein_coding	0:inside:TEX35:protein_coding	20022:upstream:RP5-990P15.4:lncRNA,9664:upstream:C1orf220:lncRNA,27825:upstream:RNA5SP69:rRNA_pseudogene,33439:upstream:CLEC20A:protein_coding,0:inside:TEX35:protein_coding,48926:downstream:RASAL2:protein_coding	intron:TEX35:protein_coding	transcribed;TEX35-206:nonsense_mediated_decay:2
