chrom	start	end	any_strs
1	8678486	9037588	True
1	16389898	16669626	True
1	20763348	21060082	True
1	26808591	27475617	True
1	36733680	37116285	True
1	43257016	43563399	True
1	46019867	46723269	True
1	50801481	51620560	True
1	56206635	56456635	True
1	56622175	57141131	True
1	65767679	66294679	True
1	67237733	67827526	True
1	79150902	79613107	True
1	92046673	93733374	True
1	101074147	102071152	True
1	111551852	111862183	True
1	149873779	151216290	True
1	151340269	151590269	True
1	158313974	158756171	False
1	158969619	159661199	True
1	160573276	160949337	True
1	161558136	161810591	True
1	185265570	185536855	True
1	196688017	196938017	True
1	197192238	197928799	True
1	198427086	198855097	True
1	198929339	199200025	True
1	200749229	201150850	True
1	211568627	211823659	True
1	212725107	213006757	True
1	227027342	227348736	True
1	227352586	227602586	True
1	234835477	235130509	True
1	235962992	236241239	True
1	247476595	247731276	True
2	7464770	7789415	True
2	23759929	24765168	True
2	25057488	25736672	True
2	27118001	27461376	True
2	31330148	31625193	True
2	32527665	32777665	True
2	37237229	37715774	True
2	40517561	40838179	True
2	43200570	44162396	True
2	53811496	54357480	True
2	62426472	62681484	True
2	65397892	65838903	True
2	68460484	68761923	True
2	68837137	69122250	True
2	97001727	97453852	True
2	101573533	101909274	True
2	102793018	103326364	True
2	111461214	112911523	True
2	113562972	114033179	True
2	128905338	129201473	True
2	136855394	137158984	True
2	143620800	144710187	True
2	160302158	161487444	True
2	181702295	182541173	True
2	201998430	202366594	True
2	218649636	220183272	True
2	223804774	224107434	True
2	227143955	227459154	True
2	230492473	230975615	True
2	230999487	231384452	True
2	231401526	231651526	False
3	12099151	12435314	True
3	18585131	18950669	True
3	28090960	28736783	True
3	42623850	43152039	True
3	45806005	46611611	True
3	46617749	47705812	True
3	47974136	48224136	True
3	50780037	51221887	True
3	71185697	71754657	True
3	98258562	98553155	True
3	108169580	108419580	True
3	119407652	119938282	True
3	128069945	128852316	True
3	140947289	141461835	True
4	6790861	7209835	True
4	36187542	36437542	False
4	37848853	39043771	True
4	55218967	55705596	True
4	73764388	74394645	True
4	74468783	75315570	True
4	80484966	81109670	True
4	83582946	84123642	True
4	87809819	88059819	True
4	103265496	104100060	True
4	105354122	106628321	True
4	112786508	113343485	True
4	122899769	123893759	True
4	144487104	145147434	True
4	152807263	153224920	True
5	1152577	1422258	True
5	10548287	10883562	True
5	35676338	36147085	True
5	51947544	52245246	True
5	68324239	68766641	True
5	71378687	72544267	True
5	87131079	88534185	True
5	96131011	96381011	True
5	110421392	110691360	False
5	127224896	127649018	True
5	131623241	131934757	True
5	134302655	134578814	True
5	134587566	134847833	False
5	141293251	141682443	True
5	142499349	143074513	True
5	148073999	148338506	True
5	149307040	149557040	True
5	150405679	150656247	True
5	157756647	158564165	True
5	171877703	172153452	True
5	176386432	176959785	True
5	178834648	179173585	True
6	281552	536064	False
6	6776582	7026856	True
6	11822209	12308050	True
6	13381560	13672958	True
6	14586961	14859463	True
6	16619687	16883425	True
6	23403075	23653076	True
6	24642527	25024079	True
6	34092181	34348938	True
6	34425867	35841860	True
6	41882403	42165691	True
6	42356181	42640791	True
6	52984301	53346982	True
6	82338376	82588376	True
6	87655724	88540589	True
6	90851768	91130743	True
6	106438272	106688272	True
6	107295110	107571540	True
6	107901146	108276757	True
6	109380740	110227628	True
6	127329893	127579893	True
6	135386108	135662897	True
6	136911939	137343692	True
6	144260777	144566671	True
6	147395965	147826221	True
6	149473233	149726164	True
6	159307566	159557566	True
7	825568	1096124	True
7	2989316	3299182	True
7	4637143	4889767	True
7	6248679	6676047	True
7	7884077	8245471	True
7	22583091	22889338	True
7	26560816	27321434	True
7	27938494	28457358	True
7	28589427	29017623	True
7	44883506	45163814	True
7	50241637	50599973	True
7	53843627	54093627	False
7	74095751	74527206	True
7	74719193	74969193	False
7	91963435	92769412	True
7	97720713	98164459	True
7	98687374	99791755	True
7	115897666	116325092	True
7	126822813	127209615	False
7	150054885	150667711	True
8	5416910	5679323	False
8	9050958	9317423	True
8	10422758	11003074	True
8	11188145	11438145	True
8	12906026	13187363	True
8	22653646	23087759	True
8	26118136	26368136	True
8	30115549	30603361	True
8	41415622	41810166	True
8	48526633	48776633	False
8	61467233	61934918	True
8	72766748	73019959	False
8	77902088	78152088	False
8	78396272	78875997	False
8	78888649	79875564	True
8	95693448	96105185	True
8	101025355	101614910	True
8	102333149	102596269	True
8	119500149	119783386	True
8	126349306	126632389	True
8	130357617	130821137	True
8	130844228	131135698	True
9	3972344	4224510	True
9	4618973	5123741	True
9	21260453	21510453	False
9	21824527	22294169	True
9	82059403	82472819	True
9	91248903	91732378	True
9	123243327	123848351	True
9	135739513	135989513	False
9	136007908	136465200	True
9	136824669	137076437	True
9	139092089	139514184	True
9	139676262	140058589	True
10	5905749	6331221	True
10	7957537	8249215	True
10	22817803	23085675	True
10	28648417	29092181	True
10	44762911	45076961	True
10	50085710	50506231	True
10	63572616	63881199	False
10	72207726	72625763	True
10	73383791	73639364	True
10	80907532	81192480	True
10	89505424	89879831	True
10	90616615	90891213	True
10	94090014	94692166	True
10	94714642	94964724	True
10	97696188	97946188	False
10	98255137	98505137	True
10	98825477	99415620	True
10	104877689	105345837	True
10	112525055	112793381	True
10	120789414	121208364	True
10	126191777	126686563	True
10	133632949	133903652	True
11	71606	460795	True
11	2200427	2450427	False
11	3730868	3981668	True
11	4047150	4364422	True
11	25543479	25793481	False
11	35948757	36213417	True
11	47120389	48147535	True
11	55449991	55922131	True
11	59701677	60166296	True
11	61422068	61767763	True
11	63733227	64297207	True
11	64472001	64818896	False
11	65232638	65811473	True
11	77923524	78393878	True
11	100298999	100622550	True
11	107755880	108492453	True
11	113833142	114083142	True
11	118841521	119180075	True
11	122358315	122710790	True
11	123216589	123515447	True
11	125933369	126328755	True
11	128066854	128626572	True
12	6362395	6645494	True
12	9376898	10174275	True
12	10446584	10718613	True
12	12396151	13017751	True
12	48088720	48501530	True
12	51196706	51547326	True
12	53886487	54136487	False
12	56271768	56607180	True
12	69488927	69950992	True
12	88668916	88918916	True
12	111210752	113343868	True
12	121752183	122002183	True
12	123171204	124057679	True
13	28465414	28789696	True
13	40108181	40504271	True
13	41011442	41802832	True
13	42455434	43217039	True
13	50634201	50896235	True
13	68677296	69071292	False
13	72372708	72638420	True
13	74459040	74838019	True
13	99678751	99928751	True
