chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_23153907_23403907	23278907	23278920	23278907	STR_14950	1	T	13.0,14.0,15.0,16.0,19.0	14.0	"{""13.0"": 37808.46, ""14.0"": 561140.06, ""15.0"": 375313.95, ""16.0"": 341.76, ""19.0"": 214.89}"	"{""13.0"": 36289, ""14.0"": 562903, ""15.0"": 375385, ""16.0"": 53, ""19.0"": 188}"	"{""[13.0, 13.0]"": 728, ""[13.0, 14.0]"": 20841, ""[13.0, 15.0]"": 13990, ""[13.0, 19.0]"": 2, ""[14.0, 14.0]"": 162963, ""[14.0, 15.0]"": 215975, ""[14.0, 16.0]"": 29, ""[14.0, 19.0]"": 132, ""[15.0, 15.0]"": 72672, ""[15.0, 16.0]"": 24, ""[15.0, 19.0]"": 52, ""[19.0, 19.0]"": 1}"	"{""13.0"": 25343.15, ""14.0"": 346908.33, ""15.0"": 236884.85, ""16.0"": 142.05, ""19.0"": 38.28}"	"{""13.0"": 24434, ""14.0"": 347951, ""15.0"": 236910, ""16.0"": 1, ""19.0"": 20}"	"{""[13.0, 13.0]"": 504, ""[13.0, 14.0]"": 13991, ""[13.0, 15.0]"": 9435, ""[14.0, 14.0]"": 99206, ""[14.0, 15.0]"": 135538, ""[14.0, 19.0]"": 10, ""[15.0, 15.0]"": 45963, ""[15.0, 16.0]"": 1, ""[15.0, 19.0]"": 10}"	0.041888695444500065	0.5211161995077251	1.178076174485387	0.4197011389533366	"{""13.0"": 0.99, ""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.17, ""19.0"": 0.83}"	2.87e-08	0.321380012096419	0.25378513232538485	0.677448	False	NA	NA	False	NA	616:downstream:23279536:23280517:LACTBL1:protein_coding,622:downstream:23279542:23280517:LACTBL1:protein_coding	616:downstream:LACTBL1:protein_coding	89188:upstream:MIR4253:miRNA,58407:downstream:TEX46:protein_coding,91878:upstream:MIR3115:miRNA,616:downstream:LACTBL1:protein_coding,67016:upstream:KDM1A:protein_coding,67720:downstream:RP1-184J9.2:lncRNA,30914:downstream:EPHB2:protein_coding	intergenic	untranscribed
1	1_23477620_23955827	23817932	23817947	23817932	STR_15426	1	T	11.0,13.0,14.0,15.0,16.0,17.0	16.0	"{""11.0"": 0.0, ""13.0"": 42723.92, ""14.0"": 674655.1, ""15.0"": 172981.91, ""16.0"": 81540.37, ""17.0"": 2923.91}"	"{""13.0"": 42653, ""14.0"": 674818, ""15.0"": 173166, ""16.0"": 83352, ""17.0"": 829}"	"{""[13.0, 13.0]"": 974, ""[13.0, 14.0]"": 29161, ""[13.0, 15.0]"": 7847, ""[13.0, 16.0]"": 3677, ""[13.0, 17.0]"": 20, ""[14.0, 14.0]"": 236874, ""[14.0, 15.0]"": 115341, ""[14.0, 16.0]"": 56042, ""[14.0, 17.0]"": 526, ""[15.0, 15.0]"": 16925, ""[15.0, 16.0]"": 15940, ""[15.0, 17.0]"": 188, ""[16.0, 16.0]"": 3806, ""[16.0, 17.0]"": 81, ""[17.0, 17.0]"": 7}"	"{""11.0"": 0.0, ""13.0"": 26169.68, ""14.0"": 431520.67, ""15.0"": 101269.13, ""16.0"": 48803.49, ""17.0"": 1556.93}"	"{""13.0"": 26137, ""14.0"": 431653, ""15.0"": 101263, ""16.0"": 49980, ""17.0"": 283}"	"{""[13.0, 13.0]"": 554, ""[13.0, 14.0]"": 18439, ""[13.0, 15.0]"": 4435, ""[13.0, 16.0]"": 2145, ""[13.0, 17.0]"": 10, ""[14.0, 14.0]"": 153090, ""[14.0, 15.0]"": 71513, ""[14.0, 16.0]"": 35313, ""[14.0, 17.0]"": 208, ""[15.0, 15.0]"": 8431, ""[15.0, 16.0]"": 8407, ""[15.0, 17.0]"": 46, ""[16.0, 16.0]"": 2048, ""[16.0, 17.0]"": 19}"	0.12559921315551978	0.4619498220411204	1.278545353347613	0.464015749694564	"{""11.0"": ""NaN"", ""13.0"": 1.0, ""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.99, ""17.0"": 0.38}"	9.16e-17	-0.2947178720687225	-0.285064821299994	1.0	False	NA	NA	False	NA	none	6871:upstream:ASAP3:protein_coding	79293:downstream:RP4-654C18.1:processed_pseudogene,57683:downstream:RP1-150O5.3:lncRNA,66470:downstream:ID3:protein_coding,6871:upstream:ASAP3:protein_coding,84979:downstream:RP1-150O5.4:lncRNA,90038:upstream:MDS2:lncRNA,66691:upstream:TCEA3:protein_coding,14983:downstream:E2F2:protein_coding	intergenic	untranscribed
1	1_26493142_28147862	26825987	26826005	26825985	STR_17957	1	T	17.0,18.0,19.0,20.0,21.0	19.0	"{""17.0"": 1991.7, ""18.0"": 247768.27, ""19.0"": 450568.41, ""20.0"": 272368.95, ""21.0"": 2127.16}"	"{""17.0"": 1667, ""18.0"": 251047, ""19.0"": 449630, ""20.0"": 271703, ""21.0"": 771}"	"{""[17.0, 17.0]"": 46, ""[17.0, 18.0]"": 190, ""[17.0, 19.0]"": 635, ""[17.0, 20.0]"": 729, ""[17.0, 21.0]"": 21, ""[18.0, 18.0]"": 33414, ""[18.0, 19.0]"": 116499, ""[18.0, 20.0]"": 67423, ""[18.0, 21.0]"": 107, ""[19.0, 19.0]"": 104408, ""[19.0, 20.0]"": 123368, ""[19.0, 21.0]"": 312, ""[20.0, 20.0]"": 39930, ""[20.0, 21.0]"": 323, ""[21.0, 21.0]"": 4}"	"{""17.0"": 434.85, ""18.0"": 161282.25, ""19.0"": 284184.69, ""20.0"": 162547.98, ""21.0"": 869.87}"	"{""17.0"": 208, ""18.0"": 163677, ""19.0"": 283364, ""20.0"": 161881, ""21.0"": 186}"	"{""[17.0, 18.0]"": 64, ""[17.0, 19.0]"": 102, ""[17.0, 20.0]"": 42, ""[18.0, 18.0]"": 22083, ""[18.0, 19.0]"": 75954, ""[18.0, 20.0]"": 43449, ""[18.0, 21.0]"": 44, ""[19.0, 19.0]"": 66075, ""[19.0, 20.0]"": 75067, ""[19.0, 21.0]"": 91, ""[20.0, 20.0]"": 21636, ""[20.0, 21.0]"": 51}"	0.26683362774914	0.6409828607900963	1.538606928062289	0.1157197576406936	"{""17.0"": 0.71, ""18.0"": 0.98, ""19.0"": 0.98, ""20.0"": 0.99, ""21.0"": 0.54}"	6.69e-10	-0.21997366426340265	-0.2286064704691466	0.330235	False	NA	NA	False	NA	none	19840:downstream:DPPA2P2:processed_pseudogene	44309:upstream:RP3-476K8.4:processed_pseudogene,31482:upstream:DHDDS-AS1:lncRNA,22854:downstream:HMGN2:protein_coding,19840:downstream:DPPA2P2:processed_pseudogene,55028:upstream:MIR1976:miRNA,93732:downstream:RN7SL679P:misc_RNA,94426:downstream:Y_RNA:misc_RNA,28190:downstream:DHDDS:protein_coding,69768:downstream:LIN28A:protein_coding,30247:upstream:RPS6KA1:protein_coding	intergenic	untranscribed
1	1_26493142_28147862	26828637	26828650	26828637	STR_17958	1	A	13.0,14.0,15.0,16.0	14.0	"{""13.0"": 1042.3, ""14.0"": 752854.62, ""15.0"": 220774.63, ""16.0"": 146.54}"	"{""13.0"": 1015, ""14.0"": 753194, ""15.0"": 220587, ""16.0"": 22}"	"{""[13.0, 13.0]"": 23, ""[13.0, 14.0]"": 538, ""[13.0, 15.0]"": 431, ""[14.0, 14.0]"": 293097, ""[14.0, 15.0]"": 166453, ""[14.0, 16.0]"": 9, ""[15.0, 15.0]"": 26845, ""[15.0, 16.0]"": 13}"	"{""13.0"": 104.84, ""14.0"": 478901.19, ""15.0"": 130279.34, ""16.0"": 30.63}"	"{""13.0"": 81, ""14.0"": 479145, ""15.0"": 130090}"	"{""[13.0, 14.0]"": 73, ""[13.0, 15.0]"": 8, ""[14.0, 14.0]"": 188467, ""[14.0, 15.0]"": 102138, ""[15.0, 15.0]"": 13972}"	0.00022233126981730336	0.3360465171896939	0.7499805284457403	0.5394242756711041	"{""13.0"": 0.93, ""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": ""NaN""}"	3.82e-08	-0.31057021995367995	-0.18029146545056635	0.0650826	False	NA	NA	False	NA	none	17195:downstream:DPPA2P2:processed_pseudogene	46959:upstream:RP3-476K8.4:processed_pseudogene,34132:upstream:DHDDS-AS1:lncRNA,25504:downstream:HMGN2:protein_coding,17195:downstream:DPPA2P2:processed_pseudogene,52383:upstream:MIR1976:miRNA,91087:downstream:RN7SL679P:misc_RNA,91781:downstream:Y_RNA:misc_RNA,30840:downstream:DHDDS:protein_coding,72418:downstream:LIN28A:protein_coding,27602:upstream:RPS6KA1:protein_coding	intergenic	untranscribed
1	1_31320670_31671448	31515155	31515200	31515155	STR_21696	4	AAAT	10.5,11.5,12.5,13.5	11.5	"{""10.5"": 0.0, ""11.5"": 706817.0, ""12.5"": 257560.79, ""13.5"": 10440.3}"	"{""11.5"": 708641, ""12.5"": 256814, ""13.5"": 9363}"	"{""[11.5, 11.5]"": 259909, ""[11.5, 12.5]"": 182094, ""[11.5, 13.5]"": 6729, ""[12.5, 12.5]"": 36092, ""[12.5, 13.5]"": 2536, ""[13.5, 13.5]"": 49}"	"{""10.5"": 0.0, ""11.5"": 450436.89, ""12.5"": 152365.79, ""13.5"": 6513.39}"	"{""11.5"": 451577, ""12.5"": 151878, ""13.5"": 5861}"	"{""[11.5, 11.5]"": 167328, ""[11.5, 12.5]"": 112587, ""[11.5, 13.5]"": 4334, ""[12.5, 12.5]"": 18911, ""[12.5, 13.5]"": 1469, ""[13.5, 13.5]"": 29}"	0.010689673751752518	0.3885163937450321	0.8843585124711718	0.9259624701126244	"{""10.5"": ""NaN"", ""11.5"": 1.0, ""12.5"": 1.0, ""13.5"": 0.98}"	7.57e-10	-0.3485406167449715	-0.23074312065322733	0.771675	False	NA	NA	False	NA	none	0:inside:PUM1:protein_coding	93106:upstream:SNORD103B:snoRNA,74072:upstream:SNORD85:snoRNA,5068:downstream:RP11-201O14.1:processed_pseudogene,8519:upstream:RP11-201O14.2:processed_pseudogene,52634:downstream:SELENOWP1:processed_pseudogene,65835:downstream:RP11-490K7.1:processed_pseudogene,0:inside:PUM1:protein_coding	intron:PUM1:protein_coding	transcribed;PUM1-215:nonsense_mediated_decay:3,PUM1-209:nonsense_mediated_decay:5,PUM1-213:retained_intron:2,PUM1-201:protein_coding:1,PUM1-204:protein_coding:5,PUM1-206:protein_coding:1,PUM1-205:protein_coding:5,PUM1-214:protein_coding:5,PUM1-207:protein_coding:1,PUM1-202:protein_coding:1,PUM1-203:protein_coding:2,PUM1-218:nonsense_mediated_decay:2
1	1_39165059_40214945	39310121	39310136	39310115	STR_27470	1	A	15.0,16.0,17.0,18.0	16.0	"{""15.0"": 1011.99, ""16.0"": 884980.29, ""17.0"": 87895.79, ""18.0"": 929.81}"	"{""15.0"": 72, ""16.0"": 887332, ""17.0"": 87369, ""18.0"": 45}"	"{""[15.0, 15.0]"": 1, ""[15.0, 16.0]"": 69, ""[15.0, 17.0]"": 1, ""[16.0, 16.0]"": 403916, ""[16.0, 17.0]"": 79389, ""[16.0, 18.0]"": 42, ""[17.0, 17.0]"": 3988, ""[17.0, 18.0]"": 3}"	"{""15.0"": 528.29, ""16.0"": 552314.71, ""17.0"": 55931.81, ""18.0"": 541.19}"	"{""15.0"": 3, ""16.0"": 553712, ""17.0"": 55579, ""18.0"": 22}"	"{""[15.0, 16.0]"": 2, ""[15.0, 17.0]"": 1, ""[16.0, 16.0]"": 251592, ""[16.0, 17.0]"": 50507, ""[16.0, 18.0]"": 19, ""[17.0, 17.0]"": 2534, ""[17.0, 18.0]"": 3}"	0.0017552140432878834	0.1658648656011133	0.4411868642935994	1.0	"{""15.0"": 0.06, ""16.0"": 0.99, ""17.0"": 0.99, ""18.0"": 0.15}"	5.54e-11	0.5779697540825675	0.2419481381070647	1.0	False	NA	NA	False	NA	none	0:inside:RRAGC:protein_coding	29605:downstream:GJA9:protein_coding,82406:upstream:RNU6-605P:snRNA,28470:upstream:RP11-334L9.2:lncRNA,15448:upstream:RP5-864K19.4:lncRNA,18029:downstream:MYCBP:protein_coding,20037:downstream:RP5-864K19.6:protein_coding,41343:downstream:RHBDL2:protein_coding,0:inside:RRAGC:protein_coding,0:inside:RP5-864K19.7:lncRNA	multigene;intron:RRAGC:protein_coding;intron:RP5-864K19.7:lncRNA	transcribed;RRAGC-202:retained_intron:2,RRAGC-201:protein_coding:1,RP5-864K19.7-001:lncRNA:2
1	1_61545582_62047332	61690819	61690835	61690819	STR_41229	1	A	16.0,17.0,18.0	17.0	"{""16.0"": 74964.21, ""17.0"": 899798.78, ""18.0"": 54.94}"	"{""16.0"": 71418, ""17.0"": 903394, ""18.0"": 6}"	"{""[16.0, 16.0]"": 2686, ""[16.0, 17.0]"": 66046, ""[17.0, 17.0]"": 418671, ""[17.0, 18.0]"": 6}"	"{""16.0"": 48570.0, ""17.0"": 560729.23, ""18.0"": 16.77}"	"{""16.0"": 46763, ""17.0"": 562553}"	"{""[16.0, 16.0]"": 1794, ""[16.0, 17.0]"": 43175, ""[17.0, 17.0]"": 259689}"	2.7522664758516105e-05	0.141713309591954	0.3906109883195724	0.9958551349231632	"{""16.0"": 0.99, ""17.0"": 0.99, ""18.0"": ""NaN""}"	1.24e-15	-0.756174171110132	-0.2897048916509367	0.0716868	False	NA	NA	False	NA	none	0:inside:NFIA:protein_coding	23782:downstream:NFIA-AS1:lncRNA,0:inside:NFIA:protein_coding	intron:NFIA:protein_coding	transcribed;NFIA-209:protein_coding:3,NFIA-206:protein_coding:5,NFIA-221:nonsense_mediated_decay:missing from gencode,NFIA-208:protein_coding:2,NFIA-210:processed_transcript:5,NFIA-205:protein_coding:2,NFIA-220:protein_coding:missing from gencode,NFIA-222:nonsense_mediated_decay:missing from gencode,NFIA-218:nonsense_mediated_decay:missing from gencode,NFIA-207:protein_coding:1,NFIA-204:protein_coding:1,NFIA-212:protein_coding:5,NFIA-203:protein_coding:5,NFIA-202:protein_coding:5,NFIA-219:protein_coding:missing from gencode
1	1_61545582_62047332	61922332	61922364	61922332	STR_41355	3	AAT	8.0,9.67,10.0,11.0,12.0	11.0	"{""8.0"": 0.0, ""9.67"": 0.0, ""10.0"": 71512.7, ""11.0"": 902956.2, ""12.0"": 349.14}"	"{""10.0"": 72400, ""11.0"": 902414, ""12.0"": 4}"	"{""[10.0, 10.0]"": 2837, ""[10.0, 11.0]"": 66726, ""[11.0, 11.0]"": 417842, ""[11.0, 12.0]"": 4}"	"{""8.0"": 0.0, ""9.67"": 0.0, ""10.0"": 44378.6, ""11.0"": 564714.86, ""12.0"": 222.54}"	"{""10.0"": 45241, ""11.0"": 564073, ""12.0"": 2}"	"{""[10.0, 10.0]"": 1703, ""[10.0, 11.0]"": 41835, ""[11.0, 11.0]"": 261118, ""[11.0, 12.0]"": 2}"	0.00036522920783304554	0.1374779594994756	0.3816472140807225	0.8087650944446753	"{""8.0"": ""NaN"", ""9.67"": ""NaN"", ""10.0"": 0.97, ""11.0"": 0.97, ""12.0"": 0.02}"	8.62e-09	0.4715321961280741	0.1738247723354441	0.829732	False	NA	NA	False	NA	0:inside:61920975:61923683:NFIA:protein_coding,0:inside:61920975:61923548:NFIA:protein_coding,0:inside:61920975:61923548:NFIA:protein_coding,0:downstream:61920975:61922350:NFIA:protein_coding,0:inside:61920975:61923548:NFIA:protein_coding,0:inside:61920975:61928460:NFIA:protein_coding,266:downstream:61920975:61922066:NFIA:protein_coding,0:inside:61920975:61922414:NFIA:protein_coding,0:inside:61920975:61923548:NFIA:protein_coding,786:downstream:61920975:61921546:NFIA:protein_coding,0:inside:61920975:61923709:NFIA:protein_coding	0:inside:NFIA:protein_coding	24395:upstream:RP11-430G17.4:lncRNA,0:inside:NFIA:protein_coding	three_prime_UTR:NFIA:protein_coding	transcribed;NFIA-201:protein_coding:2,NFIA-221:nonsense_mediated_decay:missing from gencode,NFIA-220:protein_coding:missing from gencode,NFIA-222:nonsense_mediated_decay:missing from gencode,NFIA-218:nonsense_mediated_decay:missing from gencode,NFIA-207:protein_coding:1,NFIA-219:protein_coding:missing from gencode,NFIA-217:protein_coding:missing from gencode,NFIA-216:nonsense_mediated_decay:missing from gencode
1	1_92539966_94128816	92847141	92847161	92847141	STR_57359	1	T	20.0,21.0,22.0,23.0,24.0	21.0	"{""20.0"": 20091.13, ""21.0"": 165087.27, ""22.0"": 12273.61, ""23.0"": 760915.47, ""24.0"": 16451.64}"	"{""20.0"": 18978, ""21.0"": 166163, ""22.0"": 11308, ""23.0"": 764934, ""24.0"": 13435}"	"{""[20.0, 20.0]"": 177, ""[20.0, 21.0]"": 3425, ""[20.0, 22.0]"": 166, ""[20.0, 23.0]"": 14807, ""[20.0, 24.0]"": 226, ""[21.0, 21.0]"": 14532, ""[21.0, 22.0]"": 1553, ""[21.0, 23.0]"": 129975, ""[21.0, 24.0]"": 2146, ""[22.0, 22.0]"": 455, ""[22.0, 23.0]"": 8305, ""[22.0, 24.0]"": 374, ""[23.0, 23.0]"": 300753, ""[23.0, 24.0]"": 10341, ""[24.0, 24.0]"": 174}"	"{""20.0"": 13346.9, ""21.0"": 108045.51, ""22.0"": 5205.42, ""23.0"": 473623.03, ""24.0"": 9095.64}"	"{""20.0"": 12614, ""21.0"": 108760, ""22.0"": 4577, ""23.0"": 476089, ""24.0"": 7276}"	"{""[20.0, 20.0]"": 119, ""[20.0, 21.0]"": 2311, ""[20.0, 22.0]"": 89, ""[20.0, 23.0]"": 9857, ""[20.0, 24.0]"": 119, ""[21.0, 21.0]"": 9698, ""[21.0, 22.0]"": 768, ""[21.0, 23.0]"": 84976, ""[21.0, 24.0]"": 1309, ""[22.0, 22.0]"": 15, ""[22.0, 23.0]"": 3626, ""[22.0, 24.0]"": 64, ""[23.0, 23.0]"": 185975, ""[23.0, 24.0]"": 5680, ""[24.0, 24.0]"": 52}"	0.045375367317313745	0.3570041872120228	0.9669708816459212	0.8962037773915655	"{""20.0"": 0.95, ""21.0"": 0.99, ""22.0"": 0.98, ""23.0"": 0.99, ""24.0"": 0.9}"	6.33e-14	0.2466273081405898	0.3037679703904022	0.31435	False	NA	NA	False	NA	711:downstream:92846281:92846430:RPAP2:protein_coding,711:downstream:92846281:92846430:RPAP2:protein_coding	0:inside:RPAP2:protein_coding	20787:downstream:RN7SL824P:misc_RNA,82597:upstream:GLMN:protein_coding,91439:downstream:GFI1:protein_coding,0:inside:RPAP2:protein_coding	intron:RPAP2:protein_coding	transcribed;RPAP2-203:protein_coding:1,RPAP2-201:retained_intron:2
1	1_92539966_94128816	93714530	93714551	93714524	STR_58061	1	A	19.0,20.0,21.0,22.0,23.0,24.0	22.0	"{""19.0"": 78.64, ""20.0"": 155397.23, ""21.0"": 189391.12, ""22.0"": 612527.34, ""23.0"": 17152.94, ""24.0"": 303.9}"	"{""19.0"": 48, ""20.0"": 154187, ""21.0"": 189499, ""22.0"": 614756, ""23.0"": 16047, ""24.0"": 281}"	"{""[19.0, 20.0]"": 10, ""[19.0, 21.0]"": 12, ""[19.0, 22.0]"": 23, ""[19.0, 23.0]"": 3, ""[20.0, 20.0]"": 12330, ""[20.0, 21.0]"": 29773, ""[20.0, 22.0]"": 97103, ""[20.0, 23.0]"": 2597, ""[20.0, 24.0]"": 44, ""[21.0, 21.0]"": 19217, ""[21.0, 22.0]"": 117982, ""[21.0, 23.0]"": 3198, ""[21.0, 24.0]"": 100, ""[22.0, 22.0]"": 194738, ""[22.0, 23.0]"": 10048, ""[22.0, 24.0]"": 124, ""[23.0, 23.0]"": 97, ""[23.0, 24.0]"": 7, ""[24.0, 24.0]"": 3}"	"{""19.0"": 22.55, ""20.0"": 95234.79, ""21.0"": 118070.42, ""22.0"": 385405.14, ""23.0"": 10591.11, ""24.0"": 12.27}"	"{""19.0"": 3, ""20.0"": 94376, ""21.0"": 118275, ""22.0"": 386545, ""23.0"": 10107, ""24.0"": 10}"	"{""[19.0, 22.0]"": 2, ""[19.0, 23.0]"": 1, ""[20.0, 20.0]"": 7257, ""[20.0, 21.0]"": 18542, ""[20.0, 22.0]"": 59737, ""[20.0, 23.0]"": 1582, ""[20.0, 24.0]"": 1, ""[21.0, 21.0]"": 11655, ""[21.0, 22.0]"": 74470, ""[21.0, 23.0]"": 1951, ""[21.0, 24.0]"": 2, ""[22.0, 22.0]"": 122936, ""[22.0, 23.0]"": 6457, ""[22.0, 24.0]"": 7, ""[23.0, 23.0]"": 58}"	0.17373119486665065	0.5356025081110494	1.3907941857216946	0.1239410481336404	"{""19.0"": 0.42, ""20.0"": 0.99, ""21.0"": 0.99, ""22.0"": 0.99, ""23.0"": 0.94, ""24.0"": 0.71}"	3.85e-12	-0.23852424249756235	-0.26076076716382157	0.0918148	False	NA	NA	False	NA	none	0:inside:CCDC18:protein_coding	57913:upstream:RP4-612C19.1:processed_pseudogene,49034:upstream:RP4-612C19.2:processed_pseudogene,29967:downstream:RP4-717I23.2:processed_pseudogene,68457:upstream:TMED5:protein_coding,13192:downstream:CCDC18-AS1:lncRNA,96913:upstream:DR1:protein_coding,0:inside:CCDC18:protein_coding	intron:CCDC18:protein_coding	transcribed;CCDC18-201:protein_coding:5,CCDC18-203:protein_coding:1,CCDC18-202:protein_coding:5
