chrom	start	end	any_strs
1	741893	1027764	False
1	1049282	1299282	True
1	1398601	1689194	True
1	2177471	2469925	True
1	19430673	24309348	True
1	24624270	25229702	True
1	25438792	26325049	False
1	26862646	27460529	True
1	28168524	28418524	False
1	29949945	30199945	False
1	39426488	40214945	True
1	42320113	42578317	True
1	43892816	44420047	True
1	65094883	66340433	True
1	67931314	68187148	True
1	78224467	78575517	True
1	92816357	94132922	True
1	101470785	101781441	True
1	109502326	109798020	True
1	113951396	114502568	True
1	117752073	118002077	True
1	154238443	154693683	True
1	161274920	162031337	True
1	172271020	172521020	True
1	177805642	178090223	True
1	180778388	181034061	True
1	184547098	185496215	True
1	196299797	196549797	True
1	196837982	197087982	True
1	205516826	205926872	True
1	211568627	211948764	True
1	214004675	214535272	True
1	219948149	220210453	True
1	220725343	221157881	True
1	234600135	234978406	True
1	247475301	247740261	True
2	3507442	3773186	True
2	17795545	18063501	True
2	21140141	21575824	True
2	25149507	25399507	True
2	26993679	28821862	True
2	30532532	30903584	True
2	32718295	32994242	True
2	43325843	43719091	True
2	43728510	44059332	True
2	47058472	47356674	True
2	48365449	48898295	True
2	54491729	54809666	True
2	61242664	61952148	True
2	64788045	65113266	True
2	68837137	69131495	True
2	70074756	70613470	True
2	88299066	88597249	True
2	108825057	109443148	True
2	111743691	112058001	True
2	113712416	114293975	True
2	121181440	121435269	True
2	134718294	135258737	True
2	158306644	158606992	True
2	165377911	165683252	True
2	166410918	166747008	True
2	169628415	170093236	True
2	171637882	172167739	True
2	181703140	182211795	True
2	191971719	192306678	True
2	198971120	199727744	True
2	202845250	204566397	True
2	208328448	208661939	True
2	211415507	211668055	True
2	218822515	219416481	True
2	219499980	219749980	True
2	234018048	234426980	True
2	242036315	242559316	True
3	4632859	4889466	False
3	11915065	12764802	True
3	45785946	46339685	True
3	46832777	48266643	True
3	48295104	50019030	True
3	52455173	52705173	True
3	53052276	53310626	True
3	98311188	98915767	True
3	100803788	101453165	True
3	114336208	114589858	True
3	119401349	119947183	True
3	131992785	132572137	True
3	135494585	136877590	True
3	142583233	142938964	True
3	155407694	155693978	True
3	186607955	186857955	True
3	188275239	188529669	True
4	16039327	16321478	True
4	23765582	24024510	True
4	37273715	37654168	True
4	38488107	38841721	True
4	69172170	69724531	True
4	69805291	70055291	True
4	77071677	77564399	True
4	83117394	83416011	True
4	88843713	89120795	True
4	99579167	100447786	True
4	103271333	104265848	True
4	105883586	106511760	True
4	110985678	111253820	True
4	128488119	129249479	True
4	129256454	129506454	True
4	146623044	146946410	True
4	148795620	149229383	True
4	150934523	151483645	True
4	154040679	154379534	True
5	34588792	34853419	False
5	36478057	36790823	True
5	37051865	37301865	True
5	51937147	52318125	True
5	55728349	55986894	True
5	68252251	68551570	True
5	71565342	72118411	True
5	77164748	77643978	True
5	81591027	82030703	True
5	88144405	88693197	True
5	115018284	115290847	True
5	132224654	132569128	True
5	158377378	158647577	True
5	178423514	178712296	True
6	6934872	7378731	True
6	15400453	15844796	True
6	23211694	25123665	True
6	33423493	33673493	True
6	34358749	35572267	True
6	44426487	44960703	True
6	53774341	54085803	True
6	100265234	100515234	False
6	109447299	109776220	True
6	116112983	116571576	True
6	127314897	127579893	False
6	131874582	132174657	True
6	151728300	152037597	True
6	158257687	158617660	True
6	160396885	160676486	True
7	949026	1294102	True
7	19925603	20183327	True
7	22768795	23018795	True
7	23463134	23946784	True
7	41910200	42215528	True
7	44097220	44392538	True
7	65088947	65338947	True
7	72274267	73185006	True
7	95992918	96772184	True
7	100155896	100657540	True
7	106659234	107429628	True
7	126109289	127967452	True
7	128448967	128704202	True
7	134406190	134701840	True
7	134732576	135045148	True
7	150372496	150671616	True
7	150781453	151080871	True
8	6433964	6732634	True
8	7759119	12420028	True
8	19638992	20069078	True
8	30047267	30386968	True
8	70892438	71533716	True
8	74732165	75032295	True
8	103691785	104049469	True
8	119577615	120341830	True
8	126290148	126784839	True
8	145381363	146100269	True
9	5419740	6132500	True
9	18504283	18754283	True
9	33704081	34270804	True
9	34458636	34788798	True
9	98423449	98908788	True
9	103989796	104714009	True
9	117026539	117356295	True
9	123391414	124193784	True
9	126854082	127127414	True
9	133310530	133626018	True
9	135104366	136653124	True
9	139123897	139518175	True
10	4993231	5481763	True
10	18694439	18944439	True
10	22792449	23051400	True
10	26062530	26619739	True
10	28730881	28980881	True
10	45827745	46394003	True
10	64338075	65860897	True
10	74587546	74837546	True
10	79401766	79837045	True
10	80948027	81224082	True
10	90877927	91286536	True
10	93320647	93782148	True
10	95884182	96194405	True
10	96261206	96875759	True
10	101930546	102529500	True
10	103009103	105418325	True
10	113758047	114175642	True
10	116444565	116769972	True
10	120297177	120664962	True
10	130745476	131055938	True
11	68797	490894	True
11	5487874	5844251	True
11	8650183	9206661	True
11	16106667	16930226	True
11	46878528	47138385	True
11	47210838	48071836	True
11	61396318	61810790	True
11	62074457	62326239	True
11	68437328	68687328	True
11	75323805	75694150	True
11	101922472	102233956	True
11	118334069	118898905	True
11	125859426	126478889	True
11	128532908	128814637	True
11	134131805	134421384	True
11	134486280	134737887	True
12	209052	890913	True
12	4416155	4976777	True
12	14359490	14784441	True
12	26315698	26624556	True
12	51359495	51609495	True
12	53131268	53407035	True
12	53487470	54236965	True
12	57520789	57969049	True
12	98747605	99007044	True
12	100801308	101051308	True
12	106389116	106646329	True
12	106955945	107503724	True
12	109248047	109498047	False
12	109536672	109786672	True
12	109798892	110048892	True
12	111537320	113290852	True
12	120710887	121948309	True
12	124007797	124353300	False
13	41321719	41814067	True
13	42018926	42268926	True
13	42527332	43527001	True
13	74600245	74988339	True
13	95028167	95461926	True
13	110961506	111247277	True
13	113802208	114052208	False
13	114416617	114680906	True
14	24669314	25008887	True
14	35925217	36410929	True
14	69612672	69892914	True
14	72842773	73144236	True
14	73156466	73852246	True
14	74623399	74873399	False
14	75293417	75912011	True
14	92943516	93243229	True
14	94456899	95002868	True
14	102011043	102335170	True
14	103433841	103701803	True
15	42974550	45072434	True
15	51411141	51662806	True
15	58377135	58867731	True
15	74902880	75152880	False
15	89328788	89677662	True
15	90554410	90943641	True
15	96579443	96839816	True
16	1961421	2425262	True
16	4156391	4492662	True
16	4585898	4835898	True
16	11635186	12036165	True
16	27969759	28373400	True
16	30432392	30937608	True
16	47137264	47387264	True
16	47573716	47920955	True
16	53303157	53663157	True
16	55666809	55991016	False
16	58424341	58785664	True
16	67448296	68553740	True
16	69450357	69937011	True
16	70907481	71157963	False
16	71275131	73002335	True
16	79480009	80237076	True
16	80555573	80980203	True
16	83815494	84124565	True
16	88385175	88651568	True
16	89557006	89881473	True
17	1484267	1782653	True
17	1832146	2738925	True
17	4617243	4954817	True
