chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	direction_of_association	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	FINEMAP_pcausal	SuSiE_pcausal	SuSiE_CS_pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_19430673_24309348	21956760	21956778	21956759	STR_14071	1	A	18.0,19.0,20.0	19.0	"{""18.0"": 3902.61, ""19.0"": 652169.38, ""20.0"": 318746.0}"	"{""18.0"": 2518, ""19.0"": 653521, ""20.0"": 318779}"	"{""[18.0, 18.0]"": 7, ""[18.0, 19.0]"": 1679, ""[18.0, 20.0]"": 825, ""[19.0, 19.0]"": 219522, ""[19.0, 20.0]"": 212798, ""[20.0, 20.0]"": 52578}"	"{""18.0"": 2650.57, ""19.0"": 441602.92, ""20.0"": 217150.51}"	"{""18.0"": 1727, ""19.0"": 442379, ""20.0"": 217298}"	"{""[18.0, 18.0]"": 5, ""[18.0, 19.0]"": 1134, ""[18.0, 20.0]"": 583, ""[19.0, 19.0]"": 147596, ""[19.0, 20.0]"": 146053, ""[20.0, 20.0]"": 35331}"	0.004007490127063036	0.4446961550952915	0.9380938058614828	0.0132297625613177	"{""18.0"": 0.91, ""19.0"": 1.0, ""20.0"": 1.0}"	0.0	-	-2.282171965722757	-1.5382177944659743	0.0	1.0	1.0	False	NA	NA	False	NA	none	0:inside:RAP1GAP:protein_coding	39080:downstream:LINC02596:lncRNA,37719:upstream:AL359815.1:miRNA,0:inside:RAP1GAP:protein_coding,51857:downstream:ALPL:protein_coding,48013:downstream:USP48:protein_coding	intron:RAP1GAP:protein_coding	transcribed;RAP1GAP-201:protein_coding:5,RAP1GAP-206:protein_coding:1,RAP1GAP-209:nonsense_mediated_decay:5,RAP1GAP-213:retained_intron:5,RAP1GAP-212:protein_coding:1,RAP1GAP-211:protein_coding:1,RAP1GAP-203:processed_transcript:5,RAP1GAP-202:protein_coding:2,RAP1GAP-207:protein_coding:2,RAP1GAP-210:processed_transcript:5,RAP1GAP-208:processed_transcript:3
1	1_65094883_66340433	66166913	66166941	66166913	STR_44154	1	A	28.0,29.0	29.0	"{""28.0"": 647087.38, ""29.0"": 327730.55}"	"{""28.0"": 645270, ""29.0"": 329548}"	"{""[28.0, 28.0]"": 214134, ""[28.0, 29.0]"": 217002, ""[29.0, 29.0]"": 56273}"	"{""28.0"": 439451.52, ""29.0"": 221952.48}"	"{""28.0"": 438061, ""29.0"": 223343}"	"{""[28.0, 28.0]"": 144919, ""[28.0, 29.0]"": 148223, ""[29.0, 29.0]"": 37560}"	0.0	0.447304530696746	0.922581446116124	0.2965073489564001	"{""28.0"": 0.99, ""29.0"": 0.99}"	9.28e-20	-	-0.5033228490089634	-0.3361091328927574	0.909338	NA	NA	False	NA	NA	False	NA	none	2704:upstream:RP11-433N2.1:lncRNA	59802:downstream:RN7SL854P:misc_RNA,2704:upstream:RP11-433N2.1:lncRNA,91256:upstream:PDE4B:protein_coding,59671:downstream:LEPR:protein_coding	intergenic	untranscribed
1	1_92816357_94132922	93832707	93832723	93832702	STR_58142	1	A	10.0,17.0,18.0,19.0	17.0	"{""10.0"": 606279.38, ""17.0"": 175583.74, ""18.0"": 177368.07, ""19.0"": 15587.15}"	"{""10.0"": 606535, ""17.0"": 175575, ""18.0"": 177158, ""19.0"": 15550}"	"{""[10.0, 10.0]"": 190693, ""[10.0, 17.0]"": 108613, ""[10.0, 18.0]"": 107250, ""[10.0, 19.0]"": 9286, ""[17.0, 17.0]"": 16337, ""[17.0, 18.0]"": 31414, ""[17.0, 19.0]"": 2874, ""[18.0, 18.0]"": 17684, ""[18.0, 19.0]"": 3126, ""[19.0, 19.0]"": 132}"	"{""10.0"": 416990.8, ""17.0"": 121634.68, ""18.0"": 112726.07, ""19.0"": 10052.64}"	"{""10.0"": 417167, ""17.0"": 121625, ""18.0"": 112540, ""19.0"": 10072}"	"{""[10.0, 10.0]"": 131838, ""[10.0, 17.0]"": 76242, ""[10.0, 18.0]"": 70958, ""[10.0, 19.0]"": 6291, ""[17.0, 17.0]"": 11344, ""[17.0, 18.0]"": 20777, ""[17.0, 19.0]"": 1918, ""[18.0, 18.0]"": 9534, ""[18.0, 19.0]"": 1737, ""[19.0, 19.0]"": 63}"	0.18563340217121999	0.539181109981777	1.3953260694836045	0.1792381233170481	"{""10.0"": 1.0, ""17.0"": 1.0, ""18.0"": 1.0, ""19.0"": 0.98}"	1.64e-11	+	0.04820898718378377	0.24938105566981336	0.106229	NA	NA	False	NA	NA	False	NA	0:inside:93826050:93835050:DR1:protein_coding	0:inside:DR1:protein_coding	88021:upstream:RP4-717I23.2:processed_pseudogene,17321:downstream:RP4-713B5.2:processed_pseudogene,18545:upstream:Y_RNA:misc_RNA,21125:upstream:CCDC18-AS1:lncRNA,0:inside:DR1:protein_coding,88420:downstream:CCDC18:protein_coding,80952:upstream:FNBP1L:protein_coding	three_prime_UTR:DR1:protein_coding	transcribed;DR1-202:protein_coding:1
1	1_92816357_94132922	93858126	93858136	93858126	STR_58152	1	A	10.0,11.0,12.0,13.0	11.0	"{""10.0"": 182713.42, ""11.0"": 184683.65, ""12.0"": 606816.41, ""13.0"": 604.48}"	"{""10.0"": 182718, ""11.0"": 184681, ""12.0"": 607179, ""13.0"": 240}"	"{""[10.0, 10.0]"": 17349, ""[10.0, 11.0]"": 34373, ""[10.0, 12.0]"": 113603, ""[10.0, 13.0]"": 44, ""[11.0, 11.0]"": 19533, ""[11.0, 12.0]"": 111188, ""[11.0, 13.0]"": 54, ""[12.0, 12.0]"": 191123, ""[12.0, 13.0]"": 142}"	"{""10.0"": 121476.49, ""11.0"": 122132.54, ""12.0"": 417377.13, ""13.0"": 417.84}"	"{""10.0"": 121514, ""11.0"": 122096, ""12.0"": 417622, ""13.0"": 172}"	"{""[10.0, 10.0]"": 11140, ""[10.0, 11.0]"": 22590, ""[10.0, 12.0]"": 76615, ""[10.0, 13.0]"": 29, ""[11.0, 11.0]"": 11431, ""[11.0, 12.0]"": 76603, ""[11.0, 13.0]"": 41, ""[12.0, 12.0]"": 132151, ""[12.0, 13.0]"": 102}"	0.18429633023084227	0.5334808547555144	1.3209960990481897	0.1225506380130736	"{""10.0"": 1.0, ""11.0"": 1.0, ""12.0"": 1.0, ""13.0"": 0.87}"	4.61e-12	-	-0.2226963650718652	-0.24717399250091418	0.0509572	NA	NA	False	NA	NA	False	NA	none	6752:downstream:Y_RNA:misc_RNA	7571:upstream:RP4-713B5.2:processed_pseudogene,6752:downstream:Y_RNA:misc_RNA,95754:downstream:RNA5SP53:rRNA_pseudogene,46544:upstream:CCDC18-AS1:lncRNA,23076:downstream:DR1:protein_coding,55539:upstream:FNBP1L:protein_coding	intergenic	untranscribed
1	1_109502326_109798020	109636114	109636127	109636112	STR_65850	1	A	14.0,15.0,16.0	14.0	"{""14.0"": 808295.27, ""15.0"": 165843.44, ""16.0"": 679.25}"	"{""14.0"": 808507, ""15.0"": 165691, ""16.0"": 620}"	"{""[14.0, 14.0]"": 335405, ""[14.0, 15.0]"": 137230, ""[14.0, 16.0]"": 467, ""[15.0, 15.0]"": 14160, ""[15.0, 16.0]"": 141, ""[16.0, 16.0]"": 6}"	"{""14.0"": 549874.32, ""15.0"": 111398.46, ""16.0"": 131.22}"	"{""14.0"": 549933, ""15.0"": 111364, ""16.0"": 107}"	"{""[14.0, 14.0]"": 228553, ""[14.0, 15.0]"": 92738, ""[14.0, 16.0]"": 89, ""[15.0, 15.0]"": 9304, ""[15.0, 16.0]"": 18}"	0.00019839613912223092	0.2803189456318837	0.6562019993747934	0.5798308589405512	"{""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.97}"	3.98e-14	-	-0.6041153604955412	-0.32048763650423967	0.0105323	0.0556	0.035	False	NA	NA	False	NA	0:inside:109635512:109636398:TMEM167B:protein_coding,471:downstream:109635512:109635643:TMEM167B:protein_coding,410:downstream:109635512:109635704:TMEM167B:protein_coding,471:downstream:109635512:109635643:TMEM167B:protein_coding,912:upstream:109637039:109637611:TMEM167B:protein_coding,912:upstream:109637039:109639543:TMEM167B:protein_coding,912:upstream:109637039:109639556:TMEM167B:protein_coding	0:inside:TMEM167B:protein_coding	63173:downstream:RP11-20O24.1:processed_pseudogene,46010:downstream:RANP5:processed_pseudogene,2634:upstream:TMEM167B-DT:lncRNA,0:inside:TMEM167B:protein_coding,6688:upstream:SCARNA2:lncRNA,10030:downstream:RP5-1065J22.4:processed_pseudogene,12446:downstream:C1orf194:protein_coding,17489:upstream:TAF13:protein_coding,51379:upstream:WDR47:protein_coding,20174:upstream:ELAPOR1:protein_coding	exon_other:TMEM167B:protein_coding	transcribed;TMEM167B-201:protein_coding:1,TMEM167B-204:protein_coding:missing from gencode,TMEM167B-203:processed_transcript:3,TMEM167B-202:processed_transcript:2
1	1_109502326_109798020	109641288	109641314	109641288	STR_65854	4	ACAT	5.75,6.75,7.75	6.75	"{""5.75"": 166908.16, ""6.75"": 779100.9, ""7.75"": 28808.92}"	"{""5.75"": 166179, ""6.75"": 783929, ""7.75"": 24710}"	"{""[5.75, 5.75]"": 14292, ""[5.75, 6.75]"": 133398, ""[5.75, 7.75]"": 4197, ""[6.75, 6.75]"": 315352, ""[6.75, 7.75]"": 19827, ""[7.75, 7.75]"": 343}"	"{""5.75"": 111812.09, ""6.75"": 529272.98, ""7.75"": 20318.93}"	"{""5.75"": 111350, ""6.75"": 532506, ""7.75"": 17548}"	"{""[5.75, 5.75]"": 9304, ""[5.75, 6.75]"": 89763, ""[5.75, 7.75]"": 2979, ""[6.75, 6.75]"": 214340, ""[6.75, 7.75]"": 14063, ""[7.75, 7.75]"": 253}"	0.03072090583062697	0.3227435400159075	0.8234515475344975	0.7859925502197715	"{""5.75"": 1.0, ""6.75"": 0.98, ""7.75"": 0.91}"	3.53e-16	+	0.5790068250823891	0.34801910694315835	0.57445	0.1418	0.1186	False	NA	NA	False	NA	none	1501:upstream:SCARNA2:lncRNA	68347:downstream:RP11-20O24.1:processed_pseudogene,51184:downstream:RANP5:processed_pseudogene,7808:upstream:TMEM167B-DT:lncRNA,1732:downstream:TMEM167B:protein_coding,1501:upstream:SCARNA2:lncRNA,4843:downstream:RP5-1065J22.4:processed_pseudogene,7259:downstream:C1orf194:protein_coding,22663:upstream:TAF13:protein_coding,56553:upstream:WDR47:protein_coding,14987:upstream:ELAPOR1:protein_coding	intergenic	untranscribed
1	1_117752073_118002077	117877078	117877096	117877073	STR_70417	1	A	16.0,17.0,18.0,19.0,20.0,21.0	19.0	"{""16.0"": 11651.82, ""17.0"": 508222.16, ""18.0"": 4056.71, ""19.0"": 449107.4, ""20.0"": 1454.84, ""21.0"": 356.38}"	"{""16.0"": 11396, ""17.0"": 510105, ""18.0"": 2280, ""19.0"": 450120, ""20.0"": 577, ""21.0"": 340}"	"{""[16.0, 16.0]"": 74, ""[16.0, 17.0]"": 5884, ""[16.0, 18.0]"": 17, ""[16.0, 19.0]"": 5340, ""[16.0, 20.0]"": 7, ""[17.0, 17.0]"": 133418, ""[17.0, 18.0]"": 1061, ""[17.0, 19.0]"": 235900, ""[17.0, 20.0]"": 271, ""[17.0, 21.0]"": 153, ""[18.0, 18.0]"": 47, ""[18.0, 19.0]"": 1089, ""[18.0, 21.0]"": 19, ""[19.0, 19.0]"": 103668, ""[19.0, 20.0]"": 295, ""[19.0, 21.0]"": 160, ""[20.0, 20.0]"": 2, ""[21.0, 21.0]"": 4}"	"{""16.0"": 8284.34, ""17.0"": 346838.4, ""18.0"": 1764.42, ""19.0"": 303670.53, ""20.0"": 855.26, ""21.0"": 12.6}"	"{""16.0"": 8122, ""17.0"": 348019, ""18.0"": 619, ""19.0"": 304369, ""20.0"": 269, ""21.0"": 6}"	"{""[16.0, 16.0]"": 55, ""[16.0, 17.0]"": 4255, ""[16.0, 18.0]"": 11, ""[16.0, 19.0]"": 3742, ""[16.0, 20.0]"": 4, ""[17.0, 17.0]"": 91344, ""[17.0, 18.0]"": 312, ""[17.0, 19.0]"": 160627, ""[17.0, 20.0]"": 133, ""[17.0, 21.0]"": 4, ""[18.0, 18.0]"": 2, ""[18.0, 19.0]"": 292, ""[19.0, 19.0]"": 69787, ""[19.0, 20.0]"": 132, ""[19.0, 21.0]"": 2}"	0.01650468446524329	0.5112091251170712	1.094809281123722	0.1126712332240457	"{""16.0"": 0.96, ""17.0"": 0.99, ""18.0"": 0.7, ""19.0"": 1.0, ""20.0"": 0.77, ""21.0"": 0.9}"	2.62e-09	+	0.19391447391481076	0.27848880931330894	0.913329	NA	NA	False	NA	NA	False	NA	none	13120:downstream:LINC01525:lncRNA	30425:downstream:RP11-188D8.1:lncRNA,13120:downstream:LINC01525:lncRNA,32975:upstream:MAN1A2:protein_coding	intergenic	untranscribed
1	1_154238443_154693683	154386246	154386263	154386243	STR_75881	1	A	17.0,18.0,19.0,20.0	18.0	"{""17.0"": 342.07, ""18.0"": 764992.19, ""19.0"": 209483.78, ""20.0"": 0.0}"	"{""17.0"": 296, ""18.0"": 765938, ""19.0"": 208584}"	"{""[17.0, 17.0]"": 1, ""[17.0, 18.0]"": 225, ""[17.0, 19.0]"": 69, ""[18.0, 18.0]"": 301227, ""[18.0, 19.0]"": 163259, ""[19.0, 19.0]"": 22628}"	"{""17.0"": 120.94, ""18.0"": 517320.09, ""19.0"": 143962.97, ""20.0"": 0.0}"	"{""17.0"": 67, ""18.0"": 517808, ""19.0"": 143529}"	"{""[17.0, 18.0]"": 52, ""[17.0, 19.0]"": 15, ""[18.0, 18.0]"": 202806, ""[18.0, 19.0]"": 112144, ""[19.0, 19.0]"": 15685}"	0.00018285344509558454	0.339988027594993	0.7561182964257206	0.4119608895641479	"{""17.0"": 0.77, ""18.0"": 0.97, ""19.0"": 0.97, ""20.0"": ""NaN""}"	1.34e-16	-	-0.5476256176100982	-0.31983217151784876	0.651357	0.6475	0.6428	False	NA	NA	False	NA	582:downstream:154386845:154387613:PSMD8P1:processed_pseudogene	0:inside:IL6R:protein_coding	88445:downstream:AQP10:protein_coding,74968:downstream:RNU7-57P:snRNA,34497:upstream:RP11-350G8.4:unprocessed_pseudogene,34681:upstream:RPSAP17:processed_pseudogene,7206:upstream:IL6R-AS1:lncRNA,582:downstream:PSMD8P1:processed_pseudogene,66225:upstream:RP11-350G8.9:lncRNA,62466:downstream:ATP8B2:protein_coding,55985:downstream:SHE:protein_coding,88432:upstream:TDRD10:protein_coding,0:inside:IL6R:protein_coding	intron:IL6R:protein_coding	transcribed;IL6R-208:protein_coding:1,IL6R-201:protein_coding:1,IL6R-202:protein_coding:1,IL6R-206:protein_coding:4
1	1_154238443_154693683	154428683	154428698	154428683	STR_75921	1	A	15.0,16.0,17.0	16.0	"{""15.0"": 0.0, ""16.0"": 583911.41, ""17.0"": 390906.62}"	"{""16.0"": 583566, ""17.0"": 391252}"	"{""[16.0, 16.0]"": 175624, ""[16.0, 17.0]"": 232318, ""[17.0, 17.0]"": 79467}"	"{""15.0"": 0.0, ""16.0"": 390741.72, ""17.0"": 270662.28}"	"{""16.0"": 390477, ""17.0"": 270927}"	"{""[16.0, 16.0]"": 115436, ""[16.0, 17.0]"": 159605, ""[17.0, 17.0]"": 55661}"	0.0	0.4836643834309089	0.9763026510949828	0.231977123089478	"{""15.0"": ""NaN"", ""16.0"": 1.0, ""17.0"": 1.0}"	3.26e-41	-	-0.730346928862943	-0.5078508083030411	0.198408	0.1987	0.1882	False	NA	NA	False	NA	none	0:inside:IL6R:protein_coding	76934:upstream:RP11-350G8.4:unprocessed_pseudogene,77118:upstream:RPSAP17:processed_pseudogene,49643:upstream:IL6R-AS1:lncRNA,41070:upstream:PSMD8P1:processed_pseudogene,23790:upstream:RP11-350G8.9:lncRNA,92355:downstream:UBE2Q1:protein_coding,97387:upstream:UBE2Q1-AS1:lncRNA,13550:downstream:SHE:protein_coding,45997:upstream:TDRD10:protein_coding,0:inside:IL6R:protein_coding	intron:IL6R:protein_coding	transcribed;IL6R-205:processed_transcript:4,IL6R-204:retained_intron:2,IL6R-201:protein_coding:1,IL6R-202:protein_coding:1
1	1_205516826_205926872	205714617	205714627	205714617	STR_104711	1	A	10.0,11.0	11.0	"{""10.0"": 274119.69, ""11.0"": 700698.31}"	"{""10.0"": 274126, ""11.0"": 700692}"	"{""[10.0, 10.0]"": 39164, ""[10.0, 11.0]"": 195798, ""[11.0, 11.0]"": 252447}"	"{""10.0"": 189125.71, ""11.0"": 472278.29}"	"{""10.0"": 189140, ""11.0"": 472264}"	"{""[10.0, 10.0]"": 27234, ""[10.0, 11.0]"": 134672, ""[11.0, 11.0]"": 168796}"	0.0	0.4083801152767279	0.8634549765104875	0.1788364363654786	"{""10.0"": 1.0, ""11.0"": 1.0}"	6.81e-12	-	-0.438095114218811	-0.2799567011022827	0.786069	NA	NA	False	NA	NA	False	NA	none	0:inside:NUCKS1:protein_coding	14137:upstream:SNORA72:snoRNA,22487:downstream:RAB29:protein_coding,64980:upstream:SLC45A3:protein_coding,0:inside:NUCKS1:protein_coding,30060:upstream:RP11-212H11.5:lncRNA,43595:downstream:SLC41A1:protein_coding,82526:downstream:PM20D1:protein_coding,67823:upstream:RP4-681L3.3:lncRNA	intron:NUCKS1:protein_coding	transcribed;NUCKS1-201:protein_coding:1
