chrom	start	end	any_strs
1	2039116	2417653	True
1	3180016	3439596	False
1	7614140	8048501	True
1	9777128	10279574	True
1	16379381	16631924	True
1	24757805	25354307	True
1	25402587	26024165	True
1	28081250	28340835	True
1	29059254	29701784	True
1	35114031	35430868	True
1	38120517	38448553	True
1	40703444	40974203	False
1	45041513	46756166	True
1	52144046	52468297	True
1	54694977	55017482	True
1	55617210	55917334	True
1	56823290	57073290	True
1	62708553	63483816	True
1	65217021	65467021	False
1	77983268	78741594	True
1	89018305	89296221	True
1	92747889	93104062	True
1	94482071	95146919	True
1	95208957	96041885	True
1	112459207	112782830	True
1	112803593	113388711	True
1	114750819	115882563	True
1	117981653	118304371	True
1	153459392	154517674	True
1	156715814	157173876	True
1	158316462	158763260	False
1	159758964	160037527	True
1	160709616	161662846	True
1	170521806	173711881	True
1	173882156	174132156	False
1	198500766	198750766	True
1	198849904	199245973	True
1	204188456	204444499	True
1	204890284	205394501	True
1	207144205	207413392	True
1	211678761	211993723	True
1	224127747	224584225	True
1	225780014	226089342	True
1	230153291	230451412	True
1	230912165	231162166	True
1	236562145	236929375	True
1	243139751	243626583	True
1	247014900	248835118	True
1	248933639	249250621	False
2	11175732	11645560	True
2	11836501	12086501	False
2	16492417	16805789	True
2	23801932	24063607	True
2	24116950	24499482	True
2	26084031	26486671	True
2	31267742	33132214	True
2	37076597	37474300	True
2	54438104	54688104	True
2	62585273	62877975	True
2	65151049	65511462	True
2	66478227	66845444	True
2	68421304	69020830	True
2	69888733	70289840	True
2	85290429	86020704	True
2	101477749	101868521	True
2	105414019	105664019	False
2	106067531	106662741	True
2	111683078	111980258	True
2	114288955	114541622	True
2	120064404	120356165	True
2	120861708	121195729	True
2	143608994	144016751	True
2	144037105	144453534	False
2	165379565	165682318	True
2	171594859	172177633	True
2	175311940	175584021	True
2	183636706	184194227	True
2	189716613	190005948	True
2	207799722	208102253	True
2	211415507	211721498	True
2	218643422	219769625	True
2	219792632	220424272	True
2	223694528	224130466	True
2	224709990	226211444	True
2	226715831	227054051	True
2	227124802	227682187	True
2	241304843	241683547	True
2	242369859	242797161	True
3	12110723	12593710	True
3	15377860	16132746	True
3	18113783	18498575	True
3	24205283	24473008	True
3	27105230	27691157	True
3	36827932	37640216	True
3	38753628	39311728	True
3	45606082	45925961	False
3	46588120	49424648	True
3	49435973	50852896	True
3	50929256	51391487	True
3	51678178	52032385	True
3	52148421	52755639	True
3	56796971	57075055	True
3	58155690	58567720	True
3	119404605	119951999	True
3	122638461	123257632	True
3	123851185	124801638	True
3	127909896	129422856	True
3	129449027	130197652	True
3	136387498	136789737	True
3	142594024	142950366	True
3	148931373	149276807	True
3	149920404	150327023	True
3	168612002	168989550	True
3	178424997	179074341	True
3	183368744	184219183	True
3	185363882	185672917	True
3	185696409	185946409	True
3	187980056	188253979	True
3	189641633	189925760	True
3	193966789	194330859	True
3	195880444	196353360	True
3	196364422	196643793	True
4	6672156	7191107	True
4	47697833	48403012	True
4	77746016	78047503	True
4	83770317	84066922	True
4	102541785	103513441	True
4	110702862	111072478	True
4	142907893	143566052	True
4	148320814	148586378	True
4	154313622	154593282	True
5	959377	1412194	True
5	38991820	39319937	True
5	52130109	52498429	True
5	55671639	55935305	True
5	61275197	62088959	True
5	75566020	76242836	True
5	76825643	77253984	True
5	77500418	78045812	True
5	78291416	78754653	True
5	86644568	86894568	False
5	86989962	89007668	True
5	90524684	90877364	False
5	132015596	132273327	True
5	133667693	134535619	True
5	148215270	148470628	True
5	157086542	157467047	True
5	158404135	158880348	True
5	159291440	159780116	True
5	173146811	173396811	True
5	176633786	176900385	True
6	6775951	7345379	True
6	33390520	33861082	True
6	34040351	34364209	True
6	34638012	35579042	True
6	36009386	36737844	True
6	41042097	41292097	False
6	41596682	42135597	True
6	43625556	43883873	True
6	45925598	46274258	True
6	46715074	47125521	True
6	47187408	48179851	True
6	53370694	53636561	True
6	71200277	71724826	True
6	108736264	109136833	True
6	109459410	109763895	True
6	110267734	110943192	True
6	122128894	122454267	True
6	134885536	135206722	True
6	135277339	135851613	True
6	136957948	137332304	True
6	143107276	143392520	True
6	152805754	153190895	True
6	157908007	158640173	True
6	163669814	164131012	True
6	166056637	166306637	True
7	847753	1111850	True
7	2431398	3055941	True
7	18023091	18429026	True
7	37239691	37611831	True
7	50132703	50433811	True
7	55011397	55286167	True
7	72721741	73412276	True
7	97729064	97979064	False
7	98281697	98531697	False
7	98567789	100732117	True
7	101043487	103480996	True
7	105996312	106578008	True
7	115427090	115693695	True
7	116061747	116871100	True
7	129077106	129432742	True
7	133752875	134163456	True
7	135466083	135834451	True
7	140092670	140455333	True
7	142961010	143211010	True
8	7759119	12428418	True
8	13090443	13386462	True
8	18883072	19158801	True
8	19602447	20086292	True
8	21496046	22084139	True
8	25064298	25561639	True
8	30237627	30512242	True
8	56639794	56910133	True
8	95706273	96322130	True
8	103416166	103706975	True
8	105863442	106845434	True
8	108296947	108546947	True
8	126342086	126648523	True
8	130916436	131511279	True
8	141453199	141703199	True
8	144836212	145409939	True
9	0	917537	True
9	22017756	22288404	True
9	33506331	33756331	True
9	35555337	36003384	True
9	71265051	71738947	True
9	72406600	72704105	True
9	72714786	73318214	True
9	79155972	79451931	True
9	86211239	86819759	True
9	91267554	91732378	True
9	93353056	93753027	True
9	95250130	96304785	True
9	98824350	100401310	True
9	100456427	101010779	True
9	109127067	109377067	True
9	112627328	112950719	True
9	113023268	113444210	True
9	127885901	128249798	True
9	130854181	131117712	True
9	133824174	134074174	False
9	135213187	136474655	True
9	136750263	137094396	True
9	139692527	139942573	True
9	140070142	140341247	True
10	11751951	12060048	True
10	14368736	14796520	True
10	16723473	17457970	True
10	22746820	23459680	True
10	25058247	25349755	True
10	30110930	30385519	True
10	32532405	33392328	True
10	50229823	50502046	True
10	61263055	61591389	True
10	64326233	65525352	True
10	80812500	81104768	True
10	82186825	82463801	True
10	89652068	89902966	True
10	94536591	94956523	True
10	95775635	96062832	True
10	97250093	97730764	True
10	102699349	103054452	True
10	115656367	115946878	True
10	116002780	116266630	True
10	120885256	121240618	True
10	126198224	126606074	True
11	0	408415	True
11	2830166	3141355	True
11	3760511	4195551	True
11	9464840	10493983	True
11	32911177	33509046	True
11	47260350	48294404	True
11	48535679	48785679	False
11	50025863	50275863	True
11	51457244	51707244	False
11	55471312	55887164	True
11	56101353	56564954	True
11	57056407	57478397	True
11	61417006	61749181	True
11	66454974	66704974	True
11	66745157	66995157	False
11	71838553	72293383	True
11	72788638	73080711	True
11	75399909	75649909	True
11	76804337	77077385	True
11	77079308	77852283	True
11	85796712	86207321	True
11	100298999	100696137	True
11	116386028	117345429	True
11	126141650	126418285	True
11	128470534	128802459	True
12	547351	977438	True
12	3053256	3518100	True
12	6090634	6639969	True
12	6942226	7192226	False
12	15059375	15355871	True
12	22485292	22735292	False
12	27015549	27265549	True
12	28993776	29752041	True
12	32524799	33037880	True
12	40425702	40812955	True
12	48018315	48327696	True
12	49017702	50306957	True
12	51491919	51886234	True
12	54351161	55250440	True
12	56535020	57691292	True
12	57730136	57980136	True
12	57992645	58408385	True
12	62519738	62799039	True
12	67518840	67897510	True
12	70282145	70761829	True
12	95276562	95842127	True
12	101739808	102033932	True
12	111537885	113262572	True
12	121497625	124063977	True
12	124723559	124992996	True
13	28033035	28302602	False
13	32871332	33324976	True
13	37374658	37906829	True
13	46587818	47448718	True
13	51165025	51429731	True
13	99545271	99852937	True
13	108835380	109085385	True
13	110364152	110617626	True
13	110777142	111065386	True
13	113453421	114390305	True
13	114416617	114966078	True
14	23506924	23758820	True
14	39262085	40052144	True
14	50982737	51339468	True
14	53355022	53803371	True
14	65040090	65355358	True
14	65362694	65612694	True
14	67362208	67612208	False
14	67986379	68255119	False
14	68564400	68814400	False
14	69170627	70115072	True
14	81744491	82034199	True
14	92078872	92464519	True
14	92716686	93256849	True
14	93577475	94066304	True
14	101031585	101311332	True
14	103338561	104218521	True
14	105582174	105958207	True
15	22844232	23094232	False
15	26215327	26465327	False
15	40160277	41008919	True
15	41069334	41324312	True
15	56801063	57712916	True
15	63148965	66189421	True
15	74467862	76114191	True
15	90418529	90703542	True
15	91377383	91663920	True
15	99122795	99404950	True
16	347551	718853	True
16	1962460	2216600	True
16	4874928	5205121	True
16	8841382	9227022	True
16	11218942	11589263	True
16	15583256	15833256	True
16	24540728	24886046	True
16	28380660	28631428	False
16	30031544	31005829	True
16	79228181	79489932	True
16	81719061	82039173	True
16	85175519	86061389	True
16	88430930	88825790	True
16	89541961	90118206	True
17	612970	869229	False
17	3755148	4349639	True
17	4575904	5654141	True
17	6764540	8381717	True
17	10039924	10309037	True
17	28896580	29443794	True
17	30784669	31442698	True
17	33104005	34589040	True
17	34710526	35071547	True
17	40970586	41220586	True
17	42302544	42749404	True
17	48017693	48374801	True
17	57276290	58630845	True
17	62283560	62533560	True
17	74206978	74586427	True
17	75191880	75500881	True
17	77894690	78260500	True
17	80518394	81085080	True
18	9313471	9777018	True
18	20479268	20959307	True
18	21279116	21529116	False
18	22323549	22596557	True
18	43622153	44005297	True
18	66945074	68049239	True
19	1875129	2171925	True
19	4351270	4634469	True
19	6654850	6940255	True
19	7847615	8097615	True
19	10513661	10985486	True
19	12488046	13150742	True
19	13942130	14192130	True
19	14361544	14997034	True
19	15897027	16847901	True
19	17073713	17410741	True
19	18288061	18629417	True
19	19248689	19841226	True
19	35524324	35812807	True
19	38600859	39377238	True
19	44156094	44408843	True
19	45011350	46503510	True
19	55325462	55833573	True
19	57991929	58325497	True
19	58791579	59076693	True
20	1365152	2055085	True
20	3612974	4159958	True
20	4904478	5168020	True
20	8477727	8826506	True
20	16115345	16633080	True
20	19743304	20107174	True
20	25053119	26279992	True
