chrom	start	fraction_concordant_seq	fraction_concordant_len	fraction_concordant_len_sum	balanced_accuracy	len_sum_frequencies	len_sum_accuracies	mean_absolute_difference	r	dosage_r	numcalls	n_missing_only_vcf1	n_missing_only_vcf2	n_missing_both
1	3086622	0.9833712348769561	0.9834243940672028	0.9834294676593587	0.6541017175237731	{39.0: 2.511679308785854e-05, 40.0: 0.17471241271914403, 41.0: 0.4317275330285829, 42.0: 0.2791028281509017, 43.0: 9.544381373386247e-05, 44.0: 0.04910835384538102, 45.0: 0.06203345556839303, 46.0: 5.0233586175717085e-06, 48.0: 0.003189832722158035}	{39.0: 0.0, 40.0: 0.9742169529902241, 41.0: 0.9831448203190449, 42.0: 0.990634800602041, 43.0: 0.0, 44.0: 0.9750558506642544, 45.0: 0.9879445261255972, 46.0: 0.0, 48.0: 0.9759185070127953}	0.025456471651060478	0.9836078530221988	0.9928615495948924	199070	383	0	0
1	11868271	0.595141378815883	0.595573452279177	0.6050317344552006	0.32644937112924516	{70.0: 5.731907234813312e-06, 76.0: 5.731907234813312e-06, 78.0: 2.2927628939253246e-05, 80.0: 0.0006419736102990909, 82.0: 0.012432506792310073, 84.0: 0.0003840377847324919, 86.0: 0.0002865953617406656, 88.0: 0.00027513154727103894, 90.0: 0.0014559044376425813, 92.0: 0.00604143022549323, 94.0: 0.1041544863637927, 96.0: 0.021385745893088465, 98.0: 0.043212848643257556, 100.0: 0.009962054774105536, 102.0: 0.020462908828283524, 104.0: 0.022073574761266063, 106.0: 0.21988742534190828, 108.0: 0.08443099356880009, 110.0: 0.18724994554688126, 112.0: 0.06628377526338114, 114.0: 0.09865758732560673, 116.0: 0.04551134344441769, 118.0: 0.0303561807155713, 120.0: 0.014238057571276266, 122.0: 0.006104481205076177, 124.0: 0.003290114752782841, 126.0: 0.0009343008792745698, 128.0: 0.00010317433022663961, 130.0: 8.024670128738636e-05, 132.0: 5.1587165113319805e-05, 134.0: 5.731907234813312e-06, 138.0: 5.731907234813312e-06, 140.0: 5.731907234813312e-06}	{70.0: 0.0, 76.0: 0.0, 78.0: 0.0049749999307096004, 80.0: 0.694498198592815, 82.0: 0.9330337044554078, 84.0: 0.10883283615112305, 86.0: 0.03902400102466345, 88.0: 0.13088333254624254, 90.0: 0.2557114169265576, 92.0: 0.30718519367132713, 94.0: 0.8442365101480528, 96.0: 0.43366969136970035, 98.0: 0.6910320756202637, 100.0: 0.29237870446763187, 102.0: 0.5092660614303691, 104.0: 0.2666134231591317, 106.0: 0.7569564090820567, 108.0: 0.4059527052861201, 110.0: 0.6368812821975162, 112.0: 0.33760424999129923, 114.0: 0.5530695113674405, 116.0: 0.5083393040847418, 118.0: 0.4600679190137235, 120.0: 0.4585358221773748, 122.0: 0.31457887703264265, 124.0: 0.48440069607897085, 126.0: 0.34313803579818253, 128.0: 0.0019499999471008778, 130.0: 1.428571392482679e-05, 132.0: 0.0, 134.0: 0.0, 138.0: 0.0, 140.0: 0.0}	1.2711640297191256	0.9524279121979058	0.9673430674543366	174462	24991	0	0
1	21822677	0.6933685643251983	0.6990418883259897	0.7023891486060693	0.2897670587210637	{78.0: 5.0693743885067146e-06, 82.0: 0.0007756142814415273, 84.0: 0.00016728935482072157, 86.0: 0.0037716145450489955, 87.0: 5.0693743885067146e-06, 88.0: 0.0012876210946807054, 90.0: 0.20848309110172714, 92.0: 0.016450119890704287, 94.0: 0.009170498268808646, 96.0: 0.011892752315436753, 98.0: 0.1758261812909669, 100.0: 0.16172825111652972, 102.0: 0.060330624597618406, 104.0: 0.02877376902916411, 106.0: 0.062120113756761276, 108.0: 0.09559826221845961, 110.0: 0.05374043789255968, 112.0: 0.02951389768988609, 114.0: 0.020206526312587764, 116.0: 0.023952793985694224, 118.0: 0.01686580859056184, 120.0: 0.008602728337295895, 122.0: 0.0031328733720971495, 124.0: 0.0023319122187130887, 126.0: 0.001546159188494548, 128.0: 0.0015562979372715613, 130.0: 0.00106456862158641, 132.0: 0.00045624369496560427, 134.0: 0.00018249747798624173, 136.0: 0.00018249747798624173, 138.0: 0.00018756685237474843, 140.0: 3.5485620719547e-05, 142.0: 2.534687194253357e-05, 144.0: 5.0693743885067146e-06, 146.0: 2.0277497554026858e-05, 152.0: 5.0693743885067146e-06}	{78.0: 0.0, 82.0: 0.6128927851643632, 84.0: 0.0, 86.0: 0.2566626423942326, 87.0: 0.0, 88.0: 0.13751614165528908, 90.0: 0.9169124853733406, 92.0: 0.20266924451000543, 94.0: 0.0853523514165315, 96.0: 0.5954680349736357, 98.0: 0.794570438138786, 100.0: 0.7581338940439167, 102.0: 0.6286044088868317, 104.0: 0.4915601516876206, 106.0: 0.6687836230556927, 108.0: 0.6231831230379773, 110.0: 0.6125470016702621, 112.0: 0.5578249415259129, 114.0: 0.5231164276226237, 116.0: 0.4844781993072426, 118.0: 0.429700516814717, 120.0: 0.2578916293127121, 122.0: 0.2697456280254792, 124.0: 0.2902943505419661, 126.0: 0.2095629546799903, 128.0: 0.017573616027540803, 130.0: 0.006569524091624078, 132.0: 0.0, 134.0: 0.0, 136.0: 0.0, 138.0: 0.0, 140.0: 0.0, 142.0: 0.0, 144.0: 0.0, 146.0: 0.0, 152.0: 0.0}	1.6934543235477644	0.8718791276421253	0.9341910864078113	197263	2190	0	0
1	21935885	0.956385361440758	0.9564353071192102	0.9564516971480427	0.5714049893817288	{25.0: 8.550619668437148e-05, 26.0: 0.14528508771929824, 27.0: 0.4701030098181233, 28.0: 0.3838121680347658, 29.0: 0.0007142282311282794}	{25.0: 0.0, 26.0: 0.9319079837069414, 27.0: 0.9523148200777839, 28.0: 0.9728021431239188, 29.0: 0.0}	0.04392686328101071	0.9528154691424023	0.9718440340807687	198816	637	0	0
1	22015711	0.9585890225033641	0.9587339575120106	0.9587417004345511	0.39736659829558124	{18.0: 1.5149525819841839e-05, 19.0: 1.0099683879894559e-05, 21.0: 0.0003989375132558351, 22.0: 0.5926948986496723, 23.0: 0.35274155918919736, 24.0: 0.05385656428953774, 25.0: 0.00028279114863704767}	{18.0: 0.0, 19.0: 0.0, 21.0: 0.0, 22.0: 0.9850046510984619, 23.0: 0.9307186989783423, 24.0: 0.8658428379922644, 25.0: 0.0}	0.04237519217381827	0.9371379874280032	0.959861828458923	198026	1427	0	0
1	23747997	0.9954158612337959	0.9954158612337959	0.9954161091060683	0.5961416955501424	{21.0: 0.0002207771355170199, 22.0: 0.5048320086705202, 23.0: 0.4073689386640976, 24.0: 0.08742774566473989, 25.0: 0.00015052986512524084}	{21.0: 0.0, 22.0: 0.9974866068322549, 23.0: 0.9953837283062559, 24.0: 0.9878381426122015, 25.0: 0.0}	0.004609900520700148	0.9944323421479254	0.9965483088898265	199296	157	0	0
1	23817932	0.9590121204455505	0.9592185607184543	0.9593349322151612	0.5775954427224941	{24.0: 2.197295129695345e-05, 25.0: 3.8452664769668536e-05, 26.0: 6.591885389086035e-05, 27.0: 0.0012030190835082015, 28.0: 0.5302842201250261, 29.0: 0.2515683193988201, 30.0: 0.16957625163423826, 31.0: 0.03732655101569968, 32.0: 0.009794443040617001, 33.0: 0.00012085123213324398}	{24.0: 0.0, 25.0: 0.0, 26.0: 0.41666666666666663, 27.0: 0.613059348439517, 28.0: 0.9815453740514962, 29.0: 0.9711375373744039, 30.0: 0.9045793140440416, 31.0: 0.8717554679071917, 32.0: 0.7966788992686881, 33.0: 0.22053181947293607}	0.051004864314772184	0.9587095969910078	0.9723878049053395	182042	17411	0	0
1	23818460	0.9293012435314891	0.9297935902857288	0.9298580388149589	0.3149116672546829	{48.0: 1.0491803278688524e-05, 49.0: 5.245901639344262e-06, 50.0: 5.245901639344262e-06, 51.0: 1.0491803278688524e-05, 53.0: 0.00013114754098360657, 54.0: 6.819672131147542e-05, 55.0: 0.002680655737704918, 56.0: 0.0009180327868852459, 57.0: 0.000440655737704918, 58.0: 0.002019672131147541, 59.0: 9.967213114754098e-05, 60.0: 0.07327475409836065, 61.0: 0.013004590163934427, 62.0: 0.6688367213114754, 63.0: 0.21519737704918032, 64.0: 0.02216393442622951, 65.0: 0.0009914754098360656, 66.0: 0.00011540983606557377, 67.0: 1.5737704918032788e-05, 68.0: 5.245901639344262e-06, 69.0: 5.245901639344262e-06}	{48.0: 0.0, 49.0: 0.0, 50.0: 0.0, 51.0: 0.0, 53.0: 0.012800000011920928, 54.0: 0.08774615251100978, 55.0: 0.029067710144062564, 56.0: 0.09161085567437112, 57.0: 0.25542379535424214, 58.0: 0.9485469347470766, 59.0: 0.3221052696830348, 60.0: 0.9761475112976215, 61.0: 0.8083651102959099, 62.0: 0.9654630818001149, 63.0: 0.8528415311940806, 64.0: 0.7134679975694033, 65.0: 0.5083772430600471, 66.0: 0.041181819005446, 67.0: 0.0, 68.0: 0.0, 69.0: 0.0}	0.12258809472761623	0.7118850767398281	0.8205245922333695	190625	8828	0	0
1	26844613	0.9666915419909504	0.9668296530456839	0.9669051071185701	0.24914919729954357	{35.0: 6.737091732241026e-06, 36.0: 6.737091732241026e-06, 37.0: 3.368545866120513e-05, 38.0: 1.3474183464482052e-05, 39.0: 2.6948366928964104e-05, 40.0: 2.021127519672308e-05, 41.0: 8.084510078689232e-05, 42.0: 4.042255039344616e-05, 43.0: 6.737091732241026e-06, 44.0: 1.3474183464482052e-05, 45.0: 0.00010105637598361539, 46.0: 0.003388757141317236, 47.0: 0.08200388056483777, 48.0: 0.5158793252128921, 49.0: 0.3451951061765657, 50.0: 0.05205750781502641, 51.0: 0.001064460493694082, 52.0: 4.042255039344616e-05, 53.0: 1.3474183464482052e-05, 54.0: 6.737091732241026e-06}	{35.0: 0.0, 36.0: 0.0, 37.0: 0.0, 38.0: 0.0, 39.0: 0.0, 40.0: 0.0, 41.0: 0.0, 42.0: 0.0, 43.0: 0.0, 44.0: 0.20499999821186066, 45.0: 0.02866666577756405, 46.0: 0.8867200580434818, 47.0: 0.9519663438411514, 48.0: 0.9780886628645119, 49.0: 0.9688032714194099, 50.0: 0.8981984389629598, 51.0: 0.06554050686993176, 52.0: 0.0, 53.0: 0.0, 54.0: 0.0}	0.04131965230594638	0.9239151462178783	0.9516583016360166	148432	51021	0	0
1	27002654	0.9695811899412012	0.9695989093677051	0.969659383154066	0.37732084464678917	{27.0: 5.946116294142481e-06, 32.0: 0.00010108397700042217, 33.0: 0.012118185007462376, 34.0: 0.6704008276993881, 35.0: 0.2923408076015151, 36.0: 0.024985580667986704, 37.0: 4.1622814058997365e-05, 38.0: 5.946116294142481e-06}	{27.0: 0.0, 32.0: 0.037052939919864435, 33.0: 0.06293292368476126, 34.0: 0.9834217867375908, 35.0: 0.9771838396596699, 36.0: 0.9579752671724272, 37.0: 0.0, 38.0: 0.0}	0.03085356170363175	0.945004940171528	0.9572669019693122	168177	31276	0	0
