phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	relation_to_gene	other_ethnicity_association_p_values	other_ethnic_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies	susie_pip_ratio_4	finemap_pip_ratio_4	finemap_pip_prior_std_0.005
alkaline_phosphatase	3	135916825	135916841	3_135494585_136877590	A	{15.0: 0.11%, 16.0: 33.84%, 17.0: 42.18%, 18.0: 9.24%, 19.0: 14.60%, 20.0: 0.04%, 23.0: 0.00%}	9.60e-31	-	intergenic	0.226, 0.00814, 0.00602, 0.0000764, 0.00048	NaN, -, -, -, -	{15.0: 2.53%, 16.0: 41.13%, 17.0: 26.70%, 18.0: 17.23%, 19.0: 8.66%, 20.0: 0.63%, 23.0: 3.12%}	{15.0: 0.02%, 16.0: 34.42%, 17.0: 41.44%, 18.0: 10.02%, 19.0: 14.07%, 20.0: 0.03%, 23.0: 0.00%}	{15.0: 0.06%, 16.0: 0.84%, 17.0: 77.07%, 18.0: 21.02%, 19.0: 1.01%, 20.0: 0.00%, 23.0: 0.00%}	{15.0: 0.09%, 16.0: 34.61%, 17.0: 40.78%, 18.0: 10.60%, 19.0: 13.88%, 20.0: 0.03%, 23.0: 0.00%}	{15.0: 0.19%, 16.0: 32.44%, 17.0: 43.41%, 18.0: 8.95%, 19.0: 14.91%, 20.0: 0.08%, 23.0: 0.02%}	0.89	0.66	0.72
apolipoprotein_a	1	93858126	93858136	1_93414383_94016839	A	{10.0: 18.38%, 11.0: 18.45%, 12.0: 63.11%, 13.0: 0.06%}	2.51e-20	-	intergenic	0.0651, 0.276, 0.03, 0.0571, 0.0356	NaN, NaN, -, NaN, -	{10.0: 20.08%, 11.0: 59.91%, 12.0: 20.01%, 13.0: 0.00%}	{10.0: 30.33%, 11.0: 4.99%, 12.0: 64.55%, 13.0: 0.13%}	{10.0: 29.30%, 11.0: 4.44%, 12.0: 66.25%, 13.0: 0.01%}	{10.0: 19.14%, 11.0: 19.76%, 12.0: 61.07%, 13.0: 0.03%}	{10.0: 17.75%, 11.0: 17.98%, 12.0: 64.21%, 13.0: 0.06%}	0.88	0.94	0.99
apolipoprotein_a	11	47332459	47332474	11_46179187_50905592	A	{15.0: 67.62%, 16.0: 15.14%, 17.0: 15.80%, 18.0: 1.43%}	1.67e-42	+	intron:MADD:protein_coding	0.918, 0.199, 0.4, 0.00482, 0.00171	NaN, NaN, NaN, +, +	{15.0: 48.44%, 16.0: 12.05%, 17.0: 39.42%, 18.0: 0.09%}	{15.0: 54.94%, 16.0: 23.30%, 17.0: 21.55%, 18.0: 0.21%}	{15.0: 29.97%, 16.0: 9.66%, 17.0: 60.21%, 18.0: 0.17%}	{15.0: 68.08%, 16.0: 14.65%, 17.0: 15.49%, 18.0: 1.78%}	{15.0: 70.18%, 16.0: 13.60%, 17.0: 15.27%, 18.0: 0.95%}	0.00	1.00	0.10
aspartate_aminotransferase	12	121346985	121347001	12_120673216_121614192	A	{16.0: 0.00%, 17.0: 58.20%, 18.0: 36.17%, 19.0: 5.63%}	1.49e-21	-	intergenic	0.0525, 0.823, 0.712, 0.000756, 0.441	NaN, NaN, NaN, -, NaN	{16.0: 4.02%, 17.0: 89.25%, 18.0: 5.80%, 19.0: 0.94%}	{16.0: 0.00%, 17.0: 76.70%, 18.0: 11.87%, 19.0: 11.43%}	{16.0: 0.01%, 17.0: 84.93%, 18.0: 14.73%, 19.0: 0.34%}	{16.0: 0.00%, 17.0: 58.25%, 18.0: 37.05%, 19.0: 4.70%}	{16.0: 0.04%, 17.0: 60.74%, 18.0: 33.67%, 19.0: 5.56%}	0.00	1.00	1.00
c_reactive_protein	16	51137539	51137553	16_50948654_51871793	A	{13.0: 0.01%, 14.0: 29.19%, 15.0: 70.74%, 16.0: 0.07%}	8.41e-18	+	intergenic	0.102, 0.0164, 0.66, 0.0111, 0.92	NaN, +, NaN, +, NaN	{13.0: 4.27%, 14.0: 51.84%, 15.0: 36.11%, 16.0: 7.78%}	{13.0: 0.04%, 14.0: 25.16%, 15.0: 74.64%, 16.0: 0.17%}	{13.0: 0.01%, 14.0: 14.22%, 15.0: 85.71%, 16.0: 0.07%}	{13.0: 0.01%, 14.0: 30.45%, 15.0: 69.50%, 16.0: 0.04%}	{13.0: 0.01%, 14.0: 27.03%, 15.0: 72.86%, 16.0: 0.09%}	1.00	1.00	1.00
calcium	11	2982732	2982747	11_2808605_3232154	A	{15.0: 9.28%, 16.0: 60.86%, 17.0: 29.86%, 18.0: 0.01%}	1.27e-31	-	intron:NAP1L4:protein_coding	0.26, 0.0792, 0.295, 0.387, 0.603	NaN, NaN, NaN, NaN, NaN	{15.0: 45.90%, 16.0: 48.36%, 17.0: 5.75%, 18.0: 0.00%}	{15.0: 8.48%, 16.0: 55.03%, 17.0: 36.48%, 18.0: 0.00%}	{15.0: 1.00%, 16.0: 32.99%, 17.0: 66.01%}	{15.0: 8.43%, 16.0: 61.21%, 17.0: 30.35%, 18.0: 0.01%}	{15.0: 9.44%, 16.0: 59.29%, 17.0: 31.26%, 18.0: 0.01%}	1.00	0.78	0.94
calcium	15	96666902	96666923	15_96523293_96794607	AC	{9.0: 0.22%, 11.0: 24.48%, 12.0: 41.30%, 13.0: 0.81%, 14.0: 26.32%, 15.0: 1.07%, 17.0: 5.48%, 18.0: 0.31%}	8.34e-13	-	multigene;intron:RP11-759A24.3:lncRNA;intron:NR2F2-AS1:lncRNA	0.704, 0.0709, 0.542, 0.298, 0.127	NaN, NaN, NaN, NaN, NaN	{9.0: 0.03%, 11.0: 3.72%, 12.0: 62.53%, 13.0: 2.34%, 14.0: 18.04%, 15.0: 5.04%, 17.0: 8.22%, 18.0: 0.09%}	{9.0: 0.20%, 11.0: 24.14%, 12.0: 28.29%, 13.0: 0.52%, 14.0: 32.72%, 15.0: 4.56%, 17.0: 8.37%, 18.0: 1.20%}	{9.0: 0.03%, 11.0: 11.99%, 12.0: 67.90%, 13.0: 0.56%, 14.0: 10.69%, 15.0: 4.56%, 17.0: 3.19%, 18.0: 1.07%}	{9.0: 0.27%, 11.0: 23.70%, 12.0: 41.25%, 13.0: 0.79%, 14.0: 27.58%, 15.0: 1.33%, 17.0: 4.93%, 18.0: 0.15%}	{9.0: 0.31%, 11.0: 26.19%, 12.0: 39.98%, 13.0: 0.82%, 14.0: 25.85%, 15.0: 1.25%, 17.0: 5.28%, 18.0: 0.33%}	0.96	0.96	1.00
creatinine	2	15786517	15786538	2_15598095_16025274	A	{17.0: 0.03%, 20.0: 15.32%, 21.0: 20.33%, 22.0: 37.99%, 23.0: 24.85%, 24.0: 1.44%, 25.0: 0.04%}	4.51e-36	+	intergenic	0.65, 0.205, 0.188, 0.0131, 0.0696	NaN, NaN, NaN, +, NaN	{17.0: 2.80%, 20.0: 44.17%, 21.0: 3.23%, 22.0: 20.66%, 23.0: 19.08%, 24.0: 9.99%, 25.0: 0.06%}	{17.0: 0.04%, 20.0: 28.24%, 21.0: 18.01%, 22.0: 27.50%, 23.0: 25.08%, 24.0: 0.95%, 25.0: 0.19%}	{17.0: 0.01%, 20.0: 20.75%, 21.0: 35.68%, 22.0: 13.81%, 23.0: 27.38%, 24.0: 1.90%, 25.0: 0.47%}	{17.0: 0.02%, 20.0: 14.77%, 21.0: 21.76%, 22.0: 35.63%, 23.0: 26.41%, 24.0: 1.39%, 25.0: 0.03%}	{17.0: 0.03%, 20.0: 15.61%, 21.0: 17.36%, 22.0: 38.93%, 23.0: 26.23%, 24.0: 1.76%, 25.0: 0.08%}	1.00	1.00	1.00
creatinine	2	148599967	148599977	2_148248434_149286696	A	{10.0: 28.87%, 11.0: 28.23%, 12.0: 42.90%}	5.45e-34	-	intergenic	0.000542, 0.976, 0.131, 0.916, 0.0992	-, NaN, NaN, NaN, NaN	{10.0: 13.57%, 11.0: 64.80%, 12.0: 21.62%}	{10.0: 29.72%, 11.0: 22.34%, 12.0: 47.94%}	{10.0: 46.11%, 11.0: 17.30%, 12.0: 36.59%}	{10.0: 26.75%, 11.0: 29.22%, 12.0: 44.03%}	{10.0: 30.82%, 11.0: 29.72%, 12.0: 39.46%}	0.97	0.78	0.45
creatinine	3	141706108	141706140	3_141436314_142656197	AC	{13.5: 15.80%, 14.5: 16.34%, 15.5: 3.65%, 16.5: 60.13%, 17.5: 4.03%, 18.5: 0.05%, 19.5: 0.00%}	9.47e-48	+	intron:TFDP2:protein_coding	0.981, 0.0627, 0.947, 0.00849, 0.00392	NaN, NaN, NaN, +, +	{13.5: 10.87%, 14.5: 21.26%, 15.5: 28.95%, 16.5: 37.16%, 17.5: 1.10%, 18.5: 0.64%, 19.5: 0.02%}	{13.5: 16.30%, 14.5: 14.94%, 15.5: 4.41%, 16.5: 57.26%, 17.5: 7.05%, 18.5: 0.04%}	{13.5: 18.53%, 14.5: 6.51%, 15.5: 13.60%, 16.5: 58.35%, 17.5: 3.00%, 18.5: 0.01%}	{13.5: 15.86%, 14.5: 15.88%, 15.5: 4.14%, 16.5: 60.25%, 17.5: 3.79%, 18.5: 0.08%}	{13.5: 15.75%, 14.5: 14.82%, 15.5: 4.65%, 16.5: 61.04%, 17.5: 3.70%, 18.5: 0.05%}	0.85	0.92	0.87
