phenotype	chrom	start_pos (hg19)	end_pos (hg19)	start_pos (hg38)	end_pos (hg38)	start_pos (T2T)	end_pos (T2T)	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	relation_to_gene	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
alanine_aminotransferase	2	111878544	111878598	111120967	111121021	111544031	111544088	2_111753544_112003544	CCG	{8.33: 0.20%, 11.33: 0.05%, 12.33: 0.01%, 13.33: 0.23%, 14.33: 3.07%, 15.33: 0.27%, 16.33: 0.10%, 17.33: 72.98%, 18.33: 6.60%, 19.33: 5.50%, 20.33: 0.92%, 21.33: 1.21%, 22.33: 0.06%, 23.33: 0.18%, 24.33: 1.05%, 25.33: 0.27%, 26.33: 0.32%, 27.33: 0.47%, 28.33: 0.83%, 29.33: 1.07%, 30.33: 1.93%, 31.33: 0.67%, 32.33: 0.97%, 33.33: 0.27%, 34.33: 0.19%, 35.33: 0.16%, 36.33: 0.41%}	1.15e-9	-	multigene;five_prime_UTR:BCL2L11:protein_coding;intron:MIR4435-2HG:lncRNA	doubly	0.964676196555624	1.0										0.0399, 0.782, 0.662, 0.881, 0.491	-, NA, NA, NA, NA	{8.33: 0.06%, 11.33: 0.01%, 12.33: 0.01%, 13.33: 0.02%, 14.33: 1.88%, 15.33: 6.69%, 16.33: 0.05%, 17.33: 62.14%, 18.33: 12.69%, 19.33: 0.70%, 20.33: 1.70%, 21.33: 2.98%, 22.33: 0.01%, 23.33: 3.77%, 24.33: 2.82%, 25.33: 0.56%, 26.33: 0.02%, 27.33: 0.05%, 28.33: 0.11%, 29.33: 0.12%, 30.33: 1.62%, 31.33: 0.07%, 32.33: 0.09%, 33.33: 0.05%, 34.33: 0.02%, 35.33: 0.04%, 36.33: 1.72%}	{8.33: 0.47%, 11.33: 0.01%, 12.33: 0.03%, 13.33: 0.07%, 14.33: 3.62%, 15.33: 0.61%, 16.33: 0.27%, 17.33: 72.68%, 18.33: 11.84%, 19.33: 4.47%, 20.33: 2.20%, 21.33: 1.34%, 22.33: 0.04%, 23.33: 0.18%, 24.33: 0.18%, 25.33: 0.05%, 26.33: 0.05%, 27.33: 0.06%, 28.33: 0.16%, 29.33: 0.27%, 30.33: 0.54%, 31.33: 0.28%, 32.33: 0.26%, 33.33: 0.07%, 34.33: 0.05%, 35.33: 0.01%, 36.33: 0.18%}	{8.33: 0.02%, 11.33: 0.00%, 12.33: 0.28%, 13.33: 0.03%, 14.33: 11.71%, 15.33: 0.13%, 16.33: 0.44%, 17.33: 79.98%, 18.33: 4.50%, 19.33: 1.26%, 20.33: 0.66%, 21.33: 0.44%, 22.33: 0.03%, 23.33: 0.10%, 24.33: 0.03%, 25.33: 0.01%, 26.33: 0.01%, 27.33: 0.01%, 28.33: 0.02%, 29.33: 0.06%, 30.33: 0.08%, 31.33: 0.03%, 32.33: 0.03%, 33.33: 0.01%, 34.33: 0.02%, 35.33: 0.00%, 36.33: 0.12%}	{8.33: 0.19%, 11.33: 0.07%, 12.33: 0.00%, 13.33: 0.19%, 14.33: 2.47%, 15.33: 0.46%, 16.33: 0.12%, 17.33: 72.66%, 18.33: 5.58%, 19.33: 6.46%, 20.33: 0.91%, 21.33: 1.41%, 22.33: 0.08%, 23.33: 0.27%, 24.33: 1.18%, 25.33: 0.35%, 26.33: 0.30%, 27.33: 0.52%, 28.33: 0.67%, 29.33: 1.12%, 30.33: 2.12%, 31.33: 0.75%, 32.33: 1.20%, 33.33: 0.29%, 34.33: 0.18%, 35.33: 0.14%, 36.33: 0.31%}	{8.33: 0.18%, 11.33: 0.04%, 12.33: 0.01%, 13.33: 0.23%, 14.33: 2.85%, 15.33: 0.25%, 16.33: 0.13%, 17.33: 71.64%, 18.33: 7.26%, 19.33: 5.33%, 20.33: 1.07%, 21.33: 1.06%, 22.33: 0.08%, 23.33: 0.19%, 24.33: 1.21%, 25.33: 0.40%, 26.33: 0.40%, 27.33: 0.45%, 28.33: 0.73%, 29.33: 1.15%, 30.33: 2.34%, 31.33: 0.79%, 32.33: 0.96%, 33.33: 0.36%, 34.33: 0.22%, 35.33: 0.10%, 36.33: 0.55%}
alanine_aminotransferase	2	202029965	202030011	201165242	201165288	Failed to lift to T2T reference	Failed to lift to T2T reference	2_201904965_202350425	AAT	{9.67: 0.16%, 10.67: 32.32%, 11.67: 3.32%, 12.67: 0.93%, 13.67: 45.31%, 14.67: 15.38%, 15.67: 2.51%, 16.67: 0.07%, 17.67: 0.00%}	8.7e-11	+	three_prime_UTR:CFLAR:protein_coding	singly	0.74928848592153	0.81215										0.169, 0.0401, 0.351, 0.817, 0.303	NA, +, NA, NA, NA	{9.67: 0.01%, 10.67: 7.99%, 11.67: 0.30%, 12.67: 6.60%, 13.67: 44.65%, 14.67: 18.33%, 15.67: 19.50%, 16.67: 2.02%, 17.67: 0.61%}	{9.67: 0.02%, 10.67: 29.66%, 11.67: 1.36%, 12.67: 1.94%, 13.67: 39.50%, 14.67: 25.08%, 15.67: 1.37%, 16.67: 1.06%, 17.67: 0.00%}	{9.67: 0.01%, 10.67: 21.08%, 11.67: 0.38%, 12.67: 7.68%, 13.67: 53.81%, 14.67: 16.57%, 15.67: 0.39%, 16.67: 0.08%}	{9.67: 0.22%, 10.67: 34.15%, 11.67: 3.12%, 12.67: 0.95%, 13.67: 43.71%, 14.67: 15.91%, 15.67: 1.87%, 16.67: 0.06%, 17.67: 0.00%}	{9.67: 0.12%, 10.67: 30.90%, 11.67: 3.11%, 12.67: 1.07%, 13.67: 45.85%, 14.67: 16.18%, 15.67: 2.64%, 16.67: 0.13%, 17.67: 0.00%}
alanine_aminotransferase	2	227110026	227110070	226245310	226245354	Failed to lift to T2T reference	Failed to lift to T2T reference	2_226741226_227364287	AC	{19.5: 48.50%, 20.5: 16.06%, 21.5: 0.05%, 22.5: 31.00%, 23.5: 4.40%}	7.37e-36	-	intergenic	singly	0.345796804933444	0.868616										0.386, 0.171, 0.163, 0.00111, 0.886	NA, NA, NA, -, NA	{19.5: 59.05%, 20.5: 11.09%, 21.5: 8.03%, 22.5: 13.54%, 23.5: 8.29%}	{19.5: 47.02%, 20.5: 24.41%, 21.5: 0.26%, 22.5: 24.86%, 23.5: 3.45%}	{19.5: 56.80%, 20.5: 35.84%, 21.5: 0.05%, 22.5: 7.26%, 23.5: 0.06%}	{19.5: 47.37%, 20.5: 16.93%, 21.5: 0.03%, 22.5: 31.73%, 23.5: 3.94%}	{19.5: 48.28%, 20.5: 15.47%, 21.5: 0.14%, 22.5: 31.09%, 23.5: 5.02%}
alanine_aminotransferase	7	28247512	28247526	28207893	28207907	28345261	28345275	7_28017186_28384233	A	{13.0: 0.44%, 14.0: 0.26%, 15.0: 35.91%, 16.0: 62.39%, 17.0: 0.99%}	1.65e-14	-	intron:JAZF1-AS1:lncRNA	doubly	0.899247935216903	0.988498	0.797584261366228	1.0	0.96974	1.0	1.0	0.988498	0.0	0.872307	1.0	0.25, 0.892, 0.96, 0.0508, 0.492	NA, NA, NA, NA, NA	{13.0: 0.05%, 14.0: 26.69%, 15.0: 26.16%, 16.0: 38.61%, 17.0: 8.49%}	{13.0: 0.08%, 14.0: 2.94%, 15.0: 54.01%, 16.0: 41.17%, 17.0: 1.81%}	{13.0: 0.02%, 14.0: 0.56%, 15.0: 77.23%, 16.0: 22.05%, 17.0: 0.13%}	{13.0: 0.42%, 14.0: 0.23%, 15.0: 35.11%, 16.0: 62.86%, 17.0: 1.38%}	{13.0: 0.30%, 14.0: 0.71%, 15.0: 36.62%, 16.0: 61.43%, 17.0: 0.94%}
alanine_aminotransferase	7	73009177	73009195	73594847	73594865	Failed to lift to T2T reference	Failed to lift to T2T reference	7_72691787_73383638	A	{16.0: 0.02%, 17.0: 21.19%, 18.0: 67.26%, 19.0: 11.53%}	2.85e-15	-	intron:MLXIPL:protein_coding	doubly	0.994649884270997	0.975226	0.0	0.673938	0.975447	0.977679	0.989966	0.975226	0.948308949884039	0.89572	0.848434	0.549, 0.285, 0.2, 0.121, 0.00657	NA, NA, NA, NA, -	{16.0: 4.67%, 17.0: 19.27%, 18.0: 73.95%, 19.0: 2.11%}	{16.0: 0.01%, 17.0: 15.72%, 18.0: 81.25%, 19.0: 3.01%}	{16.0: 0.00%, 17.0: 8.19%, 18.0: 91.49%, 19.0: 0.32%}	{16.0: 0.01%, 17.0: 20.70%, 18.0: 67.75%, 19.0: 11.54%}	{16.0: 0.03%, 17.0: 20.29%, 18.0: 69.48%, 19.0: 10.20%}
alanine_aminotransferase	15	90341868	90341878	89798637	89798647	87554502	87554512	15_90202226_90475889	A	{10.0: 0.01%, 11.0: 89.02%, 12.0: 10.98%}	4.54e-18	-	intron:ANPEP:protein_coding	singly	0.608820929706326	0.838814										0.0375, 0.258, 0.854, 0.325, 0.00234	-, NA, NA, NA, -	{10.0: 0.01%, 11.0: 98.50%, 12.0: 1.49%}	{10.0: 0.04%, 11.0: 92.53%, 12.0: 7.43%}	{10.0: 0.53%, 11.0: 99.15%, 12.0: 0.32%}	{10.0: 0.01%, 11.0: 88.38%, 12.0: 11.62%}	{10.0: 0.01%, 11.0: 90.66%, 12.0: 9.33%}
alanine_aminotransferase	19	10343031	10343073	10232355	10232397	Failed to lift to T2T reference	Failed to lift to T2T reference	19_10205138_10475649	AC	{15.5: 0.55%, 16.5: 0.22%, 17.5: 2.45%, 18.5: 0.96%, 19.5: 13.34%, 20.5: 4.32%, 21.5: 29.09%, 22.5: 19.46%, 23.5: 9.84%, 24.5: 8.73%, 25.5: 9.87%, 26.5: 0.71%, 27.5: 0.46%}	9.78e-16	+	intergenic	singly	0.992807934837705	0.687651										0.113, 0.0242, 0.602, 0.162, 0.0213	NA, +, NA, NA, +	{15.5: 2.99%, 16.5: 31.14%, 17.5: 8.07%, 18.5: 3.10%, 19.5: 8.27%, 20.5: 0.93%, 21.5: 12.44%, 22.5: 7.69%, 23.5: 5.61%, 24.5: 7.90%, 25.5: 10.74%, 26.5: 1.09%, 27.5: 0.05%}	{15.5: 0.07%, 16.5: 0.60%, 17.5: 1.86%, 18.5: 0.40%, 19.5: 10.24%, 20.5: 3.19%, 21.5: 32.80%, 22.5: 19.34%, 23.5: 15.63%, 24.5: 8.84%, 25.5: 5.24%, 26.5: 1.65%, 27.5: 0.13%}	{15.5: 0.06%, 16.5: 0.54%, 17.5: 0.41%, 18.5: 0.69%, 19.5: 9.62%, 20.5: 1.32%, 21.5: 19.84%, 22.5: 19.91%, 23.5: 20.34%, 24.5: 15.58%, 25.5: 6.08%, 26.5: 5.55%, 27.5: 0.05%}	{15.5: 0.37%, 16.5: 0.17%, 17.5: 2.10%, 18.5: 0.84%, 19.5: 13.97%, 20.5: 5.23%, 21.5: 29.10%, 22.5: 20.62%, 23.5: 8.84%, 24.5: 8.73%, 25.5: 9.24%, 26.5: 0.44%, 27.5: 0.36%}	{15.5: 0.55%, 16.5: 0.66%, 17.5: 2.92%, 18.5: 0.87%, 19.5: 11.67%, 20.5: 4.20%, 21.5: 27.99%, 22.5: 20.71%, 23.5: 9.72%, 24.5: 9.03%, 25.5: 9.58%, 26.5: 1.36%, 27.5: 0.74%}
alanine_aminotransferase	20	25399980	25399991	25419344	25419355	25484444	25484455	20_25138136_25707197	A	{10.0: 0.71%, 12.0: 49.34%, 13.0: 49.95%}	1.06e-11	-	intron:GINS1:protein_coding	singly	0.0	0.988549										0.437, 0.363, 0.0932, 0.186, 0.0474	NA, NA, NA, NA, -	{10.0: 0.04%, 12.0: 47.03%, 13.0: 52.93%}	{10.0: 0.98%, 12.0: 47.86%, 13.0: 51.16%}	{10.0: 0.02%, 12.0: 91.92%, 13.0: 8.06%}	{10.0: 1.01%, 12.0: 50.38%, 13.0: 48.61%}	{10.0: 0.81%, 12.0: 47.34%, 13.0: 51.85%}
albumin	1	156207238	156207256	156237447	156237465	155375904	155375922	1_156082234_156460111	A	{18.0: 0.06%, 19.0: 16.65%, 20.0: 33.27%, 21.0: 49.55%, 22.0: 0.48%}	1.45e-10	+	multigene;intron:PMF1-BGLAP:protein_coding;intron:PMF1:protein_coding	doubly	0.987370689222567	1.0										0.48, 0.527, 0.899, 0.683, 0.00989	NA, NA, NA, NA, +	{18.0: 0.09%, 19.0: 58.56%, 20.0: 21.91%, 21.0: 19.41%, 22.0: 0.03%}	{18.0: 0.48%, 19.0: 25.03%, 20.0: 28.20%, 21.0: 46.07%, 22.0: 0.22%}	{18.0: 0.04%, 19.0: 25.01%, 20.0: 28.48%, 21.0: 46.45%, 22.0: 0.02%}	{18.0: 0.05%, 19.0: 16.34%, 20.0: 34.20%, 21.0: 48.96%, 22.0: 0.45%}	{18.0: 0.10%, 19.0: 18.77%, 20.0: 33.76%, 21.0: 46.91%, 22.0: 0.46%}
albumin	2	227110026	227110070	226245310	226245354	Failed to lift to T2T reference	Failed to lift to T2T reference	2_226741226_227330445	AC	{19.5: 48.50%, 20.5: 16.03%, 21.5: 0.05%, 22.5: 31.01%, 23.5: 4.40%}	6.02e-16	-	intergenic	not	0.0	0.0248781										0.446, 0.337, 0.59, 0.0369, 0.287	NA, NA, NA, -, NA	{19.5: 59.10%, 20.5: 11.07%, 21.5: 8.06%, 22.5: 13.52%, 23.5: 8.25%}	{19.5: 47.11%, 20.5: 24.48%, 21.5: 0.27%, 22.5: 24.65%, 23.5: 3.48%}	{19.5: 56.49%, 20.5: 35.94%, 21.5: 0.05%, 22.5: 7.47%, 23.5: 0.06%}	{19.5: 47.10%, 20.5: 17.01%, 21.5: 0.03%, 22.5: 31.91%, 23.5: 3.95%}	{19.5: 48.47%, 20.5: 15.45%, 21.5: 0.14%, 22.5: 30.88%, 23.5: 5.06%}
