chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_812563_1122769	937563	937582	937563	STR_294	1	T	16.0,20.0,21.0	20.0	"{""16.0"": 0.0, ""20.0"": 764324.03, ""21.0"": 210494.03}"	"{""20.0"": 763695, ""21.0"": 211123}"	"{""[20.0, 20.0]"": 299267, ""[20.0, 21.0]"": 165161, ""[21.0, 21.0]"": 22981}"	"{""16.0"": 0.0, ""20.0"": 514066.34, ""21.0"": 147041.66}"	"{""20.0"": 513426, ""21.0"": 147682}"	"{""[20.0, 20.0]"": 199263, ""[20.0, 21.0]"": 114900, ""[21.0, 21.0]"": 16391}"	0.0	0.346968935300084	0.7663014817530563	0.4472378756579537	"{""16.0"": ""NaN"", ""20.0"": 0.97, ""21.0"": 0.97}"	2.22e-08	0.43326665516914176	0.2548165516216661	0.225318	False	NA	NA	False	NA	902:downstream:936518:936661:ISG15:protein_coding,920:downstream:936525:936643:ISG15:protein_coding	0:inside:ISG15:protein_coding	86207:downstream:RP11-54O7.16:lncRNA,87235:downstream:RP11-54O7.1:lncRNA,87212:downstream:RP11-54O7.2:lncRNA,81167:upstream:LINC02593:lncRNA,36464:downstream:KLHL17:protein_coding,26318:downstream:PLEKHN1:protein_coding,20090:upstream:PERM1:protein_coding,4132:upstream:RP11-54O7.17:lncRNA,2011:upstream:HES4:protein_coding,0:inside:ISG15:protein_coding,5874:downstream:RP11-54O7.10:processed_pseudogene,9795:downstream:RP11-54O7.11:lncRNA,52831:upstream:RP11-54O7.14:lncRNA,60006:downstream:RP11-54O7.18:lncRNA,68765:downstream:RNF223:protein_coding,95383:upstream:RP11-465B22.9:lncRNA,57608:downstream:SAMD11:protein_coding,42874:upstream:NOC2L:protein_coding,17918:upstream:AGRN:protein_coding,57506:upstream:RP11-465B22.3:transcribed_unprocessed_pseudogene,79616:downstream:C1orf159:protein_coding	intron:ISG15:protein_coding	transcribed;ISG15-202:protein_coding:3,ISG15-201:protein_coding:3
1	1_17232446_17510655	17357450	17357467	17357446	STR_10928	1	T	16.0,17.0,18.0,19.0	18.0	"{""16.0"": 226.63, ""17.0"": 616546.53, ""18.0"": 357877.39, ""19.0"": 167.76}"	"{""16.0"": 12, ""17.0"": 617043, ""18.0"": 357675, ""19.0"": 88}"	"{""[16.0, 17.0]"": 9, ""[16.0, 18.0]"": 3, ""[17.0, 17.0]"": 195844, ""[17.0, 18.0]"": 225305, ""[17.0, 19.0]"": 41, ""[18.0, 18.0]"": 66160, ""[18.0, 19.0]"": 47}"	"{""16.0"": 133.03, ""17.0"": 424122.48, ""18.0"": 236828.79, ""19.0"": 23.84}"	"{""16.0"": 3, ""17.0"": 424466, ""18.0"": 236630, ""19.0"": 9}"	"{""[16.0, 17.0]"": 1, ""[16.0, 18.0]"": 2, ""[17.0, 17.0]"": 136133, ""[17.0, 18.0]"": 152194, ""[17.0, 19.0]"": 5, ""[18.0, 18.0]"": 42215, ""[18.0, 19.0]"": 4}"	0.0002372834193207786	0.459655206375606	0.9412662003245098	0.3550423070862032	"{""16.0"": 0.09, ""17.0"": 1.0, ""18.0"": 1.0, ""19.0"": 0.76}"	1.38e-08	-0.35543348001563224	-0.24124441727554208	0.210562	False	NA	NA	False	NA	none	0:inside:SDHB:protein_coding	53163:downstream:RP1-37C10.7:lncRNA,25864:downstream:RP1-37C10.3:lncRNA,19027:upstream:ATP13A2:protein_coding,19198:upstream:RP1-37C10.8:protein_coding,0:inside:SDHB:protein_coding,57991:downstream:CROCC:protein_coding,50323:upstream:MFAP2:protein_coding,35789:downstream:PADI2:protein_coding	intron:SDHB:protein_coding	transcribed;SDHB-201:protein_coding:1,SDHB-207:processed_transcript:5,SDHB-208:protein_coding:5,SDHB-205:retained_intron:2,SDHB-202:protein_coding:3
1	1_23158362_23956324	23747997	23748008	23747997	STR_15368	1	A	11.0,12.0	12.0	"{""11.0"": 691216.19, ""12.0"": 283601.78}"	"{""11.0"": 691652, ""12.0"": 283166}"	"{""[11.0, 11.0]"": 246522, ""[11.0, 12.0]"": 198608, ""[12.0, 12.0]"": 42279}"	"{""11.0"": 474590.92, ""12.0"": 186517.08}"	"{""11.0"": 474820, ""12.0"": 186288}"	"{""[11.0, 11.0]"": 170622, ""[11.0, 12.0]"": 133576, ""[12.0, 12.0]"": 26356}"	0.0	0.4047613673636119	0.8578668798419408	0.4377320455427184	"{""11.0"": 1.0, ""12.0"": 1.0}"	6.440000000000001e-27	-0.7237368093338326	-0.4606194401014117	0.713257	False	NA	NA	False	NA	none	0:inside:TCEA3:protein_coding	49665:downstream:ZNF436-AS1:lncRNA,51158:downstream:Y_RNA:misc_RNA,42475:upstream:RP5-1057J7.7:lncRNA,9358:downstream:RP4-654C18.1:processed_pseudogene,77168:upstream:HNRNPR:protein_coding,51668:upstream:ZNF436:protein_coding,7048:downstream:ASAP3:protein_coding,0:inside:TCEA3:protein_coding,84922:downstream:E2F2:protein_coding	intron:TCEA3:protein_coding	transcribed;TCEA3-201:protein_coding:1,TCEA3-203:protein_coding:1,TCEA3-205:protein_coding:3
1	1_26867928_27472994	27247247	27247280	27247245	STR_18388	1	A	33.0,34.0,35.0,36.0,37.0	34.0	"{""33.0"": 117.62, ""34.0"": 821866.68, ""35.0"": 77137.47, ""36.0"": 53089.82, ""37.0"": 22628.53}"	"{""33.0"": 6, ""34.0"": 823781, ""35.0"": 75249, ""36.0"": 53463, ""37.0"": 22319}"	"{""[33.0, 34.0]"": 4, ""[33.0, 35.0]"": 1, ""[33.0, 36.0]"": 1, ""[34.0, 34.0]"": 348280, ""[34.0, 35.0]"": 63318, ""[34.0, 36.0]"": 45076, ""[34.0, 37.0]"": 18823, ""[35.0, 35.0]"": 2991, ""[35.0, 36.0]"": 4250, ""[35.0, 37.0]"": 1698, ""[36.0, 36.0]"": 1447, ""[36.0, 37.0]"": 1242, ""[37.0, 37.0]"": 278}"	"{""33.0"": 20.49, ""34.0"": 557045.33, ""35.0"": 51225.77, ""36.0"": 36632.91, ""37.0"": 16199.48}"	"{""34.0"": 557877, ""35.0"": 50339, ""36.0"": 36902, ""37.0"": 15990}"	"{""[34.0, 34.0]"": 235405, ""[34.0, 35.0]"": 42392, ""[34.0, 36.0]"": 31194, ""[34.0, 37.0]"": 13481, ""[35.0, 35.0]"": 1931, ""[35.0, 36.0]"": 2867, ""[35.0, 37.0]"": 1218, ""[36.0, 36.0]"": 983, ""[36.0, 37.0]"": 875, ""[37.0, 37.0]"": 208}"	0.07994397661993746	0.2784160832915944	0.8518274878990725	0.9876157208122752	"{""33.0"": ""NaN"", ""34.0"": 0.99, ""35.0"": 0.99, ""36.0"": 1.0, ""37.0"": 0.99}"	1.52e-16	-0.37698073876251614	-0.3580925337929301	0.991997	False	NA	NA	False	NA	954:upstream:27248234:27248420:NUDC:protein_coding	0:inside:NUDC:protein_coding	56300:downstream:SFN:protein_coding,42511:downstream:RP1-50O24.6:lncRNA,20289:upstream:GPATCH3:protein_coding,6781:upstream:NR0B2:protein_coding,59376:upstream:RPL12P13:unprocessed_pseudogene,62839:upstream:RPL32P6:processed_pseudogene,65108:downstream:OSTCP2:processed_pseudogene,72903:upstream:TRNP1:protein_coding,84231:downstream:TENT5B:protein_coding,63152:downstream:ZDHHC18:protein_coding,30473:upstream:GPN2:protein_coding,28773:downstream:KDF1:protein_coding,0:inside:NUDC:protein_coding	intron:NUDC:protein_coding	transcribed;NUDC-202:protein_coding:5
1	1_45470626_46734736	46024068	46024088	46024065	STR_32333	1	T	19.0,20.0,21.0,22.0	21.0	"{""19.0"": 12850.78, ""20.0"": 142683.11, ""21.0"": 810092.97, ""22.0"": 9191.16}"	"{""19.0"": 12579, ""20.0"": 142772, ""21.0"": 811159, ""22.0"": 8308}"	"{""[19.0, 19.0]"": 110, ""[19.0, 20.0]"": 1860, ""[19.0, 21.0]"": 10415, ""[19.0, 22.0]"": 84, ""[20.0, 20.0]"": 10745, ""[20.0, 21.0]"": 118131, ""[20.0, 22.0]"": 1291, ""[21.0, 21.0]"": 337886, ""[21.0, 22.0]"": 6841, ""[22.0, 22.0]"": 46}"	"{""19.0"": 8205.24, ""20.0"": 93383.46, ""21.0"": 553711.53, ""22.0"": 5807.77}"	"{""19.0"": 8010, ""20.0"": 93552, ""21.0"": 554287, ""22.0"": 5259}"	"{""[19.0, 19.0]"": 55, ""[19.0, 20.0]"": 1118, ""[19.0, 21.0]"": 6724, ""[19.0, 22.0]"": 58, ""[20.0, 20.0]"": 6557, ""[20.0, 21.0]"": 78548, ""[20.0, 22.0]"": 772, ""[21.0, 21.0]"": 232315, ""[21.0, 22.0]"": 4385, ""[22.0, 22.0]"": 22}"	0.02119624932688759	0.2768152357271245	0.744989757598532	0.6902923413742018	"{""19.0"": 0.99, ""20.0"": 0.99, ""21.0"": 0.99, ""22.0"": 0.96}"	4.7e-17	0.6910600244277383	0.40876987924612657	0.336623	False	NA	NA	False	NA	none	0:inside:AKR1A1:protein_coding	58317:upstream:CCDC163:protein_coding,26257:downstream:HMGB1P48:unprocessed_pseudogene,22476:downstream:ENSG00000281133:pseudogene,22803:downstream:ENSG00000280836:pseudogene,34306:downstream:ENSG00000281112:pseudogene,47241:downstream:ENSG00000281825:pseudogene,87400:downstream:RPS15AP10:processed_pseudogene,92623:downstream:RP11-767N6.2:processed_pseudogene,45014:downstream:MMACHC:protein_coding,0:inside:AKR1A1:protein_coding,25430:upstream:NASP:protein_coding,61628:downstream:CCDC17:protein_coding,67241:upstream:RP4-534D1.6:protein_coding,67233:upstream:TESK2:protein_coding,15664:upstream:PRDX1:protein_coding,68888:downstream:GPBP1L1:protein_coding	intron:AKR1A1:protein_coding	transcribed;AKR1A1-202:protein_coding:1,AKR1A1-214:protein_coding:5,AKR1A1-203:protein_coding:2,AKR1A1-201:protein_coding:1,AKR1A1-212:processed_transcript:2,AKR1A1-208:processed_transcript:3,AKR1A1-209:protein_coding:3,AKR1A1-204:protein_coding:1
1	1_88864157_89576864	89314295	89314334	89314290	STR_55355	2	GT	14.0,15.0,16.0,17.0,18.0,18.5,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0	20.0	"{""14.0"": 0.0, ""15.0"": 4619.28, ""16.0"": 341749.39, ""17.0"": 197972.23, ""18.0"": 14303.4, ""18.5"": 1395.07, ""19.0"": 7353.52, ""20.0"": 44900.62, ""21.0"": 35453.3, ""22.0"": 318180.87, ""23.0"": 3654.3, ""24.0"": 2893.34, ""25.0"": 2493.3, ""26.0"": 0.0}"	"{""15.0"": 2726, ""16.0"": 348089, ""17.0"": 199019, ""18.0"": 6021, ""18.5"": 1404, ""19.0"": 7805, ""20.0"": 41199, ""21.0"": 25397, ""22.0"": 338096, ""23.0"": 2152, ""24.0"": 2369, ""25.0"": 541}"	"{""[15.0, 15.0]"": 33, ""[15.0, 16.0]"": 986, ""[15.0, 17.0]"": 538, ""[15.0, 18.0]"": 63, ""[15.0, 18.5]"": 57, ""[15.0, 19.0]"": 53, ""[15.0, 20.0]"": 91, ""[15.0, 21.0]"": 130, ""[15.0, 22.0]"": 726, ""[15.0, 23.0]"": 6, ""[15.0, 24.0]"": 10, ""[16.0, 16.0]"": 62270, ""[16.0, 17.0]"": 71245, ""[16.0, 18.0]"": 2247, ""[16.0, 18.5]"": 548, ""[16.0, 19.0]"": 2790, ""[16.0, 20.0]"": 14551, ""[16.0, 21.0]"": 9036, ""[16.0, 22.0]"": 120338, ""[16.0, 23.0]"": 757, ""[16.0, 24.0]"": 861, ""[16.0, 25.0]"": 190, ""[17.0, 17.0]"": 20561, ""[17.0, 18.0]"": 1299, ""[17.0, 18.5]"": 274, ""[17.0, 19.0]"": 1696, ""[17.0, 20.0]"": 8458, ""[17.0, 21.0]"": 5114, ""[17.0, 22.0]"": 68250, ""[17.0, 23.0]"": 437, ""[17.0, 24.0]"": 466, ""[17.0, 25.0]"": 120, ""[18.0, 18.0]"": 78, ""[18.0, 18.5]"": 78, ""[18.0, 19.0]"": 95, ""[18.0, 20.0]"": 234, ""[18.0, 21.0]"": 205, ""[18.0, 22.0]"": 1616, ""[18.0, 23.0]"": 10, ""[18.0, 24.0]"": 16, ""[18.0, 25.0]"": 2, ""[18.5, 18.5]"": 38, ""[18.5, 19.0]"": 54, ""[18.5, 20.0]"": 33, ""[18.5, 21.0]"": 142, ""[18.5, 22.0]"": 130, ""[18.5, 23.0]"": 2, ""[18.5, 24.0]"": 10, ""[19.0, 19.0]"": 54, ""[19.0, 20.0]"": 308, ""[19.0, 21.0]"": 233, ""[19.0, 22.0]"": 2429, ""[19.0, 23.0]"": 20, ""[19.0, 24.0]"": 16, ""[19.0, 25.0]"": 3, ""[20.0, 20.0]"": 901, ""[20.0, 21.0]"": 1013, ""[20.0, 22.0]"": 14499, ""[20.0, 23.0]"": 82, ""[20.0, 24.0]"": 108, ""[20.0, 25.0]"": 20, ""[21.0, 21.0]"": 390, ""[21.0, 22.0]"": 8606, ""[21.0, 23.0]"": 46, ""[21.0, 24.0]"": 75, ""[21.0, 25.0]"": 17, ""[22.0, 22.0]"": 59868, ""[22.0, 23.0]"": 781, ""[22.0, 24.0]"": 798, ""[22.0, 25.0]"": 187, ""[23.0, 23.0]"": 3, ""[23.0, 24.0]"": 4, ""[23.0, 25.0]"": 1, ""[24.0, 24.0]"": 2, ""[24.0, 25.0]"": 1}"	"{""14.0"": 0.0, ""15.0"": 2636.94, ""16.0"": 229913.37, ""17.0"": 132278.29, ""18.0"": 8245.2, ""18.5"": 82.26, ""19.0"": 4422.36, ""20.0"": 30508.98, ""21.0"": 23120.42, ""22.0"": 223573.13, ""23.0"": 2623.53, ""24.0"": 1993.93, ""25.0"": 1810.86, ""26.0"": 0.0}"	"{""15.0"": 1269, ""16.0"": 234299, ""17.0"": 133082, ""18.0"": 2386, ""18.5"": 72, ""19.0"": 4783, ""20.0"": 27887, ""21.0"": 16206, ""22.0"": 237528, ""23.0"": 1582, ""24.0"": 1625, ""25.0"": 389}"	"{""[15.0, 15.0]"": 3, ""[15.0, 16.0]"": 450, ""[15.0, 17.0]"": 247, ""[15.0, 18.0]"": 4, ""[15.0, 19.0]"": 10, ""[15.0, 20.0]"": 46, ""[15.0, 21.0]"": 32, ""[15.0, 22.0]"": 468, ""[15.0, 23.0]"": 3, ""[15.0, 24.0]"": 3, ""[16.0, 16.0]"": 41610, ""[16.0, 17.0]"": 47214, ""[16.0, 18.0]"": 837, ""[16.0, 18.5]"": 25, ""[16.0, 19.0]"": 1663, ""[16.0, 20.0]"": 9857, ""[16.0, 21.0]"": 5759, ""[16.0, 22.0]"": 84030, ""[16.0, 23.0]"": 549, ""[16.0, 24.0]"": 563, ""[16.0, 25.0]"": 132, ""[17.0, 17.0]"": 13468, ""[17.0, 18.0]"": 465, ""[17.0, 18.5]"": 14, ""[17.0, 19.0]"": 1027, ""[17.0, 20.0]"": 5594, ""[17.0, 21.0]"": 3229, ""[17.0, 22.0]"": 47602, ""[17.0, 23.0]"": 332, ""[17.0, 24.0]"": 330, ""[17.0, 25.0]"": 92, ""[18.0, 18.0]"": 5, ""[18.0, 19.0]"": 14, ""[18.0, 20.0]"": 127, ""[18.0, 21.0]"": 55, ""[18.0, 22.0]"": 862, ""[18.0, 23.0]"": 7, ""[18.0, 24.0]"": 4, ""[18.0, 25.0]"": 1, ""[18.5, 20.0]"": 4, ""[18.5, 21.0]"": 1, ""[18.5, 22.0]"": 28, ""[19.0, 19.0]"": 16, ""[19.0, 20.0]"": 194, ""[19.0, 21.0]"": 109, ""[19.0, 22.0]"": 1710, ""[19.0, 23.0]"": 14, ""[19.0, 24.0]"": 8, ""[19.0, 25.0]"": 2, ""[20.0, 20.0]"": 595, ""[20.0, 21.0]"": 653, ""[20.0, 22.0]"": 10071, ""[20.0, 23.0]"": 54, ""[20.0, 24.0]"": 82, ""[20.0, 25.0]"": 15, ""[21.0, 21.0]"": 188, ""[21.0, 22.0]"": 5900, ""[21.0, 23.0]"": 34, ""[21.0, 24.0]"": 47, ""[21.0, 25.0]"": 11, ""[22.0, 22.0]"": 42779, ""[22.0, 23.0]"": 584, ""[22.0, 24.0]"": 580, ""[22.0, 25.0]"": 135, ""[23.0, 24.0]"": 4, ""[23.0, 25.0]"": 1, ""[24.0, 24.0]"": 2}"	0.3141558647536808	0.70232676765704	1.9982461053845144	0.3061793031505209	"{""14.0"": ""NaN"", ""15.0"": 0.64, ""16.0"": 0.99, ""17.0"": 0.98, ""18.0"": 0.49, ""18.5"": 0.98, ""19.0"": 0.95, ""20.0"": 0.93, ""21.0"": 0.74, ""22.0"": 0.97, ""23.0"": 0.76, ""24.0"": 0.88, ""25.0"": 0.44, ""26.0"": ""NaN""}"	3.2400000000000004e-33	-0.16637866924657763	-0.6394754392983295	0.073341	False	NA	NA	False	NA	none	3982:downstream:GTF2B:protein_coding	31727:downstream:RNU6-125P:snRNA,19193:downstream:ELOCP19:processed_pseudogene,74719:upstream:RP11-82K18.2:processed_pseudogene,3982:downstream:GTF2B:protein_coding,87122:downstream:KYAT3:protein_coding,12357:downstream:PKN2:protein_coding	intergenic	untranscribed
1	1_93422830_94024133	93547831	93547846	93547831	STR_57938	1	T	16.0,17.0,18.0	16.0	"{""16.0"": 678017.71, ""17.0"": 289169.88, ""18.0"": 7642.11}"	"{""16.0"": 677600, ""17.0"": 290519, ""18.0"": 6699}"	"{""[16.0, 16.0]"": 235786, ""[16.0, 17.0]"": 201441, ""[16.0, 18.0]"": 4587, ""[17.0, 17.0]"": 43506, ""[17.0, 18.0]"": 2066, ""[18.0, 18.0]"": 23}"	"{""16.0"": 460482.13, ""17.0"": 195144.14, ""18.0"": 5489.66}"	"{""16.0"": 460095, ""17.0"": 196183, ""18.0"": 4830}"	"{""[16.0, 16.0]"": 160283, ""[16.0, 17.0]"": 136232, ""[16.0, 18.0]"": 3297, ""[17.0, 17.0]"": 29226, ""[17.0, 18.0]"": 1499, ""[18.0, 18.0]"": 17}"	0.008303626869193727	0.4275469291307561	0.9359029819952824	0.2931637372043077	"{""16.0"": 0.99, ""17.0"": 0.98, ""18.0"": 0.94}"	6.51e-10	-0.2871864528089287	-0.19527872289037712	0.159754	False	NA	NA	False	NA	none	0:inside:MTF2:protein_coding	94907:downstream:RP11-430H15.1:lncRNA,99966:upstream:AC093577.1:miRNA,71923:downstream:RNU6-210P:snRNA,55732:downstream:RN7SKP123:misc_RNA,54768:upstream:Y_RNA:misc_RNA,67453:downstream:TMED5:protein_coding,0:inside:MTF2:protein_coding,97630:upstream:CCDC18:protein_coding	intron:MTF2:protein_coding	transcribed;MTF2-207:processed_transcript:5,MTF2-206:processed_transcript:5,MTF2-211:processed_transcript:5,MTF2-214:protein_coding:2,MTF2-213:protein_coding:2,MTF2-201:protein_coding:1,MTF2-205:processed_transcript:2,MTF2-202:protein_coding:1
1	1_93422830_94024133	93578774	93578790	93578770	STR_57966	1	A	16.0,17.0,18.0,19.0,20.0	17.0	"{""16.0"": 0.0, ""17.0"": 668140.35, ""18.0"": 141470.05, ""19.0"": 165112.37, ""20.0"": 99.41}"	"{""17.0"": 668650, ""18.0"": 140827, ""19.0"": 165338, ""20.0"": 3}"	"{""[17.0, 17.0]"": 229631, ""[17.0, 18.0]"": 96565, ""[17.0, 19.0]"": 112821, ""[17.0, 20.0]"": 2, ""[18.0, 18.0]"": 10420, ""[18.0, 19.0]"": 23422, ""[19.0, 19.0]"": 14547, ""[19.0, 20.0]"": 1}"	"{""16.0"": 0.0, ""17.0"": 452344.25, ""18.0"": 95034.61, ""19.0"": 113677.01, ""20.0"": 55.2}"	"{""17.0"": 452678, ""18.0"": 94610, ""19.0"": 113819, ""20.0"": 1}"	"{""[17.0, 17.0]"": 155202, ""[17.0, 18.0]"": 64686, ""[17.0, 19.0]"": 77588, ""[18.0, 18.0]"": 6850, ""[18.0, 19.0]"": 16224, ""[19.0, 19.0]"": 10003, ""[19.0, 20.0]"": 1}"	0.14383333499467799	0.4810295546141789	1.2125343723504045	0.0775740742106499	"{""16.0"": ""NaN"", ""17.0"": 1.0, ""18.0"": 0.99, ""19.0"": 1.0, ""20.0"": 0.13}"	2.96e-10	-0.1787241728723412	-0.19484236124338392	0.375961	False	NA	NA	False	NA	none	0:inside:MTF2:protein_coding	86675:downstream:RN7SKP123:misc_RNA,85711:upstream:Y_RNA:misc_RNA,77507:downstream:RP4-612C19.1:processed_pseudogene,86522:downstream:RP4-612C19.2:processed_pseudogene,36509:downstream:TMED5:protein_coding,0:inside:MTF2:protein_coding,66686:upstream:CCDC18:protein_coding	intron:MTF2:protein_coding	transcribed;MTF2-207:processed_transcript:5,MTF2-206:processed_transcript:5,MTF2-211:processed_transcript:5,MTF2-214:protein_coding:2,MTF2-213:protein_coding:2,MTF2-201:protein_coding:1,MTF2-205:processed_transcript:2,MTF2-202:protein_coding:1,MTF2-203:processed_transcript:1,MTF2-212:processed_transcript:5
1	1_111475265_111865099	111710515	111710528	111710515	STR_66946	1	T	13.0,14.0,15.0	14.0	"{""13.0"": 110447.59, ""14.0"": 864197.02, ""15.0"": 173.37}"	"{""13.0"": 110539, ""14.0"": 864129, ""15.0"": 150}"	"{""[13.0, 13.0]"": 6778, ""[13.0, 14.0]"": 96958, ""[13.0, 15.0]"": 25, ""[14.0, 14.0]"": 383525, ""[14.0, 15.0]"": 121, ""[15.0, 15.0]"": 2}"	"{""13.0"": 71591.99, ""14.0"": 589495.41, ""15.0"": 20.6}"	"{""13.0"": 71625, ""14.0"": 589479, ""15.0"": 4}"	"{""[13.0, 13.0]"": 3874, ""[13.0, 14.0]"": 63877, ""[14.0, 14.0]"": 262799, ""[14.0, 15.0]"": 4}"	3.115981049994857e-05	0.1932170039374685	0.4950036852824013	0.9560854903549352	"{""13.0"": 1.0, ""14.0"": 1.0, ""15.0"": 0.63}"	2.1e-15	0.6166494867931078	0.2710479962848896	0.185801	False	NA	NA	False	NA	none	0:inside:CEPT1:protein_coding	13468:downstream:RP5-1180E21.4:lncRNA,16509:downstream:RP5-1180E21.5:lncRNA,82348:upstream:CHIAP1:unprocessed_pseudogene,0:inside:CEPT1:protein_coding,18063:downstream:DENND2D:protein_coding,32865:upstream:CHI3L2:protein_coding,27690:upstream:DRAM2:protein_coding	intron:CEPT1:protein_coding	transcribed;CEPT1-210:protein_coding:1,CEPT1-209:processed_transcript:1,CEPT1-201:protein_coding:1,CEPT1-202:processed_transcript:5,CEPT1-206:processed_transcript:5,CEPT1-211:protein_coding:5
1	1_154112638_154385361	154253232	154253246	154253232	STR_75728	1	T	14.0,15.0,16.0	15.0	"{""14.0"": 291573.05, ""15.0"": 681400.0, ""16.0"": 1844.93}"	"{""14.0"": 291865, ""15.0"": 681389, ""16.0"": 1564}"	"{""[14.0, 14.0]"": 44255, ""[14.0, 15.0]"": 202788, ""[14.0, 16.0]"": 567, ""[15.0, 15.0]"": 238823, ""[15.0, 16.0]"": 955, ""[16.0, 16.0]"": 21}"	"{""14.0"": 197341.26, ""15.0"": 462998.2, ""16.0"": 768.54}"	"{""14.0"": 197521, ""15.0"": 463006, ""16.0"": 581}"	"{""[14.0, 14.0]"": 29487, ""[14.0, 15.0]"": 138370, ""[14.0, 16.0]"": 177, ""[15.0, 15.0]"": 162116, ""[15.0, 16.0]"": 404}"	0.0011625029495937124	0.4202460917837528	0.8895244976819789	0.8962669243106856	"{""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.95}"	3.65e-11	0.30656146957836594	0.19926648134663058	0.253326	False	NA	NA	False	NA	none	4881:downstream:HAX1:protein_coding	87013:upstream:MIR190B:miRNA,26235:downstream:AL590431.1:miRNA,20894:downstream:SNORA58:snoRNA,4881:downstream:HAX1:protein_coding,7690:upstream:SNORD59:snoRNA,14733:upstream:RNU6-239P:snRNA,16880:upstream:RNU6-121P:snRNA,31692:upstream:RP11-137P24.5:unprocessed_pseudogene,40320:upstream:AQP10:protein_coding,57973:upstream:RNU7-57P:snRNA,96196:downstream:RP11-350G8.4:unprocessed_pseudogene,97437:downstream:RPSAP17:processed_pseudogene,74423:upstream:C1orf189:protein_coding,60119:upstream:C1orf43:protein_coding,9246:downstream:UBAP2L:protein_coding,44755:upstream:ATP8B2:protein_coding,86108:upstream:TPM3:protein_coding	intergenic	untranscribed
