chrom	start	end
1	2081720	2333908
1	2779056	3226277
1	7585624	8311274
1	9517424	10867120
1	11707368	12031821
1	25395341	26126950
1	26159884	26409884
1	28467305	29706711
1	32207350	32487347
1	40157818	40560999
1	40703444	41008132
1	45338393	47209864
1	47545525	47833112
1	51928017	53178563
1	62775811	63328221
1	89522548	89772548
1	89822314	90492464
1	109133918	109437431
1	110104787	110357983
1	111132079	111873488
1	112868389	113388711
1	113953755	114537667
1	114782055	115456910
1	117998285	118397858
1	146347754	146718892
1	150153389	151446975
1	153787623	154553683
1	156553503	157455895
1	158431301	158756171
1	159758964	160037527
1	160709616	161427257
1	161432154	161742497
1	161965051	162429371
1	164369735	164654120
1	170444446	173013439
1	173218776	173468776
1	184817671	185067671
1	198418027	199247765
1	202705389	203061643
1	204311640	205612838
1	205615382	205865382
1	207075467	207413897
1	213812037	214078479
1	220515065	220765065
1	220849174	221482227
1	224127747	224584225
1	225898875	226182977
1	226239866	226625831
1	230154582	230427839
1	230902427	231209146
1	234612131	234862131
1	236078443	236384571
1	243146453	243605620
1	246726155	247323669
1	247336910	248728633
1	249050040	249250621
2	16450837	16920553
2	23753075	24500230
2	27473097	27877871
2	31310169	31675628
2	33070340	33358902
2	36890371	37711187
2	37875851	38176101
2	43326957	43589818
2	43947576	44222367
2	54757381	55007381
2	55008057	55496644
2	65183573	65512899
2	66462280	66847287
2	68490546	69002733
2	69662268	70682814
2	73854610	75045648
2	85414170	85814242
2	85918704	86470606
2	100236308	101162010
2	106134024	106662741
2	108870182	109441789
2	113326673	113980231
2	120176828	121198863
2	143608994	144016751
2	160552375	161201301
2	161219813	161488589
2	169614113	169864113
2	171700673	172176218
2	173104238	173374153
2	175311940	175685214
2	181594391	181844391
2	183642134	184111831
2	191417514	191970785
2	192496098	192865497
2	203344588	204608558
2	211222938	211798410
2	218598064	219806093
2	223692023	224283939
2	224730511	225035345
2	225647004	225956237
2	227428238	227681675
2	241016182	241970275
2	242500935	242792893
3	15435665	16152711
3	17873460	18517551
3	36837588	37089216
3	46857737	47711055
3	48010735	48260735
3	48343798	48593798
3	49518013	50537945
3	55344762	55594762
3	55612184	58674647
3	72266571	72525695
3	98376845	98701289
3	107031261	107676521
3	112877184	113434470
3	121165401	121548623
3	122578341	124968965
3	127492194	127751969
3	127909896	130368473
3	135988100	136789737
3	142569463	143163659
3	167167779	167791284
3	168523039	169284136
3	178424997	179083574
3	183412759	183883960
3	183965266	184215266
3	193994583	194330859
3	195528472	196354475
4	2409436	3593883
4	6630033	7228479
4	7632545	7953249
4	14791511	15048485
4	38457648	38841640
4	47562936	49781744
4	52544398	53706598
4	57571805	58032587
4	76187573	76437579
4	79389417	79784218
4	87393189	88356392
4	89626291	90186059
4	95039481	95615463
4	99768278	100195973
4	102583235	103328482
4	105800099	106518547
4	122761827	124408682
4	148868857	149118857
4	149160698	149450626
4	153537218	153986194
4	154053249	154628042
4	185535359	185920112
5	959377	1421486
5	43350628	44139003
5	51253731	51503731
5	52209774	52524635
5	59617759	60979916
5	61041777	62113803
5	65788106	66269519
5	71591874	72650291
5	73639862	73889862
5	73891034	77789872
5	77906636	78156636
5	86414343	89007668
5	110902048	111191697
5	121891232	122645707
5	125229938	125480100
5	129431946	132263164
5	133295775	134028250
5	134552264	134884527
5	140185448	141542287
5	156683369	157160404
5	157885214	158987238
5	159267856	159838955
5	169555139	169805139
5	177481207	177754848
6	3290302	3595613
6	11345694	11737296
6	22252623	22680613
6	22757327	23030803
6	24828837	25124254
6	33391583	33873261
6	34007636	35620137
6	35892050	37157624
6	42702390	43014543
6	43929459	44230929
6	46719096	47102277
6	47167115	48000526
6	51730211	52560180
6	52984301	53346982
6	71120567	71681032
6	109459410	109773130
6	110535581	110952882
6	116595514	116845514
6	118950856	119511303
6	129881856	130131856
6	136957948	137232938
6	139720923	140012037
6	143091494	143392520
6	145843836	146774257
6	147359610	147839725
6	156813699	157063699
6	157676040	158239386
7	1946957	2480904
7	5366964	5687740
7	6365693	6712632
7	16560870	16850904
7	17686797	18143437
7	37247614	37611477
7	43855489	44130217
7	44524905	45064191
7	50200717	50561828
7	72725178	73408508
7	75482155	76055800
7	80038602	80419169
7	98102297	98352297
7	98567789	100908463
7	101043487	103324041
7	103391493	103641493
7	105743193	107426823
7	116322486	116722423
7	122953100	123733971
7	129021705	129396075
7	129497475	129814750
7	133611453	134163456
7	134687303	134982024
7	135069201	135813590
7	150565176	150815176
7	152089301	152543037
