chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_8781301_9042815	8911374	8911388	8911372	STR_4771	1	A	15.0,16.0,17.0,18.0	15.0	"{""15.0"": 466541.54, ""16.0"": 498591.62, ""17.0"": 9621.96, ""18.0"": 63.31}"	"{""15.0"": 471153, ""16.0"": 495486, ""17.0"": 8127, ""18.0"": 52}"	"{""[15.0, 15.0]"": 115634, ""[15.0, 16.0]"": 238003, ""[15.0, 17.0]"": 1873, ""[15.0, 18.0]"": 9, ""[16.0, 16.0]"": 126942, ""[16.0, 17.0]"": 3575, ""[16.0, 18.0]"": 24, ""[17.0, 17.0]"": 1330, ""[17.0, 18.0]"": 19}"	"{""15.0"": 325794.05, ""16.0"": 342762.48, ""17.0"": 1607.94, ""18.0"": 3.53}"	"{""15.0"": 329010, ""16.0"": 340695, ""17.0"": 463}"	"{""[15.0, 15.0]"": 80991, ""[15.0, 16.0]"": 166808, ""[15.0, 17.0]"": 220, ""[16.0, 16.0]"": 86822, ""[16.0, 17.0]"": 243}"	0.0024045761659762925	0.5005381498207253	1.0073397043703305	0.119180047340923	"{""15.0"": 0.99, ""16.0"": 1.0, ""17.0"": 0.56, ""18.0"": ""NaN""}"	1.31e-08	0.11100833342722351	0.07920822950717052	0.0815009	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
1	1_16389898_16857219	16529371	16529389	16529368	STR_10292	5	GTTTT	2.8,3.8	3.8	"{""2.8"": 117645.9, ""3.8"": 857172.09}"	"{""2.8"": 117690, ""3.8"": 857128}"	"{""[2.8, 2.8]"": 7323, ""[2.8, 3.8]"": 103044, ""[3.8, 3.8]"": 377042}"	"{""2.8"": 84695.79, ""3.8"": 585472.21}"	"{""2.8"": 84724, ""3.8"": 585444}"	"{""[2.8, 2.8]"": 5335, ""[2.8, 3.8]"": 74054, ""[3.8, 3.8]"": 255695}"	0.0	0.2208790028887963	0.5475432968088225	0.8644307032415596	"{""2.8"": 1.0, ""3.8"": 1.0}"	1.07e-09	-0.18169744004582356	-0.08538157741167482	0.0645889	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
1	1_65766329_66466400	66069035	66069056	66069035	STR_44115	2	AC	11.0,12.0,13.0,14.0	11.0	"{""11.0"": 609399.72, ""12.0"": 362585.36, ""13.0"": 2645.48, ""14.0"": 187.6}"	"{""11.0"": 609480, ""12.0"": 365051, ""13.0"": 113, ""14.0"": 174}"	"{""[11.0, 11.0]"": 191203, ""[11.0, 12.0]"": 226902, ""[11.0, 13.0]"": 68, ""[11.0, 14.0]"": 104, ""[12.0, 12.0]"": 69020, ""[12.0, 13.0]"": 45, ""[12.0, 14.0]"": 64, ""[14.0, 14.0]"": 3}"	"{""11.0"": 422626.57, ""12.0"": 245768.74, ""13.0"": 1749.4, ""14.0"": 23.29}"	"{""11.0"": 422777, ""12.0"": 247332, ""13.0"": 40, ""14.0"": 19}"	"{""[11.0, 11.0]"": 133283, ""[11.0, 12.0]"": 156168, ""[11.0, 13.0]"": 28, ""[11.0, 14.0]"": 15, ""[12.0, 12.0]"": 45574, ""[12.0, 13.0]"": 12, ""[12.0, 14.0]"": 4}"	0.002645142710484535	0.4658203557233367	0.9512816891050776	0.6327121556736914	"{""11.0"": 0.99, ""12.0"": 0.99, ""13.0"": 0.04, ""14.0"": 0.99}"	1.7e-20	-0.17993003877409403	-0.12441446295753292	0.302409	False	NA	NA	False	NA	none	0:inside:LEPR:protein_coding	31700:downstream:snoU13:snoRNA,24972:upstream:RP11-430H12.2:processed_pseudogene,0:inside:LEPR:protein_coding	intron:LEPR:protein_coding	transcribed;LEPR-204:protein_coding:1,LEPR-205:protein_coding:1,LEPR-202:protein_coding:1,LEPR-208:protein_coding:1,LEPR-206:processed_transcript:1,LEPR-201:protein_coding:1,LEPR-203:protein_coding:5
1	1_67237733_67827526	67443880	67443895	67443876	STR_44716	1	A	16.0,17.0,19.0,20.0,21.0	16.0	"{""16.0"": 727845.69, ""17.0"": 74.76, ""19.0"": 4106.74, ""20.0"": 242484.1, ""21.0"": 306.68}"	"{""16.0"": 724569, ""17.0"": 45, ""19.0"": 3616, ""20.0"": 246283, ""21.0"": 305}"	"{""[16.0, 16.0]"": 269665, ""[16.0, 17.0]"": 36, ""[16.0, 19.0]"": 2700, ""[16.0, 20.0]"": 182259, ""[16.0, 21.0]"": 244, ""[17.0, 20.0]"": 9, ""[19.0, 19.0]"": 5, ""[19.0, 20.0]"": 905, ""[19.0, 21.0]"": 1, ""[20.0, 20.0]"": 31528, ""[20.0, 21.0]"": 54, ""[21.0, 21.0]"": 3}"	"{""16.0"": 495342.65, ""17.0"": 45.39, ""19.0"": 3026.4, ""20.0"": 171717.12, ""21.0"": 36.44}"	"{""16.0"": 492947, ""17.0"": 29, ""19.0"": 2693, ""20.0"": 174464, ""21.0"": 35}"	"{""[16.0, 16.0]"": 181240, ""[16.0, 17.0]"": 23, ""[16.0, 19.0]"": 2017, ""[16.0, 20.0]"": 128404, ""[16.0, 21.0]"": 23, ""[17.0, 20.0]"": 6, ""[19.0, 19.0]"": 3, ""[19.0, 20.0]"": 669, ""[19.0, 21.0]"": 1, ""[20.0, 20.0]"": 22687, ""[20.0, 21.0]"": 11}"	0.004637986295973547	0.3911681688249137	0.8647241598488419	0.7783858960425396	"{""16.0"": 0.99, ""17.0"": 0.96, ""19.0"": 0.96, ""20.0"": 0.99, ""21.0"": 0.98}"	2.65e-11	-0.03786677817381778	-0.09371747084227242	0.0607524	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
1	1_67237733_67827526	67489170	67489186	67489170	STR_44738	1	T	15.0,16.0,17.0	17.0	"{""15.0"": 652624.88, ""16.0"": 130291.57, ""17.0"": 192043.6}"	"{""15.0"": 656128, ""16.0"": 121837, ""17.0"": 196853}"	"{""[15.0, 15.0]"": 221005, ""[15.0, 16.0]"": 82249, ""[15.0, 17.0]"": 131869, ""[16.0, 16.0]"": 7774, ""[16.0, 17.0]"": 24040, ""[17.0, 17.0]"": 20472}"	"{""15.0"": 445276.88, ""16.0"": 87556.39, ""17.0"": 137426.56}"	"{""15.0"": 447591, ""16.0"": 81639, ""17.0"": 140938}"	"{""[15.0, 15.0]"": 149376, ""[15.0, 16.0]"": 54718, ""[15.0, 17.0]"": 94121, ""[16.0, 16.0]"": 4932, ""[16.0, 17.0]"": 17057, ""[17.0, 17.0]"": 14880}"	0.13063051980901197	0.4948709722822043	1.2319880728036732	0.8021980835647892	"{""15.0"": 1.0, ""16.0"": 0.97, ""17.0"": 0.99}"	1.19e-11	-0.0824367332253324	-0.09459865802948915	0.101967	False	NA	NA	False	NA	none	0:inside:SLC35D1:protein_coding	79142:downstream:SNORA31:snoRNA,98102:downstream:RP4-547N15.3:lncRNA,34868:downstream:MIER1:protein_coding,98631:upstream:DNAI4:protein_coding,0:inside:SLC35D1:protein_coding,68662:downstream:C1orf141:protein_coding	intron:SLC35D1:protein_coding	transcribed;SLC35D1-201:protein_coding:1
1	1_101087872_102071152	101426504	101426527	101426498	STR_61967	1	T	22.0,23.0,24.0,25.0,26.0	24.0	"{""22.0"": 1811.11, ""23.0"": 608049.7, ""24.0"": 360161.27, ""25.0"": 1843.12, ""26.0"": 2960.64}"	"{""22.0"": 780, ""23.0"": 610673, ""24.0"": 360233, ""25.0"": 916, ""26.0"": 2216}"	"{""[22.0, 22.0]"": 12, ""[22.0, 23.0]"": 532, ""[22.0, 24.0]"": 200, ""[22.0, 25.0]"": 6, ""[22.0, 26.0]"": 18, ""[23.0, 23.0]"": 191766, ""[23.0, 24.0]"": 224562, ""[23.0, 25.0]"": 613, ""[23.0, 26.0]"": 1434, ""[24.0, 24.0]"": 67257, ""[24.0, 25.0]"": 263, ""[24.0, 26.0]"": 694, ""[25.0, 25.0]"": 9, ""[25.0, 26.0]"": 16, ""[26.0, 26.0]"": 27}"	"{""22.0"": 975.19, ""23.0"": 413400.24, ""24.0"": 253346.03, ""25.0"": 905.79, ""26.0"": 1545.98}"	"{""22.0"": 249, ""23.0"": 415121, ""24.0"": 253489, ""25.0"": 284, ""26.0"": 1025}"	"{""[22.0, 22.0]"": 1, ""[22.0, 23.0]"": 167, ""[22.0, 24.0]"": 79, ""[22.0, 26.0]"": 1, ""[23.0, 23.0]"": 128600, ""[23.0, 24.0]"": 156971, ""[23.0, 25.0]"": 166, ""[23.0, 26.0]"": 617, ""[24.0, 24.0]"": 47960, ""[24.0, 25.0]"": 116, ""[24.0, 26.0]"": 403, ""[25.0, 25.0]"": 1, ""[26.0, 26.0]"": 2}"	0.0051135435535078	0.4732352174454397	0.9818346826731364	0.8531429366309033	"{""22.0"": 0.81, ""23.0"": 1.0, ""24.0"": 1.0, ""25.0"": 0.72, ""26.0"": 0.92}"	6.09e-14	-0.14599407356709665	-0.10456759835933487	0.241231	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
1	1_149873779_151463570	150804402	150804417	150804398	STR_73174	1	A	15.0,16.0,17.0,18.0	16.0	"{""15.0"": 72600.25, ""16.0"": 551406.36, ""17.0"": 350581.41, ""18.0"": 229.98}"	"{""15.0"": 72304, ""16.0"": 551701, ""17.0"": 350584, ""18.0"": 229}"	"{""[15.0, 15.0]"": 2684, ""[15.0, 16.0]"": 40986, ""[15.0, 17.0]"": 25940, ""[15.0, 18.0]"": 10, ""[16.0, 16.0]"": 156443, ""[16.0, 17.0]"": 197698, ""[16.0, 18.0]"": 131, ""[17.0, 17.0]"": 63430, ""[17.0, 18.0]"": 86, ""[18.0, 18.0]"": 1}"	"{""15.0"": 51453.25, ""16.0"": 381478.47, ""17.0"": 237235.26, ""18.0"": 1.02}"	"{""15.0"": 51293, ""16.0"": 381646, ""17.0"": 237228, ""18.0"": 1}"	"{""[15.0, 15.0]"": 1957, ""[15.0, 16.0]"": 29177, ""[15.0, 17.0]"": 18202, ""[16.0, 16.0]"": 108784, ""[16.0, 17.0]"": 134900, ""[16.0, 18.0]"": 1, ""[17.0, 17.0]"": 42063}"	0.07677816607179096	0.5445328190618813	1.276740609981032	0.5233019767363202	"{""15.0"": 1.0, ""16.0"": 1.0, ""17.0"": 1.0, ""18.0"": 1.0}"	6.41e-25	-0.17430983229729335	-0.14665361824604223	0.283919	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
1	1_212232301_212532562	212360205	212360219	212360205	STR_107868	1	T	15.0,16.0	15.0	"{""15.0"": 582776.03, ""16.0"": 392041.98}"	"{""15.0"": 587202, ""16.0"": 387616}"	"{""[15.0, 15.0]"": 178039, ""[15.0, 16.0]"": 231124, ""[16.0, 16.0]"": 78246}"	"{""15.0"": 399762.99, ""16.0"": 270405.01}"	"{""15.0"": 402831, ""16.0"": 267337}"	"{""[15.0, 15.0]"": 121203, ""[15.0, 16.0]"": 160425, ""[16.0, 16.0]"": 53456}"	0.0	0.4795617946260675	0.970309663166216	0.3540691356437366	"{""15.0"": 0.99, ""16.0"": 0.99}"	2.72e-09	-0.11615804921297013	-0.0805915076105171	0.0790277	False	NA	NA	False	NA	none	0:inside:RP11-15I11.2:lncRNA	87187:upstream:RN7SKP98:misc_RNA,79463:downstream:DTL:protein_coding,0:inside:RP11-15I11.2:lncRNA,38401:downstream:LINC02608:lncRNA,98533:upstream:PPP2R5A:protein_coding	intron:RP11-15I11.2:lncRNA	transcribed;RP11-15I11.2-001:lncRNA:3
1	1_220845028_221306281	221181281	221181293	221181281	STR_112631	1	T	11.0,12.0,13.0,14.0	13.0	"{""11.0"": 0.0, ""12.0"": 631590.59, ""13.0"": 340949.33, ""14.0"": 2278.04}"	"{""12.0"": 628887, ""13.0"": 344426, ""14.0"": 1505}"	"{""[12.0, 12.0]"": 204216, ""[12.0, 13.0]"": 219485, ""[12.0, 14.0]"": 970, ""[13.0, 13.0]"": 62204, ""[13.0, 14.0]"": 533, ""[14.0, 14.0]"": 1}"	"{""11.0"": 0.0, ""12.0"": 427024.53, ""13.0"": 241411.53, ""14.0"": 1731.94}"	"{""12.0"": 424656, ""13.0"": 244353, ""14.0"": 1159}"	"{""[12.0, 12.0]"": 134636, ""[12.0, 13.0]"": 154644, ""[12.0, 14.0]"": 740, ""[13.0, 13.0]"": 44646, ""[13.0, 14.0]"": 417, ""[14.0, 14.0]"": 1}"	0.00258433706175168	0.4655332680095673	0.963675398118746	0.5071912713924434	"{""11.0"": ""NaN"", ""12.0"": 0.98, ""13.0"": 0.98, ""14.0"": 0.56}"	1.81e-09	-0.12143250106706989	-0.08361223666275777	0.127902	False	NA	NA	False	NA	none	122880:downstream:HLX:protein_coding	none	intergenic	untranscribed
2	2_65397892_65824306	65669641	65669657	65669639	STR_740148	1	A	14.0,15.0,16.0,17.0,18.0	17.0	"{""14.0"": 8845.65, ""15.0"": 156508.44, ""16.0"": 18735.33, ""17.0"": 779493.19, ""18.0"": 11235.41}"	"{""14.0"": 7693, ""15.0"": 156540, ""16.0"": 18478, ""17.0"": 783101, ""18.0"": 9006}"	"{""[14.0, 14.0]"": 26, ""[14.0, 15.0]"": 1313, ""[14.0, 16.0]"": 132, ""[14.0, 17.0]"": 6168, ""[14.0, 18.0]"": 28, ""[15.0, 15.0]"": 13267, ""[15.0, 16.0]"": 3042, ""[15.0, 17.0]"": 124416, ""[15.0, 18.0]"": 1235, ""[16.0, 16.0]"": 184, ""[16.0, 17.0]"": 14873, ""[16.0, 18.0]"": 63, ""[17.0, 17.0]"": 315943, ""[17.0, 18.0]"": 5758, ""[18.0, 18.0]"": 961}"	"{""14.0"": 6604.04, ""15.0"": 111419.06, ""16.0"": 13434.26, ""17.0"": 535145.11, ""18.0"": 3565.54}"	"{""14.0"": 5778, ""15.0"": 111456, ""16.0"": 13237, ""17.0"": 537601, ""18.0"": 2096}"	"{""[14.0, 14.0]"": 23, ""[14.0, 15.0]"": 981, ""[14.0, 16.0]"": 98, ""[14.0, 17.0]"": 4638, ""[14.0, 18.0]"": 15, ""[15.0, 15.0]"": 9500, ""[15.0, 16.0]"": 2251, ""[15.0, 17.0]"": 88890, ""[15.0, 18.0]"": 334, ""[16.0, 16.0]"": 123, ""[16.0, 17.0]"": 10607, ""[16.0, 18.0]"": 35, ""[17.0, 17.0]"": 215881, ""[17.0, 18.0]"": 1704, ""[18.0, 18.0]"": 4}"	0.035220779935467225	0.3283603178338329	0.8824870475347858	0.0805811550801464	"{""14.0"": 0.9, ""15.0"": 0.99, ""16.0"": 0.96, ""17.0"": 0.99, ""18.0"": 0.85}"	3.08e-13	0.0885071964835807	0.09990726100190857	0.210615	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
