chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_23166582_23986271	23538103	23538169	23538103	STR_15171	4	ATGT	11.75,12.75,13.75,14.75,15.75,16.75,17.75,18.75	16.75	"{""11.75"": 0.0, ""12.75"": 2340.36, ""13.75"": 4472.22, ""14.75"": 16840.9, ""15.75"": 247689.29, ""16.75"": 573773.53, ""17.75"": 125675.19, ""18.75"": 4026.8}"	"{""12.75"": 2044, ""13.75"": 2648, ""14.75"": 14892, ""15.75"": 257365, ""16.75"": 577161, ""17.75"": 119942, ""18.75"": 766}"	"{""[12.75, 12.75]"": 76, ""[12.75, 13.75]"": 18, ""[12.75, 14.75]"": 49, ""[12.75, 15.75]"": 738, ""[12.75, 16.75]"": 899, ""[12.75, 17.75]"": 187, ""[12.75, 18.75]"": 1, ""[13.75, 13.75]"": 9, ""[13.75, 14.75]"": 44, ""[13.75, 15.75]"": 712, ""[13.75, 16.75]"": 1544, ""[13.75, 17.75]"": 309, ""[13.75, 18.75]"": 3, ""[14.75, 14.75]"": 122, ""[14.75, 15.75]"": 3853, ""[14.75, 16.75]"": 8797, ""[14.75, 17.75]"": 1888, ""[14.75, 18.75]"": 17, ""[15.75, 15.75]"": 34368, ""[15.75, 16.75]"": 151806, ""[15.75, 17.75]"": 31314, ""[15.75, 18.75]"": 206, ""[16.75, 16.75]"": 171258, ""[16.75, 17.75]"": 71163, ""[16.75, 18.75]"": 436, ""[17.75, 17.75]"": 7489, ""[17.75, 18.75]"": 103}"	"{""11.75"": 0.0, ""12.75"": 338.02, ""13.75"": 2876.91, ""14.75"": 11698.86, ""15.75"": 165586.65, ""16.75"": 398985.74, ""17.75"": 88038.24, ""18.75"": 2637.59}"	"{""12.75"": 119, ""13.75"": 1591, ""14.75"": 10357, ""15.75"": 172354, ""16.75"": 400499, ""17.75"": 84726, ""18.75"": 516}"	"{""[12.75, 14.75]"": 1, ""[12.75, 15.75]"": 25, ""[12.75, 16.75]"": 73, ""[12.75, 17.75]"": 19, ""[12.75, 18.75]"": 1, ""[13.75, 13.75]"": 2, ""[13.75, 14.75]"": 29, ""[13.75, 15.75]"": 393, ""[13.75, 16.75]"": 974, ""[13.75, 17.75]"": 190, ""[13.75, 18.75]"": 1, ""[14.75, 14.75]"": 79, ""[14.75, 15.75]"": 2617, ""[14.75, 16.75]"": 6241, ""[14.75, 17.75]"": 1301, ""[14.75, 18.75]"": 10, ""[15.75, 15.75]"": 22146, ""[15.75, 16.75]"": 103120, ""[15.75, 17.75]"": 21776, ""[15.75, 18.75]"": 131, ""[16.75, 16.75]"": 119584, ""[16.75, 17.75]"": 50627, ""[16.75, 18.75]"": 296, ""[17.75, 17.75]"": 5368, ""[17.75, 18.75]"": 77}"	0.15755834921170783	0.5604845110647863	1.4487658128775227	0.7435334426412048	"{""11.75"": ""NaN"", ""12.75"": 0.7, ""13.75"": 0.8, ""14.75"": 0.95, ""15.75"": 0.96, ""16.75"": 0.92, ""17.75"": 0.89, ""18.75"": 0.44}"	8.85e-10	-0.0052010152028695075	-0.005127020541072273	0.74374	False	NA	NA	False	NA	none	0:inside:HTR1D:protein_coding	70468:downstream:RP5-979D14.1:processed_pseudogene,48800:downstream:RNU6-514P:snRNA,47557:downstream:RNU6-135P:snRNA,33089:upstream:RP5-1057J7.1:processed_pseudogene,0:inside:HTR1D:protein_coding,69631:downstream:LINC01355:lncRNA,86121:upstream:RP5-1057J7.8:lncRNA,92095:downstream:HNRNPR:protein_coding,33802:upstream:LUZP1:protein_coding	intron:HTR1D:protein_coding	transcribed;HTR1D-201:protein_coding:NA
1	1_24050763_24380836	24255836	24255872	24255836	STR_15889	3	ATT	10.33,11.33,12.33,13.33,14.33,15.33,16.33,17.33,18.33,19.33	12.33	"{""10.33"": 343.03, ""11.33"": 164.34, ""12.33"": 7120.06, ""13.33"": 185825.14, ""14.33"": 219548.88, ""15.33"": 229918.37, ""16.33"": 292951.06, ""17.33"": 36349.62, ""18.33"": 2874.61, ""19.33"": 176.29}"	"{""10.33"": 308, ""11.33"": 149, ""12.33"": 3834, ""13.33"": 185315, ""14.33"": 221405, ""15.33"": 244936, ""16.33"": 288192, ""17.33"": 29264, ""18.33"": 1267, ""19.33"": 148}"	"{""[10.33, 10.33]"": 3, ""[10.33, 12.33]"": 34, ""[10.33, 13.33]"": 41, ""[10.33, 14.33]"": 82, ""[10.33, 15.33]"": 27, ""[10.33, 16.33]"": 70, ""[10.33, 17.33]"": 41, ""[10.33, 18.33]"": 6, ""[10.33, 19.33]"": 1, ""[11.33, 11.33]"": 1, ""[11.33, 12.33]"": 24, ""[11.33, 13.33]"": 15, ""[11.33, 14.33]"": 34, ""[11.33, 15.33]"": 23, ""[11.33, 16.33]"": 30, ""[11.33, 17.33]"": 13, ""[11.33, 18.33]"": 7, ""[11.33, 19.33]"": 1, ""[12.33, 12.33]"": 203, ""[12.33, 13.33]"": 504, ""[12.33, 14.33]"": 901, ""[12.33, 15.33]"": 574, ""[12.33, 16.33]"": 884, ""[12.33, 17.33]"": 371, ""[12.33, 18.33]"": 107, ""[12.33, 19.33]"": 29, ""[13.33, 13.33]"": 17723, ""[13.33, 14.33]"": 42308, ""[13.33, 15.33]"": 46598, ""[13.33, 16.33]"": 54922, ""[13.33, 17.33]"": 5296, ""[13.33, 18.33]"": 168, ""[13.33, 19.33]"": 17, ""[14.33, 14.33]"": 25787, ""[14.33, 15.33]"": 54857, ""[14.33, 16.33]"": 64694, ""[14.33, 17.33]"": 6608, ""[14.33, 18.33]"": 312, ""[14.33, 19.33]"": 35, ""[15.33, 15.33]"": 31373, ""[15.33, 16.33]"": 72667, ""[15.33, 17.33]"": 7211, ""[15.33, 18.33]"": 226, ""[15.33, 19.33]"": 7, ""[16.33, 16.33]"": 43010, ""[16.33, 17.33]"": 8554, ""[16.33, 18.33]"": 316, ""[16.33, 19.33]"": 35, ""[17.33, 17.33]"": 537, ""[17.33, 18.33]"": 82, ""[17.33, 19.33]"": 14, ""[18.33, 18.33]"": 18, ""[18.33, 19.33]"": 7, ""[19.33, 19.33]"": 1}"	"{""10.33"": 12.26, ""11.33"": 12.48, ""12.33"": 2865.78, ""13.33"": 128216.69, ""14.33"": 146521.93, ""15.33"": 162321.52, ""16.33"": 204871.21, ""17.33"": 24214.79, ""18.33"": 1420.23, ""19.33"": 16.54}"	"{""10.33"": 1, ""11.33"": 9, ""12.33"": 598, ""13.33"": 127809, ""14.33"": 147087, ""15.33"": 173623, ""16.33"": 201448, ""17.33"": 19299, ""18.33"": 279, ""19.33"": 9}"	"{""[10.33, 14.33]"": 1, ""[11.33, 13.33]"": 2, ""[11.33, 14.33]"": 1, ""[11.33, 15.33]"": 5, ""[11.33, 17.33]"": 1, ""[12.33, 12.33]"": 3, ""[12.33, 13.33]"": 118, ""[12.33, 14.33]"": 122, ""[12.33, 15.33]"": 145, ""[12.33, 16.33]"": 186, ""[12.33, 17.33]"": 21, ""[13.33, 13.33]"": 12108, ""[13.33, 14.33]"": 28138, ""[13.33, 15.33]"": 33078, ""[13.33, 16.33]"": 38614, ""[13.33, 17.33]"": 3591, ""[13.33, 18.33]"": 49, ""[13.33, 19.33]"": 3, ""[14.33, 14.33]"": 16028, ""[14.33, 15.33]"": 38135, ""[14.33, 16.33]"": 44285, ""[14.33, 17.33]"": 4286, ""[14.33, 18.33]"": 59, ""[14.33, 19.33]"": 4, ""[15.33, 15.33]"": 22621, ""[15.33, 16.33]"": 51887, ""[15.33, 17.33]"": 5052, ""[15.33, 18.33]"": 79, ""[16.33, 16.33]"": 30298, ""[16.33, 17.33]"": 5790, ""[16.33, 18.33]"": 88, ""[16.33, 19.33]"": 2, ""[17.33, 17.33]"": 278, ""[17.33, 18.33]"": 2, ""[18.33, 18.33]"": 1}"	0.45233813366772785	0.7571482930050226	2.1237402322342027	0.8799158629326189	"{""10.33"": 0.42, ""11.33"": 0.55, ""12.33"": 0.76, ""13.33"": 0.98, ""14.33"": 0.91, ""15.33"": 0.9, ""16.33"": 0.88, ""17.33"": 0.85, ""18.33"": 0.52, ""19.33"": 0.73}"	9.83e-11	-0.003784876541625069	-0.006421796245826763	0.36576	False	NA	NA	False	NA	199:downstream:24255560:24255637:MIR378F:miRNA	199:downstream:MIR378F:miRNA	47261:upstream:RN7SL24P:misc_RNA,46994:downstream:snoU13:snoRNA,26609:upstream:BTBD6P1:processed_pseudogene,21461:downstream:RP11-4M23.3:lncRNA,199:downstream:MIR378F:miRNA,19634:downstream:H3P1:processed_pseudogene,27457:upstream:PNRC2:protein_coding,78499:downstream:RP11-4M23.7:processed_pseudogene,90726:upstream:HMGCL:protein_coding,61056:upstream:FUCA1:protein_coding,15984:upstream:CNR2:protein_coding,34965:downstream:SRSF10:protein_coding	intergenic	untranscribed
1	1_26592964_27025735	26785229	26785252	26785224	STR_17919	1	A	19.0,23.0,24.0,25.0,26.0	24.0	"{""19.0"": 377.87, ""23.0"": 2759.8, ""24.0"": 720646.8, ""25.0"": 250863.97, ""26.0"": 184.4}"	"{""23.0"": 2212, ""24.0"": 722996, ""25.0"": 249521, ""26.0"": 89}"	"{""[23.0, 23.0]"": 13, ""[23.0, 24.0]"": 1629, ""[23.0, 25.0]"": 556, ""[23.0, 26.0]"": 1, ""[24.0, 24.0]"": 268559, ""[24.0, 25.0]"": 184188, ""[24.0, 26.0]"": 61, ""[25.0, 25.0]"": 32375, ""[25.0, 26.0]"": 27}"	"{""19.0"": 262.81, ""23.0"": 1591.86, ""24.0"": 496925.54, ""25.0"": 171326.83, ""26.0"": 65.26}"	"{""23.0"": 1183, ""24.0"": 498530, ""25.0"": 170437, ""26.0"": 12}"	"{""[23.0, 23.0]"": 3, ""[23.0, 24.0]"": 903, ""[23.0, 25.0]"": 274, ""[24.0, 24.0]"": 185573, ""[24.0, 25.0]"": 126473, ""[24.0, 26.0]"": 8, ""[25.0, 25.0]"": 21843, ""[25.0, 26.0]"": 4}"	0.00286483043241268	0.3819377448713947	0.836298548124101	0.2581903291238261	"{""19.0"": ""NaN"", ""23.0"": 0.87, ""24.0"": 1.0, ""25.0"": 1.0, ""26.0"": 0.56}"	1.61e-13	0.009049320531611227	0.005793826963723343	0.0652164	False	NA	NA	False	NA	833:downstream:26784282:26784396:DHDDS:protein_coding,833:downstream:26784282:26784396:DHDDS:protein_coding,833:downstream:26784282:26784396:DHDDS:protein_coding,833:downstream:26784282:26784396:DHDDS:protein_coding,833:downstream:26784282:26784396:DHDDS:protein_coding,833:downstream:26784282:26784396:DHDDS:protein_coding,833:downstream:26784282:26784396:DHDDS:protein_coding,833:downstream:26784282:26784396:DHDDS:protein_coding	0:inside:DHDDS:protein_coding	3551:upstream:RP3-476K8.4:processed_pseudogene,3995:downstream:DHDDS-AS1:lncRNA,13679:upstream:HMGN2:protein_coding,60593:downstream:DPPA2P2:processed_pseudogene,95781:upstream:MIR1976:miRNA,98658:upstream:CRYBG2:protein_coding,84216:upstream:ZNF683:protein_coding,0:inside:DHDDS:protein_coding,29010:downstream:LIN28A:protein_coding,71000:upstream:RPS6KA1:protein_coding	intron:DHDDS:protein_coding	transcribed;DHDDS-209:nonsense_mediated_decay:1,DHDDS-201:protein_coding:1,DHDDS-216:protein_coding:2,DHDDS-217:protein_coding:1,DHDDS-202:protein_coding:2,DHDDS-207:protein_coding:2,DHDDS-208:protein_coding:5,DHDDS-205:protein_coding:3
1	1_56773998_57143260	56940679	56940702	56940676	STR_38986	1	A	20.0,21.0,22.0,23.0,24.0	24.0	"{""20.0"": 4801.1, ""21.0"": 563050.26, ""22.0"": 297416.17, ""23.0"": 62389.48, ""24.0"": 47211.76}"	"{""20.0"": 3684, ""21.0"": 565530, ""22.0"": 297324, ""23.0"": 63469, ""24.0"": 44811}"	"{""[20.0, 20.0]"": 11, ""[20.0, 21.0]"": 2102, ""[20.0, 22.0]"": 1175, ""[20.0, 23.0]"": 220, ""[20.0, 24.0]"": 165, ""[21.0, 21.0]"": 164226, ""[21.0, 22.0]"": 171844, ""[21.0, 23.0]"": 37001, ""[21.0, 24.0]"": 26131, ""[22.0, 22.0]"": 45873, ""[22.0, 23.0]"": 19177, ""[22.0, 24.0]"": 13382, ""[23.0, 23.0]"": 2078, ""[23.0, 24.0]"": 2915, ""[24.0, 24.0]"": 1109}"	"{""20.0"": 3458.81, ""21.0"": 391497.17, ""22.0"": 201308.91, ""23.0"": 42692.85, ""24.0"": 31238.61}"	"{""20.0"": 2676, ""21.0"": 393297, ""22.0"": 201141, ""23.0"": 43516, ""24.0"": 29532}"	"{""[20.0, 20.0]"": 7, ""[20.0, 21.0]"": 1527, ""[20.0, 22.0]"": 847, ""[20.0, 23.0]"": 170, ""[20.0, 24.0]"": 118, ""[21.0, 21.0]"": 115158, ""[21.0, 22.0]"": 118226, ""[21.0, 23.0]"": 25685, ""[21.0, 24.0]"": 17543, ""[22.0, 22.0]"": 30132, ""[22.0, 23.0]"": 13102, ""[22.0, 24.0]"": 8702, ""[23.0, 23.0]"": 1351, ""[23.0, 24.0]"": 1857, ""[24.0, 24.0]"": 656}"	0.11547402488837787	0.5593283542433672	1.4588262968260437	0.2147940337714397	"{""20.0"": 0.81, ""21.0"": 0.99, ""22.0"": 0.99, ""23.0"": 0.96, ""24.0"": 0.94}"	1.94e-17	0.008539085833353374	0.009836586790771871	0.842216	False	NA	NA	False	NA	none	0:inside:RP1-158P9.2:lncRNA	97589:upstream:AC119674.1:miRNA,57870:downstream:LINC01767:lncRNA,63422:upstream:RPL21P23:processed_pseudogene,0:inside:RP1-158P9.3:protein_coding,19731:downstream:PLPP3:protein_coding,0:inside:RP1-158P9.2:lncRNA	multigene;intron:RP1-158P9.3:protein_coding;intron:RP1-158P9.2:lncRNA	transcribed;RP1-158P9.3-001:nonsense_mediated_decay:missing from gencode,RP1-158P9.3-004:nonsense_mediated_decay:missing from gencode,RP1-158P9.3-002:nonsense_mediated_decay:missing from gencode,RP1-158P9.3-003:nonsense_mediated_decay:missing from gencode,RP1-158P9.3-005:nonsense_mediated_decay:missing from gencode,RP1-158P9.2-006:lncRNA:missing from gencode
1	1_67236670_67725686	67502394	67502414	67502394	STR_44745	1	T	19.0,20.0,21.0,22.0	21.0	"{""19.0"": 631264.56, ""20.0"": 1881.37, ""21.0"": 340907.2, ""22.0"": 764.93}"	"{""19.0"": 630992, ""20.0"": 1882, ""21.0"": 341887, ""22.0"": 57}"	"{""[19.0, 19.0]"": 205481, ""[19.0, 20.0]"": 749, ""[19.0, 21.0]"": 219236, ""[19.0, 22.0]"": 45, ""[20.0, 20.0]"": 64, ""[20.0, 21.0]"": 1005, ""[21.0, 21.0]"": 60817, ""[21.0, 22.0]"": 12}"	"{""19.0"": 434927.22, ""20.0"": 144.92, ""21.0"": 234627.83, ""22.0"": 462.03}"	"{""19.0"": 434732, ""20.0"": 149, ""21.0"": 235278, ""22.0"": 3}"	"{""[19.0, 19.0]"": 140849, ""[19.0, 20.0]"": 121, ""[19.0, 21.0]"": 152910, ""[19.0, 22.0]"": 3, ""[20.0, 21.0]"": 28, ""[21.0, 21.0]"": 41170}"	0.0009056765379117288	0.4559377322286878	0.9379888434354064	0.3220415921839518	"{""19.0"": 1.0, ""20.0"": 0.98, ""21.0"": 1.0, ""22.0"": 0.01}"	9.78e-27	0.010008645414829542	0.013527186176073017	0.129754	False	NA	NA	False	NA	none	0:inside:SLC35D1:protein_coding	65914:downstream:SNORA31:snoRNA,84874:downstream:RP4-547N15.3:lncRNA,48092:downstream:MIER1:protein_coding,0:inside:SLC35D1:protein_coding,55434:downstream:C1orf141:protein_coding	intron:SLC35D1:protein_coding	transcribed;SLC35D1-201:protein_coding:1
1	1_101074147_102299973	101583238	101583251	101583238	STR_62048	2	AT	7.0,8.0	7.0	"{""7.0"": 863208.75, ""8.0"": 111609.2}"	"{""7.0"": 863118, ""8.0"": 111700}"	"{""[7.0, 7.0]"": 382249, ""[7.0, 8.0]"": 98620, ""[8.0, 8.0]"": 6540}"	"{""7.0"": 591794.12, ""8.0"": 78367.88}"	"{""7.0"": 591746, ""8.0"": 78416}"	"{""[7.0, 7.0]"": 261232, ""[7.0, 8.0]"": 69282, ""[8.0, 8.0]"": 4567}"	0.0	0.206638107036565	0.5207061879473203	0.8594574812266658	"{""7.0"": 1.0, ""8.0"": 1.0}"	4.9799999999999996e-23	-0.02047898238919596	-0.00930674777080088	0.202307	False	NA	NA	False	NA	none	15458:upstream:SCARNA16:snoRNA	15458:upstream:SCARNA16:snoRNA,72825:upstream:RP5-1033H2.1:processed_pseudogene,91594:upstream:DPH5:protein_coding,27169:downstream:RP11-421L21.3:lncRNA	intergenic	untranscribed
1	1_203524185_203822870	203649737	203649755	203649735	STR_103227	1	A	19.0,30.0,31.0,32.0	19.0	"{""19.0"": 101090.59, ""30.0"": 180789.68, ""31.0"": 684927.65, ""32.0"": 8280.37}"	"{""19.0"": 100786, ""30.0"": 178913, ""31.0"": 687934, ""32.0"": 7185}"	"{""[19.0, 19.0]"": 5969, ""[19.0, 30.0]"": 17640, ""[19.0, 31.0]"": 70469, ""[19.0, 32.0]"": 739, ""[30.0, 30.0]"": 16764, ""[30.0, 31.0]"": 126493, ""[30.0, 32.0]"": 1252, ""[31.0, 31.0]"": 242924, ""[31.0, 32.0]"": 5124, ""[32.0, 32.0]"": 35}"	"{""19.0"": 65931.48, ""30.0"": 125509.79, ""31.0"": 472889.04, ""32.0"": 6019.33}"	"{""19.0"": 65716, ""30.0"": 124338, ""31.0"": 474857, ""32.0"": 5251}"	"{""[19.0, 19.0]"": 3302, ""[19.0, 30.0]"": 12112, ""[19.0, 31.0]"": 46467, ""[19.0, 32.0]"": 533, ""[30.0, 30.0]"": 11597, ""[30.0, 31.0]"": 88110, ""[30.0, 32.0]"": 922, ""[31.0, 31.0]"": 168268, ""[31.0, 32.0]"": 3744, ""[32.0, 32.0]"": 26}"	0.10733325671659942	0.4538278080712117	1.1863989699158557	0.5299726220020711	"{""19.0"": 0.99, ""30.0"": 0.97, ""31.0"": 0.97, ""32.0"": 0.9}"	2.32e-19	-0.0016309766585076246	-0.008159335173828622	0.0737594	False	NA	NA	False	NA	none	0:inside:ATP2B4:protein_coding	22849:upstream:NSA2P1:processed_pseudogene,48954:upstream:SNORA77:snoRNA,84550:upstream:LAX1:protein_coding,0:inside:ATP2B4:protein_coding	intron:ATP2B4:protein_coding	transcribed;ATP2B4-204:protein_coding:1,ATP2B4-203:protein_coding:1
1	1_225739157_226087917	225914361	225914377	225914356	STR_115256	1	A	15.0,16.0,17.0,18.0,19.0	17.0	"{""15.0"": 1721.51, ""16.0"": 104205.81, ""17.0"": 577399.06, ""18.0"": 291403.08, ""19.0"": 93.07}"	"{""15.0"": 1014, ""16.0"": 104169, ""17.0"": 578741, ""18.0"": 290861, ""19.0"": 33}"	"{""[15.0, 16.0]"": 107, ""[15.0, 17.0]"": 601, ""[15.0, 18.0]"": 306, ""[16.0, 16.0]"": 5769, ""[16.0, 17.0]"": 62130, ""[16.0, 18.0]"": 30394, ""[17.0, 17.0]"": 172351, ""[17.0, 18.0]"": 171295, ""[17.0, 19.0]"": 13, ""[18.0, 18.0]"": 44423, ""[18.0, 19.0]"": 20}"	"{""15.0"": 1252.02, ""16.0"": 72244.98, ""17.0"": 402802.91, ""18.0"": 193834.48, ""19.0"": 30.56}"	"{""15.0"": 745, ""16.0"": 72218, ""17.0"": 403745, ""18.0"": 193454}"	"{""[15.0, 16.0]"": 79, ""[15.0, 17.0]"": 440, ""[15.0, 18.0]"": 226, ""[16.0, 16.0]"": 3953, ""[16.0, 17.0]"": 43436, ""[16.0, 18.0]"": 20797, ""[17.0, 17.0]"": 121599, ""[17.0, 18.0]"": 116671, ""[18.0, 18.0]"": 27880}"	0.10971561553614523	0.542100563904434	1.3151434865364686	0.9972334464637156	"{""15.0"": 0.92, ""16.0"": 1.0, ""17.0"": 1.0, ""18.0"": 1.0, ""19.0"": ""NaN""}"	4.44e-09	0.006203610810318378	0.005358734070246674	0.119254	False	NA	NA	False	NA	none	0:inside:RP11-145A3.1:lncRNA	14600:upstream:RNU6-1304P:snRNA,76473:upstream:RP11-145A3.4:processed_pseudogene,0:inside:RP11-145A3.1:lncRNA,0:inside:RP11-145A3.2:lncRNA,83449:upstream:EPHX1:protein_coding,73517:upstream:ENAH:protein_coding,51138:upstream:SRP9:protein_coding	multigene;intron:RP11-145A3.1:lncRNA;intron:RP11-145A3.2:lncRNA	transcribed;RP11-145A3.1-001:lncRNA:2,RP11-145A3.1-004:lncRNA:missing from gencode,RP11-145A3.2-001:lncRNA:5
1	1_226875011_227200402	227019305	227019316	227019301	STR_116120	1	A	12.0,13.0,14.0	12.0	"{""12.0"": 507513.8, ""13.0"": 446590.5, ""14.0"": 20713.83}"	"{""12.0"": 507180, ""13.0"": 446999, ""14.0"": 20639}"	"{""[12.0, 12.0]"": 132049, ""[12.0, 13.0]"": 232747, ""[12.0, 14.0]"": 10335, ""[13.0, 13.0]"": 102445, ""[13.0, 14.0]"": 9362, ""[14.0, 14.0]"": 471}"	"{""12.0"": 351017.72, ""13.0"": 308294.58, ""14.0"": 10849.71}"	"{""12.0"": 350915, ""13.0"": 308435, ""14.0"": 10812}"	"{""[12.0, 12.0]"": 91875, ""[12.0, 13.0]"": 161493, ""[12.0, 14.0]"": 5672, ""[13.0, 13.0]"": 70990, ""[13.0, 14.0]"": 4962, ""[14.0, 14.0]"": 89}"	0.016189682253101752	0.5137339843934801	1.100060651745445	0.9572749762612794	"{""12.0"": 1.0, ""13.0"": 1.0, ""14.0"": 1.0}"	9.6e-10	-0.00733996928665709	-0.005515455765148883	0.277572	False	NA	NA	False	NA	906:upstream:227020222:227021607:RP11-450B15.1:lncRNA	0:inside:RP11-450B15.1:lncRNA	49860:downstream:RPS27P5:processed_pseudogene,38569:upstream:PSEN2:protein_coding,92281:upstream:ITPKB:protein_coding,0:inside:RP11-450B15.1:lncRNA,38569:upstream:RP5-1087E8.6:protein_coding	intron:RP11-450B15.1:lncRNA	transcribed;RP11-450B15.1-001:lncRNA:missing from gencode
2	2_8438029_8886090	8761094	8761150	8761090	STR_707222	2	GT	23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5	28.5	"{""23.5"": 6160.72, ""24.5"": 0.0, ""25.5"": 4289.68, ""26.5"": 371777.52, ""27.5"": 15625.43, ""28.5"": 195571.97, ""29.5"": 341255.16, ""30.5"": 38725.86, ""31.5"": 1800.41}"	"{""23.5"": 6064, ""25.5"": 2648, ""26.5"": 375415, ""27.5"": 10375, ""28.5"": 177141, ""29.5"": 374687, ""30.5"": 27436, ""31.5"": 1052}"	"{""[23.5, 23.5]"": 25, ""[23.5, 25.5]"": 18, ""[23.5, 26.5]"": 2384, ""[23.5, 27.5]"": 56, ""[23.5, 28.5]"": 1070, ""[23.5, 29.5]"": 2311, ""[23.5, 30.5]"": 170, ""[23.5, 31.5]"": 5, ""[25.5, 25.5]"": 5, ""[25.5, 26.5]"": 1026, ""[25.5, 27.5]"": 21, ""[25.5, 28.5]"": 526, ""[25.5, 29.5]"": 982, ""[25.5, 30.5]"": 62, ""[25.5, 31.5]"": 3, ""[26.5, 26.5]"": 72181, ""[26.5, 27.5]"": 4122, ""[26.5, 28.5]"": 68192, ""[26.5, 29.5]"": 144285, ""[26.5, 30.5]"": 10632, ""[26.5, 31.5]"": 412, ""[27.5, 27.5]"": 175, ""[27.5, 28.5]"": 1958, ""[27.5, 29.5]"": 3601, ""[27.5, 30.5]"": 257, ""[27.5, 31.5]"": 10, ""[28.5, 28.5]"": 16196, ""[28.5, 29.5]"": 67944, ""[28.5, 30.5]"": 4889, ""[28.5, 31.5]"": 170, ""[29.5, 29.5]"": 72266, ""[29.5, 30.5]"": 10608, ""[29.5, 31.5]"": 424, ""[30.5, 30.5]"": 396, ""[30.5, 31.5]"": 26, ""[31.5, 31.5]"": 1}"	"{""23.5"": 4458.31, ""24.5"": 0.0, ""25.5"": 3136.09, ""26.5"": 253061.47, ""27.5"": 9220.75, ""28.5"": 134613.39, ""29.5"": 237567.91, ""30.5"": 27193.1, ""31.5"": 1178.7}"	"{""23.5"": 4402, ""25.5"": 1984, ""26.5"": 255247, ""27.5"": 5785, ""28.5"": 122948, ""29.5"": 259664, ""30.5"": 19425, ""31.5"": 707}"	"{""[23.5, 23.5]"": 18, ""[23.5, 25.5]"": 16, ""[23.5, 26.5]"": 1730, ""[23.5, 27.5]"": 41, ""[23.5, 28.5]"": 778, ""[23.5, 29.5]"": 1671, ""[23.5, 30.5]"": 127, ""[23.5, 31.5]"": 3, ""[25.5, 25.5]"": 4, ""[25.5, 26.5]"": 766, ""[25.5, 27.5]"": 14, ""[25.5, 28.5]"": 384, ""[25.5, 29.5]"": 748, ""[25.5, 30.5]"": 45, ""[25.5, 31.5]"": 3, ""[26.5, 26.5]"": 48371, ""[26.5, 27.5]"": 2178, ""[26.5, 28.5]"": 46929, ""[26.5, 29.5]"": 99131, ""[26.5, 30.5]"": 7481, ""[26.5, 31.5]"": 290, ""[27.5, 27.5]"": 28, ""[27.5, 28.5]"": 1052, ""[27.5, 29.5]"": 2269, ""[27.5, 30.5]"": 167, ""[27.5, 31.5]"": 8, ""[28.5, 28.5]"": 11297, ""[28.5, 29.5]"": 47639, ""[28.5, 30.5]"": 3463, ""[28.5, 31.5]"": 109, ""[29.5, 29.5]"": 50190, ""[29.5, 30.5]"": 7552, ""[29.5, 31.5]"": 274, ""[30.5, 30.5]"": 286, ""[30.5, 31.5]"": 18, ""[31.5, 31.5]"": 1}"	0.2681867086679869	0.6701812442487457	1.7994172338626635	0.2389327364326565	"{""23.5"": 0.99, ""24.5"": ""NaN"", ""25.5"": 0.84, ""26.5"": 0.99, ""27.5"": 0.88, ""28.5"": 0.85, ""29.5"": 0.89, ""30.5"": 0.87, ""31.5"": 0.87}"	2.83e-08	0.0019460790643278103	0.004010605251718784	0.346214	False	NA	NA	False	NA	none	0:inside:AC011747.6:lncRNA	17605:downstream:SNRPEP5:processed_pseudogene,57825:upstream:ID2:protein_coding,0:inside:AC011747.6:lncRNA,45616:downstream:ID2-AS1:lncRNA,28061:upstream:LINC01814:lncRNA	intron:AC011747.6:lncRNA	transcribed;AC011747.6-001:lncRNA:4
