chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	nearby_genes	relation_to_gene	transcribed
1	1_38120517_38448553	38294788	38294807	38294788	STR_26857	1	T	19.0,20.0,21.0	20.0	"{""19.0"": 570596.90625, ""20.0"": 404221.08923339844, ""21.0"": 0.0}"	"{""19.0"": 570597, ""20.0"": 404221}"	"{""[19.0, 19.0]"": 168433, ""[19.0, 20.0]"": 233731, ""[20.0, 20.0]"": 85245}"	"{""19.0"": 395175.0400074404, ""20.0"": 263938.9600439556, ""21.0"": 0.0}"	"{""19.0"": 395176, ""20.0"": 263938}"	"{""[19.0, 19.0]"": 118406, ""[19.0, 20.0]"": 158364, ""[20.0, 20.0]"": 52787}"	0.0	0.4801770567270766	0.9712095074898875	0.6807626988508222	"{""19.0"": 0.9999238817856452, ""20.0"": 0.9999238817870156, ""21.0"": ""NaN""}"	1.49e-08	0.06142271126914256	0.04256277622049371	0.221361	False	NA	NA	False	NA	902:upstream:38293873:38293886:AL929472.1:protein_coding	91062:upstream:Y_RNA:misc_RNA,78814:downstream:snoU13:snoRNA,49698:downstream:ACTN4P2:processed_pseudogene,46231:upstream:RP11-109P14.2:processed_pseudogene,27979:downstream:MANEAL:protein_coding,28237:upstream:RP11-109P14.9:lncRNA,902:upstream:AL929472.1:protein_coding,11851:upstream:RP11-109P14.8:processed_pseudogene,31562:upstream:RP11-109P14.10:lncRNA,55102:upstream:SNORA63:snoRNA,55888:upstream:RNU6-584P:snRNA,63983:upstream:EPHA10:protein_coding,0:inside:MTF1:protein_coding,20908:upstream:YRDC:protein_coding,19662:downstream:C1orf122:protein_coding,31562:downstream:INPP5B:protein_coding	intron:MTF1:protein_coding	transcribed;MTF1-201:protein_coding:1
1	1_38120517_38448553	38318308	38318319	38318308	STR_26876	1	T	11.0,12.0,13.0,14.0	12.0	"{""11.0"": 0.0, ""12.0"": 400314.78125, ""13.0"": 574503.21875, ""14.0"": 0.0}"	"{""12.0"": 400074, ""13.0"": 574744}"	"{""[12.0, 12.0]"": 83372, ""[12.0, 13.0]"": 233330, ""[13.0, 13.0]"": 170707}"	"{""11.0"": 0.0, ""12.0"": 261646.0499985814, ""13.0"": 397467.9500177838, ""14.0"": 0.0}"	"{""12.0"": 261449, ""13.0"": 397665}"	"{""[12.0, 12.0]"": 51804, ""[12.0, 13.0]"": 157841, ""[13.0, 13.0]"": 119912}"	0.0	0.4786447245501877	0.968967702522702	0.7273090842151244	"{""11.0"": ""NaN"", ""12.0"": 0.9983648438009968, ""13.0"": 0.9983648437855692, ""14.0"": ""NaN""}"	4.2e-08	-0.06035548513009381	-0.04176181404797297	0.0776203	False	NA	NA	False	NA	none	73218:downstream:ACTN4P2:processed_pseudogene,69751:upstream:RP11-109P14.2:processed_pseudogene,51499:downstream:MANEAL:protein_coding,51757:upstream:RP11-109P14.9:lncRNA,24422:upstream:AL929472.1:protein_coding,10960:downstream:RP11-109P14.8:processed_pseudogene,8050:upstream:RP11-109P14.10:lncRNA,31590:upstream:SNORA63:snoRNA,32376:upstream:RNU6-584P:snRNA,87503:upstream:EPHA10:protein_coding,0:inside:MTF1:protein_coding,44428:upstream:YRDC:protein_coding,43182:downstream:C1orf122:protein_coding,8050:downstream:INPP5B:protein_coding	intron:MTF1:protein_coding	transcribed;MTF1-201:protein_coding:1
2	2_27234887_27504262	27363064	27363076	27363064	STR_717575	1	T	12.0,13.0,14.0	13.0	"{""12.0"": 191.75997924804688, ""13.0"": 490986.5299835205, ""14.0"": 483639.6374511719}"	"{""12.0"": 173, ""13.0"": 489641, ""14.0"": 485004}"	"{""[12.0, 13.0]"": 140, ""[12.0, 14.0]"": 33, ""[13.0, 13.0]"": 124428, ""[13.0, 14.0]"": 240645, ""[14.0, 14.0]"": 122163}"	"{""12.0"": 6.339999902993441, ""13.0"": 328851.6199464146, ""14.0"": 330256.0403019879}"	"{""13.0"": 327915, ""14.0"": 331199}"	"{""[13.0, 13.0]"": 81770, ""[13.0, 14.0]"": 164375, ""[14.0, 14.0]"": 83412}"	9.618973198270704e-06	0.4999875876152697	0.9999820926400124	0.1645066199664786	"{""12.0"": ""NaN"", ""13.0"": 0.994678779784331, ""14.0"": 0.9946737232326367}"	6.25e-09	-0.0580917491512328	-0.04107855943334951	0.139298	False	NA	NA	False	NA	786:upstream:27362171:27362278:PRR30:protein_coding,793:upstream:27362171:27362271:PRR30:protein_coding	89932:upstream:AGBL5-AS1:lncRNA,85920:upstream:RP11-503P10.1:lncRNA,78381:downstream:AGBL5-IT1:lncRNA,77289:upstream:RP11-195B17.1:lncRNA,68542:upstream:OST4:protein_coding,53793:downstream:EMILIN1:protein_coding,9384:downstream:ABHD1:protein_coding,5530:upstream:PREB:protein_coding,18355:downstream:AC013403.13:unprocessed_pseudogene,71819:upstream:ATRAID:protein_coding,69574:downstream:AGBL5:protein_coding,39434:downstream:KHK:protein_coding,21068:upstream:CGREF1:protein_coding,786:upstream:PRR30:protein_coding,8796:upstream:TCF23:protein_coding,59379:downstream:SLC5A6:protein_coding,77161:upstream:CAD:protein_coding,98502:downstream:TMEM214:protein_coding	intergenic	untranscribed
2	2_64734378_65129346	64887288	64887302	64887288	STR_739533	1	A	14.0,15.0,16.0	15.0	"{""14.0"": 701041.4661865234, ""15.0"": 262048.90625, ""16.0"": 11728.110175430775}"	"{""14.0"": 706783, ""15.0"": 258743, ""16.0"": 9292}"	"{""[14.0, 14.0]"": 256907, ""[14.0, 15.0]"": 187962, ""[14.0, 16.0]"": 5007, ""[15.0, 15.0]"": 34481, ""[15.0, 16.0]"": 1819, ""[16.0, 16.0]"": 1233}"	"{""14.0"": 477910.8805765901, ""15.0"": 178376.549883008, ""16.0"": 2826.869987372309}"	"{""14.0"": 481720, ""15.0"": 176187, ""16.0"": 1207}"	"{""[14.0, 14.0]"": 175947, ""[14.0, 15.0]"": 128952, ""[14.0, 16.0]"": 874, ""[15.0, 15.0]"": 23452, ""[15.0, 16.0]"": 331, ""[16.0, 16.0]"": 1}"	0.004288891904568451	0.3943864187113179	0.8560447813893026	0.511931249745093	"{""14.0"": 0.9720364974884854, ""15.0"": 0.9739766143901636, ""16.0"": 0.6792416589993152}"	1.89e-16	-0.08277686256675587	-0.05362367708249359	0.0523006	False	NA	NA	False	NA	none	81157:downstream:RNU6-100P:snRNA,43598:downstream:LINC02579:lncRNA,13456:downstream:AC007365.3:lncRNA,5439:upstream:RPS10P9:processed_pseudogene,67149:downstream:AFTPH:protein_coding,0:inside:SERTAD2:protein_coding	intron:SERTAD2:protein_coding	transcribed;SERTAD2-202:processed_transcript:3
2	2_231728990_235919643	234668880	234668894	234668880	STR_828063	2	AT	6.5,7.5,8.5,9.5	7.5	"{""6.5"": 3444.2301025390625, ""7.5"": 659440.34375, ""8.5"": 311148.5, ""9.5"": 784.919921875}"	"{""6.5"": 3432, ""7.5"": 659247, ""8.5"": 311456, ""9.5"": 683}"	"{""[6.5, 6.5]"": 57, ""[6.5, 7.5]"": 1980, ""[6.5, 8.5]"": 1289, ""[6.5, 9.5]"": 49, ""[7.5, 7.5]"": 223716, ""[7.5, 8.5]"": 209508, ""[7.5, 9.5]"": 327, ""[8.5, 8.5]"": 50191, ""[8.5, 9.5]"": 277, ""[9.5, 9.5]"": 15}"	"{""6.5"": 1386.6400026194751, ""7.5"": 450143.09000205994, ""8.5"": 207523.94001030736, ""9.5"": 60.32999996468425}"	"{""6.5"": 1391, ""7.5"": 449997, ""8.5"": 207712, ""9.5"": 14}"	"{""[6.5, 6.5]"": 3, ""[6.5, 7.5]"": 939, ""[6.5, 8.5]"": 446, ""[7.5, 7.5]"": 153666, ""[7.5, 8.5]"": 141717, ""[7.5, 9.5]"": 9, ""[8.5, 8.5]"": 32772, ""[8.5, 9.5]"": 5}"	0.0021953258503860274	0.434563002659899	0.9200098453457064	0.7332021045247734	"{""6.5"": 0.9827984083041297, ""7.5"": 0.9993356700403385, ""8.5"": 0.9993807931974122, ""9.5"": 0.39708753267128244}"	0.0	3.4741994915616816	2.301358754457032	0.0	True	https://academic.oup.com/clinchem/article/54/5/851/5628770	True	False	NA	22:upstream:234668916:234669797:UGT1A1:protein_coding,40:upstream:234668934:234669797:UGT1A1:protein_coding	38169:upstream:RPL17P11:processed_pseudogene,18277:downstream:AC114812.9:unprocessed_pseudogene,12155:downstream:UGT1A2P:unprocessed_pseudogene,6578:downstream:AC114812.10:unprocessed_pseudogene,4889:upstream:AC114812.5:transcribed_processed_pseudogene,22:upstream:UGT1A1:protein_coding,51535:upstream:AC114812.8:lncRNA,0:inside:UGT1A5:protein_coding,0:inside:UGT1A4:protein_coding,0:inside:UGT1A3:protein_coding,16219:upstream:DNAJB3:transcribed_processed_pseudogene,15431:upstream:MROH2A:protein_coding,0:inside:UGT1A8:protein_coding,0:inside:UGT1A10:protein_coding,0:inside:UGT1A9:protein_coding,0:inside:UGT1A7:protein_coding,0:inside:UGT1A6:protein_coding,73168:downstream:HJURP:protein_coding	multigene;intron:UGT1A5:protein_coding;intron:UGT1A4:protein_coding;intron:UGT1A3:protein_coding;intron:UGT1A8:protein_coding;intron:UGT1A10:protein_coding;intron:UGT1A9:protein_coding;intron:UGT1A7:protein_coding;intron:UGT1A6:protein_coding	transcribed;UGT1A5-201:protein_coding:1,UGT1A4-201:protein_coding:1,UGT1A4-202:nonsense_mediated_decay:1,UGT1A3-201:protein_coding:1,UGT1A8-201:protein_coding:1,UGT1A10-201:protein_coding:1,UGT1A10-202:protein_coding:1,UGT1A9-201:protein_coding:1,UGT1A7-201:protein_coding:1,UGT1A6-202:protein_coding:2,UGT1A6-205:nonsense_mediated_decay:5,UGT1A6-201:protein_coding:1,UGT1A6-208:nonsense_mediated_decay:4,UGT1A6-203:protein_coding:1
3	3_12142780_12522392	12326263	12326304	12326257	STR_918359	4	AAAT	9.5,10.5,10.75,11.5,12.5	10.5	"{""9.5"": 321356.29373168945, ""10.5"": 336934.890625, ""10.75"": 3665.3905029296875, ""11.5"": 312864.0949707031, ""12.5"": 0.0}"	"{""9.5"": 321594, ""10.5"": 336739, ""10.75"": 3249, ""11.5"": 313236}"	"{""[9.5, 9.5]"": 53464, ""[9.5, 10.5]"": 110107, ""[9.5, 10.75]"": 1056, ""[9.5, 11.5]"": 103503, ""[10.5, 10.5]"": 59784, ""[10.5, 10.75]"": 1070, ""[10.5, 11.5]"": 105994, ""[10.75, 11.5]"": 1123, ""[11.5, 11.5]"": 51308}"	"{""9.5"": 219592.4600852076, ""10.5"": 220290.86007076502, ""10.75"": 2513.590008845553, ""11.5"": 216719.17015680298, ""12.5"": 0.0}"	"{""9.5"": 219681, ""10.5"": 220152, ""10.75"": 2224, ""11.5"": 217057}"	"{""[9.5, 9.5]"": 36634, ""[9.5, 10.5]"": 73361, ""[9.5, 10.75]"": 732, ""[9.5, 11.5]"": 72320, ""[10.5, 10.5]"": 36881, ""[10.5, 10.75]"": 711, ""[10.5, 11.5]"": 72318, ""[10.75, 11.5]"": 781, ""[11.5, 11.5]"": 35819}"	0.3326163125297627	0.668888167403595	1.612152940343626	0.4293775362456689	"{""9.5"": 0.9912828393710078, ""10.5"": 0.9883016895247982, ""10.75"": 0.9514486096240165, ""11.5"": 0.9884677862273382, ""12.5"": ""NaN""}"	6.54e-09	0.030226605753006952	0.03478533491388194	0.100195	False	NA	NA	False	NA	none	none	intergenic	untranscribed
3	3_135419768_136838355	135933735	135933761	135933732	STR_981567	1	A	25.0,26.0,27.0,28.0	27.0	"{""25.0"": 104.46999740600586, ""26.0"": 222526.20935058594, ""27.0"": 752086.9234619141, ""28.0"": 100.5199966430664}"	"{""25.0"": 54, ""26.0"": 222673, ""27.0"": 752082, ""28.0"": 9}"	"{""[25.0, 26.0]"": 8, ""[25.0, 27.0]"": 46, ""[26.0, 26.0]"": 25694, ""[26.0, 27.0]"": 171276, ""[26.0, 28.0]"": 1, ""[27.0, 27.0]"": 290376, ""[27.0, 28.0]"": 8}"	"{""25.0"": 52.7599998023361, ""26.0"": 149145.87010577694, ""27.0"": 509872.3802856896, ""28.0"": 43.00999921746552}"	"{""25.0"": 21, ""26.0"": 149202, ""27.0"": 509891}"	"{""[25.0, 26.0]"": 5, ""[25.0, 27.0]"": 16, ""[26.0, 26.0]"": 16828, ""[26.0, 27.0]"": 115541, ""[27.0, 27.0]"": 197167}"	0.00014530111036488577	0.3502998244645241	0.7721352277496649	0.6665672683144785	"{""25.0"": 0.6693134264452562, ""26.0"": 0.9996800071190506, ""27.0"": 0.9997298372115179, ""28.0"": ""NaN""}"	3.18e-73	-0.20026949383591833	-0.1186235014585205	0.136157	False	NA	NA	False	NA	none	none	intergenic	untranscribed
3	3_170424098_170886547	170727702	170727740	170727702	STR_999623	2	GT	11.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5	19.5	"{""11.5"": 0.0, ""16.5"": 1430.9000854492188, ""17.5"": 101326.86169433594, ""18.5"": 34010.413330078125, ""19.5"": 538941.533996582, ""20.5"": 149930.2265625, ""21.5"": 114112.015625, ""22.5"": 28563.82276916504, ""23.5"": 6578.64990234375, ""24.5"": 0.0}"	"{""16.5"": 1482, ""17.5"": 101323, ""18.5"": 30469, ""19.5"": 546817, ""20.5"": 146746, ""21.5"": 119064, ""22.5"": 24074, ""23.5"": 4843}"	"{""[16.5, 16.5]"": 1, ""[16.5, 17.5]"": 143, ""[16.5, 18.5]"": 43, ""[16.5, 19.5]"": 857, ""[16.5, 20.5]"": 227, ""[16.5, 21.5]"": 168, ""[16.5, 22.5]"": 35, ""[16.5, 23.5]"": 7, ""[17.5, 17.5]"": 5838, ""[17.5, 18.5]"": 3490, ""[17.5, 19.5]"": 56173, ""[17.5, 20.5]"": 14589, ""[17.5, 21.5]"": 12191, ""[17.5, 22.5]"": 2548, ""[17.5, 23.5]"": 513, ""[18.5, 18.5]"": 542, ""[18.5, 19.5]"": 16679, ""[18.5, 20.5]"": 4485, ""[18.5, 21.5]"": 3776, ""[18.5, 22.5]"": 755, ""[18.5, 23.5]"": 157, ""[19.5, 19.5]"": 154032, ""[19.5, 20.5]"": 82367, ""[19.5, 21.5]"": 66333, ""[19.5, 22.5]"": 13600, ""[19.5, 23.5]"": 2744, ""[20.5, 20.5]"": 11305, ""[20.5, 21.5]"": 18355, ""[20.5, 22.5]"": 3450, ""[20.5, 23.5]"": 663, ""[21.5, 21.5]"": 7403, ""[21.5, 22.5]"": 2833, ""[21.5, 23.5]"": 602, ""[22.5, 22.5]"": 363, ""[22.5, 23.5]"": 127, ""[23.5, 23.5]"": 15}"	"{""11.5"": 0.0, ""16.5"": 984.0499996114522, ""17.5"": 64676.62009245157, ""18.5"": 22619.220006441697, ""19.5"": 365848.7507207189, ""20.5"": 103329.69011140615, ""21.5"": 78754.81009726226, ""22.5"": 18418.13998954743, ""23.5"": 4533.829996297136, ""24.5"": 0.0}"	"{""16.5"": 1036, ""17.5"": 64649, ""18.5"": 20273, ""19.5"": 371030, ""20.5"": 101221, ""21.5"": 82152, ""22.5"": 15424, ""23.5"": 3329}"	"{""[16.5, 16.5]"": 1, ""[16.5, 17.5]"": 94, ""[16.5, 18.5]"": 33, ""[16.5, 19.5]"": 616, ""[16.5, 20.5]"": 154, ""[16.5, 21.5]"": 107, ""[16.5, 22.5]"": 25, ""[16.5, 23.5]"": 5, ""[17.5, 17.5]"": 3161, ""[17.5, 18.5]"": 2021, ""[17.5, 19.5]"": 36493, ""[17.5, 20.5]"": 9790, ""[17.5, 21.5]"": 8106, ""[17.5, 22.5]"": 1506, ""[17.5, 23.5]"": 317, ""[18.5, 18.5]"": 315, ""[18.5, 19.5]"": 11282, ""[18.5, 20.5]"": 3124, ""[18.5, 21.5]"": 2596, ""[18.5, 22.5]"": 484, ""[18.5, 23.5]"": 103, ""[19.5, 19.5]"": 104502, ""[19.5, 20.5]"": 57036, ""[19.5, 21.5]"": 45957, ""[19.5, 22.5]"": 8751, ""[19.5, 23.5]"": 1891, ""[20.5, 20.5]"": 7824, ""[20.5, 21.5]"": 12686, ""[20.5, 22.5]"": 2307, ""[20.5, 23.5]"": 476, ""[21.5, 21.5]"": 5189, ""[21.5, 22.5]"": 1887, ""[21.5, 23.5]"": 435, ""[22.5, 22.5]"": 192, ""[22.5, 23.5]"": 80, ""[23.5, 23.5]"": 11}"	0.28822318870825725	0.6328568895945632	1.9192066481583308	0.4687182634008535	"{""11.5"": ""NaN"", ""16.5"": 0.9082417791844274, ""17.5"": 0.991820720785004, ""18.5"": 0.9588816789436169, ""19.5"": 0.967955696252808, ""20.5"": 0.9284505912019003, ""21.5"": 0.9194381175166235, ""22.5"": 0.751479705045105, ""23.5"": 0.8431293797347074, ""24.5"": ""NaN""}"	8.08e-18	-0.02664400841211547	-0.043981550501400055	0.961778	False	NA	NA	False	NA	7:downstream:170727747:170727871:SLC2A2:protein_coding,7:downstream:170727747:170727871:SLC2A2:protein_coding	56016:upstream:KLF7P1:processed_pseudogene,14880:upstream:RNU1-70P:snRNA,96713:downstream:MIR569:miRNA,0:inside:SLC2A2:protein_coding,0:inside:RP11-114D6.2:lncRNA,48463:downstream:TNIK:protein_coding	multigene;intron:SLC2A2:protein_coding;intron:RP11-114D6.2:lncRNA	transcribed;SLC2A2-202:protein_coding:3,SLC2A2-201:protein_coding:1,SLC2A2-205:nonsense_mediated_decay:1,SLC2A2-203:nonsense_mediated_decay:2,RP11-114D6.2-001:lncRNA:missing from gencode
4	4_124505873_125099314	124800580	124800620	124800580	STR_1078376	2	AT	18.5,19.5,20.5,21.5,22.5,23.5,24.5	20.5	"{""18.5"": 643.7799072265625, ""19.5"": 172589.57641601562, ""20.5"": 678468.8098754883, ""21.5"": 19190.08822631836, ""22.5"": 56655.243225097656, ""23.5"": 47275.466796875, ""24.5"": 0.0}"	"{""18.5"": 513, ""19.5"": 171207, ""20.5"": 680444, ""21.5"": 18743, ""22.5"": 56817, ""23.5"": 47094}"	"{""[18.5, 18.5]"": 1, ""[18.5, 19.5]"": 96, ""[18.5, 20.5]"": 363, ""[18.5, 21.5]"": 18, ""[18.5, 22.5]"": 25, ""[18.5, 23.5]"": 9, ""[19.5, 19.5]"": 15016, ""[19.5, 20.5]"": 119478, ""[19.5, 21.5]"": 3403, ""[19.5, 22.5]"": 10046, ""[19.5, 23.5]"": 8152, ""[20.5, 20.5]"": 237764, ""[20.5, 21.5]"": 12715, ""[20.5, 22.5]"": 39553, ""[20.5, 23.5]"": 32807, ""[21.5, 21.5]"": 364, ""[21.5, 22.5]"": 1039, ""[21.5, 23.5]"": 840, ""[22.5, 22.5]"": 1640, ""[22.5, 23.5]"": 2874, ""[23.5, 23.5]"": 1206}"	"{""18.5"": 253.8599997125566, ""19.5"": 116591.63006693311, ""20.5"": 458520.21016564965, ""21.5"": 11466.300027569756, ""22.5"": 38354.43007986806, ""23.5"": 33930.63003025763, ""24.5"": 0.0}"	"{""18.5"": 184, ""19.5"": 115677, ""20.5"": 459670, ""21.5"": 11297, ""22.5"": 38465, ""23.5"": 33821}"	"{""[18.5, 19.5]"": 35, ""[18.5, 20.5]"": 133, ""[18.5, 21.5]"": 1, ""[18.5, 22.5]"": 9, ""[18.5, 23.5]"": 6, ""[19.5, 19.5]"": 10073, ""[19.5, 20.5]"": 80854, ""[19.5, 21.5]"": 1990, ""[19.5, 22.5]"": 6797, ""[19.5, 23.5]"": 5855, ""[20.5, 20.5]"": 160306, ""[20.5, 21.5]"": 7794, ""[20.5, 22.5]"": 26774, ""[20.5, 23.5]"": 23503, ""[21.5, 21.5]"": 112, ""[21.5, 22.5]"": 682, ""[21.5, 23.5]"": 606, ""[22.5, 22.5]"": 1068, ""[22.5, 23.5]"": 2067, ""[23.5, 23.5]"": 892}"	0.1274511390893937	0.4764908332228482	1.3660958119083055	0.7936445310504192	"{""18.5"": 0.942570374444799, ""19.5"": 0.9929555643394292, ""20.5"": 0.9900204579014347, ""21.5"": 0.9405882087634272, ""22.5"": 0.991953476476937, ""23.5"": 0.9928172634579524, ""24.5"": ""NaN""}"	1e-10	-0.028143705384153672	-0.0373300193750367	0.238822	False	NA	NA	False	NA	none	17410:upstream:RP11-107E21.1:processed_pseudogene,0:inside:LINC01091:lncRNA	intron:LINC01091:lncRNA	transcribed;LINC01091-216:lncRNA:missing from gencode,LINC01091-224:lncRNA:missing from gencode,LINC01091-210:lncRNA:missing from gencode,LINC01091-226:lncRNA:missing from gencode,LINC01091-208:lncRNA:missing from gencode,LINC01091-228:lncRNA:missing from gencode,LINC01091-220:lncRNA:missing from gencode,LINC01091-223:lncRNA:missing from gencode,LINC01091-201:lncRNA:5,LINC01091-202:lncRNA:3,LINC01091-229:lncRNA:missing from gencode,LINC01091-231:lncRNA:missing from gencode,LINC01091-222:lncRNA:missing from gencode,LINC01091-206:lncRNA:missing from gencode,LINC01091-221:lncRNA:missing from gencode,LINC01091-205:lncRNA:missing from gencode,LINC01091-234:lncRNA:missing from gencode,LINC01091-230:lncRNA:missing from gencode,LINC01091-207:lncRNA:missing from gencode,LINC01091-232:lncRNA:missing from gencode,LINC01091-209:lncRNA:missing from gencode,LINC01091-217:lncRNA:missing from gencode
6	6_6834638_7098865	6968044	6968062	6968044	STR_1209078	1	T	15.0,16.0,17.0,18.0,19.0,20.0	19.0	"{""15.0"": 455.0799865722656, ""16.0"": 478183.3369140625, ""17.0"": 10460.00048828125, ""18.0"": 5215.4794921875, ""19.0"": 471895.1862335205, ""20.0"": 8611.9296875}"	"{""15.0"": 241, ""16.0"": 478766, ""17.0"": 8879, ""18.0"": 4025, ""19.0"": 477144, ""20.0"": 5763}"	"{""[15.0, 15.0]"": 4, ""[15.0, 16.0]"": 161, ""[15.0, 17.0]"": 2, ""[15.0, 18.0]"": 2, ""[15.0, 19.0]"": 68, ""[16.0, 16.0]"": 118398, ""[16.0, 17.0]"": 4416, ""[16.0, 18.0]"": 1976, ""[16.0, 19.0]"": 232658, ""[16.0, 20.0]"": 2759, ""[17.0, 17.0]"": 44, ""[17.0, 18.0]"": 41, ""[17.0, 19.0]"": 4276, ""[17.0, 20.0]"": 56, ""[18.0, 18.0]"": 8, ""[18.0, 19.0]"": 1964, ""[18.0, 20.0]"": 26, ""[19.0, 19.0]"": 117643, ""[19.0, 20.0]"": 2892, ""[20.0, 20.0]"": 15}"	"{""15.0"": 123.00999805890024, ""16.0"": 316745.1507612765, ""17.0"": 7289.939985368401, ""18.0"": 3601.409988425672, ""19.0"": 325347.18045323715, ""20.0"": 6009.28999812156}"	"{""15.0"": 7, ""16.0"": 317046, ""17.0"": 6265, ""18.0"": 2824, ""19.0"": 328944, ""20.0"": 4028}"	"{""[15.0, 16.0]"": 4, ""[15.0, 19.0]"": 3, ""[16.0, 16.0]"": 76305, ""[16.0, 17.0]"": 3079, ""[16.0, 18.0]"": 1336, ""[16.0, 19.0]"": 158118, ""[16.0, 20.0]"": 1899, ""[17.0, 17.0]"": 29, ""[17.0, 18.0]"": 25, ""[17.0, 19.0]"": 3059, ""[17.0, 20.0]"": 44, ""[18.0, 18.0]"": 7, ""[18.0, 19.0]"": 1427, ""[18.0, 20.0]"": 22, ""[19.0, 19.0]"": 82150, ""[19.0, 20.0]"": 2037, ""[20.0, 20.0]"": 13}"	0.025828003653289622	0.5194043612677777	1.150958386468918	0.6756677503447153	"{""15.0"": 0.3115174599038222, ""16.0"": 0.9873387753648607, ""17.0"": 0.8666206976912962, ""18.0"": 0.863691821916068, ""19.0"": 0.9855932522184917, ""20.0"": 0.8162613592680615}"	1.58e-09	0.016410359148537168	0.03483202832982495	0.116274	False	NA	NA	False	NA	none	28914:upstream:RN7SL554P:misc_RNA,25362:upstream:RP11-556O15.1:lncRNA,72631:downstream:snoU13:snoRNA,49096:upstream:RP3-429O6.1:lncRNA	intergenic	untranscribed
