chrom	start	end	any_strs
1	20466802	23180466	True
1	41874873	42361004	True
1	50507695	50934304	False
1	51000045	52912887	True
1	52953898	53203898	True
1	68143784	68427223	True
1	78224467	78995285	False
1	154964883	155847506	True
1	158807522	159847353	True
1	198557710	199192702	True
2	6989284	7312397	True
2	8907896	9157896	True
2	9919543	10222855	True
2	37351781	37601781	True
2	85275866	85630920	True
2	97226840	97588529	True
2	98266117	98516117	True
2	157605438	158277917	True
2	187432873	187682873	True
2	191117528	191596608	True
2	198410678	199005481	True
2	229946711	230241035	True
2	234018048	234621945	True
2	234760030	235126401	True
3	12204783	12538339	True
3	25234621	25549929	True
3	107065555	107360109	True
3	113152105	113433412	True
3	114159845	114546317	True
3	121170311	122467999	True
3	131409405	131659405	True
3	135673738	136625733	True
3	140947289	141279542	True
3	156186652	156436652	True
3	188273642	188529669	True
4	3318931	3595174	True
4	7632545	7960302	True
4	40413739	40668278	True
4	69184300	69593698	True
4	69866194	70125969	True
4	88424700	88984131	True
5	14553932	15580666	True
5	36423316	36773442	True
5	131482402	131922578	True
5	133702615	133990452	True
5	139419075	139825083	True
5	141585181	141846194	True
5	158079425	158369083	True
5	176352828	177236156	True
6	6985708	7240533	True
6	33375088	34951300	True
6	35154612	35470507	False
6	44498177	45529170	True
6	45600925	45917170	True
6	74295628	74707914	True
6	108367571	109145634	True
6	121656706	121909588	True
6	126498947	127292072	True
6	127314147	127644234	True
6	131043049	132375141	True
6	134393963	134645809	True
6	135498752	136372370	True
6	137150839	137400839	True
6	151722381	152220987	True
6	163664736	164258001	True
7	5977499	6866581	True
7	17159577	17412998	True
7	19901024	20183327	True
7	28327712	28609650	True
7	37972862	38277697	True
7	64960749	65638308	True
7	65698230	65948230	True
7	97788196	98159668	True
7	101535633	101800655	True
7	151280818	151540746	True
8	7964207	9211392	True
8	9671321	10405228	True
8	10688197	10946057	True
8	10993527	12267900	True
8	70397439	70647439	False
8	72267687	72656550	True
8	76317294	76787537	True
8	82528644	82795771	True
8	129825004	130075844	True
9	4638176	4919641	True
9	13895436	14150508	True
9	70916532	71679159	True
9	77341700	77624796	False
9	80172819	80827276	True
9	129169471	129425073	True
9	130551190	130897331	True
9	140002380	140255606	True
10	5107942	5453050	True
10	7921789	8249153	True
10	9155394	9478725	True
10	21641969	22413132	True
10	30928282	31178282	True
10	50086745	50506231	True
10	80077907	80336193	True
10	101672301	102168953	True
10	104266587	105293532	True
10	115951901	116227242	True
10	126273405	126602406	True
10	130745476	131056482	True
11	11261764	11578232	True
11	13270307	13752111	True
11	30624090	31124824	True
11	65086979	65788547	True
11	66167363	66417363	True
11	95173600	95445986	True
12	4294628	5220076	True
12	11998545	12326009	True
12	12753572	13013707	True
12	48953952	49203952	True
12	56735020	56991334	True
12	70814916	71064916	True
12	92856134	93106135	True
12	94060672	94633186	True
12	106892017	107646770	True
12	108592097	109128430	True
12	111301615	113031415	True
12	113438105	113693334	True
12	121008880	121595591	True
12	122380652	122769033	True
12	123271561	124016209	True
12	131388072	131746997	True
13	33384030	33634030	True
13	51258943	51515598	True
13	80610511	80874431	True
14	23271480	23521480	True
14	91199459	91675549	True
15	44511974	44761974	True
15	50591633	51717543	True
15	60753030	61041622	True
15	64034259	64284259	True
15	66916110	67166110	True
15	74337062	75565669	True
16	3889245	4158012	True
16	16047029	16703332	True
16	25830275	26080275	False
16	49723827	50015829	True
16	50041568	50291568	True
16	72876773	73153249	True
16	79569565	80172961	True
16	88382269	88674264	True
17	1493262	1782653	True
17	7062123	7312123	True
17	9906571	10158679	True
17	17329883	18160019	True
17	29272622	30015808	True
17	37254395	38132323	True
17	43253212	44990603	True
17	45255002	45916123	True
17	46832696	47172868	True
17	47835361	48085361	True
17	57417018	59489615	True
17	66302519	66840289	True
17	76740203	77069702	True
18	44212686	45023600	True
19	2944499	3246510	True
19	11780343	12067615	True
19	14047728	14310962	True
19	17304160	17668681	True
19	18450193	18904113	True
19	35537844	35925662	True
19	38692628	38942628	False
19	40718264	40979331	True
19	41623153	41967859	True
19	53278557	53540418	True
20	39151556	40124332	True
20	45444796	45700431	True
20	48845631	49106014	True
20	52584718	52867681	True
22	35574124	35824124	True
22	38380347	38777223	True
