phenotype,chrom,region,pos,is_STR,varname,p_val,susie_cs,susie_alpha,susie_cs_hardcall,susie_alpha_hardcall,susie_cs_ratio,susie_alpha_ratio,finemap_pip,finemap_pip_ratio,finemap_pip_total_prob,finemap_pip_prior_std,finemap_pip_conv_tol,finemap_pip_mac,finemap_pip_gt_thresh
alanine_aminotransferase,2,2_201904965_202350425,202029965,true,STR_202029965,8.7e-11,1,0.74928848592153,-1,0.0,-1,0.0,0.81215,0.440756,0.894674,0.935726,0.81215,0.828719,0.894242
alanine_aminotransferase,2,2_226741226_227364287,227110021,true,STR_227110021,7.37e-36,1,0.345796804933444,1,0.289820589670023,1,0.075122305451763,0.868616,0.508939,0.941409,0.801781,0.868616,0.83797,0.915583
alanine_aminotransferase,7,7_28017186_28384233,28247512,true,STR_28247512,1.65e-14,1,0.899247935216903,1,0.797584261366228,-1,0.0,0.988498,0.872307,1.0,1.0,0.988498,0.96974,1.0
alanine_aminotransferase,7,7_72691787_73383638,73009174,true,STR_73009174,2.85e-15,1,0.994649884270997,-1,0.0,1,0.948308949884039,0.975226,0.89572,0.989966,0.848434,0.975226,0.975447,0.673938
alanine_aminotransferase,15,15_90202226_90475889,90341868,true,STR_90341868,4.54e-18,1,0.608820929706326,-1,0.0,-1,0.0,0.838814,0.515313,0.93944,0.915573,0.836984,0.790211,0.973778
alanine_aminotransferase,19,19_10205138_10475649,10343031,true,STR_10343031,9.78e-16,1,0.992807934837705,-1,0.0,-1,0.0,0.687651,0.326578,0.835575,0.872718,0.685911,0.729483,0.496646
alanine_aminotransferase,20,20_25138136_25707197,25399974,true,STR_25399974,1.06e-11,-1,0.0,-1,0.0,1,0.485827260343211,0.988549,0.841597,0.997672,0.993753,0.988549,0.988609,0.971049
albumin,4,4_177215623_177980276,177692134,true,STR_177692134,5.06e-12,-1,0.0,-1,0.0,-1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
albumin,9,9_111951237_112373129,112204028,true,STR_112204028,1.85e-15,1,0.29464749104806,1,0.315136974863971,1,0.0928027331865844,1.0,0.8865,1.0,0.711466,1.0,1.0,1.0
albumin,17,17_1236363_1793139,1651597,true,STR_1651597,1.5e-86,-1,0.0,7,0.999999999969891,-1,0.0,1.0,0.0,1.0,0.0,1.0,0.960324,0.0
alkaline_phosphatase,1,1_65094883_66340433,66166913,true,STR_66166913,9.28e-20,1,0.306741692246948,1,0.264895523029725,1,0.0995386198557608,0.909338,0.301315,0.908727,0.877027,0.909338,0.904296,0.893213
alkaline_phosphatase,3,3_135494585_136877590,135916825,true,STR_135916825,9.6e-31,1,0.982659114045274,1,0.992857416812041,1,0.888732948416221,0.909047,0.656487,0.862624,0.718201,0.909047,0.878704,0.80126
alkaline_phosphatase,6,6_109447299_109776220,109643673,true,STR_109643673,4.95e-13,1,0.781463614772587,1,0.320500314493007,1,0.389298498945627,0.922284,0.722568,0.975781,0.96705,0.922284,0.925848,0.950006
