chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	direction_of_association	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_1352244_1797715	1489172	1489188	1489167	STR_654	1	A	15.0,16.0,17.0,18.0	17.0	"{""15.0"": 21212.42, ""16.0"": 312062.93, ""17.0"": 638478.0, ""18.0"": 3107.14}"	"{""15.0"": 21406, ""16.0"": 313308, ""17.0"": 639165, ""18.0"": 939}"	"{""[15.0, 15.0]"": 693, ""[15.0, 16.0]"": 8610, ""[15.0, 17.0]"": 11333, ""[15.0, 18.0]"": 77, ""[16.0, 16.0]"": 52845, ""[16.0, 17.0]"": 198363, ""[16.0, 18.0]"": 645, ""[17.0, 17.0]"": 214640, ""[17.0, 18.0]"": 189, ""[18.0, 18.0]"": 14}"	"{""15.0"": 9319.06, ""16.0"": 187306.71, ""17.0"": 416024.84, ""18.0"": 1116.05}"	"{""15.0"": 9275, ""16.0"": 187776, ""17.0"": 416626, ""18.0"": 67}"	"{""[15.0, 15.0]"": 74, ""[15.0, 16.0]"": 2878, ""[15.0, 17.0]"": 6248, ""[15.0, 18.0]"": 1, ""[16.0, 16.0]"": 28922, ""[16.0, 17.0]"": 127031, ""[16.0, 18.0]"": 23, ""[17.0, 17.0]"": 141652, ""[17.0, 18.0]"": 43}"	0.01700175438007662	0.4453590882364734	0.9949794376476696	0.1068180746485858	"{""15.0"": 0.94, ""16.0"": 0.99, ""17.0"": 0.99, ""18.0"": 0.2}"	1.85e-08	-	-0.05530703939886905	-0.03960199241212972	0.132208	False	NA	NA	False	NA	none	0:inside:SSU72:protein_coding	20294:upstream:RP5-832C2.5:lncRNA,29702:downstream:RP11-345P4.11:processed_pseudogene,44204:downstream:FNDC10:protein_coding,46506:upstream:RP11-345P4.12:lncRNA,59950:downstream:RP11-345P4.9:lncRNA,78354:upstream:MMP23B:protein_coding,83629:downstream:ATAD3C:protein_coding,55944:downstream:ATAD3B:protein_coding,19107:downstream:ATAD3A:protein_coding,13168:upstream:TMEM240:protein_coding,0:inside:SSU72:protein_coding,61646:upstream:MIB2:protein_coding,44340:downstream:RP5-832C2.8:transcribed_unprocessed_pseudogene,81413:downstream:CDK11B:protein_coding	intron:SSU72:protein_coding	transcribed;SSU72-201:protein_coding:1,SSU72-203:retained_intron:2
1	1_9343352_9593352	9468354	9468367	9468352	STR_5250	1	A	14.0,15.0,16.0,17.0,18.0	14.0	"{""14.0"": 535151.47, ""15.0"": 749.49, ""16.0"": 438917.06, ""17.0"": 0.0, ""18.0"": 0.0}"	"{""14.0"": 530998, ""15.0"": 239, ""16.0"": 443581}"	"{""[14.0, 14.0]"": 146104, ""[14.0, 15.0]"": 200, ""[14.0, 16.0]"": 238590, ""[15.0, 15.0]"": 2, ""[15.0, 16.0]"": 35, ""[16.0, 16.0]"": 102478}"	"{""14.0"": 334402.97, ""15.0"": 305.82, ""16.0"": 279035.21, ""17.0"": 0.0, ""18.0"": 0.0}"	"{""14.0"": 331688, ""15.0"": 12, ""16.0"": 282044}"	"{""[14.0, 14.0]"": 89749, ""[14.0, 15.0]"": 4, ""[14.0, 16.0]"": 152186, ""[15.0, 16.0]"": 8, ""[16.0, 16.0]"": 64925}"	0.0004982859302901535	0.4967481864289864	0.995589661034482	0.3862130113604667	"{""14.0"": 0.99, ""15.0"": 0.13, ""16.0"": 0.99, ""17.0"": ""NaN"", ""18.0"": ""NaN""}"	4.53e-08	+	0.026777286359930486	0.03770491631044967	0.128557	False	NA	NA	False	NA	none	12790:downstream:CTD-2510L9.2:lncRNA	12790:downstream:CTD-2510L9.2:lncRNA,29361:downstream:RNA5SP40:rRNA_pseudogene,92784:downstream:RP13-392I16.1:lncRNA,38763:downstream:SPSB1:protein_coding,16786:downstream:LINC02606:lncRNA	intergenic	untranscribed
1	1_23595185_23949623	23747997	23748008	23747997	STR_15368	1	A	11.0,12.0	12.0	"{""11.0"": 691216.19, ""12.0"": 283601.78}"	"{""11.0"": 691652, ""12.0"": 283166}"	"{""[11.0, 11.0]"": 246522, ""[11.0, 12.0]"": 198608, ""[12.0, 12.0]"": 42279}"	"{""11.0"": 440662.68, ""12.0"": 173081.32}"	"{""11.0"": 440875, ""12.0"": 172869}"	"{""[11.0, 11.0]"": 158455, ""[11.0, 12.0]"": 123965, ""[12.0, 12.0]"": 24452}"	0.0	0.4046579426265655	0.8577069332316599	0.4334032380081708	"{""11.0"": 1.0, ""12.0"": 1.0}"	1.79e-09	-	-0.06871058981262124	-0.043724983065585823	0.257753	False	NA	NA	False	NA	none	0:inside:TCEA3:protein_coding	49665:downstream:ZNF436-AS1:lncRNA,51158:downstream:Y_RNA:misc_RNA,42475:upstream:RP5-1057J7.7:lncRNA,9358:downstream:RP4-654C18.1:processed_pseudogene,77168:upstream:HNRNPR:protein_coding,51668:upstream:ZNF436:protein_coding,7048:downstream:ASAP3:protein_coding,0:inside:TCEA3:protein_coding,84922:downstream:E2F2:protein_coding	intron:TCEA3:protein_coding	transcribed;TCEA3-201:protein_coding:1,TCEA3-203:protein_coding:1,TCEA3-205:protein_coding:3
1	1_23595185_23949623	23767349	23767368	23767345	STR_15376	1	A	17.0,18.0,19.0,20.0	20.0	"{""17.0"": 1172.86, ""18.0"": 1594.62, ""19.0"": 720765.29, ""20.0"": 251292.11}"	"{""17.0"": 1125, ""18.0"": 1457, ""19.0"": 721187, ""20.0"": 251049}"	"{""[17.0, 17.0]"": 1, ""[17.0, 19.0]"": 855, ""[17.0, 20.0]"": 268, ""[18.0, 18.0]"": 52, ""[18.0, 19.0]"": 756, ""[18.0, 20.0]"": 597, ""[19.0, 19.0]"": 267368, ""[19.0, 20.0]"": 184840, ""[20.0, 20.0]"": 32672}"	"{""17.0"": 775.74, ""18.0"": 57.02, ""19.0"": 455867.02, ""20.0"": 157048.88}"	"{""17.0"": 747, ""18.0"": 29, ""19.0"": 456124, ""20.0"": 156844}"	"{""[17.0, 17.0]"": 1, ""[17.0, 19.0]"": 576, ""[17.0, 20.0]"": 169, ""[18.0, 19.0]"": 19, ""[18.0, 20.0]"": 10, ""[19.0, 19.0]"": 169541, ""[19.0, 20.0]"": 116447, ""[20.0, 20.0]"": 20109}"	0.001356842066262108	0.3823705688812626	0.8337087989216173	0.6624970007158646	"{""17.0"": 0.98, ""18.0"": 0.63, ""19.0"": 1.0, ""20.0"": 1.0}"	1.72e-09	-	-0.06989139757509832	-0.043858100476431135	0.142077	False	NA	NA	False	NA	227:downstream:23767595:23767704:ASAP3:protein_coding,227:downstream:23767595:23767704:ASAP3:protein_coding,227:downstream:23767595:23767704:ASAP3:protein_coding,227:downstream:23767595:23767704:ASAP3:protein_coding,475:downstream:23767843:23767966:ASAP3:protein_coding,512:downstream:23767880:23767966:ASAP3:protein_coding,512:downstream:23767880:23767966:ASAP3:protein_coding,512:downstream:23767880:23767966:ASAP3:protein_coding,512:downstream:23767880:23767966:ASAP3:protein_coding,780:downstream:23768148:23768212:ASAP3:protein_coding,780:downstream:23768148:23768223:ASAP3:protein_coding,780:downstream:23768148:23768223:ASAP3:protein_coding,780:downstream:23768148:23768223:ASAP3:protein_coding,780:downstream:23768148:23768223:ASAP3:protein_coding	0:inside:ASAP3:protein_coding	69017:downstream:ZNF436-AS1:lncRNA,70510:downstream:Y_RNA:misc_RNA,61827:upstream:RP5-1057J7.7:lncRNA,28710:downstream:RP4-654C18.1:processed_pseudogene,96520:upstream:HNRNPR:protein_coding,71020:upstream:ZNF436:protein_coding,0:inside:ASAP3:protein_coding,16108:upstream:TCEA3:protein_coding,65562:downstream:E2F2:protein_coding	intron:ASAP3:protein_coding	transcribed;ASAP3-205:nonsense_mediated_decay:5,ASAP3-201:protein_coding:1,ASAP3-212:protein_coding:5,ASAP3-208:nonsense_mediated_decay:2,ASAP3-202:protein_coding:2
1	1_23595185_23949623	23817932	23817947	23817932	STR_15426	1	A	11.0,13.0,14.0,15.0,16.0,17.0	16.0	"{""11.0"": 0.0, ""13.0"": 42723.92, ""14.0"": 674655.1, ""15.0"": 172981.91, ""16.0"": 81540.37, ""17.0"": 2923.91}"	"{""13.0"": 42653, ""14.0"": 674818, ""15.0"": 173166, ""16.0"": 83352, ""17.0"": 829}"	"{""[13.0, 13.0]"": 974, ""[13.0, 14.0]"": 29161, ""[13.0, 15.0]"": 7847, ""[13.0, 16.0]"": 3677, ""[13.0, 17.0]"": 20, ""[14.0, 14.0]"": 236874, ""[14.0, 15.0]"": 115341, ""[14.0, 16.0]"": 56042, ""[14.0, 17.0]"": 526, ""[15.0, 15.0]"": 16925, ""[15.0, 16.0]"": 15940, ""[15.0, 17.0]"": 188, ""[16.0, 16.0]"": 3806, ""[16.0, 17.0]"": 81, ""[17.0, 17.0]"": 7}"	"{""11.0"": 0.0, ""13.0"": 26360.79, ""14.0"": 434628.65, ""15.0"": 101968.1, ""16.0"": 49229.56, ""17.0"": 1560.87}"	"{""13.0"": 26327, ""14.0"": 434769, ""15.0"": 101959, ""16.0"": 50409, ""17.0"": 280}"	"{""[13.0, 13.0]"": 563, ""[13.0, 14.0]"": 18536, ""[13.0, 15.0]"": 4498, ""[13.0, 16.0]"": 2157, ""[13.0, 17.0]"": 10, ""[14.0, 14.0]"": 154226, ""[14.0, 15.0]"": 71974, ""[14.0, 16.0]"": 35603, ""[14.0, 17.0]"": 204, ""[15.0, 15.0]"": 8483, ""[15.0, 16.0]"": 8474, ""[15.0, 17.0]"": 47, ""[16.0, 16.0]"": 2078, ""[16.0, 17.0]"": 19}"	0.12570505121181907	0.4620020590922602	1.2786558223229414	0.3596291334234017	"{""11.0"": ""NaN"", ""13.0"": 1.0, ""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.99, ""17.0"": 0.37}"	3.64e-10	-	-0.045357996169846176	-0.043882674477181256	0.534325	False	NA	NA	False	NA	none	6871:upstream:ASAP3:protein_coding	79293:downstream:RP4-654C18.1:processed_pseudogene,57683:downstream:RP1-150O5.3:lncRNA,66470:downstream:ID3:protein_coding,6871:upstream:ASAP3:protein_coding,84979:downstream:RP1-150O5.4:lncRNA,90038:upstream:MDS2:lncRNA,66691:upstream:TCEA3:protein_coding,14983:downstream:E2F2:protein_coding	intergenic	untranscribed
1	1_25455095_25988694	25794223	25794240	25794221	STR_17108	1	A	16.0,17.0,18.0,19.0	18.0	"{""16.0"": 1047.09, ""17.0"": 442145.88, ""18.0"": 520237.85, ""19.0"": 11387.23}"	"{""16.0"": 1049, ""17.0"": 440436, ""18.0"": 529207, ""19.0"": 4126}"	"{""[16.0, 16.0]"": 1, ""[16.0, 17.0]"": 460, ""[16.0, 18.0]"": 583, ""[16.0, 19.0]"": 4, ""[17.0, 17.0]"": 100444, ""[17.0, 18.0]"": 237109, ""[17.0, 19.0]"": 1979, ""[18.0, 18.0]"": 144861, ""[18.0, 19.0]"": 1793, ""[19.0, 19.0]"": 175}"	"{""16.0"": 702.32, ""17.0"": 272237.08, ""18.0"": 335370.7, ""19.0"": 5433.9}"	"{""16.0"": 707, ""17.0"": 271167, ""18.0"": 340895, ""19.0"": 975}"	"{""[16.0, 16.0]"": 1, ""[16.0, 17.0]"": 311, ""[16.0, 18.0]"": 391, ""[16.0, 19.0]"": 3, ""[17.0, 17.0]"": 59924, ""[17.0, 18.0]"": 150586, ""[17.0, 19.0]"": 422, ""[18.0, 18.0]"": 94684, ""[18.0, 19.0]"": 550}"	0.009998012200526601	0.4962792335566927	1.0178670683915376	0.9108833639072244	"{""16.0"": 0.86, ""17.0"": 0.99, ""18.0"": 0.99, ""19.0"": 0.52}"	2.55e-10	+	0.05840391132790046	0.04260102932692155	0.0516521	False	NA	NA	False	NA	none	0:inside:MACO1:protein_coding	68534:downstream:RP3-469D22.1:processed_pseudogene,61443:downstream:AL031284.1:miRNA,75857:upstream:LDLRAP1:protein_coding,37540:upstream:RHCE:protein_coding,0:inside:MACO1:protein_coding	intron:MACO1:protein_coding	transcribed;MACO1-202:protein_coding:1,MACO1-201:protein_coding:1,MACO1-204:nonsense_mediated_decay:missing from gencode
1	1_45826182_46723269	46105708	46105737	46105706	STR_32408	1	A	29.0,30.0,31.0	30.0	"{""29.0"": 432357.17, ""30.0"": 249957.45, ""31.0"": 292503.39}"	"{""29.0"": 433704, ""30.0"": 248503, ""31.0"": 292611}"	"{""[29.0, 29.0]"": 97920, ""[29.0, 30.0]"": 107199, ""[29.0, 31.0]"": 130665, ""[30.0, 30.0]"": 33659, ""[30.0, 31.0]"": 73986, ""[31.0, 31.0]"": 43980}"	"{""29.0"": 275587.95, ""30.0"": 152642.5, ""31.0"": 185513.6}"	"{""29.0"": 276387, ""30.0"": 151867, ""31.0"": 185490}"	"{""[29.0, 29.0]"": 62343, ""[29.0, 30.0]"": 68357, ""[29.0, 31.0]"": 83344, ""[30.0, 30.0]"": 18765, ""[30.0, 31.0]"": 45980, ""[31.0, 31.0]"": 28083}"	0.24870709540890862	0.6446339165570771	1.5385949293542522	0.6001022334217193	"{""29.0"": 0.99, ""30.0"": 0.99, ""31.0"": 1.0}"	5.45e-09	-	-0.03445086743141168	-0.04162012126296467	0.105717	False	NA	NA	False	NA	145:downstream:46105882:46106075:GPBP1L1:protein_coding,145:downstream:46105882:46106075:GPBP1L1:protein_coding	0:inside:GPBP1L1:protein_coding	59040:upstream:ENSG00000281133:pseudogene,58715:upstream:ENSG00000280836:pseudogene,47222:upstream:ENSG00000281112:pseudogene,34306:upstream:ENSG00000281825:pseudogene,5751:downstream:RPS15AP10:processed_pseudogene,10974:downstream:RP11-767N6.2:processed_pseudogene,48116:upstream:TMEM69:protein_coding,54619:downstream:RP11-767N6.7:lncRNA,69987:downstream:AKR1A1:protein_coding,21132:downstream:NASP:protein_coding,15979:upstream:CCDC17:protein_coding,54259:downstream:IPP:protein_coding,97304:upstream:PRDX1:protein_coding,0:inside:GPBP1L1:protein_coding	intron:GPBP1L1:protein_coding	transcribed;GPBP1L1-201:protein_coding:5,GPBP1L1-202:protein_coding:1
1	1_91405001_91667517	91538461	91538476	91538459	STR_56450	1	A	12.0,13.0,14.0,15.0,16.0,17.0	16.0	"{""12.0"": 0.0, ""13.0"": 89489.84, ""14.0"": 105870.89, ""15.0"": 13561.15, ""16.0"": 762543.85, ""17.0"": 3352.48}"	"{""13.0"": 89030, ""14.0"": 106095, ""15.0"": 12860, ""16.0"": 765636, ""17.0"": 1197}"	"{""[13.0, 13.0]"": 4949, ""[13.0, 14.0]"": 9170, ""[13.0, 15.0]"": 1631, ""[13.0, 16.0]"": 68223, ""[13.0, 17.0]"": 108, ""[14.0, 14.0]"": 5871, ""[14.0, 15.0]"": 1310, ""[14.0, 16.0]"": 83753, ""[14.0, 17.0]"": 120, ""[15.0, 15.0]"": 149, ""[15.0, 16.0]"": 9605, ""[15.0, 17.0]"": 16, ""[16.0, 16.0]"": 301553, ""[16.0, 17.0]"": 949, ""[17.0, 17.0]"": 2}"	"{""12.0"": 0.0, ""13.0"": 52891.13, ""14.0"": 68774.84, ""15.0"": 7587.63, ""16.0"": 482476.34, ""17.0"": 2014.12}"	"{""13.0"": 52626, ""14.0"": 68922, ""15.0"": 7115, ""16.0"": 484412, ""17.0"": 669}"	"{""[13.0, 13.0]"": 2199, ""[13.0, 14.0]"": 5851, ""[13.0, 15.0]"": 585, ""[13.0, 16.0]"": 41744, ""[13.0, 17.0]"": 48, ""[14.0, 14.0]"": 3863, ""[14.0, 15.0]"": 816, ""[14.0, 16.0]"": 54452, ""[14.0, 17.0]"": 77, ""[15.0, 15.0]"": 36, ""[15.0, 16.0]"": 5635, ""[15.0, 17.0]"": 7, ""[16.0, 16.0]"": 191023, ""[16.0, 17.0]"": 535, ""[17.0, 17.0]"": 1}"	0.10182237853348836	0.3569483304485474	1.0128556825387849	0.4233218704496529	"{""12.0"": ""NaN"", ""13.0"": 0.99, ""14.0"": 0.99, ""15.0"": 0.95, ""16.0"": 0.99, ""17.0"": 0.72}"	1.65e-08	+	0.028348404563486435	0.0400441191995594	0.0610927	False	NA	NA	False	NA	none	48100:downstream:RPL5P6:processed_pseudogene	48100:downstream:RPL5P6:processed_pseudogene,50632:upstream:ZNF644:protein_coding	intergenic	untranscribed
1	1_92380309_93593179	93128515	93128529	93128515	STR_57580	1	A	14.0,15.0,16.0,17.0	15.0	"{""14.0"": 1566.96, ""15.0"": 136898.36, ""16.0"": 835392.16, ""17.0"": 960.43}"	"{""14.0"": 1514, ""15.0"": 137427, ""16.0"": 835405, ""17.0"": 472}"	"{""[14.0, 14.0]"": 71, ""[14.0, 15.0]"": 285, ""[14.0, 16.0]"": 1087, ""[15.0, 15.0]"": 9991, ""[15.0, 16.0]"": 117105, ""[15.0, 17.0]"": 55, ""[16.0, 16.0]"": 358398, ""[16.0, 17.0]"": 417}"	"{""14.0"": 24.32, ""15.0"": 88741.18, ""16.0"": 524344.63, ""17.0"": 633.87}"	"{""14.0"": 10, ""15.0"": 89166, ""16.0"": 524258, ""17.0"": 310}"	"{""[14.0, 15.0]"": 4, ""[14.0, 16.0]"": 6, ""[15.0, 15.0]"": 6618, ""[15.0, 16.0]"": 75887, ""[15.0, 17.0]"": 39, ""[16.0, 16.0]"": 224047, ""[16.0, 17.0]"": 271}"	0.0010724178158971818	0.2492411386858722	0.6043310865947602	0.2468466994597183	"{""14.0"": 0.6, ""15.0"": 0.98, ""16.0"": 0.98, ""17.0"": 0.7}"	3.72e-14	+	0.10580243467450579	0.05293290124222406	0.327276	False	NA	NA	False	NA	93:upstream:93128276:93128422:EVI5:protein_coding,93:upstream:93128276:93128422:EVI5:protein_coding,448:downstream:93128977:93129009:EVI5:protein_coding,448:downstream:93128977:93129009:EVI5:protein_coding,448:downstream:93128977:93129009:EVI5:protein_coding,448:downstream:93128977:93129009:EVI5:protein_coding	0:inside:EVI5:protein_coding	82137:upstream:RP4-593M8.1:processed_pseudogene,15328:upstream:HMGB3P9:processed_pseudogene,37847:downstream:RNU4-59P:snRNA,69028:upstream:RP11-330C7.3:processed_pseudogene,86203:downstream:H3P3:processed_pseudogene,92822:upstream:CCNJP2:processed_pseudogene,0:inside:EVI5:protein_coding	intron:EVI5:protein_coding	transcribed;EVI5-203:processed_transcript:5,EVI5-207:processed_transcript:3,EVI5-201:protein_coding:1,EVI5-208:protein_coding:1,EVI5-209:protein_coding:missing from gencode,EVI5-205:protein_coding:5
1	1_92380309_93593179	93130043	93130057	93130037	STR_57582	1	A	14.0,15.0,17.0,18.0,19.0	15.0	"{""14.0"": 23366.33, ""15.0"": 70591.96, ""17.0"": 246011.17, ""18.0"": 633745.15, ""19.0"": 1104.71}"	"{""14.0"": 23307, ""15.0"": 70671, ""17.0"": 244028, ""18.0"": 636282, ""19.0"": 530}"	"{""[14.0, 14.0]"": 282, ""[14.0, 15.0]"": 1816, ""[14.0, 17.0]"": 6025, ""[14.0, 18.0]"": 14897, ""[14.0, 19.0]"": 5, ""[15.0, 15.0]"": 2694, ""[15.0, 17.0]"": 17958, ""[15.0, 18.0]"": 45475, ""[15.0, 19.0]"": 34, ""[17.0, 17.0]"": 31256, ""[17.0, 18.0]"": 157396, ""[17.0, 19.0]"": 137, ""[18.0, 18.0]"": 209082, ""[18.0, 19.0]"": 350, ""[19.0, 19.0]"": 2}"	"{""14.0"": 15410.27, ""15.0"": 46681.71, ""17.0"": 158662.56, ""18.0"": 392344.45, ""19.0"": 645.86}"	"{""14.0"": 15382, ""15.0"": 46724, ""17.0"": 157443, ""18.0"": 393918, ""19.0"": 277}"	"{""[14.0, 14.0]"": 186, ""[14.0, 15.0]"": 1246, ""[14.0, 17.0]"": 3985, ""[14.0, 18.0]"": 9775, ""[14.0, 19.0]"": 4, ""[15.0, 15.0]"": 1846, ""[15.0, 17.0]"": 11983, ""[15.0, 18.0]"": 29782, ""[15.0, 19.0]"": 21, ""[17.0, 17.0]"": 20382, ""[17.0, 18.0]"": 100634, ""[17.0, 19.0]"": 77, ""[18.0, 18.0]"": 126776, ""[18.0, 19.0]"": 175}"	0.10222137098176874	0.5158259480218845	1.3352787740314451	0.0274377352783268	"{""14.0"": 0.98, ""15.0"": 0.99, ""17.0"": 1.0, ""18.0"": 1.0, ""19.0"": 0.69}"	1.26e-15	+	0.04069847973945073	0.0576242444368717	0.632487	False	NA	NA	False	NA	none	0:inside:EVI5:protein_coding	83665:upstream:RP4-593M8.1:processed_pseudogene,16856:upstream:HMGB3P9:processed_pseudogene,36319:downstream:RNU4-59P:snRNA,67500:upstream:RP11-330C7.3:processed_pseudogene,84675:downstream:H3P3:processed_pseudogene,91294:upstream:CCNJP2:processed_pseudogene,0:inside:EVI5:protein_coding	intron:EVI5:protein_coding	transcribed;EVI5-203:processed_transcript:5,EVI5-207:processed_transcript:3,EVI5-201:protein_coding:1,EVI5-208:protein_coding:1,EVI5-209:protein_coding:missing from gencode,EVI5-205:protein_coding:5
