chrom	start	fraction_concordant_seq	fraction_concordant_len	fraction_concordant_len_sum	balanced_accuracy	len_sum_frequencies	len_sum_accuracies	mean_absolute_difference	r	dosage_r	numcalls	n_missing_only_vcf1	n_missing_only_vcf2	n_missing_both
1	3086622	0.9752901227361034	0.9752901227361034	0.9752901227361034	0.9774995016901671	{40.0: 0.3468842729970326, 41.0: 0.4222551928783383, 42.0: 0.129080118694362, 44.0: 0.06261127596439169, 45.0: 0.03679525222551929, 48.0: 0.002373887240356083}	{40.0: 0.9679269390905689, 41.0: 0.9789559102276221, 42.0: 0.9759788074712645, 44.0: 0.9858554641217417, 45.0: 0.9823298608103105, 48.0: 0.9739500284194946}	0.04376403205975666	0.9667382946312074	0.9921369603626329	3370	3	0	0
1	11868271	0.5190911512027081	0.5215607352464899	0.5377316171421065	0.42034080720967676	{80.0: 0.00033277870216306157, 82.0: 0.020632279534109815, 84.0: 0.00033277870216306157, 90.0: 0.0009983361064891847, 92.0: 0.013976705490848586, 94.0: 0.11214642262895175, 96.0: 0.028618968386023295, 98.0: 0.06422628951747088, 100.0: 0.009650582362728786, 102.0: 0.027287853577371048, 104.0: 0.036605657237936774, 106.0: 0.14409317803660565, 108.0: 0.08252911813643926, 110.0: 0.1767054908485857, 112.0: 0.058901830282861896, 114.0: 0.1151414309484193, 116.0: 0.04359400998336106, 118.0: 0.032279534109816974, 120.0: 0.013976705490848586, 122.0: 0.009317803660565723, 124.0: 0.005324459234608985, 126.0: 0.002995008319467554, 128.0: 0.00033277870216306157}	{80.0: 0.9800000190734863, 82.0: 0.946911339333559, 84.0: 0.15679999813437462, 90.0: 0.0, 92.0: 0.03630238270696801, 94.0: 0.8400029366626438, 96.0: 0.3034790498624166, 98.0: 0.7248155465084152, 100.0: 0.07012758121408265, 102.0: 0.5955061163844132, 104.0: 0.1425745450214229, 106.0: 0.7089341682173295, 108.0: 0.2025052412889988, 110.0: 0.5982126063770719, 112.0: 0.1722389824141217, 114.0: 0.5711014451663617, 116.0: 0.4085076412555712, 118.0: 0.4244000210436349, 120.0: 0.38973332515784676, 122.0: 0.41480716091713743, 124.0: 0.6392562389373779, 126.0: 0.34162222014533145, 128.0: 0.0}	1.4166810272924795	0.9594731927692438	0.9710758633374252	3005	368	0	0
1	21822677	0.5906281077069867	0.598264236462742	0.6024124180521658	0.2904314001834561	{82.0: 0.0006011421701232341, 84.0: 0.00030057108506161706, 86.0: 0.014126840997896002, 88.0: 0.003907424105801022, 90.0: 0.17703636910129245, 92.0: 0.03095882176134656, 94.0: 0.02254283137962128, 96.0: 0.010820559062218215, 98.0: 0.24706943192064923, 100.0: 0.1036970243462579, 102.0: 0.032461677186654644, 104.0: 0.04869251577998197, 106.0: 0.1145175834084761, 108.0: 0.0793507664562669, 110.0: 0.026149684400360685, 112.0: 0.04087766756837992, 114.0: 0.019837691614066726, 116.0: 0.01021941689209498, 118.0: 0.01142170123234145, 120.0: 0.003005710850616171, 122.0: 0.0018034265103697023, 124.0: 0.0006011421701232341}	{82.0: 0.0, 84.0: 0.0, 86.0: 0.13684894138714299, 88.0: 0.00047692321095382795, 90.0: 0.8972354545214009, 92.0: 0.07025145846492502, 94.0: 0.13596133734701044, 96.0: 0.2756361179299549, 98.0: 0.8213357736964108, 100.0: 0.4274142109789376, 102.0: 0.20897777643525237, 104.0: 0.5913092697076614, 106.0: 0.667103143998228, 108.0: 0.49169468305108516, 110.0: 0.29749999600215066, 112.0: 0.4521948526287494, 114.0: 0.1893878829444778, 116.0: 0.1976999931229169, 118.0: 0.22447631792850808, 120.0: 0.018170000129612163, 122.0: 0.28581667055065435, 124.0: 0.0}	2.0711642833011497	0.8451941447581413	0.9127617758624668	3327	46	0	0
1	21826946	0.9422440160767319	0.9422440160767319	0.9422649809369683	0.6208415402652412	{27.0: 0.002084574151280524, 28.0: 0.7948183442525313, 29.0: 0.11733174508636093, 30.0: 0.07891602144133412, 31.0: 0.003871351995235259, 32.0: 0.0029779630732578916}	{27.0: 0.0, 28.0: 0.9923269043883477, 29.0: 0.7523375767741711, 30.0: 0.7743486512382076, 31.0: 0.640546101790208, 32.0: 0.5654900074005127}	0.06845950014779507	0.8912865033259674	0.9355842305691252	3358	15	0	0
1	21935885	0.9319176002169206	0.9319176002169206	0.9319176002169206	0.6952857803394793	{26.0: 0.14239001189060643, 27.0: 0.44292508917954815, 28.0: 0.4114149821640904, 29.0: 0.0032699167657550534}	{26.0: 0.8977302439775248, 27.0: 0.9274966655961618, 28.0: 0.9559162117842305, 29.0: 0.0}	0.06896254342718836	0.9270659132463515	0.9579766087448814	3364	9	0	0
1	22015711	0.929602995901715	0.9301926696633892	0.9302285870548195	0.8699227031357548	{22.0: 0.6384316073032026, 23.0: 0.311284046692607, 24.0: 0.050284346004190364}	{22.0: 0.9739047776064123, 23.0: 0.8666626888972062, 24.0: 0.7692006429036458}	0.07072756522027235	0.8924180188642933	0.9316534376722555	3341	32	0	0
1	23747997	0.9918768552908678	0.9918768552908678	0.9918768552908678	0.9922784200006621	{22.0: 0.35031277926720283, 23.0: 0.46053023532916293, 24.0: 0.1891569854036342}	{22.0: 0.9929236587213011, 23.0: 0.9904155459780281, 24.0: 0.9934960553026575}	0.008131545154027359	0.9920770704954464	0.9967080319973086	3357	16	0	0
1	23817932	0.9267390585188967	0.9270486270021789	0.9273713912361353	0.7739736378671825	{27.0: 0.0006253908692933083, 28.0: 0.3464665415884928, 29.0: 0.33708567854909316, 30.0: 0.23108192620387744, 31.0: 0.06816760475297061, 32.0: 0.01657285803627267}	{27.0: 0.5, 28.0: 0.9744661569660727, 29.0: 0.9695314361644524, 30.0: 0.870970119937985, 31.0: 0.7623816322569452, 32.0: 0.5664924818776407}	0.08387794809400577	0.9536514649198228	0.9693339531947129	3198	175	0	0
1	23818460	0.9193356068530828	0.9200933291686002	0.9201058096745152	0.5418115011526465	{53.0: 0.00031201248049921997, 55.0: 0.0024960998439937598, 56.0: 0.0012480499219968799, 58.0: 0.0015600624024961, 60.0: 0.04024960998439937, 61.0: 0.00873634945397816, 62.0: 0.7113884555382215, 63.0: 0.212792511700468, 64.0: 0.020904836193447737, 65.0: 0.00031201248049921997}	{53.0: 0.05999999865889549, 55.0: 0.05223750037839636, 56.0: 0.07000000262632966, 58.0: 1.0, 60.0: 0.9590271653593049, 61.0: 0.7664285564262951, 62.0: 0.9522717201150954, 63.0: 0.8494813598632802, 64.0: 0.7086687080988682, 65.0: 0.0}	0.2054584670130544	0.4083791103844223	0.4854397130978283	3205	168	0	0
1	26844613	0.9383093421783382	0.9383093421783382	0.9383646842160125	0.6485143223944797	{46.0: 0.007686395080707148, 47.0: 0.10453497309761722, 48.0: 0.3239815526518063, 49.0: 0.41006917755572636, 50.0: 0.14681014604150652, 51.0: 0.006149116064565719, 52.0: 0.0007686395080707148}	{46.0: 0.8190000534057617, 47.0: 0.9050169035943005, 48.0: 0.9562910021076142, 49.0: 0.9677461363087585, 50.0: 0.8909211613588933, 51.0: 0.0006249999860301614, 52.0: 0.0}	0.06602333258014667	0.9514631183674215	0.9631593625748698	2602	771	0	0
1	27002654	0.9647314288728644	0.9647314288728644	0.9647556326946994	0.7199573885194855	{33.0: 0.00778485491861288, 34.0: 0.7717622080679406, 35.0: 0.2059447983014862, 36.0: 0.014508138711960368}	{33.0: 0.0009090909039845097, 34.0: 0.9772403786108047, 35.0: 0.955728867004827, 36.0: 0.9459512175583259}	0.036054352323013183	0.9157815930846602	0.9381807633038856	2826	547	0	0
