chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	direction_of_association	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_23595185_23949623	23747997	23748008	23747997	STR_15368	1	A	11.0,12.0	12.0	"{""11.0"": 691216.19, ""12.0"": 283601.78}"	"{""11.0"": 691652, ""12.0"": 283166}"	"{""[11.0, 11.0]"": 246522, ""[11.0, 12.0]"": 198608, ""[12.0, 12.0]"": 42279}"	"{""11.0"": 440971.17, ""12.0"": 173358.83}"	"{""11.0"": 441183, ""12.0"": 173147}"	"{""[11.0, 11.0]"": 158580, ""[11.0, 12.0]"": 124023, ""[12.0, 12.0]"": 24562}"	0.0	0.4048184412888302	0.8579551391394914	0.2351085889486246	"{""11.0"": 1.0, ""12.0"": 1.0}"	9.49e-10	-	-0.045391209357482865	-0.028891035617152595	0.0569649	False	NA	NA	False	NA	none	0:inside:TCEA3:protein_coding	49665:downstream:ZNF436-AS1:lncRNA,51158:downstream:Y_RNA:misc_RNA,42475:upstream:RP5-1057J7.7:lncRNA,9358:downstream:RP4-654C18.1:processed_pseudogene,77168:upstream:HNRNPR:protein_coding,51668:upstream:ZNF436:protein_coding,7048:downstream:ASAP3:protein_coding,0:inside:TCEA3:protein_coding,84922:downstream:E2F2:protein_coding	intron:TCEA3:protein_coding	transcribed;TCEA3-201:protein_coding:1,TCEA3-203:protein_coding:1,TCEA3-205:protein_coding:3
1	1_23595185_23949623	23767349	23767368	23767345	STR_15376	1	A	17.0,18.0,19.0,20.0	20.0	"{""17.0"": 1172.86, ""18.0"": 1594.62, ""19.0"": 720765.29, ""20.0"": 251292.11}"	"{""17.0"": 1125, ""18.0"": 1457, ""19.0"": 721187, ""20.0"": 251049}"	"{""[17.0, 17.0]"": 1, ""[17.0, 19.0]"": 855, ""[17.0, 20.0]"": 268, ""[18.0, 18.0]"": 52, ""[18.0, 19.0]"": 756, ""[18.0, 20.0]"": 597, ""[19.0, 19.0]"": 267368, ""[19.0, 20.0]"": 184840, ""[20.0, 20.0]"": 32672}"	"{""17.0"": 795.11, ""18.0"": 56.09, ""19.0"": 456197.54, ""20.0"": 157285.98}"	"{""17.0"": 767, ""18.0"": 29, ""19.0"": 456456, ""20.0"": 157078}"	"{""[17.0, 17.0]"": 1, ""[17.0, 19.0]"": 587, ""[17.0, 20.0]"": 178, ""[18.0, 19.0]"": 19, ""[18.0, 20.0]"": 10, ""[19.0, 19.0]"": 169663, ""[19.0, 20.0]"": 116524, ""[20.0, 20.0]"": 20183}"	0.0013855638828292173	0.3825507835910122	0.8342092422147566	0.485206428735097	"{""17.0"": 0.98, ""18.0"": 0.61, ""19.0"": 1.0, ""20.0"": 1.0}"	2.71e-10	-	-0.04854040145360017	-0.030476949500886332	0.198443	False	NA	NA	False	NA	227:downstream:23767595:23767704:ASAP3:protein_coding,227:downstream:23767595:23767704:ASAP3:protein_coding,227:downstream:23767595:23767704:ASAP3:protein_coding,227:downstream:23767595:23767704:ASAP3:protein_coding,475:downstream:23767843:23767966:ASAP3:protein_coding,512:downstream:23767880:23767966:ASAP3:protein_coding,512:downstream:23767880:23767966:ASAP3:protein_coding,512:downstream:23767880:23767966:ASAP3:protein_coding,512:downstream:23767880:23767966:ASAP3:protein_coding,780:downstream:23768148:23768212:ASAP3:protein_coding,780:downstream:23768148:23768223:ASAP3:protein_coding,780:downstream:23768148:23768223:ASAP3:protein_coding,780:downstream:23768148:23768223:ASAP3:protein_coding,780:downstream:23768148:23768223:ASAP3:protein_coding	0:inside:ASAP3:protein_coding	69017:downstream:ZNF436-AS1:lncRNA,70510:downstream:Y_RNA:misc_RNA,61827:upstream:RP5-1057J7.7:lncRNA,28710:downstream:RP4-654C18.1:processed_pseudogene,96520:upstream:HNRNPR:protein_coding,71020:upstream:ZNF436:protein_coding,0:inside:ASAP3:protein_coding,16108:upstream:TCEA3:protein_coding,65562:downstream:E2F2:protein_coding	intron:ASAP3:protein_coding	transcribed;ASAP3-205:nonsense_mediated_decay:5,ASAP3-201:protein_coding:1,ASAP3-212:protein_coding:5,ASAP3-208:nonsense_mediated_decay:2,ASAP3-202:protein_coding:2
1	1_23595185_23949623	23817932	23817947	23817932	STR_15426	1	A	11.0,13.0,14.0,15.0,16.0,17.0	16.0	"{""11.0"": 0.0, ""13.0"": 42723.92, ""14.0"": 674655.1, ""15.0"": 172981.91, ""16.0"": 81540.37, ""17.0"": 2923.91}"	"{""13.0"": 42653, ""14.0"": 674818, ""15.0"": 173166, ""16.0"": 83352, ""17.0"": 829}"	"{""[13.0, 13.0]"": 974, ""[13.0, 14.0]"": 29161, ""[13.0, 15.0]"": 7847, ""[13.0, 16.0]"": 3677, ""[13.0, 17.0]"": 20, ""[14.0, 14.0]"": 236874, ""[14.0, 15.0]"": 115341, ""[14.0, 16.0]"": 56042, ""[14.0, 17.0]"": 526, ""[15.0, 15.0]"": 16925, ""[15.0, 16.0]"": 15940, ""[15.0, 17.0]"": 188, ""[16.0, 16.0]"": 3806, ""[16.0, 17.0]"": 81, ""[17.0, 17.0]"": 7}"	"{""11.0"": 0.0, ""13.0"": 26342.47, ""14.0"": 434983.92, ""15.0"": 102179.03, ""16.0"": 49267.84, ""17.0"": 1560.7}"	"{""13.0"": 26305, ""14.0"": 435118, ""15.0"": 102170, ""16.0"": 50455, ""17.0"": 282}"	"{""[13.0, 13.0]"": 549, ""[13.0, 14.0]"": 18529, ""[13.0, 15.0]"": 4517, ""[13.0, 16.0]"": 2151, ""[13.0, 17.0]"": 10, ""[14.0, 14.0]"": 154352, ""[14.0, 15.0]"": 72061, ""[14.0, 16.0]"": 35623, ""[14.0, 17.0]"": 201, ""[15.0, 15.0]"": 8510, ""[15.0, 16.0]"": 8521, ""[15.0, 17.0]"": 51, ""[16.0, 16.0]"": 2070, ""[16.0, 17.0]"": 20}"	0.12561735965239493	0.4621001673955597	1.278751316280578	0.3532582130958731	"{""11.0"": ""NaN"", ""13.0"": 1.0, ""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.99, ""17.0"": 0.38}"	2.31e-10	-	-0.03007427947289572	-0.02909313330367076	0.218016	False	NA	NA	False	NA	none	6871:upstream:ASAP3:protein_coding	79293:downstream:RP4-654C18.1:processed_pseudogene,57683:downstream:RP1-150O5.3:lncRNA,66470:downstream:ID3:protein_coding,6871:upstream:ASAP3:protein_coding,84979:downstream:RP1-150O5.4:lncRNA,90038:upstream:MDS2:lncRNA,66691:upstream:TCEA3:protein_coding,14983:downstream:E2F2:protein_coding	intergenic	untranscribed
1	1_59497219_59768856	59634815	59634825	59634815	STR_40278	1	A	7.0,8.0,10.0,11.0	11.0	"{""7.0"": 653129.21, ""8.0"": 0.0, ""10.0"": 0.0, ""11.0"": 321688.84}"	"{""7.0"": 652501, ""11.0"": 322317}"	"{""[7.0, 7.0]"": 218573, ""[7.0, 11.0]"": 215355, ""[11.0, 11.0]"": 53481}"	"{""7.0"": 407719.92, ""8.0"": 0.0, ""10.0"": 0.0, ""11.0"": 206610.08}"	"{""7.0"": 407339, ""11.0"": 206991}"	"{""[7.0, 7.0]"": 135045, ""[7.0, 11.0]"": 137249, ""[11.0, 11.0]"": 34871}"	0.0	0.4468214392701658	0.9218582047769434	0.9971043040043646	"{""7.0"": 1.0, ""8.0"": ""NaN"", ""10.0"": ""NaN"", ""11.0"": 1.0}"	1.34e-08	-	-0.009149706184512496	-0.02445328060260634	0.146946	False	NA	NA	False	NA	none	0:inside:LINC01358:lncRNA	91027:upstream:RP11-145M4.2:lncRNA,0:inside:LINC01358:lncRNA,0:inside:FGGY-DT:lncRNA	multigene;intron:LINC01358:lncRNA;intron:FGGY-DT:lncRNA	transcribed;FGGY-DT-211:lncRNA:missing from gencode,FGGY-DT-209:lncRNA:5,FGGY-DT-208:lncRNA:5,FGGY-DT-206:lncRNA:5,FGGY-DT-207:lncRNA:5,LINC01358-205:lncRNA:5,FGGY-DT-202:lncRNA:3
1	1_59497219_59768856	59641087	59641111	59641087	STR_40281	1	A	23.0,24.0,25.0,26.0	25.0	"{""23.0"": 6005.93, ""24.0"": 644206.12, ""25.0"": 324193.57, ""26.0"": 412.49}"	"{""23.0"": 3198, ""24.0"": 647844, ""25.0"": 323396, ""26.0"": 380}"	"{""[23.0, 23.0]"": 2, ""[23.0, 24.0]"": 2169, ""[23.0, 25.0]"": 1025, ""[24.0, 24.0]"": 215341, ""[24.0, 25.0]"": 214746, ""[24.0, 26.0]"": 247, ""[25.0, 25.0]"": 53751, ""[25.0, 26.0]"": 123, ""[26.0, 26.0]"": 5}"	"{""23.0"": 4003.1, ""24.0"": 402837.08, ""25.0"": 207472.07, ""26.0"": 17.82}"	"{""23.0"": 2177, ""24.0"": 405179, ""25.0"": 206969, ""26.0"": 5}"	"{""[23.0, 23.0]"": 2, ""[23.0, 24.0]"": 1470, ""[23.0, 25.0]"": 703, ""[24.0, 24.0]"": 133542, ""[24.0, 25.0]"": 136621, ""[24.0, 26.0]"": 4, ""[25.0, 25.0]"": 34822, ""[25.0, 26.0]"": 1}"	0.006545211111023753	0.4514833374089194	0.9538136773623842	0.6661307735510524	"{""23.0"": 0.52, ""24.0"": 0.99, ""25.0"": 1.0, ""26.0"": 0.45}"	2.75e-08	-	-0.034272917597956365	-0.023477230046975404	0.0567177	False	NA	NA	False	NA	none	0:inside:LINC01358:lncRNA	97299:upstream:RP11-145M4.2:lncRNA,0:inside:LINC01358:lncRNA,0:inside:FGGY-DT:lncRNA	multigene;intron:LINC01358:lncRNA;intron:FGGY-DT:lncRNA	transcribed;FGGY-DT-211:lncRNA:missing from gencode,FGGY-DT-209:lncRNA:5,FGGY-DT-208:lncRNA:5,FGGY-DT-206:lncRNA:5,FGGY-DT-207:lncRNA:5,LINC01358-205:lncRNA:5,FGGY-DT-202:lncRNA:3
1	1_154270212_155709557	154399396	154399411	154399396	STR_75896	1	A	15.0,16.0,17.0	16.0	"{""15.0"": 418.45, ""16.0"": 576678.32, ""17.0"": 397721.23}"	"{""15.0"": 168, ""16.0"": 574830, ""17.0"": 399820}"	"{""[15.0, 15.0]"": 1, ""[15.0, 16.0]"": 107, ""[15.0, 17.0]"": 59, ""[16.0, 16.0]"": 169745, ""[16.0, 17.0]"": 235233, ""[17.0, 17.0]"": 82264}"	"{""15.0"": 109.18, ""16.0"": 360669.63, ""17.0"": 253551.19}"	"{""15.0"": 20, ""16.0"": 359295, ""17.0"": 255015}"	"{""[15.0, 16.0]"": 12, ""[15.0, 17.0]"": 8, ""[16.0, 16.0]"": 105074, ""[16.0, 17.0]"": 149135, ""[17.0, 17.0]"": 52936}"	0.00017772207119951818	0.4856257185730478	0.9796133726078906	0.96544516801228	"{""15.0"": 0.41, ""16.0"": 0.99, ""17.0"": 0.99}"	2.43e-13	+	0.0455175927197331	0.031712926416186074	0.0535977	False	NA	NA	False	NA	none	0:inside:IL6R:protein_coding	88118:downstream:RNU7-57P:snRNA,47647:upstream:RP11-350G8.4:unprocessed_pseudogene,47831:upstream:RPSAP17:processed_pseudogene,20356:upstream:IL6R-AS1:lncRNA,11783:upstream:PSMD8P1:processed_pseudogene,53077:upstream:RP11-350G8.9:lncRNA,75616:downstream:ATP8B2:protein_coding,42837:downstream:SHE:protein_coding,75284:upstream:TDRD10:protein_coding,0:inside:IL6R:protein_coding	intron:IL6R:protein_coding	transcribed;IL6R-208:protein_coding:1,IL6R-201:protein_coding:1,IL6R-202:protein_coding:1,IL6R-206:protein_coding:4
1	1_154270212_155709557	154418226	154418238	154418224	STR_75910	1	A	13.0,14.0,15.0,16.0	13.0	"{""13.0"": 547444.59, ""14.0"": 9816.74, ""15.0"": 416694.41, ""16.0"": 865.1}"	"{""13.0"": 548065, ""14.0"": 9424, ""15.0"": 416785, ""16.0"": 544}"	"{""[13.0, 13.0]"": 154699, ""[13.0, 14.0]"": 5258, ""[13.0, 15.0]"": 233168, ""[13.0, 16.0]"": 241, ""[14.0, 14.0]"": 58, ""[14.0, 15.0]"": 4049, ""[14.0, 16.0]"": 1, ""[15.0, 15.0]"": 89637, ""[15.0, 16.0]"": 294, ""[16.0, 16.0]"": 4}"	"{""13.0"": 344581.73, ""14.0"": 6472.63, ""15.0"": 263007.97, ""16.0"": 269.53}"	"{""13.0"": 344971, ""14.0"": 6240, ""15.0"": 263056, ""16.0"": 63}"	"{""[13.0, 13.0]"": 96872, ""[13.0, 14.0]"": 3470, ""[13.0, 15.0]"": 147722, ""[13.0, 16.0]"": 35, ""[14.0, 14.0]"": 32, ""[14.0, 15.0]"": 2705, ""[14.0, 16.0]"": 1, ""[15.0, 15.0]"": 56301, ""[15.0, 16.0]"": 27}"	0.010974784866277325	0.5012143117806434	1.0600825097525	0.9870437875233092	"{""13.0"": 1.0, ""14.0"": 0.96, ""15.0"": 1.0, ""16.0"": 0.61}"	1.83e-13	+	0.02388125899640947	0.03332065888358371	0.086222	False	NA	NA	False	NA	656:downstream:154417523:154417570:IL6R:protein_coding	0:inside:IL6R:protein_coding	66477:upstream:RP11-350G8.4:unprocessed_pseudogene,66661:upstream:RPSAP17:processed_pseudogene,39186:upstream:IL6R-AS1:lncRNA,30613:upstream:PSMD8P1:processed_pseudogene,34250:upstream:RP11-350G8.9:lncRNA,94446:downstream:ATP8B2:protein_coding,24010:downstream:SHE:protein_coding,56457:upstream:TDRD10:protein_coding,0:inside:IL6R:protein_coding	intron:IL6R:protein_coding	transcribed;IL6R-207:protein_coding:2,IL6R-205:processed_transcript:4,IL6R-201:protein_coding:1,IL6R-202:protein_coding:1,IL6R-203:protein_coding:3
1	1_154270212_155709557	154428683	154428698	154428683	STR_75921	1	A	15.0,16.0,17.0	16.0	"{""15.0"": 0.0, ""16.0"": 583911.41, ""17.0"": 390906.62}"	"{""16.0"": 583566, ""17.0"": 391252}"	"{""[16.0, 16.0]"": 175624, ""[16.0, 17.0]"": 232318, ""[17.0, 17.0]"": 79467}"	"{""15.0"": 0.0, ""16.0"": 362886.78, ""17.0"": 251443.22}"	"{""16.0"": 362638, ""17.0"": 251692}"	"{""[16.0, 16.0]"": 107108, ""[16.0, 17.0]"": 148422, ""[17.0, 17.0]"": 51635}"	0.0	0.4836924073643659	0.9763435298287616	0.5856192439548258	"{""15.0"": ""NaN"", ""16.0"": 1.0, ""17.0"": 1.0}"	1.1e-13	+	0.04892361307036097	0.03402023701069647	0.0816598	False	NA	NA	False	NA	none	0:inside:IL6R:protein_coding	76934:upstream:RP11-350G8.4:unprocessed_pseudogene,77118:upstream:RPSAP17:processed_pseudogene,49643:upstream:IL6R-AS1:lncRNA,41070:upstream:PSMD8P1:processed_pseudogene,23790:upstream:RP11-350G8.9:lncRNA,92355:downstream:UBE2Q1:protein_coding,97387:upstream:UBE2Q1-AS1:lncRNA,13550:downstream:SHE:protein_coding,45997:upstream:TDRD10:protein_coding,0:inside:IL6R:protein_coding	intron:IL6R:protein_coding	transcribed;IL6R-205:processed_transcript:4,IL6R-204:retained_intron:2,IL6R-201:protein_coding:1,IL6R-202:protein_coding:1
1	1_156082234_156460111	156207238	156207256	156207234	STR_77528	1	A	18.0,19.0,20.0,21.0,22.0	19.0	"{""18.0"": 687.28, ""19.0"": 174279.64, ""20.0"": 321192.76, ""21.0"": 474257.33, ""22.0"": 4465.96}"	"{""18.0"": 186, ""19.0"": 170882, ""20.0"": 322681, ""21.0"": 476697, ""22.0"": 4372}"	"{""[18.0, 19.0]"": 40, ""[18.0, 20.0]"": 61, ""[18.0, 21.0]"": 85, ""[19.0, 19.0]"": 17263, ""[19.0, 20.0]"": 54998, ""[19.0, 21.0]"": 80586, ""[19.0, 22.0]"": 732, ""[20.0, 20.0]"": 53946, ""[20.0, 21.0]"": 158315, ""[20.0, 22.0]"": 1415, ""[21.0, 21.0]"": 117757, ""[21.0, 22.0]"": 2197, ""[22.0, 22.0]"": 14}"	"{""18.0"": 367.84, ""19.0"": 102291.9, ""20.0"": 204377.25, ""21.0"": 304395.64, ""22.0"": 2939.13}"	"{""18.0"": 60, ""19.0"": 99802, ""20.0"": 205487, ""21.0"": 306093, ""22.0"": 2888}"	"{""[18.0, 19.0]"": 14, ""[18.0, 20.0]"": 16, ""[18.0, 21.0]"": 30, ""[19.0, 19.0]"": 8335, ""[19.0, 20.0]"": 33107, ""[19.0, 21.0]"": 49522, ""[19.0, 22.0]"": 489, ""[20.0, 20.0]"": 34563, ""[20.0, 21.0]"": 102317, ""[20.0, 22.0]"": 921, ""[21.0, 21.0]"": 76381, ""[21.0, 22.0]"": 1462, ""[22.0, 22.0]"": 8}"	0.17188106106960382	0.6134443727050494	1.4928447358957069	0.0413748319621545	"{""18.0"": 0.54, ""19.0"": 0.9, ""20.0"": 0.89, ""21.0"": 0.89, ""22.0"": 0.83}"	1.45e-10	+	0.02144903463780376	0.02289518728007953	1.0	False	NA	NA	False	NA	156:downstream:156206079:156207082:PMF1:protein_coding,964:downstream:156206079:156206274:PMF1:protein_coding,964:downstream:156206079:156206274:PMF1-BGLAP:protein_coding,964:downstream:156206079:156206274:PMF1-BGLAP:protein_coding,964:downstream:156206079:156206274:PMF1:protein_coding,964:downstream:156206079:156206274:PMF1:protein_coding,964:downstream:156206140:156206274:PMF1:protein_coding,964:downstream:156206140:156206274:PMF1-BGLAP:protein_coding	0:inside:PMF1-BGLAP:protein_coding	45244:upstream:SNORA26:snoRNA,4719:upstream:BGLAP:protein_coding,5855:downstream:PAQR6:protein_coding,52624:downstream:GLMP:protein_coding,61159:downstream:VHLL:protein_coding,86046:upstream:AL589685.1:pseudogene,99849:upstream:TSACC:protein_coding,59695:downstream:SEMA4A:protein_coding,24651:downstream:SLC25A44:protein_coding,0:inside:PMF1-BGLAP:protein_coding,0:inside:PMF1:protein_coding,45470:upstream:TMEM79:protein_coding,71503:downstream:CCT3:protein_coding,97366:downstream:LMNA:protein_coding,11759:downstream:SMG5:protein_coding	multigene;intron:PMF1-BGLAP:protein_coding;intron:PMF1:protein_coding	transcribed;PMF1-BGLAP-203:protein_coding:2,PMF1-203:protein_coding:2,PMF1-201:protein_coding:2,PMF1-202:protein_coding:1,PMF1-BGLAP-202:protein_coding:3,PMF1-BGLAP-204:protein_coding:3,PMF1-BGLAP-201:protein_coding:1,PMF1-205:nonsense_mediated_decay:3
1	1_205538992_205928284	205724279	205724289	205724279	STR_104717	1	A	10.0,11.0	11.0	"{""10.0"": 257757.74, ""11.0"": 717060.22}"	"{""10.0"": 257846, ""11.0"": 716972}"	"{""[10.0, 10.0]"": 34661, ""[10.0, 11.0]"": 188524, ""[11.0, 11.0]"": 264224}"	"{""10.0"": 165675.42, ""11.0"": 448654.58}"	"{""10.0"": 165713, ""11.0"": 448617}"	"{""[10.0, 10.0]"": 22473, ""[10.0, 11.0]"": 120767, ""[11.0, 11.0]"": 163925}"	0.0	0.3939661007449038	0.8410997852839279	0.3646499951458096	"{""10.0"": 1.0, ""11.0"": 1.0}"	4.5e-10	+	0.04606436989275409	0.028911025819814147	0.0752228	False	NA	NA	False	NA	none	4969:upstream:NUCKS1:protein_coding	23799:upstream:SNORA72:snoRNA,12825:downstream:RAB29:protein_coding,74642:upstream:SLC45A3:protein_coding,4969:upstream:NUCKS1:protein_coding,20398:upstream:RP11-212H11.5:lncRNA,33933:downstream:SLC41A1:protein_coding,72864:downstream:PM20D1:protein_coding,58161:upstream:RP4-681L3.3:lncRNA	intergenic	untranscribed
