chrom	start	end	any_strs
1	3556599	3908498	True
1	6447957	6915946	True
1	19636044	19904287	True
1	21812559	22103648	True
1	25375482	26080435	True
1	26162466	26502726	True
1	26601127	27104685	True
1	28888137	29719563	True
1	38143797	38580389	True
1	39426488	40214945	True
1	42238275	42496414	True
1	45716095	46734736	True
1	50701624	52117336	True
1	53087978	53569836	True
1	77945458	78707702	True
1	100750628	101000628	True
1	111615345	111865345	False
1	118001734	118408095	True
1	120492561	120742561	False
1	149546931	151303491	True
1	154270839	154553683	True
1	154909632	155759560	True
1	156309703	156599929	True
1	157948456	159017663	True
1	167990364	168269036	False
1	172183238	172578840	True
1	203524185	203822870	True
1	206388621	206751875	True
1	207032770	207376518	True
1	207792499	208150926	True
1	212226469	212476469	True
1	213560818	214412420	True
1	222181961	222431961	False
1	224419529	224778597	True
1	229491693	229843135	True
1	247594769	247847588	True
1	247881989	248168792	True
2	1241378	1491378	False
2	8438029	8688029	False
2	21096035	21362544	True
2	23744571	24794594	True
2	26136793	26490875	True
2	27368045	28386163	True
2	36922319	37314296	True
2	43294493	44162396	True
2	45063353	45321822	True
2	47879251	48876720	True
2	60478950	60852629	True
2	68784258	69079041	True
2	96856369	97106369	False
2	111735787	112065147	True
2	127318757	127576514	False
2	145102050	145367122	True
2	158324081	158574081	False
2	161225906	161493967	True
2	165376849	165682318	True
2	169064289	170037240	True
2	174789908	175608189	True
2	201998430	202311986	True
2	218543974	218793974	True
2	218841315	219321344	True
2	226895653	227324263	True
2	233967825	234500944	True
3	11901709	12981856	True
3	23144770	23606062	True
3	27632018	27925325	True
3	37844633	38332038	False
3	46828721	47930261	True
3	48054876	50661273	True
3	50840468	51090468	True
3	51105808	51580191	True
3	51599135	51849135	True
3	52724878	53256948	True
3	56724749	56974749	True
3	64573813	64855121	True
3	121863690	122113690	True
3	122745721	123295334	True
3	124721493	125359088	True
3	128626670	128876670	True
3	129174265	129467469	True
3	137872742	138472164	True
3	140911666	141294234	True
3	142528512	142778512	True
3	151867162	152684053	True
3	159505084	160434529	True
3	170196494	170980867	True
3	171199489	171958266	True
3	176747189	177038548	True
3	182379827	182765639	True
3	185334675	185689276	True
3	186504289	186799138	True
3	187558184	187919898	True
3	195655856	196676606	True
4	6139239	6445517	True
4	17912800	18387156	True
4	48854085	49450337	False
4	52535684	53060681	True
4	88788121	89324397	True
4	95830792	96223094	True
4	103282428	104113899	True
4	105923291	106339667	True
4	109970620	111073011	True
4	143914703	146206852	True
4	154293561	154568121	True
4	157504342	157940887	True
4	185450608	185888310	True
5	879312	1245954	True
5	14441205	14982224	True
5	34376378	34665293	True
5	43065861	43315861	True
5	53287620	53588117	True
5	54738190	55001985	True
5	55104114	55433631	True
5	74857207	75271775	True
5	75443970	75744467	True
5	75871909	76121909	True
5	76299949	76579559	True
5	87131610	88010499	True
5	95031393	95288437	True
