phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
platelet_distribution_width	1	115179704	115179722	1_114750819_115882563	AAAAC	{3.0: 0.74%, 3.2: 3.32%, 3.8: 14.11%, 4.0: 81.83%, 4.4: 0.01%}	8.28e-35	+	confidently	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.931064	0.493, 0.911, 0.773, 0.0245, 0.112	NA, NA, NA, +, NA	{3.0: 0.06%, 3.2: 0.22%, 3.8: 2.84%, 4.0: 92.80%, 4.4: 4.08%}	{3.0: 0.23%, 3.2: 1.64%, 3.8: 9.49%, 4.0: 88.63%, 4.4: 0.01%}	{3.2: 0.11%, 3.8: 46.08%, 4.0: 53.82%, 4.4: 0.00%}	{3.0: 0.56%, 3.2: 3.85%, 3.8: 14.61%, 4.0: 80.97%, 4.4: 0.00%}	{3.0: 0.67%, 3.2: 3.28%, 3.8: 14.23%, 4.0: 81.80%, 4.4: 0.03%}
platelet_distribution_width	1	154139166	154139177	1_153459392_154517674	A	{12.0: 49.50%, 13.0: 38.32%, 14.0: 12.18%, 15.0: 0.01%}	1.41e-21	-	singly	0.971419450173609	0.0078068	0.969021238220473	0.0644621	0.0350737	0.0411028	0.0531528	0.00773553	0.0271920978396745	0.0	0.114913	0.121, 0.474, 0.286, 0.0717, 0.0101	NA, NA, NA, NA, -	{12.0: 24.32%, 13.0: 45.79%, 14.0: 22.55%, 15.0: 7.34%}	{12.0: 36.23%, 13.0: 50.61%, 14.0: 13.09%, 15.0: 0.07%}	{12.0: 14.95%, 13.0: 49.00%, 14.0: 35.98%, 15.0: 0.07%}	{12.0: 48.84%, 13.0: 37.88%, 14.0: 13.27%, 15.0: 0.01%}	{12.0: 47.71%, 13.0: 41.68%, 14.0: 10.58%, 15.0: 0.03%}
platelet_distribution_width	1	171979823	171979863	1_170521806_173711881	AC	{15.5: 0.05%, 16.5: 0.00%, 17.5: 13.73%, 18.5: 12.74%, 19.5: 41.60%, 20.5: 18.84%, 21.5: 12.92%, 22.5: 0.07%, 23.5: 0.04%}	5.83e-56	+	singly	0.0	1.0	0.0	1.0	1.0	0.408665	1.0	1.0	0.0	0.844336	0.0	0.419, 0.955, 0.0179, 0.00728, 0.02	NA, NA, +, +, +	{15.5: 7.21%, 16.5: 1.65%, 17.5: 38.26%, 18.5: 22.72%, 19.5: 24.03%, 20.5: 4.94%, 21.5: 1.19%, 22.5: 0.00%, 23.5: 0.00%}	{15.5: 0.07%, 16.5: 0.01%, 17.5: 9.75%, 18.5: 10.37%, 19.5: 58.45%, 20.5: 17.10%, 21.5: 4.21%, 22.5: 0.02%, 23.5: 0.03%}	{15.5: 0.04%, 16.5: 0.00%, 17.5: 37.43%, 18.5: 5.42%, 19.5: 54.72%, 20.5: 2.21%, 21.5: 0.17%}	{15.5: 0.06%, 16.5: 0.00%, 17.5: 13.18%, 18.5: 12.65%, 19.5: 43.74%, 20.5: 18.21%, 21.5: 12.08%, 22.5: 0.05%, 23.5: 0.04%}	{15.5: 0.10%, 16.5: 0.01%, 17.5: 12.66%, 18.5: 12.74%, 19.5: 43.03%, 20.5: 18.69%, 21.5: 12.64%, 22.5: 0.06%, 23.5: 0.07%}
platelet_distribution_width	1	205255038	205255052	1_204890284_205394501	A	{15.0: 12.46%, 16.0: 50.27%, 17.0: 33.61%, 18.0: 3.66%, 19.0: 0.00%}	5.6e-9	-	not	0.0	0.0942075										0.736, 0.334, 0.421, 0.643, 0.415	NA, NA, NA, NA, NA	{15.0: 25.57%, 16.0: 62.08%, 17.0: 7.55%, 18.0: 0.26%, 19.0: 4.53%}	{15.0: 13.16%, 16.0: 75.51%, 17.0: 10.63%, 18.0: 0.70%, 19.0: 0.01%}	{15.0: 3.24%, 16.0: 92.54%, 17.0: 4.02%, 18.0: 0.20%, 19.0: 0.01%}	{15.0: 11.46%, 16.0: 53.55%, 17.0: 31.12%, 18.0: 3.87%, 19.0: 0.00%}	{15.0: 13.65%, 16.0: 51.77%, 17.0: 31.52%, 18.0: 3.04%, 19.0: 0.02%}
platelet_distribution_width	1	231037166	231037176	1_230912165_231162166	A	{9.0: 0.10%, 10.0: 60.39%, 11.0: 39.45%, 12.0: 0.06%}	2.84e-11	-	confidently	0.996346555218169	1.0	0.994972422104912	1.0	1.0	1.0	1.0	1.0	0.986724664007872	0.999206	1.0	0.751, 0.47, 0.14, 0.262, 0.656	NA, NA, NA, NA, NA	{9.0: 0.02%, 10.0: 50.50%, 11.0: 49.47%, 12.0: 0.01%}	{9.0: 0.10%, 10.0: 56.50%, 11.0: 43.40%, 12.0: 0.01%}	{9.0: 0.01%, 10.0: 55.98%, 11.0: 43.98%, 12.0: 0.03%}	{9.0: 0.06%, 10.0: 59.46%, 11.0: 40.37%, 12.0: 0.12%}	{9.0: 0.17%, 10.0: 57.47%, 11.0: 42.32%, 12.0: 0.04%}
platelet_distribution_width	1	243430545	243430558	1_243139751_243626583	A	{13.0: 11.86%, 14.0: 55.88%, 15.0: 32.13%, 16.0: 0.12%}	4.46e-16	+	confidently	0.911368082928639	0.931015	0.920877153327273	0.848564	0.884509	0.936753	0.958478	0.931015	0.0	0.707048	0.83186	0.00157, 0.974, 0.956, 0.461, 0.24	+, NA, NA, NA, NA	{13.0: 1.36%, 14.0: 73.65%, 15.0: 24.94%, 16.0: 0.05%}	{13.0: 9.39%, 14.0: 39.23%, 15.0: 51.28%, 16.0: 0.10%}	{13.0: 6.03%, 14.0: 72.41%, 15.0: 21.55%, 16.0: 0.01%}	{13.0: 10.63%, 14.0: 59.88%, 15.0: 29.36%, 16.0: 0.13%}	{13.0: 12.05%, 14.0: 54.82%, 15.0: 32.95%, 16.0: 0.19%}
platelet_distribution_width	2	171948226	171948272	2_171594859_172177633	AAC	{8.67: 0.00%, 9.67: 0.00%, 10.67: 29.01%, 11.67: 2.40%, 12.67: 2.14%, 13.67: 9.42%, 14.67: 38.32%, 15.67: 17.17%, 16.67: 1.46%, 17.67: 0.08%}	2.01e-14	-	singly	0.0	0.900117	0.0	0.985648	0.918763	0.958036	0.975875	0.900117	0.0669248514999426	0.577408	1.0	0.127, 0.6, 0.644, 0.236, 0.000571	NA, NA, NA, NA, -	{8.67: 0.01%, 9.67: 1.23%, 10.67: 26.02%, 11.67: 5.60%, 12.67: 6.09%, 13.67: 22.31%, 14.67: 16.35%, 15.67: 13.66%, 16.67: 4.43%, 17.67: 4.30%}	{8.67: 0.12%, 9.67: 0.00%, 10.67: 18.82%, 11.67: 14.21%, 12.67: 1.49%, 13.67: 9.93%, 14.67: 44.72%, 15.67: 10.21%, 16.67: 0.39%, 17.67: 0.10%}	{8.67: 1.88%, 9.67: 0.02%, 10.67: 6.03%, 11.67: 26.69%, 12.67: 4.93%, 13.67: 12.26%, 14.67: 45.61%, 15.67: 2.51%, 16.67: 0.04%, 17.67: 0.01%}	{8.67: 0.00%, 9.67: 0.00%, 10.67: 26.92%, 11.67: 1.81%, 12.67: 2.05%, 13.67: 9.66%, 14.67: 41.66%, 15.67: 16.42%, 16.67: 1.43%, 17.67: 0.06%}	{8.67: 0.00%, 9.67: 0.01%, 10.67: 28.72%, 11.67: 2.26%, 12.67: 1.99%, 13.67: 11.21%, 14.67: 38.16%, 15.67: 16.33%, 16.67: 1.18%, 17.67: 0.13%}
platelet_distribution_width	4	48195180	48195193	4_47697833_48403012	A	{12.0: 0.06%, 13.0: 59.82%, 14.0: 34.48%, 15.0: 5.63%}	1.16e-18	-	singly	0.0	0.884619	0.0	0.0	0.900234	0.9227	1.0	0.884619	0.0	0.870269	0.0	0.36, 0.147, 0.385, 0.000234, 0.000136	NA, NA, NA, -, -	{12.0: 0.00%, 13.0: 51.69%, 14.0: 27.41%, 15.0: 20.90%}	{12.0: 0.00%, 13.0: 52.21%, 14.0: 40.83%, 15.0: 6.96%}	{13.0: 38.54%, 14.0: 61.14%, 15.0: 0.32%}	{12.0: 0.14%, 13.0: 59.57%, 14.0: 34.96%, 15.0: 5.33%}	{12.0: 0.03%, 13.0: 58.27%, 14.0: 35.56%, 15.0: 6.14%}
platelet_distribution_width	5	75714420	75714435	5_75566020_76242836	A	{12.0: 0.02%, 13.0: 49.10%, 14.0: 0.07%, 15.0: 14.56%, 16.0: 34.04%, 17.0: 2.22%}	1.97e-32	-	not	0.0	0.0										0.168, 0.0284, 0.943, 0.0157, 0.00093	NA, -, NA, -, -	{12.0: 0.04%, 13.0: 14.39%, 14.0: 17.20%, 15.0: 60.30%, 16.0: 7.70%, 17.0: 0.37%}	{12.0: 0.38%, 13.0: 39.12%, 14.0: 0.38%, 15.0: 32.93%, 16.0: 24.06%, 17.0: 3.14%}	{12.0: 0.27%, 13.0: 48.10%, 14.0: 1.15%, 15.0: 47.08%, 16.0: 2.23%, 17.0: 1.17%}	{12.0: 0.01%, 13.0: 51.44%, 14.0: 0.06%, 15.0: 13.17%, 16.0: 33.29%, 17.0: 2.02%}	{12.0: 0.03%, 13.0: 48.47%, 14.0: 0.25%, 15.0: 15.14%, 16.0: 34.05%, 17.0: 2.05%}
platelet_distribution_width	6	7058115	7058136	6_6775951_7345379	A	{20.0: 0.74%, 21.0: 67.12%, 22.0: 17.19%, 23.0: 14.66%, 24.0: 0.26%, 26.0: 0.03%}	3.27e-8	+	not	0.0	0.0134878										0.432, 0.258, 0.737, 0.432, 0.189	NA, NA, NA, NA, NA	{20.0: 0.08%, 21.0: 15.17%, 22.0: 32.35%, 23.0: 44.27%, 24.0: 0.80%, 26.0: 7.33%}	{20.0: 0.50%, 21.0: 38.57%, 22.0: 25.81%, 23.0: 35.00%, 24.0: 0.07%, 26.0: 0.06%}	{20.0: 0.04%, 21.0: 6.23%, 22.0: 10.47%, 23.0: 82.92%, 24.0: 0.29%, 26.0: 0.04%}	{20.0: 0.68%, 21.0: 65.33%, 22.0: 17.96%, 23.0: 15.72%, 24.0: 0.29%, 26.0: 0.03%}	{20.0: 0.76%, 21.0: 66.02%, 22.0: 16.19%, 23.0: 16.74%, 24.0: 0.19%, 26.0: 0.10%}
