chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	nearby_genes	relation_to_gene	transcribed
1	1_28381065_28759681	28552217	28552233	28552215	STR_19701	1	T	16.0,17.0,18.0,19.0,20.0	17.0	"{""16.0"": 2791.51, ""17.0"": 641269.69, ""18.0"": 65345.89, ""19.0"": 265001.23, ""20.0"": 411.11}"	"{""16.0"": 1915, ""17.0"": 643817, ""18.0"": 63532, ""19.0"": 265169, ""20.0"": 385}"	"{""[16.0, 16.0]"": 4, ""[16.0, 17.0]"": 1278, ""[16.0, 18.0]"": 113, ""[16.0, 19.0]"": 516, ""[17.0, 17.0]"": 213609, ""[17.0, 18.0]"": 41558, ""[17.0, 19.0]"": 173584, ""[17.0, 20.0]"": 179, ""[18.0, 18.0]"": 2140, ""[18.0, 19.0]"": 17555, ""[18.0, 20.0]"": 26, ""[19.0, 19.0]"": 36670, ""[19.0, 20.0]"": 174, ""[20.0, 20.0]"": 3}"	"{""16.0"": 1669.96, ""17.0"": 435122.32, ""18.0"": 45307.86, ""19.0"": 177274.84, ""20.0"": 9.81}"	"{""16.0"": 1133, ""17.0"": 436741, ""18.0"": 44057, ""19.0"": 177447, ""20.0"": 6}"	"{""[16.0, 16.0]"": 2, ""[16.0, 17.0]"": 737, ""[16.0, 18.0]"": 70, ""[16.0, 19.0]"": 322, ""[17.0, 17.0]"": 144725, ""[17.0, 18.0]"": 29178, ""[17.0, 19.0]"": 117373, ""[17.0, 20.0]"": 3, ""[18.0, 18.0]"": 1458, ""[18.0, 19.0]"": 11892, ""[18.0, 20.0]"": 1, ""[19.0, 19.0]"": 23929, ""[19.0, 20.0]"": 2}"	0.07125980264118618	0.4844088988612924	1.180042278655164	0.6568104552197938	"{""16.0"": 0.75, ""17.0"": 0.99, ""18.0"": 0.99, ""19.0"": 1.0, ""20.0"": 0.96}"	4.97e-18	-0.06793822764062962	-0.0849663826474481	0.551448	False	NA	NA	False	NA	none	none	intergenic	untranscribed
1	1_46274254_46765606	46610439	46610454	46610436	STR_32867	1	A	15.0,16.0,17.0	16.0	"{""15.0"": 205429.34, ""16.0"": 767350.56, ""17.0"": 2074.52}"	"{""15.0"": 201278, ""16.0"": 772010, ""17.0"": 1530}"	"{""[15.0, 15.0]"": 20965, ""[15.0, 16.0]"": 158994, ""[15.0, 17.0]"": 354, ""[16.0, 16.0]"": 305920, ""[16.0, 17.0]"": 1176}"	"{""15.0"": 140767.97, ""16.0"": 517307.65, ""17.0"": 1333.1}"	"{""15.0"": 137999, ""16.0"": 520397, ""17.0"": 988}"	"{""[15.0, 15.0]"": 14464, ""[15.0, 16.0]"": 108847, ""[15.0, 17.0]"": 224, ""[16.0, 16.0]"": 205393, ""[16.0, 17.0]"": 764}"	0.0020216596468424016	0.3333343343209594	0.7558236089255506	0.8188246966808823	"{""15.0"": 0.98, ""16.0"": 0.98, ""17.0"": 0.84}"	1.29e-08	0.10453992873036132	0.061097261324371495	0.0725323	False	NA	NA	False	NA	none	none	intergenic	untranscribed
1	1_88904331_89572978	89314295	89314334	89314290	STR_55355	2	GT	14.0,15.0,16.0,17.0,18.0,18.5,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0	20.0	"{""14.0"": 0.0, ""15.0"": 4619.28, ""16.0"": 341749.39, ""17.0"": 197972.23, ""18.0"": 14303.4, ""18.5"": 1395.07, ""19.0"": 7353.52, ""20.0"": 44900.62, ""21.0"": 35453.3, ""22.0"": 318180.87, ""23.0"": 3654.3, ""24.0"": 2893.34, ""25.0"": 2493.3, ""26.0"": 0.0}"	"{""15.0"": 2726, ""16.0"": 348089, ""17.0"": 199019, ""18.0"": 6021, ""18.5"": 1404, ""19.0"": 7805, ""20.0"": 41199, ""21.0"": 25397, ""22.0"": 338096, ""23.0"": 2152, ""24.0"": 2369, ""25.0"": 541}"	"{""[15.0, 15.0]"": 33, ""[15.0, 16.0]"": 986, ""[15.0, 17.0]"": 538, ""[15.0, 18.0]"": 63, ""[15.0, 18.5]"": 57, ""[15.0, 19.0]"": 53, ""[15.0, 20.0]"": 91, ""[15.0, 21.0]"": 130, ""[15.0, 22.0]"": 726, ""[15.0, 23.0]"": 6, ""[15.0, 24.0]"": 10, ""[16.0, 16.0]"": 62270, ""[16.0, 17.0]"": 71245, ""[16.0, 18.0]"": 2247, ""[16.0, 18.5]"": 548, ""[16.0, 19.0]"": 2790, ""[16.0, 20.0]"": 14551, ""[16.0, 21.0]"": 9036, ""[16.0, 22.0]"": 120338, ""[16.0, 23.0]"": 757, ""[16.0, 24.0]"": 861, ""[16.0, 25.0]"": 190, ""[17.0, 17.0]"": 20561, ""[17.0, 18.0]"": 1299, ""[17.0, 18.5]"": 274, ""[17.0, 19.0]"": 1696, ""[17.0, 20.0]"": 8458, ""[17.0, 21.0]"": 5114, ""[17.0, 22.0]"": 68250, ""[17.0, 23.0]"": 437, ""[17.0, 24.0]"": 466, ""[17.0, 25.0]"": 120, ""[18.0, 18.0]"": 78, ""[18.0, 18.5]"": 78, ""[18.0, 19.0]"": 95, ""[18.0, 20.0]"": 234, ""[18.0, 21.0]"": 205, ""[18.0, 22.0]"": 1616, ""[18.0, 23.0]"": 10, ""[18.0, 24.0]"": 16, ""[18.0, 25.0]"": 2, ""[18.5, 18.5]"": 38, ""[18.5, 19.0]"": 54, ""[18.5, 20.0]"": 33, ""[18.5, 21.0]"": 142, ""[18.5, 22.0]"": 130, ""[18.5, 23.0]"": 2, ""[18.5, 24.0]"": 10, ""[19.0, 19.0]"": 54, ""[19.0, 20.0]"": 308, ""[19.0, 21.0]"": 233, ""[19.0, 22.0]"": 2429, ""[19.0, 23.0]"": 20, ""[19.0, 24.0]"": 16, ""[19.0, 25.0]"": 3, ""[20.0, 20.0]"": 901, ""[20.0, 21.0]"": 1013, ""[20.0, 22.0]"": 14499, ""[20.0, 23.0]"": 82, ""[20.0, 24.0]"": 108, ""[20.0, 25.0]"": 20, ""[21.0, 21.0]"": 390, ""[21.0, 22.0]"": 8606, ""[21.0, 23.0]"": 46, ""[21.0, 24.0]"": 75, ""[21.0, 25.0]"": 17, ""[22.0, 22.0]"": 59868, ""[22.0, 23.0]"": 781, ""[22.0, 24.0]"": 798, ""[22.0, 25.0]"": 187, ""[23.0, 23.0]"": 3, ""[23.0, 24.0]"": 4, ""[23.0, 25.0]"": 1, ""[24.0, 24.0]"": 2, ""[24.0, 25.0]"": 1}"	"{""14.0"": 0.0, ""15.0"": 2615.28, ""16.0"": 229445.82, ""17.0"": 131756.47, ""18.0"": 8251.47, ""18.5"": 86.36, ""19.0"": 4407.13, ""20.0"": 30470.91, ""21.0"": 23038.82, ""22.0"": 222997.5, ""23.0"": 2621.9, ""24.0"": 1995.66, ""25.0"": 1797.14, ""26.0"": 0.0}"	"{""15.0"": 1245, ""16.0"": 233821, ""17.0"": 132570, ""18.0"": 2402, ""18.5"": 76, ""19.0"": 4762, ""20.0"": 27840, ""21.0"": 16162, ""22.0"": 236911, ""23.0"": 1579, ""24.0"": 1628, ""25.0"": 388}"	"{""[15.0, 15.0]"": 3, ""[15.0, 16.0]"": 443, ""[15.0, 17.0]"": 246, ""[15.0, 18.0]"": 3, ""[15.0, 19.0]"": 9, ""[15.0, 20.0]"": 46, ""[15.0, 21.0]"": 32, ""[15.0, 22.0]"": 454, ""[15.0, 23.0]"": 3, ""[15.0, 24.0]"": 3, ""[16.0, 16.0]"": 41507, ""[16.0, 17.0]"": 47050, ""[16.0, 18.0]"": 854, ""[16.0, 18.5]"": 28, ""[16.0, 19.0]"": 1669, ""[16.0, 20.0]"": 9829, ""[16.0, 21.0]"": 5742, ""[16.0, 22.0]"": 83945, ""[16.0, 23.0]"": 546, ""[16.0, 24.0]"": 566, ""[16.0, 25.0]"": 135, ""[17.0, 17.0]"": 13435, ""[17.0, 18.0]"": 464, ""[17.0, 18.5]"": 13, ""[17.0, 19.0]"": 1004, ""[17.0, 20.0]"": 5598, ""[17.0, 21.0]"": 3198, ""[17.0, 22.0]"": 47362, ""[17.0, 23.0]"": 339, ""[17.0, 24.0]"": 333, ""[17.0, 25.0]"": 93, ""[18.0, 18.0]"": 5, ""[18.0, 19.0]"": 12, ""[18.0, 20.0]"": 125, ""[18.0, 21.0]"": 59, ""[18.0, 22.0]"": 863, ""[18.0, 23.0]"": 6, ""[18.0, 24.0]"": 5, ""[18.0, 25.0]"": 1, ""[18.5, 20.0]"": 4, ""[18.5, 21.0]"": 1, ""[18.5, 22.0]"": 30, ""[19.0, 19.0]"": 19, ""[19.0, 20.0]"": 192, ""[19.0, 21.0]"": 107, ""[19.0, 22.0]"": 1706, ""[19.0, 23.0]"": 15, ""[19.0, 24.0]"": 8, ""[19.0, 25.0]"": 2, ""[20.0, 20.0]"": 572, ""[20.0, 21.0]"": 651, ""[20.0, 22.0]"": 10103, ""[20.0, 23.0]"": 57, ""[20.0, 24.0]"": 77, ""[20.0, 25.0]"": 14, ""[21.0, 21.0]"": 188, ""[21.0, 22.0]"": 5909, ""[21.0, 23.0]"": 34, ""[21.0, 24.0]"": 44, ""[21.0, 25.0]"": 9, ""[22.0, 22.0]"": 42624, ""[22.0, 23.0]"": 574, ""[22.0, 24.0]"": 584, ""[22.0, 25.0]"": 133, ""[23.0, 24.0]"": 4, ""[23.0, 25.0]"": 1, ""[24.0, 24.0]"": 2}"	0.31394392522910997	0.7022786291255165	1.998229776694576	0.4496234035295355	"{""14.0"": ""NaN"", ""15.0"": 0.64, ""16.0"": 0.99, ""17.0"": 0.98, ""18.0"": 0.49, ""18.5"": 0.98, ""19.0"": 0.95, ""20.0"": 0.93, ""21.0"": 0.74, ""22.0"": 0.97, ""23.0"": 0.76, ""24.0"": 0.89, ""25.0"": 0.44, ""26.0"": ""NaN""}"	4.34e-21	-0.027236442374587888	-0.10468566300528134	0.766557	False	NA	NA	False	NA	none	none	intergenic	untranscribed
1	1_94459679_94985629	94718274	94718284	94718274	STR_58603	1	A	11.0,12.0,13.0	11.0	"{""11.0"": 455823.84, ""12.0"": 518994.09, ""13.0"": 0.0}"	"{""11.0"": 456675, ""12.0"": 518143}"	"{""[11.0, 11.0]"": 107871, ""[11.0, 12.0]"": 240933, ""[12.0, 12.0]"": 138605}"	"{""11.0"": 303084.58, ""12.0"": 356299.42, ""13.0"": 0.0}"	"{""11.0"": 303597, ""12.0"": 355787}"	"{""[11.0, 11.0]"": 69983, ""[11.0, 12.0]"": 163631, ""[12.0, 12.0]"": 96078}"	0.0	0.4968676679907686	0.995476269944546	0.5261129620294716	"{""11.0"": 0.99, ""12.0"": 0.99, ""13.0"": ""NaN""}"	9.02e-11	0.11091654901634485	0.07817401543841956	0.079433	False	NA	NA	False	NA	none	49310:upstream:GAPDHP29:processed_pseudogene,65751:downstream:RP11-148B18.4:lncRNA,0:inside:ARHGAP29:protein_coding,0:inside:ARHGAP29-AS1:lncRNA	multigene;intron:ARHGAP29:protein_coding;intron:ARHGAP29-AS1:lncRNA	transcribed;ARHGAP29-AS1-211:lncRNA:missing from gencode,ARHGAP29-205:nonsense_mediated_decay:1,ARHGAP29-AS1-207:lncRNA:missing from gencode,ARHGAP29-AS1-202:lncRNA:5,ARHGAP29-AS1-204:lncRNA:missing from gencode,ARHGAP29-AS1-206:lncRNA:missing from gencode,ARHGAP29-AS1-209:lncRNA:missing from gencode,ARHGAP29-AS1-201:lncRNA:5,ARHGAP29-AS1-205:lncRNA:missing from gencode,ARHGAP29-AS1-210:lncRNA:missing from gencode,ARHGAP29-AS1-208:lncRNA:missing from gencode
1	1_112935432_113371506	113082278	113082312	113082275	STR_67576	1	A	21.0,28.0,29.0,31.0,32.0,34.0,35.0,36.0,37.0	35.0	"{""21.0"": 0.0, ""28.0"": 383.95, ""29.0"": 1440.2, ""31.0"": 195666.52, ""32.0"": 2808.7, ""34.0"": 8916.4, ""35.0"": 529503.38, ""36.0"": 235767.78, ""37.0"": 383.61}"	"{""28.0"": 338, ""29.0"": 567, ""31.0"": 197620, ""32.0"": 1209, ""34.0"": 8509, ""35.0"": 530207, ""36.0"": 236319, ""37.0"": 49}"	"{""[28.0, 28.0]"": 2, ""[28.0, 31.0]"": 24, ""[28.0, 34.0]"": 20, ""[28.0, 35.0]"": 248, ""[28.0, 36.0]"": 42, ""[29.0, 31.0]"": 120, ""[29.0, 34.0]"": 5, ""[29.0, 35.0]"": 291, ""[29.0, 36.0]"": 151, ""[31.0, 31.0]"": 20434, ""[31.0, 32.0]"": 266, ""[31.0, 34.0]"": 1593, ""[31.0, 35.0]"": 106893, ""[31.0, 36.0]"": 47843, ""[31.0, 37.0]"": 13, ""[32.0, 32.0]"": 4, ""[32.0, 34.0]"": 6, ""[32.0, 35.0]"": 651, ""[32.0, 36.0]"": 278, ""[34.0, 34.0]"": 59, ""[34.0, 35.0]"": 4830, ""[34.0, 36.0]"": 1937, ""[35.0, 35.0]"": 144839, ""[35.0, 36.0]"": 127589, ""[35.0, 37.0]"": 27, ""[36.0, 36.0]"": 29235, ""[36.0, 37.0]"": 9}"	"{""21.0"": 0.0, ""28.0"": 1.78, ""29.0"": 1020.11, ""31.0"": 133287.16, ""32.0"": 1672.84, ""34.0"": 5464.67, ""35.0"": 353856.54, ""36.0"": 163856.67, ""37.0"": 260.13}"	"{""29.0"": 392, ""31.0"": 134551, ""32.0"": 642, ""34.0"": 5183, ""35.0"": 354363, ""36.0"": 164218, ""37.0"": 35}"	"{""[29.0, 31.0]"": 93, ""[29.0, 34.0]"": 3, ""[29.0, 35.0]"": 192, ""[29.0, 36.0]"": 104, ""[31.0, 31.0]"": 13726, ""[31.0, 32.0]"": 156, ""[31.0, 34.0]"": 1037, ""[31.0, 35.0]"": 72510, ""[31.0, 36.0]"": 33292, ""[31.0, 37.0]"": 11, ""[32.0, 32.0]"": 1, ""[32.0, 34.0]"": 4, ""[32.0, 35.0]"": 325, ""[32.0, 36.0]"": 155, ""[34.0, 34.0]"": 16, ""[34.0, 35.0]"": 2847, ""[34.0, 36.0]"": 1260, ""[35.0, 35.0]"": 95148, ""[35.0, 36.0]"": 88176, ""[35.0, 37.0]"": 17, ""[36.0, 36.0]"": 20612, ""[36.0, 37.0]"": 7}"	0.21489598660883602	0.6074583932161614	1.5206428401680074	0.7617724579557031	"{""21.0"": ""NaN"", ""28.0"": ""NaN"", ""29.0"": 0.63, ""31.0"": 1.0, ""32.0"": 0.61, ""34.0"": 0.99, ""35.0"": 1.0, ""36.0"": 0.99, ""37.0"": 0.16}"	7.9e-10	0.022573092702397816	0.05736842538592189	0.0904573	False	NA	NA	False	NA	none	none	intergenic	untranscribed
1	1_112935432_113371506	113095856	113095882	113095856	STR_67588	2	AC	7.5,10.5,12.5,13.5,14.5,15.5,16.5,17.5,19.5,20.5,24.5	13.5	"{""7.5"": 75.93, ""10.5"": 229.46, ""12.5"": 257910.1, ""13.5"": 500301.5, ""14.5"": 15654.88, ""15.5"": 154490.32, ""16.5"": 44683.46, ""17.5"": 0.0, ""19.5"": 769.91, ""20.5"": 707.87, ""24.5"": 18.4}"	"{""7.5"": 3, ""10.5"": 90, ""12.5"": 257748, ""13.5"": 506689, ""14.5"": 9610, ""15.5"": 156284, ""16.5"": 43012, ""19.5"": 781, ""20.5"": 588, ""24.5"": 13}"	"{""[7.5, 13.5]"": 3, ""[10.5, 12.5]"": 17, ""[10.5, 13.5]"": 51, ""[10.5, 14.5]"": 3, ""[10.5, 15.5]"": 17, ""[10.5, 16.5]"": 2, ""[12.5, 12.5]"": 34696, ""[12.5, 13.5]"": 133153, ""[12.5, 14.5]"": 2481, ""[12.5, 15.5]"": 40897, ""[12.5, 16.5]"": 11423, ""[12.5, 19.5]"": 211, ""[12.5, 20.5]"": 168, ""[12.5, 24.5]"": 6, ""[13.5, 13.5]"": 132107, ""[13.5, 14.5]"": 5029, ""[13.5, 15.5]"": 81366, ""[13.5, 16.5]"": 22218, ""[13.5, 19.5]"": 371, ""[13.5, 20.5]"": 277, ""[13.5, 24.5]"": 7, ""[14.5, 14.5]"": 94, ""[14.5, 15.5]"": 1437, ""[14.5, 16.5]"": 383, ""[14.5, 19.5]"": 55, ""[14.5, 20.5]"": 34, ""[15.5, 15.5]"": 12740, ""[15.5, 16.5]"": 6938, ""[15.5, 19.5]"": 79, ""[15.5, 20.5]"": 70, ""[16.5, 16.5]"": 1013, ""[16.5, 19.5]"": 13, ""[16.5, 20.5]"": 9, ""[19.5, 19.5]"": 16, ""[19.5, 20.5]"": 20, ""[20.5, 20.5]"": 5}"	"{""7.5"": 52.99, ""10.5"": 131.93, ""12.5"": 176552.94, ""13.5"": 337782.22, ""14.5"": 9579.15, ""15.5"": 104097.44, ""16.5"": 31047.39, ""17.5"": 0.0, ""19.5"": 48.6, ""20.5"": 104.64, ""24.5"": 1.0}"	"{""7.5"": 2, ""10.5"": 35, ""12.5"": 176392, ""13.5"": 342115, ""14.5"": 5544, ""15.5"": 104918, ""16.5"": 30275, ""19.5"": 52, ""20.5"": 51}"	"{""[7.5, 13.5]"": 2, ""[10.5, 12.5]"": 4, ""[10.5, 13.5]"": 21, ""[10.5, 15.5]"": 8, ""[10.5, 16.5]"": 2, ""[12.5, 12.5]"": 23910, ""[12.5, 13.5]"": 91142, ""[12.5, 14.5]"": 1471, ""[12.5, 15.5]"": 27839, ""[12.5, 16.5]"": 8086, ""[12.5, 19.5]"": 13, ""[12.5, 20.5]"": 17, ""[13.5, 13.5]"": 88824, ""[13.5, 14.5]"": 2892, ""[13.5, 15.5]"": 54669, ""[13.5, 16.5]"": 15688, ""[13.5, 19.5]"": 25, ""[13.5, 20.5]"": 28, ""[14.5, 14.5]"": 33, ""[14.5, 15.5]"": 845, ""[14.5, 16.5]"": 270, ""[15.5, 15.5]"": 8369, ""[15.5, 16.5]"": 4805, ""[15.5, 19.5]"": 10, ""[15.5, 20.5]"": 4, ""[16.5, 16.5]"": 709, ""[16.5, 19.5]"": 4, ""[16.5, 20.5]"": 2}"	0.21999319682807797	0.6317465329864314	1.6869873506396535	0.1166749861366042	"{""7.5"": 0.11, ""10.5"": 0.82, ""12.5"": 1.0, ""13.5"": 0.99, ""14.5"": 0.79, ""15.5"": 0.98, ""16.5"": 0.94, ""17.5"": ""NaN"", ""19.5"": 0.83, ""20.5"": 0.58, ""24.5"": ""NaN""}"	7.23e-10	-0.03170237519037955	-0.05133614793642511	0.0986649	False	NA	NA	False	NA	none	34793:upstream:RP4-671G15.2:lncRNA,72646:downstream:MRPL53P1:processed_pseudogene,81459:downstream:RNU7-70P:snRNA,99328:upstream:snoU13:snoRNA,23069:downstream:WNT2B:protein_coding,66545:upstream:CAPZA1:protein_coding,89778:downstream:CTTNBP2NL:protein_coding,0:inside:ST7L:protein_coding	intron:ST7L:protein_coding	transcribed;ST7L-224:processed_transcript:5,ST7L-202:protein_coding:1,ST7L-204:nonsense_mediated_decay:1,ST7L-203:protein_coding:1,ST7L-222:nonsense_mediated_decay:1,ST7L-219:processed_transcript:2,ST7L-207:protein_coding:2,ST7L-221:protein_coding:1,ST7L-201:protein_coding:1,ST7L-206:protein_coding:1,ST7L-226:processed_transcript:1,ST7L-210:processed_transcript:1,ST7L-208:protein_coding:5
1	1_150122311_151278723	150726588	150726607	150726585	STR_73099	1	T	18.0,19.0,20.0,21.0	20.0	"{""18.0"": 703.79, ""19.0"": 417355.0, ""20.0"": 520271.31, ""21.0"": 36487.93}"	"{""18.0"": 153, ""19.0"": 416961, ""20.0"": 521606, ""21.0"": 36098}"	"{""[18.0, 19.0]"": 70, ""[18.0, 20.0]"": 79, ""[18.0, 21.0]"": 4, ""[19.0, 19.0]"": 89779, ""[19.0, 20.0]"": 222209, ""[19.0, 21.0]"": 15124, ""[20.0, 20.0]"": 140138, ""[20.0, 21.0]"": 19042, ""[21.0, 21.0]"": 964}"	"{""18.0"": 509.76, ""19.0"": 278312.05, ""20.0"": 357962.32, ""21.0"": 22599.87}"	"{""18.0"": 111, ""19.0"": 278138, ""20.0"": 358789, ""21.0"": 22346}"	"{""[18.0, 19.0]"": 45, ""[18.0, 20.0]"": 65, ""[18.0, 21.0]"": 1, ""[19.0, 19.0]"": 58590, ""[19.0, 20.0]"": 151380, ""[19.0, 21.0]"": 9533, ""[20.0, 20.0]"": 97626, ""[20.0, 21.0]"": 12092, ""[21.0, 21.0]"": 360}"	0.035047301724033336	0.5248488884874819	1.1706209357098911	0.7882863459769014	"{""18.0"": 0.4, ""19.0"": 1.0, ""20.0"": 1.0, ""21.0"": 0.98}"	9.75e-19	0.13309226612923375	0.10443314507786147	0.0639803	False	NA	NA	False	NA	none	none	intergenic	untranscribed
1	1_198471613_198904234	198625769	198625796	198625766	STR_99883	1	T	26.0,27.0,28.0,29.0,30.0	28.0	"{""26.0"": 53257.31, ""27.0"": 466338.28, ""28.0"": 358696.16, ""29.0"": 95623.09, ""30.0"": 917.91}"	"{""26.0"": 53350, ""27.0"": 466107, ""28.0"": 359485, ""29.0"": 95146, ""30.0"": 730}"	"{""[26.0, 26.0]"": 1950, ""[26.0, 27.0]"": 25738, ""[26.0, 28.0]"": 18923, ""[26.0, 29.0]"": 4756, ""[26.0, 30.0]"": 33, ""[27.0, 27.0]"": 111619, ""[27.0, 28.0]"": 171561, ""[27.0, 29.0]"": 45216, ""[27.0, 30.0]"": 354, ""[28.0, 28.0]"": 66686, ""[28.0, 29.0]"": 35353, ""[28.0, 30.0]"": 276, ""[29.0, 29.0]"": 4878, ""[29.0, 30.0]"": 65, ""[30.0, 30.0]"": 1}"	"{""26.0"": 31778.35, ""27.0"": 311965.64, ""28.0"": 248553.57, ""29.0"": 66481.97, ""30.0"": 613.61}"	"{""26.0"": 31797, ""27.0"": 311771, ""28.0"": 249092, ""29.0"": 66234, ""30.0"": 490}"	"{""[26.0, 26.0]"": 790, ""[26.0, 27.0]"": 15069, ""[26.0, 28.0]"": 11987, ""[26.0, 29.0]"": 3143, ""[26.0, 30.0]"": 18, ""[27.0, 27.0]"": 73685, ""[27.0, 28.0]"": 117811, ""[27.0, 29.0]"": 31290, ""[27.0, 30.0]"": 231, ""[28.0, 28.0]"": 47058, ""[28.0, 29.0]"": 24983, ""[28.0, 30.0]"": 195, ""[29.0, 29.0]"": 3387, ""[29.0, 30.0]"": 44, ""[30.0, 30.0]"": 1}"	0.1499468587131495	0.6213177608377873	1.5931838170505348	0.7946255360804861	"{""26.0"": 1.0, ""27.0"": 0.99, ""28.0"": 0.99, ""29.0"": 0.99, ""30.0"": 0.85}"	5.47e-10	0.053504295818334914	0.05624391311877116	0.0511395	False	NA	NA	False	NA	none	none	intergenic	untranscribed
1	1_198471613_198904234	198649582	198649596	198649578	STR_99905	1	A	13.0,14.0,15.0,16.0,17.0	15.0	"{""13.0"": 118012.72, ""14.0"": 29053.15, ""15.0"": 824867.07, ""16.0"": 2881.39, ""17.0"": 3.64}"	"{""13.0"": 116751, ""14.0"": 28907, ""15.0"": 827089, ""16.0"": 2071}"	"{""[13.0, 13.0]"": 7305, ""[13.0, 14.0]"": 3512, ""[13.0, 15.0]"": 98259, ""[13.0, 16.0]"": 370, ""[14.0, 14.0]"": 471, ""[14.0, 15.0]"": 24377, ""[14.0, 16.0]"": 76, ""[15.0, 15.0]"": 351440, ""[15.0, 16.0]"": 1573, ""[16.0, 16.0]"": 26}"	"{""13.0"": 78671.48, ""14.0"": 18001.61, ""15.0"": 561540.31, ""16.0"": 1169.88, ""17.0"": 0.72}"	"{""13.0"": 77834, ""14.0"": 17933, ""15.0"": 562913, ""16.0"": 704}"	"{""[13.0, 13.0]"": 4559, ""[13.0, 14.0]"": 2145, ""[13.0, 15.0]"": 66486, ""[13.0, 16.0]"": 85, ""[14.0, 14.0]"": 219, ""[14.0, 15.0]"": 15337, ""[14.0, 16.0]"": 13, ""[15.0, 15.0]"": 240242, ""[15.0, 16.0]"": 606}"	0.02907594057483955	0.2565300426823738	0.7106694615770751	0.7018391616124466	"{""13.0"": 0.99, ""14.0"": 1.0, ""15.0"": 0.99, ""16.0"": 0.82, ""17.0"": ""NaN""}"	6.41e-14	-0.06941583720082001	-0.0648619351551095	0.883972	False	NA	NA	False	NA	none	none	intergenic	untranscribed
1	1_219888026_220647928	220506212	220506223	220506212	STR_112311	1	T	12.0,13.0,14.0	12.0	"{""12.0"": 365170.67, ""13.0"": 609420.66, ""14.0"": 226.64}"	"{""12.0"": 364864, ""13.0"": 609945, ""14.0"": 9}"	"{""[12.0, 12.0]"": 68807, ""[12.0, 13.0]"": 227244, ""[12.0, 14.0]"": 6, ""[13.0, 13.0]"": 191349, ""[13.0, 14.0]"": 3}"	"{""12.0"": 242173.97, ""13.0"": 417053.93, ""14.0"": 156.1}"	"{""12.0"": 241817, ""13.0"": 417564, ""14.0"": 3}"	"{""[12.0, 12.0]"": 44454, ""[12.0, 13.0]"": 152906, ""[12.0, 14.0]"": 3, ""[13.0, 13.0]"": 132329}"	0.00023673610521335062	0.4644848704046198	0.9482137938362788	0.4269453096192568	"{""12.0"": 1.0, ""13.0"": 1.0, ""14.0"": 0.36}"	9.09e-09	-0.09486610803116662	-0.06473096677249617	0.102995	False	NA	NA	False	NA	none	78334:downstream:MORF4L1P1:processed_pseudogene,64953:upstream:AURKAP1:transcribed_processed_pseudogene,17305:upstream:XRCC6P3:processed_pseudogene,15271:upstream:RP11-302I18.1:processed_pseudogene,26850:downstream:RP11-302I18.3:lncRNA,68241:upstream:RP11-410C4.5:lncRNA,60417:upstream:RAB3GAP2:protein_coding	intergenic	untranscribed
