chrom	start	end
1	1552961	2330581
1	10565948	10981692
1	15669586	16176260
1	16468404	16718404
1	18656908	18943701
1	20016060	20266060
1	21697677	21947677
1	23158362	23841014
1	26808591	27493126
1	27543610	27970119
1	28419118	28677215
1	33724504	34040707
1	43576201	43883520
1	45658656	46734736
1	53456670	53707325
1	56399552	57138031
1	61733412	61994783
1	67237733	67633531
1	67881151	68131151
1	77898173	78841854
1	82765893	83087840
1	85907290	86173526
1	93901861	94189682
1	94457628	95105123
1	100674044	101194105
1	109669252	110202741
1	112931408	113760696
1	115106254	115363015
1	116896122	117146122
1	149896607	151416008
1	154996702	155446214
1	155536719	156330383
1	163614717	163866788
1	171236732	171707687
1	171988327	172475211
1	180773372	181034549
1	182821746	183198206
1	184439996	185535342
1	186271508	186744190
1	200768960	201141296
1	201759683	202014431
1	207033043	207376518
1	211287408	211537595
1	214618309	214894556
1	220849174	221160385
1	243095561	243733967
2	0	431576
2	11966765	12244114
2	15598095	16025274
2	18531321	18819805
2	20210284	20462144
2	25706267	26259497
2	26942218	28663289
2	31009106	31259106
2	32382604	33035985
2	40513159	40879972
2	40978527	41228527
2	43291827	44032630
2	47508089	47758781
2	54431416	55162005
2	64763426	65127685
2	66527955	66805892
2	73375483	74245961
2	88125831	88423471
2	98983277	99233277
2	101453022	101924389
2	102839892	103340410
2	113827743	114117201
2	120420835	120670835
2	120699615	121095271
2	121179548	121446830
2	121845361	122181000
2	136936077	137287063
2	137392616	137780519
2	145509153	146094587
2	148248434	149286696
2	152077233	152615219
2	153810802	154136953
2	159507662	160083426
2	169862764	170361399
2	176399570	178527087
2	179307185	179911527
2	182872090	183337777
2	188043567	188293567
2	189408499	189658499
2	210579200	210944095
2	211058527	212030535
2	212955994	213347397
2	213887225	214156336
2	217442052	217838766
2	217845948	218100942
2	219153630	219403630
2	220175965	220568114
2	227076709	227469207
2	230489750	230951792
2	231916351	232207279
2	233432043	233993788
3	12099151	12447168
3	12696442	12973491
3	19898859	20423061
3	25232637	25584108
3	38293929	38726237
3	39071452	39322731
3	48285774	50441002
3	50705788	51012538
3	51046213	51830320
3	52089640	53296555
3	63662162	64186581
3	69666356	70139091
3	105298889	105615923
3	121225573	121855049
3	121949704	122353974
3	124567046	124852635
3	125754456	126102522
3	127944935	128243439
3	132056820	132564403
3	135495043	136799468
3	141436314	142656197
3	153643888	154207815
3	168917352	169293017
3	170908181	171158181
3	183819011	184169433
3	185137137	185589488
3	185601829	185970597
3	186295170	186585877
3	187510437	187800419
3	193659495	193968984
3	195493534	195764157
3	196640131	197150109
4	3329736	3607554
4	5642567	5931512
4	9932711	10363391
4	18974432	19257120
4	19293485	19543485
4	23598208	23938109
4	24676834	24926834
4	40303091	40553091
4	42234210	42490466
4	74233613	74483613
4	75067377	75317377
4	76856615	77836284
4	81032703	81327048
4	101379673	101721523
4	103266275	104503012
4	105923360	106250385
4	109554162	109893062
4	114997826	115247826
4	127869423	128626231
4	129033441	129283441
4	129397518	129666530
4	143410391	144480290
4	144932120	145207724
4	149495118	149745118
4	149997817	150286853
4	170758282	171088467
5	298385	1358937
5	34328048	34641644
5	39071275	40369517
5	44687749	45018243
5	52619591	53802472
5	67611940	68385933
5	68669693	68919695
5	78185191	78492643
5	90060769	90648157
5	91265015	91597068
5	97777431	98076054
5	126265962	126803028
5	129016956	129266956
5	129528729	129778729
5	130070701	131983992
5	132021848	132600008
5	148399820	148669809
5	158009530	158420976
5	176331371	177116871
6	2352350	2650609
6	6881805	7452846
6	8521310	8771310
6	10382537	10635785
6	20271149	20598857
6	23468429	23718429
6	24017938	24472883
6	33516956	33916998
6	33942732	35060461
6	35069632	35414446
6	39011651	39281410
6	41527514	41833938
6	42659105	43550408
6	43673211	44155011
6	50701845	51065775
6	51121525	52217074
6	52488481	52863427
6	55437238	55769601
6	89945128	90253139
6	99668275	100057154
6	102060779	102310779
6	108657076	109145332
6	126134767	126384767
6	130186831	130585244
6	131027851	131278827
6	131676791	132092804
6	133258469	134357194
6	135967167	136217167
6	154710182	155111664
6	159886206	161459503
6	161463568	161713568
7	523279	775298
7	875625	1460822
7	2393689	2661455
7	17155513	17627590
7	25571612	25932631
7	27088950	27466382
7	32773234	33263472
7	40903206	41199092
7	46581813	47051695
7	50609418	50932433
7	55014316	55264316
7	55979388	56237604
7	64958004	66562208
7	75482155	75986673
7	76987367	77732604
7	100529477	100779477
7	101581691	102080251
7	105257556	105508239
7	105737631	106074511
7	113224793	113813407
7	127138478	127900129
7	128439152	128881402
7	129202705	129914365
7	150372496	150815176
7	151267009	151591418
7	155471591	155869252
7	155984694	156538450
8	2054580	2305569
8	7963230	12021335
8	14365390	14615390
8	21704948	21997853
8	22307377	22667962
8	23270279	23937576
8	30273842	30532389
8	32160177	32613687
8	49426946	49688189
8	62786652	63223668
8	66425599	67082504
8	76220925	76648242
8	87119582	87687786
8	102542412	102816931
8	109904315	110232825
8	120867564	121117564
8	126322308	126632389
8	129789248	130118563
8	135487745	135762692
8	144745535	145630366
9	4132682	4421430
9	6130152	6653412
9	32984149	33234149
9	33693257	34255435
9	70974457	71730340
9	92124584	92392239
9	102450794	102731563
9	104049108	104334068
9	112071971	112350832
9	119014489	119610337
9	130497946	130791538
9	132450797	132977101
9	133366209	133630952
9	136007908	136280000
9	138957055	139235654
9	139965541	140514613
10	642640	1354915
10	16867011	17117011
10	28072526	28380326
10	29556019	29946089
10	50742565	51252454
10	51601017	51902628
10	52276048	52780506
10	63660089	63910089
10	69454057	70195122
10	70199814	70519649
10	75728796	76612521
10	90027140	90702813
10	92057033	92307033
10	93553430	94175988
10	94405832	95193338
10	101242315	101741892
10	103752902	104339388
10	104422610	105338164
10	126180434	126684506
10	131141332	131574487
10	131783848	132033848
11	1551757	1801757
11	1947504	2324458
11	2641282	2943796
