chrom	start	end	any_strs
1	812563	1122769	True
1	2019788	2344613	True
1	2496078	2848193	False
1	15643997	17077332	True
1	17232446	17510655	True
1	18658321	18918520	True
1	23158362	23956324	True
1	26867928	27472994	True
1	45470626	46734736	True
1	47534445	47833112	True
1	50703316	51657590	True
1	66885104	67135104	True
1	82060857	82477199	True
1	88864157	89576864	True
1	93422830	94024133	True
1	99729085	100165100	True
1	101168753	101813079	True
1	107411799	107753216	True
1	109692590	109947166	False
1	111475265	111865099	True
1	120229019	120766301	True
1	149825326	151172648	True
1	151227436	152239106	True
1	152663919	153043290	False
1	154112638	154385361	True
1	154683287	156168682	True
1	156844896	157189929	True
1	161265516	161857628	True
1	177812738	178090223	True
1	178342555	178789351	True
1	199822467	200545001	True
1	205336223	205586563	False
1	214049458	214531591	True
1	219601100	219859998	True
1	223804086	224222358	True
1	225739184	226027044	True
1	232639044	232951812	True
1	234971551	235221551	True
2	117793	367793	True
2	3507442	3773186	True
2	26880609	28795980	True
2	32724207	32974207	True
2	37165659	37508772	True
2	42257775	42852647	True
2	43328721	43989089	True
2	47887846	48891078	True
2	62680902	63706507	True
2	64740804	65131551	True
2	75595372	75846957	False
2	85614185	86005793	True
2	101468423	101787417	True
2	102876598	103378128	True
2	111736838	112148641	True
2	121180604	121478658	True
2	133027621	133321926	True
2	161048005	161466364	True
2	165376849	165918561	True
2	166478281	166765575	True
2	169695801	170093129	True
2	191292446	191604455	True
2	191906650	192443684	True
2	201998430	202462730	True
2	218816916	219364088	True
2	226772985	227324263	True
2	233340847	233651458	True
2	234488707	234738707	True
2	242032087	242568157	True
3	4603574	5034440	True
3	11902240	12867026	True
3	29215088	29493787	True
3	36718149	37641136	True
3	42393636	42651981	True
3	46800539	47707724	True
3	52415773	53121995	True
3	100918565	101392385	True
3	119401349	120017513	True
3	123393388	123664882	True
3	124140133	124475678	True
3	125921512	126217998	True
3	128966143	129405944	True
3	135494585	137241656	True
3	148920254	149350903	True
3	159878677	160591737	True
3	170387845	170974774	True
3	172098982	172419500	True
3	185365184	185673663	True
3	187628784	188016304	True
4	1561555	1906113	True
4	2720274	3645097	True
4	35980824	36331912	True
4	37357779	37654168	True
4	39270570	39613013	True
4	69176542	70637801	True
4	79368843	79769279	True
4	87855066	88356140	True
4	89551867	89802537	True
4	100114319	100364319	True
4	103063709	103323082	True
4	105487241	105851902	False
4	140733717	140993044	True
4	146230571	146995425	True
4	184065877	184372352	True
5	30803750	31194005	True
5	51730950	52919222	True
5	53146420	53447694	True
5	55678533	56001283	True
5	71776298	72548325	True
5	75567003	75868907	True
5	75979829	76260153	True
5	77678765	77941007	True
5	78289337	78550747	True
5	106383913	107191048	True
5	112345641	112670920	True
5	122560727	122928481	True
5	131964825	132591540	True
5	156564870	157216537	True
5	166656070	166971135	True
5	171655087	171991950	True
6	6962215	7397089	True
6	21686260	22114165	True
6	34040351	35511872	True
6	43631863	43890533	True
6	53768446	54414275	True
6	98277801	98546856	True
6	126534043	127173609	True
6	127288222	127648603	True
6	130196899	130547142	True
6	139071156	139461016	True
6	152818434	153186375	True
6	158251369	159019872	True
6	159056885	159393585	True
6	167995252	168315992	True
7	872334	1746247	True
7	25821564	26411936	True
7	28469922	28727778	True
7	28754177	29089724	True
7	37327730	37577730	True
7	44080906	44341137	True
7	44650860	45080357	True
7	71683047	73325291	True
7	74913408	75301196	True
7	76988565	77720308	True
7	92283370	92533370	True
7	116195886	116871204	True
7	134413340	135287897	True
7	142955060	143355113	True
7	150633482	150886314	True
8	7993600	12003338	True
8	18114760	18398300	True
8	21779212	22139358	True
8	22748533	22998533	True
8	30154355	30647313	True
8	55281067	55893130	True
8	58966172	59692885	True
8	76326098	76685454	True
8	95690987	96234663	True
8	119954748	120341830	True
8	126319788	126648523	True
9	4000631	4430064	True
9	14167138	14417207	True
9	35606560	35879500	True
9	86516123	86766126	True
9	92051553	92392239	True
9	111688832	112385246	True
9	131246672	131795457	True
9	134677170	135071089	False
9	135917324	136488124	True
10	680990	930990	False
10	5113020	5453050	True
10	11751422	12059479	True
10	34835077	35309092	True
10	45827745	46149534	True
10	52448772	52914470	True
10	54328729	54578729	False
10	60103731	60500613	True
10	61429541	61679541	True
10	62282363	62532363	True
10	64748232	65523466	True
10	74611048	74861048	True
10	75384273	75704510	True
10	79353949	80065471	True
10	89478315	89932366	True
10	94647638	94971093	True
10	95208063	95458063	True
10	95891132	96233697	True
10	98323239	98598098	True
10	101142534	102210102	True
10	102521342	102896573	True
10	123118197	123428868	True
10	126179677	126662000	True
11	727097	1169938	True
11	11706098	12200465	True
11	34492336	34782243	True
11	46575737	48071836	True
11	48344105	48594105	False
11	51022055	51272055	False
11	57135034	58561939	True
11	61891765	62326586	True
11	63748673	63998673	False
11	65255916	65742324	True
11	69326910	69618665	True
11	76145683	76427067	True
11	78450986	78997037	True
11	118062417	118850189	True
11	122375846	122730726	True
11	126107337	126369173	True
12	4259844	4509844	False
12	6368351	6636657	True
12	6760076	7306948	True
12	11643558	11916685	True
12	15195385	15477051	True
12	20453881	20711395	True
12	20829083	21871270	True
12	23969872	24226156	True
12	25160487	25539408	True
12	51654544	52044819	True
12	53135775	53431395	True
12	56924532	57174532	True
12	81215469	81499694	True
12	83813605	84254119	True
12	89701293	90064095	True
12	95689397	96062798	True
12	100656888	101030556	True
12	106249507	106555719	True
12	108903679	109393639	True
12	111304783	111771519	True
12	115361907	115659005	True
12	119899606	122054055	True
12	123075334	123325334	True
12	124710352	125002186	False
13	27504228	28010070	True
13	28303793	28634018	True
13	30887459	31170086	True
13	41321719	41814067	True
13	73509051	73759051	True
13	110792507	111195665	True
13	111226358	111531396	True
14	35090829	35479552	True
14	49933006	50183006	True
14	50314504	50780357	True
14	69305370	69841438	True
14	73273446	73842433	True
14	94718818	94968818	False
14	102409523	104500359	True
14	104516592	104766592	True
15	39740384	40109239	True
15	40198931	40522191	True
15	42974550	43485509	False
15	43498397	45072434	True
15	50684669	51279001	True
15	51327387	51663810	True
15	56806193	57995866	True
