chrom	start	end	any_strs
1	3556599	3966125	True
1	11728206	12032603	True
1	22555079	22860335	True
1	23548341	24011073	True
1	24138412	24505785	True
1	25299761	26126950	True
1	28086384	28368696	True
1	37773424	38071426	True
1	38120517	38578041	True
1	39425621	40566727	True
1	42986510	43627739	True
1	45829632	46731315	True
1	47705944	47955944	True
1	56158332	56467397	True
1	68000656	68380420	True
1	77982874	78841854	True
1	79150902	79592975	True
1	93161939	93591062	True
1	114797790	115168985	True
1	118061873	118425350	True
1	121300452	121550452	False
1	150132945	150382945	True
1	151224174	151480559	True
1	154166958	154752852	True
1	155037067	156415656	True
1	157894933	158144933	False
1	158250404	158853009	False
1	167970842	168303327	True
1	171373021	171623021	True
1	172182678	172581372	True
1	178388411	178663193	True
1	203145936	203451475	True
1	203524185	204082591	True
1	204854752	205422880	True
1	211641417	212020085	True
1	212229682	212533073	True
1	219947698	220253304	True
1	224570003	224866968	True
1	225837690	226087690	True
1	226177659	226614455	True
1	229840469	230090469	False
1	230153291	230529877	True
1	234612989	234888265	True
1	243072184	243625994	True
1	247638174	248625132	True
2	8564731	8897936	True
2	20996464	21362544	False
2	23946427	24489094	True
2	25811130	26526748	True
2	27473097	27992573	True
2	31722158	32039718	False
2	32322408	33350669	True
2	36941018	37369322	True
2	53727045	54510334	True
2	55126374	55402641	True
2	58753085	59111041	True
2	60463472	61028117	True
2	62151337	62753968	True
2	63796775	64046775	False
2	64712006	65141713	True
2	69932895	70472782	True
2	85939849	86232650	True
2	111682677	111936665	False
2	159946693	160271610	True
2	169099749	169618999	True
2	169696649	170086897	True
2	190311172	190714977	True
2	200590388	200939809	True
2	218816916	219386176	True
2	219787733	220290527	True
2	236204386	236499336	True
2	238944196	239246063	True
3	11965463	12873879	True
3	16760235	17223399	False
3	24205283	24482286	True
3	38146881	38418904	True
3	48443866	50084071	True
3	52426284	53226580	True
3	63728423	64106635	True
3	66198530	66579191	True
3	66704908	66999105	True
3	124275092	124560110	True
3	127102166	127549076	False
3	127590196	128247820	True
3	131994691	132571322	True
3	133248215	133601769	True
3	136364602	136630832	True
3	141448305	142938964	True
3	155560073	155810073	False
3	170744306	170994306	False
3	171111881	171974419	True
3	176746415	177053657	True
3	182353533	182767134	True
3	183501502	183881897	True
3	195228358	196064792	True
3	196340673	196643793	True
4	844556	1098036	True
4	6766435	7018681	True
4	38484196	38866723	True
4	39243083	39535374	True
4	39577077	40174517	True
4	42087948	42339737	False
4	69419277	70074111	True
4	79504937	80005156	True
4	83697874	84123642	True
4	100628130	101032327	True
4	103121576	103393763	True
4	128280940	129377051	True
4	144469291	145212687	True
4	146220435	146608123	True
4	153518953	154004154	True
5	0	1628767	True
5	35899277	36306627	True
5	43254792	43949677	True
5	53058181	53331095	True
5	53477365	53803062	True
5	55671639	55937130	True
5	66155426	66481632	True
5	67291045	67840716	True
5	71558885	72545784	True
5	75451729	75725929	True
5	115139351	115461862	True
5	122605629	123093208	True
5	126862061	128748086	True
5	128793368	129043368	True
5	145339515	145835361	True
5	150439059	150774655	True
5	150990517	151395477	True
5	153134066	153673134	True
5	153892722	154177838	True
5	156917531	157317202	True
5	171408782	171735907	True
5	172067705	172323287	True
5	173135625	173539926	True
5	175325255	175944996	True
6	2347911	2630169	True
6	3018765	3595609	True
6	4578123	4869730	True
6	4970629	5397946	True
6	6798834	7051514	True
6	7563712	7853428	True
6	16042517	16447978	True
6	18622705	18882314	True
6	24310245	25124254	True
6	33411004	33661004	True
6	33708665	33959568	False
6	34423118	35302387	True
6	35354876	35609753	True
6	36961807	37268133	True
6	41500648	42180901	True
6	43959684	44249954	True
6	47302281	47723125	True
6	52478948	52863427	True
6	106805655	107078598	True
6	109161366	110377722	True
6	127314897	127564897	True
6	132644999	132961304	True
6	134688281	136344886	True
6	139775450	140084177	True
6	150850312	151133874	True
6	151594167	151844167	True
6	168119445	168502880	True
7	5940024	6675403	True
7	16561501	16828752	True
7	17602650	18172411	True
7	32334362	33677840	True
7	36230789	36633246	True
7	72852249	73181750	True
7	73884994	74617118	True
7	74714824	74969193	False
7	80015217	80475899	True
7	86976407	87247022	True
7	92475031	92844366	True
7	98818838	101130720	True
7	126779176	127200668	True
7	129094112	129344112	True
7	129519651	129821462	True
7	148321377	148573924	True
8	7759119	12462171	True
8	19587564	20071795	True
8	23074828	23618020	True
8	25957484	26413526	True
8	37889429	38435910	True
8	41272963	41845930	True
8	42226176	42582590	True
8	98436804	99025626	True
8	101565888	101881410	True
8	102948460	103212806	True
8	103286505	103536505	True
8	105754395	106103368	True
8	126320055	126770637	True
