chrom	start	end	any_strs
1	1465291	1724387	False
1	8356016	8863944	True
1	10665536	10924577	True
1	20763348	21042206	True
1	23166582	23986271	True
1	24050763	24380836	True
1	25112986	25387022	False
1	26592964	27025735	True
1	28080884	28368696	True
1	28509120	28759120	True
1	40211283	40566727	True
1	45690338	46044459	True
1	50990457	51240457	True
1	56773998	57143260	True
1	65224544	65641867	True
1	65929995	66340348	True
1	67236670	67725686	True
1	99832042	100082042	False
1	100181504	100431504	False
1	100792845	101042845	True
1	101074147	102299973	True
1	109957551	110256521	True
1	110345592	110621087	True
1	111208014	111458014	True
1	112143666	112394872	True
1	113710985	114600350	True
1	150153389	151463570	True
1	156833472	157083472	True
1	158269312	158826200	False
1	160573276	160982968	True
1	161369046	161830871	True
1	164433927	164683927	True
1	181996031	182296957	True
1	197521544	197771544	True
1	198373784	199150551	True
1	200749229	201150850	True
1	203524185	203822870	True
1	204137031	204446018	True
1	206544465	206823349	True
1	207920431	208170431	True
1	212238072	212513607	True
1	213809298	214078479	True
1	214218609	214535272	True
1	225739157	226087917	True
1	226875011	227200402	True
1	235728355	236234101	True
1	247594769	247847588	True
1	249066706	249250621	True
2	7464770	7789415	True
2	8438029	8886090	True
2	11193224	11628081	True
2	12751590	13110129	True
2	23744571	25897989	True
2	26081255	26353945	True
2	27291507	27904556	True
2	31695300	32618527	True
2	32711362	32973854	True
2	43307351	44162396	True
2	45451361	45701361	True
2	55172353	55450911	True
2	61097143	61405953	True
2	68435311	69020830	True
2	71400698	71803520	True
2	102632038	103307795	True
2	111418487	112524289	True
2	113827699	114133575	True
2	120371519	120812460	True
2	128905338	129208550	True
2	143505801	144710187	True
2	144771710	145021710	False
2	153122766	153523387	True
2	160772655	161509959	True
2	162951146	163451297	True
2	165376849	165653876	True
2	169563747	169840686	True
2	181139440	182914124	True
2	187696910	188546264	True
2	201539399	202504604	True
2	219574999	219984171	False
2	223748299	224130113	True
2	225715004	226106564	True
2	227124802	227469207	True
2	230492473	230975615	True
2	231133150	231651526	True
2	232448944	232842857	True
2	234019113	234599600	True
3	11917835	12598045	True
3	18565567	18950669	True
3	24087381	24377052	True
3	27632018	27960299	True
3	28090252	28734032	True
3	38744894	39461039	True
3	45246701	45516335	True
3	45779548	48824451	True
3	48928099	49178099	False
3	49498759	50514477	True
3	56724749	56990776	True
3	71185697	71816135	True
3	108357777	108607777	True
3	122769253	123253413	True
3	128078035	128343410	True
3	135668657	136877590	True
3	140942776	141463529	True
3	142758716	143008716	True
3	145799454	146115185	False
3	150821875	151257499	True
3	151893102	152202061	False
3	159505084	159790050	True
3	170700920	170950920	True
3	185671785	185921785	True
3	196275843	196677109	True
4	2960259	3358393	True
4	15226759	15520591	True
4	17676289	18177129	True
4	37848853	39084992	True
4	57599652	58019717	True
4	80429217	81109670	True
4	83346084	84125125	True
4	90091747	90350554	True
4	103266275	104087532	True
4	105894157	106604973	True
4	110699115	111073011	True
4	112899632	113330473	True
4	122899769	123893759	True
4	143191581	143451714	True
4	152820174	153130716	True
4	174312998	174562998	True
5	35363978	36144862	True
5	36226030	36476030	True
5	51947194	52258187	True
5	67175771	67654752	True
5	75567003	75865199	True
5	100033868	100283868	True
5	110441360	110691360	False
5	118502271	118865693	True
5	124205522	124549506	True
5	127129406	127731403	True
5	130245970	132121669	True
5	134476871	134898122	False
5	150339579	150671885	True
5	155603148	155993442	True
5	156333802	156583802	True
5	157756647	158569274	True
5	169295553	169556115	True
5	171874057	172145043	True
5	173076067	173367565	True
5	176411089	176874588	True
5	179048035	179298035	True
6	106878	558109	True
6	2779791	3029791	True
6	6776485	7313546	True
6	11863081	12214905	True
6	15187101	15447834	True
6	20089618	20339618	True
6	21684195	21934342	True
6	22143222	22485075	True
6	23431224	23710283	True
6	23987795	24257769	True
6	24346698	25123665	True
6	33383531	33906832	True
6	33947215	36201564	True
6	41644944	42177815	True
6	44630194	45482699	True
6	53000902	53346982	True
6	90683352	91165478	True
6	106407658	106723849	True
6	107295110	107571540	True
6	107901146	108276757	True
6	122584984	123046183	True
6	126535355	126962663	True
6	127293758	127564147	True
6	130196899	130585244	True
6	134771913	135615468	True
6	151773506	152037703	True
6	152818434	153186375	True
6	159231188	159600987	False
6	170458022	170711082	True
7	840643	1121381	True
7	2626688	3299182	True
7	5428996	5695100	True
7	6364996	6758571	True
7	13882302	14155119	True
7	22494910	22925397	True
7	23383740	23633740	True
7	27025602	27310723	True
7	28015381	28384233	True
7	35959529	36210142	True
7	37257465	37507465	True
7	39844232	40384032	True
7	44683223	45296708	True
7	50414036	50664036	False
7	55013388	55264068	True
7	55857894	56308318	True
7	73796065	74046065	True
7	74095751	74614486	True
7	74719193	74969193	False
7	76988701	77427396	True
7	98687374	99686243	True
7	99813483	100063483	True
7	100148085	100646878	True
