chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_23566745_23949623	23813334	23813358	23813334	STR_15419	1	T	23.0,24.0,25.0,26.0	25.0	"{""23.0"": 41724.85, ""24.0"": 830038.57, ""25.0"": 102110.25, ""26.0"": 944.26}"	"{""23.0"": 41730, ""24.0"": 831210, ""25.0"": 100913, ""26.0"": 965}"	"{""[23.0, 23.0]"": 919, ""[23.0, 24.0]"": 35604, ""[23.0, 25.0]"": 4255, ""[23.0, 26.0]"": 33, ""[24.0, 24.0]"": 354535, ""[24.0, 25.0]"": 85837, ""[24.0, 26.0]"": 699, ""[25.0, 25.0]"": 5321, ""[25.0, 26.0]"": 179, ""[26.0, 26.0]"": 27}"	"{""23.0"": 26183.27, ""24.0"": 521573.18, ""25.0"": 63395.87, ""26.0"": 9.68}"	"{""23.0"": 26186, ""24.0"": 522293, ""25.0"": 62673, ""26.0"": 10}"	"{""[23.0, 23.0]"": 546, ""[23.0, 24.0]"": 22462, ""[23.0, 25.0]"": 2632, ""[24.0, 24.0]"": 223108, ""[24.0, 25.0]"": 53607, ""[24.0, 26.0]"": 8, ""[25.0, 25.0]"": 3216, ""[25.0, 26.0]"": 2}"	0.04285762203801938	0.2573240003331905	0.7256479933073321	0.7484378938176568	"{""23.0"": 1.0, ""24.0"": 1.0, ""25.0"": 0.99, ""26.0"": 0.99}"	1.3e-10	-0.005163003140562533	-0.0027603865233445236	0.586682	False	NA	NA	False	NA	none	2273:upstream:ASAP3:protein_coding	74695:downstream:RP4-654C18.1:processed_pseudogene,62272:downstream:RP1-150O5.3:lncRNA,71059:downstream:ID3:protein_coding,2273:upstream:ASAP3:protein_coding,89568:downstream:RP1-150O5.4:lncRNA,94627:upstream:MDS2:lncRNA,62093:upstream:TCEA3:protein_coding,19572:downstream:E2F2:protein_coding	intergenic	untranscribed
1	1_23566745_23949623	23817932	23817947	23817932	STR_15426	1	T	11.0,13.0,14.0,15.0,16.0,17.0	16.0	"{""11.0"": 0.0, ""13.0"": 42723.92, ""14.0"": 674655.1, ""15.0"": 172981.91, ""16.0"": 81540.37, ""17.0"": 2923.91}"	"{""13.0"": 42653, ""14.0"": 674818, ""15.0"": 173166, ""16.0"": 83352, ""17.0"": 829}"	"{""[13.0, 13.0]"": 974, ""[13.0, 14.0]"": 29161, ""[13.0, 15.0]"": 7847, ""[13.0, 16.0]"": 3677, ""[13.0, 17.0]"": 20, ""[14.0, 14.0]"": 236874, ""[14.0, 15.0]"": 115341, ""[14.0, 16.0]"": 56042, ""[14.0, 17.0]"": 526, ""[15.0, 15.0]"": 16925, ""[15.0, 16.0]"": 15940, ""[15.0, 17.0]"": 188, ""[16.0, 16.0]"": 3806, ""[16.0, 17.0]"": 81, ""[17.0, 17.0]"": 7}"	"{""11.0"": 0.0, ""13.0"": 26267.95, ""14.0"": 432704.14, ""15.0"": 101501.86, ""16.0"": 49139.95, ""17.0"": 1552.08}"	"{""13.0"": 26232, ""14.0"": 432835, ""15.0"": 101497, ""16.0"": 50320, ""17.0"": 278}"	"{""[13.0, 13.0]"": 549, ""[13.0, 14.0]"": 18524, ""[13.0, 15.0]"": 4459, ""[13.0, 16.0]"": 2141, ""[13.0, 17.0]"": 10, ""[14.0, 14.0]"": 153483, ""[14.0, 15.0]"": 71641, ""[14.0, 16.0]"": 35503, ""[14.0, 17.0]"": 201, ""[15.0, 15.0]"": 8419, ""[15.0, 16.0]"": 8512, ""[15.0, 17.0]"": 47, ""[16.0, 16.0]"": 2072, ""[16.0, 17.0]"": 20}"	0.1259232066549254	0.4622279429198938	1.2792582236994152	0.4905802886688059	"{""11.0"": ""NaN"", ""13.0"": 1.0, ""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.99, ""17.0"": 0.37}"	4.71e-13	-0.00324175493030932	-0.003138121475864865	0.405531	False	NA	NA	False	NA	none	6871:upstream:ASAP3:protein_coding	79293:downstream:RP4-654C18.1:processed_pseudogene,57683:downstream:RP1-150O5.3:lncRNA,66470:downstream:ID3:protein_coding,6871:upstream:ASAP3:protein_coding,84979:downstream:RP1-150O5.4:lncRNA,90038:upstream:MDS2:lncRNA,66691:upstream:TCEA3:protein_coding,14983:downstream:E2F2:protein_coding	intergenic	untranscribed
1	1_26808591_27460529	27247247	27247280	27247245	STR_18388	1	A	33.0,34.0,35.0,36.0,37.0	34.0	"{""33.0"": 117.62, ""34.0"": 821866.68, ""35.0"": 77137.47, ""36.0"": 53089.82, ""37.0"": 22628.53}"	"{""33.0"": 6, ""34.0"": 823781, ""35.0"": 75249, ""36.0"": 53463, ""37.0"": 22319}"	"{""[33.0, 34.0]"": 4, ""[33.0, 35.0]"": 1, ""[33.0, 36.0]"": 1, ""[34.0, 34.0]"": 348280, ""[34.0, 35.0]"": 63318, ""[34.0, 36.0]"": 45076, ""[34.0, 37.0]"": 18823, ""[35.0, 35.0]"": 2991, ""[35.0, 36.0]"": 4250, ""[35.0, 37.0]"": 1698, ""[36.0, 36.0]"": 1447, ""[36.0, 37.0]"": 1242, ""[37.0, 37.0]"": 278}"	"{""33.0"": 19.09, ""34.0"": 515119.56, ""35.0"": 47216.07, ""36.0"": 33829.93, ""37.0"": 14992.19}"	"{""34.0"": 515890, ""35.0"": 46396, ""36.0"": 34078, ""37.0"": 14798}"	"{""[34.0, 34.0]"": 217788, ""[34.0, 35.0]"": 39049, ""[34.0, 36.0]"": 28784, ""[34.0, 37.0]"": 12481, ""[35.0, 35.0]"": 1785, ""[35.0, 36.0]"": 2656, ""[35.0, 37.0]"": 1121, ""[36.0, 36.0]"": 904, ""[36.0, 37.0]"": 830, ""[37.0, 37.0]"": 183}"	0.0799133848069243	0.2780142941920156	0.8509352636712899	0.889211430632759	"{""33.0"": ""NaN"", ""34.0"": 0.99, ""35.0"": 0.99, ""36.0"": 1.0, ""37.0"": 0.99}"	6.43e-24	-0.004582931247891756	-0.004352930674834705	0.603183	False	NA	NA	False	NA	954:upstream:27248234:27248420:NUDC:protein_coding	0:inside:NUDC:protein_coding	56300:downstream:SFN:protein_coding,42511:downstream:RP1-50O24.6:lncRNA,20289:upstream:GPATCH3:protein_coding,6781:upstream:NR0B2:protein_coding,59376:upstream:RPL12P13:unprocessed_pseudogene,62839:upstream:RPL32P6:processed_pseudogene,65108:downstream:OSTCP2:processed_pseudogene,72903:upstream:TRNP1:protein_coding,84231:downstream:TENT5B:protein_coding,63152:downstream:ZDHHC18:protein_coding,30473:upstream:GPN2:protein_coding,28773:downstream:KDF1:protein_coding,0:inside:NUDC:protein_coding	intron:NUDC:protein_coding	transcribed;NUDC-202:protein_coding:5
1	1_39425608_40546818	39943632	39943645	39943632	STR_28098	1	T	13.0,14.0,15.0	14.0	"{""13.0"": 144.3, ""14.0"": 849871.22, ""15.0"": 124802.43}"	"{""13.0"": 41, ""14.0"": 852946, ""15.0"": 121831}"	"{""[13.0, 14.0]"": 39, ""[13.0, 15.0]"": 2, ""[14.0, 14.0]"": 373422, ""[14.0, 15.0]"": 106063, ""[15.0, 15.0]"": 7883}"	"{""13.0"": 31.04, ""14.0"": 529482.46, ""15.0"": 81648.5}"	"{""14.0"": 531336, ""15.0"": 79826}"	"{""[14.0, 14.0]"": 230972, ""[14.0, 15.0]"": 69392, ""[15.0, 15.0]"": 5217}"	5.078849797598672e-05	0.2271072081678786	0.559118278457074	0.9758879717687988	"{""13.0"": ""NaN"", ""14.0"": 0.99, ""15.0"": 0.99}"	3.64e-08	-0.005260158009641719	-0.002531574831339203	0.0997106	False	NA	NA	False	NA	none	0:inside:MACF1:protein_coding	36983:upstream:OXCT2P1:unprocessed_pseudogene,82736:downstream:PABPC4:protein_coding,87079:upstream:PABPC4-AS1:lncRNA,89401:downstream:SNORA55:snoRNA,44307:downstream:PPIEL:transcribed_unprocessed_pseudogene,13663:upstream:BMP8A:protein_coding,0:inside:MACF1:protein_coding	intron:MACF1:protein_coding	transcribed;MACF1-240:protein_coding:missing from gencode,MACF1-202:protein_coding:5,MACF1-208:protein_coding:5,MACF1-207:protein_coding:5,MACF1-206:protein_coding:5,MACF1-210:processed_transcript:3,MACF1-209:processed_transcript:3,MACF1-223:processed_transcript:2,MACF1-225:processed_transcript:1,MACF1-203:protein_coding:5,MACF1-232:protein_coding:5,MACF1-204:protein_coding:5,MACF1-231:protein_coding:5,MACF1-235:protein_coding:missing from gencode,MACF1-205:protein_coding:5,MACF1-201:retained_intron:5
1	1_39425608_40546818	40396817	40396837	40396817	STR_28422	1	T	7.0,21.0,22.0	21.0	"{""7.0"": 247647.62, ""21.0"": 713423.75, ""22.0"": 13746.7}"	"{""7.0"": 248040, ""21.0"": 712960, ""22.0"": 13818}"	"{""[7.0, 7.0]"": 32217, ""[7.0, 21.0]"": 180021, ""[7.0, 22.0]"": 3585, ""[21.0, 21.0]"": 261465, ""[21.0, 22.0]"": 10009, ""[22.0, 22.0]"": 112}"	"{""7.0"": 160244.66, ""21.0"": 442076.22, ""22.0"": 8841.12}"	"{""7.0"": 160689, ""21.0"": 441534, ""22.0"": 8939}"	"{""[7.0, 7.0]"": 20964, ""[7.0, 21.0]"": 116402, ""[7.0, 22.0]"": 2359, ""[21.0, 21.0]"": 159347, ""[21.0, 22.0]"": 6438, ""[22.0, 22.0]"": 71}"	0.014466082642572674	0.4087231456324925	0.9347308557595704	0.2680239081986179	"{""7.0"": 1.0, ""21.0"": 1.0, ""22.0"": 0.97}"	3.29e-09	0.0003026538026313472	0.0026397442970029026	0.100111	False	NA	NA	False	NA	none	13725:downstream:Y_RNA:misc_RNA	49467:upstream:Y_RNA:misc_RNA,28889:upstream:MYCL:protein_coding,32047:downstream:MYCL-AS1:lncRNA,13725:downstream:Y_RNA:misc_RNA,23947:upstream:MFSD2A:protein_coding,31515:upstream:RP3-342P20.2:processed_pseudogene,47634:upstream:TRIT1:protein_coding	intergenic	untranscribed
1	1_39425608_40546818	40397137	40397153	40397135	STR_28423	1	T	15.0,16.0,17.0,18.0	17.0	"{""15.0"": 7145.96, ""16.0"": 269494.05, ""17.0"": 696844.74, ""18.0"": 1335.71}"	"{""15.0"": 6650, ""16.0"": 265867, ""17.0"": 701783, ""18.0"": 518}"	"{""[15.0, 15.0]"": 879, ""[15.0, 16.0]"": 2178, ""[15.0, 17.0]"": 2614, ""[15.0, 18.0]"": 100, ""[16.0, 16.0]"": 36353, ""[16.0, 17.0]"": 190816, ""[16.0, 18.0]"": 167, ""[17.0, 17.0]"": 254053, ""[17.0, 18.0]"": 247, ""[18.0, 18.0]"": 2}"	"{""15.0"": 630.08, ""16.0"": 168266.98, ""17.0"": 441774.84, ""18.0"": 491.36}"	"{""15.0"": 331, ""16.0"": 165937, ""17.0"": 444828, ""18.0"": 66}"	"{""[15.0, 16.0]"": 87, ""[15.0, 17.0]"": 244, ""[16.0, 16.0]"": 22381, ""[16.0, 17.0]"": 121077, ""[16.0, 18.0]"": 11, ""[17.0, 17.0]"": 161726, ""[17.0, 18.0]"": 55}"	0.0018349270536975669	0.3965309465985824	0.8515633759363183	0.2648690376018219	"{""15.0"": 0.86, ""16.0"": 0.99, ""17.0"": 0.99, ""18.0"": 0.7}"	9.61e-10	0.004184172731576341	0.002671020253541293	0.145985	False	NA	NA	False	NA	none	13409:downstream:Y_RNA:misc_RNA	49787:upstream:Y_RNA:misc_RNA,29209:upstream:MYCL:protein_coding,32367:downstream:MYCL-AS1:lncRNA,13409:downstream:Y_RNA:misc_RNA,23631:upstream:MFSD2A:protein_coding,31199:upstream:RP3-342P20.2:processed_pseudogene,47954:upstream:TRIT1:protein_coding	intergenic	untranscribed
1	1_62708402_63551178	63149884	63149899	63149884	STR_42353	1	A	14.0,15.0,16.0,17.0	16.0	"{""14.0"": 0.0, ""15.0"": 343177.69, ""16.0"": 631583.56, ""17.0"": 56.75}"	"{""15.0"": 343742, ""16.0"": 631075, ""17.0"": 1}"	"{""[15.0, 15.0]"": 60802, ""[15.0, 16.0]"": 222138, ""[16.0, 16.0]"": 204468, ""[16.0, 17.0]"": 1}"	"{""14.0"": 0.0, ""15.0"": 216175.8, ""16.0"": 394954.27, ""17.0"": 31.93}"	"{""15.0"": 216536, ""16.0"": 394626}"	"{""[15.0, 15.0]"": 38358, ""[15.0, 16.0]"": 139820, ""[16.0, 16.0]"": 127403}"	5.224474034707654e-05	0.4575442629044355	0.937851649026293	0.9913085852564196	"{""14.0"": ""NaN"", ""15.0"": 1.0, ""16.0"": 1.0, ""17.0"": ""NaN""}"	1.28e-66	0.0110188356926601	0.007452012369423742	0.18191	False	NA	NA	False	NA	none	0:inside:DOCK7:protein_coding	77900:downstream:ANGPTL3:protein_coding,74635:downstream:AL138847.1:protein_coding,74629:downstream:RP5-849H19.3:TEC,42546:upstream:RP5-849H19.2:processed_pseudogene,4254:upstream:RP11-230B22.1:lncRNA,0:inside:DOCK7:protein_coding,99904:upstream:ATG4C:protein_coding	intron:DOCK7:protein_coding	transcribed;DOCK7-203:protein_coding:2,DOCK7-219:protein_coding:5,DOCK7-201:protein_coding:5,DOCK7-204:protein_coding:1,DOCK7-202:protein_coding:2,DOCK7-218:protein_coding:5,DOCK7-211:protein_coding:5,DOCK7-229:nonsense_mediated_decay:5
1	1_93414383_94016839	93858126	93858136	93858126	STR_58152	1	A	10.0,11.0,12.0,13.0	11.0	"{""10.0"": 182713.42, ""11.0"": 184683.65, ""12.0"": 606816.41, ""13.0"": 604.48}"	"{""10.0"": 182718, ""11.0"": 184681, ""12.0"": 607179, ""13.0"": 240}"	"{""[10.0, 10.0]"": 17349, ""[10.0, 11.0]"": 34373, ""[10.0, 12.0]"": 113603, ""[10.0, 13.0]"": 44, ""[11.0, 11.0]"": 19533, ""[11.0, 12.0]"": 111188, ""[11.0, 13.0]"": 54, ""[12.0, 12.0]"": 191123, ""[12.0, 13.0]"": 142}"	"{""10.0"": 112324.39, ""11.0"": 112729.55, ""12.0"": 385722.61, ""13.0"": 385.45}"	"{""10.0"": 112367, ""11.0"": 112690, ""12.0"": 385946, ""13.0"": 159}"	"{""[10.0, 10.0]"": 10315, ""[10.0, 11.0]"": 20778, ""[10.0, 12.0]"": 70929, ""[10.0, 13.0]"": 30, ""[11.0, 11.0]"": 10544, ""[11.0, 12.0]"": 70788, ""[11.0, 13.0]"": 36, ""[12.0, 12.0]"": 122068, ""[12.0, 13.0]"": 93}"	0.1844189265693875	0.5334113564824312	1.3208594023780695	0.2096140696838989	"{""10.0"": 1.0, ""11.0"": 1.0, ""12.0"": 1.0, ""13.0"": 0.86}"	2.51e-20	-0.003592825570772784	-0.003988509584889487	0.985561	False	NA	NA	True	False	none	6752:downstream:Y_RNA:misc_RNA	7571:upstream:RP4-713B5.2:processed_pseudogene,6752:downstream:Y_RNA:misc_RNA,95754:downstream:RNA5SP53:rRNA_pseudogene,46544:upstream:CCDC18-AS1:lncRNA,23076:downstream:DR1:protein_coding,55539:upstream:FNBP1L:protein_coding	intergenic	untranscribed
1	1_155984089_156234089	156109095	156109108	156109089	STR_77431	1	A	13.0,14.0,15.0	14.0	"{""13.0"": 108767.48, ""14.0"": 810848.81, ""15.0"": 55201.69}"	"{""13.0"": 105410, ""14.0"": 815223, ""15.0"": 54185}"	"{""[13.0, 13.0]"": 5993, ""[13.0, 14.0]"": 87840, ""[13.0, 15.0]"": 5584, ""[14.0, 14.0]"": 341581, ""[14.0, 15.0]"": 44221, ""[15.0, 15.0]"": 2190}"	"{""13.0"": 69854.32, ""14.0"": 510754.57, ""15.0"": 30553.11}"	"{""13.0"": 67759, ""14.0"": 513486, ""15.0"": 29917}"	"{""[13.0, 13.0]"": 3859, ""[13.0, 14.0]"": 56619, ""[13.0, 15.0]"": 3422, ""[14.0, 14.0]"": 215966, ""[14.0, 15.0]"": 24935, ""[15.0, 15.0]"": 780}"	0.0499918352253576	0.279409646641591	0.7759340001224425	0.1016703144504683	"{""13.0"": 0.97, ""14.0"": 0.97, ""15.0"": 0.98}"	8.3e-09	0.004607506008180214	0.0026076543354936546	0.997131	False	NA	NA	False	NA	713:downstream:156106904:156108382:LMNA:protein_coding,731:downstream:156107445:156108364:LMNA:protein_coding,731:downstream:156107445:156108364:LMNA:protein_coding,547:downstream:156107445:156108548:LMNA:protein_coding,547:downstream:156107445:156108548:LMNA:protein_coding,305:downstream:156107445:156108790:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,697:downstream:156108279:156108398:LMNA:protein_coding,697:downstream:156108279:156108398:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,64:downstream:156108279:156109031:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,547:downstream:156108279:156108548:LMNA:protein_coding,79:downstream:156108871:156109016:LMNA:protein_coding,42:downstream:156108871:156109053:LMNA:protein_coding,15:downstream:156108871:156109080:LMNA:protein_coding,1:downstream:156108871:156109094:LMNA:protein_coding,29:downstream:156108871:156109066:LMNA:protein_coding,201:downstream:156108871:156108894:LMNA:protein_coding,11:downstream:156108871:156109084:LMNA:protein_coding,15:downstream:156108871:156109080:LMNA:protein_coding,15:downstream:156108871:156109080:LMNA:protein_coding,202:downstream:156108871:156108893:LMNA:protein_coding,0:inside:156108871:156109872:LMNA:protein_coding,15:downstream:156108871:156109080:LMNA:protein_coding,11:downstream:156108871:156109084:LMNA:protein_coding,15:downstream:156108871:156109080:LMNA:protein_coding,180:downstream:156108871:156108915:LMNA:protein_coding,0:inside:156108871:156109872:LMNA:protein_coding,0:inside:156108871:156109108:LMNA:protein_coding,133:downstream:156108871:156108962:LMNA:protein_coding,453:upstream:156109561:156109685:LMNA:protein_coding,453:upstream:156109561:156109804:LMNA:protein_coding	0:inside:LMNA:protein_coding	68800:downstream:RAB25:protein_coding,56839:upstream:MEX3A:protein_coding,61850:downstream:AL355388.1:miRNA,52746:downstream:SNORA26:snoRNA,85506:upstream:UBQLN4:protein_coding,80798:downstream:LAMTOR2:protein_coding,8049:upstream:SEMA4A:protein_coding,54615:upstream:SLC25A44:protein_coding,73665:upstream:PMF1-BGLAP:protein_coding,73676:upstream:PMF1:protein_coding,0:inside:LMNA:protein_coding	three_prime_UTR:LMNA:protein_coding	transcribed;LMNA-241:processed_transcript:missing from gencode,LMNA-231:nonsense_mediated_decay:missing from gencode,LMNA-205:protein_coding:1,LMNA-204:protein_coding:1,LMNA-207:protein_coding:2
1	1_178249117_178783276	178522569	178522615	178522569	STR_89232	5	GTTTT	7.4,7.6,8.4,8.6,9.4,9.6,10.4,10.6,11.4,12.4	9.4	"{""7.4"": 1492.93, ""7.6"": 1229.1, ""8.4"": 350462.59, ""8.6"": 110.51, ""9.4"": 488967.69, ""9.6"": 288.05, ""10.4"": 130349.21, ""10.6"": 394.82, ""11.4"": 1528.93, ""12.4"": 0.0}"	"{""7.4"": 1462, ""7.6"": 1261, ""8.4"": 346666, ""8.6"": 8, ""9.4"": 493895, ""9.6"": 61, ""10.4"": 130447, ""10.6"": 205, ""11.4"": 813}"	"{""[7.4, 7.4]"": 43, ""[7.4, 7.6]"": 70, ""[7.4, 8.4]"": 265, ""[7.4, 9.4]"": 710, ""[7.4, 9.6]"": 2, ""[7.4, 10.4]"": 329, ""[7.6, 7.6]"": 27, ""[7.6, 8.4]"": 293, ""[7.6, 9.4]"": 593, ""[7.6, 10.4]"": 251, ""[8.4, 8.4]"": 61964, ""[8.4, 8.6]"": 3, ""[8.4, 9.4]"": 175733, ""[8.4, 9.6]"": 21, ""[8.4, 10.4]"": 46060, ""[8.4, 10.6]"": 80, ""[8.4, 11.4]"": 283, ""[8.6, 9.4]"": 5, ""[9.4, 9.4]"": 125170, ""[9.4, 9.6]"": 27, ""[9.4, 10.4]"": 65972, ""[9.4, 10.6]"": 105, ""[9.4, 11.4]"": 410, ""[9.6, 10.4]"": 9, ""[9.6, 11.4]"": 2, ""[10.4, 10.4]"": 8848, ""[10.4, 10.6]"": 18, ""[10.4, 11.4]"": 112, ""[10.6, 10.6]"": 1, ""[11.4, 11.4]"": 3}"	"{""7.4"": 56.69, ""7.6"": 179.93, ""8.4"": 221481.43, ""8.6"": 38.09, ""9.4"": 306681.18, ""9.6"": 107.92, ""10.4"": 81535.87, ""10.6"": 232.66, ""11.4"": 851.98, ""12.4"": 0.0}"	"{""7.4"": 45, ""7.6"": 209, ""8.4"": 219126, ""9.4"": 309765, ""9.6"": 2, ""10.4"": 81503, ""10.6"": 104, ""11.4"": 408}"	"{""[7.4, 8.4]"": 17, ""[7.4, 9.4]"": 25, ""[7.4, 10.4]"": 3, ""[7.6, 8.4]"": 69, ""[7.6, 9.4]"": 107, ""[7.6, 10.4]"": 33, ""[8.4, 8.4]"": 39333, ""[8.4, 9.4]"": 110907, ""[8.4, 9.6]"": 1, ""[8.4, 10.4]"": 29274, ""[8.4, 10.6]"": 47, ""[8.4, 11.4]"": 145, ""[9.4, 9.4]"": 78608, ""[9.4, 9.6]"": 1, ""[9.4, 10.4]"": 41255, ""[9.4, 10.6]"": 48, ""[9.4, 11.4]"": 206, ""[10.4, 10.4]"": 5436, ""[10.4, 10.6]"": 9, ""[10.4, 11.4]"": 57}"	0.1358111772461071	0.5967714492866554	1.4292687738705514	0.5601235371042255	"{""7.4"": 0.87, ""7.6"": 0.91, ""8.4"": 0.99, ""8.6"": ""NaN"", ""9.4"": 0.98, ""9.6"": 0.12, ""10.4"": 0.99, ""10.6"": 0.5, ""11.4"": 0.66, ""12.4"": ""NaN""}"	1.15e-12	-0.002767267976107728	-0.0026311187417455127	0.165531	False	NA	NA	False	NA	none	4545:downstream:C1orf220:lncRNA	40383:upstream:RP5-990P15.4:lncRNA,4545:downstream:C1orf220:lncRNA,7433:upstream:RNA5SP69:rRNA_pseudogene,98226:upstream:RP5-1098D14.1:lncRNA,53800:upstream:CLEC20A:protein_coding,4832:downstream:TEX35:protein_coding,69287:downstream:RASAL2:protein_coding	intergenic	untranscribed
