chrom	start	end	any_strs
1	1880740	2362248	True
1	2773960	3224194	True
1	8270560	9101763	True
1	11701085	12272131	True
1	19529666	20103895	True
1	24892562	25310197	True
1	25394623	25991838	True
1	26461992	26773551	True
1	26808591	27493126	True
1	27543610	28385057	True
1	30876231	31399484	True
1	36596372	36907365	True
1	40262336	40566727	True
1	41296733	41939308	True
1	43607172	44491341	True
1	44514722	44791297	True
1	44812974	45062974	True
1	45266466	46761384	True
1	61960113	62234502	True
1	65063498	65428338	True
1	65522230	66340433	True
1	67929209	68209555	True
1	87922843	88357585	True
1	89028855	89495336	True
1	89684758	90337586	True
1	91235510	91797569	True
1	91797829	92146705	True
1	93301167	93560677	True
1	94481871	95124520	True
1	110107983	110595764	True
1	112512931	112782830	False
1	112916015	113373365	True
1	118002001	118304371	True
1	150088828	150814259	True
1	151019891	151361816	True
1	153453219	154362638	True
1	154724661	155269300	True
1	155934392	157176801	True
1	172247260	172525484	True
1	173508528	173758528	True
1	174806339	175113016	True
1	177902030	178630762	True
1	180778388	181231347	True
1	184542924	185513637	True
1	198418027	199245973	True
1	201972309	202738860	True
1	203530753	203780753	True
1	204137031	204720899	True
1	205547281	205923033	True
1	207912402	208170412	True
1	225776006	226087690	True
1	226412233	226830690	True
1	230153291	230451412	True
1	235202523	235614104	True
1	236563445	236920734	True
1	247452935	248143210	True
1	249030909	249250621	True
2	12733078	13189795	True
2	21027239	21356524	True
2	23750431	24789837	True
2	25384164	25655701	True
2	27254189	28663289	True
2	31329254	31617883	True
2	43307351	44162396	True
2	45753760	46202038	True
2	47024658	47277291	True
2	64762287	65113266	True
2	68490546	69149089	True
2	74553921	74998381	True
2	85319579	86009384	True
2	100303156	100982017	True
2	110303018	110584146	True
2	111683078	112437517	True
2	113713102	113999467	True
2	120525464	121195811	True
2	159723449	161948646	True
2	162366588	162616588	False
2	170265973	170741529	True
2	191119826	191596608	True
2	201545278	202504923	True
2	203513183	204566397	True
2	211415507	211668055	True
2	216110990	216431635	True
2	218816916	219397294	True
2	225518486	225938355	True
2	227124802	227681383	True
2	234130145	234599600	True
2	241385903	241635903	True
3	8432117	8728243	True
3	11879940	12596871	True
3	17939255	18498575	True
3	25251510	25580843	True
3	27022320	27956978	True
3	39062858	39332318	True
3	48444708	49865895	True
3	52210886	52466943	True
3	52758512	53008512	True
3	56723999	57078738	True
3	58070039	58632486	True
3	69677902	70018384	True
3	72264387	72539934	True
3	100919145	101591543	True
3	107069611	107698304	True
3	122708003	123253413	True
3	124160892	124754223	True
3	128076889	128546702	True
3	128650892	129325726	True
3	129661153	129911153	False
3	135764651	136796504	True
3	142501403	142751403	True
3	148920254	149274197	True
3	152863778	153125932	True
3	156694988	156944988	True
3	159961718	160211718	False
3	168475443	169232643	True
3	172109017	172419500	True
3	178527829	179117209	True
3	182848325	184461634	True
3	185327259	185688274	True
3	189539326	189869084	True
3	196287770	196683949	True
4	3311062	3605627	True
4	6784777	7221008	True
4	17452028	18160250	True
4	39535038	39913949	True
4	53746675	53996675	True
4	55116301	55922421	True
4	57606446	57966213	True
4	72483364	72743323	True
4	83082195	83416836	True
4	88057437	88364853	True
4	100609264	101209709	True
4	105347395	106544597	True
