phenotype	chrom	start	end	filtered_due_to_computation_burden
alanine_aminotransferase	1	2021165	2339587	false
alanine_aminotransferase	1	2624921	2874921	false
alanine_aminotransferase	1	11136929	11445350	false
alanine_aminotransferase	1	16257880	16868175	false
alanine_aminotransferase	1	26808591	27493126	false
alanine_aminotransferase	1	50699328	51039609	false
alanine_aminotransferase	1	59488905	59739380	false
alanine_aminotransferase	1	65770130	66294679	false
alanine_aminotransferase	1	86057879	86307879	false
alanine_aminotransferase	1	88994698	89477612	false
alanine_aminotransferase	1	93496088	94009948	false
alanine_aminotransferase	1	110104787	110358120	false
alanine_aminotransferase	1	149825326	151172648	false
alanine_aminotransferase	1	154741257	155322602	false
alanine_aminotransferase	1	156309703	156598114	false
alanine_aminotransferase	1	161283397	162038044	false
alanine_aminotransferase	1	172237744	172487744	false
alanine_aminotransferase	1	219143532	219859998	false
alanine_aminotransferase	1	219976499	220423722	false
alanine_aminotransferase	1	220548783	221179761	false
alanine_aminotransferase	1	227027342	227339566	false
alanine_aminotransferase	1	247475301	247739617	false
alanine_aminotransferase	2	43927722	44519398	false
alanine_aminotransferase	2	44538206	44839109	false
alanine_aminotransferase	2	48378632	48849742	false
alanine_aminotransferase	2	61678665	61928665	false
alanine_aminotransferase	2	65151452	65409231	false
alanine_aminotransferase	2	88290678	88553571	false
alanine_aminotransferase	2	101474338	101774585	false
alanine_aminotransferase	2	102623363	103303223	false
alanine_aminotransferase	2	111753544	112003544	false
alanine_aminotransferase	2	112534110	112940405	false
alanine_aminotransferase	2	113470359	113999467	false
alanine_aminotransferase	2	114175313	115096913	false
alanine_aminotransferase	2	165327415	165918561	false
alanine_aminotransferase	2	169709370	170089332	false
alanine_aminotransferase	2	170473279	170745870	false
alanine_aminotransferase	2	201904965	202350425	false
alanine_aminotransferase	2	202948732	203198732	false
alanine_aminotransferase	2	226741226	227364287	false
alanine_aminotransferase	2	233340847	233672931	false
alanine_aminotransferase	3	11902240	12837572	false
alanine_aminotransferase	3	29234952	29490171	false
alanine_aminotransferase	3	36826898	37559419	false
alanine_aminotransferase	3	49933610	50183610	false
alanine_aminotransferase	3	124800881	125055982	false
alanine_aminotransferase	3	125779688	126035381	false
alanine_aminotransferase	3	135477459	136877590	false
alanine_aminotransferase	3	141753970	142017420	false
alanine_aminotransferase	3	142477666	142795201	false
alanine_aminotransferase	3	148965724	149377704	false
alanine_aminotransferase	3	151864828	152210277	false
alanine_aminotransferase	3	155437072	155687072	false
alanine_aminotransferase	3	156669425	156923775	false
alanine_aminotransferase	3	159878677	160527471	false
alanine_aminotransferase	3	170502909	170858076	false
alanine_aminotransferase	3	172057627	172524155	false
alanine_aminotransferase	4	2940824	3603323	false
alanine_aminotransferase	4	17747707	18160250	false
alanine_aminotransferase	4	52728286	53055673	false
alanine_aminotransferase	4	77237445	77564236	false
alanine_aminotransferase	4	87144712	88569411	false
alanine_aminotransferase	4	100322615	100630326	false
alanine_aminotransferase	4	102987813	103238209	false
alanine_aminotransferase	4	145496328	145784064	false
alanine_aminotransferase	4	146592776	146949778	false
alanine_aminotransferase	4	150070380	150320380	false
alanine_aminotransferase	5	30895011	31185577	false
alanine_aminotransferase	5	52068125	52318237	false
alanine_aminotransferase	5	53146420	53408630	false
alanine_aminotransferase	5	55669632	56008157	false
alanine_aminotransferase	5	71824079	72531659	false
alanine_aminotransferase	5	106751105	107003792	false
alanine_aminotransferase	5	107233186	107923990	false
alanine_aminotransferase	5	127224896	127474896	false
alanine_aminotransferase	5	130726162	131445462	false
alanine_aminotransferase	5	132250335	132570760	false
alanine_aminotransferase	5	156564870	156967034	false
alanine_aminotransferase	6	7122344	7372344	false
alanine_aminotransferase	6	15448927	15698927	false
alanine_aminotransferase	6	20279420	20538721	false
alanine_aminotransferase	6	21787305	22073207	false
alanine_aminotransferase	6	34048330	34337537	false
alanine_aminotransferase	6	35001961	35251961	false
alanine_aminotransferase	6	42789996	43072013	false
alanine_aminotransferase	6	43631169	43890533	false
alanine_aminotransferase	6	98440211	98690211	false
alanine_aminotransferase	6	116116548	116630669	false
alanine_aminotransferase	6	127288222	127657807	false
alanine_aminotransferase	6	130199570	130547098	false
alanine_aminotransferase	6	139710399	139960423	false
alanine_aminotransferase	6	152918035	153186375	false
alanine_aminotransferase	6	159058351	159393260	false
alanine_aminotransferase	6	160641770	160894423	false
alanine_aminotransferase	7	6286989	6613097	false
alanine_aminotransferase	7	28017186	28384233	false
alanine_aminotransferase	7	35949035	36210142	false
alanine_aminotransferase	7	72691787	73383638	false
alanine_aminotransferase	7	74919830	75272801	false
alanine_aminotransferase	7	86537175	87666159	false
alanine_aminotransferase	7	92183144	92718951	false
alanine_aminotransferase	7	100739439	101024191	false
alanine_aminotransferase	7	116263021	116692710	false
alanine_aminotransferase	7	130297934	130570428	false
alanine_aminotransferase	7	134745201	135036784	false
alanine_aminotransferase	8	3357964	3607964	false
alanine_aminotransferase	8	6433964	6732634	false
alanine_aminotransferase	8	7910791	12307202	false
alanine_aminotransferase	8	21781574	22067265	false
alanine_aminotransferase	8	55282285	55587324	false
alanine_aminotransferase	8	72267687	72652345	false
alanine_aminotransferase	8	95706120	96217046	false
alanine_aminotransferase	8	103537219	103819750	false
alanine_aminotransferase	8	106280565	106530565	false
alanine_aminotransferase	8	126317934	126770810	false
alanine_aminotransferase	8	143141754	143391754	false
alanine_aminotransferase	8	143426140	146364022	false
alanine_aminotransferase	9	33490173	33910003	false
alanine_aminotransferase	9	33982505	34255435	false
alanine_aminotransferase	9	95758363	96055334	false
alanine_aminotransferase	9	111951237	112249551	false
alanine_aminotransferase	9	116915885	117426356	false
alanine_aminotransferase	9	132441666	132750644	false
alanine_aminotransferase	9	135940526	136433796	false
alanine_aminotransferase	10	70531227	71174376	false
alanine_aminotransferase	10	74584753	75438885	false
alanine_aminotransferase	10	79401766	79864250	false
alanine_aminotransferase	10	89631556	89932366	false
alanine_aminotransferase	10	95873179	96164597	false
alanine_aminotransferase	10	98331557	98602421	false
alanine_aminotransferase	10	98868378	99419939	false
alanine_aminotransferase	10	101142534	102215924	false
alanine_aminotransferase	10	102561073	102811073	false
alanine_aminotransferase	10	113758047	114175642	false
