phenotype	chrom	start_pos	repeat_unit	white_brit_allele_frequencies	multiallelicness	association_p_value	direction_of_association	FINEMAP_pcausal	SuSiE_pcausal	SuSiE_CS_pcausal	relation_to_gene	transcribed
alanine_aminotransferase	2	227110026	AC	"{""17.5"": 0.0, ""18.5"": 0.0, ""19.5"": 320652.77, ""20.5"": 106189.24, ""21.5"": 323.85, ""22.5"": 204951.46, ""23.5"": 29062.13, ""24.5"": 0.0}"	0.20505056531929422	7.37e-36	-	0.868616	0.3782	0.3736	intergenic	untranscribed
albumin	4	177692134	AC	"{""11.5"": 451.14, ""13.5"": 32.93, ""14.5"": 55139.58, ""15.5"": 20167.97, ""16.5"": 106507.54, ""17.5"": 393087.52, ""18.5"": 33654.37, ""19.5"": 5278.79, ""21.5"": 117.96, ""23.5"": 186.32}"	0.18715350774063344	5.06e-12	+	1.0	NA	NA	intron:VEGFC:protein_coding	transcribed;VEGFC-202:protein_coding:1
apolipoprotein_a	1	93858126	A	"{""10.0"": 112324.39, ""11.0"": 112729.55, ""12.0"": 385722.61, ""13.0"": 385.45}"	0.1844189265693875	2.51e-20	-	0.985561	0.969	0.9686	intergenic	untranscribed
aspartate_aminotransferase	14	35662188	A	"{""18.0"": 0.0, ""19.0"": 277319.27, ""20.0"": 298162.0, ""21.0"": 83902.2, ""22.0"": 0.53}"	0.12724410965385874	2.48e-17	-	0.983994	NA	NA	multigene;intron:PRORP:protein_coding;intron:RP11-561B11.2:protein_coding	transcribed;PRORP-209:protein_coding:2,RP11-561B11.2-001:nonsense_mediated_decay:2,PRORP-202:protein_coding:3,PRORP-203:protein_coding:1,PRORP-201:protein_coding:2,PRORP-205:protein_coding:5,PRORP-211:protein_coding:1,PRORP-204:protein_coding:3
calcium	6	34182039	A	"{""12.0"": 0.0, ""15.0"": 0.0, ""16.0"": 506824.04, ""17.0"": 5759.23, ""18.0"": 16873.2, ""19.0"": 54417.64, ""20.0"": 30278.44}"	0.08615265051004023	9.85e-43	+	0.937712	0.858	0.8567	intergenic	untranscribed
calcium	11	2982732	A	"{""15.0"": 56968.49, ""16.0"": 373769.97, ""17.0"": 183365.45, ""18.0"": 34.11}"	0.09281724652057856	1.27e-31	-	1.0	1.0	1.0	intron:NAP1L4:protein_coding	transcribed;NAP1L4-222:protein_coding:2,NAP1L4-201:protein_coding:1,NAP1L4-212:protein_coding:2,NAP1L4-210:nonsense_mediated_decay:5,NAP1L4-215:retained_intron:2,NAP1L4-220:protein_coding:5,NAP1L4-204:protein_coding:5
creatinine	2	15786517	A	"{""17.0"": 204.15, ""20.0"": 101277.3, ""21.0"": 134437.94, ""22.0"": 251163.09, ""23.0"": 164302.99, ""24.0"": 9494.52, ""25.0"": 243.46}"	0.3715756414327763	4.51e-36	+	1.0	1.0	1.0	intergenic	untranscribed
creatinine	2	148599967	A	"{""10.0"": 190848.26, ""11.0"": 186644.61, ""12.0"": 283617.13, ""13.0"": 0.0}"	0.28232005263874393	5.449999999999999e-34	-	0.937933	0.9937	0.9936	intergenic	untranscribed
cystatin_c	6	50833061	A	"{""13.0"": 295726.75, ""14.0"": 110936.9, ""15.0"": 111500.19, ""16.0"": 75557.0, ""17.0"": 65955.62, ""18.0"": 1646.59}"	0.38422388271511176	2.86e-15	-	1.0	NA	NA	intergenic	untranscribed
eosinophil_count	3	51119327	A	"{""18.0"": 94589.57, ""19.0"": 434455.02, ""20.0"": 141127.08, ""21.0"": 0.0}"	0.14114229865908834	1.7000000000000002e-27	-	1.0	0.9744	0.9743	intron:DOCK3:protein_coding	transcribed;DOCK3-201:protein_coding:1
eosinophil_count	10	26721459	AAAAT	"{""6.8"": 51.4, ""7.8"": 1155.36, ""8.8"": 1096.65, ""9.8"": 240097.22, ""10.8"": 24783.94, ""11.8"": 171451.24, ""12.8"": 7754.93, ""13.8"": 43223.64, ""14.8"": 105780.74, ""15.8"": 62503.25, ""16.8"": 9191.71, ""17.8"": 3320.5}"	0.3861247535801121	1.75e-39	-	1.0	NA	NA	intergenic	untranscribed
eosinophil_percent	8	130623382	AC	"{""10.5"": 0.0, ""11.5"": 0.0, ""12.5"": 50.0, ""13.5"": 2224.39, ""14.5"": 109593.36, ""15.5"": 326318.17, ""16.5"": 44780.09, ""17.5"": 58767.05, ""18.5"": 6531.25, ""19.5"": 3922.82, ""20.5"": 112042.84, ""21.5"": 5865.78, ""22.5"": 136.99}"	0.3459570327764054	3.02e-65	-	1.0	0.9697	0.9696	intron:CCDC26:lncRNA	transcribed;CCDC26-201:lncRNA:1,CCDC26-213:lncRNA:missing from gencode,CCDC26-243:lncRNA:missing from gencode
