chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	direction_of_association	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	FINEMAP_pcausal	SuSiE_pcausal	SuSiE_CS_pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_28888137_29719563	29090379	29090394	29090379	STR_20463	1	A	15.0,16.0,17.0,18.0	16.0	"{""15.0"": 37.19, ""16.0"": 410379.86, ""17.0"": 439237.91, ""18.0"": 125163.14}"	"{""15.0"": 4, ""16.0"": 408778, ""17.0"": 440953, ""18.0"": 125083}"	"{""[15.0, 16.0]"": 3, ""[15.0, 17.0]"": 1, ""[16.0, 16.0]"": 86411, ""[16.0, 17.0]"": 183906, ""[16.0, 18.0]"": 52047, ""[17.0, 17.0]"": 100402, ""[17.0, 18.0]"": 56242, ""[18.0, 18.0]"": 8397}"	"{""15.0"": 13.53, ""16.0"": 276580.22, ""17.0"": 296355.64, ""18.0"": 88342.61}"	"{""16.0"": 275478, ""17.0"": 297488, ""18.0"": 88326}"	"{""[16.0, 16.0]"": 57363, ""[16.0, 17.0]"": 124043, ""[16.0, 18.0]"": 36709, ""[17.0, 17.0]"": 66935, ""[17.0, 18.0]"": 39575, ""[18.0, 18.0]"": 6021}"	0.13361138498575517	0.6062521800896437	1.4326486380332806	0.6499515361326961	"{""15.0"": ""NaN"", ""16.0"": 1.0, ""17.0"": 1.0, ""18.0"": 1.0}"	4.99e-11	+	0.060472981841096285	0.05868467884506211	0.902312	NA	NA	False	NA	NA	False	NA	none	0:inside:YTHDF2:protein_coding	74073:downstream:SCARNA24:snoRNA,44514:downstream:GMEB1:protein_coding,0:inside:YTHDF2:protein_coding,48260:upstream:OPRD1:protein_coding	intron:YTHDF2:protein_coding	transcribed;YTHDF2-209:protein_coding:5,YTHDF2-201:protein_coding:1,YTHDF2-208:protein_coding:2,YTHDF2-206:processed_transcript:1
1	1_28888137_29719563	29216511	29216564	29216511	STR_20594	5	AAAAT	8.4,9.6,10.8	10.8	"{""8.4"": 539975.56, ""9.6"": 70903.35, ""10.8"": 363939.08}"	"{""8.4"": 541067, ""9.6"": 70606, ""10.8"": 363145}"	"{""[8.4, 8.4]"": 151067, ""[8.4, 9.6]"": 38996, ""[8.4, 10.8]"": 199937, ""[9.6, 9.6]"": 2889, ""[9.6, 10.8]"": 25832, ""[10.8, 10.8]"": 68688}"	"{""8.4"": 366153.39, ""9.6"": 44242.54, ""10.8"": 250896.07}"	"{""8.4"": 366917, ""9.6"": 44119, ""10.8"": 250256}"	"{""[8.4, 8.4]"": 101875, ""[8.4, 9.6]"": 24681, ""[8.4, 10.8]"": 138486, ""[9.6, 9.6]"": 1462, ""[9.6, 10.8]"": 16514, ""[10.8, 10.8]"": 47628}"	0.0669031834650956	0.544478851667279	1.2626323665558197	0.2236194489224558	"{""8.4"": 0.99, ""9.6"": 1.0, ""10.8"": 0.99}"	2.63e-09	+	0.02313993267788028	0.03731081439363222	0.278337	NA	NA	False	NA	NA	False	NA	none	0:inside:EPB41:protein_coding	12663:upstream:RP1-212P9.3:lncRNA,8164:upstream:Y_RNA:misc_RNA,92226:downstream:RP4-604A21.1:processed_pseudogene,95658:upstream:Y_RNA:misc_RNA,18732:downstream:OPRD1:protein_coding,18732:downstream:RP1-212P9.2:lincRNA,0:inside:EPB41:protein_coding	intron:EPB41:protein_coding	transcribed;EPB41-231:protein_coding:missing from gencode,EPB41-214:protein_coding:missing from gencode,EPB41-219:protein_coding:missing from gencode,EPB41-229:nonsense_mediated_decay:missing from gencode,EPB41-232:processed_transcript:missing from gencode,EPB41-227:protein_coding:missing from gencode,EPB41-209:processed_transcript:2,EPB41-206:protein_coding:1,EPB41-215:nonsense_mediated_decay:missing from gencode,EPB41-236:protein_coding:missing from gencode,EPB41-202:protein_coding:1
1	1_39426488_40214945	39588876	39588899	39588874	STR_27816	1	A	13.0,17.0,18.0,19.0,23.0,24.0,25.0,26.0,27.0,28.0	24.0	"{""13.0"": 557.26, ""17.0"": 2261.74, ""18.0"": 625129.63, ""19.0"": 38682.74, ""23.0"": 2972.74, ""24.0"": 19265.15, ""25.0"": 39306.6, ""26.0"": 170709.9, ""27.0"": 73941.82, ""28.0"": 2072.22}"	"{""13.0"": 19, ""17.0"": 941, ""18.0"": 630920, ""19.0"": 35527, ""23.0"": 2937, ""24.0"": 18605, ""25.0"": 37645, ""26.0"": 177325, ""27.0"": 70560, ""28.0"": 339}"	"{""[13.0, 18.0]"": 10, ""[13.0, 26.0]"": 3, ""[13.0, 27.0]"": 6, ""[17.0, 17.0]"": 3, ""[17.0, 18.0]"": 624, ""[17.0, 19.0]"": 26, ""[17.0, 24.0]"": 9, ""[17.0, 25.0]"": 44, ""[17.0, 26.0]"": 166, ""[17.0, 27.0]"": 66, ""[18.0, 18.0]"": 205482, ""[18.0, 19.0]"": 23266, ""[18.0, 23.0]"": 1041, ""[18.0, 24.0]"": 9279, ""[18.0, 25.0]"": 23919, ""[18.0, 26.0]"": 115600, ""[18.0, 27.0]"": 45991, ""[18.0, 28.0]"": 226, ""[19.0, 19.0]"": 653, ""[19.0, 23.0]"": 27, ""[19.0, 24.0]"": 384, ""[19.0, 25.0]"": 1358, ""[19.0, 26.0]"": 6599, ""[19.0, 27.0]"": 2549, ""[19.0, 28.0]"": 12, ""[23.0, 23.0]"": 142, ""[23.0, 24.0]"": 1076, ""[23.0, 25.0]"": 262, ""[23.0, 26.0]"": 184, ""[23.0, 27.0]"": 63, ""[24.0, 24.0]"": 1925, ""[24.0, 25.0]"": 1024, ""[24.0, 26.0]"": 2080, ""[24.0, 27.0]"": 899, ""[24.0, 28.0]"": 4, ""[25.0, 25.0]"": 758, ""[25.0, 26.0]"": 6762, ""[25.0, 27.0]"": 2744, ""[25.0, 28.0]"": 16, ""[26.0, 26.0]"": 16395, ""[26.0, 27.0]"": 13082, ""[26.0, 28.0]"": 59, ""[27.0, 27.0]"": 2569, ""[27.0, 28.0]"": 22}"	"{""13.0"": 343.29, ""17.0"": 1565.79, ""18.0"": 427874.8, ""19.0"": 27024.02, ""23.0"": 306.71, ""24.0"": 6239.91, ""25.0"": 26092.21, ""26.0"": 120533.76, ""27.0"": 49971.43, ""28.0"": 1395.48}"	"{""17.0"": 651, ""18.0"": 431832, ""19.0"": 24822, ""23.0"": 274, ""24.0"": 5763, ""25.0"": 24966, ""26.0"": 125187, ""27.0"": 47603, ""28.0"": 194}"	"{""[17.0, 17.0]"": 2, ""[17.0, 18.0]"": 429, ""[17.0, 19.0]"": 21, ""[17.0, 24.0]"": 3, ""[17.0, 25.0]"": 30, ""[17.0, 26.0]"": 118, ""[17.0, 27.0]"": 46, ""[18.0, 18.0]"": 140950, ""[18.0, 19.0]"": 16302, ""[18.0, 23.0]"": 174, ""[18.0, 24.0]"": 3762, ""[18.0, 25.0]"": 16201, ""[18.0, 26.0]"": 81812, ""[18.0, 27.0]"": 31117, ""[18.0, 28.0]"": 135, ""[19.0, 19.0]"": 451, ""[19.0, 23.0]"": 7, ""[19.0, 24.0]"": 212, ""[19.0, 25.0]"": 943, ""[19.0, 26.0]"": 4676, ""[19.0, 27.0]"": 1754, ""[19.0, 28.0]"": 5, ""[23.0, 24.0]"": 1, ""[23.0, 25.0]"": 18, ""[23.0, 26.0]"": 55, ""[23.0, 27.0]"": 19, ""[24.0, 24.0]"": 35, ""[24.0, 25.0]"": 204, ""[24.0, 26.0]"": 1106, ""[24.0, 27.0]"": 403, ""[24.0, 28.0]"": 2, ""[25.0, 25.0]"": 467, ""[25.0, 26.0]"": 4751, ""[25.0, 27.0]"": 1878, ""[25.0, 28.0]"": 7, ""[26.0, 26.0]"": 11786, ""[26.0, 27.0]"": 9065, ""[26.0, 28.0]"": 32, ""[27.0, 27.0]"": 1654, ""[27.0, 28.0]"": 13}"	0.17077082332220556	0.5296443072462695	1.5630972049299074	0.5397224211524667	"{""13.0"": ""NaN"", ""17.0"": 0.56, ""18.0"": 0.99, ""19.0"": 0.97, ""23.0"": 0.97, ""24.0"": 0.97, ""25.0"": 0.97, ""26.0"": 0.98, ""27.0"": 0.97, ""28.0"": 0.52}"	7.6e-17	+	0.015365382422338467	0.08111564088488447	0.0941258	NA	NA	False	NA	NA	False	NA	none	0:inside:MACF1:protein_coding	88568:downstream:NDUFS5:protein_coding,2161:upstream:RNU6-608P:snRNA,30937:downstream:RNA5SP44:rRNA_pseudogene,0:inside:MACF1:protein_coding	intron:MACF1:protein_coding	transcribed;MACF1-227:protein_coding:5,MACF1-211:retained_intron:3,MACF1-203:protein_coding:5,MACF1-232:protein_coding:5,MACF1-204:protein_coding:5
1	1_45716095_46734736	46105708	46105737	46105706	STR_32408	1	A	29.0,30.0,31.0	30.0	"{""29.0"": 432357.17, ""30.0"": 249957.45, ""31.0"": 292503.39}"	"{""29.0"": 433704, ""30.0"": 248503, ""31.0"": 292611}"	"{""[29.0, 29.0]"": 97920, ""[29.0, 30.0]"": 107199, ""[29.0, 31.0]"": 130665, ""[30.0, 30.0]"": 33659, ""[30.0, 31.0]"": 73986, ""[31.0, 31.0]"": 43980}"	"{""29.0"": 296742.0, ""30.0"": 164627.48, ""31.0"": 199922.56}"	"{""29.0"": 297610, ""30.0"": 163794, ""31.0"": 199888}"	"{""[29.0, 29.0]"": 66946, ""[29.0, 30.0]"": 73686, ""[29.0, 31.0]"": 90032, ""[30.0, 30.0]"": 20344, ""[30.0, 31.0]"": 49420, ""[31.0, 31.0]"": 30218}"	0.2489482256583642	0.6447453156170558	1.5388297759794392	0.8715409809014004	"{""29.0"": 0.99, ""30.0"": 0.99, ""31.0"": 1.0}"	1.96e-16	-	-0.05675628667207633	-0.06856084402708774	0.126548	NA	NA	False	NA	NA	False	NA	145:downstream:46105882:46106075:GPBP1L1:protein_coding,145:downstream:46105882:46106075:GPBP1L1:protein_coding	0:inside:GPBP1L1:protein_coding	59040:upstream:ENSG00000281133:pseudogene,58715:upstream:ENSG00000280836:pseudogene,47222:upstream:ENSG00000281112:pseudogene,34306:upstream:ENSG00000281825:pseudogene,5751:downstream:RPS15AP10:processed_pseudogene,10974:downstream:RP11-767N6.2:processed_pseudogene,48116:upstream:TMEM69:protein_coding,54619:downstream:RP11-767N6.7:lncRNA,69987:downstream:AKR1A1:protein_coding,21132:downstream:NASP:protein_coding,15979:upstream:CCDC17:protein_coding,54259:downstream:IPP:protein_coding,97304:upstream:PRDX1:protein_coding,0:inside:GPBP1L1:protein_coding	intron:GPBP1L1:protein_coding	transcribed;GPBP1L1-201:protein_coding:5,GPBP1L1-202:protein_coding:1
1	1_45716095_46734736	46131416	46131439	46131410	STR_32434	1	A	16.0,20.0,21.0,22.0,23.0,24.0,25.0	24.0	"{""16.0"": 1327.28, ""20.0"": 16784.49, ""21.0"": 276417.36, ""22.0"": 2422.46, ""23.0"": 224898.67, ""24.0"": 450204.75, ""25.0"": 2763.36}"	"{""16.0"": 1283, ""20.0"": 16724, ""21.0"": 276680, ""22.0"": 2406, ""23.0"": 225765, ""24.0"": 450383, ""25.0"": 1577}"	"{""[16.0, 16.0]"": 18, ""[16.0, 20.0]"": 9, ""[16.0, 21.0]"": 327, ""[16.0, 22.0]"": 11, ""[16.0, 23.0]"": 322, ""[16.0, 24.0]"": 578, ""[20.0, 20.0]"": 153, ""[20.0, 21.0]"": 4707, ""[20.0, 22.0]"": 36, ""[20.0, 23.0]"": 3950, ""[20.0, 24.0]"": 7679, ""[20.0, 25.0]"": 37, ""[21.0, 21.0]"": 39393, ""[21.0, 22.0]"": 674, ""[21.0, 23.0]"": 63776, ""[21.0, 24.0]"": 127920, ""[21.0, 25.0]"": 490, ""[22.0, 22.0]"": 7, ""[22.0, 23.0]"": 534, ""[22.0, 24.0]"": 1133, ""[22.0, 25.0]"": 4, ""[23.0, 23.0]"": 26391, ""[23.0, 24.0]"": 104036, ""[23.0, 25.0]"": 365, ""[24.0, 24.0]"": 104178, ""[24.0, 25.0]"": 681}"	"{""16.0"": 196.99, ""20.0"": 12035.63, ""21.0"": 187279.05, ""22.0"": 1313.14, ""23.0"": 154844.04, ""24.0"": 303799.46, ""25.0"": 1823.86}"	"{""16.0"": 182, ""20.0"": 12038, ""21.0"": 187382, ""22.0"": 1308, ""23.0"": 155404, ""24.0"": 303895, ""25.0"": 1083}"	"{""[16.0, 20.0]"": 3, ""[16.0, 21.0]"": 54, ""[16.0, 23.0]"": 50, ""[16.0, 24.0]"": 75, ""[20.0, 20.0]"": 111, ""[20.0, 21.0]"": 3400, ""[20.0, 22.0]"": 22, ""[20.0, 23.0]"": 2843, ""[20.0, 24.0]"": 5520, ""[20.0, 25.0]"": 28, ""[21.0, 21.0]"": 26522, ""[21.0, 22.0]"": 376, ""[21.0, 23.0]"": 43975, ""[21.0, 24.0]"": 86183, ""[21.0, 25.0]"": 350, ""[22.0, 23.0]"": 300, ""[22.0, 24.0]"": 608, ""[22.0, 25.0]"": 2, ""[23.0, 23.0]"": 18360, ""[23.0, 24.0]"": 71257, ""[23.0, 25.0]"": 259, ""[24.0, 24.0]"": 69904, ""[24.0, 25.0]"": 444}"	0.2573955472661955	0.6529614651327751	1.6633595760267088	0.5836951919488141	"{""16.0"": 0.99, ""20.0"": 0.93, ""21.0"": 0.99, ""22.0"": 1.0, ""23.0"": 1.0, ""24.0"": 0.99, ""25.0"": 0.8}"	7.39e-17	+	0.03728271668856402	0.06990751718803395	0.362929	NA	NA	False	NA	NA	False	NA	none	0:inside:GPBP1L1:protein_coding	84748:upstream:ENSG00000281133:pseudogene,84423:upstream:ENSG00000280836:pseudogene,72930:upstream:ENSG00000281112:pseudogene,60014:upstream:ENSG00000281825:pseudogene,19547:upstream:RPS15AP10:processed_pseudogene,13918:upstream:RP11-767N6.2:processed_pseudogene,22414:upstream:TMEM69:protein_coding,28917:downstream:RP11-767N6.7:lncRNA,95695:downstream:AKR1A1:protein_coding,46840:downstream:NASP:protein_coding,41687:upstream:CCDC17:protein_coding,28557:downstream:IPP:protein_coding,0:inside:GPBP1L1:protein_coding	intron:GPBP1L1:protein_coding	transcribed;GPBP1L1-201:protein_coding:5,GPBP1L1-202:protein_coding:1,GPBP1L1-210:processed_transcript:2,GPBP1L1-208:processed_transcript:2,GPBP1L1-207:processed_transcript:2,GPBP1L1-211:processed_transcript:2,GPBP1L1-203:processed_transcript:2
1	1_45716095_46734736	46351986	46352020	46351986	STR_32672	2	AC	12.5,13.5,14.5,15.5,16.0,16.5,17.5,18.5,19.5,20.5	17.5	"{""12.5"": 4780.82, ""13.5"": 10221.81, ""14.5"": 450774.84, ""15.5"": 226018.84, ""16.0"": 0.0, ""16.5"": 12064.37, ""17.5"": 259636.72, ""18.5"": 10257.82, ""19.5"": 760.49, ""20.5"": 344.54}"	"{""12.5"": 3769, ""13.5"": 7451, ""14.5"": 454886, ""15.5"": 225387, ""16.5"": 11862, ""17.5"": 262101, ""18.5"": 8383, ""19.5"": 681, ""20.5"": 298}"	"{""[12.5, 12.5]"": 112, ""[12.5, 13.5]"": 136, ""[12.5, 14.5]"": 1486, ""[12.5, 15.5]"": 688, ""[12.5, 16.5]"": 221, ""[12.5, 17.5]"": 722, ""[12.5, 18.5]"": 194, ""[12.5, 19.5]"": 72, ""[12.5, 20.5]"": 26, ""[13.5, 13.5]"": 61, ""[13.5, 14.5]"": 3366, ""[13.5, 15.5]"": 1645, ""[13.5, 16.5]"": 175, ""[13.5, 17.5]"": 1816, ""[13.5, 18.5]"": 139, ""[13.5, 19.5]"": 39, ""[13.5, 20.5]"": 13, ""[14.5, 14.5]"": 106199, ""[14.5, 15.5]"": 105613, ""[14.5, 16.5]"": 5191, ""[14.5, 17.5]"": 122733, ""[14.5, 18.5]"": 3763, ""[14.5, 19.5]"": 237, ""[14.5, 20.5]"": 99, ""[15.5, 15.5]"": 26185, ""[15.5, 16.5]"": 2711, ""[15.5, 17.5]"": 60419, ""[15.5, 18.5]"": 1769, ""[15.5, 19.5]"": 118, ""[15.5, 20.5]"": 54, ""[16.5, 16.5]"": 157, ""[16.5, 17.5]"": 2912, ""[16.5, 18.5]"": 252, ""[16.5, 19.5]"": 58, ""[16.5, 20.5]"": 28, ""[17.5, 17.5]"": 35678, ""[17.5, 18.5]"": 2011, ""[17.5, 19.5]"": 79, ""[17.5, 20.5]"": 53, ""[18.5, 18.5]"": 93, ""[18.5, 19.5]"": 54, ""[18.5, 20.5]"": 15, ""[19.5, 19.5]"": 9, ""[19.5, 20.5]"": 6, ""[20.5, 20.5]"": 2}"	"{""12.5"": 1754.98, ""13.5"": 6039.27, ""14.5"": 305829.82, ""15.5"": 157945.14, ""16.0"": 0.0, ""16.5"": 6715.69, ""17.5"": 177145.87, ""18.5"": 5797.21, ""19.5"": 58.05, ""20.5"": 32.39}"	"{""12.5"": 1115, ""13.5"": 4259, ""14.5"": 308427, ""15.5"": 157597, ""16.5"": 6591, ""17.5"": 178712, ""18.5"": 4548, ""19.5"": 25, ""20.5"": 18}"	"{""[12.5, 12.5]"": 3, ""[12.5, 13.5]"": 9, ""[12.5, 14.5]"": 537, ""[12.5, 15.5]"": 241, ""[12.5, 16.5]"": 9, ""[12.5, 17.5]"": 303, ""[12.5, 18.5]"": 10, ""[13.5, 13.5]"": 18, ""[13.5, 14.5]"": 2023, ""[13.5, 15.5]"": 992, ""[13.5, 16.5]"": 46, ""[13.5, 17.5]"": 1118, ""[13.5, 18.5]"": 35, ""[14.5, 14.5]"": 71764, ""[14.5, 15.5]"": 73846, ""[14.5, 16.5]"": 3010, ""[14.5, 17.5]"": 83314, ""[14.5, 18.5]"": 2145, ""[14.5, 19.5]"": 13, ""[14.5, 20.5]"": 11, ""[15.5, 15.5]"": 18658, ""[15.5, 16.5]"": 1671, ""[15.5, 17.5]"": 42472, ""[15.5, 18.5]"": 1050, ""[15.5, 19.5]"": 5, ""[15.5, 20.5]"": 4, ""[16.5, 16.5]"": 24, ""[16.5, 17.5]"": 1758, ""[16.5, 18.5]"": 49, ""[17.5, 17.5]"": 24253, ""[17.5, 18.5]"": 1231, ""[17.5, 19.5]"": 7, ""[17.5, 20.5]"": 3, ""[18.5, 18.5]"": 14}"	0.26967754807132094	0.6524513018372928	1.6954792196918602	0.5085990625027448	"{""12.5"": 0.79, ""13.5"": 0.91, ""14.5"": 0.99, ""15.5"": 0.99, ""16.0"": ""NaN"", ""16.5"": 0.84, ""17.5"": 0.99, ""18.5"": 0.84, ""19.5"": 0.6, ""20.5"": 0.75}"	4.7e-16	-	-0.037096944355040906	-0.06797844055150433	0.0504188	NA	NA	False	NA	NA	False	NA	none	0:inside:MAST2:protein_coding	38720:upstream:TMA16P2:processed_pseudogene,0:inside:MAST2:protein_coding	intron:MAST2:protein_coding	transcribed;MAST2-205:processed_transcript:3,MAST2-201:protein_coding:1
1	1_50701624_52117336	51481467	51481477	51481467	STR_35363	1	A	10.0,11.0,12.0	11.0	"{""10.0"": 91262.27, ""11.0"": 868324.88, ""12.0"": 15230.85}"	"{""10.0"": 91053, ""11.0"": 868530, ""12.0"": 15235}"	"{""[10.0, 10.0]"": 4604, ""[10.0, 11.0]"": 80458, ""[10.0, 12.0]"": 1387, ""[11.0, 11.0]"": 387238, ""[11.0, 12.0]"": 13596, ""[12.0, 12.0]"": 126}"	"{""10.0"": 59863.89, ""11.0"": 590618.29, ""12.0"": 10809.82}"	"{""10.0"": 59779, ""11.0"": 590693, ""12.0"": 10820}"	"{""[10.0, 10.0]"": 2754, ""[10.0, 11.0]"": 53314, ""[10.0, 12.0]"": 957, ""[11.0, 11.0]"": 263845, ""[11.0, 12.0]"": 9689, ""[12.0, 12.0]"": 87}"	0.016346515608838454	0.1936814791704382	0.556033266413761	0.726447600386493	"{""10.0"": 0.99, ""11.0"": 0.99, ""12.0"": 1.0}"	1.2500000000000001e-21	+	0.2027410839227014	0.09128736675486632	0.261385	NA	NA	False	NA	NA	False	NA	none	41161:downstream:CDKN2C:protein_coding	44032:upstream:MIR4421:miRNA,91417:upstream:Y_RNA:misc_RNA,41161:downstream:CDKN2C:protein_coding,86416:upstream:C1orf185:protein_coding,55528:upstream:FAF1:protein_coding	intergenic	untranscribed
1	1_77945458_78707702	78485523	78485546	78485523	STR_50121	1	A	19.0,23.0,24.0,25.0	24.0	"{""19.0"": 0.0, ""23.0"": 828.16, ""24.0"": 773332.41, ""25.0"": 200657.41}"	"{""23.0"": 564, ""24.0"": 773350, ""25.0"": 200904}"	"{""[23.0, 23.0]"": 4, ""[23.0, 24.0]"": 473, ""[23.0, 25.0]"": 83, ""[24.0, 24.0]"": 307307, ""[24.0, 25.0]"": 158263, ""[25.0, 25.0]"": 21279}"	"{""19.0"": 0.0, ""23.0"": 226.98, ""24.0"": 521018.27, ""25.0"": 140046.75}"	"{""23.0"": 60, ""24.0"": 521013, ""25.0"": 140219}"	"{""[23.0, 24.0]"": 48, ""[23.0, 25.0]"": 12, ""[24.0, 24.0]"": 205231, ""[24.0, 25.0]"": 110503, ""[25.0, 25.0]"": 14852}"	0.0003432371781300847	0.3342986849220077	0.7466782328592546	0.916324675554302	"{""19.0"": ""NaN"", ""23.0"": 0.5, ""24.0"": 1.0, ""25.0"": 1.0}"	1.69e-09	-	-0.07028034805853167	-0.04066748509944777	0.112108	NA	NA	False	NA	NA	False	NA	none	0:inside:GIPC2:protein_coding	15285:upstream:RP11-386I14.4:lncRNA,2703:downstream:RP11-386I14.5:lncRNA,23521:downstream:RP11-386I14.2:processed_pseudogene,69126:downstream:RNU6-1102P:snRNA,71637:upstream:RP11-386I14.3:processed_pseudogene,74945:downstream:RNA5SP22:rRNA_pseudogene,40729:upstream:FUBP1:protein_coding,1875:downstream:DNAJB4:protein_coding,75943:downstream:NEXN:protein_coding,0:inside:GIPC2:protein_coding	intron:GIPC2:protein_coding	transcribed;GIPC2-202:processed_transcript:3
1	1_154270839_154553683	154428683	154428698	154428683	STR_75921	1	A	15.0,16.0,17.0	16.0	"{""15.0"": 0.0, ""16.0"": 583911.41, ""17.0"": 390906.62}"	"{""16.0"": 583566, ""17.0"": 391252}"	"{""[16.0, 16.0]"": 175624, ""[16.0, 17.0]"": 232318, ""[17.0, 17.0]"": 79467}"	"{""15.0"": 0.0, ""16.0"": 390477.93, ""17.0"": 270814.07}"	"{""16.0"": 390211, ""17.0"": 271081}"	"{""[16.0, 16.0]"": 115314, ""[16.0, 17.0]"": 159583, ""[17.0, 17.0]"": 55749}"	0.0	0.4837734665188894	0.9764617670352904	0.1924882099367444	"{""15.0"": ""NaN"", ""16.0"": 1.0, ""17.0"": 1.0}"	4.52e-10	-	-0.05830385802359572	-0.040546454164937906	0.050349	0.1258	0.0516	False	NA	NA	False	NA	none	0:inside:IL6R:protein_coding	76934:upstream:RP11-350G8.4:unprocessed_pseudogene,77118:upstream:RPSAP17:processed_pseudogene,49643:upstream:IL6R-AS1:lncRNA,41070:upstream:PSMD8P1:processed_pseudogene,23790:upstream:RP11-350G8.9:lncRNA,92355:downstream:UBE2Q1:protein_coding,97387:upstream:UBE2Q1-AS1:lncRNA,13550:downstream:SHE:protein_coding,45997:upstream:TDRD10:protein_coding,0:inside:IL6R:protein_coding	intron:IL6R:protein_coding	transcribed;IL6R-205:processed_transcript:4,IL6R-204:retained_intron:2,IL6R-201:protein_coding:1,IL6R-202:protein_coding:1
1	1_203524185_203822870	203656380	203656443	203656378	STR_103235	4	AAAG	13.75,16.0	16.0	"{""13.75"": 869307.6, ""16.0"": 105510.37}"	"{""13.75"": 873186, ""16.0"": 101632}"	"{""[13.75, 13.75]"": 391936, ""[13.75, 16.0]"": 89314, ""[16.0, 16.0]"": 6159}"	"{""13.75"": 593768.59, ""16.0"": 67523.41}"	"{""13.75"": 596325, ""16.0"": 64967}"	"{""[13.75, 13.75]"": 268979, ""[13.75, 16.0]"": 58367, ""[16.0, 16.0]"": 3300}"	0.0	0.1771818726670275	0.4633996636898044	0.3229747337267806	"{""13.75"": 0.99, ""16.0"": 0.99}"	9.07e-14	-	-0.048460977317795306	-0.046690896056933044	0.0139277	0.0744	0.0137	False	NA	NA	False	NA	none	0:inside:ATP2B4:protein_coding	29492:upstream:NSA2P1:processed_pseudogene,42266:upstream:SNORA77:snoRNA,77862:upstream:LAX1:protein_coding,0:inside:ATP2B4:protein_coding	intron:ATP2B4:protein_coding	transcribed;ATP2B4-204:protein_coding:1,ATP2B4-203:protein_coding:1,ATP2B4-201:protein_coding:1
