chrom	start	fraction_concordant_seq	fraction_concordant_len	fraction_concordant_len_sum	balanced_accuracy	len_sum_frequencies	len_sum_accuracies	mean_absolute_difference	r	dosage_r	numcalls	n_missing_only_vcf1	n_missing_only_vcf2	n_missing_both
1	3086622	0.9803705266443087	0.9806730843482413	0.9806730843482413	0.737945425278171	{39.0: 0.00015595757953836556, 40.0: 0.18980037429819088, 41.0: 0.4432314410480349, 42.0: 0.26247660636306924, 43.0: 0.00031191515907673113, 44.0: 0.044291952588895823, 45.0: 0.05723643169058016, 48.0: 0.002495321272613849}	{39.0: 0.0, 40.0: 0.9753406935278863, 41.0: 0.9765381890229153, 42.0: 0.9908916543653447, 43.0: 0.0, 44.0: 0.9759933041854643, 45.0: 0.9947432848023459, 48.0: 0.9900562763214111}	0.03070673489589625	0.9792541551309034	0.9903174251138808	6412	16	0	0
1	11868271	0.5797597408933135	0.5799938162664844	0.5900853852582069	0.4221485122898398	{76.0: 0.00017528483786152498, 80.0: 0.00017528483786152498, 82.0: 0.011393514460999123, 84.0: 0.00017528483786152498, 86.0: 0.00017528483786152498, 90.0: 0.0017528483786152498, 92.0: 0.005609114811568799, 94.0: 0.09027169149868536, 96.0: 0.017879053461875547, 98.0: 0.030499561787905347, 100.0: 0.006134969325153374, 102.0: 0.021209465381244522, 104.0: 0.026643295354951798, 106.0: 0.25977212971078, 108.0: 0.08851884312007012, 110.0: 0.18159509202453988, 112.0: 0.06012269938650307, 114.0: 0.09833479404031552, 116.0: 0.04522348816827344, 118.0: 0.03137598597721297, 120.0: 0.012445223488168273, 122.0: 0.006485539000876424, 124.0: 0.00245398773006135, 126.0: 0.0008764241893076249, 128.0: 0.00017528483786152498, 130.0: 0.00035056967572304995, 132.0: 0.00017528483786152498}	{76.0: 0.0, 80.0: 1.0, 82.0: 0.9178030622751416, 84.0: 0.9900000095367432, 86.0: 0.0, 90.0: 0.13935999777168034, 92.0: 0.32809688160364203, 94.0: 0.8419406000705599, 96.0: 0.4040960739749055, 98.0: 0.6722344764495427, 100.0: 0.2779971331357956, 102.0: 0.44429339215149555, 104.0: 0.27053223899565637, 106.0: 0.7508637952346822, 108.0: 0.35983226502885907, 110.0: 0.6127473968971708, 112.0: 0.2682830995877352, 114.0: 0.5375377872722006, 116.0: 0.5073969097304439, 118.0: 0.5039692817609653, 120.0: 0.4498859211428642, 122.0: 0.2812837876027098, 124.0: 0.6663357189723423, 126.0: 0.16222000308334827, 128.0: 0.011299999547190964, 130.0: 0.0, 132.0: 0.0}	1.3250471479775583	0.9443918869232608	0.9616450575477391	5705	723	0	0
1	21822677	0.6903234219251103	0.6969821364941218	0.7004237049733972	0.3510049915270602	{84.0: 0.0004714757190004715, 86.0: 0.005343391482005343, 88.0: 0.001885902876001886, 90.0: 0.23652365236523654, 92.0: 0.023888103096023888, 94.0: 0.008172245796008172, 96.0: 0.012572685840012573, 98.0: 0.17664623605217664, 100.0: 0.157001414427157, 102.0: 0.04871915763004872, 104.0: 0.031117397454031116, 106.0: 0.06097752632406098, 108.0: 0.09445230237309445, 110.0: 0.04117554612604118, 112.0: 0.026559798837026558, 114.0: 0.0176017601760176, 116.0: 0.024045261669024046, 118.0: 0.01775891874901776, 120.0: 0.006129184347006129, 122.0: 0.0031431714600031434, 124.0: 0.0022002200220022, 126.0: 0.001885902876001886, 128.0: 0.0003143171460003143, 130.0: 0.0003143171460003143, 132.0: 0.0004714757190004715, 134.0: 0.0004714757190004715, 138.0: 0.00015715857300015716}	{84.0: 0.0, 86.0: 0.17290882608058916, 88.0: 0.006141666943828265, 90.0: 0.917139894208448, 92.0: 0.11872828523677238, 94.0: 0.11294231202023533, 96.0: 0.4792224744687701, 98.0: 0.7969846047025096, 100.0: 0.756887704691993, 102.0: 0.5988400204571888, 104.0: 0.49516364353717157, 106.0: 0.6903910085030567, 108.0: 0.5975166468492891, 110.0: 0.6003881925009394, 112.0: 0.5449911320083307, 114.0: 0.47537143147617045, 116.0: 0.43727190874127386, 118.0: 0.4424982473065029, 120.0: 0.2913948660281723, 122.0: 0.35056500397477064, 124.0: 0.3289785620862468, 126.0: 0.262808339408366, 128.0: 0.0, 130.0: 0.0, 132.0: 0.0, 134.0: 0.0, 138.0: 0.0}	1.6434887968687095	0.8763155515091183	0.9366978401444513	6363	65	0	0
1	21826946	0.9432242245449708	0.9432242245449708	0.9432408521440069	0.5872740459982654	{27.0: 0.0006250976715111736, 28.0: 0.7769964056883888, 29.0: 0.18409126426004063, 30.0: 0.03484919518674793, 31.0: 0.0026566651039224877, 32.0: 0.000781372089388967}	{27.0: 0.0, 28.0: 0.9822549244519309, 29.0: 0.8247724704710048, 30.0: 0.7540497886760352, 31.0: 0.6232470764833339, 32.0: 0.33932001590728755}	0.06845006979398315	0.83488296887097	0.8922925481738189	6399	29	0	0
1	21935885	0.9502624661619187	0.9502624661619187	0.9502624661619187	0.7098791916886564	{26.0: 0.13681747269890795, 27.0: 0.4720748829953198, 28.0: 0.38954758190327615, 29.0: 0.0015600624024961}	{26.0: 0.9256583445428307, 27.0: 0.9460787272027843, 28.0: 0.9677796950090107, 29.0: 0.0}	0.05003054521408039	0.9455774057659556	0.9671013831592639	6410	18	0	0
1	22015711	0.9549805687633952	0.9549805687633952	0.9549805687633952	0.46133328670985135	{19.0: 0.0001567152483936687, 21.0: 0.0001567152483936687, 22.0: 0.613070051716032, 23.0: 0.33207961134618397, 24.0: 0.05422347594420937, 25.0: 0.0003134304967873374}	{19.0: 0.0, 21.0: 0.0, 22.0: 0.9834704930248435, 23.0: 0.9187520627088849, 24.0: 0.8657771645253793, 25.0: 0.0}	0.0462645974013529	0.9308192524021399	0.9549191960884218	6381	47	0	0
1	23747997	0.9927834091079455	0.9927834091079455	0.9927834091079455	0.7429916511897787	{21.0: 0.00015578750584203146, 22.0: 0.5332606324972737, 23.0: 0.39601183985044397, 24.0: 0.07057174014644026}	{21.0: 0.0, 22.0: 0.9956269371485174, 23.0: 0.9906002017665717, 24.0: 0.9857394658440259}	0.007219846944620217	0.9907602392794865	0.9940128175716997	6419	9	0	0
1	23817932	0.9628325017081276	0.9636677319700134	0.9636921234957168	0.6602933203076561	{25.0: 0.0005253020486779899, 26.0: 0.0003502013657853266, 27.0: 0.001225704780248643, 28.0: 0.5412362108212222, 29.0: 0.25389599019436176, 30.0: 0.1665207494309228, 31.0: 0.027841008579933463, 32.0: 0.008404832778847838}	{25.0: 0.0, 26.0: 0.0, 27.0: 0.7142857142857143, 28.0: 0.9833229541850214, 29.0: 0.9732380634160904, 30.0: 0.9144282863831851, 31.0: 0.8731402501247167, 32.0: 0.823931294066521}	0.044734797991014125	0.9618340062921564	0.9777727794227858	5711	717	0	0
1	23818460	0.9247964349933674	0.9250150136086218	0.925022818262242	0.4777626881834455	{51.0: 0.00016225864027259452, 53.0: 0.00016225864027259452, 55.0: 0.0022716209638163234, 56.0: 0.0008112932013629726, 58.0: 0.0038942073665422685, 60.0: 0.09362323543728704, 61.0: 0.016550381307804642, 62.0: 0.6470874574071069, 63.0: 0.21450592244036995, 64.0: 0.0207691059548921, 65.0: 0.00016225864027259452}	{51.0: 0.0, 53.0: 0.03999999910593033, 55.0: 0.011171428436812545, 56.0: 0.0019999999029096218, 58.0: 0.9891666571299234, 60.0: 0.976002949569213, 61.0: 0.8057745312358818, 62.0: 0.962770885276938, 63.0: 0.8409781401280433, 64.0: 0.6275249792322484, 65.0: 0.0}	0.13117735376781325	0.7224772060421574	0.8519851298827605	6163	265	0	0
1	26844613	0.9580679457011274	0.9580679457011274	0.95810153828568	0.4628057164596389	{39.0: 0.0006306495690561278, 41.0: 0.00021021652301870928, 45.0: 0.00021021652301870928, 46.0: 0.0035736808913180576, 47.0: 0.07778011351692243, 48.0: 0.521336977086399, 49.0: 0.34790834559596384, 50.0: 0.04708850115619088, 51.0: 0.0010510826150935463, 52.0: 0.00021021652301870928}	{39.0: 0.0, 41.0: 0.0, 45.0: 0.009999999776482582, 46.0: 0.8794117534861845, 47.0: 0.8905227247323537, 48.0: 0.9712910862565789, 49.0: 0.9671722146636368, 50.0: 0.9096593856811523, 51.0: 0.0, 52.0: 0.0}	0.05535306081977077	0.875712780460062	0.9069225463752396	4757	1671	0	0
