phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	relation_to_gene	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
alanine_aminotransferase	1	27247247	27247280	1_26808591_27493126	A	{33.0: 0.00%, 34.0: 84.25%, 35.0: 7.76%, 36.0: 5.53%, 37.0: 2.45%}	1.05e-12	+	intron:NUDC:protein_coding	not	0.0	0.0										0.46, 0.491, 0.23, 0.569, 0.452	NA, NA, NA, NA, NA	{33.0: 0.04%, 34.0: 77.33%, 35.0: 16.39%, 36.0: 5.88%, 37.0: 0.36%}	{33.0: 0.12%, 34.0: 88.45%, 35.0: 7.38%, 36.0: 3.44%, 37.0: 0.61%}	{33.0: 0.81%, 34.0: 93.79%, 35.0: 4.88%, 36.0: 0.44%, 37.0: 0.08%}	{33.0: 0.00%, 34.0: 83.50%, 35.0: 8.21%, 36.0: 5.88%, 37.0: 2.41%}	{33.0: 0.01%, 34.0: 84.55%, 35.0: 8.11%, 36.0: 5.06%, 37.0: 2.27%}
alanine_aminotransferase	3	135916825	135916841	3_135477459_136877590	A	{15.0: 0.11%, 16.0: 33.80%, 17.0: 42.18%, 18.0: 9.25%, 19.0: 14.61%, 20.0: 0.04%, 23.0: 0.00%}	3.6e-33	-	intergenic	not	0.0	0.0205688	0.0	0.0231428	0.0216173	0.019004	0.0164848	0.0205688	0.0	0.0199513	0.0702292	0.441, 0.045, 0.342, 0.00228, 0.298	NA, -, NA, -, NA	{15.0: 2.53%, 16.0: 41.28%, 17.0: 26.67%, 18.0: 17.23%, 19.0: 8.56%, 20.0: 0.61%, 23.0: 3.10%}	{15.0: 0.02%, 16.0: 34.35%, 17.0: 41.59%, 18.0: 10.05%, 19.0: 13.96%, 20.0: 0.03%, 23.0: 0.00%}	{15.0: 0.06%, 16.0: 0.83%, 17.0: 77.01%, 18.0: 21.13%, 19.0: 0.98%, 20.0: 0.00%, 23.0: 0.00%}	{15.0: 0.10%, 16.0: 34.67%, 17.0: 40.72%, 18.0: 10.65%, 19.0: 13.84%, 20.0: 0.03%, 23.0: 0.00%}	{15.0: 0.18%, 16.0: 32.40%, 17.0: 43.44%, 18.0: 8.94%, 19.0: 14.95%, 20.0: 0.08%, 23.0: 0.02%}
alanine_aminotransferase	20	32971954	32971973	20_31841698_33965199	A	{19.0: 30.17%, 20.0: 25.66%, 21.0: 43.95%, 22.0: 0.02%, 23.0: 0.20%}	5.0e-15	+	multigene;exon_other:Y_RNA:misc_RNA;intron:ITCH:protein_coding	not	0.0	0.00941423										0.965, 0.24, 0.266, 0.786, 0.0505	NA, NA, NA, NA, NA	{19.0: 6.47%, 20.0: 76.01%, 21.0: 17.36%, 22.0: 0.16%, 23.0: 0.01%}	{19.0: 18.09%, 20.0: 43.15%, 21.0: 38.70%, 22.0: 0.04%, 23.0: 0.01%}	{19.0: 40.69%, 20.0: 37.92%, 21.0: 21.37%, 22.0: 0.01%}	{19.0: 29.87%, 20.0: 28.78%, 21.0: 40.89%, 22.0: 0.01%, 23.0: 0.45%}	{19.0: 31.02%, 20.0: 23.54%, 21.0: 45.21%, 22.0: 0.03%, 23.0: 0.20%}
albumin	2	27673819	27673833	2_26812669_28722305	A	{14.0: 5.15%, 15.0: 56.88%, 16.0: 37.52%, 17.0: 0.07%, 19.0: 0.38%}	2.11e-19	-	intron:IFT172:protein_coding	not	0.0	0.0										0.653, 0.136, 0.0204, 0.267, 0.0297	NA, NA, -, NA, -	{14.0: 14.83%, 15.0: 16.04%, 16.0: 45.99%, 17.0: 23.10%, 19.0: 0.04%}	{14.0: 5.61%, 15.0: 55.33%, 16.0: 38.93%, 17.0: 0.13%}	{14.0: 0.08%, 15.0: 83.38%, 16.0: 16.54%, 17.0: 0.00%}	{14.0: 5.91%, 15.0: 57.97%, 16.0: 35.87%, 17.0: 0.04%, 19.0: 0.22%}	{14.0: 5.21%, 15.0: 59.19%, 16.0: 35.00%, 17.0: 0.25%, 19.0: 0.36%}
albumin	5	127349899	127349909	5_127220966_127687880	A	{11.0: 73.24%, 12.0: 26.51%, 13.0: 0.25%}	4.74e-13	-	intron:LINC01184:lncRNA	not	0.0	0.0252844										0.0673, 0.222, 0.922, 0.441, 0.101	NA, NA, NA, NA, NA	{11.0: 96.57%, 12.0: 3.41%, 13.0: 0.02%}	{11.0: 68.46%, 12.0: 31.27%, 13.0: 0.26%}	{11.0: 59.11%, 12.0: 40.89%, 13.0: 0.00%}	{11.0: 72.23%, 12.0: 27.61%, 13.0: 0.16%}	{11.0: 74.27%, 12.0: 25.53%, 13.0: 0.20%}
albumin	11	119077000	119077033	11_118375744_119317956	CCG	{5.33: 0.19%, 7.33: 0.33%, 8.33: 0.09%, 10.33: 0.04%, 11.33: 71.49%, 12.33: 9.11%, 13.33: 6.78%, 14.33: 6.98%, 15.33: 0.25%, 16.33: 0.11%, 17.33: 3.04%, 18.33: 0.31%, 19.33: 0.05%, 20.33: 0.00%, 21.33: 0.02%, 22.33: 0.04%, 23.33: 0.21%, 24.33: 0.24%, 25.33: 0.36%, 26.33: 0.01%, 30.33: 0.35%}	1.14e-11	+	five_prime_UTR:CBL:protein_coding	not	0.0	0.0										0.42, 0.0211, 0.219, 0.922, 0.33	NA, +, NA, NA, NA	{5.33: 0.02%, 7.33: 0.01%, 8.33: 15.39%, 10.33: 5.27%, 11.33: 62.14%, 12.33: 11.27%, 13.33: 4.37%, 14.33: 0.95%, 15.33: 0.08%, 16.33: 0.01%, 17.33: 0.21%, 18.33: 0.07%, 19.33: 0.01%, 21.33: 0.07%, 22.33: 0.00%, 23.33: 0.03%, 24.33: 0.06%, 25.33: 0.04%, 26.33: 0.01%, 30.33: 0.02%}	{5.33: 0.06%, 7.33: 0.06%, 8.33: 0.05%, 10.33: 0.05%, 11.33: 59.99%, 12.33: 6.63%, 13.33: 2.15%, 14.33: 23.55%, 15.33: 1.34%, 16.33: 0.02%, 17.33: 1.28%, 18.33: 0.99%, 19.33: 0.09%, 20.33: 0.00%, 21.33: 1.93%, 22.33: 0.04%, 23.33: 0.02%, 24.33: 1.53%, 25.33: 0.16%, 26.33: 0.01%, 30.33: 0.04%}	{5.33: 0.02%, 7.33: 0.00%, 8.33: 0.07%, 10.33: 0.06%, 11.33: 74.17%, 12.33: 2.75%, 13.33: 2.08%, 14.33: 6.35%, 15.33: 11.55%, 16.33: 0.00%, 17.33: 0.20%, 18.33: 1.88%, 19.33: 0.01%, 21.33: 0.09%, 22.33: 0.02%, 23.33: 0.00%, 24.33: 0.68%, 25.33: 0.02%, 26.33: 0.01%, 30.33: 0.03%}	{5.33: 0.11%, 7.33: 1.08%, 8.33: 0.06%, 10.33: 0.04%, 11.33: 69.16%, 12.33: 8.72%, 13.33: 7.61%, 14.33: 7.17%, 15.33: 0.23%, 16.33: 0.10%, 17.33: 3.86%, 18.33: 0.27%, 19.33: 0.05%, 20.33: 0.00%, 21.33: 0.01%, 22.33: 0.03%, 23.33: 0.23%, 24.33: 0.28%, 25.33: 0.42%, 26.33: 0.01%, 30.33: 0.57%}	{5.33: 0.19%, 7.33: 0.24%, 8.33: 0.28%, 10.33: 0.07%, 11.33: 72.41%, 12.33: 9.68%, 13.33: 5.70%, 14.33: 6.32%, 15.33: 0.45%, 16.33: 0.12%, 17.33: 2.68%, 18.33: 0.43%, 19.33: 0.05%, 20.33: 0.01%, 21.33: 0.04%, 22.33: 0.12%, 23.33: 0.19%, 24.33: 0.29%, 25.33: 0.34%, 26.33: 0.02%, 30.33: 0.36%}
albumin	17	44084292	44084364	17_42742429_44990603	AAAAT	{11.6: 22.89%, 12.6: 0.71%, 12.8: 0.01%, 13.6: 18.60%, 14.6: 57.63%, 15.6: 0.15%, 17.6: 0.00%}	9.29e-14	+	intron:MAPT:protein_coding	not	0.0	0.0										0.312, 0.991, 0.0314, 0.00306, 0.0184	NA, NA, +, +, +	{11.6: 2.24%, 12.6: 5.68%, 12.8: 1.81%, 13.6: 18.42%, 14.6: 67.38%, 15.6: 3.88%, 17.6: 0.59%}	{11.6: 8.30%, 12.6: 0.62%, 12.8: 0.01%, 13.6: 15.36%, 14.6: 75.63%, 15.6: 0.08%, 17.6: 0.00%}	{11.6: 0.52%, 12.6: 0.15%, 12.8: 0.02%, 13.6: 27.62%, 14.6: 70.03%, 15.6: 1.66%, 17.6: 0.00%}	{11.6: 21.02%, 12.6: 0.72%, 12.8: 0.01%, 13.6: 19.77%, 14.6: 58.35%, 15.6: 0.13%, 17.6: 0.00%}	{11.6: 21.52%, 12.6: 0.79%, 12.8: 0.02%, 13.6: 16.54%, 14.6: 60.93%, 15.6: 0.21%, 17.6: 0.00%}
alkaline_phosphatase	1	93858126	93858136	1_92816357_94132922	A	{10.0: 18.37%, 11.0: 18.47%, 12.0: 63.10%, 13.0: 0.06%}	4.61e-12	-	intergenic	not	0.027318282168019	0.0509572										0.671, 0.113, 0.758, 0.786, 0.0139	NA, NA, NA, NA, -	{10.0: 19.92%, 11.0: 60.01%, 12.0: 20.07%, 13.0: 0.00%}	{10.0: 30.49%, 11.0: 5.03%, 12.0: 64.34%, 13.0: 0.14%}	{10.0: 29.14%, 11.0: 4.28%, 12.0: 66.58%, 13.0: 0.01%}	{10.0: 18.93%, 11.0: 19.85%, 12.0: 61.18%, 13.0: 0.03%}	{10.0: 17.75%, 11.0: 18.02%, 12.0: 64.17%, 13.0: 0.06%}
alkaline_phosphatase	3	135916825	135916841	3_135494585_136877590	A	{15.0: 0.11%, 16.0: 33.84%, 17.0: 42.18%, 18.0: 9.24%, 19.0: 14.60%, 20.0: 0.04%, 23.0: 0.00%}	9.6e-31	-	intergenic	confidently	0.982659114045274	0.909047	0.992857416812041	0.80126	0.878704	0.878251	0.862624	0.909047	0.888732948416221	0.656487	0.718201	0.226, 0.00814, 0.00602, 0.0000764, 0.00048	NA, -, -, -, -	{15.0: 2.53%, 16.0: 41.13%, 17.0: 26.70%, 18.0: 17.23%, 19.0: 8.66%, 20.0: 0.63%, 23.0: 3.12%}	{15.0: 0.02%, 16.0: 34.42%, 17.0: 41.44%, 18.0: 10.02%, 19.0: 14.07%, 20.0: 0.03%, 23.0: 0.00%}	{15.0: 0.06%, 16.0: 0.84%, 17.0: 77.07%, 18.0: 21.02%, 19.0: 1.01%, 20.0: 0.00%, 23.0: 0.00%}	{15.0: 0.09%, 16.0: 34.61%, 17.0: 40.78%, 18.0: 10.60%, 19.0: 13.88%, 20.0: 0.03%, 23.0: 0.00%}	{15.0: 0.19%, 16.0: 32.44%, 17.0: 43.41%, 18.0: 8.95%, 19.0: 14.91%, 20.0: 0.08%, 23.0: 0.02%}
alkaline_phosphatase	3	136168743	136168760	3_135494585_136877590	A	{18.0: 74.86%, 19.0: 17.38%, 20.0: 7.75%}	4.36e-11	-	intron:STAG1:protein_coding	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.753, 0.837, 0.6, 0.025, 0.0125	NA, NA, NA, -, -	{18.0: 52.34%, 19.0: 44.84%, 20.0: 2.82%}	{18.0: 82.41%, 19.0: 16.66%, 20.0: 0.93%}	{18.0: 97.83%, 19.0: 2.02%, 20.0: 0.15%}	{18.0: 75.56%, 19.0: 17.40%, 20.0: 7.04%}	{18.0: 75.49%, 19.0: 16.85%, 20.0: 7.66%}
alkaline_phosphatase	17	44084292	44084364	17_43335181_45029049	AAAAT	{11.6: 22.84%, 12.6: 0.72%, 12.8: 0.01%, 13.6: 18.62%, 14.6: 57.66%, 15.6: 0.15%, 17.6: 0.00%}	1.22e-17	+	intron:MAPT:protein_coding	not	0.0	0.00774826										0.395, 0.021, 0.507, 0.00217, 0.0471	NA, +, NA, +, +	{11.6: 2.22%, 12.6: 5.72%, 12.8: 1.76%, 13.6: 18.28%, 14.6: 67.53%, 15.6: 3.91%, 17.6: 0.58%}	{11.6: 8.26%, 12.6: 0.62%, 12.8: 0.01%, 13.6: 15.11%, 14.6: 75.93%, 15.6: 0.08%, 17.6: 0.00%}	{11.6: 0.53%, 12.6: 0.14%, 12.8: 0.02%, 13.6: 27.50%, 14.6: 70.21%, 15.6: 1.60%, 17.6: 0.00%}	{11.6: 21.12%, 12.6: 0.70%, 12.8: 0.01%, 13.6: 19.76%, 14.6: 58.28%, 15.6: 0.14%, 17.6: 0.00%}	{11.6: 21.56%, 12.6: 0.78%, 12.8: 0.02%, 13.6: 16.66%, 14.6: 60.78%, 15.6: 0.19%, 17.6: 0.00%}
apolipoprotein_a	1	23817932	23817947	1_23566745_23949623	A	{13.0: 4.30%, 14.0: 70.80%, 15.0: 16.61%, 16.0: 8.04%, 17.0: 0.25%}	4.71e-13	-	intergenic	not	0.0	0.405531										0.47, 0.0291, 0.72, 0.509, 0.43	NA, -, NA, NA, NA	{13.0: 7.44%, 14.0: 15.52%, 15.0: 53.38%, 16.0: 23.54%, 17.0: 0.12%}	{13.0: 2.52%, 14.0: 56.55%, 15.0: 30.33%, 16.0: 8.73%, 17.0: 1.87%}	{13.0: 0.04%, 14.0: 55.82%, 15.0: 31.55%, 16.0: 12.14%, 17.0: 0.46%}	{13.0: 3.67%, 14.0: 70.40%, 15.0: 16.91%, 16.0: 8.77%, 17.0: 0.25%}	{13.0: 5.64%, 14.0: 69.80%, 15.0: 16.33%, 16.0: 7.85%, 17.0: 0.38%}
