chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_2868740_3211622	3086622	3086642	3086622	STR_1470	1	T	20.0,21.0,24.0	21.0	"{""20.0"": 400534.45, ""21.0"": 516003.61, ""24.0"": 58279.85}"	"{""20.0"": 403196, ""21.0"": 513816, ""24.0"": 57806}"	"{""[20.0, 20.0]"": 84858, ""[20.0, 21.0]"": 209496, ""[20.0, 24.0]"": 23984, ""[21.0, 21.0]"": 136954, ""[21.0, 24.0]"": 30412, ""[24.0, 24.0]"": 1705}"	"{""20.0"": 262429.04, ""21.0"": 359777.68, ""24.0"": 39339.28}"	"{""20.0"": 264108, ""21.0"": 358338, ""24.0"": 39100}"	"{""[20.0, 20.0]"": 52646, ""[20.0, 21.0]"": 143202, ""[20.0, 24.0]"": 15614, ""[21.0, 21.0]"": 96973, ""[21.0, 24.0]"": 21190, ""[24.0, 24.0]"": 1148}"	0.05946567585625187	0.5437196124141621	1.2491591018775192	0.5812536987758611	"{""20.0"": 1.0, ""21.0"": 1.0, ""24.0"": 1.0}"	2.58e-08	0.0414248582642216	0.05508819528756465	0.188919	False	NA	NA	False	NA	none	0:inside:PRDM16:protein_coding	36349:upstream:RP1-163G9.2:lncRNA,35910:upstream:RP11-193J6.1:TEC,0:inside:PRDM16:protein_coding	intron:PRDM16:protein_coding	transcribed;PRDM16-210:retained_intron:2,PRDM16-206:protein_coding:5,PRDM16-203:protein_coding:1,PRDM16-201:protein_coding:1,PRDM16-208:protein_coding:5
1	1_6449273_6748122	6613910	6613924	6613910	STR_3077	4	AAAG	1.75,2.75,3.75	3.75	"{""1.75"": 232.24, ""2.75"": 837986.0, ""3.75"": 136599.88}"	"{""1.75"": 22, ""2.75"": 838783, ""3.75"": 136013}"	"{""[1.75, 2.75]"": 17, ""[1.75, 3.75]"": 5, ""[2.75, 2.75]"": 361376, ""[2.75, 3.75]"": 116014, ""[3.75, 3.75]"": 9997}"	"{""1.75"": 113.99, ""2.75"": 573630.32, ""3.75"": 87801.69}"	"{""1.75"": 2, ""2.75"": 574176, ""3.75"": 87368}"	"{""[1.75, 2.75]"": 1, ""[1.75, 3.75]"": 1, ""[2.75, 2.75]"": 249050, ""[2.75, 3.75]"": 76075, ""[3.75, 3.75]"": 5646}"	0.0001723085016007957	0.2292549828681329	0.5631373641725618	0.3098765898067601	"{""1.75"": 0.14, ""2.75"": 1.0, ""3.75"": 1.0}"	1.25e-10	0.11521644908488149	0.05533385993520305	0.0609545	False	NA	NA	False	NA	243:downstream:6614167:6614560:NOL9:protein_coding,243:downstream:6614167:6614573:NOL9:protein_coding	0:inside:NOL9:protein_coding	87675:upstream:TNFRSF25:protein_coding,12886:downstream:RNU6-731P:snRNA,5231:downstream:RP11-58A11.2:processed_pseudogene,26130:upstream:ZBTB48:protein_coding,59867:upstream:PHF13:protein_coding,71002:upstream:THAP3:protein_coding,92483:downstream:ESPN:protein_coding,0:inside:NOL9:protein_coding,1443:upstream:TAS1R1:protein_coding,36860:downstream:KLHL21:protein_coding,80304:downstream:DNAJC11:protein_coding,33776:upstream:PLEKHG5:protein_coding	intron:NOL9:protein_coding	transcribed;NOL9-205:retained_intron:3,NOL9-201:protein_coding:1
1	1_20760618_21655177	21496684	21496710	21496684	STR_13701	4	AAAC	6.75,7.75,8.75	6.75	"{""6.75"": 71776.92, ""7.75"": 465737.17, ""8.75"": 437310.81}"	"{""6.75"": 71346, ""7.75"": 465846, ""8.75"": 437626}"	"{""[6.75, 6.75]"": 2175, ""[6.75, 7.75]"": 35423, ""[6.75, 8.75]"": 31573, ""[7.75, 7.75]"": 111112, ""[7.75, 8.75]"": 208199, ""[8.75, 8.75]"": 98927}"	"{""6.75"": 45351.78, ""7.75"": 314371.9, ""8.75"": 301826.81}"	"{""6.75"": 45126, ""7.75"": 314299, ""8.75"": 302121}"	"{""[6.75, 6.75]"": 772, ""[6.75, 7.75]"": 22526, ""[6.75, 8.75]"": 21056, ""[7.75, 7.75]"": 74221, ""[7.75, 8.75]"": 143331, ""[8.75, 8.75]"": 68867}"	0.06855376979616476	0.5610640006029493	1.2907437403638276	3.244560758677159e-06	"{""6.75"": 1.0, ""7.75"": 1.0, ""8.75"": 1.0}"	5.89e-09	0.05299253925027614	0.0458618818049982	0.161585	False	NA	NA	False	NA	470:upstream:21496157:21496214:EIF4G3:protein_coding	0:inside:EIF4G3:protein_coding	96438:upstream:RP11-487E1.2:processed_pseudogene,8110:downstream:HSPE1P27:processed_pseudogene,6349:downstream:AL031005.1:miRNA,6837:upstream:RP3-329E20.3:lncRNA,95865:upstream:RP3-329E20.2:lncRNA,0:inside:EIF4G3:protein_coding,47030:downstream:ECE1:protein_coding	intron:EIF4G3:protein_coding	transcribed;EIF4G3-204:protein_coding:5,EIF4G3-212:protein_coding:1,EIF4G3-205:protein_coding:1,EIF4G3-214:protein_coding:5,EIF4G3-202:protein_coding:1,EIF4G3-208:protein_coding:5,EIF4G3-206:protein_coding:5
1	1_23428614_24010498	23839611	23839628	23839611	STR_15450	1	T	17.0,18.0,19.0,20.0	18.0	"{""17.0"": 4225.51, ""18.0"": 436514.38, ""19.0"": 534078.16, ""20.0"": 0.0}"	"{""17.0"": 3731, ""18.0"": 437333, ""19.0"": 533754}"	"{""[17.0, 17.0]"": 9, ""[17.0, 18.0]"": 1697, ""[17.0, 19.0]"": 2016, ""[18.0, 18.0]"": 98689, ""[18.0, 19.0]"": 238258, ""[19.0, 19.0]"": 146740}"	"{""17.0"": 2945.0, ""18.0"": 295456.48, ""19.0"": 363144.52, ""20.0"": 0.0}"	"{""17.0"": 2637, ""18.0"": 296049, ""19.0"": 362860}"	"{""[17.0, 17.0]"": 8, ""[17.0, 18.0]"": 1199, ""[17.0, 19.0]"": 1422, ""[18.0, 18.0]"": 66348, ""[18.0, 19.0]"": 162154, ""[19.0, 19.0]"": 99642}"	0.004451693457446648	0.4988625692933494	1.0261262151673505	0.4138083158478188	"{""17.0"": 0.92, ""18.0"": 1.0, ""19.0"": 1.0, ""20.0"": ""NaN""}"	5.31e-28	-0.14234289472332762	-0.1020360868926126	0.150787	False	NA	NA	False	NA	none	0:inside:E2F2:protein_coding	36002:downstream:RP1-150O5.3:lncRNA,44789:downstream:ID3:protein_coding,28550:upstream:ASAP3:protein_coding,63298:downstream:RP1-150O5.4:lncRNA,68357:upstream:MDS2:lncRNA,88370:upstream:TCEA3:protein_coding,0:inside:E2F2:protein_coding	intron:E2F2:protein_coding	transcribed;E2F2-201:protein_coding:1
1	1_43242643_43631099	43432150	43432161	43432150	STR_30390	1	T	11.0,12.0,13.0,14.0	12.0	"{""11.0"": 0.0, ""12.0"": 763339.75, ""13.0"": 6492.78, ""14.0"": 204985.44}"	"{""12.0"": 764577, ""13.0"": 6078, ""14.0"": 204163}"	"{""[12.0, 12.0]"": 300467, ""[12.0, 13.0]"": 3654, ""[12.0, 14.0]"": 159989, ""[13.0, 13.0]"": 494, ""[13.0, 14.0]"": 1436, ""[14.0, 14.0]"": 21369}"	"{""11.0"": 0.0, ""12.0"": 521594.31, ""13.0"": 1242.3, ""14.0"": 138709.39}"	"{""12.0"": 522418, ""13.0"": 900, ""14.0"": 138228}"	"{""[12.0, 12.0]"": 206281, ""[12.0, 13.0]"": 690, ""[12.0, 14.0]"": 109166, ""[13.0, 13.0]"": 1, ""[13.0, 14.0]"": 208, ""[14.0, 14.0]"": 14427}"	0.0018778739498084788	0.3327248848254549	0.7539197691716932	0.9779206887744164	"{""11.0"": ""NaN"", ""12.0"": 1.0, ""13.0"": 0.91, ""14.0"": 1.0}"	1.79e-58	0.11621453203793308	0.13383797686608076	0.223439	False	NA	NA	False	NA	none	0:inside:SLC2A1-AS1:lncRNA	77712:upstream:RP11-342M1.7:processed_pseudogene,74049:upstream:MKRN8P:processed_pseudogene,62567:downstream:ATP6V1E1P1:processed_pseudogene,13838:upstream:ATP6V0CP4:processed_pseudogene,4615:upstream:RP5-848E13.4:lncRNA,24948:upstream:RNU6-880P:snRNA,57059:downstream:RNU6-870P:snRNA,7586:upstream:SLC2A1:protein_coding,0:inside:SLC2A1-AS1:lncRNA	intron:SLC2A1-AS1:lncRNA	transcribed;SLC2A1-AS1-202:lncRNA:2,SLC2A1-AS1-203:lncRNA:missing from gencode,SLC2A1-AS1-204:lncRNA:missing from gencode,SLC2A1-AS1-201:retained_intron:2
1	1_47522977_47991314	47682890	47682903	47682890	STR_33480	1	A	14.0,15.0	14.0	"{""14.0"": 463762.08, ""15.0"": 511055.92}"	"{""14.0"": 461947, ""15.0"": 512871}"	"{""[14.0, 14.0]"": 111935, ""[14.0, 15.0]"": 238077, ""[15.0, 15.0]"": 137397}"	"{""14.0"": 306411.24, ""15.0"": 355134.76}"	"{""14.0"": 305228, ""15.0"": 356318}"	"{""[14.0, 14.0]"": 70418, ""[14.0, 15.0]"": 164392, ""[15.0, 15.0]"": 95963}"	0.0	0.4970179033558781	0.9956934571437122	0.977805458567971	"{""14.0"": 1.0, ""15.0"": 1.0}"	1.5500000000000002e-37	0.14726640391402412	0.10385025549061505	0.395861	False	NA	NA	False	NA	0:inside:47681962:47685846:TAL1:protein_coding,0:inside:47681964:47685846:TAL1:protein_coding	0:inside:TAL1:protein_coding	51298:upstream:MTND1P34:transcribed_processed_pseudogene,36879:downstream:LINC00853:lncRNA,26174:upstream:PDZK1IP1:protein_coding,67483:downstream:CYP4A22:protein_coding,0:inside:TAL1:protein_coding,8566:upstream:RP1-18D14.7:lncRNA,32908:downstream:STIL:protein_coding,98900:downstream:CYP4Z1:protein_coding,37947:upstream:CYP4A22-AS1:lncRNA	three_prime_UTR:TAL1:protein_coding	transcribed;TAL1-202:protein_coding:1,TAL1-201:protein_coding:1
1	1_63731651_64194495	64060632	64060656	64060629	STR_42950	1	A	24.0,25.0,26.0,28.0,29.0,30.0,31.0	25.0	"{""24.0"": 0.0, ""25.0"": 293451.54, ""26.0"": 1137.18, ""28.0"": 118.03, ""29.0"": 474202.82, ""30.0"": 199317.63, ""31.0"": 6659.09}"	"{""25.0"": 293722, ""26.0"": 632, ""28.0"": 13, ""29.0"": 475564, ""30.0"": 200778, ""31.0"": 4109}"	"{""[25.0, 25.0]"": 44696, ""[25.0, 26.0]"": 204, ""[25.0, 29.0]"": 142182, ""[25.0, 30.0]"": 60664, ""[25.0, 31.0]"": 1280, ""[26.0, 26.0]"": 1, ""[26.0, 29.0]"": 302, ""[26.0, 30.0]"": 122, ""[26.0, 31.0]"": 2, ""[28.0, 28.0]"": 1, ""[28.0, 29.0]"": 9, ""[28.0, 30.0]"": 2, ""[29.0, 29.0]"": 116762, ""[29.0, 30.0]"": 97550, ""[29.0, 31.0]"": 1997, ""[30.0, 30.0]"": 20817, ""[30.0, 31.0]"": 806, ""[31.0, 31.0]"": 12}"	"{""24.0"": 0.0, ""25.0"": 206559.11, ""26.0"": 827.98, ""28.0"": 43.39, ""29.0"": 312671.85, ""30.0"": 136740.71, ""31.0"": 4745.32}"	"{""25.0"": 206783, ""26.0"": 460, ""29.0"": 313617, ""30.0"": 137741, ""31.0"": 2945}"	"{""[25.0, 25.0]"": 32027, ""[25.0, 26.0]"": 146, ""[25.0, 29.0]"": 98608, ""[25.0, 30.0]"": 43040, ""[25.0, 31.0]"": 935, ""[26.0, 26.0]"": 1, ""[26.0, 29.0]"": 216, ""[26.0, 30.0]"": 94, ""[26.0, 31.0]"": 2, ""[29.0, 29.0]"": 74100, ""[29.0, 30.0]"": 65216, ""[29.0, 31.0]"": 1377, ""[30.0, 30.0]"": 14390, ""[30.0, 31.0]"": 611, ""[31.0, 31.0]"": 10}"	0.21517518839055755	0.6341852624126414	1.548341334161749	0.0873969409929339	"{""24.0"": ""NaN"", ""25.0"": 1.0, ""26.0"": 0.81, ""28.0"": ""NaN"", ""29.0"": 1.0, ""30.0"": 0.99, ""31.0"": 0.8}"	6.87e-09	0.018571986923485946	0.053684671599200574	0.0528843	False	NA	NA	False	NA	none	NA	none	intergenic	untranscribed
1	1_78401585_78651585	78526585	78526596	78526585	STR_50149	1	T	11.0,12.0,13.0	12.0	"{""11.0"": 138271.23, ""12.0"": 586559.88, ""13.0"": 249986.95}"	"{""11.0"": 137401, ""12.0"": 587283, ""13.0"": 250134}"	"{""[11.0, 11.0]"": 10277, ""[11.0, 12.0]"": 81307, ""[11.0, 13.0]"": 35540, ""[12.0, 12.0]"": 178203, ""[12.0, 13.0]"": 149570, ""[13.0, 13.0]"": 32512}"	"{""11.0"": 99907.01, ""12.0"": 390015.55, ""13.0"": 171623.44}"	"{""11.0"": 99409, ""12.0"": 390383, ""13.0"": 171754}"	"{""[11.0, 11.0]"": 7576, ""[11.0, 12.0]"": 58465, ""[11.0, 13.0]"": 25792, ""[12.0, 12.0]"": 115268, ""[12.0, 13.0]"": 101382, ""[13.0, 13.0]"": 22290}"	0.15102050348728582	0.5617879773426173	1.365033935196701	0.5167888125387162	"{""11.0"": 0.99, ""12.0"": 0.99, ""13.0"": 1.0}"	1.46e-08	-0.050179091340512016	-0.04480833726191888	0.831244	False	NA	NA	False	NA	none	0:inside:GIPC2:protein_coding	56347:upstream:RP11-386I14.4:lncRNA,36040:upstream:RP11-386I14.5:lncRNA,16753:upstream:RP11-386I14.2:processed_pseudogene,28076:downstream:RNU6-1102P:snRNA,30587:upstream:RP11-386I14.3:processed_pseudogene,33895:downstream:RNA5SP22:rRNA_pseudogene,81791:upstream:FUBP1:protein_coding,42937:downstream:DNAJB4:protein_coding,0:inside:GIPC2:protein_coding	intron:GIPC2:protein_coding	transcribed;GIPC2-202:processed_transcript:3,GIPC2-201:protein_coding:1
1	1_114797790_115345379	115154400	115154438	115154400	STR_69083	2	AC	13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5	19.5	"{""13.5"": 303512.75, ""14.5"": 79369.13, ""15.5"": 11379.4, ""16.5"": 55.54, ""17.5"": 27295.94, ""18.5"": 13396.05, ""19.5"": 138563.68, ""20.5"": 57549.46, ""21.5"": 251040.6, ""22.5"": 12432.74, ""23.5"": 71734.34, ""24.5"": 514.5, ""25.5"": 8138.57}"	"{""13.5"": 302447, ""14.5"": 84341, ""15.5"": 8131, ""16.5"": 52, ""17.5"": 27134, ""18.5"": 13471, ""19.5"": 137082, ""20.5"": 54988, ""21.5"": 258876, ""22.5"": 7438, ""23.5"": 76889, ""24.5"": 136, ""25.5"": 3833}"	"{""[13.5, 13.5]"": 47816, ""[13.5, 14.5]"": 25589, ""[13.5, 15.5]"": 2468, ""[13.5, 16.5]"": 20, ""[13.5, 17.5]"": 8240, ""[13.5, 18.5]"": 4578, ""[13.5, 19.5]"": 42291, ""[13.5, 20.5]"": 16959, ""[13.5, 21.5]"": 79065, ""[13.5, 22.5]"": 2383, ""[13.5, 23.5]"": 24006, ""[13.5, 24.5]"": 40, ""[13.5, 25.5]"": 1176, ""[14.5, 14.5]"": 3826, ""[14.5, 15.5]"": 727, ""[14.5, 16.5]"": 1, ""[14.5, 17.5]"": 2417, ""[14.5, 18.5]"": 1031, ""[14.5, 19.5]"": 11817, ""[14.5, 20.5]"": 4889, ""[14.5, 21.5]"": 22808, ""[14.5, 22.5]"": 591, ""[14.5, 23.5]"": 6453, ""[14.5, 24.5]"": 12, ""[14.5, 25.5]"": 354, ""[15.5, 15.5]"": 35, ""[15.5, 17.5]"": 246, ""[15.5, 18.5]"": 93, ""[15.5, 19.5]"": 1098, ""[15.5, 20.5]"": 442, ""[15.5, 21.5]"": 2239, ""[15.5, 22.5]"": 57, ""[15.5, 23.5]"": 656, ""[15.5, 24.5]"": 4, ""[15.5, 25.5]"": 31, ""[16.5, 18.5]"": 6, ""[16.5, 19.5]"": 3, ""[16.5, 20.5]"": 3, ""[16.5, 21.5]"": 8, ""[16.5, 23.5]"": 11, ""[17.5, 17.5]"": 435, ""[17.5, 18.5]"": 351, ""[17.5, 19.5]"": 3681, ""[17.5, 20.5]"": 1545, ""[17.5, 21.5]"": 7328, ""[17.5, 22.5]"": 202, ""[17.5, 23.5]"": 2137, ""[17.5, 24.5]"": 5, ""[17.5, 25.5]"": 112, ""[18.5, 18.5]"": 106, ""[18.5, 19.5]"": 1762, ""[18.5, 20.5]"": 728, ""[18.5, 21.5]"": 3464, ""[18.5, 22.5]"": 106, ""[18.5, 23.5]"": 1084, ""[18.5, 24.5]"": 3, ""[18.5, 25.5]"": 53, ""[19.5, 19.5]"": 10030, ""[19.5, 20.5]"": 7692, ""[19.5, 21.5]"": 36302, ""[19.5, 22.5]"": 1009, ""[19.5, 23.5]"": 10839, ""[19.5, 24.5]"": 15, ""[19.5, 25.5]"": 513, ""[20.5, 20.5]"": 1572, ""[20.5, 21.5]"": 14646, ""[20.5, 22.5]"": 408, ""[20.5, 23.5]"": 4310, ""[20.5, 24.5]"": 6, ""[20.5, 25.5]"": 216, ""[21.5, 21.5]"": 34901, ""[21.5, 22.5]"": 1922, ""[21.5, 23.5]"": 20229, ""[21.5, 24.5]"": 39, ""[21.5, 25.5]"": 1024, ""[22.5, 22.5]"": 56, ""[22.5, 23.5]"": 614, ""[22.5, 25.5]"": 34, ""[23.5, 23.5]"": 3119, ""[23.5, 24.5]"": 11, ""[23.5, 25.5]"": 301, ""[24.5, 25.5]"": 1, ""[25.5, 25.5]"": 9}"	"{""13.5"": 201515.33, ""14.5"": 56901.04, ""15.5"": 8059.42, ""16.5"": 4.72, ""17.5"": 18516.23, ""18.5"": 7949.32, ""19.5"": 94564.93, ""20.5"": 39489.08, ""21.5"": 174158.02, ""22.5"": 7963.51, ""23.5"": 46638.59, ""24.5"": 333.64, ""25.5"": 5565.26}"	"{""13.5"": 200676, ""14.5"": 60483, ""15.5"": 5780, ""16.5"": 2, ""17.5"": 18282, ""18.5"": 8122, ""19.5"": 93457, ""20.5"": 37828, ""21.5"": 179500, ""22.5"": 4572, ""23.5"": 50086, ""24.5"": 92, ""25.5"": 2666}"	"{""[13.5, 13.5]"": 30572, ""[13.5, 14.5]"": 18350, ""[13.5, 15.5]"": 1741, ""[13.5, 17.5]"": 5541, ""[13.5, 18.5]"": 2571, ""[13.5, 19.5]"": 28283, ""[13.5, 20.5]"": 11511, ""[13.5, 21.5]"": 54057, ""[13.5, 22.5]"": 1368, ""[13.5, 23.5]"": 15270, ""[13.5, 24.5]"": 24, ""[13.5, 25.5]"": 816, ""[14.5, 14.5]"": 2797, ""[14.5, 15.5]"": 523, ""[14.5, 17.5]"": 1665, ""[14.5, 18.5]"": 738, ""[14.5, 19.5]"": 8497, ""[14.5, 20.5]"": 3503, ""[14.5, 21.5]"": 16479, ""[14.5, 22.5]"": 405, ""[14.5, 23.5]"": 4465, ""[14.5, 24.5]"": 8, ""[14.5, 25.5]"": 256, ""[15.5, 15.5]"": 26, ""[15.5, 17.5]"": 185, ""[15.5, 18.5]"": 61, ""[15.5, 19.5]"": 783, ""[15.5, 20.5]"": 317, ""[15.5, 21.5]"": 1606, ""[15.5, 22.5]"": 44, ""[15.5, 23.5]"": 442, ""[15.5, 24.5]"": 3, ""[15.5, 25.5]"": 23, ""[16.5, 21.5]"": 1, ""[16.5, 23.5]"": 1, ""[17.5, 17.5]"": 281, ""[17.5, 18.5]"": 200, ""[17.5, 19.5]"": 2526, ""[17.5, 20.5]"": 1056, ""[17.5, 21.5]"": 4973, ""[17.5, 22.5]"": 122, ""[17.5, 23.5]"": 1376, ""[17.5, 24.5]"": 4, ""[17.5, 25.5]"": 72, ""[18.5, 18.5]"": 41, ""[18.5, 19.5]"": 1117, ""[18.5, 20.5]"": 466, ""[18.5, 21.5]"": 2207, ""[18.5, 22.5]"": 50, ""[18.5, 23.5]"": 593, ""[18.5, 24.5]"": 2, ""[18.5, 25.5]"": 35, ""[19.5, 19.5]"": 6618, ""[19.5, 20.5]"": 5347, ""[19.5, 21.5]"": 25453, ""[19.5, 22.5]"": 632, ""[19.5, 23.5]"": 7207, ""[19.5, 24.5]"": 9, ""[19.5, 25.5]"": 367, ""[20.5, 20.5]"": 1068, ""[20.5, 21.5]"": 10199, ""[20.5, 22.5]"": 254, ""[20.5, 23.5]"": 2873, ""[20.5, 24.5]"": 6, ""[20.5, 25.5]"": 160, ""[21.5, 21.5]"": 24505, ""[21.5, 22.5]"": 1256, ""[21.5, 23.5]"": 13520, ""[21.5, 24.5]"": 27, ""[21.5, 25.5]"": 712, ""[22.5, 22.5]"": 20, ""[22.5, 23.5]"": 382, ""[22.5, 25.5]"": 19, ""[23.5, 23.5]"": 1878, ""[23.5, 24.5]"": 8, ""[23.5, 25.5]"": 193, ""[24.5, 25.5]"": 1, ""[25.5, 25.5]"": 6}"	0.4322252113244601	0.795987415210685	2.6292846773094505	0.154486811307852	"{""13.5"": 0.99, ""14.5"": 0.98, ""15.5"": 0.9, ""16.5"": 0.82, ""17.5"": 0.94, ""18.5"": 0.86, ""19.5"": 0.99, ""20.5"": 0.96, ""21.5"": 0.98, ""22.5"": 0.77, ""23.5"": 0.98, ""24.5"": 0.75, ""25.5"": 0.78}"	2.69e-09	0.01064023304561711	0.05648233121733565	0.149157	False	NA	NA	False	NA	662:upstream:115153694:115153738:DENND2C:protein_coding,662:upstream:115153694:115153738:DENND2C:protein_coding,662:upstream:115153694:115153738:DENND2C:protein_coding,662:upstream:115153694:115153738:DENND2C:protein_coding	0:inside:DENND2C:protein_coding	73939:downstream:PKMP1:processed_pseudogene,85812:downstream:RN7SL432P:misc_RNA,92652:downstream:NRAS:protein_coding,30150:upstream:BCAS2:protein_coding,61273:downstream:AMPD1:protein_coding,0:inside:DENND2C:protein_coding	intron:DENND2C:protein_coding	transcribed;DENND2C-203:protein_coding:5,DENND2C-204:processed_transcript:1,DENND2C-202:protein_coding:5,DENND2C-201:protein_coding:5
1	1_204924654_205394501	205221938	205221950	205221938	STR_104357	1	T	13.0,14.0,15.0,16.0	13.0	"{""13.0"": 385712.84, ""14.0"": 205436.07, ""15.0"": 377058.02, ""16.0"": 6611.04}"	"{""13.0"": 385181, ""14.0"": 209703, ""15.0"": 372580, ""16.0"": 7354}"	"{""[13.0, 13.0]"": 78110, ""[13.0, 14.0]"": 81849, ""[13.0, 15.0]"": 144305, ""[13.0, 16.0]"": 2807, ""[14.0, 14.0]"": 23276, ""[14.0, 15.0]"": 79725, ""[14.0, 16.0]"": 1577, ""[15.0, 15.0]"": 72825, ""[15.0, 16.0]"": 2900, ""[16.0, 16.0]"": 35}"	"{""13.0"": 252211.32, ""14.0"": 139110.33, ""15.0"": 265381.51, ""16.0"": 4842.85}"	"{""13.0"": 251902, ""14.0"": 141310, ""15.0"": 262950, ""16.0"": 5384}"	"{""[13.0, 13.0]"": 48264, ""[13.0, 14.0]"": 53519, ""[13.0, 15.0]"": 99787, ""[13.0, 16.0]"": 2068, ""[14.0, 14.0]"": 15256, ""[14.0, 15.0]"": 56143, ""[14.0, 16.0]"": 1136, ""[15.0, 15.0]"": 52448, ""[15.0, 16.0]"": 2124, ""[16.0, 16.0]"": 28}"	0.2176011612555867	0.6513258860180529	1.5916644472179011	0.0154843671731305	"{""13.0"": 1.0, ""14.0"": 0.99, ""15.0"": 0.99, ""16.0"": 0.86}"	5.89e-13	0.045198146333397915	0.057545146956381736	0.0594694	False	NA	NA	False	NA	none	0:inside:TMCC2:protein_coding	50068:downstream:RP11-383G10.3:processed_pseudogene,15943:upstream:TMCC2-AS1:lncRNA,98425:upstream:SNRPGP10:processed_pseudogene,0:inside:TMCC2:protein_coding,49241:downstream:NUAK2:protein_coding,83239:downstream:KLHDC8A:protein_coding,41108:upstream:DSTYK:protein_coding	intron:TMCC2:protein_coding	transcribed;TMCC2-203:protein_coding:1,TMCC2-208:protein_coding:2,TMCC2-207:processed_transcript:5,TMCC2-204:processed_transcript:3,TMCC2-206:processed_transcript:1,TMCC2-209:protein_coding:1
