chrom	start	end	any_strs
1	2862268	3177501	True
1	3180452	3445064	False
1	3556681	3907115	True
1	10161176	10608167	True
1	11714923	12061514	True
1	12535488	12788329	True
1	15689186	16500210	True
1	20790701	21661199	True
1	23710794	24331053	True
1	24897314	25179223	True
1	26020879	26327724	True
1	31447571	31741813	True
1	37829413	38114813	True
1	43634733	44419920	True
1	45669426	47016995	True
1	47523377	48174954	True
1	53093408	53564525	True
1	68595167	68852092	True
1	88920338	89572978	True
1	93414656	93987020	True
1	115722392	115978084	False
1	118001621	118299159	True
1	120075606	120399455	True
1	147087765	147437533	True
1	154735748	156151802	True
1	156758546	157016504	True
1	158316462	158763260	False
1	161369322	161829555	True
1	164404284	164654284	True
1	169938272	170188272	False
1	171928287	172493310	True
1	173549520	174109387	True
1	198272945	199297082	True
1	203145937	203434966	True
1	203524185	203839629	True
1	204890284	205394501	True
1	209755216	210069408	True
1	212907907	213221114	True
1	213841887	214395610	True
1	214574306	214855324	True
1	217236922	217677142	True
1	219292259	219542259	True
1	224164960	224521718	True
1	229606509	229920070	True
1	231169800	231886938	True
1	234564664	234860980	True
1	243516971	243766971	True
1	247667399	248206355	True
1	249108056	249250621	True
2	8615722	8891192	True
2	23744571	24794594	True
2	25388316	25717956	True
2	25786304	26194524	True
2	27654565	28144966	True
2	43294493	43580654	True
2	43700299	43950299	True
2	46014826	46607231	True
2	46905363	47163717	True
2	55673848	55980396	True
2	58729601	59160386	True
2	60338848	60924180	True
2	61921715	62670523	True
2	64734378	65006997	True
2	65514254	65764280	True
2	67888748	68138748	False
2	100509475	100960734	True
2	110321735	110645956	True
2	110966622	111216622	False
2	111283691	112766266	True
2	113822847	114231874	True
2	120699615	120973049	True
2	121845629	122181000	True
2	135218934	135880629	True
2	145509153	146148607	True
2	160552559	161117889	True
2	161353997	161654181	True
2	165376927	165670373	True
2	174732753	174992591	True
2	176849104	177189302	True
2	177567572	177963337	True
2	181703140	182221215	True
2	201771067	202021067	False
2	202864531	203151030	True
2	211415507	211668055	False
2	219133197	219803421	True
2	226901531	227306683	True
2	236240350	236494478	False
2	241385903	241635903	True
3	11916456	12823498	True
3	14801229	15061007	True
3	16540302	17250090	True
3	19978326	20230673	False
3	24185382	24482332	True
3	24833258	25083258	True
3	37749800	38122333	True
3	41627845	42190005	True
3	42932466	43182466	False
3	48818646	49068646	True
3	49213465	50572912	True
3	51603003	53300017	True
3	56332485	56953937	True
3	58094417	58604354	True
3	69667011	70186377	True
3	71123393	71464355	True
3	87980684	88342871	True
3	100959604	101392385	True
3	133315155	133648973	True
3	140908481	142672417	True
3	143266126	143516126	True
3	149941540	150203235	True
3	151851553	152108261	True
3	168917352	169316186	True
3	169351988	169659538	True
3	178740976	178996998	True
3	183503855	183863626	True
3	183869536	184182340	True
3	194381202	194830410	True
3	195447624	196050458	True
4	15324024	15843238	True
4	23583557	23893836	True
4	38482801	39516940	True
4	54652856	56196489	True
4	77060293	77563774	True
4	81032703	81327048	True
4	83612214	84128038	True
4	87608256	88328875	True
4	89651856	89901856	True
4	102740304	103512161	True
4	105814408	106097376	True
4	115218243	115756654	True
4	122536021	122971028	True
4	144900810	145214864	True
4	145449196	145699196	True
