chrom	start	end	any_strs
1	1853857	2362248	True
1	2868740	3121602	True
1	7602237	8142651	True
1	8390050	9078135	True
1	9858222	10649154	True
1	11725927	12298788	True
1	15250110	15506160	False
1	24897314	25304416	True
1	25400907	26033483	True
1	26435945	26773551	True
1	26833696	27493126	True
1	27543610	27875278	True
1	27875422	28462287	True
1	28726045	29706711	True
1	31116886	31366886	True
1	32207350	32487347	False
1	36596372	36924042	True
1	40162279	40753119	True
1	43607172	44350691	True
1	44514722	44791297	False
1	45041513	46988201	True
1	47545525	47832027	True
1	56807261	57097353	True
1	61976176	62234502	True
1	62961001	63307135	True
1	65063498	65313498	False
1	67929209	68218940	True
1	87939496	88245317	True
1	91380835	91792960	True
1	91797829	92141934	True
1	93179607	94132922	True
1	94481871	95124520	True
1	110104787	110595764	True
1	111430858	111864771	True
1	112900109	113388711	True
1	118001591	118397858	True
1	149976483	151463570	True
1	153457258	154450149	True
1	154767388	155213795	True
1	155934392	157190320	True
1	161063893	161313893	True
1	161439606	161782227	True
1	171249844	172619282	True
1	180778384	181034061	True
1	184505291	185508262	True
1	198745813	199137478	True
1	202004205	202738860	True
1	204137031	205551691	True
1	213809298	214079159	True
1	225777044	226047159	True
1	226412233	226737826	True
1	230153291	230451412	True
1	230912165	231162166	True
1	236563445	236916898	True
1	247402124	248865054	True
1	249030909	249250621	True
2	12733078	13168884	True
2	16492417	16755892	True
2	20996464	21510538	True
2	23775629	24382582	True
2	27254189	28663289	True
2	31329254	31674213	True
2	36999581	37494273	True
2	37904427	38176101	False
2	42932206	43284018	True
2	43307351	44162396	True
2	45925621	46202038	True
2	55053688	55446817	True
2	64762287	65113266	True
2	66462063	66847287	True
2	68837137	69122250	True
2	69662268	70675924	True
2	74398911	75045648	True
2	85480205	86009384	True
2	108913026	109441789	True
2	110128976	110620902	True
2	111743604	112400538	True
2	113371453	113621453	True
2	113713102	113999467	True
2	120310301	121198863	True
2	143639706	144011819	True
2	145183891	145754568	True
2	160049469	161755902	True
2	162611370	162905204	True
2	170573063	170952760	True
2	191150578	191611081	True
2	192571255	192821255	True
2	198671331	198985837	True
2	201752675	202504923	True
2	203386571	204569331	True
2	211415507	211777980	True
2	218766888	219800067	True
2	225312523	225956237	True
2	227124802	227501088	True
2	234130145	234565278	True
2	235765001	236015001	True
2	241259981	241739730	True
2	242400677	242788692	True
3	11882910	12596871	True
3	15577768	15827768	True
3	17882267	18834522	True
3	25297087	25566463	True
3	27083592	27911022	True
3	37407658	37723382	True
3	38744894	38994894	True
3	39062597	39337907	True
3	46920846	47430729	True
3	47455158	47705158	True
3	47943265	48354366	False
3	48476774	48757756	False
3	55663812	58674666	True
3	69677902	70029249	True
3	72264387	72542372	True
3	100917179	101677553	True
3	107110018	107667894	True
3	121448158	121698158	True
3	122692904	123235776	True
3	123447242	124784751	True
3	126103410	126398469	True
3	126459403	126900322	True
3	127384109	128547658	True
3	128650892	130197652	True
3	135718162	136824133	True
3	152867193	153125932	True
3	156666209	156944988	True
3	167170498	167590434	True
3	168527450	169097802	True
3	172109017	172419500	True
3	178460648	179103604	True
3	182848325	184449104	True
3	185362155	185675881	True
3	189539326	189789329	True
3	193983645	194329156	True
3	196340673	196663648	True
4	2641670	3668223	True
4	6655749	7170070	True
4	17433864	18160250	True
4	38492883	38856476	True
4	39557825	39913949	True
4	48815906	49093307	False
4	55196791	55533999	True
4	55560303	55810303	False
4	57583306	58028948	True
4	83822660	84104227	True
4	87782178	88364853	True
4	99861023	100195973	True
4	100667952	101025844	True
4	105597860	106582330	True
4	110684287	111093493	True
4	120025156	120699874	True
4	122930360	123641551	True
4	124506391	125071860	True
4	141726355	141976432	True
4	144062380	144312380	True
4	144704431	145169759	True
4	145676277	146299631	True
4	148049084	148586378	True
4	151994465	152889038	True
4	154336313	154586313	True
4	157486157	157940887	True
5	966806	1481684	True
5	34529441	34790305	True
5	59653738	60968553	True
5	61285493	61790502	True
5	65788106	66338423	True
5	67078790	67381370	True
5	71591874	72530492	True
5	74229422	75167913	True
5	75314938	77252809	True
5	77503296	78043136	True
5	86666976	89007668	True
5	90060517	90404442	True
5	95987083	96322728	True
5	105393072	105656192	False
5	108542986	108814780	True
5	110881012	111222181	True
5	122558996	122848707	True
5	130298559	132248536	True
5	133702615	133988352	True
5	138744847	139272683	True
5	141293252	141712720	True
5	156039513	156607459	True
5	158025272	158880348	True
5	159282316	159873105	True
5	172356818	172722997	True
5	176415977	176900385	True
5	177481207	177741370	True
6	6933113	7341484	True
6	11418342	11718985	True
6	22377304	22672155	True
6	22798951	23055552	True
6	24860458	25124254	True
6	33375088	35794547	True
6	36219980	36805279	True
6	36967724	37443182	True
6	43106945	43862983	True
6	47187408	47833879	True
6	52125982	52863427	True
6	109378976	109775482	True
6	110568419	110851400	True
6	116595514	116845514	False
6	121329823	121579823	False
6	121743308	122018258	True
6	134733499	136336792	True
6	147367742	147618989	True
6	161009124	161259124	True
6	164295832	164629114	True
7	874511	1181626	True
7	2374770	3055941	True
7	13890318	14155119	True
7	16560870	16828325	True
7	17200168	17627590	True
7	18014843	18510738	True
7	25846153	26122536	True
7	35896736	36586893	True
7	37247614	37597798	True
7	44640132	45281167	True
7	55031419	55286167	True
7	72684618	73183017	True
7	75482155	75905214	True
7	80038602	80419169	True
7	92138350	92388350	True
7	98794747	100672265	True
7	106013698	106578008	True
7	115554476	115804476	True
7	116146792	116697411	True
7	122867488	123733971	True
7	128451023	128702617	True
7	129077106	129837588	True
7	130604238	130891281	True
7	135187572	135814098	True
7	139660651	140010431	True
7	152254340	152506598	True
7	158403158	158769728	True
8	18888568	19149816	True
8	21496046	22084139	True
8	22300361	22667962	True
8	30146637	30566715	True
8	39901348	40178939	True
8	56518896	56939652	True
8	66380847	67085476	True
8	101343154	101594908	True
8	105557261	106967901	True
8	120613638	121221550	True
8	125724614	126026855	True
8	126151895	126521554	True
8	130359346	130819767	True
8	130899107	131594692	True
8	135524848	135796718	True
8	141438494	141688494	True
8	142174087	142549472	True
8	144846080	145389806	True
9	0	520532	True
9	2497134	2747278	True
9	4003480	5590406	True
9	5954482	6228093	False
9	18900385	19222318	True
9	21819317	22329669	True
9	32823273	33208663	False
9	34853431	35226870	True
9	35555337	35916640	True
9	38039597	38351648	True
9	72854121	73259144	True
9	81812793	82062793	False
9	82088942	82362781	False
9	84970497	85254970	True
9	91099041	91919252	True
9	93412952	93722535	True
9	93773352	94079315	True
9	95154588	95701781	True
9	96038260	96349669	True
9	98959471	99966792	True
9	100067986	100424493	True
9	100448164	100972297	True
9	112978517	113285658	True
9	116043755	116473651	True
9	123226121	123754724	True
9	126875096	127321542	True
9	130019042	130415014	True
9	131340481	131700063	True
9	135101720	137099020	True
9	139711362	139965471	True
10	3573041	3832748	True
10	11779834	12031591	True
10	14410113	14749822	True
10	16728252	17001402	True
10	17047952	17391389	True
10	25053864	25351483	True
10	29897392	30640854	True
10	32178478	32428478	True
10	43272267	43522267	False
10	50085710	50655513	True
10	64174014	65855276	True
10	75850419	76115443	True
10	80968374	81312719	True
10	89478424	89986218	True
10	93711591	94251469	True
10	94463235	94970981	True
10	96028560	96278560	True
10	96928775	97250787	True
10	97309580	97763901	True
10	101146789	101452851	True
10	101950479	102200479	True
10	104095301	104559209	True
10	113986660	114331683	True
10	120879561	121165432	True
10	126180434	126434448	True
11	0	457759	True
11	2830166	3080996	True
11	5513781	6041211	True
11	8597440	9209101	True
11	10514018	10873518	True
11	16912425	17509230	True
11	32462764	33113062	True
11	46846220	49108862	True
11	56879344	58554194	True
11	61403727	61870694	True
11	63744836	64253494	True
11	65048754	65886559	True
11	68781570	69089574	True
11	75772374	76022374	True
11	76242028	76495088	False
11	77115152	77830021	True
11	85527251	85917960	True
11	100376571	100626571	True
11	107740007	108531943	True
11	113143660	114308324	True
11	116434553	117302920	True
11	118447267	119339135	True
11	120071433	120486394	True
11	125923784	126424769	True
11	127783137	128792428	True
12	554550	876619	True
12	2377872	2637811	True
12	4205068	4459308	False
12	5959323	6640960	True
12	7131639	7381639	True
12	8015356	8315690	False
12	9879456	10179033	True
12	10400878	10673852	True
12	12747484	13017751	True
12	21210749	21511505	True
12	21621567	21871567	True
12	22239486	22735292	True
12	28987514	29761171	True
12	32717127	33035287	True
12	39068203	39318203	False
12	39476673	39822310	True
12	40014308	41174489	True
12	41672916	41973134	False
12	42010656	42466845	True
12	45923119	46199564	True
12	46450241	47302244	True
12	47990997	48857534	True
12	48876096	49252495	True
12	49257141	49796659	True
12	50234281	51899054	True
12	54371353	55172049	True
12	56858252	58377442	True
12	62529503	62940236	True
12	64454660	65629149	True
12	78092681	78347874	True
12	80015458	80492675	True
12	93671807	94072693	True
12	95367642	95676937	True
12	101748240	101998240	True
12	108907432	113725353	True
12	115411851	115681307	True
12	121050562	122806997	True
12	123057332	124057679	True
13	28052602	28302602	False
13	32866426	33507028	True
13	41008080	41813401	True
