chrom	start	end	any_strs
1	743928	993928	False
1	1913893	2258052	True
1	3264757	3514757	False
1	8332648	8629421	True
1	10608081	10877356	True
1	11003654	11401710	True
1	11706059	12020795	True
1	15669586	16176260	True
1	25099957	25387022	True
1	45669426	46734736	True
1	47877447	48127447	True
1	50764255	51651458	True
1	56392425	57141477	True
1	59487507	59816638	True
1	61554638	61994068	True
1	63970445	64222091	False
1	67236670	67718474	True
1	77785075	79171152	True
1	82765893	83087840	True
1	88593155	88843155	True
1	88875384	89576864	True
1	93741001	94176350	True
1	98179406	98603160	True
1	100674044	101152157	True
1	107412916	107752697	True
1	109690252	109947166	False
1	110334773	110715703	True
1	112024625	112367086	True
1	116887277	117140118	True
1	118014053	118305599	True
1	120066044	120392505	True
1	150062094	151303491	True
1	154851137	156331121	True
1	158879298	159141779	True
1	160953246	161315250	True
1	163456663	163868244	True
1	172183238	172577464	True
1	179762788	180227084	True
1	180780694	181034061	True
1	182809454	183229079	True
1	184895867	185262628	True
1	186457662	186933196	True
1	197217380	197906198	True
1	209952581	210561110	True
1	217241425	217657372	True
1	219653675	219915221	True
1	231441619	231859573	True
1	243156617	243626763	True
2	0	591003	True
2	10058306	10308306	True
2	11401987	11658264	True
2	11975613	12259810	True
2	15598095	15947228	True
2	18531321	18820331	True
2	25808612	26229561	True
2	27354543	28418423	True
2	32432875	33056814	True
2	39058449	39366107	False
2	39403981	39957670	True
2	43296344	43848283	True
2	45738787	46029741	True
2	48183846	48433846	True
2	48455692	48876720	True
2	54390861	55154756	True
2	66513642	66808366	True
2	71012908	71288225	True
2	73375483	74176360	True
2	95924918	97312605	True
2	97565101	97872978	True
2	101430084	101924389	True
2	111685116	112132602	True
2	113828111	114118385	True
2	120215739	121129675	True
2	121179548	121466281	True
2	121818450	122181000	True
2	145283357	145878424	True
2	148268958	149081584	True
2	152080449	152363802	True
2	159545346	159957346	True
2	165384579	165683884	True
2	169870581	170361399	True
2	176399570	177403467	True
2	178440913	178690913	True
2	182878887	183388387	True
2	196940179	197190179	True
2	198023191	199077637	True
2	202784192	204533769	True
2	211415507	211968193	True
2	212451777	212701777	False
2	213087130	213342316	True
2	213887225	214156336	False
2	217838545	218102296	True
2	219146530	219803421	True
2	227167656	227467752	True
2	233432043	233986154	True
3	12147683	12740580	True
3	15523458	15773458	True
3	16749088	17002206	True
3	25225793	25569148	True
3	36876972	37358339	True
3	44369407	44619407	True
3	44806214	45064588	True
3	48081597	51336902	True
3	51338134	51622800	True
3	51629424	52946992	True
3	53045947	53295947	True
3	68960163	69279343	True
3	69312399	69566806	True
3	69666356	70315706	True
3	71530356	71780356	True
3	88007979	88257979	True
3	118495914	119016648	True
3	121262784	121855049	True
3	124321077	124833829	True
3	135493313	136932791	True
3	140908481	141272414	True
3	141529685	142000598	True
3	153655682	154215022	True
3	168917352	169293017	True
3	183210081	183529688	True
3	186298526	186585877	True
3	187510437	187771250	True
3	193660838	193968984	True
3	195510432	195760432	False
4	23598208	23872377	True
4	55359718	55705596	True
4	76713221	77836284	True
4	81037884	81313513	True
4	86686932	87055207	True
4	99658252	99912156	True
4	103266275	104503012	True
4	120471406	120818726	True
4	127891659	128497506	True
4	129397518	129666530	True
4	143685677	144340346	True
4	146735186	146985186	True
4	151074080	151335677	True
4	157494733	157939487	True
5	366826	843021	True
5	1038328	1358937	False
5	34378352	34867676	True
5	39230135	39580738	True
5	39776965	40026965	True
5	40032351	40282351	True
5	53167390	53483299	True
5	67614274	68044370	True
5	68548437	68798437	True
5	74840122	75140242	True
5	87650507	87900507	True
5	96075770	96530616	True
5	108516351	109068485	True
5	130101172	130497662	True
5	133731357	133986756	True
5	139392048	139691756	True
5	169469544	169724576	True
5	176384655	177047643	True
6	1488686	1745147	True
6	1866494	2331012	True
6	2390969	2707948	True
6	6865851	7418407	True
6	20292976	20553432	True
6	24016920	24472883	True
6	33438946	33688946	True
6	34308678	34979179	True
6	34990701	35358933	True
6	35373264	35802655	True
6	41521312	41831191	True
6	42511660	42761660	True
6	42971609	44171143	True
6	44568707	44923665	True
6	45232741	45483107	True
6	50472378	52175922	True
6	52480364	52863427	True
6	54996954	55252564	True
6	55323181	55791549	True
6	81218248	81652455	True
6	81804222	82163605	True
6	82174640	82674348	True
6	89918137	90414927	True
6	100477753	100754078	False
6	116189563	116676067	True
6	133832662	134082662	True
6	142990851	143364190	True
6	154704511	155118572	True
6	160664257	161365761	False
6	168910937	169160937	False
7	1138474	1432501	True
7	17020526	17394707	True
7	25571612	25927471	True
7	44657788	45066538	True
7	46581813	46921166	True
7	50607659	50932433	True
7	72721741	73183017	True
7	73349825	73617035	True
7	76987367	77732604	True
7	101106082	101356632	True
7	101434513	101912945	True
7	101941589	102211221	False
7	106659551	107429196	True
7	127063717	127913878	True
7	128434928	128891463	True
7	129497475	129814750	True
7	134371410	134655381	True
7	139981378	140306931	True
7	150398397	150815176	True
7	151267009	151570002	True
7	155472936	155850281	True
7	155984694	156552201	True
8	8399567	8722198	True
8	8804130	9054130	True
8	22306923	22669158	True
8	23426553	24137228	True
8	25810636	26060636	False
8	30056785	30392006	True
8	66567011	66817011	True
8	72523090	72800668	False
8	81318787	81568787	True
8	120624166	121226533	True
8	126352153	126636216	True
8	134206059	134460352	True
9	13870323	14304003	True
9	16274953	16609870	True
9	70890196	71730340	True
9	92047113	92410323	True
9	96777441	97134024	True
9	106658434	106986119	True
9	112655007	112985427	True
9	119141695	119609577	True
9	123550895	123832281	True
9	133301081	133607006	True
9	138967280	139251595	True
9	139524761	139774761	False
9	139960182	140341247	True
10	681369	1354915	True
10	23715849	24022514	True
10	28651106	29049901	True
10	29556019	29908111	True
10	52453738	52942155	True
10	60094560	60344560	True
