phenotype	chrom	start_pos	end_pos
alanine_aminotransferase	8	143426140	146364022
alkaline_phosphatase	1	19430673	24309348
alkaline_phosphatase	6	23211694	25123665
alkaline_phosphatase	9	135104366	136653124
alkaline_phosphatase	17	6469913	8289887
apolipoprotein_a	15	58062646	59863748
apolipoprotein_a	16	55743562	57697408
apolipoprotein_b	1	108948058	110491044
apolipoprotein_b	2	20300545	22162414
apolipoprotein_b	19	10294611	11879814
apolipoprotein_b	19	43818634	47002001
aspartate_aminotransferase	10	16587643	19390560
aspartate_aminotransferase	10	99612077	103497435
c_reactive_protein	1	65028987	67268443
c_reactive_protein	1	153481066	154824197
c_reactive_protein	1	157913551	160222613
c_reactive_protein	12	120021824	122885191
c_reactive_protein	19	44431804	47173565
calcium	3	119865155	122872767
cholesterol	19	10294611	11879814
cholesterol	19	44057396	46586363
cystatin_c	20	19983208	26444535
eosinophil_count	12	110037748	113593721
gamma_glutamyltransferase	12	119899606	122054055
gamma_glutamyltransferase	14	102409523	104500359
gamma_glutamyltransferase	22	23776282	25846832
glucose	2	169054828	170088351
glycated_haemoglobin	2	169064289	170037240
glycated_haemoglobin	10	69739547	72003616
haemoglobin_concentration	22	37194589	37663328
hdl_cholesterol	8	19126679	20631168
hdl_cholesterol	15	58062646	59831971
hdl_cholesterol	16	55618308	57736155
igf_1	7	45137546	47654198
ldl_cholesterol_direct	1	54948105	56998454
ldl_cholesterol_direct	1	109290445	110425277
ldl_cholesterol_direct	19	10294611	11879814
ldl_cholesterol_direct	19	44043134	46780619
mean_corpuscular_haemoglobin	6	41383773	42324047
mean_corpuscular_haemoglobin	6	134606898	136348664
mean_corpuscular_haemoglobin	22	37144072	37784225
mean_corpuscular_volume	4	54455436	55720933
mean_corpuscular_volume	6	41343757	42324047
mean_corpuscular_volume	6	134606898	136348664
mean_corpuscular_volume	6	139540826	141358839
mean_corpuscular_volume	22	37144072	37784225
mean_platelet_volume	1	170444446	173013439
mean_platelet_volume	1	204311640	205612838
mean_platelet_volume	2	241016182	241970275
mean_platelet_volume	3	55612184	58674647
mean_platelet_volume	5	73891034	77789872
mean_platelet_volume	7	105743193	107426823
mean_platelet_volume	9	135101720	137244072
mean_platelet_volume	10	64120729	65907691
mean_platelet_volume	11	0	459703
mean_platelet_volume	12	5900902	6572745
mean_platelet_volume	12	54271884	55249918
mean_platelet_volume	12	119550877	125269351
mean_platelet_volume	17	25885931	29975306
mean_sphered_cell_volume	1	157447866	159017663
mean_sphered_cell_volume	6	41359335	42324047
mean_sphered_cell_volume	6	139540826	141722368
mean_sphered_cell_volume	8	40449880	43963482
neutrophil_count	17	36936783	39043916
phosphate	1	20466802	23180466
phosphate	6	33375088	34951300
platelet_count	3	55663812	58674666
platelet_count	6	33375088	35794547
platelet_count	6	134733499	136336792
platelet_count	9	4003480	5590406
platelet_count	12	108907432	113725353
platelet_crit	6	33375088	35569439
platelet_crit	6	134628830	136344886
platelet_crit	9	4003480	5607486
platelet_crit	12	109152866	113725353
platelet_distribution_width	1	170521806	173711881
platelet_distribution_width	2	31267742	33132214
platelet_distribution_width	7	105996312	106578008
platelet_distribution_width	12	121497625	124063977
platelet_distribution_width	20	56602590	58621778
platelet_distribution_width	22	42129975	43768254
red_blood_cell_count	6	134464696	136348664
red_blood_cell_distribution_width	5	126862061	128748086
red_blood_cell_distribution_width	6	134688281	136344886
red_blood_cell_distribution_width	22	37203051	37664925
shbg	10	63468571	65860897
shbg	17	6371418	9285126
total_bilirubin	2	231728990	235919643
total_bilirubin	12	19976272	22524428
triglycerides	2	26799018	28787264
triglycerides	8	19290739	20735866
triglycerides	8	126287048	126806869
triglycerides	11	116011889	118013300
urate	4	8165642	11717761
urate	4	86666062	90184311
vitamin_d	4	71440125	74816723
vitamin_d	11	12526782	16062165
white_blood_cell_count	17	36977201	39043916
