chrom	start	end
1	1950251	2327967
1	10367672	10762709
1	11704731	12029186
1	16001026	16295903
1	16357976	16762469
1	20937001	21649014
1	21884326	22147176
1	23149797	23972464
1	25976658	27529784
1	27543610	27853656
1	28516825	29303363
1	41332693	41902327
1	43635070	44600123
1	45613144	45915986
1	50978350	51228350
1	65094883	65653177
1	65767679	66294679
1	68551649	68850907
1	91112718	92027355
1	92273858	93591062
1	98205439	98671134
1	109682283	110341436
1	154267978	154777119
1	162895141	163152266
1	173455303	175126850
1	175774818	177855726
1	179129144	179605528
1	180780694	181030694
1	183149239	183673643
1	200057654	200396103
1	202006289	202300626
1	205515816	205937614
1	207787179	208454768
1	213976097	214533356
1	220427378	221922966
1	228064855	228314855
1	234715803	235001434
1	243477925	244150317
2	6241803	6558107
2	15995506	16250539
2	17703683	18114500
2	24611304	25275758
2	25465439	26720574
2	26838926	28663289
2	32053524	32303524
2	32488447	32738447
2	40446341	40746239
2	42249700	42830635
2	43983016	44484876
2	45067080	45317080
2	55969578	56231928
2	64762287	65121057
2	66639308	66891964
2	69716960	69966960
2	70122201	70838986
2	73514476	74176360
2	111743604	112104815
2	113842075	114133170
2	121179548	121466281
2	128945028	129204317
2	156889132	157540726
2	170580219	170867661
2	178197024	178866459
2	202843809	204173840
2	204186891	204436891
2	204607714	204919952
2	218148080	218439141
2	219059430	219800067
2	222177730	222445066
2	225181687	225585138
2	230037971	230394990
2	230836939	231168270
2	242028671	242567728
3	11152284	11722087
3	12313452	12750265
3	14033725	14537995
3	22977345	23238977
3	23264682	23762496
3	24524543	24841770
3	33085168	33582493
3	42456939	42849448
3	46800539	48307620
3	48503014	48769202
3	49609040	50299197
3	50623696	51888293
3	51897837	52147837
3	52372778	52622778
3	56921092	57336863
3	87939401	88398071
3	98309864	98882074
3	100468477	100735836
3	100774523	101675528
3	107043202	107685269
3	124212974	124475073
3	128861715	129181126
3	135540726	136802064
3	137925685	138441796
3	138568471	139113101
3	140908481	141772221
3	141795120	142534393
3	169706268	170156525
3	170423978	170891618
3	171923790	172425207
3	178691112	179089032
3	185862849	186130174
3	186253844	186522474
3	187750879	188000879
4	2763622	3013622
4	3103914	3595174
4	7080240	7380094
4	39246432	39920080
4	44485348	45312589
4	46234687	47082540
4	69149466	70289169
4	71891755	72169499
4	87233814	87714913
4	87932353	88278030
4	89625361	90185902
4	97421249	97767777
4	99432766	100975288
4	104540972	104790972
4	105770920	106511760
4	121537361	121890788
4	124631520	124948820
4	128550692	129285316
4	145395608	145783286
4	148854174	149113399
4	149833647	150083647
4	155364608	155614608
4	169218044	169524476
4	187056533	187306533
5	35043868	35369206
5	38752966	39238805
5	39785004	40450599
5	41036172	43409777
5	43574455	44469669
5	52787891	53641394
5	58105707	58462549
5	58524188	59629996
5	63895316	64145316
5	72795658	73045659
5	86994669	87449910
5	87823962	88556074
5	89312963	89605409
5	102216611	102819112
5	111114445	111451297
5	122706981	123119649
5	132014307	132591540
5	133702455	134029597
5	134210846	134723321
5	137088036	138038487
5	142407995	142734525
5	142773255	143245949
5	168091489	168436518
5	173195576	173519166
5	180514067	180786980
6	6846753	7452634
6	18274750	18524750
6	21787305	22083481
6	34023997	34533913
6	34732026	35524279
6	37636961	38289286
6	42782097	43032925
6	43632082	43889551
6	45455185	45800351
6	45953918	46203918
6	52488481	52863427
6	79218050	79982737
6	87655724	88540589
6	96410239	96660239
6	99927886	100374234
6	107295270	107567431
6	108339835	109162797
6	116189563	116519819
6	126138895	127905592
6	128220057	128482919
6	128664577	128943924
6	129113322	129521646
6	130187913	130535069
6	147378799	147839725
6	151931050	152324931
6	152396013	152646013
6	153195420	153577133
6	154187116	154586822
6	156458467	156708467
6	159908901	161747497
6	165939315	166669153
7	631086	1344656
7	1685626	2315100
7	2627152	3037928
7	6479301	7020280
7	13860466	14374522
7	23890373	24158460
7	30881942	31190393
7	32768749	33142522
7	41330833	41609549
7	44640132	45101233
7	45137546	47654198
7	55681087	56308241
7	72700125	73253971
7	92283370	92533370
7	93900924	94158031
7	98900328	99457948
7	99494540	99967502
7	113647805	114324941
7	114815147	115238279
7	127138671	127406622
7	127470077	127720077
7	129523708	129810597
7	130362308	130779398
7	133618393	133895621
7	137465139	137757678
7	137948461	138416331
7	150372496	150671616
7	156059748	156311378
8	5416910	5677794
8	10434572	10816088
8	15887594	16407937
8	18114697	18416590
8	23584203	23834203
8	59025912	59692885
8	76912592	77386471
8	77968837	78327838
8	81222578	81563420
8	81752396	82002396
8	101546845	101887161
8	108937046	109440547
8	116287878	117251310
8	134446618	134749594
8	135473265	135794222
8	144851720	145191004
9	4639601	5538733
9	19277041	19565555
9	22016269	22320772
9	22722736	23032926
9	33648705	34255435
9	73932313	74211824
9	86575163	86843822
9	92082308	92355747
9	95798174	96779924
9	97293193	97958775
9	98046401	98433908
9	101966070	102385916
9	109316481	110226710
9	111653826	112039259
9	119123059	119606253
9	127518946	128789410
9	136757821	137048331
10	4939049	5483847
10	6785398	7042080
10	12334773	12596013
10	13407447	13686488
10	21510975	22412419
10	22700287	22981019
10	39024219	39274219
10	50187322	50493832
10	53089683	53344039
10	61888424	62324681
10	71194071	71444402
10	71892782	72168255
10	74568784	74818784
10	77015864	77346744
10	80948763	81201920
10	89484076	89896276
10	94418870	95472041
10	95849488	96258084
10	96306751	96556751
10	102509853	102897283
10	103795995	104156268
10	104283272	105087011
10	114640747	114900823
10	117837278	118230976
10	124874958	125177730
11	1348882	1811790
11	1919150	2438844
11	3605118	3941470
11	8504090	8754090
11	13158648	13495535
11	15647315	15900344
11	18159957	18519003
11	27576365	28030664
11	30043745	30800638
11	43572759	43822759
11	45825428	50905592
11	50967968	51718456
11	54570707	56786810
11	56930896	57180896
11	59181911	59742138
11	61417006	61783800
11	64873378	65692041
11	66524527	67309725
11	69160740	69432011
11	77784014	78412267
11	93976908	94442202
11	103737934	103995409
11	109655396	109905396
11	113141411	113537443
11	120053753	120488937
11	122611116	122900578
11	123114728	123372122
11	130153210	130407078
12	772564	1159113
12	11730093	12180435
12	20471024	20731106
12	20770635	21079879
12	31362690	32424952
12	33516204	34981670
12	37731814	39512772
12	40528988	40922987
12	45999413	46530050
12	52175110	52519664
12	56243078	56664598
12	56735020	57016649
12	57361647	58124101
12	63341131	63772365
12	66201943	66514968
12	89701210	90065502
12	93829065	94306470
12	97972794	98340593
12	101733456	103662266
12	104107668	104374675
12	104581053	104831053
12	111304783	111865698
12	114963313	115261391
12	116061282	116386411
12	120437709	122148312
12	123214117	124024093
13	21164128	21618979
13	28270297	28571748
13	40602184	41044928
13	42549601	42897775
13	45367138	45738758
13	46988763	47439115
13	49851825	50112064
13	73870877	74267058
13	99487974	99876838
13	102321859	102573696
13	106434402	106684402
13	107513782	107793397
13	113989773	114248724
13	114416617	114690889
14	24746530	25008887
14	25802832	26074277
14	36548392	36808779
14	60661981	61618778
14	64190556	64440556
14	64500731	64897114
14	69013536	70074820
14	74069434	74375126
14	75099141	75797180
14	76263523	76513523
14	77681329	78070939
14	79642060	80096556
14	92639579	92931211
14	93577475	94167220
14	94713142	94969947
14	101071700	101357067
15	40611309	41178250
15	42246452	45190208
15	51408530	51719972
15	57007863	57355837
15	61709075	61960993
15	61985930	62701372
15	64302952	65225154
15	67216477	67589291
15	68144444	68733911
15	74095599	74783797
15	88982502	89271091
15	93299341	93677656
15	95701797	95954524
15	96978487	97251258
15	99041173	99714929
16	795870	2385567
16	2735466	2985466
16	3279408	3624158
16	4295787	4552010
16	5768814	6118966
16	8871636	9207936
16	10322515	10750997
16	17328337	17613287
16	19149046	19404520
16	27200021	27465996
16	28208411	29126460
16	29893720	30295626
16	30460139	31505596
16	51033710	51295026
16	51306230	51561882
16	53033219	53500964
16	55984333	56337560
16	68792655	70346034
16	71400208	71650208
16	79571939	79881197
16	81345207	81900039
16	83850138	84117084
17	1489225	1780605
17	2471827	2732560
17	5051074	5688804
17	7189656	7894571
17	15743225	16344049
17	17399247	18449079
17	19681223	19995967
17	37454383	38773057
17	40238296	40949834
17	43395675	44990603
17	53224172	53532787
17	57571251	58184909
17	60316917	62999366
17	63786821	64503442
17	66956278	67206278
17	73660718	73921499
17	76542271	76959841
17	78921374	79218822
18	754441	1027266
18	1487055	1800018
18	3332606	3582606
18	19887037	20156388
18	40866000	41129248
18	50598080	50871748
18	55959475	56237604
18	56923571	57223352
18	57701835	57951835
18	58039703	58302124
18	60720884	60970884
18	74843770	75337450
19	3923561	4206402
19	4633454	5343836
19	7051560	7365481
19	10089492	11483700
19	30521363	31063425
19	31077969	31336647
19	34528364	34852202
19	35894522	36378317
19	38968213	39374306
19	47417060	47869170
19	48211900	48590312
19	48978447	49459991
19	53707635	53966052
19	54627217	54894205
19	55845574	56120764
19	57336014	57594233
20	3092228	3511692
20	10514923	10769158
20	19860346	20499002
20	20837462	21804930
20	31229967	32268464
20	32438565	32688565
20	32787997	33688099
20	34519424	34769424
20	35610724	36048000
20	39017516	39304822
20	39491593	40067516
20	48939688	49361475
20	54681469	55088149
20	57142942	57591093
20	62009228	62894443
21	37191253	37673110
21	38403987	38653987
21	40362298	40914375
22	24116101	24528541
22	29323408	29575923
22	30130429	30717487
22	31447465	32631995
22	36011945	36619827
22	38744447	39291352
22	40954792	42454284
22	44927979	45183990
22	46110105	46380303
