chrom	start	end	any_strs
1	2201009	2469925	True
1	17433359	17688015	True
1	24379572	24629572	True
1	41710685	41960685	True
1	62775811	63328221	True
1	109691863	109947166	False
1	150598747	153285673	True
1	153566754	153867535	True
1	155110358	156136444	True
2	27458156	27984351	True
2	118514970	118957568	True
2	234451705	234804974	True
3	37552671	37954355	True
3	49260417	49856861	True
3	85388793	85776136	True
3	141526757	141950598	True
4	3148833	3607296	True
4	69417038	70481404	True
4	71440125	74816723	True
4	87857876	88545032	True
4	99533253	99896276	True
4	99981543	100386120	True
4	100519070	100769070	True
6	131772278	132075798	True
7	63828995	64078995	True
7	104760481	105010481	True
7	138219776	138469776	False
8	9965097	10215097	True
8	30693239	30976260	True
8	116835729	117255332	True
9	125480840	126134418	True
10	81890725	82408158	True
10	87956438	88210290	True
11	12217949	12467949	False
11	12526782	16062165	True
11	16259183	16979631	True
11	17023271	17273271	False
11	65945146	66212712	True
11	70327392	71970760	True
11	75356664	75642833	True
11	76344093	76636108	True
11	116400730	117225594	True
12	21206549	21540496	True
12	96090328	96635287	True
14	39253646	39985937	True
14	103967789	104466669	True
15	29327185	29577185	False
15	58446401	58867418	True
15	63653410	63920628	True
15	64904956	65220612	True
15	99992007	100370859	True
16	20267332	20517332	True
16	30580545	31277698	True
16	56860514	57131829	True
16	81908810	82158810	False
17	40443094	40949834	True
17	66300995	66591338	True
18	24793145	25043145	False
18	28717485	28984570	True
19	11060919	11370076	True
19	19204924	19925289	True
19	45257675	45555280	True
19	48198130	48601964	True
19	51390246	51652970	True
20	52562181	52915786	True
21	16214172	16549421	True
22	31408796	31660872	True
