chrom	start	end	any_strs
1	2021165	2339587	True
1	2624921	2874921	False
1	11136929	11445350	True
1	16257880	16868175	True
1	26808591	27493126	True
1	50699328	51039609	True
1	59488905	59739380	True
1	65770130	66294679	True
1	86057879	86307879	True
1	88994698	89477612	True
1	93496088	94009948	True
1	110104787	110358120	False
1	149825326	151172648	True
1	154741257	155322602	True
1	156309703	156598114	True
1	161283397	162038044	True
1	172237744	172487744	True
1	219143532	219859998	True
1	219976499	220423722	True
1	220548783	221179761	True
1	227027342	227339566	True
1	247475301	247739617	True
2	43927722	44519398	True
2	44538206	44839109	True
2	48378632	48849742	True
2	61678665	61928665	True
2	65151452	65409231	True
2	88290678	88553571	True
2	101474338	101774585	True
2	102623363	103303223	True
2	111753544	112003544	True
2	112534110	112940405	True
2	113470359	113999467	True
2	114175313	115096913	True
2	165327415	165918561	True
2	169709370	170089332	True
2	170473279	170745870	True
2	201904965	202350425	True
2	202948732	203198732	True
2	226741226	227364287	True
2	233340847	233672931	True
3	11902240	12837572	True
3	29234952	29490171	True
3	36826898	37559419	True
3	49933610	50183610	True
3	124800881	125055982	True
3	125779688	126035381	True
3	135477459	136877590	True
3	141753970	142017420	True
3	142477666	142795201	True
3	148965724	149377704	True
3	151864828	152210277	True
3	155437072	155687072	True
3	156669425	156923775	True
3	159878677	160527471	True
3	170502909	170858076	True
3	172057627	172524155	True
4	2940824	3603323	True
4	17747707	18160250	True
4	52728286	53055673	True
4	77237445	77564236	True
4	87144712	88569411	True
4	100322615	100630326	True
4	102987813	103238209	True
4	145496328	145784064	True
4	146592776	146949778	True
4	150070380	150320380	False
5	30895011	31185577	True
5	52068125	52318237	True
5	53146420	53408630	True
5	55669632	56008157	True
5	71824079	72531659	True
5	106751105	107003792	True
5	107233186	107923990	True
5	127224896	127474896	True
5	130726162	131445462	True
5	132250335	132570760	True
5	156564870	156967034	True
6	7122344	7372344	True
6	15448927	15698927	True
6	20279420	20538721	True
6	21787305	22073207	True
6	34048330	34337537	True
6	35001961	35251961	True
6	42789996	43072013	True
6	43631169	43890533	True
6	98440211	98690211	True
6	116116548	116630669	True
6	127288222	127657807	True
6	130199570	130547098	True
6	139710399	139960423	True
6	152918035	153186375	False
6	159058351	159393260	True
6	160641770	160894423	True
7	6286989	6613097	True
7	28017186	28384233	True
7	35949035	36210142	True
7	72691787	73383638	True
7	74919830	75272801	True
7	86537175	87666159	True
7	92183144	92718951	True
7	100739439	101024191	True
7	116263021	116692710	True
7	130297934	130570428	True
7	134745201	135036784	True
8	3357964	3607964	False
8	6433964	6732634	True
8	7910791	12307202	True
8	21781574	22067265	True
8	55282285	55587324	True
8	72267687	72652345	True
8	95706120	96217046	True
8	103537219	103819750	True
8	106280565	106530565	True
8	126317934	126770810	True
8	143141754	143391754	False
8	143426140	146364022	True
9	33490173	33910003	True
9	33982505	34255435	True
9	95758363	96055334	True
9	111951237	112249551	True
9	116915885	117426356	True
9	132441666	132750644	True
9	135940526	136433796	True
10	70531227	71174376	True
10	74584753	75438885	True
10	79401766	79864250	True
10	89631556	89932366	True
10	95873179	96164597	True
10	98331557	98602421	True
10	98868378	99419939	True
10	101142534	102215924	True
10	102561073	102811073	True
10	113758047	114175642	True
10	122875635	123125635	True
10	125406719	125656719	False
11	5544228	5844017	True
11	22053677	22445130	True
11	47260350	48058664	True
11	62058838	62326458	True
11	65044008	65322393	True
11	65469324	65719324	True
11	68768761	69026950	True
11	72286787	73070341	True
11	78456582	78751405	True
11	93141256	94398868	True
11	125235608	125581805	True
12	4259844	4509844	False
12	10400878	10767293	True
12	11633473	11916685	True
12	20453881	20711395	True
12	20833801	21510665	True
12	25282726	25533464	False
12	50435104	51346127	True
12	56858425	57316139	True
12	111571528	113111885	True
12	121415531	121815093	True
12	122346900	123073907	True
12	123322928	124057679	True
13	27553791	27962415	True
13	28312257	28572730	True
13	32914231	33419182	True
13	41484047	41814067	True
13	50440104	50847895	False
13	110890628	111164949	True
14	24746290	25008887	True
14	35033184	35973737	True
14	50387111	51414104	True
14	69407391	69794957	True
14	94339489	95002868	True
14	103734962	104117592	True
15	39695603	40086526	True
15	40174200	40546671	True
15	50684670	51125899	True
15	58597590	58856153	True
15	60753030	61073715	True
15	73693394	74147163	True
15	78872076	79276774	True
15	90202226	90475889	True
16	2979818	3240325	True
16	3488150	3855578	True
