chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	direction_of_association	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_23556232_23942932	23817932	23817947	23817932	STR_15426	1	A	11.0,13.0,14.0,15.0,16.0,17.0	16.0	"{""11.0"": 0.0, ""13.0"": 42723.92, ""14.0"": 674655.1, ""15.0"": 172981.91, ""16.0"": 81540.37, ""17.0"": 2923.91}"	"{""13.0"": 42653, ""14.0"": 674818, ""15.0"": 173166, ""16.0"": 83352, ""17.0"": 829}"	"{""[13.0, 13.0]"": 974, ""[13.0, 14.0]"": 29161, ""[13.0, 15.0]"": 7847, ""[13.0, 16.0]"": 3677, ""[13.0, 17.0]"": 20, ""[14.0, 14.0]"": 236874, ""[14.0, 15.0]"": 115341, ""[14.0, 16.0]"": 56042, ""[14.0, 17.0]"": 526, ""[15.0, 15.0]"": 16925, ""[15.0, 16.0]"": 15940, ""[15.0, 17.0]"": 188, ""[16.0, 16.0]"": 3806, ""[16.0, 17.0]"": 81, ""[17.0, 17.0]"": 7}"	"{""11.0"": 0.0, ""13.0"": 26372.82, ""14.0"": 434824.48, ""15.0"": 102095.28, ""16.0"": 49242.52, ""17.0"": 1564.84}"	"{""13.0"": 26340, ""14.0"": 434956, ""15.0"": 102086, ""16.0"": 50431, ""17.0"": 283}"	"{""[13.0, 13.0]"": 550, ""[13.0, 14.0]"": 18610, ""[13.0, 15.0]"": 4480, ""[13.0, 16.0]"": 2140, ""[13.0, 17.0]"": 10, ""[14.0, 14.0]"": 154260, ""[14.0, 15.0]"": 72019, ""[14.0, 16.0]"": 35602, ""[14.0, 17.0]"": 205, ""[15.0, 15.0]"": 8515, ""[15.0, 16.0]"": 8509, ""[15.0, 17.0]"": 48, ""[16.0, 16.0]"": 2080, ""[16.0, 17.0]"": 20}"	0.12568016209218325	0.4621109530052243	1.2788893876871428	0.3712816169306776	"{""11.0"": ""NaN"", ""13.0"": 1.0, ""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.99, ""17.0"": 0.37}"	6.47e-10	-	-0.003803764006291343	-0.0036800600703076345	0.0542673	False	NA	NA	False	NA	none	6871:upstream:ASAP3:protein_coding	79293:downstream:RP4-654C18.1:processed_pseudogene,57683:downstream:RP1-150O5.3:lncRNA,66470:downstream:ID3:protein_coding,6871:upstream:ASAP3:protein_coding,84979:downstream:RP1-150O5.4:lncRNA,90038:upstream:MDS2:lncRNA,66691:upstream:TCEA3:protein_coding,14983:downstream:E2F2:protein_coding	intergenic	untranscribed
1	1_26808591_27493126	27247247	27247280	27247245	STR_18388	1	A	33.0,34.0,35.0,36.0,37.0	34.0	"{""33.0"": 117.62, ""34.0"": 821866.68, ""35.0"": 77137.47, ""36.0"": 53089.82, ""37.0"": 22628.53}"	"{""33.0"": 6, ""34.0"": 823781, ""35.0"": 75249, ""36.0"": 53463, ""37.0"": 22319}"	"{""[33.0, 34.0]"": 4, ""[33.0, 35.0]"": 1, ""[33.0, 36.0]"": 1, ""[34.0, 34.0]"": 348280, ""[34.0, 35.0]"": 63318, ""[34.0, 36.0]"": 45076, ""[34.0, 37.0]"": 18823, ""[35.0, 35.0]"": 2991, ""[35.0, 36.0]"": 4250, ""[35.0, 37.0]"": 1698, ""[36.0, 36.0]"": 1447, ""[36.0, 37.0]"": 1242, ""[37.0, 37.0]"": 278}"	"{""33.0"": 19.24, ""34.0"": 517488.76, ""35.0"": 47540.55, ""36.0"": 33970.43, ""37.0"": 15091.86}"	"{""34.0"": 518258, ""35.0"": 46719, ""36.0"": 34220, ""37.0"": 14899}"	"{""[34.0, 34.0]"": 218735, ""[34.0, 35.0]"": 39336, ""[34.0, 36.0]"": 28895, ""[34.0, 37.0]"": 12557, ""[35.0, 35.0]"": 1796, ""[35.0, 36.0]"": 2664, ""[35.0, 37.0]"": 1127, ""[36.0, 36.0]"": 915, ""[36.0, 37.0]"": 831, ""[37.0, 37.0]"": 192}"	0.07992291749808551	0.2782896357433611	0.8516143667350385	0.8783820636653412	"{""33.0"": ""NaN"", ""34.0"": 0.99, ""35.0"": 0.99, ""36.0"": 1.0, ""37.0"": 0.99}"	6.51e-31	-	-0.007428096638802347	-0.007057699314297048	0.300917	False	NA	NA	False	NA	954:upstream:27248234:27248420:NUDC:protein_coding	0:inside:NUDC:protein_coding	56300:downstream:SFN:protein_coding,42511:downstream:RP1-50O24.6:lncRNA,20289:upstream:GPATCH3:protein_coding,6781:upstream:NR0B2:protein_coding,59376:upstream:RPL12P13:unprocessed_pseudogene,62839:upstream:RPL32P6:processed_pseudogene,65108:downstream:OSTCP2:processed_pseudogene,72903:upstream:TRNP1:protein_coding,84231:downstream:TENT5B:protein_coding,63152:downstream:ZDHHC18:protein_coding,30473:upstream:GPN2:protein_coding,28773:downstream:KDF1:protein_coding,0:inside:NUDC:protein_coding	intron:NUDC:protein_coding	transcribed;NUDC-202:protein_coding:5
1	1_39425608_40552975	40396817	40396837	40396817	STR_28422	1	A	7.0,21.0,22.0	21.0	"{""7.0"": 247647.62, ""21.0"": 713423.75, ""22.0"": 13746.7}"	"{""7.0"": 248040, ""21.0"": 712960, ""22.0"": 13818}"	"{""[7.0, 7.0]"": 32217, ""[7.0, 21.0]"": 180021, ""[7.0, 22.0]"": 3585, ""[21.0, 21.0]"": 261465, ""[21.0, 22.0]"": 10009, ""[22.0, 22.0]"": 112}"	"{""7.0"": 160922.66, ""21.0"": 444285.91, ""22.0"": 8887.43}"	"{""7.0"": 161366, ""21.0"": 443745, ""22.0"": 8985}"	"{""[7.0, 7.0]"": 21038, ""[7.0, 21.0]"": 116925, ""[7.0, 22.0]"": 2365, ""[21.0, 21.0]"": 160167, ""[21.0, 22.0]"": 6486, ""[22.0, 22.0]"": 67}"	0.014472378911440558	0.408588909471413	0.9345348379598512	0.2408159692499911	"{""7.0"": 1.0, ""21.0"": 1.0, ""22.0"": 0.97}"	1.77e-10	+	0.00047213391062748446	0.004117197757098845	0.129071	False	NA	NA	False	NA	none	13725:downstream:Y_RNA:misc_RNA	49467:upstream:Y_RNA:misc_RNA,28889:upstream:MYCL:protein_coding,32047:downstream:MYCL-AS1:lncRNA,13725:downstream:Y_RNA:misc_RNA,23947:upstream:MFSD2A:protein_coding,31515:upstream:RP3-342P20.2:processed_pseudogene,47634:upstream:TRIT1:protein_coding	intergenic	untranscribed
1	1_39425608_40552975	40397137	40397153	40397135	STR_28423	1	A	15.0,16.0,17.0,18.0	17.0	"{""15.0"": 7145.96, ""16.0"": 269494.05, ""17.0"": 696844.74, ""18.0"": 1335.71}"	"{""15.0"": 6650, ""16.0"": 265867, ""17.0"": 701783, ""18.0"": 518}"	"{""[15.0, 15.0]"": 879, ""[15.0, 16.0]"": 2178, ""[15.0, 17.0]"": 2614, ""[15.0, 18.0]"": 100, ""[16.0, 16.0]"": 36353, ""[16.0, 17.0]"": 190816, ""[16.0, 18.0]"": 167, ""[17.0, 17.0]"": 254053, ""[17.0, 18.0]"": 247, ""[18.0, 18.0]"": 2}"	"{""15.0"": 638.88, ""16.0"": 168979.57, ""17.0"": 443981.88, ""18.0"": 496.93}"	"{""15.0"": 342, ""16.0"": 166646, ""17.0"": 447039, ""18.0"": 69}"	"{""[15.0, 16.0]"": 86, ""[15.0, 17.0]"": 256, ""[16.0, 16.0]"": 22455, ""[16.0, 17.0]"": 121639, ""[16.0, 18.0]"": 11, ""[17.0, 17.0]"": 162543, ""[17.0, 18.0]"": 58}"	0.0018495604425917806	0.3964293539900262	0.8515747391432074	0.2276566942097929	"{""15.0"": 0.86, ""16.0"": 0.99, ""17.0"": 0.99, ""18.0"": 0.71}"	4.99e-11	+	0.006558811669952869	0.004186552492632464	0.180597	False	NA	NA	False	NA	none	13409:downstream:Y_RNA:misc_RNA	49787:upstream:Y_RNA:misc_RNA,29209:upstream:MYCL:protein_coding,32367:downstream:MYCL-AS1:lncRNA,13409:downstream:Y_RNA:misc_RNA,23631:upstream:MFSD2A:protein_coding,31199:upstream:RP3-342P20.2:processed_pseudogene,47954:upstream:TRIT1:protein_coding	intergenic	untranscribed
1	1_93414383_94132922	93858126	93858136	93858126	STR_58152	1	A	10.0,11.0,12.0,13.0	11.0	"{""10.0"": 182713.42, ""11.0"": 184683.65, ""12.0"": 606816.41, ""13.0"": 604.48}"	"{""10.0"": 182718, ""11.0"": 184681, ""12.0"": 607179, ""13.0"": 240}"	"{""[10.0, 10.0]"": 17349, ""[10.0, 11.0]"": 34373, ""[10.0, 12.0]"": 113603, ""[10.0, 13.0]"": 44, ""[11.0, 11.0]"": 19533, ""[11.0, 12.0]"": 111188, ""[11.0, 13.0]"": 54, ""[12.0, 12.0]"": 191123, ""[12.0, 13.0]"": 142}"	"{""10.0"": 112840.42, ""11.0"": 113420.97, ""12.0"": 387450.09, ""13.0"": 384.52}"	"{""10.0"": 112880, ""11.0"": 113383, ""12.0"": 387677, ""13.0"": 156}"	"{""[10.0, 10.0]"": 10335, ""[10.0, 11.0]"": 20985, ""[10.0, 12.0]"": 71195, ""[10.0, 13.0]"": 30, ""[11.0, 11.0]"": 10611, ""[11.0, 12.0]"": 71141, ""[11.0, 13.0]"": 35, ""[12.0, 12.0]"": 122625, ""[12.0, 13.0]"": 91}"	0.1843766121257914	0.5335863221894084	1.3211530806302365	0.1934326216254365	"{""10.0"": 1.0, ""11.0"": 1.0, ""12.0"": 1.0, ""13.0"": 0.86}"	8.86e-26	-	-0.005308968272588865	-0.0058931637848587985	1.0	False	NA	NA	False	NA	none	6752:downstream:Y_RNA:misc_RNA	7571:upstream:RP4-713B5.2:processed_pseudogene,6752:downstream:Y_RNA:misc_RNA,95754:downstream:RNA5SP53:rRNA_pseudogene,46544:upstream:CCDC18-AS1:lncRNA,23076:downstream:DR1:protein_coding,55539:upstream:FNBP1L:protein_coding	intergenic	untranscribed
1	1_149650372_151261355	149864041	149864068	149864041	STR_72456	3	AAT	8.33,9.33,10.33,11.33,12.33	9.33	"{""8.33"": 378.99, ""9.33"": 869711.25, ""10.33"": 26280.88, ""11.33"": 77018.64, ""12.33"": 1428.26}"	"{""8.33"": 381, ""9.33"": 871701, ""10.33"": 24951, ""11.33"": 76685, ""12.33"": 1100}"	"{""[8.33, 8.33]"": 3, ""[8.33, 9.33]"": 287, ""[8.33, 10.33]"": 63, ""[8.33, 11.33]"": 14, ""[8.33, 12.33]"": 11, ""[9.33, 9.33]"": 390073, ""[9.33, 10.33]"": 21862, ""[9.33, 11.33]"": 68543, ""[9.33, 12.33]"": 863, ""[10.33, 10.33]"": 595, ""[10.33, 11.33]"": 1694, ""[10.33, 12.33]"": 142, ""[11.33, 11.33]"": 3188, ""[11.33, 12.33]"": 58, ""[12.33, 12.33]"": 13}"	"{""8.33"": 33.47, ""9.33"": 548398.33, ""10.33"": 14257.38, ""11.33"": 51202.47, ""12.33"": 204.35}"	"{""8.33"": 25, ""9.33"": 549207, ""10.33"": 13682, ""11.33"": 51089, ""12.33"": 93}"	"{""[8.33, 9.33]"": 23, ""[8.33, 11.33]"": 2, ""[9.33, 9.33]"": 245605, ""[9.33, 10.33]"": 12302, ""[9.33, 11.33]"": 45588, ""[9.33, 12.33]"": 84, ""[10.33, 10.33]"": 153, ""[10.33, 11.33]"": 1074, ""[11.33, 11.33]"": 2208, ""[11.33, 12.33]"": 9}"	0.023604127042026007	0.1927488660179664	0.5673277814114416	0.6456644686672705	"{""8.33"": 0.87, ""9.33"": 0.98, ""10.33"": 0.94, ""11.33"": 1.0, ""12.33"": 0.72}"	1.28e-11	+	0.004783826300326421	0.003846928399883227	0.238153	False	NA	NA	False	NA	none	0:inside:BOLA1:protein_coding	99465:upstream:RP11-196G18.3:lncRNA,78793:upstream:H3C13:protein_coding,59932:upstream:RP11-196G18.23:antisense,52702:downstream:H4C14:protein_coding,51276:upstream:H3C14:protein_coding,49563:upstream:HIST2H2AA3:protein_coding,41537:upstream:H2BC20P:transcribed_unprocessed_pseudogene,40850:downstream:H2AC19:protein_coding,40850:downstream:HIST2H2AA4:protein_coding,38205:downstream:H3C15:protein_coding,5839:upstream:H2BC21:protein_coding,5080:downstream:H2AC20:protein_coding,4526:upstream:H2AC21:protein_coding,36475:downstream:MTMR11:protein_coding,80113:upstream:H2BC18:protein_coding,31265:upstream:H4C15:protein_coding,0:inside:BOLA1:protein_coding,10802:downstream:SV2A:protein_coding,31141:downstream:SF3B4:protein_coding,45988:downstream:H2BC19P:transcribed_unprocessed_pseudogene,45637:downstream:OTUD7B:protein_coding	intron:BOLA1:protein_coding	transcribed;BOLA1-203:protein_coding:3
1	1_149650372_151261355	149874511	149874525	149874508	STR_72467	1	A	14.0,15.0,16.0	15.0	"{""14.0"": 87779.32, ""15.0"": 881028.74, ""16.0"": 6009.91}"	"{""14.0"": 86487, ""15.0"": 887301, ""16.0"": 1030}"	"{""[14.0, 14.0]"": 4853, ""[14.0, 15.0]"": 76712, ""[14.0, 16.0]"": 69, ""[15.0, 15.0]"": 404821, ""[15.0, 16.0]"": 947, ""[16.0, 16.0]"": 7}"	"{""14.0"": 53525.34, ""15.0"": 556896.34, ""16.0"": 3674.32}"	"{""14.0"": 52530, ""15.0"": 561050, ""16.0"": 516}"	"{""[14.0, 14.0]"": 2342, ""[14.0, 15.0]"": 47808, ""[14.0, 16.0]"": 38, ""[15.0, 15.0]"": 256382, ""[15.0, 16.0]"": 478}"	0.005983299028164979	0.1579817874647986	0.4310944236182155	0.3638970758676548	"{""14.0"": 0.99, ""15.0"": 0.98, ""16.0"": 0.19}"	3.19e-11	-	-0.009016355965569543	-0.0037513814652735357	0.0555305	False	NA	NA	False	NA	345:downstream:149874870:149876749:SV2A:protein_coding	345:downstream:SV2A:protein_coding	89263:upstream:H3C13:protein_coding,70402:upstream:RP11-196G18.23:antisense,63172:downstream:H4C14:protein_coding,61746:upstream:H3C14:protein_coding,60033:upstream:HIST2H2AA3:protein_coding,52007:upstream:H2BC20P:transcribed_unprocessed_pseudogene,51320:downstream:H2AC19:protein_coding,51320:downstream:HIST2H2AA4:protein_coding,48675:downstream:H3C15:protein_coding,16309:upstream:H2BC21:protein_coding,15550:downstream:H2AC20:protein_coding,14996:upstream:H2AC21:protein_coding,26018:downstream:MTMR11:protein_coding,90583:upstream:H2BC18:protein_coding,41735:upstream:H4C15:protein_coding,2160:downstream:BOLA1:protein_coding,345:downstream:SV2A:protein_coding,20684:downstream:SF3B4:protein_coding,56458:downstream:H2BC19P:transcribed_unprocessed_pseudogene,35180:downstream:OTUD7B:protein_coding	intergenic	untranscribed
1	1_178249117_178802805	178523674	178523684	178523668	STR_89233	1	C	10.0,11.0,12.0,13.0,14.0,15.0	11.0	"{""10.0"": 11868.7, ""11.0"": 421207.61, ""12.0"": 29096.58, ""13.0"": 103.24, ""14.0"": 511634.63, ""15.0"": 922.72}"	"{""10.0"": 11580, ""11.0"": 422020, ""12.0"": 28505, ""13.0"": 95, ""14.0"": 512545, ""15.0"": 73}"	"{""[10.0, 10.0]"": 95, ""[10.0, 11.0]"": 4987, ""[10.0, 12.0]"": 310, ""[10.0, 14.0]"": 6092, ""[10.0, 15.0]"": 1, ""[11.0, 11.0]"": 91592, ""[11.0, 12.0]"": 12919, ""[11.0, 13.0]"": 56, ""[11.0, 14.0]"": 220843, ""[11.0, 15.0]"": 31, ""[12.0, 12.0]"": 529, ""[12.0, 13.0]"": 16, ""[12.0, 14.0]"": 14197, ""[12.0, 15.0]"": 5, ""[13.0, 14.0]"": 23, ""[14.0, 14.0]"": 135677, ""[14.0, 15.0]"": 36}"	"{""10.0"": 7631.61, ""11.0"": 262180.52, ""12.0"": 15814.03, ""13.0"": 1.74, ""14.0"": 327964.63, ""15.0"": 512.94}"	"{""10.0"": 7459, ""11.0"": 262583, ""12.0"": 15523, ""13.0"": 1, ""14.0"": 328524, ""15.0"": 6}"	"{""[10.0, 10.0]"": 58, ""[10.0, 11.0]"": 3147, ""[10.0, 12.0]"": 199, ""[10.0, 14.0]"": 3996, ""[10.0, 15.0]"": 1, ""[11.0, 11.0]"": 56211, ""[11.0, 12.0]"": 6651, ""[11.0, 13.0]"": 1, ""[11.0, 14.0]"": 140359, ""[11.0, 15.0]"": 3, ""[12.0, 12.0]"": 153, ""[12.0, 14.0]"": 8367, ""[14.0, 14.0]"": 87900, ""[14.0, 15.0]"": 2}"	0.03901662038607147	0.5301831833301025	1.2184986113837148	0.8127785838911998	"{""10.0"": 0.88, ""11.0"": 0.99, ""12.0"": 0.95, ""13.0"": 0.59, ""14.0"": 1.0, ""15.0"": 0.03}"	8.14e-20	-	-0.002490393580968142	-0.005268134657737514	0.0599315	False	NA	NA	False	NA	none	5650:downstream:C1orf220:lncRNA	41488:upstream:RP5-990P15.4:lncRNA,5650:downstream:C1orf220:lncRNA,6364:upstream:RNA5SP69:rRNA_pseudogene,97157:upstream:RP5-1098D14.1:lncRNA,54905:upstream:CLEC20A:protein_coding,5937:downstream:TEX35:protein_coding,70392:downstream:RASAL2:protein_coding	intergenic	untranscribed
1	1_205552148_205863327	205724279	205724289	205724279	STR_104717	1	A	10.0,11.0	11.0	"{""10.0"": 257757.74, ""11.0"": 717060.22}"	"{""10.0"": 257846, ""11.0"": 716972}"	"{""[10.0, 10.0]"": 34661, ""[10.0, 11.0]"": 188524, ""[11.0, 11.0]"": 264224}"	"{""10.0"": 165519.57, ""11.0"": 448576.43}"	"{""10.0"": 165555, ""11.0"": 448541}"	"{""[10.0, 10.0]"": 22487, ""[10.0, 11.0]"": 120581, ""[11.0, 11.0]"": 163980}"	0.0	0.3938237535301809	0.8408777088368269	0.207181251241979	"{""10.0"": 1.0, ""11.0"": 1.0}"	1.87e-08	+	0.005600212855386477	0.0035141974825824754	0.0523191	False	NA	NA	False	NA	none	4969:upstream:NUCKS1:protein_coding	23799:upstream:SNORA72:snoRNA,12825:downstream:RAB29:protein_coding,74642:upstream:SLC45A3:protein_coding,4969:upstream:NUCKS1:protein_coding,20398:upstream:RP11-212H11.5:lncRNA,33933:downstream:SLC41A1:protein_coding,72864:downstream:PM20D1:protein_coding,58161:upstream:RP4-681L3.3:lncRNA	intergenic	untranscribed
1	1_219497072_219922675	219709149	219709201	219709149	STR_111799	4	None	8.25,9.25,10.25,11.25,12.25,13.25,14.25,15.25,16.25,17.25	13.25	"{""8.25"": 4514.68, ""9.25"": 165187.47, ""10.25"": 1193.7, ""11.25"": 2984.09, ""12.25"": 371809.47, ""13.25"": 98571.26, ""14.25"": 21445.54, ""15.25"": 277949.92, ""16.25"": 28977.64, ""17.25"": 2341.51}"	"{""8.25"": 3798, ""9.25"": 165829, ""10.25"": 584, ""11.25"": 2899, ""12.25"": 376197, ""13.25"": 94873, ""14.25"": 18312, ""15.25"": 282360, ""16.25"": 28355, ""17.25"": 1611}"	"{""[8.25, 8.25]"": 102, ""[8.25, 9.25]"": 386, ""[8.25, 10.25]"": 5, ""[8.25, 11.25]"": 91, ""[8.25, 12.25]"": 1494, ""[8.25, 13.25]"": 600, ""[8.25, 14.25]"": 108, ""[8.25, 15.25]"": 748, ""[8.25, 16.25]"": 144, ""[8.25, 17.25]"": 18, ""[9.25, 9.25]"": 14562, ""[9.25, 10.25]"": 63, ""[9.25, 11.25]"": 330, ""[9.25, 12.25]"": 63516, ""[9.25, 13.25]"": 15643, ""[9.25, 14.25]"": 3028, ""[9.25, 15.25]"": 48687, ""[9.25, 16.25]"": 4797, ""[9.25, 17.25]"": 255, ""[10.25, 10.25]"": 16, ""[10.25, 11.25]"": 1, ""[10.25, 12.25]"": 248, ""[10.25, 13.25]"": 91, ""[10.25, 14.25]"": 1, ""[10.25, 15.25]"": 135, ""[10.25, 16.25]"": 8, ""[11.25, 11.25]"": 47, ""[11.25, 12.25]"": 1103, ""[11.25, 13.25]"": 416, ""[11.25, 14.25]"": 77, ""[11.25, 15.25]"": 654, ""[11.25, 16.25]"": 115, ""[11.25, 17.25]"": 18, ""[12.25, 12.25]"": 72982, ""[12.25, 13.25]"": 36640, ""[12.25, 14.25]"": 7151, ""[12.25, 15.25]"": 108559, ""[12.25, 16.25]"": 10910, ""[12.25, 17.25]"": 612, ""[13.25, 13.25]"": 4853, ""[13.25, 14.25]"": 1923, ""[13.25, 15.25]"": 26885, ""[13.25, 16.25]"": 2785, ""[13.25, 17.25]"": 184, ""[14.25, 14.25]"": 211, ""[14.25, 15.25]"": 5049, ""[14.25, 16.25]"": 526, ""[14.25, 17.25]"": 27, ""[15.25, 15.25]"": 41550, ""[15.25, 16.25]"": 8101, ""[15.25, 17.25]"": 442, ""[16.25, 16.25]"": 459, ""[16.25, 17.25]"": 51, ""[17.25, 17.25]"": 2}"	"{""8.25"": 1194.66, ""9.25"": 108172.3, ""10.25"": 445.65, ""11.25"": 997.96, ""12.25"": 231660.71, ""13.25"": 59422.05, ""14.25"": 13388.05, ""15.25"": 179658.16, ""16.25"": 17894.86, ""17.25"": 1352.44}"	"{""8.25"": 708, ""9.25"": 108652, ""10.25"": 63, ""11.25"": 906, ""12.25"": 234262, ""13.25"": 57202, ""14.25"": 11551, ""15.25"": 182346, ""16.25"": 17542, ""17.25"": 864}"	"{""[8.25, 8.25]"": 1, ""[8.25, 9.25]"": 143, ""[8.25, 11.25]"": 2, ""[8.25, 12.25]"": 240, ""[8.25, 13.25]"": 70, ""[8.25, 14.25]"": 16, ""[8.25, 15.25]"": 213, ""[8.25, 16.25]"": 21, ""[8.25, 17.25]"": 1, ""[9.25, 9.25]"": 9678, ""[9.25, 10.25]"": 12, ""[9.25, 11.25]"": 152, ""[9.25, 12.25]"": 41447, ""[9.25, 13.25]"": 10067, ""[9.25, 14.25]"": 2046, ""[9.25, 15.25]"": 32204, ""[9.25, 16.25]"": 3089, ""[9.25, 17.25]"": 136, ""[10.25, 12.25]"": 28, ""[10.25, 13.25]"": 10, ""[10.25, 14.25]"": 1, ""[10.25, 15.25]"": 11, ""[10.25, 16.25]"": 1, ""[11.25, 12.25]"": 351, ""[11.25, 13.25]"": 79, ""[11.25, 14.25]"": 10, ""[11.25, 15.25]"": 282, ""[11.25, 16.25]"": 29, ""[11.25, 17.25]"": 1, ""[12.25, 12.25]"": 44653, ""[12.25, 13.25]"": 21916, ""[12.25, 14.25]"": 4502, ""[12.25, 15.25]"": 69454, ""[12.25, 16.25]"": 6660, ""[12.25, 17.25]"": 358, ""[13.25, 13.25]"": 2674, ""[13.25, 14.25]"": 1103, ""[13.25, 15.25]"": 16901, ""[13.25, 16.25]"": 1628, ""[13.25, 17.25]"": 80, ""[14.25, 14.25]"": 119, ""[14.25, 15.25]"": 3318, ""[14.25, 16.25]"": 308, ""[14.25, 17.25]"": 9, ""[15.25, 15.25]"": 27252, ""[15.25, 16.25]"": 5207, ""[15.25, 17.25]"": 252, ""[16.25, 16.25]"": 286, ""[16.25, 17.25]"": 27}"	0.3303033487334245	0.7251512209887279	2.10578837104264	0.2733057302950439	"{""8.25"": 0.88, ""9.25"": 0.99, ""10.25"": 0.34, ""11.25"": 0.84, ""12.25"": 0.98, ""13.25"": 0.96, ""14.25"": 0.9, ""15.25"": 0.98, ""16.25"": 0.95, ""17.25"": 0.86}"	1.29e-13	+	0.00140884085443516	0.004269065206740885	0.405582	False	NA	NA	False	NA	none	21333:upstream:RP11-95P13.2:lncRNA	21333:upstream:RP11-95P13.2:lncRNA,72151:downstream:ZC3H11B:protein_coding,76438:upstream:LYPLAL1-AS1:lncRNA	intergenic	untranscribed
