phenotype	chrom	start_pos	repeat_unit	multiallelicness	association_p_value	pcausal	relation_to_gene	transcribed
alanine_aminotransferase	2	227110026	GT	0.20505056531929422	7.37e-36	0.868616	intergenic	untranscribed
albumin	4	177692134	AC	0.18715350774063344	5.06e-12	1.0	intron:VEGFC:protein_coding	transcribed;VEGFC-202:protein_coding:1
apolipoprotein_a	1	93858126	A	0.1844189265693875	2.51e-20	0.985561	intergenic	untranscribed
aspartate_aminotransferase	14	35662188	A	0.12724410965385874	2.48e-17	0.983994	multigene;intron:PRORP:protein_coding;intron:RP11-561B11.2:protein_coding	transcribed;PRORP-209:protein_coding:2,RP11-561B11.2-001:nonsense_mediated_decay:2,PRORP-202:protein_coding:3,PRORP-203:protein_coding:1,PRORP-201:protein_coding:2,PRORP-205:protein_coding:5,PRORP-211:protein_coding:1,PRORP-204:protein_coding:3
calcium	6	34182039	A	0.08615265051004023	9.85e-43	0.937712	intergenic	untranscribed
calcium	11	2982732	A	0.09281724652057856	1.27e-31	1.0	intron:NAP1L4:protein_coding	transcribed;NAP1L4-222:protein_coding:2,NAP1L4-201:protein_coding:1,NAP1L4-212:protein_coding:2,NAP1L4-210:nonsense_mediated_decay:5,NAP1L4-215:retained_intron:2,NAP1L4-220:protein_coding:5,NAP1L4-204:protein_coding:5
creatinine	2	15786517	T	0.3715756414327763	4.51e-36	1.0	intergenic	untranscribed
creatinine	2	148599967	A	0.28232005263874393	5.449999999999999e-34	0.937933	intergenic	untranscribed
cystatin_c	6	50833061	T	0.38422388271511176	2.86e-15	1.0	intergenic	untranscribed
eosinophil_count	3	51119327	A	0.14114229865908834	1.7000000000000002e-27	1.0	intron:DOCK3:protein_coding	transcribed;DOCK3-201:protein_coding:1
eosinophil_count	10	26721459	AAAAT	0.3861247535801121	1.75e-39	1.0	intergenic	untranscribed
eosinophil_percent	8	130623382	AC	0.3459570327764054	3.02e-65	1.0	intron:CCDC26:lncRNA	transcribed;CCDC26-201:lncRNA:1,CCDC26-213:lncRNA:missing from gencode,CCDC26-243:lncRNA:missing from gencode
eosinophil_percent	19	16424885	A	0.10650003542395127	4.2300000000000004e-132	1.0	intron:KLF2-DT:lncRNA	transcribed;KLF2-DT-201:lncRNA:2
gamma_glutamyltransferase	14	103891577	ATTT	0.3394129480002305	9.12e-19	0.988207	intron:MARK3:protein_coding	transcribed;MARK3-219:retained_intron:4,MARK3-212:retained_intron:1,MARK3-224:retained_intron:4,MARK3-273:nonsense_mediated_decay:missing from gencode,MARK3-221:retained_intron:4,MARK3-225:retained_intron:5,MARK3-214:processed_transcript:4,MARK3-217:processed_transcript:4,MARK3-222:processed_transcript:3,MARK3-265:protein_coding:missing from gencode,MARK3-234:nonsense_mediated_decay:missing from gencode,MARK3-248:nonsense_mediated_decay:missing from gencode,MARK3-231:nonsense_mediated_decay:missing from gencode,MARK3-237:protein_coding:missing from gencode,MARK3-251:nonsense_mediated_decay:missing from gencode,MARK3-274:protein_coding:missing from gencode,MARK3-235:protein_coding:missing from gencode,MARK3-245:retained_intron:missing from gencode,MARK3-259:nonsense_mediated_decay:missing from gencode,MARK3-233:nonsense_mediated_decay:missing from gencode,MARK3-277:nonsense_mediated_decay:missing from gencode,MARK3-246:nonsense_mediated_decay:missing from gencode,MARK3-227:retained_intron:missing from gencode,MARK3-206:protein_coding:1,MARK3-220:protein_coding:3,MARK3-281:protein_coding:missing from gencode,MARK3-242:nonsense_mediated_decay:missing from gencode,MARK3-211:protein_coding:1,MARK3-260:nonsense_mediated_decay:missing from gencode,MARK3-240:nonsense_mediated_decay:missing from gencode,MARK3-254:protein_coding:missing from gencode,MARK3-226:protein_coding:3,MARK3-264:protein_coding:missing from gencode,MARK3-270:nonsense_mediated_decay:missing from gencode,MARK3-263:nonsense_mediated_decay:missing from gencode,MARK3-244:protein_coding:missing from gencode,MARK3-229:nonsense_mediated_decay:missing from gencode,MARK3-230:protein_coding:missing from gencode,MARK3-243:nonsense_mediated_decay:missing from gencode,MARK3-205:protein_coding:1,MARK3-269:nonsense_mediated_decay:missing from gencode,MARK3-276:nonsense_mediated_decay:missing from gencode,MARK3-256:protein_coding:missing from gencode,MARK3-250:protein_coding:missing from gencode,MARK3-266:nonsense_mediated_decay:missing from gencode,MARK3-271:nonsense_mediated_decay:missing from gencode,MARK3-236:nonsense_mediated_decay:missing from gencode,MARK3-255:nonsense_mediated_decay:missing from gencode,MARK3-253:protein_coding:missing from gencode,MARK3-261:retained_intron:missing from gencode,MARK3-241:nonsense_mediated_decay:missing from gencode,MARK3-247:protein_coding:missing from gencode,MARK3-257:nonsense_mediated_decay:missing from gencode,MARK3-258:nonsense_mediated_decay:missing from gencode,MARK3-268:protein_coding:missing from gencode,MARK3-228:nonsense_mediated_decay:missing from gencode,MARK3-204:protein_coding:1,MARK3-202:protein_coding:1,MARK3-201:protein_coding:1,MARK3-279:nonsense_mediated_decay:missing from gencode,MARK3-207:protein_coding:1,MARK3-203:protein_coding:5,MARK3-262:processed_transcript:missing from gencode,MARK3-223:processed_transcript:3
gamma_glutamyltransferase	21	30125679	A	0.21786143235142147	5.0599999999999993e-23	1.0	intergenic	untranscribed
glycated_haemoglobin	19	17252977	A	0.19097364152893695	1.3199999999999998e-89	1.0	intron:MYO9B:protein_coding	transcribed;MYO9B-220:protein_coding:missing from gencode,MYO9B-206:protein_coding:1,MYO9B-204:protein_coding:5,MYO9B-201:protein_coding:5,MYO9B-207:protein_coding:5
glycated_haemoglobin	22	30363907	GT	0.3678243898293436	6.29e-33	1.0	intron:MTMR3:protein_coding	transcribed;MTMR3-212:processed_transcript:4,MTMR3-207:protein_coding:3,MTMR3-206:processed_transcript:3,MTMR3-202:protein_coding:5,MTMR3-204:protein_coding:1,MTMR3-201:protein_coding:5,MTMR3-203:protein_coding:1
haematocrit	15	76246773	T	0.02625166911687747	3.72e-51	1.0	intron:NRG4:protein_coding	transcribed;NRG4-210:nonsense_mediated_decay:3,NRG4-202:nonsense_mediated_decay:1,NRG4-201:protein_coding:1,NRG4-203:nonsense_mediated_decay:2,NRG4-214:nonsense_mediated_decay:1,NRG4-209:nonsense_mediated_decay:2,NRG4-205:nonsense_mediated_decay:2
haemoglobin_concentration	15	76246773	T	0.026309304240406693	3.95e-47	1.0	intron:NRG4:protein_coding	transcribed;NRG4-210:nonsense_mediated_decay:3,NRG4-202:nonsense_mediated_decay:1,NRG4-201:protein_coding:1,NRG4-203:nonsense_mediated_decay:2,NRG4-214:nonsense_mediated_decay:1,NRG4-209:nonsense_mediated_decay:2,NRG4-205:nonsense_mediated_decay:2
hdl_cholesterol	11	47332459	A	0.1658593582082988	3.02e-72	0.977044	intron:MADD:protein_coding	transcribed;MADD-202:protein_coding:1,MADD-207:protein_coding:1,MADD-201:protein_coding:1,MADD-210:protein_coding:1,MADD-209:protein_coding:1,MADD-203:protein_coding:1,MADD-205:protein_coding:2,MADD-204:protein_coding:1,MADD-206:protein_coding:1,MADD-208:protein_coding:5
igf_1	3	141097028	A	0.08916087123727431	2.38e-44	0.987075	intron:ZBTB38:protein_coding	transcribed;ZBTB38-209:protein_coding:1,ZBTB38-219:processed_transcript:3,ZBTB38-213:processed_transcript:4,ZBTB38-223:processed_transcript:5,ZBTB38-206:retained_intron:1,ZBTB38-201:protein_coding:NA
ldl_cholesterol_direct	2	21266752	AGC	0.00015965147128302662	1.6800000000000002e-235	1.0	CDS:APOB:protein_coding	transcribed;APOB-202:protein_coding:1,APOB-201:protein_coding:1
mean_corpuscular_haemoglobin	22	32897470	A	0.21830682270905127	6.56e-120	0.945413	intergenic	untranscribed
mean_corpuscular_volume	22	32897470	A	0.21850065009459946	8.45e-133	1.0	intergenic	untranscribed
