chrom	start	end
1	1853857	2362248
1	2868740	3121602
1	7602237	8142651
1	8390050	9078135
1	9858222	10649154
1	11725927	12298788
1	15250110	15506160
1	24897314	25304416
1	25400907	26033483
1	26435945	26773551
1	26833696	27493126
1	27543610	27875278
1	27875422	28462287
1	28726045	29706711
1	31116886	31366886
1	32207350	32487347
1	36596372	36924042
1	40162279	40753119
1	43607172	44350691
1	44514722	44791297
1	45041513	46988201
1	47545525	47832027
1	56807261	57097353
1	61976176	62234502
1	62961001	63307135
1	65063498	65313498
1	67929209	68218940
1	87939496	88245317
1	91380835	91792960
1	91797829	92141934
1	93179607	94132922
1	94481871	95124520
1	110104787	110595764
1	111430858	111864771
1	112900109	113388711
1	118001591	118397858
1	149976483	151463570
1	153457258	154450149
1	154767388	155213795
1	155934392	157190320
1	161063893	161313893
1	161439606	161782227
1	171249844	172619282
1	180778384	181034061
1	184505291	185508262
1	198745813	199137478
1	202004205	202738860
1	204137031	205551691
1	213809298	214079159
1	225777044	226047159
1	226412233	226737826
1	230153291	230451412
1	230912165	231162166
1	236563445	236916898
1	247402124	248865054
1	249030909	249250621
2	12733078	13168884
2	16492417	16755892
2	20996464	21510538
2	23775629	24382582
2	27254189	28663289
2	31329254	31674213
2	36999581	37494273
2	37904427	38176101
2	42932206	43284018
2	43307351	44162396
2	45925621	46202038
2	55053688	55446817
2	64762287	65113266
2	66462063	66847287
2	68837137	69122250
2	69662268	70675924
2	74398911	75045648
2	85480205	86009384
2	108913026	109441789
2	110128976	110620902
2	111743604	112400538
2	113371453	113621453
2	113713102	113999467
2	120310301	121198863
2	143639706	144011819
2	145183891	145754568
2	160049469	161755902
2	162611370	162905204
2	170573063	170952760
2	191150578	191611081
2	192571255	192821255
2	198671331	198985837
2	201752675	202504923
2	203386571	204569331
2	211415507	211777980
2	218766888	219800067
2	225312523	225956237
2	227124802	227501088
2	234130145	234565278
2	235765001	236015001
2	241259981	241739730
2	242400677	242788692
3	11882910	12596871
3	15577768	15827768
3	17882267	18834522
3	25297087	25566463
3	27083592	27911022
3	37407658	37723382
3	38744894	38994894
3	39062597	39337907
3	46920846	47430729
3	47455158	47705158
3	47943265	48354366
3	48476774	48757756
3	55663812	58674666
3	69677902	70029249
3	72264387	72542372
3	100917179	101677553
3	107110018	107667894
3	121448158	121698158
3	122692904	123235776
3	123447242	124784751
3	126103410	126398469
3	126459403	126900322
3	127384109	128547658
3	128650892	130197652
3	135718162	136824133
3	152867193	153125932
3	156666209	156944988
3	167170498	167590434
3	168527450	169097802
3	172109017	172419500
3	178460648	179103604
3	182848325	184449104
3	185362155	185675881
3	189539326	189789329
3	193983645	194329156
3	196340673	196663648
4	2641670	3668223
4	6655749	7170070
4	17433864	18160250
4	38492883	38856476
4	39557825	39913949
4	48815906	49093307
4	55196791	55533999
4	55560303	55810303
4	57583306	58028948
4	83822660	84104227
4	87782178	88364853
4	99861023	100195973
4	100667952	101025844
4	105597860	106582330
4	110684287	111093493
4	120025156	120699874
4	122930360	123641551
4	124506391	125071860
4	141726355	141976432
4	144062380	144312380
4	144704431	145169759
4	145676277	146299631
4	148049084	148586378
4	151994465	152889038
4	154336313	154586313
4	157486157	157940887
5	966806	1481684
5	34529441	34790305
5	59653738	60968553
5	61285493	61790502
5	65788106	66338423
5	67078790	67381370
5	71591874	72530492
5	74229422	75167913
5	75314938	77252809
5	77503296	78043136
5	86666976	89007668
5	90060517	90404442
5	95987083	96322728
5	105393072	105656192
5	108542986	108814780
5	110881012	111222181
5	122558996	122848707
5	130298559	132248536
5	133702615	133988352
5	138744847	139272683
5	141293252	141712720
5	156039513	156607459
5	158025272	158880348
5	159282316	159873105
5	172356818	172722997
5	176415977	176900385
5	177481207	177741370
6	6933113	7341484
6	11418342	11718985
6	22377304	22672155
6	22798951	23055552
6	24860458	25124254
6	33375088	35794547
6	36219980	36805279
6	36967724	37443182
6	43106945	43862983
6	47187408	47833879
6	52125982	52863427
6	109378976	109775482
6	110568419	110851400
6	116595514	116845514
6	121329823	121579823
6	121743308	122018258
6	134733499	136336792
6	147367742	147618989
6	161009124	161259124
6	164295832	164629114
7	874511	1181626
7	2374770	3055941
7	13890318	14155119
7	16560870	16828325
7	17200168	17627590
7	18014843	18510738
7	25846153	26122536
7	35896736	36586893
7	37247614	37597798
7	44640132	45281167
7	55031419	55286167
7	72684618	73183017
7	75482155	75905214
7	80038602	80419169
7	92138350	92388350
7	98794747	100672265
7	106013698	106578008
7	115554476	115804476
7	116146792	116697411
7	122867488	123733971
7	128451023	128702617
7	129077106	129837588
7	130604238	130891281
7	135187572	135814098
7	139660651	140010431
7	152254340	152506598
7	158403158	158769728
8	18888568	19149816
8	21496046	22084139
8	22300361	22667962
8	30146637	30566715
8	39901348	40178939
8	56518896	56939652
8	66380847	67085476
8	101343154	101594908
8	105557261	106967901
8	120613638	121221550
8	125724614	126026855
8	126151895	126521554
8	130359346	130819767
8	130899107	131594692
8	135524848	135796718
8	141438494	141688494
8	142174087	142549472
8	144846080	145389806
9	0	520532
9	2497134	2747278
9	4003480	5590406
9	5954482	6228093
9	18900385	19222318
9	21819317	22329669
9	32823273	33208663
9	34853431	35226870
9	35555337	35916640
9	38039597	38351648
9	72854121	73259144
9	81812793	82062793
9	82088942	82362781
9	84970497	85254970
9	91099041	91919252
9	93412952	93722535
9	93773352	94079315
9	95154588	95701781
9	96038260	96349669
9	98959471	99966792
9	100067986	100424493
9	100448164	100972297
9	112978517	113285658
9	116043755	116473651
9	123226121	123754724
9	126875096	127321542
9	130019042	130415014
9	131340481	131700063
9	135101720	137099020
9	139711362	139965471
10	3573041	3832748
10	11779834	12031591
10	14410113	14749822
10	16728252	17001402
10	17047952	17391389
10	25053864	25351483
10	29897392	30640854
10	32178478	32428478
10	43272267	43522267
10	50085710	50655513
10	64174014	65855276
10	75850419	76115443
10	80968374	81312719
10	89478424	89986218
10	93711591	94251469
10	94463235	94970981
10	96028560	96278560
10	96928775	97250787
10	97309580	97763901
10	101146789	101452851
10	101950479	102200479
10	104095301	104559209
10	113986660	114331683
10	120879561	121165432
10	126180434	126434448
11	0	457759
11	2830166	3080996
11	5513781	6041211
11	8597440	9209101
11	10514018	10873518
11	16912425	17509230
11	32462764	33113062
11	46846220	49108862
11	56879344	58554194
11	61403727	61870694
11	63744836	64253494
11	65048754	65886559
11	68781570	69089574
11	75772374	76022374
11	76242028	76495088
11	77115152	77830021
11	85527251	85917960
11	100376571	100626571
11	107740007	108531943
11	113143660	114308324
11	116434553	117302920
11	118447267	119339135
11	120071433	120486394
11	125923784	126424769
11	127783137	128792428
12	554550	876619
12	2377872	2637811
12	4205068	4459308
12	5959323	6640960
12	7131639	7381639
12	8015356	8315690
12	9879456	10179033
12	10400878	10673852
12	12747484	13017751
12	21210749	21511505
12	21621567	21871567
12	22239486	22735292
12	28987514	29761171
12	32717127	33035287
12	39068203	39318203
12	39476673	39822310
12	40014308	41174489
12	41672916	41973134
12	42010656	42466845
12	45923119	46199564
12	46450241	47302244
12	47990997	48857534
12	48876096	49252495
12	49257141	49796659
12	50234281	51899054
12	54371353	55172049
12	56858252	58377442
12	62529503	62940236
12	64454660	65629149
12	78092681	78347874
12	80015458	80492675
12	93671807	94072693
12	95367642	95676937
12	101748240	101998240
12	108907432	113725353
12	115411851	115681307
12	121050562	122806997
12	123057332	124057679
13	28052602	28302602
13	32866426	33507028
13	41008080	41813401
13	46587818	46893625
13	47029966	47372985
13	49967971	50217971
13	51242489	51546152
13	71030169	71415330
13	72207750	72520556
13	95707282	96132909
13	108835380	109085385
13	110231731	110659402
13	110753639	111168100
13	113877243	114209277
14	23573566	23884156
14	25313250	25613241
14	31237017	31628674
14	50752854	51338454
14	53351090	53802333
14	55449793	56027186
14	64765645	66317915
14	67978993	68850826
14	69051826	70260121
14	81684979	82015844
14	92089471	92455790
14	93340510	93677277
14	94702653	94977692
