chrom	start	end	any_strs
1	2982287	3232547	True
1	100694273	101051991	True
1	118003145	118350351	True
1	184547098	184797098	False
1	213870781	214380583	True
1	229517499	229816724	True
2	26884478	28402414	True
2	43296344	44032630	True
2	45063353	45321822	True
2	158369100	158645905	True
2	161034318	161494322	True
2	168441486	168691486	False
2	168794586	169044586	False
2	169054828	170088351	True
3	25256124	25518837	True
3	35610066	35860066	False
3	49231573	49481573	True
3	100085509	100360954	True
3	122670290	123320337	True
3	140911666	141294234	True
3	159879026	160434529	True
3	169032073	169319244	False
3	170262097	170982240	True
3	187615523	187866842	True
4	6161711	6431763	True
4	18080102	18334550	True
4	94700248	95060834	False
4	99894089	100144089	False
4	105939754	106321829	True
4	185549313	185865064	True
5	14618722	14893092	True
5	44560857	45031986	True
5	76299949	76579559	False
5	87318958	87855027	True
5	95392458	95890413	True
6	6982404	7582621	True
6	20516336	20868501	True
6	33384476	33750696	True
6	38892062	39231161	True
6	43679103	43954941	True
6	117074790	117455177	True
6	127273251	127562399	True
6	137108478	137389748	True
6	153242613	153577133	True
7	1457736	1707736	True
7	14508685	15251760	True
7	28017088	28385312	True
7	43454597	44879826	True
7	44895755	45251100	True
7	50356323	51169510	True
7	89685261	90076371	True
7	100092086	100788854	True
8	9043146	9365101	True
8	95691132	96117473	True
8	117920519	118361975	True
8	145385507	145635507	False
9	4132627	4430959	True
9	21829653	22264220	True
9	33119483	33509569	True
9	111502658	111934592	True
9	135956319	136433796	True
9	139110415	139397502	True
10	12049567	12453010	True
10	26368792	26740831	True
10	52512925	52773027	True
10	57302557	57626198	True
10	112743823	113812663	True
10	114433142	115045089	True
10	121516530	121803111	True
11	2033179	2309848	True
11	2566471	2983800	True
11	8122020	8380855	True
11	11681317	11988080	True
11	14174149	14888828	True
11	14978981	15228981	False
11	17214519	17546886	True
11	46336460	48068419	True
11	50600201	50899064	True
11	51087286	51672575	False
11	56166822	56755864	True
11	61417006	61751270	True
11	68199482	68449482	False
11	72280450	72603320	True
12	4203521	4509844	True
12	27794006	28090150	True
12	57491061	58027438	True
12	97687167	97996050	True
12	121839375	122089375	False
12	125460506	125725724	True
12	132933157	133250871	True
13	26651255	27110068	True
13	28328210	28671266	True
13	33428627	33714834	True
13	80521006	80884290	True
14	89902123	90210120	True
14	100667126	100968804	True
15	62006989	62506630	True
15	63679543	64271010	True
15	77259002	77969554	True
16	1944	693713	True
16	4102922	4368020	True
16	53673319	53956771	True
17	17205805	17526736	True
17	27463806	28005128	True
17	35972775	36228565	False
17	45199640	45911452	True
17	46149614	46399614	True
17	62077689	62329047	True
17	66269054	66630856	True
17	71637022	71887022	False
19	39280070	39562411	True
19	46024618	46495381	True
19	47444003	47694003	True
20	22367200	22707954	True
20	32260089	32583659	True
20	43378276	43673431	True
20	51502634	51752634	True
20	57151979	57588472	True
22	30462972	30734554	True
